pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
7035626,Neoplastic angioendotheliosis.,"Beal, M F; Fisher, C M",Beal,"We add two cases of neoplastic angioendotheliosis to the previous 13 with central nervous system manifestations. This unusual neoplastic phenomenon is thought to represent a diffuse malignant proliferation of endothelial cells. A man aged 58 first had transient ischemic attacks followed by a subacute profound dementia with psychomotor retardation. Remission followed steroid therapy. Abulia recurred along with a gradually progressive paraplegia leading to death 16 months after onset of symptoms. Pathologic examination showed tumor masses in the basal ganglia and widespread patchy cerebral infarction. The spinal cord below the midthoracic level was destroyed. Microscopically small mononuclear tumor cells were widespread within and largely confined to the lumens of small cerebral blood vessels which showed varying degrees of occlusion and recanalization. Factor 8 antigen, a specific endothelial cell marker, was not present on the surface of the malignant cells. Another man aged 61 developed subacute dementia with frontal lobe signs, dysphasia and impairment of memory. Computerized tomography showed multiple infarcts. A brief respite followed steroid therapy but progressive deterioration led to death in 15 weeks. Frontal lobe biopsy revealed the same neoplastic vascular process. The hallmark of the illness is a progressive subacute lobar dementia. Transient spells may occur. Hemiparesis is unusual and seizures do not occur except terminally. Angiography is normal.",{},,Journal of the neurological sciences,10.1016/0022-510x(82)90019-3,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Netherlands,eng
25379445,The circuitry of abulia: insights from functional connectivity MRI.,"Siegel, J S; Snyder, A Z; Metcalf, N V; Fucetola, R P; Hacker, C D; Shimony, J S; Shulman, G L; Corbetta, M",Siegel,"Functional imaging and lesion studies have associated willed behavior with the anterior cingulate cortex (ACC). Abulia is a syndrome characterized by apathy and deficiency of motivated behavior. Abulia is most frequently associated with ACC damage, but also occurs following damage to subcortical nuclei (striatum, globus pallidus, thalamic nuclei). We present resting state functional connectivity MRI (fcMRI) data from an individual who suffered a stroke leading to abulia. We hypothesized that, although structural imaging revealed no damage to the patient's ACC, fcMRI would uncover aberrant function in this region and in the relevant cortical networks. Resting state correlations in the patient's gray matter were compared to those of age-matched controls. Using a novel method to identify abnormal patterns of functional connectivity in single subjects, we identified areas and networks with aberrant connectivity. Networks associated with memory (default mode network) and executive function (cingulo-opercular network) were abnormal. The patient's anterior cingulate was among the areas showing aberrant functional connectivity. In a rescan 3 years later, deficits remained stable and fcMRI findings were replicated. These findings suggest that the aberrant functional connectivity mapping approach described may be useful for linking stroke symptoms to disrupted network connectivity.","DictElement({'Year': '2014', 'Month': '09', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2014,NeuroImage. Clinical,10.1016/j.nicl.2014.09.012,PMC4215525,Abulia; Anterior cingulate; Executive function; Functional connectivity; apathy; fMRI,"Case Reports; Journal Article; Research Support, N.I.H., Extramural",Netherlands,eng
10561773,Bilateral caudate infarct--a case report.,"Lim, J K; Yap, K B",Lim,"Caudate strokes comprise only a small proportion of all subtypes of strokes. Bilateral caudate infarcts are even rarer and only a few cases have been reported in the literature. We report an 86-year-old woman with bilateral caudate infarcts. She had no past medical history of note. She presented with headache for several days and drowsiness on day of admission. Clinical examination revealed abulia, inability to comprehend or verbalize (acute mutism), right-sided neglect and right-sided hemiparesis. Computed tomographic (CT) scan brain revealed decreased attenuation in both heads of both caudate nuclei with extension across the anterior limb of both internal capsules to involve the lentiform nuclei. Echocardiography showed aortic valve sclerosis, mild mitral and aortic regurgitation and normal left ventricular function. Carotid ultrasound revealed mild stenosis of proximal right internal carotid and left distal common carotid and adjacent proximal internal carotid arteries. She showed initial improvement in the first week, but subsequently had a progressive downward course despite rehabilitation and died 44 days after her stroke. A patient with bilateral caudate infarcts is likely to have poor prognosis for rehabilitation and survival.",{},,"Annals of the Academy of Medicine, Singapore",,,,Case Reports; Journal Article; Review,Singapore,eng
29303792,Abulia Due to Injury of the Prefrontocaudate Tract in a Stroke Patient.,"Jang, Sung Ho; Kwon, Young Hyeon",Jang,,{},,American journal of physical medicine & rehabilitation,10.1097/PHM.0000000000000884,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
32384311,A Case of Abulia From Left Middle Cerebral Artery Stroke in an Adolescent Treated Successfully With Short Duration Olanzapine.,"Connor, Andrew T; Crawford, Alex; Levy, Rebecca J; Schneider, Lauren M; Hollander, Seth A; Shaw, Richard J",Connor,"Abulia is defined as a pathological state of amotivation, apathy, and global absence of willpower. It presents with a challenging array of overlapping symptoms, making effective identification and treatment difficult. We describe the first known report of an adolescent with a ventricular assist device who developed abulia following a left middle cerebral artery (MCA) stroke who responded successfully to treatment with olanzapine. The neurobiological etiology of abulia is still unclear but is postulated to be related to deficits in the dopaminergic reward circuitry in the frontal-subcortical-mesolimbic regions. There have been reports of poststroke patients with abulia being treated by modulating this dopamine circuitry and in some cases with short-term low-dose olanzapine. Further research is needed to develop a better understanding of the pathophysiology of abulia leading to more effective treatment algorithms including more specific diagnostic tools and effective pharmacological interventions.",{},,Clinical neuropharmacology,10.1097/WNF.0000000000000389,,,Case Reports; Journal Article,United States,eng
35915270,Symmetrical isolated globus pallidus infarction due to bilateral carotid artery dissection.,"Trandafir, Cassiana; Renard, Dimitri; Cagnazzo, Federico; Ion, Ioana Maria",Trandafir,"A 43-year-old woman presented 1 day after whiplash injury with behavior change, hypersomnia, and abulia. MRI showed symmetrical globus pallidus infarction and bilateral watershed hypoperfusion. Magnetic resonance angiography (MRA) showed bilateral carotid artery dissection. To our knowledge, isolated symmetrical globus pallidus infarction related to bilateral carotid dissection has never been reported earlier.","DictElement({'Year': '2022', 'Month': '08', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2022,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-022-06278-3,PMC9343219,Basal ganglia; Carotid artery dissection; Globus pallidus infarction,Case Reports; Journal Article,Italy,eng
8441373,Elements of cognitive rehabilitation after right hemisphere stroke.,"Calvanio, R; Levine, D; Petrone, P",Calvanio,"There are two basic approaches to cognitive training: (1) impairment training and (2) task specific training. Impairment training addresses impairments common to a number of tasks and attempts to offer a general benefit to all of the tasks at once. Task specific training focuses on the impairments that arise in a single task and attempts to improve performance on that task. Impairment training of spatial disorders following right hemisphere stroke has shown some success when curricula are properly designed. The success, however, is quite limited because of normal cognitive constraints and those occurring after brain damage. Task specific training in conjunction with the combined application of various cognitive principles appears more promising, but as yet, only a few studies exist. The neurologic factors are likely to be the same factors that influence recovery. The factors that influence trainability are lesion topography (size and location of the focus plus premorbid atrophy), lesion chronicity, and the presence of additional cognitive impairments (anosognosia, confusion, and abulia). Other interventions that may be beneficial, even for training resistant patients, include behavior modification, cognitive prostheses, and drugs.",{},,Neurologic clinics,,,,Case Reports; Journal Article; Review,United States,eng
35004070,Delayed Toxic-Hypoxic Leukoencephalopathy As Sequela of Opioid Overdose and Cerebral Hypoxia-Ischemia.,"Chachkhiani, David; Chimakurthy, Anil K; Verdecie, Olinda; Goyne, Cheryl T; Mader, Edward C",Chachkhiani,"Delayed leukoencephalopathy in the aftermath of toxic exposure and cerebral hypoxia-ischemia is known as ""delayed post-hypoxic leukoencephalopathy"" (DPHL) but the name ""delayed toxic-hypoxic leukoencephalopathy"" (DTHL) may be more accurate if toxic and hypoxic mechanisms are both involved in the pathogenesis of delayed leukoencephalopathy. DTHL is characterized by initial recovery from toxic exposure and cerebral hypoxia-ischemia, clinical stability over a few weeks, and subsequent neurological deterioration with the sudden emergence of diffuse white matter disease. A 46-year-old man suffered respiratory failure and hypotension as a result of opioid overdose. Brain MRI showed watershed infarcts and EEG showed diffuse theta-delta slowing consistent with global cerebral hypoperfusion. He recovered fully and was discharged with intact cognitive function. Three weeks later, he presented with abulia and psychomotor retardation. MRI revealed extensive white matter hyperintensity and EEG showed diffuse polymorphic delta activity. DTHL was diagnosed based on classic MRI features, history of opioid overdose and hypoxic brain injury, and negative test results for etiology of white matter disease. He developed akinetic mutism prompting administration of methylprednisolone 1000-mg IV q24h for five days. He also received amantadine 100-mg PO q12h. His cognition, motivation, and psychomotor function slowly improved and returned to baseline about two months after the overdose. Clinic reassessment two and a half months after the overdose revealed normal cognitive function, slight residual MRI hyperintensity, and mild EEG slowing anteriorly. Toxic-metabolic myelinopathy causing diffuse demyelination in the deep white matter is a perfect explanation for the patient's neurological symptoms, MRI changes, EEG findings, and time course of recovery.","DictElement({'Year': '2021', 'Month': '12', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.20271,PMC8735844,delayed; demyelinating; eeg; hypoxia; ischemia; leukoencephalopathy; myelinopathy; opioid; toxic,Case Reports,United States,eng
25384076,"A case of abulia, status/post right middle cerebral artery territory infarct, treated successfully with olanzapine.","Spiegel, David R; Chatterjee, Aparna",Spiegel,"Abulia refers to a pathological deficit of willpower. Disruption of frontal-subcortical-mesolimbic circuits caused by lesions in certain central nervous system structures has been associated with abulia. Given the neurobiological link between the dopaminergic reward system and the psychological phenomenon of motivation, it has been speculated that modulating dopaminergic neurotransmission will potentially alter the clinical presentation of abulia. We present a case of abulia S/P right middle cerebral artery, treated successfully with olanzapine.",{},,Clinical neuropharmacology,10.1097/WNF.0000000000000053,,,Case Reports; Journal Article,United States,eng
31729970,Multiple cerebral infarction diagnosed as Eosinophilic Granulomatosis with Polyangiitis by autopsy.,"Hira, Kenichiro; Shimura, Hideki; Kamata, Riyu; Takanashi, Masashi; Hashizume, Akane; Takahashi, Keiji; Sugiyama, Mizuho; Izumi, Hiroshi; Hattori, Nobutaka; Urabe, Takao",Hira,"Eosinophilic granulomatosis with polyangiitis (EGPA) is a rare systemic vasculitis of unknown cause involving the brain and accompanied by prominent eosinophilia. Intracardiac thrombosis is a major cardiac complication of EGPA that may cause thromboembolism. A 53-year-old man presenting with abulia (consciousness disturbance) and left upper limb paralysis was admitted to our hospital. His case was complicated by penetrating branches, small vessel infarcts, and endocardial thrombosis in the right and left ventricle. Cardiomyopathy was also observed. Sixteen days after admission, the patient died from intracranial hemorrhage. Brain autopsy revealed two major findings: 1) large hemorrhagic infarction caused by cardiac embolism; and 2) granuloma and eosinophil infiltration. Vasculitis was accompanied by eosinophil infiltration in the cortical blood vessels and granuloma. In this case study, we report autopsy findings of brain infarction in a patient with EGPA and endocardial thrombosis. The brain infarction was caused by the cardiac embolisms and vasculitis.","DictElement({'Year': '2019', 'Month': '11', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2019,BMC neurology,10.1186/s12883-019-1515-z,PMC6857209,Eosinophilic granulomatosis with polyangiitis (EGPA); Hypereosinophilia; Intracardiac thrombus; Multiple cerebral infarction,Case Reports; Journal Article,England,eng
