pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
26039843,Neurobehavioral assessment.,"Kaufer, Daniel I",Kaufer,"This article presents a multidimensional, integrative approach to clinical assessment and management of neurobehavioral disorders. Behavioral neurology and neuropsychiatry has grown as a subspecialty along with increased recognition of two common brain disorders: dementia and traumatic brain injury. Alzheimer disease is a highly prevalent dementia and a prototypical memory disorder, which has led to a primary focus on cognitive screening and assessment. By contrast, recent attention concerning possible long-term sequelae of repetitive traumatic brain injury has emphasized aberrant behavior (eg, depression, impulsivity, aggression). Clinical phenotyping across cognitive and behavioral dimensions, in conjunction with advancements in structural and functional neuroimaging, brain electrophysiologic techniques, and molecular genetics, is essential to improve diagnostic precision and therapeutic targeting along the spectrum of CNS disorders. All neurologists benefit from honing their clinical skills in neurobehavioral assessment. A systematic approach to cognitive and behavioral assessment increases differential diagnostic specificity, helps focus appropriate therapeutic interventions, and improves the quality of life for patients and their families. This article highlights practical approaches to neurobehavioral assessment in support of differential diagnosis and therapeutic monitoring in general neurology practice.",{},,"Continuum (Minneapolis, Minn.)",10.1212/01.CON.0000466655.51790.2f,,,Case Reports; Historical Article; Journal Article; Review,United States,eng
19667003,Carbamazepine-induced hyperammonemia.,"Adams, Erin N; Marks, Alla; Lizer, Mitsi H",Adams,"A case of carbamazepine-induced hyperammonemia is presented. A 26-year-old man with bipolar disorder, seizures, and mild mental retardation secondary to a traumatic brain injury began treatment with carbamazepine for aggression and seizure control. After three weeks of carbamazepine therapy, the patient arrived at the emergency department (ED) with severe agitation and aggressive behavior. His oral medications included topiramate, carbamazepine, olanzapine, quetiapine, guanfacine, and desmopressin acetate. The patient's medications had been stable for at least six months except for the addition of carbamazepine one month before his arrival at the ED. Upon admission, the patient's vital signs were found to be within normal limits, as were his liver profile results, complete blood count, thyroid-stimulating-hormone level, and serum chemistry panel. His serum carbamazepine concentration was 3.9 microg/mL (reference range, 4-12 microg/mL), and his serum ammonia concentration was 127 microg/dL (reference range, 19-60 microg/dL). Carbamazepine was discontinued upon admission, and the patient was treated with oral lactulose. Since carbamazepine was discontinued and had been prescribed for bipolar disorder, his olanzapine dosage was increased, and trazodone was added at bedtime for insomnia. Of note, the patient had been on carbamazepine therapy one year earlier and had experienced the same adverse event. He had also developed elevated serum ammonia levels while on valproic acid. The patient's serum ammonia level returned to normal by hospital day 4, and he was discharged to his group home. A 26-year-old man with bipolar disorder developed hyperammonemia three weeks after initiating carbamazepine therapy.",{},,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,10.2146/ajhp080454,,,Case Reports; Journal Article,England,eng
34805004,Intraosseous meningioma mimicking osteosarcoma.,"Delgado, Ruben; Bahmad, Hisham F; Bhatia, Vinay; Kantrowitz, Allen B; Vincentelli, Cristina",Delgado,"Predominantly intraosseous meningiomas are rare entities that include true primary intraosseous meningiomas (PIM), as well as meningiomas that may show extensive bone involvement, such as <i>en plaque</i> meningiomas. Different hypotheses have been proposed to decipher the origin of PIMs, such as ectopic arachnoid cap cell entrapment during birth or after trauma. Surgical resection is the treatment of choice of such lesions. We present a case of a 65-year-old man with an enlarging mass in the parieto-occipital region that grew slowly and progressively over 13 years, following head trauma during a motor vehicle accident. One year prior to presentation, he started experiencing daily holocranial headaches and blurry vision. CT and MRI studies revealed a permeative midline calvarial lesion measuring 14 cm in greatest dimension with extensive periosteal reaction, extension into the subcutaneous soft tissues, subjacent dural thickening and intracranial extension with invasion of the superior sagittal sinus. The favored pre-operative clinical diagnosis was osteosarcoma. The abnormal calvarium was excised and histopathological examination confirmed the diagnosis of a predominantly intraosseous calvarial meningioma, WHO grade I. The present case highlights the importance of histopathologic diagnosis in guiding therapeutic decisions and reiterates the necessity of considering PIM or meningiomas with extensive intraosseous component in the differential diagnosis of calvarial masses, even when imaging suggests a neoplasm with aggressive behavior, such as osteosarcoma.","DictElement({'Year': '2021', 'Month': '10', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2021,Autopsy & case reports,10.4322/acr.2021.332,PMC8597780,Case Reports; Meningioma; Osteosarcoma; Skull,Case Reports,Brazil,eng
31603723,Levetiracetam at the End of Life: A Case Report and Discussion.,"Mohamudally, Anthoulla; Clark, Katherine",Mohamudally,"Patients with primary brain tumors may present with neuropsychiatric symptoms such as behavioral and personality changes at any point during the disease course. Symptoms may be due to tumor treatment, the disease itself, or due to therapy for symptoms such as seizures. Levetiracetam is an attractive choice of antiepileptic medication because of relatively fewer drug interactions and may be administered through the subcutaneous route. Aggressive behavior in advanced brain tumors can have a profound negative impact on patients and their families and carers, particularly when deteriorating toward death. We report a case of neuropsychiatric symptoms in progressive glioblastoma multiforme while on stable levetiracetam doses, which improved with reduction and cessation of the drug. We review the existing literature on seizures in primary brain tumors, their antiepileptic drug management, and the risk of consequent neuropsychiatric adverse events.","DictElement({'Year': '2019', 'Month': '10', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2019,Journal of palliative medicine,10.1089/jpm.2019.0347,,epilepsy; levetiracetam; neuropsychiatric; primary brain tumor; seizure,Case Reports; Journal Article; Review,United States,eng
37131561,Indirect Confirmation of a COVID-19 Encephalitis Case.,"Georgousi, Kleoniki; Karageorgiou, Panagiotis; Tzaki, Maria; Pachi, Ioanna; Kyriazis, Ioannis",Georgousi,"A 58-year-old man was admitted to the hospital with acute neurological manifestations of encephalitis 15 days after a previous upper respiratory COVID-19 illness. On presentation, he was confused with altered mental status, aggressive behavior, and a Glasgow coma scale score of 10/15. Laboratory investigation, brain computed tomography (CT), and brain magnetic resonance imaging (MRI) were unremarkable with normal results. Although the cerebrospinal fluid (CSF) polymerase chain reaction (PCR) for SARS-CoV-2 was negative, we found increased concentrations of positive immunoglobulin (Ig) A and IgG antibodies in CSF, suggesting acute central nervous system (CNS) infection and indirect confirmation of virus neuroinvasion. There was no evidence of humoral auto-reactivity, and we rejected the hypothesis of autoimmune encephalitis with known autoantibodies. On the fifth day of hospitalization, myoclonic jerks emerged as a new neurological sign until the added levetiracetam led to total remission. The patient achieved full recovery after antiviral and corticosteroid therapy implementation of 10 days in the hospital. This case report emphasizes the importance of the presence of CSF IgA and IgG antibodies to diagnose encephalitis in COVID-19 patients as an indirect confirmation of CNS infection.","DictElement({'Year': '2023', 'Month': '03', 'Day': '31'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.36959,PMC10149089,central nervous system; cerebrospinal fluid; covid-19; encephalitis; sars-cov-2,Case Reports,United States,eng
27571172,Traumatic Brain Injury Due to Screwdriver Assaults: Literature Review and Case Report.,"Pavlidis, Pavlos; Karakasi, Maria-Valeria; Birbilis, Theodossios A",Pavlidis,"Penetrating head injuries due to the use of screwdrivers as wounding agents in acts of interpersonal violence seldom occur. The aim of this article is to update and summarize the relevant literature on penetrating craniocerebral screwdriver stab wounds and to report a new case of screwdriver assault. A number of studies were reviewed to investigate the incidence, distribution, common findings, mechanism of injury, differential diagnostic criteria, complications, treatment, and prognosis of craniocerebral screwdriver stab injuries. It was observed that the degree of traumatic severity depends on the cross-sectional area of the screwdriver and the anatomical region of injury. Craniocerebral screwdriver injuries are mainly cases of interpersonal violence and the mortality rate is approximately 47.6%. In 23.8% of the incidents, the trauma is overlooked on admission because of the small entry wound and, thus, the severity of the injury is not initially appreciated.",{},,The American journal of forensic medicine and pathology,10.1097/PAF.0000000000000267,,,Case Reports; Journal Article; Review,United States,eng
35282555,Pseudobulbar Affect Presenting as Aggressive Behavior.,"Kazi, Sana Elham; Anwar, Adeel",Kazi,"Pseudobulbar affect (PBA) is an affective disorder of emotional expression characterized by frequent uncontrollable outbursts of laughing or crying. It is usually associated with stroke, traumatic brain injury, and other neurological conditions. This disorder can present a challenge to clinicians to distinguish this from mood disorders or to diagnose this disorder in the context of underlying mood disorders. In addition, the delay in the diagnosis can impact patients' quality of life. We describe a 48-year-old man who presented with frequent episodes of sudden, frequent, uncontrollable laughing two years after his recurrent stroke. The patient initially had his first stroke about three years ago and had a recurrent stroke eight months after his first stroke. A few days after getting discharged after his second stroke, the patient was admitted to the psychiatric unit after his family members reported aggressive behavior. The patient also reported symptoms of depression and was discharged on escitalopram for mood and divalproex for his aggressive behavior. Unfortunately, the patient was not compliant with these medications with no resolution of his symptoms. The patient was then treated with dextromethorphan-quinidine, escitalopram, and divalproex, resulting in significant improvement in his mood and aggressive behavior with a resolution of uncontrollable laughing spells.  Clinicians are encouraged to inquire about symptoms of pseudobulbar affect in the context of stroke or other neurological disorders. Appropriate management of this condition can help improve patients' symptoms and positively affect their wellbeing.","DictElement({'Year': '2022', 'Month': '02', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.21978,PMC8906197,aggressive behavior; aphasia; cannabis use; dextromethorphan-quinidine; pseudobular afffect; stroke,Case Reports,United States,eng
35123125,A Case Study on the Management of the Behavioral Sequelae of Traumatic Brain Injury.,"Bajamundi-Plyler, Clare; Hatfield, Rachael; Rosier, James Tyler; Roy, Durga",Bajamundi-Plyler,"We present the case of a 46-year-old male with a history of post-traumatic stress disorder and opioid use disorder who sustained a severe traumatic brain injury secondary to motor vehicle accident and was brought to the attention of our psychiatry consultation-liaison team owing to significant physical and verbal aggression. This article will detail the specific behavioral and pharmacological management for this patient's symptoms. Additionally, experts in the field of consultation and liaison psychiatry will provide guidance based on their experience and a review of the available literature. Key teaching topics include the pathophysiology and cognitive evaluation of traumatic brain injury, conducting a behavioral analysis and developing a behavioral management plan and finally how to utilize appropriate symptom-based pharmacology while taking into account evidence-based treatment. Neuropsychiatric symptoms in traumatic brain injury are often challenging to manage owing to the varied symptom profile. Thus, treatment requires continued re-evaluation and a mixture of behavioral therapy and psychopharmacologic approaches.","DictElement({'Year': '2022', 'Month': '02', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2022,Journal of the Academy of Consultation-Liaison Psychiatry,10.1016/j.jaclp.2022.01.002,,"behavioral therapy, psychopharmacology; neuropsychiatry; traumatic brain injury",Case Reports; Journal Article; Review,Netherlands,eng
38255080,Traumatic Aneurysm Involving the Posterior Communicating Artery.,"Napoletano, Gabriele; Di Fazio, Nicola; Delogu, Giuseppe; Del Duca, Fabio; Maiese, Aniello",Napoletano,"Traumatic intracranial aneurysms (TICAs) are rare, accounting for less than 1% of all intracranial aneurysms. However, they are associated with a mortality rate of over 50%. The case presented herein focuses on a posterior communicating artery TICA caused by violent aggression. A 41-year-old man with massive subarachnoid hemorrhage (SAH), on admission to hospital, had a CT angiography that showed a ruptured left posterior communicating artery aneurysm with continuous blood loss and underwent neurosurgical cooling. The CT scan also showed fractures of the mandible, mastoid and left styloid process, as well as brain contusions caused by blows and kicks. Despite medical treatment and surgery, after four days, he died. The assault dynamics were recorded by a camera in the bar. The damage was caused by kicks to the neck and head. The forensic neuropathological examination showed the primary injury (SAH, subdural hemorrhage, cerebral contusions, head-neck fractures), as well as secondary damage following the attack (cerebral infarcts, edema, supratentorial hernia, midbrain hemorrhage). The coil was intact and well positioned. In this case, circumstantial information, medical records, and the type of injury could shed light on the mechanism of the production of a TICA. In addition, the CT angiography and histological investigations helped to distinguish a recent and traumatic aneurysm from a pre-existing one. Following precise steps, the study of aneurysms can be helpful in clarifying their traumatic origin even when the victim was taking drugs. The aim of this study is also to share the diagnostic process that we used in the forensic field for the assessment of suspected traumatic aneurysms.","DictElement({'Year': '2024', 'Month': '01', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2024,"Healthcare (Basel, Switzerland)",10.3390/healthcare12020192,PMC10815069,aneurysm rupture; cerebral angiography; forensic neuropathology; traumatic brain injury; traumatic intracranial aneurysm,Case Reports,Switzerland,eng
8215867,Amantadine-induced coma.,"Macchio, G J; Ito, V; Sahgal, V",Macchio,"Amantadine has found use primarily as an antiviral agent and in the symptomatic treatment of parkinsonism. However, the use of amantadine for the subjective alleviation of fatigue in multiple sclerosis and in the treatment of agitated aggressive behavior in the traumatic brain injured patient has also been described. Side effects of amantadine are primarily related to the central nervous system and include hallucinations, confusion, and nightmares. Toxic manifestations include acute psychosis, coma, cardiovascular toxicity, and death. Amantadine toxicity is a particular problem in patients with renal insufficiency because 90% of an oral dose is excreted unchanged in the urine. We present a case of amantadine-induced coma in a patient with multiple sclerosis and end-stage renal disease. Moreover, this degree of amantadine toxicity was profoundly apparent at a drug level usually not associated with such a severe presentation.",{},,Archives of physical medicine and rehabilitation,10.1016/0003-9993(93)90072-i,,,Case Reports; Journal Article,United States,eng
