pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
6850274,Callosal apraxia.,"Watson, R T; Heilman, K M",Watson,"A 43-year-old woman suffered a spontaneous corpus callosum disconnection, resulting in apraxia and apraxic agraphia confined to the left hand. She initially had a functionally total callosal disconnection. With time, the splenium of the corpus callosum became functional, and a computerized tomographic scan performed five months after the onset showed infarction of only the body of the corpus callosum. Concomitant with this improvement in callosal function, the apraxia changed from ideational (loss of the concept of skilled movements) to classic ideomotor apraxia. A temporal analysis of this case provided support for Liepmann's (Liepmann, 1900; Liepmann and Maas, 1970) hypothesis that there is a centre for visuokinaesthetic (space-time) engrams in the left hemisphere of right-handed patients that controls skilled motor acts in either hand. This patient's recovery also allowed us a better understanding of the mechanisms underlying various types of apraxia.",{},,Brain : a journal of neurology,10.1093/brain/106.2.391,,,Case Reports; Journal Article,England,eng
30953621,Seeing is not believing.,"Foster, Zane; Kini, Ashwini; Al Othman, Bayan; Lee, Andrew G; Vaphiades, Michael",Foster,"An 84-year-old woman with a history of dry age-related macular degeneration presented with an acute inability to read, but intact writing ability (pure alexia or alexia without agraphia). She denied any difficulty speaking, paresthesias, or hemiparesis. Her visual acuity was 20/20 in each eye. Macular examination, optical coherence tomography, and fluorescein angiography demonstrated the previously diagnosed macular drusen and geographic atrophy of the retinal pigment epithelium consistent with the dry form of age-related macular degeneration both eyes. Automated perimetry revealed a right homonymous hemianopsia. Neuroimaging confirmed a left occipital ischemic infarction with involvement of the splenium of the corpus callosum producing the classic disconnection syndrome of alexia without agraphia.","DictElement({'Year': '2019', 'Month': '04', 'Day': '04'}, attributes={'DateType': 'Electronic'})",2019,Survey of ophthalmology,10.1016/j.survophthal.2019.03.008,,alexia without agraphia; occipital lobe; pure alexia; reading problems; splenium of corpus callosum; stroke,Case Reports; Journal Article,United States,eng
22075046,Callosal warning syndrome.,"Nandhagopal, Ramachandiran; Al-Asmi, Abdullah; Johnston, William James; Jacob, P C; Arunodaya, G R",Nandhagopal,"To report the clinical and imaging findings in a patient with an initial fluctuating disconnection syndrome due to corpus callosal ischemia that ultimately culminated in infarction with persistent symptoms. A 40-year-old, hypertensive, right-handed man presented with transient, stereotyped symptoms of corpus callosal disconnection (intermanual conflict, apraxia, dysgraphia and construction difficulties in his left hand). Serial magnetic resonance imaging scans demonstrated the ischemic nature of the initial fluctuating symptoms and later showed callosal infarction when the symptoms were persistent. Magnetic resonance angiogram did not reveal significant stenosis or occlusion of the internal carotid or proximal portion of anterior cerebral arteries. Patient received standard treatment for ischemic stroke and at follow-up 1 month later, had mild left hand apraxia, dysgraphia and construction difficulties. The case highlights the unusual occurrence of crescendo transient ischemic attacks culminating in infarction in the location of corpus callosum. We have termed this novel stroke syndrome as 'callosal warning syndrome' as the temporal profile was quite indistinguishable from that of relatively well-known stroke warning syndromes in the location of internal capsule and pontine tegmentum.","DictElement({'Year': '2011', 'Month': '11', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2011,Journal of the neurological sciences,10.1016/j.jns.2011.10.007,,,Case Reports; Journal Article,Netherlands,eng
35903929,Capecitabine-related neurotoxicity presenting with agraphia.,"Iscan, Dilek; Tolay, Rumeysa; Bayram, Ertugrul; Demir, Turgay; Bicakci, Sebnem",Iscan,"Capecitabine is a pre-metabolite of 5-fluorouracil and is used as a chemotherapeutic agent. Among the common side effects of capecitabine, there are gastrointestinal side effects including nausea, vomiting, and diarrhea, and dermatological side effects including hand-foot syndrome and skin pigmentation change. However, neurological side effects of capecitabine are very rare. We describe herein a patient who developed neurological side effects in the form of agraphia and dysarthria on the 7th day of capecitabine treatment. A 34-year-old male patient, who was being followed up with the diagnosis of colon cancer, presented with speech and writing disorder that developed while under capecitabine treatment. Dysarthria and agraphia were detected in his neurological examination. Diffusion-weighted magnetic resonance imaging (MRI) revealed acute diffusion restriction in the splenium of the corpus callosum and at the level of the bilateral centrum semiovale. Brain MRI revealed symmetrical T2-weighted fluid-attenuated inversion recovery (T2-FLAIR) signal increases at the right temporoparietal medial, corpus callosum level, and bilateral white matter level. The capecitabine treatment was terminated, and methylprednisolone treatment was administered and plasmapheresis procedure was carried out. Subsequently, significant improvement was observed in the clinical findings and neuroimaging. Capecitabine is used as an oral agent; thus, it provides ease of use. Neurological side effects associated with the use of capecitabine reportedly occur very rarely. The findings of this case demonstrated that leukoencephalopathy can be seen during the use of capecitabine, imaging results are very important in the diagnosis of leukoencephalopathy, and improvement can be achieved with the termination of the capecitabine treatment.","DictElement({'Year': '2022', 'Month': '07', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2022,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,10.1177/10781552221116329,,Agraphia; capecitabine; neurotoxicity,Case Reports; Journal Article,England,eng
738066,Paroxysmal alexia.,"Holtzman, R N; Rudel, R G; Goldensohn, E S",Holtzman,"This report describes a case of paroxysmal alexia which progressed to a persistent syndrome of alexia without agraphia. The sequence of symptoms beginning with a sensation of eyeball movement followed by blurred vision in the affected eye, alexia and diminished awareness strongly implicates an ictal mechanism. Anatomical, physiological and psychological considerations suggest that the syndrome arose from functional disruption between the visual cortex and the dominant inferior parietal cortex.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(78)80033-1,,,Case Reports; Journal Article,Italy,eng
6663305,Neglect dysgraphia.,"Baxter, D M; Warrington, E K",Baxter,"A phonological dysgraphic syndrome is documented in a left handed man with a right-hemisphere lesion. His spelling was significantly affected by word length but neither word frequency nor the orthographical irregularity or word class proved to be relevant variables. Words were spelled equally efficiently forwards as backwards. A clear gradient of letter errors was shown to exist with letters on the left being mis-spelled more often than letters on the right of a word, irrespective of word length. These findings are discussed in terms of current models of spelling and their relevance to theories of unilateral neglect.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.46.12.1073,PMC491770,,Case Reports; Journal Article,England,eng
21675099,Alexia without agraphia.,"Mulroy, E; Murphy, S; Lynch, T",Mulroy,Alexia without agraphia (also called pure alexia or word blindness) was the first of the disconnection syndromes (syndromes caused by disconnection of the right from the left cerebral hemisphere through interruption of the communication pathways between them) to be described. Déjerine in 1892 reported a patient who developed this syndrome after an infarct of the left occipital lobe and splenium of the corpus callosum. We describe a patient who developed alexia without agraphia due to an embolic left occipital lobe infarct extending to the posterior commissure and splenium of the corpus callosum.,{},,Irish medical journal,,,,Case Reports; Journal Article,Ireland,eng
1630612,Alexia without agraphia.,"Quint, D J; Gilmore, J L",Quint,"Two new cases of alexia without agraphia are presented. Pertinent clinical findings, anatomy, pathophysiology and differential diagnoses are reviewed. The importance of carefully examining the inferior portion of the left side of the splenium of the corpus callosum on CT and/or MR scans in patients who present with this clinical syndrome is stressed.",{},,Neuroradiology,10.1007/BF00596338,,,Case Reports; Journal Article,Germany,eng
1723332,Writing with the right hemisphere.,"Rapcsak, S Z; Beeson, P M; Rubens, A B",Rapcsak,"We studied writing abilities in a strongly right-handed man following a massive stroke that resulted in virtually complete destruction of the language-dominant left hemisphere. Writing was characterized by sensitivity to lexical-semantic variables (i.e., word frequency, imageability, and part of speech), semantic errors in writing to dictation and written naming, total inability to use the nonlexical phonological spelling route, and agrammatism in spontaneous writing. The reliance on a lexical-semantic strategy in spelling, semantic errors, and impaired phonology and syntax were all highly consistent with the general characteristics of right hemisphere language, as revealed by studies of split-brain patients and adults with dominant hemispherectomy. In addition, this pattern of writing closely resembled the syndrome of deep agraphia. These observations provide strong support for the hypothesis that deep agraphia reflects right hemisphere writing.",{},,Brain and language,10.1016/0093-934x(91)90171-v,,,Case Reports; Journal Article,Netherlands,eng
37478549,White matter tract disconnection in Gerstmann's syndrome: Insights from a single case study.,"Ranzini, Mariagrazia; Ferrazzi, Giulio; D'Imperio, Daniela; Giustiniani, Andreina; Danesin, Laura; D'Antonio, Valentina; Rigon, Elena; Cacciante, Luisa; Rigon, Jessica; Meneghello, Francesca; Turolla, Andrea; Vallesi, Antonino; Semenza, Carlo; Burgio, Francesca",Ranzini,"It has been suggested that Gerstmann's syndrome is the result of subcortical disconnection rather than emerging from damage of a multifunctional brain region within the parietal lobe. However, patterns of white matter tract disconnection following parietal damage have been barely investigated. This single case study allows characterising Gerstmann's syndrome in terms of disconnected networks. We report the case of a left parietal patient affected by Gerstmann's tetrad: agraphia, acalculia, left/right orientation problems, and finger agnosia. Lesion mapping, atlas-based estimation of probability of disconnection, and DTI-based tractography revealed that the lesion was mainly located in the superior parietal lobule, and it caused disruption of both intraparietal tracts passing through the inferior parietal lobule (e.g., tracts connecting the angular, supramarginal, postcentral gyri, and the superior parietal lobule) and fronto-parietal long tracts (e.g., the superior longitudinal fasciculus). The lesion site appears to be located more superiorly as compared to the cerebral regions shown active by other studies during tasks impaired in the syndrome, and it reached the subcortical area potentially critical in the emergence of the syndrome, as hypothesised in previous studies. Importantly, the reconstruction of tracts connecting regions within the parietal lobe indicates that this critical subcortical area is mainly crossed by white matter tracts connecting the angular gyrus and the superior parietal lobule. Taken together, these findings suggest that this case study might be considered as empirical evidence of Gerstmann's tetrad caused by disconnection of intraparietal white matter tracts.","DictElement({'Year': '2023', 'Month': '06', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2023,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2023.05.016,,Gerstmann's syndrome; Lesion Mapping; Optic ataxia; White matter tract disconnection; stroke,"Case Reports; Research Support, Non-U.S. Gov't",Italy,eng
