pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
19297375,Akinetic mutism--not coma.,"Shetty, Anita Chittaranjan; Morris, John; O'Mahony, Paul",Shetty,"We describe a case of akinetic mutism mistaken as coma. A 77-year old lady presented with apparent unresponsiveness. In fact she responded when stimulated. She subsequently developed movements typical of clonic perseveration, erroneously treated as seizures. She also had features of a frontal lobe syndrome. Initial CT scan showed no abnormality; it was only after an MRI scan that a diagnosis of bilateral paramedian thalamic infarction was made. MRI scanning should be considered early in the investigation of patients with atypical neurological presentation.","DictElement({'Year': '2009', 'Month': '03', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2009,Age and ageing,10.1093/ageing/afp005,,,Case Reports; Journal Article,England,eng
37781407,Autoimmune GFAP astrocytopathy after viral encephalitis: a case report of bimodal overlapping encephalitis.,"Cheng, Ping; Huang, Wenjuan; Yang, Meifang; Chen, Zhiren; Geng, Yifan; Zhang, Xia; Chen, Weiwei",Cheng,"Autoimmune glial fibrillary acidic protein (GFAP) astrocytopathy is a treatable autoimmune disorder affecting the central nervous system. Despite extensive research, the exact etiology and pathogenesis of this condition remain unclear. In recent years, autoimmune encephalitis (AE) after viral encephalitis (VE) has gathered significant attention. Here, we present a case report of autoimmune GFAP astrocytopathy after VE in a 43-year-old Asian male with a history of oral and labial herpes. The patient presented with high-grade fever, headache, urinary retention, unresponsiveness, and apathy. Elevated levels of protein and GFAP-IgG were observed in the cerebrospinal fluid (CSF), and enhanced brain magnetic resonance imaging (MRI) revealed linear enhancement oriented radially to the ventricles. Treatment with intravenous immunoglobulin (IVIG) resulted in symptom relief, reduced lesion enhancement, and decreased protein levels. This case report highlights bimodal encephalitis with no discernible interval between VE and autoimmune GFAP astrocytopathy, which poses diagnostic challenges. Notably, autoimmune GFAP astrocytopathy is a novel form of autoimmune encephalitis, and its treatment lacks sufficient clinical experience. Intriguingly, our patient demonstrated sensitivity to IVIG, a treatment that differed from past reports. Therefore, further exploration of treatment strategies for this condition is warranted.","DictElement({'Year': '2023', 'Month': '09', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2023,Frontiers in immunology,10.3389/fimmu.2023.1258048,PMC10535097,case report; encephalitis; glial fibrillary acidic protein (GFAP); herpes simplex viral encephalitis (HSVE); viral encephalitis (VE),"Case Reports; Research Support, Non-U.S. Gov't",Switzerland,eng
30915252,Pneumocephalus and Meningitis as Complications of Mastoiditis.,"Barry, Conor; Rahmani, George; Bergin, Diane",Barry,"Pneumocephalus in the absence of trauma, tumour, or surgery is a rare entity. We report a case of a 73-year-old lady who presented with sepsis leading to confusion and unresponsiveness. A CT of brain revealed mastoiditis, sinusitis, and associated pneumocephalus. Further investigations led to an eventual diagnosis of pneumococcal meningitis. The combination of pneumocephalus and meningitis as complications of mastoiditis is rare with very few cases published in the literature. We describe one such case.","DictElement({'Year': '2019', 'Month': '02', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2019,Case reports in radiology,10.1155/2019/7876494,PMC6399545,,Case Reports,United States,eng
28150524,Akinetic mutism and the story of David.,"Sinden, Rebecca; Wilson, Barbara A; Rose, Anita; Mistry, Nimisha",Sinden,"Following a description about the characteristics of akinetic mutism (AM) and how it differs from locked-in syndrome (LIS) and a disorder of consciousness (DOC), we present the case of David, a 71-year-old man with AM. David sustained a stroke following a middle cerebral artery (MCA) thrombus. A CT scan at the time detected old ischaemic infarcts affecting the right frontal lobe, the left occipital lobe and the left parietal lobe so David had bilateral brain damage. Initially thought to have a DOC, further neuropsychological assessments administered when David had improved a little, resulted in the diagnosis of AM. Although David spoke little, when he did speak, his words and phrases were well articulated, grammatical and with appropriate intonation. He was alert and visually aware and he was not paralysed. We discuss whether the diagnosis was correct and address the difficulties in assessing such patients.","DictElement({'Year': '2017', 'Month': '02', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2017,Neuropsychological rehabilitation,10.1080/09602011.2017.1281147,,Akinetic mutism; differential diagnosis; neuropsychological assessments,Case Reports; Journal Article,England,eng
37602025,The Heart Remembers: A Case of Cardiac Memory.,"Naik, Riddhima; Thyagaturu, Harshith; Awad, Maan; Bischof, Edward",Naik,"An 80-year-old male with a history of atrial fibrillation and a single-chamber ventricular pacemaker presented to the hospital for an elective colonoscopy. He experienced a transient episode of unresponsiveness with seizure-like activity before the procedure. This prompted him to get an EKG showing deep T-wave inversions (TWIs) in the precordial leads on a background of paced beats. Such findings were concerning for an acute and potentially life-threatening process such as myocardial infarction (MI) or intracranial insult. After ruling out any severe conditions, the EKG findings were attributed to cardiac memory, an underdiagnosed cause of deep TWIs in patients with a pacemaker.","DictElement({'Year': '2023', 'Month': '07', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.42106,PMC10436023,acute coronary syndrome; cardiac memory; pacemaker; syncope; ventricular paced rhythm,Case Reports,United States,eng
27955795,Akinetic mutism revealing an ischemic stroke.,"Zidouh, Saad; Jidane, Said; Belkouch, Ahmed; Bakkali, Hicham; Belyamani, Lahcen",Zidouh,We describe a 44-year-old man who developed akinetic mutism following a cerebrovascular accident involving his left middle cerebral artery. We discuss this rare condition and its unusual clinical picture.,"DictElement({'Year': '2016', 'Month': '11', 'Day': '04'}, attributes={'DateType': 'Electronic'})",2016,The American journal of emergency medicine,10.1016/j.ajem.2016.11.008,,,Case Reports; Journal Article,United States,eng
1271046,"Adult ""failure-to-thrive"" syndrome.","Messert, B; Kurlanzik, A E; Thorning, D R",Messert,"The analogy between the ""failure-to-thrive"" syndrome of childhood and a symptom complex seen in adult neurology is described. Adults presenting with a variety of central nervous system diseases occasionally seem to follow an unusual stereotyped course resulting in intractable weight loss, wide variations in temperature, and a tendency to intractable decubitus ulcerations in a setting of decreased levels of consciousness. Sudden death occurs unexpectedly. This syndrome can be observed following cerebral thrombosis, traumatic encephalopathy, degenerative central nervous system disorders, and encephalitis. The pathophysiology is thought to result from the random aggregate of lesions rather than a verifiable discrete hypothalamic deficit.",{},,The Journal of nervous and mental disease,10.1097/00005053-197606000-00006,,,Case Reports; Journal Article,United States,eng
15327227,Subarachnoid haemorrhage and akinetic mutism.,"Choudhari, K A",Choudhari,"Two rare cases of akinetic mutism induced by aneurysmal subarachnoid haemorrhage are reported. The literature is reviewed, the possible pathophysiological mechanism of akinetic mutism is considered and the association between these two conditions is explored with an attempt to address the roles of medical treatment and surgery and to discuss prognosis.",{},,British journal of neurosurgery,10.1080/02688690410001732698,,,Case Reports; Journal Article; Review,England,eng
19467439,Transient post-traumatic locked-in syndrome: a case report and a literature review.,"Carrai, R; Grippo, A; Fossi, S; Campolo, M C; Lanzo, G; Pinto, F; Amantini, A",Carrai,"Post-traumatic locked-in syndrome may be particularly difficult to recognize, especially when it follows a state of coma and presents the clinical feature of a ""total"" locked-in syndrome. A 56-year-old male with a closed head injury was admitted in intensive care unit (ICU) with GCS=4 (V1, M2, E1). Computed tomography (CT) scan disclosed a limited subarachnoid haemorrhage in the sylvian region without any brain oedema or ventricular shift. The GCS did not change until day 6. At the same time EEG showed a reactivity to acoustic stimuli consisting in the paradoxical appearance of a posterior rhythm in alpha range (10-12c/s), blocked by passive eye opening. Early cortical components (N20-P25) of somatosensory evoked potentials were normal on both hemispheres; middle components were also clearly evident. Magnetic resonance imaging of the brain showed both diffuse and midbrain axonal injuries, particularly in a strategic lesion involving both cerebral peduncles. Event related potentials showed N2 and P3 components to stimulation by rare tones. A comprehensive multimodal neurophysiological approach, using the more informative tests and the proper time of recording, should be included in protocols for patients with severe head trauma, in order to establish the actual patient's clinical state and to avoid that a locked-in syndrome state be mistaken for prolonged coma, vegetative state, minimally conscious state or akinetic mutism. Neurophysiological evaluation before discharge from ICU can be a baseline evaluation useful for the follow-up of low-responsive patients in the neuro-rehabilitation unit.","DictElement({'Year': '2008', 'Month': '12', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2008,Neurophysiologie clinique = Clinical neurophysiology,10.1016/j.neucli.2008.11.003,,,Case Reports; Journal Article; Review,France,eng
26267994,Intravenous Heroin-Associated Delayed Spongiform Leukoencephalopathy: Case Report and Reviews of the Literature.,"Pirompanich, Pattarin; Chankrachang, Siwaporn",Pirompanich,"Heroin-associated spongiform leukoencephalopathy is a rare, and sometimes fatal, condition usually caused by vapor inhalation of heroin. The authors report a 41-year-old man who was diagnosed with delayed spongiform leukoencephalopathy three weeks after injecting heroin intravenously. He had been admitted to another hospital due to acute heroin overdose, which had occurred four hours after intravenous injection of an unknown amount of heroin. His clinical condition showed progressive improvement and he was discharged 12 days after admission. Three weeks after this episode, his cognitive functioning declined. Akinetic mutism, spasticity and hyperreflexia of all extremities were observed. Electroencephalography (EEG) and imaging of the brain showed typical characteristics of spongiform leukoencephalopathy. The three and six-month follow-up of the patient showed clinical improvement and this was corroborated through EEG measures and brain imaging. The discussion summarizes eight previously reported cases of intravenous heroin associated spongiform leukoencephalopathy and compares them to the authors'case.",{},,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,,,,Case Reports; Journal Article; Review,Thailand,eng
