pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
36370599,Right hemi-alexia.,"Barton, Jason Js; Rubino, Cristina; Albonico, Andrea; Jackson, MaryLou; Davies-Thompson, Jodie",Barton,"While pure alexia was long considered a disconnection syndrome, it may also be a selective visual word agnosia due to damage to the visual word form area. Disconnection is still the likely explanation of hemi-alexias, though, particularly when splenial lesions damage inter-hemispheric projections and cause left hemi-alexia. An intra-hemispheric disconnection causing right hemi-alexia is theoretically possible but seems very rare, with only a single report that has been challenged on the grounds of inadequate perimetry. We describe the case of PH, who had a severe reading deficit in her right hemifield. Detailed perimetry showed only a small relative hemi-scotoma along the horizontal meridian, while word reading was impaired over a much larger expanse of her right hemifield, in which object recognition was spared. Reading, lexical decisions, and perceptual discrimination of words were impaired in the right hemifield, and this extended to letters and numbers, with a trend to an effect on the perception of an unfamiliar script, namely Korean. On magnetic resonance imaging she had a large left lateral occipital meningioma with vasogenic edema of occipital white matter tracts. Functional magnetic resonance imaging showed that the visual word form area was located just anterior to the mass. Her perceptual abnormalities resolved after resection of the tumor. We conclude that right hemi-alexia exists and is most likely due to intra-hemispheric disconnection of occipital input to the visual word form area.","DictElement({'Year': '2022', 'Month': '10', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2022,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2022.09.015,,Disconnection; Inferior longitudinal fasciculus; Pure alexia; Reading; Words,"Case Reports; Research Support, Non-U.S. Gov't",Italy,eng
3701356,Pantomime agnosia.,"Rothi, L J; Mack, L; Heilman, K M",Rothi,"Visual agnosia is impaired visual recognition not explained by defective visual acuity, visual fields, attention, or general mental ability. Two nonapraxic patients with lesions in the left occipital lobe could imitate pantomimes they could not recognise. Although both patients had a hemianopia, sparing of gesture imitation shows that no visual defect accounts for their inability to recognise pantomimes. Both patients were amnestic and alexic but had no general impairment of cognitive ability to account for a pantomime-recognition disorder. These patients seem to have agnosia for pantomime. From the computed tomograms from these patients, we propose that inferior visual association cortex is critical for gesture comprehension, whereas superior portions of these structures are critical for imitating or performing pantomime to an object presented visually.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.49.4.451,PMC1028777,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",England,eng
30953621,Seeing is not believing.,"Foster, Zane; Kini, Ashwini; Al Othman, Bayan; Lee, Andrew G; Vaphiades, Michael",Foster,"An 84-year-old woman with a history of dry age-related macular degeneration presented with an acute inability to read, but intact writing ability (pure alexia or alexia without agraphia). She denied any difficulty speaking, paresthesias, or hemiparesis. Her visual acuity was 20/20 in each eye. Macular examination, optical coherence tomography, and fluorescein angiography demonstrated the previously diagnosed macular drusen and geographic atrophy of the retinal pigment epithelium consistent with the dry form of age-related macular degeneration both eyes. Automated perimetry revealed a right homonymous hemianopsia. Neuroimaging confirmed a left occipital ischemic infarction with involvement of the splenium of the corpus callosum producing the classic disconnection syndrome of alexia without agraphia.","DictElement({'Year': '2019', 'Month': '04', 'Day': '04'}, attributes={'DateType': 'Electronic'})",2019,Survey of ophthalmology,10.1016/j.survophthal.2019.03.008,,alexia without agraphia; occipital lobe; pure alexia; reading problems; splenium of corpus callosum; stroke,Case Reports; Journal Article,United States,eng
33311809,Brain metastasis from extramammary Paget's disease.,"Hanyu, Taketo; Fujitani, Shigeru; Ito, Ai; Mizutani, Nobuhiko",Hanyu,"Herein, we present a case of extramammary Paget's disease with brain metastasis that was diagnosed pathologically for the first time in Japan. Moreover, invasive extramammary Paget's disease (with distant metastasis) highly resistant to treatment. Only for brain metastasis, we may control the tumor by surgical resection and stereotactic radiosurgery (SRT) for the treatment of intracranial metastases was assessed. An 76-year-old man was diagnosed with extramammary Paget's disease of the vulva at nearby hospital. Surgical resection and sentinel lymph node dissection were then performed, and the patient received chemotherapy because multiple lymph node metastases were suspected. The patient's response to chemotherapy was poor, and he was in the state of Progressive Disease. He complained of dyslexia and was referred to another hospital when he was 81 years old. Plain magnetic resonance imaging (MRI) was conducted, and two brain tumors in the vicinity of the left cerebellar tent were suspected. In our hospital, gadolinium contrast-enhanced MRI was performed and showed a tumor in the cerebellum (left posterior temporal lobe) and another tumor under the tent (left cerebellar hemisphere). Significant edema was also noted. Based on these findings, the intracranial lesion was diagnosed as metastatic brain tumor. The pathological diagnosis was brain metastasis from extramammary Paget's disease. Postoperative intracranial residual disease was treated with stereotactic radiosurgery. MRI showed that the size of the cerebellar lesions decreased, and no recurrence of cerebral lesions was observed. SRT for extracranial lymph node metastases was performed. Mass reduction and SRT may be the best way to treat brain metastasis from extramammary Paget's disease.",{},,Nagoya journal of medical science,10.18999/nagjms.82.4.791,PMC7719447,brain metastasis; extramammary Paget’s disease; stereotactic radiosurgery,Case Reports,Japan,eng
36186193,Transient ischemic attack after mRNA-based COVID-19 vaccination during pregnancy: A case report.,"Chang, Chi-Han; Kao, Sheng-Po; Ding, Dah-Ching",Chang,"Thrombocytopenia with thrombosis syndrome has been reported after vaccination against severe acute respiratory syndrome coronavirus 2 with two mRNA vaccines. The syndrome is characterized by thrombosis, especially cerebral venous sinus thrombosis, and may lead to stroke. Pregnant women with stroke show higher rates of pregnancy loss and experience serious pregnancy complications. We present the case of a 24-year-old pregnant woman with a transient ischemic attack (TIA) that developed after vaccination with the Moderna mRNA-1273 vaccine (at 37 2/7 wk). TIA occurred 13 d following the coronavirus disease vaccination. At 39 1/7 wk of pregnancy, the patient presented with sudden onset of right eye blurred vision with headache, dizziness with nausea, right-hand weakness, anomia, and alexia. The symptoms lasted 3 h; TIA was diagnosed. Blood test results revealed elevated D-dimer, cholesterol, and triglyceride levels. Brain magnetic resonance imaging showed no acute hemorrhagic or ischemic stroke. At pregnancy 37 6/7 wk, she was admitted for cesarean delivery to reduce subsequent risk of stroke during labor. Body mass index on admission was 19.8 kg/m<sup>2</sup>. Magnetic resonance angiography and transesophageal echocardiography showed no abnormalities. The next day, a mature female baby weighing 2895 g and measuring 50 cm was delivered. Apgar scores were 8 and 9 in the first and fifth minutes. D-dimer levels decreased on postoperative day 4. After discharge, the autoimmune panel was within normal limits, including antinuclear and antiphospholipid antibodies. TIA might be developed after the mRNA vaccines in pregnant women.",{},,World journal of clinical cases,10.12998/wjcc.v10.i27.9929,PMC9516928,COVID-19; Case report; Pregnancy; Stroke; Transient ischemic attack; mRNA vaccine,Case Reports,United States,eng
6244876,Word-form dyslexia.,"Warrington, E K; Shallice, T",Warrington,"In this study we have reported our investigation of two patients with an acquired dyslexia characterized by letter-by-letter reading, whole word reading being apparently impossible. It has been shown that this phenomenon of letter-by-letter reading cannot be accounted for by visual or perceptual factors nor by impairment of visual span of apprehension. The exceptionally slow speed of reading was documented and a clear relationship between word length and reading speed established. Performance on tasks considered to maximize whole word reading which at the same time prevent the possibility of letter-by-letter reading, namely, reading script and reading with tachistoscopic presentation, was impaired. The satisfactory performance of these two patients on tasks of picture interpretation suggests that the two components of the syndrome simultanagnosia, letter-by-letter reading and piecemeal perception of complex scenes, are dissociable. Three alternative explanations of letter-by-letter reading are considered and we conclude that in this type of acquired dyslexia there is damage to the system through which a visual word-form is attained.",{},,Brain : a journal of neurology,10.1093/brain/103.1.99,,,Case Reports; Journal Article,England,eng
2765859,Positional dyslexia.,"Katz, R B; Sevush, S",Katz,"Position-specific errors in word reading are usually associated with neglect or visual extinction on the same side as the reading problem. In this study, two patients with left-hemisphere lesions showed visual extinction on the right but reading difficulty on the left side of words and pseudowords. Further study of one patient revealed that he also had problems reading the beginning of words presented tachistoscopically or in vertical orientation. In addition, the positional difficulty was apparent when he named the letters in words. The pattern of results indicates that the positional dyslexia in these patients was not likely attributable to general deficits in visual perception or attention but may have reflected a disorder at a later stage of letter processing.",{},,Brain and language,10.1016/0093-934x(89)90019-9,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",Netherlands,eng
738066,Paroxysmal alexia.,"Holtzman, R N; Rudel, R G; Goldensohn, E S",Holtzman,"This report describes a case of paroxysmal alexia which progressed to a persistent syndrome of alexia without agraphia. The sequence of symptoms beginning with a sensation of eyeball movement followed by blurred vision in the affected eye, alexia and diminished awareness strongly implicates an ictal mechanism. Anatomical, physiological and psychological considerations suggest that the syndrome arose from functional disruption between the visual cortex and the dominant inferior parietal cortex.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(78)80033-1,,,Case Reports; Journal Article,Italy,eng
21675099,Alexia without agraphia.,"Mulroy, E; Murphy, S; Lynch, T",Mulroy,Alexia without agraphia (also called pure alexia or word blindness) was the first of the disconnection syndromes (syndromes caused by disconnection of the right from the left cerebral hemisphere through interruption of the communication pathways between them) to be described. Déjerine in 1892 reported a patient who developed this syndrome after an infarct of the left occipital lobe and splenium of the corpus callosum. We describe a patient who developed alexia without agraphia due to an embolic left occipital lobe infarct extending to the posterior commissure and splenium of the corpus callosum.,{},,Irish medical journal,,,,Case Reports; Journal Article,Ireland,eng
27450929,The role of parieto-temporal connectivity in pure neglect dyslexia.,"Ptak, Radek; Di Pietro, Marie; Pignat, Jean-Michel",Ptak,"The initial stages of reading are characterised by parallel and effortless access to letters constituting a word. Neglect dyslexia is an acquired reading disorder characterised by omission or substitution of the initial or the final letters of words. Rarely, the disorder appears in a'pure' form that is, without other signs of spatial neglect. Neglect dyslexia is linked to damage involving the inferior parietal lobe and regions of the temporal lobe, but the precise anatomical basis of the pure form of the disorder is unknown. Here, we show that pure neglect dyslexia is associated with decreased structural connectivity between the inferior parietal and lateral temporal lobe. We examined patient DM, who following bilateral occipito-parietal damage presented left neglect dyslexia together with right visual field loss, but no signs of spatial neglect. DM's reading errors were affected by word length and were much more frequent for pseudowords than for existing words. Most errors were omissions or substitutions of the first or second letter, and the spatial distribution of errors was similar for stimuli presented left or right of fixation. The brain lesions of DM comprised the inferior and superior parietal lobule as well as the cuneus and precuneus of the left hemisphere, and the angular gyrus and lateral occipital cortex of the right hemisphere. Diffusion tensor imaging revealed bilateral decrease of fibre tracts connecting the inferior parietal lobule with the superior and middle temporal cortex. These findings suggest that parieto-temporal connections play a significant role for the deployment of attention within words during reading.","DictElement({'Year': '2016', 'Month': '07', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2016,Brain research,10.1016/j.brainres.2016.07.033,,Disconnection; Neglect dyslexia; Parietal lobe; Reading; Spatial neglect; Temporal lobe; Visual attention,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Netherlands,eng
