pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33897336,Unilateral neglect or alien hand syndrome? A diagnostic challenge.,"Wan Yusoff, Wan R; Hanafi, Muhammad H; Ibrahim, Al Hafiz; Kassim, Nur K; Suhaimi, Anwar",Wan Yusoff,"Alien hand syndrome (AHS) is a rare post-stroke complication. Although the occurrence of AHS after stroke is rare, it can have a disabling impact on the lifestyle and career of the patients post stroke. It is difficult to distinguish AHS from the non-dominant hemispheric infarction with symptoms of hemianopia and left hemineglect, as patients with AHS can also have neglect as well as behaviour symptoms if the frontal lobe is involved. We report the case of a 62-year-old gentleman who was admitted to the rehabilitation ward and was treated for neglect and apraxia following right middle cerebral artery stroke. After further re-evaluation, the patient was diagnosed with AHS. Functionally, he improved and the symptoms disappeared four months after the stroke. In this case report, we highlight the features of AHS and provide a unique management approach.","DictElement({'Year': '2021', 'Month': '01', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2021,Journal of Taibah University Medical Sciences,10.1016/j.jtumed.2020.12.003,PMC8046948,Alien hand syndrome; Apraxias; Neglect; Rehabilitation; Stroke,Case Reports,Saudi Arabia,eng
35696732,Reach planning with someone else's hand.,"Rossi Sebastiano, Alice; Poles, Karol; Miller, Luke E; Fossataro, Carlotta; Milano, Edoardo; Gindri, Patrizia; Garbarini, Francesca",Rossi Sebastiano,"To investigate the relationship between the sense of body ownership and motor control, we capitalized on a rare bizarre disorder wherein another person's hand is misattributed to their own body, i.e., a pathological form of embodiment (E+). Importantly, despite E+ is usually associated with motor deficits, we had the opportunity to test two E+ patients with spared motor function, thus able to perform a reaching task. Crucially, these patients had proprioceptive deafferentation, allowing us to purely isolate the embodiment-dependent effect from proprioception-dependent ones that are usually associated in experimental manipulations of body ownership in healthy participants. Previous evidence suggests that the reaching movement vector is attracted towards an embodied hand during the rubber hand illusion (RHI). However, these results are confounded by the spared proprioception, whose modulation alone could explain the effects on reach planning. The neuropsychological approach employed here provides unambiguous evidence about the role of body ownership in reach planning. Indeed, three brain-damaged patients with proprioceptive deafferentation, two E+ and a well-matched control patient without pathological embodiment (E-), and 10 age-matched healthy controls underwent a reaching task wherein they had to reach for a target from a fixed starting point, while an alien hand (the co-experimenter's) was placed on the table. Irrespective of proprioception, damaged in all patients, only in E+ patients reaching errors were significantly more shifted consistently with the pathological belief, i.e., as if they planned movements from the position of the alien (embodied) hand, as compared to controls. Furthermore, with an additional experiment on healthy participants, we demonstrated that reaching errors observed during the RHI correlate with the changes in ownership. In conclusion, our neuropsychological approach suggests that when planning a reach, we do so from where our owned hand is and not from its physical location.","DictElement({'Year': '2022', 'Month': '05', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2022,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2022.05.005,,Body ownership; Motor planning; Pathological embodiment; Proprioception,"Case Reports; Research Support, Non-U.S. Gov't",Italy,eng
35915182,Alien hand syndrome in ruptured aneurysms: case report and review of the literature.,"Lawson McLean, Anna Cecilia; Lobsien, Elmar; Leinisch, Elke; Lobsien, Donald",Lawson McLean,"Alien hand syndrome is a rare condition associated with lesions of the corpus callosum and of the supplementary motor area, which can be caused by ruptured cerebral aneurysms. We present a novel case of a patient with a subarachnoid haemorrhage from an aneurysm of the anterior communicating artery who developed alien hand syndrome and intermanual conflict. In addition, we performed a systematic literature search and evaluated data on clinical presentation, treatment and radiological findings from relevant papers. To date, 17 cases of alien hand syndrome in aneurysmatic subarachnoid haemorrhage have been reported. Aneurysms of the anterior communicating artery were the most common origin of subarachnoid haemorrhage (10/17), followed by pericallosal artery aneurysms (7/10). The prognosis appears to be favourable; however, damage to the supplementary motor area during treatment should be avoided to keep symptoms minimal.","DictElement({'Year': '2022', 'Month': '08', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2022,Neuroradiology,10.1007/s00234-022-03025-5,,Alien hand syndrome; Anarchic hand syndrome; Cerebral aneurysm; Subarachnoid haemorrhage,Case Reports; Journal Article; Review,Germany,eng
29139004,Progressive multifocal leukoencephalopathy in the absence of immunosuppression.,"Zucker, Benjamin E; Stacpoole, Sybil R L",Zucker,"A 69-year-old woman presented with a cortical hand syndrome progressing over several weeks. MRI brain showed characteristic appearances of progressive multifocal leukoencephalopathy (PML), confirmed by detection of the JC virus in CSF, despite the absence of any evidence of immunosuppression. Treatment with mirtazapine, mefloquine and cidofovir did not affect the progression of the disease, which was fatal within 7 months of presentation. This report adds to the small case literature that suggests that PML can occur in immunocompetent people, albeit extremely rarely.","DictElement({'Year': '2017', 'Month': '11', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2017,Journal of neurovirology,10.1007/s13365-017-0592-2,PMC5790842,JC virus; Neurovirology; Progressive multifocal leukoencephalopathy,Case Reports; Journal Article,United States,eng
32850052,Alien hand syndrome - a rare presentation of stroke.,"Le, Kelly; Zhang, Christine; Greisman, Lisa",Le,"Alien Hand Syndrome (AHS) is characterized by intermittent and involuntary movements of a single limb that is not associated with motor dysfunction. AHS may be the initial presentation of serious underlying pathology, such as stroke localized to the non-dominant parietal lobe, corpus callosum damage, or neurodegenerative disease. AHS occurs at a low prevalence in the general population yet represents significant underlying disease burden, necessitating early identification. In this case report, we present an 88-year-old right-handed male with involuntary movement of his left forearm and hand three hours prior to presentation. His symptom corresponded to findings on MRI of the brain, which showed acute infarcts of the right temporal lobe, right parietal cortex, and right parietal subcortex. Infarction of the right parietal cortex accounted for his AHS. The multifocal nature of the infarcts elevated the index of suspicion for an embolic source.","DictElement({'Year': '2020', 'Month': '05', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2020,Journal of community hospital internal medicine perspectives,10.1080/20009666.2020.1756610,PMC7425627,Alien hand syndrome; callosal; frontal; posterior variant; stroke,Case Reports,United States,eng
23098830,Callosal dysarthria.,"Chung, Seok Jong; Kim, Jong Hun; Ahn, Hyun-Jung; Han, Zee-A; Cho, Jeong Hee; Kim, Gyu Sik; Choi, Sun-Ah; Lee, Jun Hong",Chung,,"DictElement({'Year': '2012', 'Month': '10', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2012,Clinical neurology and neurosurgery,10.1016/j.clineuro.2012.10.003,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Netherlands,eng
37536055,"Alien hand syndrome, a rare presentation of corpus callosum and cingulate infarction.","Ma, Yiming; Liu, Ye; Yan, Xuejing; Ouyang, Yi",Ma,"Alien hand syndrome (AHS) is a rare apraxia syndrome, characterized by involuntary and uncontrollable movements of one upper limb, often accompanied by intermanual conflict. Damage to the corpus callosum, acute infarction and neurodegenerative disease may result in AHS. Based on the presentation and impairment region, AHS has three variants: frontal, callosal and posterior. Each type may have a different clinical presentation. A total of 157 patients admitted to hospital with corpus callosum infarction between 2012 and 2022 were included for this study, of whom a number of 5 presented with AHS. 4 of them had significant symptoms of intermanual conflict and 1 had strong grip symptoms in the affected upper limb. Moreover, new infarcts involving the corpus callosum and cingulate gyrus were found on MRI in all five patients. We simultaneously performed a retrospective study on all reported AHS cases caused by infarction of the corpus callosum. Case reports and literature reviews were conducted in order to provide clinicians with a better understanding of AHS, its etiology, clinical presentation, diagnosis, and treatment.","DictElement({'Year': '2023', 'Month': '07', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2023,Journal of the neurological sciences,10.1016/j.jns.2023.120739,,Alien hand syndrome; Cingulate infarction; corpus callosum infarction,Case Reports; Journal Article,Netherlands,eng
32251102,Rehabilitation of Alien Hand Syndrome Complicated by Contralateral Limb Apraxia.,"Alvarez, Armando; Weaver, Martin; Alvarez, Gemayaret",Alvarez,"A previously independent 66-yr-old right-handed man presented with right-sided weakness, preferring the lower limbs with additional impaired gait and dysarthria for 1-day duration. Imaging found a large left hemispheric anterior cerebral artery ischemic infarction with multiple lacunar infarcts. He exhibited frontal, callosal, and posterior variants of alien hand syndrome, which impeded activities of daily living. Though limited in evidence, a trial of clonazepam was initiated based on previous case reports describing suspected efficacy. Botulinum toxin A was not used given the patient's immediate need and limited hospital length of stay. Right upper limb constricting therapies improved intermanual conflict and spontaneous grasping and levitation (arm elevation in retroflexion) activity; however, concomitant left upper limb motor apraxia complicated task-oriented activities. The combination of pharmaceutical and therapeutic interventions improved the patient's quality of life as assessed by clinical observation, functional independence measures from 41 to 57, and patient reporting. This case report aims to increase awareness of a potential barrier to rehabilitation of a debilitating and rare condition and to discuss current assessment tools and treatment options supported by available evidence.",{},,American journal of physical medicine & rehabilitation,10.1097/PHM.0000000000001401,,,Case Reports; Journal Article,United States,eng
36398040,Creutzfeldt-Jakob Disease: A Case Report and Literature Review for Understanding the Big Picture.,"Barnwal, Shubhangi; Jha, Gaurav; Sola, Siri Chandana; Anand, Preethu; Shariff, Sameer Y",Barnwal,"Creutzfeldt-Jakob disease (CJD) is a rare, rapidly progressive neurodegenerative disorder that has an invariably fatal outcome. Aside from rapidly progressive dementia, this condition manifests as myoclonus, cerebellar, pyramidal, extrapyramidal, visual, and psychiatric symptoms. On the other hand, nonspecific symptoms might be difficult to diagnose, leading to a late or incorrect diagnosis. Given its high fatality, most patients die within 12 months of the disease's onset. This case report describes a healthy man who presented with cerebellar and pyramidal signs along with memory loss worsening over six weeks. He also had indications of corticobasal degeneration, such as myoclonus and alien limb syndrome, but with reasonably maintained cognition. These signs are all non-specific, and premortem diagnosis is typically difficult and challenging owing to a lack of knowledge and clinical suspicion. However, after a thorough and extensive investigation, CJD was diagnosed. Despite the fact that CJD is a rare disease, it should always be included in the differential diagnosis whenever neuropsychological manifestations are present. Nevertheless, CJD can be successfully and promptly ruled out with a detailed clinical examination and appropriate investigation.","DictElement({'Year': '2022', 'Month': '11', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.31303,PMC9647838,creutzfeldt-jakob disease; high fatality; prion disease; rapidly progressive dementia; rare neurodegenerative disease,Case Reports,United States,eng
34566861,Case Report: Good Prognosis of Mixed Alien Hand Syndrome by Verbal-Cue Rehabilitation Exercise.,"Qu, Kang; Gan, Lin; Jiang, Wei; Yu, Peng; Dong, Ming",Qu,"Mixed alien hand syndrome is a rare disease reported in the literature. The mixed callosal-frontal variant of alien hand syndrome is associated with uncoordinated hand movements, and patients may present with an involuntary grasp reflex and intermanual conflict. There are few videos in the existing literature on the comparison of patients' condition before and after recovery of the symptoms of mixed alien hand syndrome. We presented the prognosis of mixed alien hand syndrome in the form of a video. In addition, we have included some videos on the comparison of the condition of patients before and after recovery of the symptoms of mixed alien hand syndrome. A 57-year-old woman presented with left-handed intermanual conflict and right-handed involuntary grasp reflex due to infarction of the frontal lobe and corpus callosum. She was diagnosed with a mixed callosal-frontal variant of alien hand syndrome. Her left hand counteracted the purposeful movements of the right hand. However, the intermanual conflict disappeared after 3 months of therapy, including drug treatment and verbal-cue rehabilitation, and she regained normal coordination of her hand movements. Her prognosis was good despite the large corpus callosum lesions. The uncoordinated hand movements of the patient affected her daily life and caused psychological problems. Initiating rehabilitation early was important and necessary for her to regain coordination. It is possible that the verbal-cue training method played an important role in the recovery of the patient. Therefore, this method of rehabilitation deserves consideration and can be adopted in larger cohort studies as we presented only a single case. The possible mechanisms behind the verbal-cue exercise require further studies, and this patient had a good prognosis despite severe corpus callosum injury, which may merit further investigation.","DictElement({'Year': '2021', 'Month': '09', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2021,Frontiers in neurology,10.3389/fneur.2021.718706,PMC8455835,alien hand syndrome; case report; cerebral infarction; corpus callosum; prognosis,Case Reports,Switzerland,eng
