pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
24596647,Touch me not.,"Karmacharya, Paras; Shah, Kalpana; Pathak, Ranjan; Ghimire, Sushil; Alweis, Richard",Karmacharya,"Central Poststroke Pain syndrome (CPSP) can occur due to disruption of the somatosensory pathways of the brain at any level such as the thalamus, medulla, or cerebral cortex. It is characterized by sensory abnormalities and hyperesthesia in the part of the body correlating to the central lesion. The treatment of this pain syndrome is often difficult, and it does not usually respond to traditional analgesics. The first line of treatment is drugs aimed at lowering neuronal hyperexcitability, for example, amitriptyline or lamotrigine, with gabapentin considered a second line.","DictElement({'Year': '2014', 'Month': '02', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2014,Journal of community hospital internal medicine perspectives,10.3402/jchimp.v4.23148,PMC3937561,Central Poststroke Pain; Déjerine Roussy syndrome; gabapentin; neuropathic pain; thalamic pain syndrome,Case Reports,United States,eng
36728648,Lumbosacral Radiculoplexus Neuropathy After COVID-19.,"Aragon Pinto, Catarina; Pinto, Marcus V; Engelstad, JaNean K; Dyck, P James B",Aragon Pinto,"Lumbosacral Radiculoplexus Neuropathy (LRPN) is a subacute, painful, paralytic, asymmetric immune-mediated lower-limb neuropathy associated with weight loss and diabetes mellitus (called DLRPN). Approximately one-third of LRPN cases have a trigger. Our purpose is to show that COVID-19 can trigger LRPN. We describe the clinical, neurophysiological, radiologic, and pathologic findings of a 55-year-old man who developed DLRPN after severe acute respiratory syndrome coronavirus-2 infection. Shortly after mild coronavirus disease 2019 (COVID-19), the patient developed severe neuropathic pain (allodynia), postural orthostasis, fatigue, weight loss, and weakness of bilateral lower extremities requiring wheelchair assistance. One month after COVID-19, he was diagnosed with type 2 diabetes mellitus. Neurological examination showed bilateral severe proximal and distal lower extremity weakness, absent tendon reflexes, and pan-modality sensation loss. Electrophysiology demonstrated an asymmetric axonal lumbosacral and thoracic radiculoplexus neuropathies. Magnetic resonance imaging showed enlargement and T2 hyperintensity of the lumbosacral plexus. Cerebral spinal fluid (CSF) showed an elevated protein (138 mg/dL). Right sural nerve biopsy was diagnostic of nerve microvasculitis. He was diagnosed with DLRPN and treated with intravenous methylprednisolone 1 g weekly for 12 weeks. The patient had marked improvement in pain, weakness, and lightheadedness and at the 3-month follow-up was walking unassisted. COVID-19 can trigger postinfectious inflammatory neuropathies including LRPN.","DictElement({'Year': '2023', 'Month': '07', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2023,The neurologist,10.1097/NRL.0000000000000481,,,Case Reports; Journal Article,United States,eng
23611852,Central poststroke pain: current diagnosis and treatment.,"Flaster, Murray; Meresh, Edwin; Rao, Murali; Biller, José",Flaster,"Central post-stroke pain syndrome (CPSP) is a debilitating sequel that can follow thalamic sensory stroke. Less well recognized, CPSP follows lateral medullary stroke and parietal cortical stroke and may develop anywhere along the spinothalamic or trigemino-thalamic pathways. Patients describe sharp, stabbing, or burning pain and experience hyperpathia and especially allodynia. Although CPSP was first described over 100 years ago, CPSP is too frequently underrecognized. It is treatable disorder. Pharmacological therapy, magnetic stimulation, and invasive electrical stimulation are reviewed and recommendations made.",{},,Topics in stroke rehabilitation,10.1310/tsr2002-116,,,Case Reports; Journal Article; Review,England,eng
37292430,Case report: Intracranial and spinal subarachnoid hemorrhage in a dog with Angiostrongylosis.,"Santifort, Koen M; den Toom, Marjolein; Garosi, Laurent; Carrera, Ines",Santifort,"A 1-year-old male intact Staffordshire terrier, born and raised in the Netherlands, was presented with a 3-week history of progressive lethargy and spinal, predominantly cervical, hyperesthesia. Other than hyperthermia and cervical hyperesthesia, general and neurological examination did not reveal any abnormalities. Comprehensive hematological and biochemical tests were considered normal. Magnetic resonance imaging of the craniocervical region revealed heterogeneity of the subarachnoid space, characterized by pre-contrast T1W hyperintensity, corresponding to a T2* signal void. Extending from the caudal cranial fossa to the level of the third thoracic vertebra, there were uneven patchy extra-parenchymal lesions that caused mild spinal cord compression, most marked at the level of C2. At this level, the spinal cord showed an ill-defined hyperintense T2W intramedullary lesion. Mild intracranial and spinal meningeal contrast enhancement was evident on post-contrast T1W images. Subarachnoid hemorrhage was suspected, and further diagnostic tests including Baermann coprology resulted in a diagnosis of hemorrhagic diathesis caused by an <i>Angiostrongylus vasorum</i> infection. The dog rapidly responded to treatment with corticosteroids, analgesic medication, and antiparasitic treatment. Follow-up over 6 months yielded complete clinical remission and repeatedly negative Baermann tests. This case report details clinical and magnetic resonance imaging findings in a dog with subarachnoid hemorrhage associated with an <i>Angiostrongylus vasorum</i> infection.","DictElement({'Year': '2023', 'Month': '05', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2023,Frontiers in veterinary science,10.3389/fvets.2023.1190792,PMC10244777,Angiostrongylus vasorum; T1-hyperintense; canine (dog); hyperesthesia; subarachnoid hemorrhage,Case Reports,Switzerland,eng
34979701,An Atypical Presentation of Left Lateral Medullary Syndrome - A Case Report.,"Renjen, Pushpendra N; Krishnan, Ramesh; Chaudhari, Dinesh; Ahmad, Kamal",Renjen,"Lateral medullary syndrome (LMS), known as Wallenberg's syndrome and posterior inferior cerebellar artery syndrome, is a rare cause of stroke. It often results from thrombosis or emboli of the vertebral artery or posterior inferior cerebellar artery. The triad of Horner's syndrome, ipsilateral ataxia, and ipsilateral hyperalgesia clinically identify patients with LMS. We report a case of a 62-year-old diabetic, hypertensive male who presented with symptoms involving the left lateral dorsal medulla along with partial Horner's syndrome, left lateral rectus palsy, and left lower motor neuron-type facial palsy. Atypical presentation in LMS could be explained by infraction of left facial colliculus in addition to the left lateral medulla. Association of these entities with Wallenberg's syndrome is atypical features in our case, which questioned the diagnosis of a simple LMS.",{},,Neurology India,10.4103/0028-3886.333445,,Ataxia; Horner's; Wallenberg's syndrome,Case Reports,India,eng
32807443,Spinal epidural hematoma as a stroke mimic.,"Inatomi, Yuichiro; Nakajima, Makoto; Yonehara, Toshiro",Inatomi,"Spinal epidural hematoma is a rare but important disease as it can be a stroke mimic. Our aim was to investigate the clinical characteristics of patients with an activated stroke code and spinal epidural hematoma. Patients with an activated stroke code were examined retrospectively. Patients with spinal epidural hematoma were evaluated with further neurological examinations and neuroimaging. Of 2866 patients with an activated stroke code, spinal epidural hematoma was detected in 5 (0.2%, 63-79 years, 2 men). In all 5 cases, hematoma was located in the unilateral dorsal region of the spinal canal and spread to 5-9 vertebral segments at the C1-T3 level. None of the patients had a medical history of head or neck injury, coagulopathy, or use of anti-thrombotic agents. All of the patients had occipital, neck, and/or back pain, and their hemiparesis occurred simultaneously or within 1 h after the onset of pain. Hyperalgesia ipsilateral to the hematoma was observed in 1 patient, hypoalgesia contralateral to the hematoma was observed in 1, and quadriparesis and bilateral hypoalgesia were observed in 1. The hematomas spontaneously decreased in size in 4 patients, and cervical laminectomy was performed in the other patient. In the 1860 patients with an activated stroke code and spontaneous eye opening, the sensitivity of pain as a predictor of spinal epidural hematoma was 100%, with a specificity of 88.7%, and positive predictive value of 2.3%. Patients with spinal epidural hematoma could present with clinical characteristics mimicking ischemic stroke. Spinal epidural hematoma should be differentiated in patients treated under stroke code activation.","DictElement({'Year': '2020', 'Month': '06', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2020,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2020.105030,,Hemiparesis; Myelopathy; Spinal epidural hematoma; Stroke code; Stroke mimics,Case Reports; Journal Article,United States,eng
3512953,Septic thrombosis of the dural venous sinuses.,"Southwick, F S; Richardson, E P; Swartz, M N",Southwick,"From 1940 to 1984, 19 cases of septic dural-sinus thrombosis have been diagnosed at the Massachusetts General Hospital, and some 136 cases have been reported from other institutions. Septic thrombosis most frequently involves the cavernous sinuses (96 cases). Facial or sphenoid air sinus infection often precede cavernous-sinus disease. In addition to the classical signs of proptosis, chemosis, and oculomotor paralysis, isolated sixth-nerve palsy and hypo- or hyperesthesia of the fifth nerve may be found. The major pathogens associated with cavernous-sinus infection include Staphylococcus aureus, other gram-positive organisms, and anaerobes. Septic lateral-sinus thrombosis (64 cases) is almost exclusively a complication of otitis media and/or mastoid infection. Organisms causing this infection include Proteus species, Escherichia coli, S. aureus, and anaerobes. Septic thrombosis of the superior sagittal sinus (23 cases) most frequently accompanies bacterial meningitis or air sinus infection. Causative organisms include Streptococcus pneumoniae, S. aureus, other streptococci, and Klebsiella species. Because septic dural-sinus thrombosis is rare, this disease is frequently misdiagnosed. Evaluation should include lumbar puncture, air sinus films, and computed tomographic scan with contrast. Other helpful diagnostic tests may include carotid angiography, and dynamic brain scan. Orbital venography is the most definitive study in cases of chronic cavernous-sinus thrombosis. Therapy should include intravenous antibiotics and early surgical drainage of purulent exudate in the air sinuses or mastoid regions. Retrospective analysis suggests that treatment with heparin may reduce mortality in carefully selected cases of septic cavernous-sinus thrombosis. Anticoagulation is not recommended in other forms of septic dural-sinus thrombosis. Mortality in the antibiotic-era remains high, particularly in patients with septic thrombosis of the cavernous (30%) and superior sagittal (78%) sinuses.",{},,Medicine,10.1097/00005792-198603000-00002,,,Case Reports; Journal Article; Review,United States,eng
36582892,Acute dysphagia: A rare initial symptom of lateral medullary syndrome: A case report.,"Ali, Farhan; Zubair, Amraha; Nazir, Fatima; Ali, Kashif; Mansoor, Sobia",Ali,"A unique etiology of stroke, lateral medullary syndrome (LMS), is a consequence of posterior inferior cerebellar artery or vertebral artery thromboembolic conditions. LMS patients present particularly with ipsilateral hyperalgesia, ipsilateral ataxia, and Horner's syndrome. Our case signifies that neurogenic origin should always be considered in the absence of local causes of dysphagia. Early diagnosis could prevent LMS complications, including neurological disabilities. A scarcity of research related to dysphagia in LMS, and its outcomes exists. Therefore, the objective is to investigate the clinical course in a patient afflicted with severe dysphagia following a diagnosis of (LMS). This would encourage further research, thus improving management and treatment strategies. We report a case of a 45-year-old male, a smoker for 20 years, who presented with a single, unique complaint of acute dysphagia for 9 days. According to our knowledge, this is among very few reported cases of LMS with dysphagia being the rare initial complaint. The neurological issues associated with dysphagia gradually improved with the administration of antiplatelet; clopidogrel and lipid-lowering drug; rosuvastatin and the patient was discharged. Atypical presentation in LMS could be supported by the presence of lateral medullary infarct which was confirmed by MRI (Magnetic Resonance Imaging). Dysphagia is a common complaint in multiple gastrointestinal (GI) settings. However, in cases where the GI causes are excluded, as described here, diagnosis of LMS becomes tough. The diagnosis of LMS was queried owing to the presentation of the single most important common symptom, with no other characteristic manifestations of LMS.","DictElement({'Year': '2022', 'Month': '11', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2022,Annals of medicine and surgery (2012),10.1016/j.amsu.2022.104851,PMC9793181,Case report; Dysphagia; Posterior inferior cerebellar artery; Stroke; Trauma; Wallenberg syndrome,Case Reports,England,eng
31953099,Subarachnoid Hemorrhage After Ischemic Stroke Associated with Systemic Lupus Erythematosus and Antiphospholipid Syndrome.,"Tsukamoto, Eisuke; Tanei, Takafumi; Senda, Joe; Kato, Takenori; Naito, Takehiro; Ishii, Kazuki; Okada, Ko; Hasegawa, Toshinori",Tsukamoto,"Systemic lupus erythematosus (SLE) is an autoimmune disease associated with increased risk of stroke. Antiphospholipid syndrome is another autoimmune disease that frequently overlaps with SLE. We report the case of a patient presenting with subarachnoid hemorrhage after ischemic stroke associated with SLE and antiphospholipid syndrome. A 22-year-old man presented with cerebral infarction of the right corona radiata. He had no contributory past or family histories. On imaging at this time, a 4-mm fusiform aneurysm of the right anterior cerebral artery was incidentally detected. Several examinations were performed, but no abnormalities or abnormal lesions were seen on echography or whole-body computed tomography. Blood tests yielded positive results for antinuclear antibody, lupus anticoagulant, and anti-beta-2 glycoprotein І antibody. He presented 70 days later with subarachnoid hemorrhage. Cerebral angiography showed the same fusiform aneurysm without any change in shape and no new aneurysms. The balloon occlusion test was performed without any neurologic symptoms, so the right anterior cerebral artery was trapped using coils. After 6 months, he presented with new optic hyperesthesia and facial butterfly-shaped erythema and fulfilled the criteria for SLE. At 2 years after initial presentation, he showed no recurrence of either aneurysm or ischemic stroke. The patient's first ischemic stroke was induced by antiphospholipid syndrome and underlying SLE. Fusiform aneurysm may have resulted from focal vasculitis, with activation of SLE leading to aneurysm rupture.","DictElement({'Year': '2020', 'Month': '01', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2020,World neurosurgery,10.1016/j.wneu.2020.01.030,,Antiphospholipid syndrome; Fusiform aneurysm; Ischemic stroke; Subarachnoid hemorrhage; Systemic lupus erythematosus,Case Reports,United States,eng
33556511,Unusual Presentation of Bilateral Carotid Artery Dissection: The Importance of Reasoning Outside the Box.,"Rispoli, Marianna Gabriella; Di Stefano, Vincenzo; Ajdinaj, Paola; Onofrj, Marco; De Angelis, Maria Vittoria",Rispoli,"A bilateral internal carotid artery dissection presenting with atypical symptoms of cerebral hypoperfusion has been rarely reported, especially in the absence of obvious precipitating factors. A middle-aged woman presented to the emergency department with a 2-day-history of progressive left arm numbness and weakness, confusion, disorientation and clumsiness worsened by upright position. A cerebral hypoperfusion condition was hypothesized and confirmed by a CT angiography, which showed bilateral internal carotid dissection with uncertain etiology. Screening for predisposing conditions to spontaneous carotid arteries dissection was basically negative. Regarding potential precipitating factors, the patient had used an electric olive harvester days before symptoms onset, without any painful sensation or sudden sequelae. Portable harvesters in olive growing transmit vibrations to the hand-arm system but it remains to be elucidated if hand-arm vibrations can be implicated in vessels wall injury and dissection. Bilateral carotid artery dissection is an infrequent and life-threatening condition which can rarely present with non-specific symptoms of cerebral hypoperfusion. The absence of typical symptoms and known precipitating factors can made the diagnosis quite hard to achieve.","DictElement({'Year': '2021', 'Month': '02', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2021,Annals of vascular surgery,10.1016/j.avsg.2021.01.090,,,Case Reports,Netherlands,eng
