pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
11752477,Episodic memory: from mind to brain.,"Tulving, Endel",Tulving,"Episodic memory is a neurocognitive (brain/mind) system, uniquely different from other memory systems, that enables human beings to remember past experiences. The notion of episodic memory was first proposed some 30 years ago. At that time it was defined in terms of materials and tasks. It was subsequently refined and elaborated in terms of ideas such as self, subjective time, and autonoetic consciousness. This chapter provides a brief history of the concept of episodic memory, describes how it has changed (indeed greatly changed) since its inception, considers criticisms of it, and then discusses supporting evidence provided by (a) neuropsychological studies of patterns of memory impairment caused by brain damage, and (b) functional neuroimaging studies of patterns of brain activity of normal subjects engaged in various memory tasks. I also suggest that episodic memory is a true, even if as yet generally unappreciated, marvel of nature.",{},,Annual review of psychology,10.1146/annurev.psych.53.100901.135114,,,Case Reports; Journal Article,United States,eng
31601625,Hippocampal infarction.,"Uriu, Yuhei; Kuriyama, Akira",Uriu,,"DictElement({'Year': '2019', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2019,Postgraduate medical journal,10.1136/postgradmedj-2019-137114,,neurology; primary care; stroke,Case Reports; Journal Article,England,eng
23296343,Transient amnesic syndromes.,"Bartsch, Thorsten; Butler, Christopher",Bartsch,"Transient amnesic syndromes are striking clinical phenomena that are commonly encountered by physicians in acute medical settings. Diagnosis of such syndromes can be challenging, and their causes have been debated for over 50 years. Critical clinical distinctions, such as between transient global amnesia (TGA) and transient epileptic amnesia (TEA), as well as important clues to the underlying pathophysiology, have recently been revealed. TGA is characterized by the sudden onset of a profound anterograde and retrograde amnesia that lasts for up to 24 h, with neuroimaging after an acute TGA event showing transient perturbation of specific hippocampal circuits that are involved in memory processing. Some cases of transient amnesia are attributable to focal seizure activity and are termed TEA, which has a clinical presentation similar to that of TGA, but can be distinguished from the latter by the brevity and frequency of amnesic attacks. Moreover, TEA carries a risk of persistent memory impairment that can be mistaken for dementia. Here, we summarize clinically relevant aspects of transient amnesic syndromes, giving practical recommendations for diagnosis and patient management. We describe results from imaging and epidemiological studies that have shed light on the functional anatomy and pathophysiological mechanisms underlying these conditions.","DictElement({'Year': '2013', 'Month': '01', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2013,Nature reviews. Neurology,10.1038/nrneurol.2012.264,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",England,eng
3427404,Retrosplenial amnesia.,"Valenstein, E; Bowers, D; Verfaellie, M; Heilman, K M; Day, A; Watson, R T",Valenstein,"A 39-year-old man developed retrograde and anterograde amnesia following haemorrhage from an arteriovenous malformation situated near the splenium of the corpus callosum. MRI studies demonstrated damage to the splenium, and to a region containing the retrosplenial cortex and the cingulate bundle. The fornix was anterior and inferior to the site of maximal damage, but may have been involved; the stria terminalis was probably spared. Structures known to be important in memory but spared by the lesion included the hippocampus, thalamus, and basal forebrain. The retrosplenial cortex receives input from the subiculum and projects to the anterior thalamus, thus providing an alternative route between hippocampus and thalamus. Perhaps more importantly, medial temporal structures involved in memory receive anterior thalamic input directly via the cingulate bundle and indirectly through a relay in the retrosplenial cortex. We suggest that this thalamocortical portion of Papez' circuit may be important in memory, and that lesions of the cingulum and retrosplenial cortex may cause amnesia by disrupting this pathway.",{},,Brain : a journal of neurology,10.1093/brain/110.6.1631,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
2302527,Diencephalic amnesia.,"Graff-Radford, N R; Tranel, D; Van Hoesen, G W; Brandt, J P",Graff-Radford,"The anatomical basis and cognitive profile of diencephalic amnesia remain unclear. We report a two-part study. First, we studied 4 patients with bilateral medial thalamic infarctions using magnetic resonance imaging and comprehensive neuropsychological testing. All patients were followed for more than 1 year. Using a stereotactic method, we plotted the lesions in an atlas delineating the probable structure involved. Secondly, in 2 monkeys, using autoradiography, we traced the pathway from the amygdala to the dorsomedial nucleus, paying particular attention to the intrathalamic course of the amygdalothalamic projections. Our findings were (1) patients develop amnesia when infarctions are located anteriorly; (2) in patients with amnesia, the lesions can be small and strategically located, probably interfering with both hippocampal-related neural structures such as the mamillothalamic tract, and amygdala-related neural structures such as the ventroamygdalofugal pathway; and (3) a specific component of the latter is situated lateral but immediately adjacent to the mamillothalamic tract in the monkey, enabling both structures to be damaged bilaterally by small mirror image lesions. The amnesia is characterized by deficits in anterograde verbal and visual learning and in retrograde amnesia, but motor learning is preserved. We raise the possibility that bilateral diencephalic lesions may interfere particularly with temporal aspects of memory.",{},,Brain : a journal of neurology,10.1093/brain/113.1.1,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",England,eng
25575632,[Hippocampal stroke].,"Rollnik, J D; Traitel, B; Dietrich, B; Lenz, O",Rollnik,"Unilateral cerebral ischemia of the hippocampus is very rare. This paper reviews the literature and presents the case of a 59-year-old woman with an amnestic syndrome due to a left hippocampal stroke. The patient suffered from retrograde amnesia which was most severe over the 2 days prior to presenting and a slight anterograde amnesia. In addition, a verbal memory disorder was confirmed 1 week after admission by neurological tests. As risk factors, arterial hypertension and a relative hyper-beta lipoproteinemia were found. This case shows that unilateral amnestic stroke, e.g. in the hippocampus region, may be the cause of an amnestic syndrome and should be included in the differential diagnostics.",{},,Der Nervenarzt,10.1007/s00115-014-4215-3,,,Case Reports; English Abstract; Journal Article; Review,Germany,ger
33794519,What Causes Anterograde Amnesia?,"Jiang, Jiwei; Wang, Xiaoting; Chen, Yutong; Shang, Xiuli",Jiang,,"DictElement({'Year': '2021', 'Month': '04', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2021,European neurology,10.1159/000512408,,Amnesia; Cerebral infarction; Fornix; Magnetic resonance imaging,"Case Reports; Research Support, Non-U.S. Gov't",Switzerland,eng
35037569,Bilateral fornix infarction presented with acute amnesia: case report.,"Zhang, Hui; Zhang, Ya; Jiang, Xin; Lv, Peiyuan; Dong, Yanhong",Zhang,"Acute episodes of amnestic syndrome can be a challenging diagnostic problem. Except for nonvascular etiology, thalamic strokes or infarction involving several temporal lobe structures has been reported in earlier cases. The authors report a patient who suddenly developed memory loss without any other focal neurologic deficits. Brain magnetic resonance imaging (MRI) with diffusion-weighted imaging (DWI) performed 1 day after onset revealed acute infarction involving the bilateral fornix column and the genu of corpus callosum. Because simple fornix infarcts often have no obvious positive neurological signs, most of the related manifestations were provided by family members, are easy to be diagnosed falsely, and missed in clinical areas, we suggest that bilateral fornix infarction should be considered in the diagnosis of an acute onset amnestic syndrome.","DictElement({'Year': '2022', 'Month': '01', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2022,Neurocase,10.1080/13554794.2021.2024857,,Fornix; MRI case; case report; infarction; memory impairment,Case Reports; Journal Article,England,eng
36588462,The link between reversible cerebral vasoconstriction syndrome and transient global amnesia.,"Chandra, Rahul; Saini, Harneel Singh; Palmer, Kaitlyn N; Cerejo, Russell",Chandra,"Reversible cerebral vasoconstriction syndrome (RCVS) and transient global amnesia (TGA) are acute and self-limiting intra-cerebral conditions. Although previously studied as independent phenomena, there are increasing reports of co-occurrence of these two pathologies. We report a 55-year-old male who presented to the hospital with recurrent thunderclap headaches over the course of 1 week with sudden onset of anterograde memory loss. His medications included a selective serotonin reuptake inhibitor and intermittent use of pseudoephedrine. On examination he was amnestic to recent events and notably perseverating. Magnetic resonance imaging of the brain without contrast showed a small, punctate focus of restricted diffusion in the left hippocampus. He was diagnosed with TGA based on his clinical presentation. His headaches and amnesia resolved over the next 12 h throughout the course of his stay with acetaminophen and oral verapamil and he was discharged. Repeat computed tomography angiogram at 2 weeks revealed diffuse and segmental narrowing of the anterior and posterior intracranial circulation, which resolved on follow-up imaging at 3 months, confirming RCVS. The acute and reversible nature of these conditions and increasing reports of co-occurrence suggests a common pathophysiologic link. We review the literature highlighting similar cases and the presumed pathophysiology.","DictElement({'Year': '2023', 'Month': '01', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2023,Headache,10.1111/head.14432,,clinical neurology history; computed tomography; infarction; reversible cerebral vasoconstriction syndrome; transient global amnesia,Review; Case Reports; Journal Article,United States,eng
37916950,A case of severe anterograde amnesia in the era of smartphone technology.,"Annese, Jacopo; Klaming, Ruth; Haase Alasantro, Lori; Feinstein, Justin S",Annese,"A.V. is a young herpes simplex encephalitis (HSE) survivor who suffered extensive bilateral damage to the medial temporal lobe (MTL) leading to a severe and pervasive form of anterograde amnesia. Structural Magnetic Resonance Imaging (MRI) revealed lesions that encompass the hippocampus and amygdala in both hemispheres and that extend more laterally in the right temporal lobe. At the same time, detailed neuropsychological testing showed that the disparity between A.V.'s preserved intellectual functioning (Full Scale IQ: 115) and severe memory deficit (Delayed Memory Index: 42) is one of the largest on record. Despite this deficit, A.V. has regained a higher level of functioning and autonomy compared to previously documented amnesic cases with major bilateral MTL lesions. As a millennial, one advantage which A.V. has over prior amnesic cases is fluency with digital technology - particularly the smartphone. The analysis of his phone and specific app usage showed a pattern that is consistent with the strategy to offload cognitive tasks that would normally be supported by the MTL. A.V.'s behavior is significant in terms of rehabilitation and may have broader implications at the societal level and for public health given the ubiquity of smartphone technology and its potential to become integrated with neural mnemonic functions.","DictElement({'Year': '2023', 'Month': '11', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2023,Journal of clinical and experimental neuropsychology,10.1080/13803395.2023.2254911,,Brain; amnesia; encephalitis; hippocampus; medial temporal lobe,"Case Reports; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",England,eng
