pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33647851,Auditory agnosia with anosognosia.,"Klarendić, Maja; Gorišek, Veronika R; Granda, Gal; Avsenik, Jernej; Zgonc, Vid; Kojović, Maja",Klarendić,"A 66-year-old right-handed female medical doctor suffered two consecutive cardioembolic strokes, initially affecting the right frontal lobe and the right insula, followed by a lesion in the left temporal lobe. The patient presented with distinctive phenomenology of general auditory agnosia with anosognosia for the deficit. She did not understand verbal requests and her answers to oral questions were fluent but unrelated to the topic. However, she was able to correctly answer written questions, name objects, and fluently describe their purpose, which is characteristic for verbal auditory agnosia. She was also unable to recognise environmental sounds or to recognise and repeat any melody. These inabilities represent environmental sound agnosia and amusia, respectively. Surprisingly, she was not aware of the problem, not asking any questions regarding her symptoms, and avoiding discussing her inability to understand spoken language, which is indicative of anosognosia. The deficits in our patient followed a distinct pattern of recovery. The verbal auditory agnosia was the first to resolve, followed by environmental sound agnosia. Amusia persisted the longest. The patient was clinically assessed from the first day of symptom onset and the evolution of symptoms was video documented. We give a detailed account of the patient's behaviour and provide results of audiological and neuropsychological evaluations. We discuss the anatomy of auditory agnosia and anosognosia relevant to the case. This case study may serve to better understand auditory agnosia in clinical settings. It is important to distinguish auditory agnosia from Wernicke's aphasia, because use of written language may enable normal communication.","DictElement({'Year': '2021', 'Month': '02', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2021,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2020.12.025,,Amusia; Anosognosia; Auditory agnosia; Environmental sound agnosia; Verbal auditory agnosia,Case Reports,Italy,eng
9533994,Effortful echolalia.,"Hadano, K; Nakamura, H; Hamanaka, T",Hadano,"We report three cases of effortful echolalia in patients with cerebral infarction. The clinical picture of speech disturbance is associated with Type 1 Transcortical Motor Aphasia (TCMA, Goldstein, 1915). The patients always spoke nonfluently with loss of speech initiative, dysarthria, dysprosody, agrammatism, and increased effort and were unable to repeat sentences longer than those containing four or six words. In conversation, they first repeated a few words spoken to them, and then produced self initiated speech. The initial repetition as well as the subsequent self initiated speech, which were realized equally laboriously, can be regarded as mitigated echolalia (Pick, 1924). They were always aware of their own echolalia and tried to control it without effect. These cases demonstrate that neither the ability to repeat nor fluent speech are always necessary for echolalia. The possibility that a lesion in the left medial frontal lobe, including the supplementary motor area, plays an important role in effortful echolalia is discussed.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(08)70737-8,,,Case Reports; Clinical Trial; Journal Article,Italy,eng
34997353,Musician developed left putaminal hemorrhage and lost absolute pitch ability-case report.,"Katsuki, Masahito; Higo, Yoichi; Nishizawa, Shin; Yoshida, Miho; Kasahara, Usaki; Sakamaki, Keita; Kashiwagi, Kenta; Kawamura, Shin; Koh, Akihito",Katsuki,"Absolute pitch (AP) recognizes and labels the pitch chroma of a given tone without external reference. Its neural mechanism remains unclear. We report a 68-year-old AP musician who developed a left putaminal hemorrhage edematous lesion under the posterior insular cortex. Diffusion tensor tractography with the region of interest, including Heschl's gyrus, was performed. In the left hemisphere, the middle longitudinal fasciculus was absent, especially at the parietal lobe. Her AP ability was lost. As the hematoma was absorbed and the left MdLF was observed on the tractography, her AP ability recovered. Our case suggested that the left middle longitudinal fasciculus, a part of the ventral auditory pathway, plays a role in AP.","DictElement({'Year': '2022', 'Month': '01', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2022,Acta neurochirurgica,10.1007/s00701-021-05009-5,,Absolute pitch (perfect pitch); Diffusion tensor tractography; Dual-stream models on auditory processing; Middle longitudinal fasciculus (MdLF); Stroke,Case Reports; Journal Article,Austria,eng
33571783,Musician developed right putaminal hemorrhage but conserved absolute pitch ability -Case report.,"Katsuki, Masahito; Narita, Norio; Sugawara, Kazuya; Ishida, Naoya; Tominaga, Teiji",Katsuki,"Absolute pitch (AP) is known as the ability to recognize and label the pitch chroma of a given tone without external reference. The neural mechanism and its asymmetry of AP musicians remain unclear. We herein report a 41-year-old AP musician who developed a right putaminal hemorrhage. On a postoperative day 5, a fluid-attenuated inversion recovery image revealed the rest of the hematoma and edematous lesion at the right white matter between the Heschl's gyrus and other cortices. Diffusion tensor tractography with the region of interest at the Heschl's gyrus was performed. In the left hemisphere, the anterior part of the arcuate fiber and middle longitudinal fasciculus were observed. However, these connections were absent in the right hemisphere, but her AP ability was maintained. Our case suggested that the fibers from the right Heschl's gyrus to the right frontal lobe via the right ventral stream is not associated with AP.","DictElement({'Year': '2021', 'Month': '01', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2021,Clinical neurology and neurosurgery,10.1016/j.clineuro.2021.106521,,Absolute pitch (perfect pitch); Cerebral hemisphere asymmetry; Diffusion tensor tractography; Dual-stream models on auditory processing; Stroke,Case Reports; Journal Article,Netherlands,eng
32930641,Musical hallucinations with a right frontotemporal stroke.,"Buchwald, Natalie; Kelly, Adam; Heilman, Kenneth M; Simpkins, Alexis N",Buchwald,"have been reported in association with psychiatric diseases, brain stem strokes, deafness, degenerative diseases, intoxications, pharmacologic agents, and epilepsy. We present a patient who in the absence of these disorders developed musical hallucinations from an infarction of the right hemisphere that primarily injured his right frontal and anterior temporal lobes. This report discusses some of the possible mechanisms for this patient's presentation. Although the mechanism of his musical hallucinations remains unclear, recognition of this uncommon syndrome is important when structuring rehabilitation and management for patients with stroke who have this disorder.","DictElement({'Year': '2020', 'Month': '09', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2020,Neurocase,10.1080/13554794.2020.1820529,,Stroke; earworm; frontotemporal; hallucinations; music,Case Reports; Journal Article,England,eng
14681117,Music agnosia and auditory agnosia. Dissociations in stroke patients.,"Vignolo, Luigi A",Vignolo,"A review and an experimental study were carried out in search of dissociations between the recognition of music (music agnosia) and that of environmental sounds (auditory agnosia) in stroke patients. The review focused on 45 adequately studied cases published since 1883. The experimental study consisted of administering standard tests of music and environmental sound recognition to 40 unselected patients with unilateral stroke. Among case reports, music was selectively impaired more frequently than environmental sounds, whereas the reverse occurred in the experimental study. In this, right hemisphere lesions tended either to disrupt the apperception of environmental sounds, sparing music entirely, or to disrupt both environmental sounds and melody, sparing rhythm, whereas left hemisphere lesions tended to spare melody and to disrupt rhythm, either selectively or in association with the semantic identification of environmental sounds.",{},,Annals of the New York Academy of Sciences,10.1196/annals.1284.005,,,Case Reports; Journal Article; Review,United States,eng
25684289,"Stroke, music, and creative output: Alfred Schnittke and other composers.","Zagvazdin, Yuri",Zagvazdin,"Alfred Schnittke (1934-1998), a celebrated Russian composer of the twentieth century, suffered from several strokes which affected his left cerebral hemisphere. The disease, however, did not diminish his musical talent. Moreover, he stated that his illness in a way facilitated his work. The composer showed amazingly high productivity after his first and second injuries of the central nervous system. The main topic of this chapter is the effect of strokes on Schnittke's output, creativity, and style of music. A brief biography of the composer with the chronology of his brain hemorrhages is included. In addition, the influence of cerebrovascular lesions on creative potential of other prominent composers such as Benjamin Britten, Jean Langlais, Vissarion Shebalin, Igor Stravinsky, and Ira Randall Thompson is discussed.","DictElement({'Year': '2015', 'Month': '01', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2015,Progress in brain research,10.1016/bs.pbr.2014.11.006,,brain; creativity; lesion; music; recovery; stroke,Biography; Case Reports; Historical Article; Journal Article,Netherlands,eng
34612817,Musicogenic epilepsy in paraneoplastic limbic encephalitis: a video-EEG case report.,"Morano, Alessandra; Orlando, Biagio; Fanella, Martina; Cerulli Irelli, Emanuele; Colonnese, Claudio; Quarato, Pierpaolo; Giallonardo, Anna Teresa; Di Bonaventura, Carlo",Morano,"Musicogenic epilepsy (ME), a peculiar form of reflex epilepsy, represents a neurological rarity and yet another demonstration of the extraordinary power of music on the human brain. Despite the heterogeneity of the reported musical triggers, patients' emotional response to music is thought to play a crucial role in provoking seizures. Accordingly, the mesial temporal structures (especially of the non-dominant hemisphere) appear most involved in seizure generation, although a more complex fronto-temporal epileptogenic network was documented in some cases. Autoimmune encephalitis has been recently included among the many possible aetiologies of ME based on a few reports of music-induced seizures in patients with anti-glutamic acid decarboxylase 65 antibodies. Here, we describe the case of a 25-year-old man, educated in music over a long period of time, who had suffered from drug-resistant temporal lobe epilepsy following seronegative limbic encephalitis related to non-Hodgkin lymphoma. Along with spontaneous events, the patient also developed musicogenic seizures later in the disease course. After detecting five music-induced episodes via 24-hour ambulatory EEG, we performed prolonged video-EEG monitoring during which the patient presented a right temporal seizure (characterized by déjà-vu, piloerection and gustatory hallucinations) while listening to a hard rock song through headphones (which he had not previously heard). This observation allowed us to confirm the provoking effect of the music on our patient's seizures, despite the lack of any emotional drive, which suggests that a ""cognitive"" trigger was more likely in this case. Our report further highlights that autoimmune encephalitis should be investigated as a novel potential cause of musicogenic epilepsy, regardless of autoantibody status.",{},,Epileptic disorders : international epilepsy journal with videotape,10.1684/epd.2021.1322,,autoimmune epilepsy; musicogenic seizures; paraneoplastic limbic encephalitis; video-EEG,Case Reports; Journal Article,United States,eng
33602757,Musical hallucinations: a rare and atypical presentation of anti-IgLON5 disease responsive to immunosuppressive therapy.,"Stoyanov, Alex; McDougall, Alan; Urriola, Nicolas",Stoyanov,"IgLON5 antibodies are typically associated with the insidious onset of sleep disorder, parasomnia, gait disturbance and abnormal movements, with variable response to immunosuppressive therapy. We describe a case of a 50-year-old man who presented with acute speech difficulties, headache and focal seizures followed by well-formed visual hallucinations, and later, musical hallucinations of mainstream popular music. MRI of the brain demonstrated right temporal lobe changes with corresponding epileptiform activity seen on electroencephalogram. Subsequently, IgLON5 antibodies were detected in the serum. The patient was treated with anticonvulsants, as well as azathioprine with a tapering oral prednisone course with a complete resolution of the symptoms. Our case demonstrates an unusual presentation of the rare but increasingly described anti-IgLON5 disease, with musical hallucinations. The case highlights the variable and evolving clinical phenotypes that can be seen in autoimmune central nervous system disorders.","DictElement({'Year': '2021', 'Month': '02', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2021,BMJ case reports,10.1136/bcr-2020-236963,PMC7896582,immunology; neurology,Case Reports; Journal Article,England,eng
25972067,The functional anatomy of central auditory processing.,"Cope, Thomas E; Baguley, David M; Griffiths, Timothy D",Cope,,"DictElement({'Year': '2015', 'Month': '05', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2015,Practical neurology,10.1136/practneurol-2014-001073,PMC4518744,Amusia; Auditory Agnosia; Auditory Pathways; Central Auditory Pathway Disorders,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
