pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33647851,Auditory agnosia with anosognosia.,"Klarendić, Maja; Gorišek, Veronika R; Granda, Gal; Avsenik, Jernej; Zgonc, Vid; Kojović, Maja",Klarendić,"A 66-year-old right-handed female medical doctor suffered two consecutive cardioembolic strokes, initially affecting the right frontal lobe and the right insula, followed by a lesion in the left temporal lobe. The patient presented with distinctive phenomenology of general auditory agnosia with anosognosia for the deficit. She did not understand verbal requests and her answers to oral questions were fluent but unrelated to the topic. However, she was able to correctly answer written questions, name objects, and fluently describe their purpose, which is characteristic for verbal auditory agnosia. She was also unable to recognise environmental sounds or to recognise and repeat any melody. These inabilities represent environmental sound agnosia and amusia, respectively. Surprisingly, she was not aware of the problem, not asking any questions regarding her symptoms, and avoiding discussing her inability to understand spoken language, which is indicative of anosognosia. The deficits in our patient followed a distinct pattern of recovery. The verbal auditory agnosia was the first to resolve, followed by environmental sound agnosia. Amusia persisted the longest. The patient was clinically assessed from the first day of symptom onset and the evolution of symptoms was video documented. We give a detailed account of the patient's behaviour and provide results of audiological and neuropsychological evaluations. We discuss the anatomy of auditory agnosia and anosognosia relevant to the case. This case study may serve to better understand auditory agnosia in clinical settings. It is important to distinguish auditory agnosia from Wernicke's aphasia, because use of written language may enable normal communication.","DictElement({'Year': '2021', 'Month': '02', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2021,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2020.12.025,,Amusia; Anosognosia; Auditory agnosia; Environmental sound agnosia; Verbal auditory agnosia,Case Reports,Italy,eng
32807488,Dashcam-captured moment of right hemispheric stroke.,"Miyazawa, Haruna; Terayama, Yasuo",Miyazawa,A bus driver presented with neurological abnormalities following a driving mishap. He was diagnosed cardioembolic stroke. The bus was equipped with a dashboard camera that recorded the moment when the patient suffered the stroke. We reported the first case dashcam-captured images at the first sign of a right hemispheric stroke.,"DictElement({'Year': '2020', 'Month': '07', 'Day': '04'}, attributes={'DateType': 'Electronic'})",2020,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2020.105094,,Anosognosia; Dashcam; Driving; Stroke,Case Reports; Video-Audio Media,United States,eng
571567,Thalamic neglect.,"Watson, R T; Heilman, K M",Watson,"Three patients with right thalamic hemorrhage showed contralateral neglect and limb akinesia. They also had anosognosia, visuospatial disorders, and emotional flattening. In animals, neglect can be induced by lesions along a cortico-limbic-reticular loop including the intralaminar thalamic nuclei. We propose that an activation defect is responsible not only for the neglect and akinesia, but also for the visuospatial and emotional defects usually associated with right-hemisphere cortical dysfunction.",{},,Neurology,10.1212/wnl.29.5.690,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",United States,eng
30661390,Anton's Syndrome associated with autotopagnosia.,"Lo Buono, Viviana; De Salvo, Simona; Paladina, Giuseppe; Corallo, Francesco; Palmeri, Rosanna; Morabito, Rosa; Bramanti, Alessia; Marino, Silvia; Sessa, Edoardo",Lo Buono,"We describe an unusual case of a 68-year-old male affected by cerebral amyloid angiopathy and cortical blindness associated with Anton's syndrome. In addition, our patient presented with autotopagnosia, a form of agnosia characterized by loss of body spatial representation. Neuropsychological assessment evidenced cognitive impairment. Magnetic Resonance Imaging showed hemorrhagic foci in the left occipital and right occipito-parietal lobe, paratrigonal white matter, and post-ischemic parenchymal gliosis. The pattern-reversal of visual evoked potentials were indicative bilateral visual pathway of integrity of the. After a neurological damage, patients could show a denial of their own deficit; however, the association between anosognosia and autotopagnosia represents a rare neurological condition. The simultaneous onset of unusual neuropsychological syndromes could be related to involvement of a complex brain network.","DictElement({'Year': '2019', 'Month': '01', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2019,Applied neuropsychology. Adult,10.1080/23279095.2018.1538048,,Anosognosia; anton’s syndrome; autotopagnosia; cerebral amyloid angiopathy,Case Reports; Journal Article,United States,eng
38586806,Anton-Babinski Syndrome: A Visual Anosognosia.,"Ziaul, Yasir H; Mittal, Jimmy; Afroze, Tazeen; Kumar, Vivek",Ziaul,"Anton-Babinski syndrome is a rare extension of cortical blindness following injury to the occipital lobe. The patient behaves as sighted but has visual function derangements. The posterior cerebral artery (PCA) stroke represents 5% to 10% of total strokes. The COVID-19 pandemic has shown a rise in stroke cases. We present a case of this rare PCA stroke, first diagnosed by an ophthalmologist. This case had an inconsistent initial presentation, but subsequent computed tomography of the brain and other neurological investigations confirmed the diagnosis. If such cases are diagnosed early, they could have better management. Timely intervention can decrease morbidity as well as mortality.","DictElement({'Year': '2024', 'Month': '03', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2024,Cureus,10.7759/cureus.55679,PMC10997746,anton-babinski syndrome; cortical blindness; posterior cerebral artery; stroke; visual anosognosia,Case Reports,United States,eng
34567463,Bilateral occipital lobe infarct neglect deficit (BLIND) syndrome.,"Shanmugam, S; Haver, H L; Knecht, S M; Rajjoub, R; Ali, O; Chow, R",Shanmugam,"Cortical blindness is characterized by loss of vision due to dysfunction of the visual cortices, most commonly secondary to bilateral ischemic infarcts of the occipital lobe. Other causes include surgery such as aortic valve replacement, laryngeal surgery, craniotomy, cerebral angiography, head trauma, and partial seizures. Visual anosognosia is a distinct feature of cortical blindness, wherein patients claim they can see and confabulate visual perceptions, despite loss of sight. We herewith present a rare phenomenon known as Anton Syndrome, an eponym named after the Austrian neurologist and psychiatrist, Gabriel Anton (1858-1933). There are a limited number of cases of Anton's Syndrome in the literature, with only 28 case reports published from 1965-2016. Although he was bestowed a neurologic eponym, Anton was an advocate of eugenics and racial hygiene. He publicly advocated for 'superior breeding' and 'selection' in order to 'build a brave and noble race.' We therefore propose replacing the eponym with Bilateral Occipital Lobe Infarct Neglect Deficit (BLIND) Syndrome, with intention of raising awareness of this unique presentation as well as of the widespread interest in eugenics in the early 1900s amongst physicians, notably Gabriel Anton.","DictElement({'Year': '2021', 'Month': '09', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2021,Journal of community hospital internal medicine perspectives,10.1080/20009666.2021.1974730,PMC8462920,Anton syndrome; atrial tachyarrhythmia; blind syndrome; cortical blindness; visual anosognosia,Case Reports,United States,eng
7201116,Subcortical neglect.,"Healton, E B; Navarro, C; Bressman, S; Brust, J C",Healton,"Unilateral neglect is usually caused by lesions of the right cerebral cortex, especially parietal. Neglect after subcortical lesions has been reported rarely in thalamic or striatal hemorrhage, and after infarction of thalamus or striatum and internal capsule shown by CT. In these patients, there may have been compression or ischemia of overlying cerebral cortex and white matter. We report a patient with sensory hemineglect, asomatognosia, and anosognosia caused by infarction of striatum and deep white matter, with involvement of neither cortex nor thalamus and without mass effect. This is the first autopsy-confirmed example of human neglect with involvement of only the striatum and deep white matter.",{},,Neurology,10.1212/wnl.32.7.776,,,Case Reports; Journal Article,United States,eng
36596042,Case report of anosognosia for hemiplegia: A fMRI study.,"Formica, Caterina; De Salvo, Simona; Corallo, Francesco; Latella, Desiree; Mìcchia, Katia; Bonanno, Lilla; Quartarone, Angelo; Marino, Silvia",Formica,"The aim of this study is to verify the functional activation in a patient with anosognosia for hemiplegia following left brain lesions. We report a case of a 53-year-old right-handed female patient. She came to our rehabilitative unit with a diagnosis of an ischemic major stroke in the left internal carotid artery and important hemiplegia to the right side. She underwent functional magnetic resonance imaging (fMRI), during which she performed a motor imagery task. The fMRI assessment showed an ischemic lesion in the frontotemporal and insular left areas. In the fMRI experiment, we revealed activation of the residual neural patterns of both hemispheres. We underlined an interest in the compensation mechanism that involved neural networks near brain lesions and some areas of the contro-lesional hemisphere, suggesting that the synaptic plasticity permitted an intra and inter-hemispheric reorganization of the cerebral system.",{},,Medicine,10.1097/MD.0000000000032526,PMC9803421,,Case Reports; Journal Article,United States,eng
37860783,Anton syndrome with bilateral occipital infarct: A case report.,"Mankoo, Dylan",Mankoo,"Anton syndrome results from damage to the visual cortex of the occipital lobes, where the anterior visual pathways remain intact. This damage results in the characteristic triad of cortical blindness, visual anosognosia, and visual confabulation. This case describes an 80-year-old male with a background of renal transplant 7 years prior, admitted to hospital with worsening transplant function, and soon after developed sudden onset cortical blindness. On examination, the patient was found to be in denial of his blindness and showed signs of visual confabulation, both of which pointed toward a diagnosis of Anton syndrome. Radiological investigation with computed tomography (CT) and magnetic resonance imaging (MRI) revealed bilateral ischemic stroke of the occipital lobes, which was later theorized to have occurred due to sirolimus-induced thrombotic microangiopathy (TMA). To the author's knowledge, this is the first case report of sirolimus-induced TMA, bilateral ischemic occipital lobe stroke, and Anton's syndrome, within the same diagnosis. This case highlights that a diagnosis of bilateral occipital stroke with denial of blindness should suggest a diagnosis of Anton syndrome. This report also discusses the importance of differentiating bilateral occipital infarction on CT imaging, from posterior reversible encephalopathy syndrome (PRES), using MRI.","DictElement({'Year': '2023', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2023,Radiology case reports,10.1016/j.radcr.2023.09.036,PMC10582287,Anton syndrome; Neuroradiology; Stroke,Case Reports,Netherlands,eng
25300957,"""Crossed"" somatoparaphrenia: an unusual new case and a review of the literature.","Perren, Fabienne; Heydrich, Lukas; Blanke, Olaf; Landis, Theodor",Perren,"Somatoparaphrenia is a delusional misidentification and confabulation of body parts, usually arm or hand, opposite to a cerebral lesion, generally of the ""minor"" right hemisphere. There is some controversy concerning lesion site (fronto-parietal; parieto-temporal; posterior insula, additional subcortical nuclei) or necessary associated symptoms (hemiparesis/plegia, anosognosia, neglect, position sense deficit). We here present a patient who is unusual in many respects, that is: (1) he is a right-hander with somatoparaphrenia after a ""dominant"" left-hemisphere lesion associated with aphasia and ideo-motor apraxia, but also with right hemineglect. He thus has ""crossed"" somatoparaphrenia; (2) his delusional misidentification concerned the right leg and not the arm or hand; (3) he has no anosognosia; (4) his proprioception is disturbed for the leg only; and (5) the lesion site is very posterior, a left occipito-parietal haemorrhage without involvement of the frontal lobe or the posterior insula. We present this case together with the seven other cases of ""crossed somatoparaphrenia"" with and without aphasia we found since 1935 in the literature and discuss their relevance in relation to the above controversies.","DictElement({'Year': '2014', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2014,Experimental brain research,10.1007/s00221-014-4101-z,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",Germany,eng
