pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
24229653,What are the causes of late-life depression?,"Aziz, Rehan; Steffens, David C",Aziz,"Although depression in old age is less common than depression in younger populations, it still affects more than 1 million community-living older adults. Depression in late life has been associated with reduced quality of life and increased mortality from both suicide and illness. Its causes are multifactorial but are prominently related to both biologic and social factors. Psychological factors, although less studied in elders, are also important in understanding its cause. In this article, multiple facets of late-life depression are reviewed, including its clinical presentation, epidemiology, and biopsychosocial causes.","DictElement({'Year': '2013', 'Month': '10', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2013,The Psychiatric clinics of North America,10.1016/j.psc.2013.08.001,PMC4084923,Depression; Geriatric; Late life; Psychological; Social factors in late life,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Review",United States,eng
16542786,Rapid recovery from major depression using magnesium treatment.,"Eby, George A; Eby, Karen L",Eby,"Major depression is a mood disorder characterized by a sense of inadequacy, despondency, decreased activity, pessimism, anhedonia and sadness where these symptoms severely disrupt and adversely affect the person's life, sometimes to such an extent that suicide is attempted or results. Antidepressant drugs are not always effective and some have been accused of causing an increased number of suicides particularly in young people. Magnesium deficiency is well known to produce neuropathologies. Only 16% of the magnesium found in whole wheat remains in refined flour, and magnesium has been removed from most drinking water supplies, setting a stage for human magnesium deficiency. Magnesium ions regulate calcium ion flow in neuronal calcium channels, helping to regulate neuronal nitric oxide production. In magnesium deficiency, neuronal requirements for magnesium may not be met, causing neuronal damage which could manifest as depression. Magnesium treatment is hypothesized to be effective in treating major depression resulting from intraneuronal magnesium deficits. These magnesium ion neuronal deficits may be induced by stress hormones, excessive dietary calcium as well as dietary deficiencies of magnesium. Case histories are presented showing rapid recovery (less than 7 days) from major depression using 125-300 mg of magnesium (as glycinate and taurinate) with each meal and at bedtime. Magnesium was found usually effective for treatment of depression in general use. Related and accompanying mental illnesses in these case histories including traumatic brain injury, headache, suicidal ideation, anxiety, irritability, insomnia, postpartum depression, cocaine, alcohol and tobacco abuse, hypersensitivity to calcium, short-term memory loss and IQ loss were also benefited. Dietary deficiencies of magnesium, coupled with excess calcium and stress may cause many cases of other related symptoms including agitation, anxiety, irritability, confusion, asthenia, sleeplessness, headache, delirium, hallucinations and hyperexcitability, with each of these having been previously documented. The possibility that magnesium deficiency is the cause of most major depression and related mental health problems including IQ loss and addiction is enormously important to public health and is recommended for immediate further study. Fortifying refined grain and drinking water with biologically available magnesium to pre-twentieth century levels is recommended.","DictElement({'Year': '2006', 'Month': '03', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2006,Medical hypotheses,10.1016/j.mehy.2006.01.047,,,Case Reports; Journal Article,United States,eng
35145781,Hypocalcemia-Induced Reversible Psychosis.,"Hall, Andrea; Bin Farooq, Talha; Alcaraz, Renato",Hall,"Hypocalcemia can manifest as a variety of presentations, ranging from neuromuscular irritability to seizures, and psychiatric manifestations such as emotional instability, anxiety, and depression. Here, we present a unique case of hypocalcemia-induced acute psychosis. A 24-year-old woman presented to the emergency department (ED) with confusion and agitation for four to five days. The patient was noted by the family to have decreased oral intake and sleep. Auditory and visual hallucinations prompted the family to bring the patient to the ED. The patient was mildly tachycardic. Initially, the patient was agitated, impulsive, and aggressive, exhibiting psychotic features including visual hallucinations, paranoid delusions, thought broadcasting, tangential and perseverative thought processes, and erotomanic delusions. She had mild leukocytosis and elevated procalcitonin on admission. A thorough workup ruled out infectious/inflammatory processes. Cerebrospinal fluid was negative for acute meningitis/encephalitis, autoimmune encephalitis antibodies, and paraneoplastic etiology. Thyroid-stimulating hormone was normal and thyroid antibodies were negative. The CT brain and MRI brain were unremarkable. The patient was severely hypocalcemic (6.7) with low parathyroid hormone (<6) on admission. To note, the patient has multiple endocrine neoplasia, type 2B (MEN2B). She underwent total thyroidectomy five months prior for metastatic medullary thyroid carcinoma complicated by postsurgical hypoparathyroidism. The patient had been non-compliant with calcium and calcitriol supplementation postoperatively. The patient was started on IV calcium gluconate and transitioned to calcitriol with calcium level improvement over the next three days. She experienced marked improvement, with the resolution of her psychosis. The patient's subacute onset psychosis with no personal or family psychiatric history and a rapid response to calcium correction supports hypocalcemia etiology. This case illustrates new-onset acute psychosis in a patient with calcium regulation imbalance. The development of hypocalcemia secondary to thyroidectomy with postsurgical hypoparathyroidism and calcium supplement non-compliance precipitated psychosis. A few similar cases have been reported, and here, we note that treatment of hypocalcemia promptly resolves symptoms. As per our review, this will be the first case of neuropsychiatric symptoms without associated cortical calcifications seen on imaging. It is important to recognize hypocalcemia as a rare cause of psychosis so as to not mistakenly categorize such presentations as primary psychotic disorders and miss a medically treatable illness.","DictElement({'Year': '2022', 'Month': '01', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.20874,PMC8805771,delusions; hypoparathyroidism; metabolic psychosis; reversible; s: hypocalcemia,Case Reports,United States,eng
35817494,Limbic system symptoms of rabies infection.,"Mohindra, Ritin; Madhav, Mohata; Suri, Vikas; Divyashree, Krishna",Mohindra,"Rabies is a fatal aggressive disease of the nervous system which predominantly causes motor and autonomic dysfunction. Limbic system involvement has been reported rarely, with limited data on its prevalence. The diagnosis becomes challenging when a patient presents with limbic system involvement in the absence of a clear history of an animal bite. We herein illustrate a case of a young man who presented with recurrent episodes of inappropriate ejaculation. He eventually developed hydrophobia and aerophobia, leading to a diagnosis of rabies. This case emphasises the importance of considering the possibility of rabies encephalitis when a patient presents with symptoms of limbic system involvement since early diagnosis helps in instituting appropriate public health measures and reducing exposure to infection. Furthermore, high-quality intensive care with supportive management is the mainstay of therapy in such patients until we have novel and effective antiviral drugs for rabies treatment.","DictElement({'Year': '2022', 'Month': '07', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2022,BMJ case reports,10.1136/bcr-2022-249965,PMC9274529,Infection (neurology); Infection control in hospital; Vaccination/immunisation,Case Reports; Journal Article,England,eng
29385828,Prolonged Postconcussive Symptoms.,"Quinn, Davin K; Mayer, Andrew R; Master, Christina L; Fann, Jesse R",Quinn,,{},,The American journal of psychiatry,10.1176/appi.ajp.2017.17020235,PMC6586466,Mild Traumatic Brain Injury; Postconcussive Symptoms,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.",United States,eng
8257310,Trimethyltin encephalopathy.,"Feldman, R G; White, R F; Eriator, I I",Feldman,"A chemistry student was acutely exposed to vapors of an organotin compound. Seventy-two hours later, he exhibited delirium, spatial disorientation, perseveration, inappropriate affect, and memory defects. Five months later, he experienced episodes of complex partial seizures, which continue to require anticonvulsant medication after 7 years. Trimethyltin was identified in blood and urine samples taken 17 days after the accident; the blood level of trimethyltin was elevated 35 days after exposure. Serial electroencephalograms showed persistent left temporal paroxysmal epileptogenic potentials. Serial neuropsychological tests revealed persistent memory defects, cognitive dysfunction, and dysphoria 4 years after exposure. We review acute, resolving, and long-term residual neurotoxic effects of trimethyltin in man. We describe detailed clinical observations, serial neuropsychological test results, electroencephalographic findings, and exposure data in this patient, confirming the limbic system effects of trimethyltin and relating them to the known histopathologic pattern of this condition.",{},,Archives of neurology,10.1001/archneur.1993.00540120035010,,,Case Reports; Journal Article; Review,United States,eng
38289491,Obsessive-compulsive symptoms and brain lesions compatible with multiple sclerosis.,"von Zedtwitz, Katharina; Tebartz van Elst, Ludger; Urbach, Horst; Groppa, Sergiu; Schiele, Miriam A; Prüss, Harald; Domschke, Katharina; Stich, Oliver; Hannibal, Luciana; Endres, Dominique",von Zedtwitz,"Autoimmune-mediated obsessive-compulsive disorder (OCD) can occur in multiple sclerosis (MS). Here, a well-studied case study of a patient with OCD and MS-compatible diagnostic findings is presented. The 42-year-old female patient had displayed OCD symptoms for 6 years. Magnetic resonance imaging (MRI) identified several periventricular and one brainstem lesion suggestive of demyelination. Cerebrospinal fluid (CSF) analyses detected an increased white blood cell count, intrathecal immunoglobulin (Ig) G and IgM synthesis, CSF-specific oligoclonal bands, and a positive MRZ reaction. Neopterin was increased, but sarcoidosis was excluded. In the absence of neurological attacks and clues for MRI-based dissemination in time, a radiologically isolated syndrome, the pre-disease stage of MS, was diagnosed. Neurotransmitter measurements of CSF detected reduced serotonin levels. In the absence of visible strategic demyelinating lesions within the cortico-striato-thalamo-cortical circuits, OCD symptoms may relate to reduced intrathecal serotonin levels and mild neuroinflammatory processes. Serotonin abnormalities in MS should be studied further, as they could potentially explain the association between neuroinflammation and mental illnesses.","DictElement({'Year': '2024', 'Month': '01', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2024,"Journal of neural transmission (Vienna, Austria : 1996)",10.1007/s00702-023-02737-z,PMC10874305,Autoimmune; CSF; Inflammation; Multiple sclerosis; OCD; RIS,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Austria,eng
19204849,The effects of epilepsy and its treatments on affect and emotion.,"Hixson, John D; Kirsch, Heidi E",Hixson,"Epilepsy creates significant morbidity, disability, and loss of productivity worldwide. Although unpredictable seizures define epilepsy, the cognitive and emotional difficulties encountered by people with epilepsy may have an even greater impact on everyday function. Epilepsy is associated with lower quality of life (QOL); while this is partially attributable to ongoing seizures, QOL is independently affected by comorbid affective disorders like depression and anxiety. These can accompany all types of epilepsy, but may be especially noteworthy in partial epilepsy syndromes with foci in the frontal or temporal lobes. There is growing evidence that epileptogenic lesions disrupt cortical networks that carry out emotional processing. In addition to epilepsy itself, treatment strategies also affect cognitive functioning and mood. Antiepileptic drugs, vagal nerve stimulation, and surgical resection have all been associated with changes in mood, emotional processing, and social cognition. Overall, the relationship between epilepsy and emotion is vastly complex; when assessing emotional difficulties in a person with epilepsy, we must consider the psychosocial impact of the disease on the patient, the underlying pathophysiology of the disease, and the effects of ongoing treatments.",{},,Neurocase,10.1080/13554790802632876,,,Case Reports; Journal Article; Review,England,eng
35606039,Venous sinus thrombosis after the first dose of Pfizer BioNTech vaccine.,"Qureshi, Muhammad Imran Ahmad; Azam, Bilal; Waheed, Muhammad Aamir; Imran, Afsheen",Qureshi,"mRNA vaccines including Pfizer BioNTech and Moderna have categorically been considered safe when it comes to preventing COVID-19. However, there is still a small associated risk of thromboembolic phenomenon including venous sinus thrombosis with it and our case report highlights one.We describe a patient who developed severe progressive headache, tinnitus and visual disturbance symptoms post-Pfizer-SARS-CoV-2 vaccination. His medical history included essential tremors, hypertension, type 2 diabetes mellitus, chronic kidney disease stage 3, anxiety, depression and long-term catheterisation. Systemic examination revealed hypotonia, generalised reduced power and central diplopia along with peripheral visual field defect in the left eye. He was extensively investigated, the COVID-19 PCR test was negative and all routine blood tests were in the normal range except a marginally raised D-dimer of 779 ng/mL. CT head was unremarkable. He was also tested for myasthenia gravis; however, acetylcholine receptors antibodies were negative and nerve conduction studies were normal. Subsequent MRI of the brain with venography confirmed venous sinus thrombosis. A 24-hour Holter monitoring test did not reveal any cardiac rate or rhythm abnormality. He was treated with apixaban as per a neurologist's advice. His clinical condition started to improve and was later discharged from the hospital with an outpatient neurologist clinic follow-up.","DictElement({'Year': '2022', 'Month': '05', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2022,BMJ case reports,10.1136/bcr-2021-247493,PMC9125703,COVID-19; Healthcare improvement and patient safety; Stroke; Vaccination/immunisation; Venous thromboembolism,Case Reports; Journal Article,England,eng
30638936,Obsessive-Compulsive Disorder Following Cerebrovascular Accident: A Case Report and Literature Review.,"Akaho, Rie; Deguchi, Ichiro; Kigawa, Hiroshi; Nishimura, Katsuji",Akaho,"Cases of obsessive-compulsive disorder (OCD) following cerebrovascular accident (CVA) have rarely been reported. Case report and literature review. We describe the case of a 58-year-old, right-handed man developed OCD 17 months after stroke resulting from lesion of the right middle cerebral artery infarction. The patient was successfully treated with sertraline up to 50 mg per day. His OCD behaviors largely reduced in 6 weeks, and the Yale-Brown Obsessive Compulsive Scale score was reduced from 29 to 12 in 1 year. A literature review revealed 21 previous cases of OCD following CVA. Among these, consistent with our case, the basal ganglia was the most common site of the lesion responsible for the development of this rare disorder. We discuss the patient's treatment and outcomes. Our present case and a literature review suggest that OCD can manifest following CVA, although further studies are necessary. Selective serotonin reuptake inhibitors appear to be effective in treating this rare disorder.","DictElement({'Year': '2019', 'Month': '01', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2019,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2018.12.034,,Obsessive-compulsive disorder; basal ganglia; cerebrovascular accident; sertraline; stroke,Case Reports; Journal Article; Review,United States,eng
