pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34765254,Choroid Plexus Papilloma - Case Presentation.,"Kabashi, Antigona; Ahmetgjekaj, Ilir",Kabashi,"Choroid plexus papilloma (CPP) according to the latest WHO classification system in 2016 are an uncommon, benign (WHO grade I) neuroepithelial intraventricular tumor derived from choroid plexus epithelium, which can occur in both the pediatric and adult population. These tumors account for approximately 1% of all brain tumor 2-6% of pediatric brain tumors and 0.5% of adult brain tumors. A 2-year-old female is presented at the Pediatrics Clinic at the University Clinical Center of Kosovo in a febrile, lethargic state and the anterior fontanelle is tense and swollen. The patient's parents indicate that symptoms such as food refusal, apathy, speechlessness and low mood were presented a week earlier. Choroid plexus papilloma is a rare tumor without specific clinical patterns or imaging findings. In our presentation we have presented the role of symptoms in the detected and diagnostic of choroid plexus papilloma. Not every headache is a symptom of choroid plexus papilloma.","DictElement({'Year': '2021', 'Month': '06', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2021,Current health sciences journal,10.12865/CHSJ.47.02.24,PMC8551882,CT; Choroid plexus papilloma; MRI; choroid papilloma symptoms,Case Reports,Romania,eng
2178594,Isopropyl alcohol intoxication.,"Rich, J; Scheife, R T; Katz, N; Caplan, L R",Rich,"Three patients had neurologic signs due to isopropyl alcohol (IPA) intoxication. Over a several-week period, a known alcoholic developed apathy, confusion, ataxia, and hyperreflexia. During this period, there was no ethanol available to him, and he denied use of other intoxicants. He was found stuporous in the hospital after drinking IPA and admitted to IPA abuse during the preceding weeks. Two other men were admitted in a stupor after large ingestions of IPA. Intoxication with IPA has two different presentations: stupor in a known alcoholic and encephalopathy of unknown cause in individuals who hide their addiction. Ethanol, methanol, IPA, and ethylene glycol intoxications are associated with different clinical and laboratory findings.",{},,Archives of neurology,10.1001/archneur.1990.00530030100022,,,Case Reports; Journal Article; Review,United States,eng
37781407,Autoimmune GFAP astrocytopathy after viral encephalitis: a case report of bimodal overlapping encephalitis.,"Cheng, Ping; Huang, Wenjuan; Yang, Meifang; Chen, Zhiren; Geng, Yifan; Zhang, Xia; Chen, Weiwei",Cheng,"Autoimmune glial fibrillary acidic protein (GFAP) astrocytopathy is a treatable autoimmune disorder affecting the central nervous system. Despite extensive research, the exact etiology and pathogenesis of this condition remain unclear. In recent years, autoimmune encephalitis (AE) after viral encephalitis (VE) has gathered significant attention. Here, we present a case report of autoimmune GFAP astrocytopathy after VE in a 43-year-old Asian male with a history of oral and labial herpes. The patient presented with high-grade fever, headache, urinary retention, unresponsiveness, and apathy. Elevated levels of protein and GFAP-IgG were observed in the cerebrospinal fluid (CSF), and enhanced brain magnetic resonance imaging (MRI) revealed linear enhancement oriented radially to the ventricles. Treatment with intravenous immunoglobulin (IVIG) resulted in symptom relief, reduced lesion enhancement, and decreased protein levels. This case report highlights bimodal encephalitis with no discernible interval between VE and autoimmune GFAP astrocytopathy, which poses diagnostic challenges. Notably, autoimmune GFAP astrocytopathy is a novel form of autoimmune encephalitis, and its treatment lacks sufficient clinical experience. Intriguingly, our patient demonstrated sensitivity to IVIG, a treatment that differed from past reports. Therefore, further exploration of treatment strategies for this condition is warranted.","DictElement({'Year': '2023', 'Month': '09', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2023,Frontiers in immunology,10.3389/fimmu.2023.1258048,PMC10535097,case report; encephalitis; glial fibrillary acidic protein (GFAP); herpes simplex viral encephalitis (HSVE); viral encephalitis (VE),"Case Reports; Research Support, Non-U.S. Gov't",Switzerland,eng
37323514,Psychiatric Manifestations as the Primary Presentation of Frontal Meningioma.,"Lally, Jill; Galarneau, David",Lally,"<b>Background:</b> Although some patients with primary brain lesions remain clinically asymptomatic, others may experience a range of symptoms, including headaches, seizures, focal neurological deficits, changes in baseline mental function, and psychiatric manifestations. Distinguishing between a primary psychiatric illness and symptoms of a primary central nervous system tumor can be especially difficult for patients with a history of mental illness. A major challenge in effectively treating patients with brain tumors is first obtaining the diagnosis. <b>Case Report:</b> A 61-year-old female with a medical history significant for bipolar 1 disorder with psychotic features, generalized anxiety, and previous psychiatric hospitalization presented to the emergency department with worsening depressive symptoms and without focal neurologic deficits. She was initially placed on a physician's emergency certificate for grave disability, with anticipated discharge to a local inpatient psychiatric facility once she was stabilized. A frontal brain lesion, concerning for a meningioma, was found on magnetic resonance imaging and she was instead transferred to a tertiary center for urgent neurosurgical consultation. Bifrontal craniotomy with neoplasm excision was performed. The patient's postoperative course was uneventful, and continued symptom improvement was noted at the patient's 6- and 12-week postoperative visits. <b>Conclusion:</b> This patient's clinical course exemplifies the clinical ambiguity associated with brain tumors, the challenge of obtaining a timely diagnosis with nonspecific symptoms, and the importance of neuroimaging for patients presenting with atypical cognitive symptoms. This case report contributes to the literature about the psychiatric manifestations of brain lesions, especially in patients with concurrent mental health disorders.",{},,Ochsner journal,10.31486/toj.22.0112,PMC10262947,Anxiety; apathy; brain neoplasms; depression; meningioma; neuroimaging,Case Reports,United States,eng
37403244,Limbic encephalitis secondary to neuro-Behcet disease: an uncommon presentation.,"Seoane, D; Roca-Rodríguez, L; Ruiz-Ortiz, M; Franco-Domingo, N; Laespada-García, M I; Sánchez-Tejerina, D; González-Crespo, M R; Villarejo-Galende, A; González-Sánchez, M",Seoane,"Limbic encephalitis (LE) can have a wide range of etiologies, most frequently infectious (especially viral) or autoimmune. Behcet's disease (BD) can present with heterogeneous neurological manifestations. However, LE is not considered a typical presentation of neuro-Behcet's disease (NBD). A 40-years-old male presented with new-onset subacute headaches, memory problems and apathy. A review of systems revealed an unrecorded past history of recurrent oral sores for years, recent malaise and fever, as well as an episode of bilateral panuveitis four months before presentation. His general and neurologic examination revealed slight fever, an isolated oral aphtha, anterograde amnesia and signs of bilateral retinal vasculitis. Brain magnetic resonance imaging displayed a pattern of limbic meningoencephalitis, and his cerebrospinal fluid showed mononuclear inflammation. The patient met BD diagnostic criteria. Considering LE is a very rare presentation of NBD, alternative etiologies were thoroughly assessed and excluded, including infectious, autoimmune and paraneoplastic encephalitis. Therefore, he was diagnosed with NBD, and he recovered well after immunosuppression. Only two cases of NBD presenting with LE have been previously reported. We report a third case of this rare presentation and compare it with the previous two. We aim to highlight this association and contribute to enlarge the rich clinical spectrum of NBD.",{},,Revista de neurologia,10.33588/rn.7702.2022049,PMC10662178,,Review; Case Reports,Spain,eng; spa
31698993,Mania and psychosis associated with right parietal meningioma.,"Moore, Emily; Srivastava, Anshuman A; Rajaram Manoharan, Senthil Vel Rajan; Hussain, Najeeb",Moore,"Meningioma is the most common type of primary central nervous system and intracranial tumor, and psychiatric changes attributed to meningioma include depression, apathy, psychosis, and personality changes. We present a case of a 59-year-old man with right parietal meningioma who developed mania with psychotic features throughout multiple hospitalizations. Single-case report. The patient originally presented with headache and bilateral lower extremity weakness. He was found to have a large medial sphenoidal wing meningioma and a small right parietal meningioma. The sphenoidal wing meningioma was removed via craniotomy, but the right parietal meningioma was not resected. In the following years, the patient developed symptoms of mania and psychosis which coincided with an increase in size of the right parietal meningioma. Previous studies have linked right parietal meningioma to psychosis, but this case is one of the first to suggest that right parietal meningioma may be associated with the development of mania along with psychotic features.","DictElement({'Year': '2019', 'Month': '11', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2019,International journal of psychiatry in medicine,10.1177/0091217419885218,,meningioma; neoplasms; psychiatry; psychotic disorders,Case Reports; Journal Article,United States,eng
37358038,Reversible leukoencephalopathy associated with organotin poisoning.,"Dang, Tinh Quang; Doan, Uyen Vy; Nguyen, Tri Dung; Nguyen, Thanh Vinh; Nguyen, Thang Ba",Dang,"Organotin compounds are widely used in the plastic industry. We demonstrate the role of brain magnetic resonance imaging in a patient with leukoencephalopathy. A 38-year-old man who worked with trimethyltin and dimethyltin in a polyvinyl chloride factory reported a two-week progression of impaired memory, loss of balance, apathy, tinnitus, scaly darkened skin, and psychomotor slowing that rendered him unable to continue his daily activities. Magnetic resonance imaging revealed diffuse bilateral white matter lesions. Tin concentrations in both blood (344 μ/L) and urine (3,050 μg/L) were elevated. Removal from exposure and treatment with succimer were associated with clinical, laboratory, and imaging improvements. The high lipid content of myelin is a likely target for lipid-soluble alkyl tin compounds. This patient demonstrates the clinical and magnetic resonance imaging findings of organotin toxicity. The contribution of chelation to the patient's recovery is uncertain and warrants further study.",{},,"Clinical toxicology (Philadelphia, Pa.)",10.1080/15563650.2023.2218026,,Organotin; leukoencephalopathy; magnetic resonance imaging,Case Reports; Journal Article,England,eng
32123344,Wernicke encephalopathy-a rare complication of hyperemesis gravidarum.,"Žigrai, Miroslav; Smetanová, Viera; Gmitterová, Karin; Klepancová, Petra; Vyskočil, Milan",Žigrai,"We report a rare case of Wernicke encephalopathy (WE) in a 35-year-old woman with hyperemesis gravidarum (HG). Initially, the disease manifested as passivity, a loss of interest, sleeping too much, apathy and disorientation. The correct diagnosis was established after the detection of typical pathological findings of WE in the thalamus by magnetic resonance imaging (MRI), which was indicated for the appearance of eye symptomatology in the form of nystagmus. Subsequent treatment with thiamine led to rapid improvement in the patient's clinical status and a favorable course of pregnancy.","DictElement({'Year': '2020', 'Month': '03', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2020,European journal of clinical nutrition,10.1038/s41430-020-0592-9,,,Case Reports; Journal Article,England,eng
36482623,Severe lower gastrointestinal bleeding caused by rectal Dieulafoy's lesion: Case reports and literature review.,"Han, Ping; Lei, Yu; Hou, Wei; Chen, Nianjun; Liu, Jingmei; Tian, Dean; Guo, Qiaozhen; Yan, Wei",Han,"Dieulafoy's lesion are relatively rare and can cause severe gastrointestinal bleeding. A Dieulafoy's lesion is defined as an artery that erodes the overlying epithelium without the presence of an ulcer. Bleeding in Dieulafoy's lesion predominantly involves the proximal stomach and upper gastrointestinal tract and is rarely observed in the lower gastrointestinal tract. Case 1 was a 58-year-old woman complaining of sudden headache and vomiting who was diagnosed with subarachnoid hemorrhage. She underwent transcatheter embolization for intracranial aneurysm treatment but had an acute profuse hematochezia on the 11th day of admission. Case 2 was a 63-year-old man admitted to the respiratory intensive care unit because of fever with altered consciousness level for a week. He was diagnosed with advanced lung cancer that had metastasized to multiple organs one month prior. On the third day of admission, he had an attack of profuse hematochezia, and quickly developed shock and apathy. Both patients were diagnosed with actively bleeding rectal Dieulafoy's lesion by bedside emergency colonoscopy. Endoscopic hemostatic clipping was performed in 2 patients. Hemostasis was successfully achieved in these 2 patients, and there was no recurrence of symptoms during follow-up. We propose that hemostatic clipping is one of the options in the treatment of rectal Dieulafoy's lesions.",{},,Medicine,10.1097/MD.0000000000032031,PMC9726342,,Review; Case Reports; Journal Article,United States,eng
31534024,Unusual cause of treatable Parkinsonism.,"Wiblin, Lou; Mitra, Dipayan; Warren, Naomi",Wiblin,"A 78-year-old woman presented with features of bilateral, asymmetric Parkinsonism for 1 year, with prominent difficulties with continence, swallowing and apathy. Brain imaging showed evidence of chronic venous sinus thrombosis with dilated serpiginous vessels over the brain surface in keeping with a dural arteriovenous fistula, together with high T2 signal on MRI in the basal ganglia. Having responded only modestly to levodopa, she received 6 months of anticoagulation followed by embolisation of the dural arteriovenous fistula, with good response. Cerebral dural arteriovenous fistula is a rare, structural cause of atypical Parkinsonism.","DictElement({'Year': '2019', 'Month': '09', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2019,Practical neurology,10.1136/practneurol-2019-002225,,Parkinson's disease; anatomy; clinical neurology; neuroradiology,Case Reports; Journal Article,England,eng
