pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
26227632,Mucor Thrombus.,"Scharf, E L; Cloft, H J; Wijdicks, E",Scharf,To describe a rare presentation of ischemic stroke secondary to angioinvasive mucormycosis and endovascular retrieval of mycotic thrombus with stenting of the compressed vessel. We report a case of angioinvasive mucormycosis that externally compressed and invaded the internal carotid artery causing ischemic cerebral infarction. A sample of the thrombus was obtained using a stent retriever. Subsequent pathological analysis was shown to be consistent with the diagnosis of angioinvasive mucormycosis. The thrombosed and compressed segment was recanalized with the deployment of a stent. The endovascular placement of an expandable stent in the setting of angioinvasive mucormycosis restored good cerebral blood flow in a proximal internal carotid artery occlusion. The patient's aphasia resolved following this intervention. Artifacts of CT angiography may result in the overestimation of acute arterial occlusions. Endovascular carotid stenting may be a palliative measure in the setting of angioinvasive rhino-cerebro-orbital mucormycosis.,{},,Neurocritical care,10.1007/s12028-015-0186-x,,,Case Reports; Journal Article,United States,eng
28114692,[Crossed Aphasia].,"Schorl, Martin; Förster, Britta; Kropff, Ines; Vasquez, Mauricio Parra",Schorl,"Crossed aphasia (CA) is a rare acquired language disorder caused by a right-sided brain lesion in dextrals. Based on a case report, relevant aspects for the diagnosis of CA and differential diagnoses will be outlined. Relevant hypotheses concerning etiology, epidemiology, phenomenology and pathophysiology will be discussed with reference to the literature. The phenomenon of CA has contributed for decades to the development of hypotheses concerning lateralization of cognitive abilities.","DictElement({'Year': '2017', 'Month': '01', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2017,Fortschritte der Neurologie-Psychiatrie,10.1055/s-0042-119028,,,Case Reports; Journal Article; Review,Germany,ger
6538302,Crossed Wernicke's aphasia.,"Sweet, E W; Panis, W; Levine, D N",Sweet,"Severe Wernicke's aphasia occurred suddenly in a right-handed man and persisted with little improvement until he died 54 days later. Postmortem examination showed an infarct in the posterior temporoparietal region of the right hemisphere. This case demonstrates two new features of crossed dextral aphasia. First, language skills may be fully lateralized to the right hemisphere in right-handed patients. Second, when crossed lateralization occurs, the usual localization of aphasic syndromes is common, suggesting that the intrahemispheric organization mediating language activities is the same in the right hemisphere of the crossed dextral and the left hemisphere of the typical right-handed individual.",{},,Neurology,10.1212/wnl.34.4.475,,,Case Reports; Journal Article,United States,eng
2405214,Subcortical lesions and aphasia.,"Robin, D A; Schienberg, S",Robin,"Recent evidence suggests that subcortical lesions can give rise to aphasic symptoms. Two subcortical structures thought to participate in the pathogenesis of aphasia are the basal ganglia and the thalamus. This paper reports on 3 patients with lesions of the thalamus and 10 patients with lesions of the basal ganglia, most of whom had persistent aphasias. The role of subcortical structures in aphasia and the importance of subcortical structures in neural models of language are discussed.",{},,The Journal of speech and hearing disorders,10.1044/jshd.5501.90,,,Case Reports; Journal Article; Review,United States,eng
8716942,Pragmatics: right brain communication.,"Boss, B J",Boss,"Neuroscience nurses as well as other health care providers are called upon to assess and implement intervention strategies to assist clients and family members and significant others to communicate in the presence of communication deficits. Language, high level language skills and speech are frequently addressed in presentations and in the literature but pragmatics which includes prosody, attitude, emotions and gestural behaviors is rarely addressed. Pragmatic competence mediated by the right hemisphere, is an equally important and essential component of human communication. An understanding of pragmatics permits the neuroscience nurse to identify and evaluate pragmatic deficits so interventions to facilitate communication can be undertaken. Specifically prosody, that is melody, pause, intonation, stresses and accents, affective tone, subtle grades of meaning and varied emphasis; its components; and aprosodia (lack of prosody) will be discussed. Kinesics, that is limb, body and facial movements, and referred to as pantomime and gestures, will be examined also as will facial expression. Suggestions for pragmatic assessment and therapeutic nursing interventions will be given.",{},,"Axone (Dartmouth, N.S.)",,,,Case Reports; Journal Article; Review,Canada,eng
37342746,A Case of Aplastic Anemia Complicated With Cerebral Infarction.,"Chouksey, Sanchit S; Pathak, Abhishek; Mishra, Vijay Nath; Kumar, Nikhil A; Daga, Rohit",Chouksey,"Aplastic anemia is usually associated with hemorrhagic stroke. Here, we report a case of ischemic stroke secondary to aplastic anemia in a 28-year-old male who presented with sudden-onset right hemiplegia and aphasia when he was not on any immunosuppression for five months. His laboratory findings showed pancytopenia, and his peripheral blood smear showed no atypical cells. Magnetic resonance imaging of the brain with magnetic resonance angiography (MRA) of the neck and brain vessels revealed an infarct in the left cerebral hemisphere in the middle cerebral artery territory, and no significant stenosis or aneurysm was observed on MRA. The patient was managed conservatively and discharged in stable condition.","DictElement({'Year': '2023', 'Month': '05', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.39274,PMC10279505,anemia; aplastic; cerebral infraction; cortical stroke; young onset stroke,Case Reports,United States,eng
35164444,Post-stroke aphasia at the time of COVID-19 pandemic: a telerehabilitation perspective.,"Cassarino, Laura; Santoro, Franca; Gelardi, Donatella; Panerai, Simonetta; Papotto, Maurizio; Tripodi, Mariangela; Cosentino, Filomena Irene Ilaria; Neri, Vincenzo; Ferri, Raffaele; Ferlito, Salvatore; Modica, Daniela; Fisicaro, Francesco; Pennisi, Manuela; Bella, Rita; Lanza, Giuseppe",Cassarino,"We report on our remote speech therapy experience in post-stroke aphasia. The aim was to test the feasibility and utility of telerehabilitation to support future randomized controlled trials. Post-stroke aphasia is a common and disabling speech disorder, which significantly affects patients' and caregivers' health and quality of life. Due to COVID-19 pandemic, most of the conventional speech therapy approaches had to stop or ""switch"" into telerehabilitation procedures to ensure the safety of patients and operators but, concomitantly, the best rehabilitation level possible. Here, we planned a 5-month telespeech therapy programme, twice per week, of a patient with non-fluent aphasia following an intracerebral haemorrhage. Overall, treatment adherence based on the operator's assessments was high, and incomplete adherence for technical problems occurred very rarely. In line with the patient's feedback, acceptability was also positive, since he was constantly motivated during the sessions and the exercises performed autonomously, as confirmed by the speech therapist and caregiver, respectively. Moreover, despite the sequelae from the cerebrovascular event, evident in some writing tests due to the motor deficits in his right arm and the disadvantages typical of all telepractices, more relevant results were achieved during the telerehabilitation period compared to those of the ""face-to-face"" therapy before the COVID-19 outbreak. The telespeech therapy performed can be considered successful and the patient was able to return to work. Concluding, we support it as a feasible approach offering patients and their families the opportunity to continue the speech and language rehabilitation pathway, even at the time of pandemic.",{},,Journal of integrative neuroscience,10.31083/j.jin2101008,,Aphasia; COVID-19 pandemic; Speech therapy; Stroke; Telerehabilitation,Case Reports,Singapore,eng
34074867,Aphasia Induced by Infratentorial Ischemic Stroke: Two Case Reports.,"Inatomi, Yuichiro; Nakajima, Makoto; Yonehara, Toshiro",Inatomi,"Aphasia induced by an infratentorial stroke has rarely been reported, and its mechanism has not been fully identified. We evaluated two individuals who had been admitted to Saiseikai Kumamoto Hospital in Kumamoto, Japan, due to acute ischemic stroke in order to determine whether their aphasia was induced by an infratentorial stroke. The first patient, a 59-year-old man with a history of left parietal embolic stroke with very mild sequelae of anomia, developed Wernicke's aphasia, nonfluent speech, and right limb ataxia as a result of the stroke. The second patient, a 76-year-old woman with a history of chronic renal failure, experienced transcortical sensory aphasia and right one-and-a-half syndrome as a result of the stroke. Both patients' recent ischemic lesions were limited to the right cerebellar hemisphere and the right medial portion of the midbrain. However, SPECT showed low-uptake lesions in both patients' left cerebral hemisphere that did not include the recent ischemic lesions but that had spread to an extent that was difficult to be explained by the old or recent ischemic lesions and that might be responsible for their recent aphasia. We believe that the aphasia experienced by these two patients may have been caused by crossed cerebello-cerebral diaschisis.","DictElement({'Year': '2021', 'Month': '06', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2021,Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology,10.1097/WNN.0000000000000266,,,Case Reports; Journal Article,United States,eng
23526844,"Locked-in, walked out.","Kearney, Seamus; McCann, John; Hawkins, Stanley",Kearney,"Locked in syndrome is typically associated with significant morbidity and mortality. We report a patient who had an unusually good recovery from locked in syndrome due to pontine infarction. The good recovery exhibited by our patient may have resulted from resolution of oedema at the site of infarction and brainstem plasticity being augmented by initial supportive measures in the intensive care unit and early, intensive rehabilitation.",{},,The Ulster medical journal,,PMC3605527,,Case Reports; Journal Article,Northern Ireland,eng
1734296,Japanese crossed Wernicke's aphasia.,"Sakurai, Y; Kurisaki, H; Takeda, K; Iwata, M; Bandoh, M; Watanabe, T; Momose, T",Sakurai,"A right-handed Japanese man with no personal or family history of left-handedness developed severe Wernicke's aphasia, a mild constructional disorder, and slight left hemiparesis. MRI revealed infarction in the territory of the righ middle cerebral artery, including areas homologous to Broca's and Wernicke's areas. The cerebral blood flow in these areas remained diminished even after language activation. The most likely explanation is that language production occurred in the left Broca's area, while language comprehension occurred in the right Wernicke's area (a dissociated aphasia).",{},,Neurology,10.1212/wnl.42.1.144,,,Case Reports; Journal Article,United States,eng
31852049,Confusion vs Broca Aphasia: A Case Report.,"Wang, Regina; Wiley, Christi",Wang,"Broca aphasia presents with impaired expression of spoken and/or written language and is often caused by infarction in the Broca area in the frontal lobe. We present a case of Broca aphasia that was initially interpreted as confusion. A 76-year-old woman was brought to the Emergency Department because of confusion and slurred speech that began in the morning. The patient had an extensive history of alcohol abuse, hyperlipidemia, and hypertension and had recently quit drinking 5 days earlier. The patient appeared confused, answering questions with ""I don't know,"" but had no signs of agitation. Magnetic resonance imaging of the brain confirmed a recent infarct involving the left frontal and occipital lobes, coinciding with the Broca area. The patient was able to communicate via writing and eventually made an uneventful recovery of speech. This case demonstrates a patient without the display of stereotypical signs of stroke, yet that was the underlying condition leading to her aphasia. It is important for clinicians to be aware that a stroke can present with isolated findings such as language deficit or confusion.","DictElement({'Year': '2019', 'Month': '12', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2019,The Permanente journal,10.7812/TPP/19-061,PMC6907899,,Case Reports; Comparative Study; Journal Article,United States,eng
22011016,Anomia training and brain stimulation in chronic aphasia.,"Cotelli, Maria; Fertonani, Anna; Miozzo, Antonio; Rosini, Sandra; Manenti, Rosa; Padovani, Alessandro; Ansaldo, Ana Ines; Cappa, Stefano F; Miniussi, Carlo",Cotelli,"Recent studies have reported enhanced performance on language tasks induced by non-invasive brain stimulation, i.e., repetitive transcranial magnetic stimulation (rTMS), or transcranial direct current stimulation (tDCS), in patients with aphasia due to stroke or Alzheimer's disease (AD). The first part of this article reviews brain stimulation studies related to language recovery in aphasic patients. The second part reports results from a pilot study with three chronic stroke patients who had non-fluent aphasia, where real or placebo rTMS was immediately followed by 25 minutes of individualised speech therapy. Real rTMS consisted of high-frequency rTMS over the left dorsolateral prefrontal cortex (BA 8/9) for 25 minutes. Each patient underwent a total of four weeks of intervention. P1 underwent four weeks of real rTMS (5 days/week) where individualised speech therapy was provided for 25 minutes immediately following each rTMS session. P2 and P3 each underwent two weeks of placebo rTMS, followed immediately by individualised speech therapy; then two weeks of real rTMS, followed immediately by individualised speech therapy. Assessments took place at 2, 4, 12, 24 and 48 weeks post-entry/baseline testing. Relative to entry/baseline testing, a significant improvement in object naming was observed at all testing times, from two weeks post-intervention in real rTMS plus speech therapy, or placebo rTMS plus speech therapy. Our findings suggest beneficial effects of targeted behavioural training in combination with brain stimulation in chronic aphasic patients. However, further work is required in order to verify whether optimal combination parameters (rTMS alone or speech therapy alone) and length of rTMS treatment may be found.",{},,Neuropsychological rehabilitation,10.1080/09602011.2011.621275,,,"Case Reports; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't; Review",England,eng
38387377,Situating word deafness within aphasia recovery: A case report.,"Casilio, Marianne; Kasdan, Anna V; Schneck, Sarah M; Entrup, Jillian L; Levy, Deborah F; Crouch, Kelly; Wilson, Stephen M",Casilio,"Word deafness is a rare neurological disorder often observed following bilateral damage to superior temporal cortex and canonically defined as an auditory modality-specific deficit in word comprehension. The extent to which word deafness is dissociable from aphasia remains unclear given its heterogeneous presentation, and some have consequently posited that word deafness instead represents a stage in recovery from aphasia, where auditory and linguistic processing are affected to varying degrees and improve at differing rates. Here, we report a case of an individual (Mr. C) with bilateral temporal lobe lesions whose presentation evolved from a severe aphasia to an atypical form of word deafness, where auditory linguistic processing was impaired at the sentence level and beyond. We first reconstructed in detail Mr. C's stroke recovery through medical record review and supplemental interviewing. Then, using behavioral testing and multimodal neuroimaging, we documented a predominant auditory linguistic deficit in sentence and narrative comprehension-with markedly reduced behavioral performance and absent brain activation in the language network in the spoken modality exclusively. In contrast, Mr. C displayed near-unimpaired behavioral performance and robust brain activations in the language network for the linguistic processing of words, irrespective of modality. We argue that these findings not only support the view of word deafness as a stage in aphasia recovery but also further instantiate the important role of left superior temporal cortex in auditory linguistic processing.","DictElement({'Year': '2024', 'Month': '01', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2024,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2023.12.012,PMC11073474,Aphasia; Functional MRI; Language; Recovery; Word deafness,"Case Reports; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural",Italy,eng
30172982,Left Sylvian Fissure Epidermoid Cyst Presenting with Progressive Aphasia.,"Zenonos, Georgios A; Fernandes Cabral, David T; Olexa, Joshua; Friedlander, Robert M",Zenonos,"Epidermoid cysts within the sylvian fissure are extremely rare. Expressive aphasia and neurocognitive dysfunction because of mass effect have never been reported previously. We discuss the case of a 53-year-old male who presented with an acute episode of expressive aphasia and vision changes along with progressive headaches and cognitive slowing over the 2.5 years prior to presentation. A detailed neurologic examination revealed subtle conductive aphasia, as well as mild short-term memory dysfunction. Magnetic resonance imaging revealed a cystic mass consistent with epidermoid cyst within the left sylvian fissure. High-definition fiber tractography showed that the arcuate fasciculus was stretched by the tumor. A left frontotemporal craniotomy allowed for near-total excision of the cyst and led to rapid and complete resolution of symptoms. Although rare, epidermoid cysts of the dominant sylvian fissure can present with progressive aphasia due to mass effect on the arcuate fasciculus. Despite the long-standing symptoms, surgical resection can lead to their complete resolution.","DictElement({'Year': '2018', 'Month': '08', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2018,World neurosurgery,10.1016/j.wneu.2018.08.164,,Aphasia; Epidermoid; Sylvian fissure,Case Reports; Journal Article,United States,eng
36047127,Aphasia with No Apparent Paralysis in Progressive Stroke of the Anterior Choroidal Artery.,"Kanazawa, Serika; Funasaka, Homare; Fukaya, Hiroshi; Okawa, Satoshi",Kanazawa,"Some anterior choroidal artery (AChA) infarctions in the posterior limbs of the internal capsule (plIC) have been reported to cause aphasia, typically with apparent paralysis. We herein report an 84-year-old woman with AChA infarction. Although her dysarthria remained mild with no apparent paralysis, we overlooked progression to branch atheromatous disease-related infarct with exacerbation of her anomia, which delayed the initiation of more intense therapy. Even in AChA infarction, especially when the lesion is located mainly in the anterior part of the plIC, as in our case, it is possible to encounter progressive stroke predominantly with aphasia.","DictElement({'Year': '2022', 'Month': '08', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2022,"Internal medicine (Tokyo, Japan)",10.2169/internalmedicine.0009-22,PMC10125816,anterior choroidal artery; aphasia; internal capsule; progressive stroke,Case Reports; Journal Article,Japan,eng
1944849,Aphasia in polyglots: report of two cases and analysis of the literature.,"Mastronardi, L; Ferrante, L; Celli, P; Acqui, M; Fortuna, A",Mastronardi,"Two cases of aphasia in polyglot patients who experienced different symptoms in each of the languages they knew are reported. The authors discuss the problem and analyze the available literature in an attempt to formulate a pathogenetic hypothesis of the different involvement of the known idioms sometimes observed in aphasic polyglots. In particular, when time has elapsed between the learning of the mother tongue and other languages, and all the known languages are, consequently, functionally independent, it is possible that the two or more known idioms have distinct anatomical representations, probably localized separately in the two hemispheres. This could explain why, in some polyglots, aphasia affects one of the known languages preferentially. In subjects in whom the different known idioms were learned during early childhood, the anatomical representation of the languages is similar, which explains why, in this kind of polyglot, all the known languages can be equally affected by cerebral damage that causes aphasia.",{},,Neurosurgery,,,,Case Reports; Journal Article; Review,United States,eng
6084826,Varieties of perseveration.,"Sandson, J; Albert, M L",Sandson,"We propose a new taxonomy for perseveration consisting of three categories which are distinctive at the levels of clinical features, process, and neuroanatomy. Stuck-in-set perseveration, the inappropriate maintenance of a current category or framework, involves an underlying process deficit in executive functioning and is related neuroanatomically to frontal lobe damage. Recurrent perseveration, the unintentional repetition of a previous response to a subsequent stimulus, involves an abnormal post-facilitation of memory traces and is related neuroanatomically to posterior left hemisphere damage. Continuous perseveration is the inappropriate prolongation or repetition of a behavior without interruption. It involves a deficit in motor output and is most common in patients with damage to the basal ganglia.",{},,Neuropsychologia,10.1016/0028-3932(84)90098-8,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",England,eng
6497734,Aphasia after left thalamic infarction.,"Gorelick, P B; Hier, D B; Benevento, L; Levitt, S; Tan, W",Gorelick,"We examined a 70-year-old woman who became aphasic after a left thalamic infarction. Computed tomographic scan showed injury that was largely limited to the ventral anterior and rostral ventral lateral thalamic nuclei. Speech was characterized by reduced voice volume, impaired auditory and reading comprehension, perseverations, intermittent use of jargon, fluctuations in the ability to perform confrontation naming, extraneous intrusions, verbal paraphasia, intact repetition skills, and fluent speech that was laconic but grammatically correct. We propose that the deficits after left thalamic injury can be grouped into the following four large clusters: extrapyramidal deficits (decreased or fading voice volume), deficits in lexical access (anomia, verbal paraphasia), deficits in vigilance (neologisms, intrusions, fluctuating performance, jargon, perseverations), and comprehension defects.",{},,Archives of neurology,10.1001/archneur.1984.04050230082026,,,Case Reports; Journal Article,United States,eng
