pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
36498400,Swallowing Apraxia Post Ischemic Stroke.,"Alfaris, Abdullah Mohammed; Alghamdi, Atheer Saeed; Almowalad, Enas Saad; Al Harbi, Awad Aweid; Alghamdi, Khaled Abdulraheem; Saeedi, Jameelah; Al Awaji, Nisreen Naser",Alfaris,"A 55-year-old male patient with a known medical history of diabetes mellitus type 2 and treated lymphoma was first admitted with a sudden left-sided facial asymmetry and mouth deviation to the left side with no other neurological symptoms. A Computerized Tomography (CT) scan of the brain showed acute infarct and small left basal ganglia old lacunar infarction. He was discharged on a dual antiplatelet. One week later, the patient's condition had worsened and, therefore, was admitted with an impression of ischemic stroke. A bedside swallowing assessment, VFSS, and FEES study were conducted to diagnose this case. The bedside assessment did not reveal any sensory or motor deficits in his oral cavity and the FEES examination was also unable to rule out pharyngeal dysphagia. However, a videofluoroscopic swallowing study (VFSS) revealed a significant dysfunction of oral preparation and oral phases and presented difficulty initiating the pharyngeal phase. Given these features, we believe that this swallowing difficulty is caused by swallowing apraxia. This case provides additional information and understanding on management from the swallowing side.","DictElement({'Year': '2022', 'Month': '12', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2022,International journal of environmental research and public health,10.3390/ijerph192316329,PMC9737384,FEES; VFSS; ischemic stroke; swallowing apraxia,Case Reports,Switzerland,eng
6850274,Callosal apraxia.,"Watson, R T; Heilman, K M",Watson,"A 43-year-old woman suffered a spontaneous corpus callosum disconnection, resulting in apraxia and apraxic agraphia confined to the left hand. She initially had a functionally total callosal disconnection. With time, the splenium of the corpus callosum became functional, and a computerized tomographic scan performed five months after the onset showed infarction of only the body of the corpus callosum. Concomitant with this improvement in callosal function, the apraxia changed from ideational (loss of the concept of skilled movements) to classic ideomotor apraxia. A temporal analysis of this case provided support for Liepmann's (Liepmann, 1900; Liepmann and Maas, 1970) hypothesis that there is a centre for visuokinaesthetic (space-time) engrams in the left hemisphere of right-handed patients that controls skilled motor acts in either hand. This patient's recovery also allowed us a better understanding of the mechanisms underlying various types of apraxia.",{},,Brain : a journal of neurology,10.1093/brain/106.2.391,,,Case Reports; Journal Article,England,eng
3796825,Callosal apraxia.,"Graff-Radford, N R; Welsh, K; Godersky, J",Graff-Radford,"A 39-year-old right-handed woman suffered a ruptured pericallosal aneurysm. Serial MRI studies showed damage to the genu and most of the body of the corpus callosum but not the splenium. Both supplementary motor areas (SMA) appeared intact. We studied the patient's praxis performance at intervals over a 4-month period with a standardized battery. The study suggests that apraxia seen in patients with callosal lesions is probably due to the callosal damage, not to the usually associated SMA lesion. Our findings support Liepmann's idea that the left hemisphere is dominant for praxis in both hands. We propose, however, that the dominance effect is related to the type of test given and varies among individuals. As regards the latter, in some individuals the left hemisphere is strongly dominant for motor tasks, while in others it is less so. As regards the type of test, the most enduring left-hand apraxia is seen in verbal, not visuomotor tests.",{},,Neurology,10.1212/wnl.37.1.100,,,Case Reports; Journal Article,United States,eng
22075046,Callosal warning syndrome.,"Nandhagopal, Ramachandiran; Al-Asmi, Abdullah; Johnston, William James; Jacob, P C; Arunodaya, G R",Nandhagopal,"To report the clinical and imaging findings in a patient with an initial fluctuating disconnection syndrome due to corpus callosal ischemia that ultimately culminated in infarction with persistent symptoms. A 40-year-old, hypertensive, right-handed man presented with transient, stereotyped symptoms of corpus callosal disconnection (intermanual conflict, apraxia, dysgraphia and construction difficulties in his left hand). Serial magnetic resonance imaging scans demonstrated the ischemic nature of the initial fluctuating symptoms and later showed callosal infarction when the symptoms were persistent. Magnetic resonance angiogram did not reveal significant stenosis or occlusion of the internal carotid or proximal portion of anterior cerebral arteries. Patient received standard treatment for ischemic stroke and at follow-up 1 month later, had mild left hand apraxia, dysgraphia and construction difficulties. The case highlights the unusual occurrence of crescendo transient ischemic attacks culminating in infarction in the location of corpus callosum. We have termed this novel stroke syndrome as 'callosal warning syndrome' as the temporal profile was quite indistinguishable from that of relatively well-known stroke warning syndromes in the location of internal capsule and pontine tegmentum.","DictElement({'Year': '2011', 'Month': '11', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2011,Journal of the neurological sciences,10.1016/j.jns.2011.10.007,,,Case Reports; Journal Article,Netherlands,eng
27003199,Ideomotor Apraxia Due to Injury of the Superior Longitudinal Fasciculus.,"Jang, Sung Ho; Jang, Woo Hyuk",Jang,"We report on a patient who showed ideomotor apraxia due to injury of the superior longitudinal fasciculus following brain tumor and tumor bleeding, which was demonstrated by diffusion tensor tractography (DTT). A 60-yr-old, right-handed male patient underwent removal of brain meningioma and drainage of intraventricular hemorrhage and intracerebral hemorrhage in the left fronto-parietal lobe. At the time of DTT scanning (5 wk after onset), he was able to move the right upper extremity against gravity. The patient exhibited an intact ideational plan for motor performance. In addition, he was able to use actual objects (scissors, eraser) using his right wrist and hand. However, he had difficulty in using his right upper extremity for pantomime of object use, imitating gestures (meaningless or meaningful), and movement of his right upper extremity proximal. Score on the ideomotor apraxia test for the right side was 4 (cut-off score < 32). DTTs for the left superior longitudinal fasciculus to the left premotor cortex and left inferior parietal lobule showed partial injury, compared with the right superior longitudinal fasciculus. These injuries appeared to be the reason for ideomotor apraxia in this patient.",{},,American journal of physical medicine & rehabilitation,10.1097/PHM.0000000000000483,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
38344353,Apraxia of speech due to the left postcentral gyrus lesion.,"Mitani, Naoko; Sakurai, Yasuhisa",Mitani,"Apraxia of speech (AOS) due to a postcentral infarction differs from conventional precentral AOS with respect to phonemic errors (phoneme substitution) which are more common than phonetic errors (phoneme distortion) and preserved accent and intonation. Clinical features of apraxia of speech caused by lesions in the postcentral gyrus have not yet been elucidated. Here, we report a patient with this lesion and show how postcentral apraxia of speech differs from the hitherto known precentral apraxia of speech. A 54-year-old man developed Broca's aphasia with apraxia of speech that resolved into pure apraxia of speech within 3 weeks following infarction of the postcentral gyrus. The diagnosis of apraxia of speech was based on the patient's effortful, slow speech and inconsistent phonetic distortions with phonemic paraphasia. The Western Aphasia Battery was used to examine the patient's speech samples. Speech was recorded using a digital voice recorder and transcribed into a narrow transcription of the International Phonetic Alphabet. The error types were categorized phonologically. The results revealed that (a) phonemic errors (vowel and consonant substitutions, also known as phonemic paraphasia) were more common than phonetic errors (vowel and consonant distortions). Similar to conduction aphasia, phonemic errors were more pronounced in confrontation naming than in repetition, accompanied by self-correction, and (b) word accent and sentence intonation were preserved, although the speech was slow. These two features are characteristic of postcentral apraxia of speech, which can be differentiated from conventional precentral apraxia of speech.","DictElement({'Year': '2024', 'Month': '02', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2024,Clinical case reports,10.1002/ccr3.8499,PMC10857924,conduction aphasia; dysprosody; phonemic paraphasia; phonetic distortion,Case Reports,England,eng
35028199,Pure Infarct of the Oculomotor Nucleus With Fetal Posterior Cerebral Artery Involvement.,"Ahmad, Myra; Ahmad, Salman; Ahmad, Hamzah; Basile, Eric; Roche, Patricia",Ahmad,"Vascular anomalies are present in the posterior circulation. In the case of this stroke patient, the posterior cerebral artery (PCA) was shown to have a fetal origin. A fetal PCA is classified as either a partial or complete fetal PCA, which can be determined by the presence of a remnant or absence of P1, the PCA segment directly arising from the terminal of the basilar artery. If absent, the PCA has arisen completely from the internal carotid artery (ICA) and is termed complete fetal PCA, or cfPCA. A partial fetal PCA, or pfPCA, is what is found when a hypoplastic segment persists. Here, we report a partial infarction of the oculomotor nucleus with ipsilateral fetal PCA in a 59-year-old female.","DictElement({'Year': '2021', 'Month': '12', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.20282,PMC8747981,circle of willis variants; neuro radiology; oculomotor apraxia; pca infarction; posterior circulation stroke,Case Reports,United States,eng
21631186,Balint's syndrome and post-acute brain injury rehabilitation: a case report.,"Zgaljardic, Dennis J; Yancy, Sybil; Levinson, Jason; Morales, Gabrielle; Masel, Brent E",Zgaljardic,"Balint's syndrome includes the clinical symptom triad of simultagnosia, ocular apraxia and optic ataxia. These symptoms, in combination, are rare and can be quite debilitating as they impact visuospatial skills, visual scanning and attentional mechanisms. The literature addressing rehabilitation of individuals with Balint's syndrome is sparse. The current case report describes the outcome of a 58-year old male who presented with Balint's syndrome secondary to severe traumatic brain injury and following completion of a comprehensive post-acute brain injury rehabilitation programme. The patient was 4-months post-injury onset upon admission and received 6 months of rehabilitation services as an inpatient. The patient's comprehensive rehabilitation programme involved a 3-pronged approach including the implementation of (a) compensatory strategies, (b) remediation exercises and (c) transfer of learned skills in multiple environments and situations with implementation of psychoeducation and psychotherapy. Comprehensive neuropsychological and occupational therapy evaluations were performed at admission and at discharge in order to monitor cognitive, affective, neurological and functional change over time. Neuropsychological test improvements were noted on tasks that assess visuospatial functioning, although most gains were noted for functional and physical abilities.","DictElement({'Year': '2011', 'Month': '06', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2011,Brain injury,10.3109/02699052.2011.585506,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",England,eng
33823819,An autopsy-proven case of Corticobasal degeneration heralded by Pontine infarction.,"Yoo, Dallah; Park, Sung-Hye; Yu, Sungwook; Ahn, Tae-Beom",Yoo,"Neurodegenerative disorders are characterized by insidious progression with poorly-delineated long latent period. Antecedent clinical insult could rarely unmask latent neurodegenerative disorders. Here, we report an autopsy-proven case of corticobasal degeneration which was preceded by a lacunar infarction. A 58-year-old man presented with acute ataxia associated with a lacunar infarction in the right paramedian pons. His ataxia persisted with additional progressive gait difficulty and left arm clumsiness. Six months later, a follow-up neurological examination showed asymmetrical bradykinesia, apraxia, dystonic posturing, postural instability, and mild ataxia of the left limbs. Cognitive examination revealed frontal executive dysfunction and visuospatial difficulties. Dopamine transporter imaging scan demonstrated bilateral reduced uptakes in mid-to-posterior putamen, more prominent on the right side. Levodopa-unresponsive parkinsonism, asymmetric limb dystonia, and ideomotor apraxia became more conspicuous, while limb ataxia gradually vanished. The patient became unable to walk without assistance after 1 year, and died 4 years after the symptom onset. Autopsy findings showed frontoparietal cortical atrophy, ballooned neurons, and phosphorylated tau-positive astrocytic plaques and neuropil threads with gliosis and neuronal loss, confirming the corticobasal degeneration. The case illustrates that precedent clinical events such as stroke might tip a patient with subclinical CBS into overt clinical manifestations.","DictElement({'Year': '2021', 'Month': '04', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2021,BMC neurology,10.1186/s12883-021-02178-9,PMC8022434,Autopsy; Case report; Corticobasal degeneration; Stroke,Case Reports; Journal Article,England,eng
35361210,Imaging findings and outcomes after traumatic cerebellar injury: a canine case report.,"Yamashita, Masamichi; Murahata, Yusuke; Yokoe, Inoru; Okamoto, Yoshiharu; Imagawa, Tomohiro",Yamashita,"Traumatic brain injury (TBI) is a structural injury or physiological disruption of the brain induced by an external force. The cerebellum facilitates movement coordination and provides a sense of equilibrium; damage to this structure can cause a wide variety of symptoms, including ataxia or dystaxia, ocular motor dysfunction, and disequilibrium. TBIs localised to the cerebellum are rare in dogs, and the prognosis following this type of injury remains unclear. A 10-year-old female Chihuahua/Dachshund-cross dog weighing 2.8 kg presented after a fall of approximately 1 m the preceding night. The dog exhibited paresis of all limbs and was recumbent with constant extensor rigidity with opisthotonos. The bilateral thoracic limb and right pelvic limb spinal reflexes were exaggerated, while the left pelvic limb spinal reflexes were normal. The menace response was decreased, and vertical nystagmus was observed. Magnetic resonance imaging (MRI) revealed a hyperintense lesion on T2weighted (W) images, fluid-attenuated inversion recovery, and diffusion-weighted imaging (DWI). Mannitol and prednisolone were administered, and the dog recovered. The bilateral pelvic limb postural reactions improved by Day 16. On Day 22, MRI revealed a decrease in the hyperintense area of the T2W images, and this lesion appeared isointense on DWI. In this case report, a dog with localised injury to the cerebellum that comprised a post-tentorial lesion recovered with a favourable outcome. Moreover, similar to reports in humans, DWI can help diagnose and evaluate TBI in dogs.","DictElement({'Year': '2022', 'Month': '03', 'Day': '31'}, attributes={'DateType': 'Electronic'})",2022,BMC veterinary research,10.1186/s12917-022-03220-9,PMC8969374,Canine; Cerebellum; DWI; MRI; Traumatic brain injury,Case Reports; Journal Article,England,eng
