pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34694463,Isolated post-traumatic astereognosis: a case-based review.,"Khormi, Yahya H; Atteya, Mostafa M E",Khormi,"Astereognosis is the tactile inability to recognize objects placed in the palms by touch with the eyes closed or blind-folded in the presence of intact primary sensory modalities. Stereognosis is usually considered a function of the contralateral sensory cerebral cortex. However, lesions of several anatomic areas and pathologic entities have been reported to be associated with astereognosis. Only two previous reports linked traumatic injury to isolated astereognosis: following surgical evacuation of traumatic parietal extradural hematoma and following bullet injury in the neck in 1992 and 1919, respectively. All the pertinent literature was analyzed, focusing on the relevant definitions, clinical spectra, pathoanatomical processes, assessment, management, and outcomes of astereognosis. Also, an illustrative case was presented. The case highlights isolated post-traumatic left hand astereognosis in a 17-year-old boy following a blunt trauma to the head which resulted in a non-hemorrhagic contusion of the right post-central gyrus. Post-traumatic isolated astereognosis is a rare and probably underreported sequel of traumatic brain injury. Neurosurgeons need to be more sensitive to the assessment and detection of subtle stereognostic deficits in general and in trauma patients in particular. Other anatomical areas, in addition to the contralateral post-central gyrus, may be considered in the pathogenesis of astereognosis with the involvement of the dorsal column medial lemniscus tract such as the brainstem, foramen magnum, and the cervical spinal cord. To the best of our knowledge, this rare case report is considered the second report on astereognosis following head trauma, and the third report on astereognosis following trauma in general.","DictElement({'Year': '2021', 'Month': '10', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2021,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,10.1007/s00381-021-05392-5,,Astereognosis; Morphognosia; Post-central gyrus; Stereoanesthesia; Tactile agnosia; Traumatic brain injury,Case Reports; Journal Article; Review,Germany,eng
9202769,The Kluver-Bucy syndrome.,"Gościński, I; Kwiatkowski, S; Polak, J; Orłowiejska, M",Gościński,"Evolution of psychological disorders following head injury including memory and other cognitive disorders are common. The best known are psychiatric disturbances of various kinds after lesions of the frontal lobes. Cognitive, behavioural and emotional disorders are not usually seen in patients with bilateral temporal lesions. In our Department of Neurotraumatology we have observed 4 patients with posttraumatic lesions localized bitemporally. They developed Kluver-Bucy syndrome-rarity in human pathology-combined with three or more of the following symptoms and signs: increased oral activity, hypersexuality, hypermetamorphosis, memory disorders, placidity, loss of people recognition, bulimia. Several symptoms responded dramatically to carbamazepine. We conclude that it may be a useful agent in the treatment of this unusual syndrome.",{},,Acta neurochirurgica,10.1007/BF01808825,,,Case Reports; Journal Article,Austria,eng
6684248,The human Klüver-Bucy syndrome.,"Lilly, R; Cummings, J L; Benson, D F; Frankel, M",Lilly,"Twelve patients with the Klüver-Bucy syndrome (KBS) are described. The syndrome occurred in head trauma, Alzheimer's disease, Pick's disease, and following herpes encephalitis. KBS was transient after head trauma but was a persistent feature of the postencephalitic syndrome. In all cases KBS was combined with aphasia, amnesia, or dementia. Human KBS resembles the monkey syndrome, but in humans there is a more elaborate complex of behavioral disturbances. The behavioral manifestations are produced by bilateral temporal lobe dysfunction. Partial expression of the syndrome may have localizing validity.",{},,Neurology,10.1212/wnl.33.9.1141,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",United States,eng
35817482,Unusual complication of Herpes simplex encephalitis: complete Klüver-Bucy syndrome.,"Hernandez-Vega, Melissa; Badial-Ochoa, Sandra; Rivas-Ruvalcaba, Francisco Javier; Rodriguez-Leyva, Ildefonso",Hernandez-Vega,"Klüver-Bucy syndrome is a rare neurobehavioral disorder caused by a bilateral temporal lobe lesion affecting the hippocampus and amygdala; clinically characterised by hyperorality, hypermetamorphosis, placidity, altered sexual behaviour, eating, disorders and visual impairment, agnosia and amnesia. However, the complete syndrome is rarely seen, and diagnosis does not require all the symptoms to be manifested simultaneously.We describe a patient who developed a complete Klüver-Bucy syndrome secondary to bilateral temporal involvement due to herpetic encephalitis.","DictElement({'Year': '2022', 'Month': '07', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2022,BMJ case reports,10.1136/bcr-2022-250745,PMC9274514,Epilepsy and seizures; Headache (including migraines); Infection (neurology); Memory Disorders; Neuroimaging,Case Reports; Journal Article,England,eng
27530874,Partial Kluver-Bucy syndrome secondary to tubercular meningitis.,"Jha, Kunal Kishor; Singh, Satyajeet Kumar; Kumar, Prem; Arora, Charu Dutt",Jha,"Tubercular meningitis (TBM) is a devastating extra pulmonary manifestation of tuberculosis and demonstrates a high neurological morbidity. A rare complication of this condition is Kluver-Bucy syndrome (KBS), which is a neurobehavioral disorder characterised by hyper-sexuality, visual agnosia, bulimia, placidity, hyperorality and memory deficits caused by lesions to the amygdala. The amygdala lesions can be due to many causes, including traumatic brain injury, systemic conditions and infections such as tuberculosis. Here, we present a case of partial KBS in a patient undergoing treatment for TBM.","DictElement({'Year': '2016', 'Month': '08', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2016,BMJ case reports,10.1136/bcr-2016-215926,PMC5015175,,Case Reports; Journal Article,England,eng
9760966,Traumatic transient Klüver-Bucy syndrome.,"Hardy, T L; Aldridge, J",Hardy,A case of transient Klüver-Bucy syndrome after a gunshot wound through the head is presented. We have found no other case of posttraumatic Klüver-Bucy syndrome described in the literature. The original criteria for the syndrome are reviewed and compared with findings in previously reported human cases.,{},,Surgical neurology,10.1016/0090-3019(81)90162-2,,,Case Reports; Journal Article,United States,eng
34099251,Neuropsychiatry of Susac syndrome: A case report.,"Ruiz-García, Ramiro Gilberto; Chacón-González, Jacobo; Bayliss, Leo; Ramírez-Bermúdez, Jesús",Ruiz-García,"Susac syndrome is a rare clinical condition, possibly mediated by an autoimmune process; the classic triad is composed of retinopathy, decreased hearing acuity and neuropsychiatric symptoms (encephalopathy). There are few cases reported with neuropsychiatric symptoms as the main manifestation. We present a case of Susac syndrome in a 34-year-old female with a predominance of neuropsychiatric symptoms, characterised by partial Klüver-Bucy syndrome, apathy syndrome, pathological laughter and crying, and cognitive dysfunction predominantly affecting attention, which showed a qualitative improvement with the use of immunological therapy. This case report highlights the importance of neuropsychiatric manifestations as clinical presentation in patients with neurological conditions.","DictElement({'Year': '2021', 'Month': '05', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2021,Revista Colombiana de psiquiatria (English ed.),10.1016/j.rcpeng.2019.10.005,,Apathy; Apatía; Klüver-Bucy; Neuropsychiatric symptoms; Pathological laughter and crying; Risa y llanto patológico; Susac syndrome; Síndrome de Susac; Síntomas neuropsiquiátricos,Case Reports,Spain,eng; spa
9444580,The Kluver-Bucy syndrome.,"Góscínski, I; Kwiatkowski, S; Polak, J; Orlowiejska, M; Partyk, A",Góscínski,"Evolution of psychological disorders following head injury including memory disorders and other cognitive ones are common. The best known are psychiatric disturbances of various kind after lesions of frontal lobes. Cognitive, behavioural and emotional disorders are not usually seen in patients with bilateral temporal lesions. In our Department of Neurotraumatology we observed 4 patients with post-traumatic lesions localized bitemporally. They developed Kluver-Bucy syndrome--rarity in human pathology--with combination of three or more the following syndromes: increased oral activity, hypersexuality, hypermetamorphosis, memory disorders, placidity, loss of people recognition, bulimia. Several symptoms responded dramatically to carbamazepine. We conclude that it may be a useful agent in treatment of this unusual syndrome.",{},,Journal of neurosurgical sciences,,,,Case Reports; Journal Article,Italy,eng
37485201,Anti-Ma2 Encephalitis: An Atypical Case Associated With Klüver-Bucy Syndrome and Hypothalamic Dysfunction.,"Wernz, Cort; Pupa, Lauren; Ossimetha, Ashley; Ansari, Sahifah; Moron, Fanny",Wernz,Anti-Ma2 encephalitis is a rare form of autoimmune encephalitis that has classically been described as a paraneoplastic neurobehavioral disorder due to its association with underlying malignancies. We discuss the case of a 30-year-old female with an exceptionally aggressive presentation of anti-Ma2 encephalitis accompanied by Klüver-Bucy syndrome and hypothalamic dysfunction. Her course was complicated by repeated aspiration events secondary to severe hyperphagia and delays in immunosuppressive treatment due to concerns of infection. The patient's encephalitis was refractory to multiple immunosuppressive therapies and she ultimately expired before a primary malignancy could be detected and treated.,"DictElement({'Year': '2023', 'Month': '06', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.40816,PMC10362970,anti-ma2 antibody; autoimmune encephalitis; autonomic dysfunction; kluver-bucy syndrome; paraneoplastic syndromes,Case Reports,United States,eng
36561597,Transient Kluver-Bucy Syndrome as a Manifestation of Post-temporal Lobe Seizure: A Rare Case Entity.,"Latchminarine, Nicole; Wahashi, Emad A; Amalraj, Benedict; Abubakr, Ahmed",Latchminarine,"Following epileptic seizures, patients can subsequently experience a post-ictal state characterized by disorienting symptoms, such as confusion, drowsiness, hypertension, headache, and nausea, rather than neurobehavioral sequelae. We report the case of a 64-year-old male with unilateral left temporal lobe injury, who presented with post-ictal transient Kluver-Bucy Syndrome symptomatology following a complex partial seizure. Brain magnetic resonance imaging revealed encephalomalacia of the left temporo-parieto-occipital region from a previous infarct, and his symptoms resolved following the administration of antiepileptic medications. Therefore, transient Kluver-Bucy Syndrome can follow unilateral temporal lobe injury and should be suspected in patients who fit the clinical criteria, even in the absence of classic bilateral temporal lobe damage on imaging.","DictElement({'Year': '2022', 'Month': '11', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.31696,PMC9767279,amygdala; brain injury and seizure; kluver-bucy syndrome; neuropsychiatric manifestations; post-ictal; temporal lobe seizure; transient kbs,Case Reports,United States,eng
