pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34154371,Capecitabine-induced hyperammonemic encephalopathy.,"Cerrella Cano, Carolina; Junquera Alonso, Eduardo; Terroba Alonso, Marina; Cano Calderero, Francisco Xavier; Seoane Blanco, Lucía; Armesto González, Edisa M",Cerrella Cano,"We report the case of a 79-year-old male who had undergone surgery for a mucus-secreting, stage-III pancreatic adenocarcinoma 2 years previously, who was recently started on capecitabine monotherapy for radiographic local progression. He developed disorientation, asterixis, nausea and elevated serum ammonia (221 μmol/L) 48-72 hours after treatment onset with preserved liver function. After ruling out potential causes of encephalopathy and tumor progression by abdominal and brain CT scans, his symptoms were related by exclusion to the recently initiated treatment with capecitabine. Capecitabine discontinuation, onset of standard anti-encephalopathy measures, and intravenous hydration led to a rapid, complete resolution of symptoms with serum ammonia normalization.",{},,Revista espanola de enfermedades digestivas,10.17235/reed.2021.8129/2021,,,Case Reports; Journal Article,Spain,eng
9633748,Cefuroxime-induced encephalopathy.,"Herishanu, Y O; Zlotnik, M; Mostoslavsky, M; Podgaietski, M; Frisher, S; Wirguin, I",Herishanu,"We describe four patients who developed an encephalopathic syndrome characterized by obtundation or stupor, myoclonic jerks, and asterixis in association with cefuroxime therapy. Three patients had renal failure. These cases suggest that cefuroxime in overdose or in conventional doses in patients with renal failure can cause a reversible encephalopathy. This syndrome may have been unrecognized because it usually occurs in severely ill patients with additional causes for encephalopathy.",{},,Neurology,10.1212/wnl.50.6.1873,,,Case Reports; Journal Article,United States,eng
35718981,Hepatic Encephalopathy by Manganese Deposition: A Case Report and a Review of Literature.,"Abenavoli, Ludovico; Fabiano, Giulia; Procopio, Anna Caterina; Aquila, Isabella; Pellicano, Rinaldo; Barone, Stefania; Morelli, Maurizio; Luzza, Francesco",Abenavoli,"Hepatic encephalopathy is defined as a spectrum of neuropsychiatric disorders in patients with liver dysfunction, usually cirrhosis, after exclusion of brain disease. This study reports the role of manganese in brain alterations and therefore in clinical manifestations of hepatic encephalopathy. Male patient, 67 years old, suffering from alcoholic liver cirrhosis and two previous episodes of hepatic encephalopathy, developed drowsiness, asterixis, amnesia, disorientation in time and space, and psychomotor retardation. Brain MRI without contrast showed: initial signs of cerebral atrophy, a hyperintense signal of globi pallidi and bilateral substantia nigra. The hyperintense signal of globi pallidi is the result of manganese deposition in the brain. The case report presented supports the data reported in the literature indicating that the increase in plasma manganese levels in subjects with liver dysfunction is correlated with the onset of extrapyramidal symptoms.","DictElement({'Year': '2022', 'Month': '06', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2022,Reviews on recent clinical trials,10.2174/1574887117666220617104539,,Hepatic encephalopathy; Manganese; brain; cirrhosis; extrapyramidal symptoms; globi pallidi; liver dysfunction,Case Reports,United Arab Emirates,eng
33480615,Gabapentin-Induced Myokymia: A Case Report.,"Brown, Alexander; Esechie, Aimalohi; Gogia, Bhanu; Shanina, Elena",Brown,"Gabapentin is a commonly used medication for neuropathic pain and epilepsy that is prescribed by a wide range of medical specialties. Adverse effects including asterixis and myoclonus have been described in patients with chronic kidney disease, but myokymia has not been previously reported. A 69-year-old man with a history of traumatic brain injury, peripheral neuropathy, amnesia, and posttraumatic stress disorder presented to the hospital after multiple falls attributed to acute onset muscle spasms. He reported taking a total daily dose of 9600 mg of gabapentin, as prescribed. Physical examination demonstrated stimulus-sensitive myoclonus, painful muscle spasms in all extremities, and myokymia in his bilateral calves. Diffuse action tremors, as well as tongue tremors, were also observed.Initial workup, including basic laboratory investigations, brain imaging, and electroencephalogram, was unrevealing. Gabapentin toxicity was suspected, and a gabapentin holiday was initiated with the improvement of myokymia by hospital day 3. The patient was found to have a high gabapentin level (25.8 μg/mL; reference range, 2.0-20.0 μg/mL) measured the morning after hospital presentation. After restarting on a lower dose of gabapentin with multimodal pain control, the patient continued to improve with diminution of his myoclonus, tremor, and gait instability. Myokymia is a newly described motor symptom associated with gabapentin toxicity. The mechanism of gabapentin-associated myokymia is currently unknown. A brief medication holiday resulted in the resolution of motor symptoms without significant withdrawal symptoms. Knowledge of this newly reported adverse manifestation can aid physicians in the diagnosis of gabapentin toxicity and prompt treatment, as gabapentin levels are not widely or immediately available.",{},,Clinical neuropharmacology,10.1097/WNF.0000000000000434,,,Case Reports; Journal Article,United States,eng
554526,Midbrain asterixis.,"Bril, V; Sharpe, J A; Ashby, P",Bril,Asterixis is usually a manifestation of metabolic encephalopathy. It was the only skeletal motor sign in a patient with ophthalmoplegia caused by midbrain infarction; no metabolic abnormality was present. The asterixis was accompanied by signs of damage to the mesencephalic reticular formation. We propose that episodic lapses of postural control by the reticular formation are responsible for midbrain asterixis and suggest that this asterixis is a segmental form of drop attack.,{},,Annals of neurology,10.1002/ana.410060411,,,Case Reports; Journal Article,United States,eng
37413873,Long-standing myoclonic hand tremor as an isolated symptom of hypertrophic olivary degeneration.,"Budrewicz, Sławomir; Koszewicz, Magdalena; Konieczna, Paulina; Zimny, Anna",Budrewicz,"Hypertrophic olivary degeneration (HOD) is a rare condition caused by lesions of the dentato-rubro-olivary pathway, usually bilateral. We presented a case of a 64-year old male with HOD caused by a unilateral, posterior pontine cavernoma. The patient has not developed the typical palate myoclonus until recently. Isolated hand myoclonus with coexisting asterixis was present for years. This case shows unique HOD symptomatology and emphasizes the important role of MRI in the differential diagnosis of monomelic myoclonus.","DictElement({'Year': '2023', 'Month': '07', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2023,Clinical neurology and neurosurgery,10.1016/j.clineuro.2023.107871,,Brainstem cavernoma; Holmes tremor; Hypertrophic olivary degeneration; Myoclonic tremor; Tractography,Case Reports,Netherlands,eng
34974486,New-onset Oscillopsia in a Patient With a History of Pontine Stroke.,"Kabanovski, Anna; Donaldson, Laura; Margolin, Edward",Kabanovski,"A 69-year-old man with a history of pontine hemorrhage 2 years ago noticed binocular vertical diplopia after the stroke. On examination, there was a small-angle incomitant left hyperdeviation that did not fit the 3-step test for fourth nerve palsy and incyclotorsion of the higher eye. On motility testing, there was an obvious pendular nystagmus. Resting tremor of the right hand was noticed on neurological examination. Examination of the oropharynx revealed rhythmic oscillations of the soft palate synchronous with the eye oscillations and hand tremor. These findings established a diagnosis of oculopalatal myoclonus (OPM). Although OPM is a well-described entity, this case is unique because the patient was completely asymptomatic from OPM and did not complain of oscillopsia but was very bothered by vertical diplopia because of skew deviation. It also demonstrates that OPM may coexist with skew deviation because anatomically vestibulo-ocular pathway is close to the triangle of Guillain-Mollaret and patients with lesions in one pathway should be examined for abnormalities in the other. Finally, it reminds us about the importance of monitoring patients with a history of brainstem insults for emergence of synchronous tremors years later and that simple maneuver-like ex/amining oropharynx may provide a clear diagnosis.","DictElement({'Year': '2021', 'Month': '12', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2021,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,10.1097/WNO.0000000000001461,,,Case Reports; Journal Article,United States,eng
34088542,Bilateral asterixis in a patient with bilateral anterior cerebral artery infarction.,"Murakami, Takenobu; Kishi, Masafumi; Ugawa, Yoshikazu; Hanajima, Ritsuko",Murakami,"A 83-year-old woman complained of muscular weakness in the left leg and trembling in all extremities. She was apathetic and had left leg paresis and asterixis in all extremities. Magnetic resonance imaging revealed acute cerebral infarctions in the bilateral frontal lobes perfused by the anterior cerebral artery (ACA). Anticoagulant treatments improved ischemia-induced damage of the frontal lobes, and then her neurological symptoms including asterixis gradually disappeared. A unique point of this case is that acute stroke in the bilateral ACA territory induced bilateral asterixis resembling metabolic encephalopathy. Occurrence of the bilateral ACA territory infarction is extremely rare, but it should be considered in patients presenting with bilateral asterixis.","DictElement({'Year': '2021', 'Month': '05', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2021,Clinical neurology and neurosurgery,10.1016/j.clineuro.2021.106716,,Anterior cerebral artery; Asterixis; Cerebral infarction,Case Reports; Journal Article,Netherlands,eng
31348084,Unilateral Absence of the Basal Ganglia on 123I-Ioflupane DaTScan.,"Baghdadi, Yaser; Anh, Se Jin; Brook, Allan; Moadel, Renee; Freeman, Leonard M",Baghdadi,"This 33-year-old man presented with hemorrhagic stroke manifesting with left hemiparesis and right ptosis. Angiography revealed no patent carotids. The anterior and middle cerebral arteries were filling collaterally through the posterior vertebrobasilar pathway. The presumptive diagnosis was moyamoya disease. The etiology of the bleeding was right basilar tip aneurysm that subsequently had partial coil placement. Months later, the neck of the aneurysm perforated and second coiling was performed. Later on follow-up, patient developed left hand tremor. A radionuclide DATscan revealed total absence of right-sided basal ganglia activity. A possible etiology was occlusion of the middle cerebral artery's lenticulostriate branches.",{},,Clinical nuclear medicine,10.1097/RLU.0000000000002743,,,Case Reports; Journal Article,United States,eng
26803758,Asterixis in the leg induced by anterior cerebral artery infarction.,"Sunwoo, Mun Kyung; Jang, Hyun-Soon; Roh, Sook Young; Yoo, Hyun Jung; Jeong, Eun Hye; Kim, Byung-Su; Choe, Yeo Reum; Lee, Ko-Eun",Sunwoo,"Asterixis commonly occurs in a patient with metabolic encephalopathy, whereas focal brain lesions such as thalamus, cerebellum, or frontal area also cause focal or unilateral asterixis in the arms. We report a novel case of asterixis in the leg after unilateral anterior cerebral artery territory infarction. A 76-year-old man was admitted with sudden-onset mild right leg weakness and postural instability due to knee buckling. He was diagnosed with ischemic stroke in the left prefrontal area and cingulated gyrus by brain magnetic imaging. Needle electromyography of the right vastus lateralis muscle while standing showed intermittent periods of EMG silence, consistent with asterixis. There were no abnormal involuntary movements in the upper extremities. This case suggests that gait disturbance or postural instability after structural lesions in the prefrontal area may be directly related to asterixis in the leg, not in the arm associated with postural failure.","DictElement({'Year': '2016', 'Month': '01', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2016,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-016-2486-0,,Anterior cerebral artery territory infarction; Asterixis; Movement disorder; Prefrontal,Case Reports; Journal Article,Italy,eng
24332366,A neurologist's approach to delirium: diagnosis and management of toxic metabolic encephalopathies.,"Krishnan, Vaishnav; Leung, Lester Y; Caplan, Louis R",Krishnan,"Toxic metabolic encephalopathies (TMEs) present as an acute derangement in consciousness, cognition and behavior, and can be brought about by various triggers, including endocrine and metabolic disturbances, exogenous toxins, pain and infection. Also referred to as ""delirium"" or ""acute confusional states,"" TMEs are characterized by (1) an altered level of consciousness and activity, (2) global changes in cognition with inattention, (3) a fluctuating course with disturbances in the sleep-wake cycle, and (4) asterixis and myoclonus. The pathophysiology of this syndrome is poorly understood. Imbalanced neurotransmitter signaling and pathologically heightened brain inflammatory cytokine signaling have been proposed as candidate mechanisms. Focal brain lesions can also occasionally mimic TMEs. A neurological examination is required to identify the presence of focal findings, which when present, identify a new focal lesion or the recrudescence of prior ischemic, inflammatory or neoplastic insults. Diagnostic testing must include a search for metabolic and infectious derangements. Offending medications should be withdrawn. Magnetic resonance imaging, cerebrospinal fluid analysis and electroencephalography should be considered in select clinical situations. In addition to being an unpleasant experience for the patient and family, this condition is associated with extended hospital stays, increased mortality and high costs. In individuals with diminished cognitive reserve, episodes of TME lead to an accelerated decline in cognitive functioning. Starting with an illustrative case, this paper provides a neurologist's approach to the diagnosis, differential diagnosis and management of toxic metabolic encephalopathies.","DictElement({'Year': '2013', 'Month': '12', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2013,European journal of internal medicine,10.1016/j.ejim.2013.11.010,,Confusion; Confusional state; Delirium; Encephalopathy; Metabolic encephalopathy,Case Reports; Journal Article; Review,Netherlands,eng
28961956,Tremor Secondary to a Thalamic Glioma: A Case Report.,"Wang, Tony R; Fadul, Camilo E; Elias, W Jeff",Wang,"Tremor is the most prevalent movement disorder. While the exact pathophysiology remains to be elucidated, the importance of the thalamus in tremor circuitry is well recognized. Thalamic lesions from demyelination, trauma, ischemia, or neoplasm rarely cause isolated tremor. We report the case of a patient presenting with a tremor secondary to a thalamic grade II astrocytoma that improved with treatment. A 50-yr-old male presented with a 1-yr history of right-hand tremor. The presence of long tract signs prompted imaging that revealed a lesion within the left thalamus. Stereotactic biopsy revealed a World Health Organization grade II astrocytoma. Prior to biopsy, the patient's tremor was graded using the Clinical Rating Scale for Tremor. Immediately postoperatively the patient remained at his neurological baseline without improvement in his tremor. Subsequent fractionated radiotherapy with concomitant temozolomide followed by adjuvant temozolomide led to radiographic response as well as clinical improvement. The patient reported less tremor, which was confirmed objectively with improved Clinical Rating Scale for Tremor scores at 6 and 12 mo postoperatively. This case of a thalamic glioma presenting with isolated contralateral tremor highlights the role of the thalamus in the development of tremor. Moreover, this particular case contrasts with other published reports on the lack of additional symptoms and tremor response to chemoradiation.",{},,"Operative neurosurgery (Hagerstown, Md.)",10.1093/ons/opx181,,,Case Reports; Journal Article,United States,eng
29593921,Unilateral Asterixis in Arm and Leg Caused by Internal Capsula Stroke.,"Feil, Katharina; Huber, Marion; Goldschagg, Nicolina; Kellert, Lars",Feil,"We report an unusual clinical manifestation of ischemic stroke with acute right-sided asterixis affecting the arm as well as the leg due to a lesion in the left posterior limb of the internal capsula. After treatment with intravenous thrombolysis the patient made a good recovery. Notably, in this case unilateral asterixis affected the arm as well as the leg, resulting in postural and gait instability. In addition, damage in the basal ganglia-thalamo-cortical network, as in our patient, has to be distinguished from other supratentorial causes of acute asterixis like thalamic or frontal lobe lesions linked to the cerebello-brainstem-thalamo-frontal lobe circuits.","DictElement({'Year': '2018', 'Month': '01', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2018,Case reports in neurological medicine,10.1155/2018/3946380,PMC5822760,,Case Reports,United States,eng
