pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
31648659,A Pacchionian Puzzle.,"Nazir Khan, M; Shaw, Brett H; Wallace, Carla J; Metz, Luanne",Nazir Khan,"A 73-year-old male with a history of chronic ataxia presented with transient facial droop to the Emergency Department. A CT angiogram and MRI with diffusion weighted imaging (DWI) were negative for stroke. However, incidental note was made of numerous giant arachnoid granulation pits in the posterior fossa predominantly involving the left occipital bone (Figure 1). These arachnoid pits demonstrated multiple foci of herniation of the adjacent cerebellar parenchyma into the pits with gliosis of the herniated parenchyma and focal encephalomalacia of the subjacent cerebellar parenchyma. Review of bone windows on a remote CT brain performed almost 13 years earlier confirmed this to be a longstanding abnormality (Figure 2). The patient's physical exam was suggestive of cerebellar ataxia with left-sided dysmetria on finger to nose testing and a wide-based unsteady gait.",{},,The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,10.1017/cjn.2019.318,,Ataxia; Neurology - Adult,Case Reports; Journal Article,England,eng
28093369,Rehabilitation of the Pontine Ataxia-Dysmetria Syndrome.,"Li, Stephanie; Hartman, Kasondra; Surapaneni, Krishna; Altschuler, Eric L",Li,"We present a case of a patient with significant ataxia and dysmetria following a lacunar pontine infarction and review the literature on this uncommon syndrome. The patient had an excellent clinical course with near resolution of symptoms and signs in less than 3 weeks. We illustrate the patient's ataxia and dysmetria with videos and also use the videos to demonstrate and characterize the features of the dysmetria. Interestingly, the characteristics of the dysmetria appear to be different from those seen in patients with dysmetria arising from a cerebellar or thalamic lesion. We discuss the likely neurophysiologic mechanisms responsible for the condition and recovery. Simple noninvasive study of patients with ataxia and dysmetria secondary to a pontine lacunar infarct may be most helpful in elucidating the contribution of pontocerebellar fibers to motor control. V.","DictElement({'Year': '2017', 'Month': '01', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2017,"PM & R : the journal of injury, function, and rehabilitation",10.1016/j.pmrj.2017.01.001,,,Case Reports; Journal Article; Review,United States,eng
38098127,Emotional dysmetria after cerebellar-pontine stroke: a case report.,"Long, Rebecca M; DuVal, Michèle; Mulvany-Robbins, Bridget; Wagner, Amanda N; Jickling, Glen C",Long,"Pseudobulbar affect, or emotional dysregulation, commonly occurs following stroke. However, it is frequently missed in cases involving the cerebellum, resulting in a lack of treatment, which can directly impact stroke rehabilitation. A 63-year-old Caucasian female with no history of mood disorders presented with gait instability, dysarthria, and right sided hemiplegia, secondary to cerebellar and pontine ischemic stroke from a basilar occlusion. She underwent endovascular therapy and her deficits gradually improved. However during recovery she began to develop uncontrollable tearfulness while retaining insight that her emotional expression was contextually inappropriate. She was treated with a selective serotonin reuptake inhibitor with reported improvements in her emotional regulation at one year follow up. This case highlights cerebellar injury as a potential cause of poorly regulated emotions, or an emotional dysmetria. The recognition of this disorder in patients with cerebellar or pontine strokes is critical, as untreated pseudobulbar affect can impact future stroke rehabilitation.","DictElement({'Year': '2023', 'Month': '12', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2023,Journal of medical case reports,10.1186/s13256-023-04294-1,PMC10722665,Case report; Cerebellum; Depression; Emotional lability; Ischemic stroke; Pseudobulbar affect,Case Reports; Journal Article,England,eng
35137349,Challenging the diagnosis of a posterior circulation dissecting aneurysm.,"Duloquin, Gauthier; Henon, Hilde; Pasi, Marco; Dequatre, Nelly; Della Schiava, Lucie; Kuchcinski, Gregory; Leclerc, Xavier; Cordonnier, Charlotte; Casolla, Barbara",Duloquin,"I ntracranial vertebral dissections have polymorphs clinical presentations and can lead to haemorrhagic complications if they are intracranial. We here describe a case of a thrombosed dissecting aneurysm of postero-inferior cerebellar artery (PICA) revealed by a Wallenberg syndrome preceded by headaches. A 23-year-old patient, without neurological or vascular past medical history, was admitted for dizziness preceded by headache. The clinical examination on admission revealed an incomplete Wallenberg syndrome, associating hemiface sensitive deficit, Horner's syndrome, dysmetria and nystagmus. The brain MRI showed a latero-medullary infarct with a homolateral PICA thrombosed dissecting aneurysm. The diagnosis of intracranial dissecting aneurysms needs particular caution because aneurysm sac thrombosis can give false reassurance on angiographic MR sequences. Moreover, the anatomic features of intracranial artery walls make them prone to sub-adventitial dissection and subsequent subarachnoid haemorrhages. Therefore, antithrombotic therapy should be used with caution, due to the risk of bleeding in these intracranial dissections.","DictElement({'Year': '2022', 'Month': '02', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2022,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-022-05923-1,,Aneurysm sac thrombosis; Arterial intracranial dissection; Dissection aneurysm; Ischemic stroke,Case Reports; Journal Article,Italy,eng
33972306,Case of cerebellar ataxia successfully treated by virtual reality-guided rehabilitation.,"Takimoto, Kazuhiro; Omon, Kyohei; Murakawa, Yuichiro; Ishikawa, Hideo",Takimoto,"A male patient in his 40s was transferred to our hospital for rehabilitation of ataxia after right cerebellar and brainstem infarction. After 3 weeks of conventional physical therapy, his activities of daily life successfully improved with an increase in the functional impedance measure from 101 to 124. However, he still fell short of gaining a higher level of balance function, which was necessary for his job as a standup forklift driver. We introduced virtual reality-guided balance training. The training was performed for approximately 40 min on weekdays for 2 weeks. As a result, the Scale for the Assessment and Rating of Ataxia score decreased from 5 to 1, Functional Balance Scale score improved from 48 to 56, and Mini-Balance Evaluation Systems Test score increased from 20 to 28. The trunk sway disappeared clinically. He regained confidence and returned to work after an additional 2 weeks of physical therapy.","DictElement({'Year': '2021', 'Month': '05', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2021,BMJ case reports,10.1136/bcr-2021-242287,PMC8112436,brain stem / cerebellum; physiotherapy (rehabilitation); rehabilitation medicine; virtual rehabilitation,Case Reports; Journal Article,England,eng
450221,Cerebellar infarction.,"Feely, M P",Feely,"Cerebellar infarction has been inadequately recognized by clinicians. A review of 75 cases showed that in 55 of them the infarct acted as an expanding mass lesion and compressed the brain stem. Once this occurred, the mortality without operation was very high. With surgical treatment, the mortality was reduced considerably. The computerized tomographic scan is the diagnostic test of choice.",{},,Neurosurgery,10.1227/00006123-197901000-00003,,,Case Reports; Journal Article,United States,eng
35102820,Hashimoto's encephalopathy presenting as Wernekinck commissure syndrome: A case report.,"Tang, Xiaojia; Liu, Xiaojie; Jing, Jian; Jiang, Li; Liu, Peipei; Chen, Yingzhu",Tang,"The Wernekinck commissure syndrome is extremely rare in a clinical setting. This condition has been previously reported in association with midbrain infarction, midbrain hemorrhage, demyelinating pseudotumor, and optic neuromyelitis spectrum disease, but not with Hashimoto's encephalopathy. Herein, we report the case of a 44-year-old hypertensive man who developed cerebellar ataxia, internuclear ophthalmoplegia, and cognitive decline. Magnetic resonance imaging (MRI) of the brain revealed brain stem damage involving Wernekinck commissure. Initially, this patient was diagnosed with acute midbrain infarction in another hospital. However, his symptoms did not improve after the administration of anti-platelet aggregation drugs, statin, and free radicals scavenging treatment. Re-examination of cranial MRI revealed abnormal signals in the left parietal lobe. After a series of investigations that excluded cerebral infarction and neurodegenerative diseases, Hashimoto's encephalopathy was finally diagnosed. The patient's symptoms improved remarkably after treatment with methylprednisolone and γ-globulin. To the best of our knowledge, there are no other reports on the onset of Wernekinck commissure syndrome in the clinical manifestations of Hashimoto's encephalopathy.",{},,Clinical neuropathology,10.5414/NP301399,,,Case Reports; Journal Article,Germany,eng
20399393,New case of 4H syndrome and a review of the literature.,"Orcesi, Simona; Tonduti, Davide; Uggetti, Carla; Larizza, Daniela; Fazzi, Elisa; Balottin, Umberto",Orcesi,"Different pathologic processes (especially demyelination, hypomyelination, and combinations of these) may underlie leukoencephalopathies. Leukoencephalopathies pose a particular diagnostic problem when they occur in children. To seek associated, non-neurologic signs is of fundamental importance in hypomyelinating leukoencephalopathies, because these can help clarify the diagnostic picture. Two new types of leukoencephalopathy have emerged, one classified as ataxia, delayed dentition, and hypomyelination, and the other as hypomyelination with hypogonadotropic hypogonadism and hypodontia. Initially described as distinct entities, they were recently brought together in the Online Mendelian Inheritance in Man database under a single code. However, the literature describes only two patients with the characteristics of both these clinical pictures. We present the extended clinical and neuroradiologic follow-up of a patient with ataxia, delayed dentition, and hypomyelination, as well as hypogonadotropic hypogonadism. This patient reinforces the idea that the two syndromes should actually be considered the same disorder, and prompted us to conduct a critical review of the literature on disorders in which hypomyelinating leukoencephalopathy is associated with cerebellar atrophy or hypogonadism.",{},,Pediatric neurology,10.1016/j.pediatrneurol.2010.01.015,,,Case Reports; Journal Article; Review,United States,eng
36370600,Multiple system atrophy with anti-NAE antibody refractory to immunotherapy: A case report.,"Ozawa, Masakazu; Sakuta, Kenichi; Miyagawa, Shinji; Yaguchi, Hiroshi",Ozawa,"A 51-year-old Japanese man presented with slowly progressing cerebellar ataxia from age 49. Anti-thyroglobulin, anti-thyroid peroxidase, and anti-NAE antibodies were detected. Brain magnetic resonance imaging showed moderate atrophy of the pons, cerebellum, and middle cerebellar peduncle. Dopamine transporter single-photon emission computed tomography showed normal uptake. With the diagnosis of Hashimoto's encephalopathy, repeated steroid pulse therapy and intravenous immunoglobulin therapy were administered; however, they were ineffective for cerebellar ataxia. Afterwards, autonomic failure and parkinsonism became evident. The final diagnosis was MSA of the cerebellar type. Immunotherapies for patients with MSA with anti-NAE antibodies should be carefully considered.","DictElement({'Year': '2022', 'Month': '10', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2022,Clinical neurology and neurosurgery,10.1016/j.clineuro.2022.107504,,Anti-NAE antibody; Cerebellar ataxia; Hashimoto's encephalopathy; Multiple system atrophy,Case Reports,Netherlands,eng
10693814,Knowing no fear.,"Sprengelmeyer, R; Young, A W; Schroeder, U; Grossenbacher, P G; Federlein, J; Büttner, T; Przuntek, H",Sprengelmeyer,"People with brain injuries involving the amygdala are often poor at recognizing facial expressions of fear, but the extent to which this impairment compromises other signals of the emotion of fear has not been clearly established. We investigated N.M., a person with bilateral amygdala damage and a left thalamic lesion, who was impaired at recognizing fear from facial expressions. N.M. showed an equivalent deficit affecting fear recognition from body postures and emotional sounds. His deficit of fear recognition was not linked to evidence of any problem in recognizing anger (a common feature in other reports), but for his everyday experience of emotion N.M. reported reduced anger and fear compared with neurologically normal controls. These findings show a specific deficit compromising the recognition of the emotion of fear from a wide range of social signals, and suggest a possible relationship of this type of impairment with alterations of emotional experience.",{},,Proceedings. Biological sciences,10.1098/rspb.1999.0945,PMC1690477,,Case Reports; Journal Article,England,eng
