pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
36596625,Dystonic posturing with athetoid movements in stroke without thalamic lesion.,"Ferreira, Axel; Carvalho, Vanessa; Coelho, Paulo Simões",Ferreira,"Complex hyperkinetic movement disorders are a rare complication of stroke, frequently involving posterolateral contralateral thalamic lesions. One of the proposed mechanisms for these presentations is proprioceptive impairment, hence not involving deregulation of the basal ganglia-thalamocortical circuits. We report a patient who presented with dystonic posturing and athetoid movements with onset 2 years after right frontoparietotemporal stroke. Brain MRI showed no thalamic lesion. Based on the phenomenology, a diagnosis of pseudochoreoathetosis was proposed. To our knowledge, this is the first case report of poststroke pseudochoreoathetosis without thalamic involvement.","DictElement({'Year': '2023', 'Month': '01', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2023,BMJ case reports,10.1136/bcr-2022-248977,PMC9815033,Movement disorders (other than Parkinsons); Stroke,Case Reports; Journal Article,England,eng
37038583,Acute Onset of Movement Disorders Accompanying Common Emergency Room Neurologic Disease Processes.,"Chapman, Jennifer; Horowitz, Michael; Bond, Ronnie; Fry, Janae; Joesph, Christy; Al-Saghir, Yousef",Chapman,"Emergency departments (EDs) of hospitals accredited for trauma and/or comprehensive stroke care treat a large volume of high-acuity patients. In this fast-paced environment, the primary focus is appropriate triage, rapid stabilization, diagnosis, and acute intervention for life-threatening conditions such as cerebral vascular accident (CVA). However, this approach may result in subtle or atypical neurologic signs and symptoms being overlooked. Often, these oversights are innocuous in terms of their influence on overall patient outcomes. They are, in the vernacular, ""of academic interest only""<i>.</i> These cases provide ED clinicians with a unique opportunity to witness signs and symptoms not classically associated with common neurologic maladies. These unusual manifestations may be fleeting as they often either resolve with intervention or are overshadowed by progressive clinical decline. If such findings are recognized, they can at a minimum provide fascinating insights into neuroanatomic function. At a maximum, early recognition can influence immediate treatments and long-term outcomes. We report three ED patient presentations that shed light on functional neuroanatomical pathways and, in one case, significantly affected a patient's immediate algorithmic care. Two such cases involved acute middle cerebral artery distribution ischemic strokes, which typically present with focal contralateral sensorimotor and potential language deficits. Such events less commonly initially present with involuntary motor movements (dyskinesias). Failure to recognize these less common ictal signs may delay appropriate ED intervention or yield etiologic misdiagnoses. A third case involved a loss of consciousness ictal event secondary to a frontotemporal lobe tumor. This case presented with aphasic stroke-like symptoms along with new acute orofacial dyskinesias. Imaging before and after medical, surgical, and endovascular intervention provided important clinico-anatomic lessons. Furthermore, proposed neurophysiologic mechanisms and review of pertinent literature are provided.","DictElement({'Year': '2023', 'Month': '03', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.35924,PMC10082449,aphasia; athetosis; chorea; dyskinesia; hemiballismus; neoplasm; stroke; thrombectomy,Case Reports,United States,eng
25455430,Hypertrophic olivary degeneration and cerebrovascular disease: movement in a triangle.,"Santos, Ana Filipa; Rocha, Sofia; Varanda, Sara; Pinho, João; Rodrigues, Margarida; Ramalho Fontes, João; Soares-Fernandes, João; Ferreira, Carla",Santos,"Hypertrophic olivary degeneration is a rare kind of trans-synaptic degeneration that occurs after lesions of the dentatorubro-olivary pathway. The lesions, commonly unilateral, may result from hemorrhage due to vascular malformation, trauma, surgical intervention or hypertension, tumor, or ischemia. Bilateral cases are extremely rare. This condition is classically associated with development of palatal tremor, but clinical manifestations can include other involuntary movements. We describe 2 cases: unilateral hypertrophic olivary degeneration in a 60-year-old man with contralateral athetosis and neurologic worsening developing several years after a pontine hemorrhage and bilateral hypertrophic olivary degeneration in a 77-year-old woman with development of palatal tremor, probably secondary to pontine ischemic lesions (small vessel disease).","DictElement({'Year': '2014', 'Month': '11', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2014,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2014.09.036,,Hypertrophic olivary degeneration; athetosis; palatal tremor; stroke,Case Reports; Journal Article,United States,eng
31890704,Neuroradiological Evolution of Glycaemic Hemichorea-Hemiballism and the Possible Role of Brain Hypoperfusion.,"Marinelli, Lucio; Maggi, Davide; Trompetto, Carlo; Renzetti, Paolo",Marinelli,"Lateralized involuntary movements consistent with hemichorea-hemiballism (HCHB) may appear following the development of contralateral haemorrhagic or ischaemic lesions of the basal ganglia, particularly the striatum (caudate nucleus and putamen). This condition is called vascular HCHB, but the same symptoms can be caused by a completely different striatal lesion. Glycaemic HCHB may occur in patients with uncontrolled hyperglycaemia: basal ganglia hyperdensity is seen on brain CT, while increased T1 signal intensity and reduced susceptibility-weighted imaging (SWI) and gradient-echo sequences (T2*-GRE) are detected on MRI. An 83-year-old man with multiple vascular risk factors and uncontrolled chronic hyperglycaemia was admitted for ischaemic stroke presenting with dysarthria and mild left hemiparesis. No involuntary movements were reported at admission. The emergent brain CT scan was negative for vascular acute lesions, while a mild bilateral hyperdensity of the striata was detectable. Involuntary movements on the left side of the body, consistent with HCHB, appeared 27 days later. The alterations on brain CT completely disappeared after 3 months. On brain MRI, the T1 signal alterations resolved after 10 months, while SWI and T2*-GRE sequences showed persisting alterations after 2 years. Detailed brain imaging demonstrated evolution of striatal alterations of glycaemic HCHB before the appearance of involuntary movements and during the following 2 years. The association between ischaemic stroke and glycaemic HCHB favours the hypothesis that chronic hyperglycaemia more likely determines striatal alterations and the clinical picture of HCHB when vascular hypoperfusion also occurs. Hemichorea-hemiballism (HCHB) may appear in patients with uncontrolled hyperglycaemia accompanied by typical neuroradiological features consisting of striatal alterations detectable on brain CT and MRI, often bilaterally.Unusually, striatal alterations can be detected before the appearance of involuntary movements and are fully reversible on brain CT and T1-MRI sequences.Brain hypoperfusion may facilitate the appearance of typical HCHB in patients with chronic hyperglycaemia.","DictElement({'Year': '2019', 'Month': '10', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2019,European journal of case reports in internal medicine,10.12890/2019_001257,PMC6886634,Hemichorea; athetosis; hemiballism; hyperglycemia; hypoperfusion,Case Reports,Italy,eng
34418672,Crossed Choreoathetosis Caused by Unilateral Thalamic Hemorrhage.,"Kurihara, Sumire; Sato, Takeo; Murakami, Hidetomo; Komatsu, Teppei; Sakai, Kenichiro; Umehara, Tadashi; Omoto, Shusaku; Mitsumura, Hidetaka; Iguchi, Yasuyuki",Kurihara,"In general, involuntary movements after stroke are due to a disturbance in the unilateral cortico-basal ganglia loop and appear contralateral to stroke lesions. Crossed involuntary movements after unilateral stroke are very rare. We observed a case of crossed involuntary movements in the left upper limb and right lower limb after a right thalamic hemorrhage expanded to the right subthalamic nucleus. We considered a possible three-step theory as the basis of crossed choreoathetosis. This case informs our better understanding of the cortico-basal ganglia loop and involuntary movements after stroke.","DictElement({'Year': '2021', 'Month': '08', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2021,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2021.106049,,Cerebrovascular disease; Choreoathetosis; Cortico-basal ganglia loop; Hemorrhagic stroke; Involuntary movement; Movement disorders; Thalamus,Case Reports; Video-Audio Media,United States,eng
26778811,Holmes' tremor as a delayed complication of thalamic stroke.,"Martins, William Alves; Marrone, Luiz Carlos Porcello; Fussiger, Helena; Vedana, Viviane Maria; Cristovam, Rafael do Amaral; Taietti, Marjorye Z; Marrone, Antonio Carlos Huf",Martins,"Movement disorders are not commonly associated with stroke. Accordingly, thalamic strokes have rarely been associated with tremor, pseudo-athetosis and dystonic postures. We present a 75-year-old man who developed a disabling tremor 1 year after a posterolateral thalamic stroke. This tremor had low frequency (3-4 Hz), did not disappear on focus and was exacerbated by maintaining a static posture and on target pursuit, which made it very difficult to perform basic functions. MRI demonstrated an old ischemic lesion at the left posterolateral thalamus. Treatment with levodopa led to symptom control. Lesions in the midbrain, cerebellum and thalamus may cause Holmes' tremor. Delayed onset of symptoms is usually seen, sometimes appearing 2 years after the original injury. This may be due to maturation of a complex neuronal network, leading to slow dopaminergic denervation. Further studies are needed to improve our understanding of this unique disconnection syndrome.","DictElement({'Year': '2015', 'Month': '11', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2015,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,10.1016/j.jocn.2015.09.014,,Holmes’ tremor; Movement disorders; Symptomatic tremor; Thalamic stroke; Thalamic tremor; Ventral posterolateral nucleus,Case Reports; Journal Article,Scotland,eng
32398250,Anterior choroidal artery infarct presenting as right hemichoreoathetosis.,"Tolla, Azam S; Schichtel, Luke T; Alboudi, Ayman; Sanders, Audrey K",Tolla,,"DictElement({'Year': '2020', 'Month': '05', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2020,BMJ case reports,10.1136/bcr-2020-234861,PMC7223020,movement disorders (other than Parkinsons); stroke,Case Reports; Journal Article; Video-Audio Media,England,eng
30700452,Acute ischaemic stroke-related choreoathetosis treated with arterial thrombectomy.,"Muhammad, Ali; Bielskute, Egidija; Guyler, Paul C; Grunwald, Iris Q",Muhammad,"A rare case of acute choreoathetosis after acute stroke is presented. This 66-years-old, right-handed Caucasian woman presented with weakness of her right arm and right leg with dysarthria, which resolved by the time she arrived in the emergency department. No obvious focal sign apart from the abnormal choreoathetoid movement of the right arm and leg and of the neck was present. Her medical history included atrial fibrillation without anticoagulation. CT head was nil acute (Alberta Stroke Program Early CT Score of 10). CT angiography of the carotids showed a hyperdense M2 segment of the left middle cerebral artery. Intravenous thrombolysis immediately followed by thrombectomy was decided. Using the Penumbra aspiration device (ACE 68) two clots were removed with two aspirations. A small distal clot remained but partial recanalisation (Thrombolysis in Myocardial Infarction/Thrombolysis in Cerebral Infarction 2b) was achieved. 30 seconds after restoring blood flow, the choreoathetoid movements ceased. The patient was brought to intensive care for further monitoring, which was uneventful.","DictElement({'Year': '2019', 'Month': '01', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2019,BMJ case reports,10.1136/bcr-2018-226035,PMC6352821,movement disorders (other than Parkinsons); neuroimaging; stroke,Case Reports; Journal Article,England,eng
11746635,Complex movement disorders following bilateral paramedian thalamic and bilateral cerebellar infarcts.,"Tan, E K; Chan, L L; Auchus, A P",Tan,"Complex movement disorders (CMD; including tremor, dystonias, choreoatheosis, and myoclonus) following infarcts in the posterior and posterolateral thalamic nuclei have been reported. This case of a 59-year-old man who developed CMD following bilateral paramedian and bilateral cerebellar infarcts illustrates the lack of anatomic specificity and the diverse pathophysiology which may underlie CMD.",{},,Movement disorders : official journal of the Movement Disorder Society,10.1002/mds.1176,,,Case Reports; Journal Article,United States,eng
19900655,"Dysnomia, ataxia, choreoathetosis, sensory impairment, and gait imbalance after lentiform nucleus stroke.","Galbreath, Andrew D; Goldstein, Larry B",Galbreath,"We describe a patient in whom dysnomia, ataxia, choreoathetosis, sensory impairment, and severe gait imbalance resulted from an isolated left lentiform nucleus-posterior limb of internal capsule lacunar stroke. Each of these deficits has been described as a consequence of unilateral basal ganglia or internal capsule infarction in prior reports, but the combination of these findings in one patient is unusual. Accurate localization of the lesion to the anterior circulation has potential therapeutic implications.",{},,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2009.03.005,,,Case Reports; Journal Article,United States,eng
