pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
3340293,Altitudinal neglect.,"Rapcsak, S Z; Cimino, C R; Heilman, K M",Rapcsak,"Previous clinical observations on patients with hemispatial neglect from unilateral hemispheric lesions suggest the brain's attentional mechanisms are organized along the horizontal dimensions of extrapersonal space. We now report a patient with Balint's syndrome caused by bilateral parieto-occipital infarctions, who demonstrated altitudinal neglect. On visual and tactile bisection of vertical rods, the patient consistently placed her mark well above the true midpoint, and this performance remained unchanged when the stimuli were simultaneously explored visually and tactually. She also showed altitudinal inattention in the visual modality by extinguishing the stimulus presented in the lower quadrants during double simultaneous stimulation across the horizontal meridian. These findings suggest that bilateral damage to the parietal lobes can lead to multimodal attentional and exploratory deficits along the vertical dimensions of extrapersonal space.",{},,Neurology,10.1212/wnl.38.2.277,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",United States,eng
571567,Thalamic neglect.,"Watson, R T; Heilman, K M",Watson,"Three patients with right thalamic hemorrhage showed contralateral neglect and limb akinesia. They also had anosognosia, visuospatial disorders, and emotional flattening. In animals, neglect can be induced by lesions along a cortico-limbic-reticular loop including the intralaminar thalamic nuclei. We propose that an activation defect is responsible not only for the neglect and akinesia, but also for the visuospatial and emotional defects usually associated with right-hemisphere cortical dysfunction.",{},,Neurology,10.1212/wnl.29.5.690,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",United States,eng
31786559,3D ultrasound-guided resection of low-grade gliomas: principles and clinical examples.,"Unsgård, Geirmund; Lindseth, Frank",Unsgård,"3D ultrasound (US) is a convenient tool for guiding the resection of low-grade gliomas, seemingly without deterioration in patients' quality of life. This article offers an update of the intraoperative workflow and the general principles behind the 3D US acquisition of high-quality images.The authors also provide case examples illustrating the technique in two small mesial temporal lobe lesions and in one insular glioma. Due to the ease of acquiring new images for navigation, the operations can be guided by updated image volumes throughout the entire course of surgery. The high accuracy offered by 3D US systems, based on nearly real-time images, allows for precise and safe resections. This is especially useful when an operation is performed through very narrow transcortical corridors.",{},,Neurosurgical focus,10.3171/2019.9.FOCUS19605,,3D ultrasound; CUSA = Cavitron US aspirator; LGG; LGG = low-grade glioma; US = ultrasound; navigated ultrasound; surgical setup,Case Reports; Journal Article; Review,United States,eng
38288174,Bipolar Disorder Due to Traumatic Brain Injury: A Case Report.,"Altuwairqi, Yasir",Altuwairqi,"I report an unusual case in Saudi Arabia of a 28-year-old man who had bipolar disorder due to a traumatic brain injury suffered 10 years previously. He had been evaluated and diagnosed with schizoaffective disorder as well as amphetamine and hash use disorder until recently, when the team noticed a poor response to treatment and the continuation of his cognitive features. After a reevaluation of the history and evidence of the brain lesions on the MRI, the diagnosis was changed to bipolar disorder due to a traumatic brain injury. The patient had shown a fair response to valproate and risperidone. This report emphasizes the significance of ruling out the medical factors contributing to the manifestation of any novel psychiatric symptom, necessitating greater attention to the account of cranial trauma and periods of unconsciousness. Psychiatrists should be aware of these overlooked cases and encourage colleagues in the field to maintain a high index of suspicion and to take a good relevant history of brain injury insults, especially when there are cognitive features and a poor response to medications. The patient exhibited symptoms of inattention, memory difficulties, reasoning deficits, and poor judgment, but he did not meet the criteria for a minor or major cognitive disorder.","DictElement({'Year': '2023', 'Month': '12', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.51292,PMC10824366,bipolar disorder; frontal lobe; schizoaffective disorder; substance use disorder.; traumatic brain injury (tbi),Case Reports,United States,eng
2377286,Facial neglect.,"Young, A W; de Haan, E H; Newcombe, F; Hay, D C",Young,"Following a stroke, a retired industrial chemist, K.L., complained that faces looked ""different"" and had become difficult to recognize. Investigation of this problem revealed that it particularly affected the left half of a face as seen by K.L. Defective recognition of this (left) half was found for normal faces, chimaeric faces, and for half-faces presented in isolation, whether upright or inverted. The problem was apparent for both internal and external facial features. Further studies with chimaeric faces demonstrated inattention to left-side features in K.L.'s judgements of facial expression and of resemblance between faces. Moreover, the left-half of a chimaeric face was affected even when it was itself forming part of the face positioned on the right in a display of two horizontally aligned chimaerics. K.L.'s spatial contrast sensitivity function was within normal limits for his age. He did not experience differential difficulty in recognizing the left side of everyday objects or of car-fronts (another stimulus class demanding within-category discrimination between visually similar items that display approximate left-right symmetry). He was also able to sort left or right half-stimuli correctly into the categories ""human face"", ""dog face"", or ""tree"". Although K.L. had a left visual field defect, the problem with faces occurred within otherwise intact parts of his field of vision. We suggest that his disorder can be considered a domain-specific form of unilateral neglect.",{},,Neuropsychologia,10.1016/0028-3932(90)90068-y,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
2765859,Positional dyslexia.,"Katz, R B; Sevush, S",Katz,"Position-specific errors in word reading are usually associated with neglect or visual extinction on the same side as the reading problem. In this study, two patients with left-hemisphere lesions showed visual extinction on the right but reading difficulty on the left side of words and pseudowords. Further study of one patient revealed that he also had problems reading the beginning of words presented tachistoscopically or in vertical orientation. In addition, the positional difficulty was apparent when he named the letters in words. The pattern of results indicates that the positional dyslexia in these patients was not likely attributable to general deficits in visual perception or attention but may have reflected a disorder at a later stage of letter processing.",{},,Brain and language,10.1016/0093-934x(89)90019-9,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",Netherlands,eng
6663305,Neglect dysgraphia.,"Baxter, D M; Warrington, E K",Baxter,"A phonological dysgraphic syndrome is documented in a left handed man with a right-hemisphere lesion. His spelling was significantly affected by word length but neither word frequency nor the orthographical irregularity or word class proved to be relevant variables. Words were spelled equally efficiently forwards as backwards. A clear gradient of letter errors was shown to exist with letters on the left being mis-spelled more often than letters on the right of a word, irrespective of word length. These findings are discussed in terms of current models of spelling and their relevance to theories of unilateral neglect.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.46.12.1073,PMC491770,,Case Reports; Journal Article,England,eng
6244876,Word-form dyslexia.,"Warrington, E K; Shallice, T",Warrington,"In this study we have reported our investigation of two patients with an acquired dyslexia characterized by letter-by-letter reading, whole word reading being apparently impossible. It has been shown that this phenomenon of letter-by-letter reading cannot be accounted for by visual or perceptual factors nor by impairment of visual span of apprehension. The exceptionally slow speed of reading was documented and a clear relationship between word length and reading speed established. Performance on tasks considered to maximize whole word reading which at the same time prevent the possibility of letter-by-letter reading, namely, reading script and reading with tachistoscopic presentation, was impaired. The satisfactory performance of these two patients on tasks of picture interpretation suggests that the two components of the syndrome simultanagnosia, letter-by-letter reading and piecemeal perception of complex scenes, are dissociable. Three alternative explanations of letter-by-letter reading are considered and we conclude that in this type of acquired dyslexia there is damage to the system through which a visual word-form is attained.",{},,Brain : a journal of neurology,10.1093/brain/103.1.99,,,Case Reports; Journal Article,England,eng
10440071,Neglect without extinction.,"Cocchini, G; Cubelli, R; Della Sala, S; Beschin, N",Cocchini,"A patient, AB, is reported who showed clear signs of neglect but no extinction (N+ E-). Several hypotheses proposed to account for this dissociation were put to the test. The postulated association between motor neglect and extinction did not hold good, nor did the possibility that the N+ E- dissociation may be traced back to the difference in test requirements and therefore observed only in patients with object-centred neglect. Likewise, manipulating the physical features of the stimuli (relative size, exposure time, presentation synchrony) did not elicit extinction. However, when the task demands were modified by asking the patient to perform a further spatial analysis of the stimuli, rather than simply detect them, extinction emerged. Since AB performed well on several neglect tasks requiring parallel processing, while failing all tasks calling for serial processing, the hypothesis is put forward that AB's N+ E- dissociation could be interpreted within the parallel/serial distinction framework.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(08)70802-5,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",Italy,eng
36370508,Cerebral venous thrombosis following an immunoglobulin-E mediated anaphylactic reaction.,"Dias da Costa, Mariana; Nascimento Alves, Pedro; Aguiar de Sousa, Diana; Canhão, Patrícia",Dias da Costa,"Prothrombotic and pro-inflammatory states are known cerebral venous thrombosis risk factors. To date, two cases of venous thrombotic events after immunoglobulin-E mediated anaphylaxis have been reported. Herein, we describe the first case of cerebral venous thrombosis in close temporal relation with an immunoglobulin-E mediated anaphylactic event. A 51-year-old female presented with headache, language, and mental disturbance lasting for two days. Two days before the onset, she had undergone a provocative test with deflazacort to study an allergy history; after the test she developed a severe anaphylactic reaction. There were no other comorbidities, and in addition to contraceptive pill, she did not take other medications. On admission the patient was drowsy, with anomic aphasia, inattention and memory impairment. Magnetic Resonance Imaging depicted a left caudate and lenticulo-capsulo-thalamic venous infarct and thrombosis in the deep venous system. The patient was treated with anticoagulation and showed progressive improvement. Neoplastic and pro-thrombotic diseases were excluded. The close temporal association between the anaphylactic reaction and cerebral venous thrombosis suggests that anaphylactic reaction could have been a cerebral venous thrombosis precipitating factor. Immunoglobulin-E have been suggested to have prothrombotic activity by stimulating the release of platelet activation factor, thromboxane A2 and serotonin. This case adds on to the available information on possible cerebral venous thrombosis associated conditions.","DictElement({'Year': '2022', 'Month': '11', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2022,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2022.106873,,Anaphylaxis; Cerebral venous thrombosis; Corticosteroids; Immunoglobulin-E,Case Reports,United States,eng
