pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34248493,Non-ketotic Hyperglycemia Chorea-Ballismus and Intracerebral Hemorrhage: A Case Report and Literature Review.,"Dong, Mingming; E, Jian-Yu; Zhang, Liyang; Teng, Weiyu; Tian, Li",Dong,"Non-ketotic hyperglycemia chorea-ballismus (NKH-CB) is a rare metabolical syndrome secondary to the hyperglycemic condition, which is characterized by a triad of acute or subacute hemichorea-hemiballismus, hyperglycemic state, and unique abnormalities limited to the striatum on neuroimaging. Several related case studies on this disorder have been reported previously, but NKH-CB had never been associated with intracerebral hemorrhage (ICH). Herein, we report an uncommon case of NKH-CB and ICH that occurred simultaneously in one patient, which provides a challenge for clinicians in making a correct diagnosis. An 88-year-old woman with a long-term history of poor-controlled type 2 diabetes mellitus and hypertension, who presented with a sudden-onset headache, restlessness, severe bilateral choreiform and ballistic movements, elevated levels of glucose and osmolality in the serum, an increased white blood cell count, and two-type hyperdense signs on CT imaging, was finally diagnosed with NKH-CB and ICH. Despite administrated active treatments, the patient's clinical status did not improve and ultimately passed away. This case is reported to remind clinicians to consider the possibility of NKH-CB when patients present sudden-onset choreiform and ballistic movements. It is also the first entity with two-type hyperdense signs on CT imaging simultaneously, which helps us distinguish NKH-CB from ICH more intuitively.","DictElement({'Year': '2021', 'Month': '06', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2021,Frontiers in neuroscience,10.3389/fnins.2021.690761,PMC8260933,case report; diabetic striatopathy; differential diagnosis; hyperdense signs on neuroimaging; intracerebral hemorrhage; metabolical syndrome; non-ketotic hyperglycemia chorea-ballismus,Case Reports,Switzerland,eng
38050508,Acute Caudate Nucleus Stroke Presenting As Hemiballismus.,"Babici, Denis; Mohamed, Ali A; Mattner, Olivia; Demiraj, Francis; Hammond, Thomas",Babici,"Hemiballismus is defined as irregular, involuntary, large-amplitude flinging movements by the limbs, confined to one side of the body. Hemichorea refers to a state of excessive and irregularly timed, non-repetitive and randomly distributed, spontaneous, involuntary, and abrupt movements. It is widely believed that hemiballismus and chorea are suggestive of a lesion to the basal ganglia and subthalamic nucleus (STN). However, there are other etiologies that may influence the clinical presentation. Patients may present with certain common clinical features corresponding to the affected area of the brain. For example, infarctions of the motor cortex present with hemiplegia or paralysis of one side of the body. Similarly, infarctions involving the language areas of the brain present with aphasia and are detrimental to speech production or comprehension and the ability to read and write. Typically, acute-onset hemichorea is suggestive of a lesion in the STN. Herein, we present a rare case of acute hemiballismus and hemichorea following infarction of the left caudate nucleus, as determined by magnetic resonance imaging (MRI) and computerized tomography (CT) imaging modalities.","DictElement({'Year': '2023', 'Month': '11', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.48209,PMC10693717,basal ganglia infarction; basal ganglia stroke; chorea and hemiballismus; haloperidol; subthalamic nucleus,Case Reports,United States,eng
26942135,Cortical Hemiballism: A Case of Hemiballismus Associated with Parietal Lobe Infarct.,"Shrestha, Pragya; Adhikari, Janak; Poudel, Dilli; Pathak, Ranjan; Karmacharya, Paras",Shrestha,"Hemiballismus is characterized by involuntary, irregular, large amplitude, and violent flinging movements of limbs. Stroke (middle and posterior cerebral artery) remains the most common etiology with 2/3 being lacunar. Lesions outside the substantia niagra (STN) can cause hemiballism, and only a minority by STN lesions, unlike the classical belief. Compared to those arising from STN, cortical hemiballismus is usually less severe with a good prognosis. A 61-year-old man presented with sudden onset involuntary flinging movements of his right upper extremity accompanied by numbness and tingling. Past medical history was significant for stroke 2 years back with no residual deficits. Vitals signs were blood pressure of 165/84 mm Hg, and heart rate - 82 beats/min. Irregular, arrhythmic, jerky flinging movement, and decreased sensation to light touch in right upper extremity was noted. Magnetic resonance imaging of the brain revealed acute posterior left parietal lobe infarction. He was treated with aspirin and atorvastatin. Thrombolytic therapy was offered but declined. The movements resolved spontaneously over the next 2 days. No further episodes occurred at 3-month follow-up. Lesions affecting various areas outside the STN can cause hemiballism and usually carries a good prognosis with spontaneous resolution. Acute thrombolytic therapy may be considered on an individual basis. Treatment with antipsychotics can be useful for severe and recurring symptoms.",{},,North American journal of medical sciences,10.4103/1947-2714.172850,PMC4755084,Antipsychotics; hemiballism; hemiballismus; infarction; parietal lobe; stroke; subthalamic,Case Reports,India,eng
22750765,Ballismus as a sign of transitional ischemic attack.,"Rahmani, Seied Hesam; Vahdati, Samad Shams; Ahmadi, Sajad; Tajlil, Arezou",Rahmani,"A 70-year-old woman presented to our emergency center with a complaint of jerking and twisting movements in her left upper limb and left ankle with deviation of her mouth toward the left. The movements had lasted two minutes and the deviation resolved spontaneously after 30 minutes. She had a history of similar movements five days earlier. During her stay in the emergency center, she experienced the same movements three times. A CT scan without contrast showed a small lesion in the left putamen. Four vessel color Doppler sonography showed a small atheroma plaque in the proximal part of the left internal carotid artery with stenosis less than ten percent. The repeated CT scans revealed progression of the hypodense lesion and the patient developed hemiparesis. In this case, ballismus movements were a cardinal sign for a future stroke and her problem can be considered a recurrent transient ischemic attack or a stroke in evolution.",{},,Annals of Saudi medicine,10.5144/0256-4947.2012.01.7.1515,PMC6078588,,Case Reports; Journal Article,Saudi Arabia,eng
36762000,Hypoglycemic Encephalopathy Manifesting with Cortical Hemichorea-Hemiballismus Syndrome: A Case Report.,"Pasini, Francesco; Karantzoulis, Aristotelis; Fanella, Gaia; Brovelli, Francesco; Iacobucci, Davide; Aprea, Vittoria; Storti, Benedetta; Santangelo, Francesco; Canonico, Francesco; Remida, Paolo; Ferrarese, Carlo; Brighina, Laura",Pasini,"Hyper-/hypoglycemic states are rare but well-established causes of hyperkinetic movements, including chorea and ballismus, usually associated with brain lesions in the basal ganglia. We report a case of hemichorea-hemiballismus (HCHB) syndrome that developed after a severe hypoglycemic episode in a 71-year-old man with poorly controlled type 2 diabetes mellitus. Uncommonly, brain MRI showed contralateral cortical-subcortical T2 and T2-FLAIR-hyperintense frontoparietal lesions, with cingulate gyrus involved, while the basal ganglia were unaffected. In patients with hypoglycemic encephalopathy associated with cortical lesions, the long-term prognosis is usually poor. Nevertheless, in our patient, the dyskinesias and the cerebral lesions progressively regressed by achieving good glycemic control. After four and 12 months, the patient's neurological examination was normal. To our knowledge, this is the first evidence of hypoglycemic etiology of cortical HCHB syndrome, supporting recent theories that cortical circuitries may independently contribute to the pathogenesis of chorea and ballismus. This is also the first report of cingulate gyrus involvement in hypoglycemic encephalopathy. Finally, this case may indicate that a subset of patients with cortical lesions due to hypoglycemia could present a good clinical outcome, likely depending on the size of the lesions and the duration and severity of the hypoglycemic episode.","DictElement({'Year': '2023', 'Month': '02', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2023,Case reports in neurology,10.1159/000528880,PMC9906039,Hemiballismus; Hemichorea; Hemichorea-hemiballismus syndrome; Hypoglycemia; Hypoglycemic encephalopathy,Case Reports,Switzerland,eng
28360574,Chorea-Ballismus Associated with Hyperglycemia.,"Kocasoy Orhan, Elif; Atmaca, M Mert; Atmaca, Melek; Hanağasi, Haşmet A",Kocasoy Orhan,"Chorea-ballismus which is a rare complication of nonketotic hyperglycemia may be the first symptom of type 2 diabetes mellitus. In this paper, we present two patients, who had involuntary movements and were diagnosed as having ballismus-chorea associated with nonketotic hyperglycemia. While one of the patients was not diagnosed with diabetes mellitus, the other one did not administer insulin therapy for a long time which was prescribed. The patients were investigated by cranial imaging and biochemical tests. The symptoms improved in one of them within hours, however, it took days to improve for the other one. This clinical situation, which is thought to be caused by hyperglycemia, cerebral ischemia and failure of gamma-aminobutyric acid (GABA) and which probably improves with regulation of blood glucose levels, should be kept in mind by emergency physicians, because it can be the first presentation of type 2 diabetes mellitus.","DictElement({'Year': '2013', 'Month': '12', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2013,Noro psikiyatri arsivi,10.4274/npa.y6468,PMC5363433,Ballismus; Chorea; Nonketotic hyperglycemia,Case Reports,Turkey,eng
38046771,Driving Under the Influence: An Unusual Case of Basal Ganglia Stroke Misdiagnosed as Intoxication.,"Butt, Faiza; Durrani, Kulsoom; Khan, Muhammad N; Waheed, Abdul",Butt,"Traditionally, strokes are characterized by negative symptoms, including contralateral hemiparesis, facial paralysis, and sensory loss in the upper face and upper extremities. Strokes rarely cause movement disorders such as ballismus, a severe chorea characterized by brief, sudden dance-like movements. Early identification of non-traditional stroke symptoms and risk factors for cerebrovascular disease is vital in providing timely treatment and improving patient outcomes. Our case highlights an uncommon complication of stroke and the need to use advanced imaging modalities, including MRI, to identify brain lesions when other testing is negative. This report adds to the body of literature highlighting ballismus, a rare presentation of stroke, and the lessons learned from managing this case.","DictElement({'Year': '2023', 'Month': '11', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.48097,PMC10691168,ballismus; hemiballismus; negative symptoms; positive symptoms; residual hemiparesis; stroke,Case Reports,United States,eng
35719774,Non-ketotic Hyperglycemic Hemichorea-Hemiballismus: A Case of a Male With Diabetes Mellitus and Speech Disturbances.,"Evers Smith, Catherine M; Chaurasia, Kajol K; Dekoski, Daniel C",Evers Smith,"Non-ketotic hyperglycemic chorea-ballismus is characterized by a triad of chorea-ballismus, non-ketotic hyperglycemic state, and striatopathy on magnetic resonance imaging (MRI) or computerized tomography scan (CT). Chorea and ballismus are hyperkinetic movements affecting the side contralateral to the striatal hyperintensity on imaging. This presentation is a manifestation of poorly controlled diabetes mellitus most commonly reported in elderly eastern Asian women. The exact mechanism is unknown, but it is reversible with optimal glycemic control. The patient described in this case is a Caucasian male in his mid-50s who presented to the emergency department with speech disturbance. Only after a detailed neurologic examination and MRI head in the setting of non-ketotic hyperglycemia the diagnosis of non-ketotic hyperglycemia hemichorea-hemiballismus was deduced. Consideration of this disease in patients with poorly controlled diabetes mellitus is important as tight glycemic control can be implicated to reverse the condition.","DictElement({'Year': '2022', 'Month': '05', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.25073,PMC9203255,diabetes mellitus; dysarthria; hemichorea-hemiballismus; hyperglycemic hemichorea; hyperintense basal ganglia,Case Reports,United States,eng
3796836,Movement disorders and AIDS.,"Nath, A; Jankovic, J; Pettigrew, L C",Nath,"We studied seven patients with AIDS or AIDS-related complex (ARC) and movement disorders. Three had hemichorea-ballismus, two had segmental myoclonus, one had postural tremor with dystonia, and one had paroxysmal dystonia. Besides the hyperkinesias, two patients had parkinsonism, and one had cerebral Whipple's disease. In two, the movement disorder preceded other evidence of AIDS; in three others, the diagnosis of AIDS was not considered until there was a movement disorder. The movement disorders were attributed to toxoplasmosis in four patients (one confirmed at autopsy), viral encephalitis, vacuolar myelopathy, and CNS Whipple's disease.",{},,Neurology,10.1212/wnl.37.1.37,,,Case Reports; Journal Article,United States,eng
8327149,Hemiballismus and secondary mania following a right thalamic infarction.,"Kulisevsky, J; Berthier, M L; Pujol, J",Kulisevsky,"An 81-year-old woman had the sudden onset of left-sided ballismus and an accompanying behavioral change characterized by elation, distractibility, inflated self-esteem, and insomnia, suggesting secondary mania. An MRI revealed a small ischemic infarction of the right thalamus.",{},,Neurology,10.1212/wnl.43.7.1422,,,Case Reports; Journal Article,United States,eng
