pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
29100949,Plasticity of the human visual brain after an early cortical lesion.,"Mikellidou, K; Arrighi, R; Aghakhanyan, G; Tinelli, F; Frijia, F; Crespi, S; De Masi, F; Montanaro, D; Morrone, M C",Mikellidou,"In adults, partial damage to V1 or optic radiations abolishes perception in the corresponding part of the visual field, causing a scotoma. However, it is widely accepted that the developing cortex has superior capacities to reorganize following an early lesion to endorse adaptive plasticity. Here we report a single patient case (G.S.) with near normal central field vision despite a massive unilateral lesion to the optic radiations acquired early in life. The patient underwent surgical removal of a right hemisphere parieto-temporal-occipital atypical choroid plexus papilloma of the right lateral ventricle at four months of age, which presumably altered the visual pathways during in utero development. Both the tumor and surgery severely compromised the optic radiations. Residual vision of G.S. was tested psychophysically when the patient was 7 years old. We found a close-to-normal visual acuity and contrast sensitivity within the central 25° and a great impairment in form and contrast vision in the far periphery (40-50°) of the left visual hemifield. BOLD response to full field luminance flicker was recorded from the primary visual cortex (V1) and in a region in the residual temporal-occipital region, presumably corresponding to the middle temporal complex (MT+), of the lesioned (right) hemisphere. A population receptive field analysis of the BOLD responses to contrast modulated stimuli revealed a retinotopic organization just for the MT+ region but not for the calcarine regions. Interestingly, consistent islands of ipsilateral activity were found in MT+ and in the parieto-occipital sulcus (POS) of the intact hemisphere. Probabilistic tractography revealed that optic radiations between LGN and V1 were very sparse in the lesioned hemisphere consistently with the post-surgery cerebral resection, while normal in the intact hemisphere. On the other hand, strong structural connections between MT+ and LGN were found in the lesioned hemisphere, while the equivalent tract in the spared hemisphere showed minimal structural connectivity. These results suggest that during development of the pathological brain, abnormal thalamic projections can lead to functional cortical changes, which may mediate functional recovery of vision.","DictElement({'Year': '2017', 'Month': '10', 'Day': '31'}, attributes={'DateType': 'Electronic'})",2017,Neuropsychologia,10.1016/j.neuropsychologia.2017.10.033,,Contrast sensitivity; Cortical reorganization; DTI; Early brain lesion; Hemianopia; Neural plasticity; Retinotopic map; Visual cortex; fMRI; pRF,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
32735814,Grip Constancy but Not Perceptual Size Constancy Survives Lesions of Early Visual Cortex.,"Whitwell, Robert L; Sperandio, Irene; Buckingham, Gavin; Chouinard, Philippe A; Goodale, Melvyn A",Whitwell,"Object constancies are central constructs in theories of visual phenomenology. A powerful example is ""size constancy,"" in which the perceived size of an object remains stable despite changes in viewing distance [1-4]. Evidence from neuropsychology [5], neuroimaging [6-11], transcranial magnetic stimulation [12, 13], single-unit and lesion studies in monkey [14-20], and computational modeling [21] suggests that re-entrant processes involving reciprocal interactions between primary visual cortex (V1) and extrastriate visual areas [22-26] play an essential role in mediating size constancy. It is seldom appreciated, however, that object constancies must also operate for the visual guidance of goal-directed action. For example, when reaching out to pick up an object, the hand's in-flight aperture scales with size of the goal object [27-30] and is refractory to the decrease in retinal-image size with increased viewing distance [31-41] (Figure 1), a phenomenon we call ""grip constancy."" Does grip constancy, like perceptual constancy, depend on V1 or can it be mediated by pathways that bypass it altogether? We tested these possibilities in an individual, M.C., who has bilateral lesions encompassing V1 and much of the ventral visual stream. We show that her perceptual estimates of object size co-vary with retinal-image size rather than real-world size as viewing distance varies. In contrast, M.C. shows near-normal scaling of in-flight grasp aperture to object size despite changes in viewing distance. Thus, although early visual cortex is necessary for perceptual object constancy, it is unnecessary for grip constancy, which is mediated instead by separate visual inputs to dorsal-stream visuomotor areas [42-48].","DictElement({'Year': '2020', 'Month': '07', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2020,Current biology : CB,10.1016/j.cub.2020.07.026,,V1; blindsight; dorsal stream; grasping; grip constancy; neuropsychology; object constancy; re-entrant processing; size constancy; ventral stream,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
32117028,Rapid Recovery From Cortical Blindness Caused by an Old Cerebral Infarction.,"Shibuki, Katsuei; Wakui, Ichiro; Fujimura, Takeo; Tomikawa, Masaru; Hasegawa, Shin",Shibuki,"When the primary visual cortex (V1) is damaged, cortical blindness results. However, visual information obtained from the superior colliculus (SC) or direct thalamic afferents to higher visual cortices produces unconscious visual functions called blindsight. Alarming visual stimuli suggesting the approach of a predator are known to trigger escape behaviors via visual information mediated by the SC and amygdala in small animals, and salient and dynamic visual stimuli also produce some conscious visual experience even in patients with blindsight. Fresh cortical blindness sometimes recovers spontaneously in patients with fresh cerebral damages, and recovery can be accelerated by early rehabilitation. However, the mechanisms underlying recovery are not well-known. We analyzed a patient with cortical blindness caused by an old cerebral infarction. After repeated presentation of alarming visual stimuli, the ability to detect visual stimuli in the impaired visual field showed behavioral short-term improvement (STI) within a few minutes. Repeated behavioral STI induction was followed by behavioral long-term improvement (LTI) lasting more than several days. After behavioral LTI, the patient partially recovered the ability to read letters presented in the impaired visual field. The behavioral STI experiment, which can be performed within 10 min, may serve as a clinical screening test for anticipating recovery from cortical blindness.","DictElement({'Year': '2020', 'Month': '02', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2020,Frontiers in neurology,10.3389/fneur.2020.00069,PMC7020609,amygdala; blindsight; long-term potentiation; looming stimulus; short-term potentiation; superior colliculus; visual cortex,Case Reports,Switzerland,eng
38492041,A clinico-anatomical dissection of the magnocellular and parvocellular pathways in a patient with the Riddoch syndrome.,"Beyh, Ahmad; Rasche, Samuel E; Leff, Alexander; Ffytche, Dominic; Zeki, Semir",Beyh,"The Riddoch syndrome is thought to be caused by damage to the primary visual cortex (V1), usually following a vascular event. This study shows that damage to the anatomical input to V1, i.e., the optic radiations, can result in selective visual deficits that mimic the Riddoch syndrome. The results also highlight the differential susceptibility of the magnocellular and parvocellular visual systems to injury. Overall, this study offers new insights that will improve our understanding of the impact of brain injury and neurosurgery on the visual pathways. The Riddoch syndrome, characterised by the ability to perceive, consciously, moving visual stimuli but not static ones, has been associated with lesions of primary visual cortex (V1). We present here the case of patient YL who, after a tumour resection surgery that spared his V1, nevertheless showed symptoms of the Riddoch syndrome. Based on our testing, we postulated that the magnocellular (M) and parvocellular (P) inputs to his V1 may be differentially affected. In a first experiment, YL was presented with static and moving checkerboards in his blind field while undergoing multimodal magnetic resonance imaging (MRI), including structural, functional, and diffusion, acquired at 3 T. In a second experiment, we assessed YL's neural responses to M and P visual stimuli using psychophysics and high-resolution fMRI acquired at 7 T. YL's optic radiations were partially damaged but not severed. We found extensive activity in his visual cortex for moving, but not static, visual stimuli, while our psychophysical tests revealed that only low-spatial frequency moving checkerboards were perceived. High-resolution fMRI revealed strong responses in YL's V1 to M stimuli and very weak ones to P stimuli, indicating a functional P lesion affecting V1. In addition, YL frequently reported seeing moving stimuli and discriminating their direction of motion in the absence of visual stimulation, suggesting that he was experiencing visual hallucinations. Overall, this study highlights the possibility of a selective loss of P inputs to V1 resulting in the Riddoch syndrome and in hallucinations of visual motion.","DictElement({'Year': '2024', 'Month': '03', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2024,Brain structure & function,10.1007/s00429-024-02774-8,PMC11004049,Blindsight; Magnocellular; Optic radiations; Parvocellular; Statokinetic dissociation; V5/MT + ,Case Reports; Journal Article,Germany,eng
22713392,"The ""Altitudinal Anton's syndrome"": coexistence of anosognosia, blindsight and left inattention.","Carota, A; Bianchini, F; Pizzamiglio, L; Calabrese, P",Carota,"We describe a 69-year-old patient with superior altitudinal hemianopia who contentiously denied having any visual impairment after stroke in the lower banks of both calcarine fissures. Although the patient did not produce intentional responses to visual stimuli in the blind fields, he showed reduced reaction times to stimuli presented in the inferior visual fields when they were primed by identical stimuli in the superior blind fields. Furthermore he showed left extinction to the double stimulation and delayed reaction times for left unprimed stimuli in the inferior fields. Based on these findings we discuss the possibility that blindsight and right hemisphere damage might be both necessary conditions for denying bilateral blindness.",{},,Behavioural neurology,10.3233/BEN-2012-110224,PMC5214380,,Case Reports; Journal Article,Netherlands,eng
22272260,Preservation of auditory P300-like potentials in cortical deafness.,"Cavinato, Marianna; Rigon, Jessica; Volpato, Chiara; Semenza, Carlo; Piccione, Francesco",Cavinato,"The phenomenon of blindsight has been largely studied and refers to residual abilities of blind patients without an acknowledged visual awareness. Similarly, ""deaf hearing"" might represent a further example of dissociation between detection and perception of sounds. Here we report the rare case of a patient with a persistent and complete cortical deafness caused by damage to the bilateral temporo-parietal lobes who occasionally showed unexpected reactions to environmental sounds despite she denied hearing. We applied for the first time electrophysiological techniques to better understand auditory processing and perceptual awareness of the patient. While auditory brainstem responses were within normal limits, no middle- and long-latency waveforms could be identified. However, event-related potentials showed conflicting results. While the Mismatch Negativity could not be evoked, robust P3-like waveforms were surprisingly found in the latency range of 600-700 ms. The generation of P3-like potentials, despite extensive destruction of the auditory cortex, might imply the integrity of independent circuits necessary to process auditory stimuli even in the absence of consciousness of sound. Our results support the reverse hierarchy theory that asserts that the higher levels of the hierarchy are immediately available for perception, while low-level information requires more specific conditions. The accurate characterization in terms of anatomy and neurophysiology of the auditory lesions might facilitate understanding of the neural substrates involved in deaf-hearing.","DictElement({'Year': '2012', 'Month': '01', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2012,PloS one,10.1371/journal.pone.0029909,PMC3260175,,Case Reports; Journal Article,United States,eng
7226857,Residual visual capacities in a case of cortical blindness.,"Perenin, M T; Ruel, J; Hécaen, H",Perenin,"A case of cortical blindness resulting from a dense ischemic lesion of both calcarine cortices (as seen on CAT Scan) was studied up till the seventh month after the initial stroke. By using mainly forced-choice procedures, similar to those previously used for testing hemianopic subjects, we were able to demonstrate the reappearance of some visual capacities, even though the patient still behaved as if completely blind in everyday life and the lesion remained as it was first seen. First, an ability to detect moving stimuli reappeared then bright flashes could be detected. At last, the patient could localize flickering spots approximately, by pointing with his hand, despite the fact that he did not really see them. As was hypothesized in cases of unilateral occipital lesions, such residual vision would likely to be subserved by extrageniculostriate pathways.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(80)80007-4,,,Case Reports; Journal Article,Italy,eng
14580134,Conscious visual abilities in a patient with early bilateral occipital damage.,"Giaschi, Deborah; Jan, James E; Bjornson, Bruce; Young, Simon Au; Tata, Matthew; Lyons, Christopher J; Good, William V; Wong, Peter K H",Giaschi,"A 21-year-old male presented with occipital lobes that were extensively damaged by bilateral infarcts present at birth. The absence of the striate cortex was confirmed with anatomic and functional MRI and high-resolution EEG. His cortical visual impairment was severe, but he retained a remarkable ability to see fast-moving stimuli. Horizontal optokinetic nystagmus could be elicited from either eye. Resolution acuity was close to normal providing the patient was allowed to move his head and eyes. The direction of motion in random-dot patterns could be discriminated with perfect accuracy at speeds above 2 deg/s, and the patient reported that he could 'see' the motion at fast but not at slow speeds. This conscious residual vision for motion is known as Riddoch's phenomenon, but it has never been reported in the complete absence of the striate cortex. Functional neuroimaging revealed activation that was outside the motion-responsive regions of the extrastriate cortex. This case demonstrates remarkable plasticity in the human visual system and may have implications for understanding the functional organization of the motion pathways.",{},,Developmental medicine and child neurology,10.1111/j.1469-8749.2003.tb00888.x,,,Case Reports; Journal Article,England,eng
28993236,Affective blindsight relies on low spatial frequencies.,"Burra, Nicolas; Hervais-Adelman, Alexis; Celeghin, Alessia; de Gelder, Beatrice; Pegna, Alan J",Burra,"The human brain can process facial expressions of emotions rapidly and without awareness. Several studies in patients with damage to their primary visual cortices have shown that they may be able to guess the emotional expression on a face despite their cortical blindness. This non-conscious processing, called affective blindsight, may arise through an intact subcortical visual route that leads from the superior colliculus to the pulvinar, and thence to the amygdala. This pathway is thought to process the crude visual information conveyed by the low spatial frequencies of the stimuli. In order to investigate whether this is the case, we studied a patient (TN) with bilateral cortical blindness and affective blindsight. An fMRI paradigm was performed in which fearful and neutral expressions were presented using faces that were either unfiltered, or filtered to remove high or low spatial frequencies. Unfiltered fearful faces produced right amygdala activation although the patient was unaware of the presence of the stimuli. More importantly, the low spatial frequency components of fearful faces continued to produce right amygdala activity while the high spatial frequency components did not. Our findings thus confirm that the visual information present in the low spatial frequencies is sufficient to produce affective blindsight, further suggesting that its existence could rely on the subcortical colliculo-pulvino-amygdalar pathway.","DictElement({'Year': '2017', 'Month': '10', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2017,Neuropsychologia,10.1016/j.neuropsychologia.2017.10.009,,Affective blindsight; Amygdala; Facial expressions; Fear emotion; Hemianopia; Spatial frequency,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
23687498,"The achromatic 'philosophical zombie', a syndrome of cerebral achromatopsia with color anopsognosia.","Carota, Antonio; Calabrese, Pasquale",Carota,"We describe a patient with persistent cerebral achromatopsia occurring after bilateral occipital strokes. Blinded color recognition was assessed with a computerized experimental paradigm and the patient reported the degree of confidence in the response exactness on a visual percent scale. Color recognition was accurate and above chance (Fisher's exact test, p < 0.002). The degree of confidence in the answers showed a significant correlation with recognition scores (Spearman rank order correlation, p < 0.0001). These findings constitute the exceptional condition of what we called color anopsognosia (not knowing of seeing colors) and recall the theoretic figure of the 'philosophical zombie'. However, the cognitive mechanisms of the dissociation between a subjective colorless vision and good performance for color naming still remain poorly understood.","DictElement({'Year': '2013', 'Month': '04', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2013,Case reports in neurology,10.1159/000351027,PMC3656676,Achromatopsia; Blindsight; Cerebral achromatopsia; Color agnosia; Color vision; Philosophical zombie,Case Reports,Switzerland,eng
30102905,Can you guess the colour of this moving object? A dissociation between colour and motion in blindsight.,"Chabanat, E; Jacquin-Courtois, S; Havé, L; Kihoulou, C; Tilikete, C; Mauguière, F; Rheims, S; Rossetti, Y",Chabanat,"Blindsight has been primarily and extensively studied by Lawrence Weiskrantz. Residual visual abilities following a hemispheric lesion leading to homonymous hemianopia encompass a variety of visual-perceptual and visuo-motor functions. Attention blindsight produces the more salient subjective experiences, especially for motion (Riddoch phenomenon). Action blindsight illustrates visuo-motor abilities despite the patients' feeling that they produce random movements. Perception blindsight seems to be the weakest residual function observed in blindsight, e.g. for wavelength sensitivity. Discriminating motion produced by isoluminant colours does not give rise to blindsight for motion but the outcome of the reciprocal test is not known. Here we tested whether moving stimuli could give rise to colour discrimination in a patient with homonymous hemianopia. It was found that even though the patient exhibited nearly perfect performances for motion direction discrimination his colour discrimination for the same moving stimulus remained at chance level. It is concluded that easily discriminated moving stimuli do not give rise to colour discrimination and implications for the 3 levels of blindsight taxonomy are discussed.","DictElement({'Year': '2018', 'Month': '08', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2018,Neuropsychologia,10.1016/j.neuropsychologia.2018.08.006,,Attention-blindsight; Colour; Cortical blindness; Dorsal stream; Motion; Perception-blindsight; Vision,Case Reports; Journal Article,England,eng
12499413,Neural correlates of conscious and unconscious vision in parietal extinction.,"Rees, Geraint; Wojciulik, Ewa; Clarke, Karen; Husain, Masud; Frith, Chris; Driver, Jon",Rees,"Brain areas activated by stimuli in the left visual field of a right parietal patient suffering from left visual extinction were identified using event-related functional magnetic resonance imaging. Left visual field stimuli that were extinguished from awareness still activated the ventral visual cortex, including areas in the damaged right hemisphere. An extinguished face stimulus on the left produced robust category-specific activation of the right fusiform face area. On trials where the left visual stimulus was consciously seen rather than extinguished, greater activity was found in the ventral visual cortex of the damaged hemisphere, and also in frontal and parietal areas of the intact hemisphere. These findings extend recent observations on visual extinction, suggesting distinct neural correlates for conscious and unconscious perception.",{},,Neurocase,10.1076/neur.8.4.387.16190,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
