pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
28513323,Modulation of somatoparaphrenia following left-hemisphere damage.,"D'Imperio, Daniela; Tomelleri, Giampaolo; Moretto, Giuseppe; Moro, Valentina",D'Imperio,"Somatoparaphrenic symptoms after left-hemisphere damage are rare. To verify the potential role of body-related sensory (proprioceptive, visual, and somatosensory) manipulation in patients experiencing sensations of hand disownership, the symptoms of a patient suffering from right-hand somatoparaphrenia were monitored and clinical and neuropsychological variables were controlled. Four types of manipulation were administered: changes in spatial position of the hand, multisensory stimulation, and self-observation using video or mirrors. Multisensory visuo-tactile stimulation was efficacious in terms of reducing somatoparaphrenia, and changes in the position of the hand produced some positive effects. Third-person perspective self-observation did not, however, result in any changes.","DictElement({'Year': '2017', 'Month': '05', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2017,Neurocase,10.1080/13554794.2017.1329444,,Disturbed sensation of limb ownership; Gertmann’s syndrome; body awareness; rehabilitation; somatoparaphrenia after a left-hemisphere lesion,Case Reports; Journal Article,England,eng
35696732,Reach planning with someone else's hand.,"Rossi Sebastiano, Alice; Poles, Karol; Miller, Luke E; Fossataro, Carlotta; Milano, Edoardo; Gindri, Patrizia; Garbarini, Francesca",Rossi Sebastiano,"To investigate the relationship between the sense of body ownership and motor control, we capitalized on a rare bizarre disorder wherein another person's hand is misattributed to their own body, i.e., a pathological form of embodiment (E+). Importantly, despite E+ is usually associated with motor deficits, we had the opportunity to test two E+ patients with spared motor function, thus able to perform a reaching task. Crucially, these patients had proprioceptive deafferentation, allowing us to purely isolate the embodiment-dependent effect from proprioception-dependent ones that are usually associated in experimental manipulations of body ownership in healthy participants. Previous evidence suggests that the reaching movement vector is attracted towards an embodied hand during the rubber hand illusion (RHI). However, these results are confounded by the spared proprioception, whose modulation alone could explain the effects on reach planning. The neuropsychological approach employed here provides unambiguous evidence about the role of body ownership in reach planning. Indeed, three brain-damaged patients with proprioceptive deafferentation, two E+ and a well-matched control patient without pathological embodiment (E-), and 10 age-matched healthy controls underwent a reaching task wherein they had to reach for a target from a fixed starting point, while an alien hand (the co-experimenter's) was placed on the table. Irrespective of proprioception, damaged in all patients, only in E+ patients reaching errors were significantly more shifted consistently with the pathological belief, i.e., as if they planned movements from the position of the alien (embodied) hand, as compared to controls. Furthermore, with an additional experiment on healthy participants, we demonstrated that reaching errors observed during the RHI correlate with the changes in ownership. In conclusion, our neuropsychological approach suggests that when planning a reach, we do so from where our owned hand is and not from its physical location.","DictElement({'Year': '2022', 'Month': '05', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2022,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2022.05.005,,Body ownership; Motor planning; Pathological embodiment; Proprioception,"Case Reports; Research Support, Non-U.S. Gov't",Italy,eng
21969696,The role of self-touch in somatosensory and body representation disorders after stroke.,"van Stralen, H E; van Zandvoort, M J E; Dijkerman, H C",van Stralen,"Somatosensory impairments occur in about half of the cases of stroke. These impairments range from primary deficits in tactile detection and the perception of features, to higher order impairments in haptic object recognition and bodily experience. In this paper, we review the influence of active- and self-touch on somatosensory impairments after stroke. Studies have shown that self-touch improves tactile detection in patients with primary tactile deficits. A small number of studies concerned with the effect of self-touch on bodily experience in healthy individuals have demonstrated that self-touch influences the structural representation of one's own body. In order to better understand the effect of self-touch on body representations, we present an informal study of a stroke patient with somatoparaphrenia and misoplegia. The role of self-touch on body ownership was investigated by asking the patient to stroke the impaired left hand and foreign hands. The patient reported ownership and a change in affect over all presented hands through self-touch. The time it took to accomplish ownership varied, based on the resemblance of the foreign hand to the patient's own hand. Our findings suggest that self-touch can modulate impairments in body ownership and affect, perhaps by helping to reinstate the representation of the body.",{},,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",10.1098/rstb.2011.0163,PMC3172603,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",England,eng
34258945,Rehabilitation of somatoparaphrenia with misoplegia: insights from a single case-pilot study.,"Maggio, Maria Grazia; Naro, Antonino; Calatozzo, Patrizia; Rosa, Gianluca La; Porcari, Bruno; Latella, Desiree; Marzullo, Pietro; Calabrò, Rocco Salvatore",Maggio,"Somatoparaphrenia lacka ownership of a paralyzed limb, i.e., the illusion that one's limbs belong to someone else. Somatoparaphrenia is one of the many forms of body misperceptions. We report a case of somatoparaphrenia with misoplegia, characterized by the absence of anosognosia for hemiplegia and personal neglect, following a surgical operation for left parietal meningioma. The patient received a novel multidisciplinary treatment, including motor rehabilitation training, traditional physiotherapy and robotic rehabilitation using the Hunova Movendo Technology and psychological counseling. At the end of the training, the patient improved in global cognitive functioning, mood, motor abilities, and the perception of herself and her body, reducing the sense of estrangement and repulsion in the lower right limb. Our result showed the importance of a specific neuropsychological assessment in patients with parietal brain lesions and the usefulness of an integrated psychological and motor approach in rehabilitating patients with somatoparaphrenia, primarily when associated with misoplegia.",{},,Journal of integrative neuroscience,10.31083/j.jin2002046,,Anosognosia; Body representation; Psychological counseling; Robotic device; Robotic rehabilitation,Case Reports,Singapore,eng
28128035,Functional Plasticity in the Absence of Structural Change.,"Krasovsky, Tal; Landa, Jana; Bar, Orly; Jaana, Ahonniska-Assa; Livny, Abigail; Tsarfaty, Galia; Silberg, Tamar",Krasovsky,"This work presents a case of a young woman with apraxia and a severe body scheme disorder, 10 years after a childhood frontal and occipitoparietal brain injury. Despite specific limitations, she is independent in performing all activities of daily living. A battery of tests was administered to evaluate praxis and body representations. Specifically, the Hand Laterality Test was used to compare RS's dynamic body representation to that of healthy controls (N = 14). Results demonstrated RS's severe praxis impairment, and the Hand Laterality Test revealed deficits in accuracy and latency of motor imagery, suggesting a significant impairment in dynamic body representation. However, semantic and structural body representations were intact. These results, coupled with frequent use of verbalizations as a strategy, suggest a possible ventral compensatory mechanism (top-down processing) for dorsal stream deficits, which may explain RS's remarkable recovery of activities of daily living. The link between praxis and dynamic body representation is discussed.","DictElement({'Year': '2017', 'Month': '01', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2017,Journal of child neurology,10.1177/0883073816688833,,Hand Laterality Test; TBI; motor imagery; parietal cortex; rehabilitation,Case Reports; Journal Article,United States,eng
12925946,Hearing of a presence.,"Blanke, Olaf; Ortigue, Stéphanie; Coeytaux, Alessandra; Martory, Marie-Dominique; Landis, Theodor",Blanke,"Here we describe a patient with epilepsy (secondary to left parieto-temporal brain damage) suffering from the paroxysmal unilateral experience of hearing a person in her near extrapersonal space. The paroxysmal auditory experience was associated with a deficit in spatial auditory perception and other paroxysmal disorders of somatognosia. Based on these findings, it is suggested that the paroxysmal hearing of a person nearby corresponds to an auditory disorder of somatognosia.",{},,Neurocase,10.1076/neur.9.4.329.15552,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
2657903,The impact of adolescent development on recovery from traumatic brain injury.,"Worthington, J",Worthington,"This article analyzes the role an adolescent's development plays in the recovery from traumatic brain injury. Erikson's model of psychosocial development is used to describe the characteristics of the adolescent head-injured patient. The role of family, peers, body image, and sexuality are discussed. Suggestions are offered regarding ways in which the rehabilitation practitioner can conduct comprehensive patient and family counseling and promote optimal developmental recovery after discharge from the rehabilitation facility.",{},,Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses,10.1002/j.2048-7940.1989.tb01073.x,,,Case Reports; Journal Article; Review,United States,eng
14683563,Supernumerary phantom limbs associated with left hemispheric stroke: case report and review of the literature.,"Miyazawa, Nobuhiko; Hayashi, Masataka; Komiya, Keiji; Akiyama, Iwao",Miyazawa,"Supernumerary phantom limb (SPL) is extremely rare. Literature reports noted 17 cases that occurred after right cerebral hemispheric stroke and 2 cases that occurred after left cerebral hemispheric stroke, but without imaging diagnoses. A 45-year-old male patient complained of SPLs on the right side after recurrent left thalamic hemorrhage. Computed tomography and magnetic resonance imaging demonstrated the lesion causing the left hemispheric stroke. The patient was treated conservatively. Computed tomographic scans demonstrated that the lesion had disappeared by 15 days after admission. The sensation of SPLs disappeared after 28 days. SPL may occur among patients with left hemispheric stroke, especially those with lesions in the thalamus, spastic paresis on the right side immediately after stroke, and psychiatric disorders such as alcohol and tobacco intoxication.",{},,Neurosurgery,10.1227/01.neu.0000097558.01639.f5,,,Case Reports; Journal Article; Review,United States,eng
31194981,The dynamic nature of the sense of ownership after brain injury. Clues from asomatognosia and somatoparaphrenia.,"Romano, Daniele; Maravita, Angelo",Romano,"The sense of ownership is the feeling that a body part belongs to ourselves. Brain damage may disrupt this feeling, leading to somatoparaphrenia (SP), i.e., the delusion that one's limbs belong to someone else. This delusional feeling is typically associated with profound motor and somatosensory deficits. We reviewed the cases of SP reported so far in the literature outlining the clinical and neuroanatomical profile of SP. We then investigated and reported three new peculiar cases of SP that allow new insights into the theoretical framework of this neuropsychological condition. We thus propose an innovative theoretical account that integrates previous evidence and the new cases described. We suggest that a defective update of the ongoing dynamic representation of the body finalised to perception and action, may be the key for the disownership feelings of patients with SP. The erroneous spatial representation of the limb contralateral to the lesion would have the logical consequence of delusional misattribution of the seen own arm.","DictElement({'Year': '2019', 'Month': '06', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2019,Neuropsychologia,10.1016/j.neuropsychologia.2019.107119,,Body awareness; Body ownership; Body representation; Body schema; Right brain damage; Somatoparaphrenia,Case Reports; Journal Article,England,eng
36260096,Selective effects of a brain tumor on the metric representation of the hand: a pre- versus post-surgery comparison.,"Mora, Laura; Committeri, Giorgia; Ciavarro, Marco; Cocchini, Gianna",Mora,"Body representation disorders are complex, varied, striking, and very disabling in most cases. Deficits of body representation have been described after lesions to multimodal and sensorimotor cortical areas. A few studies have reported the effects of tumors on the representation of the body, but little is known about the changes after tumor resection. Moreover, the impact of brain lesions on the hand size representation has been investigated in few clinical cases. Hands are of special importance, as no other body part has the ability for movement and interaction with the environment that the hands have, and we use them for a multitude of daily activities. Studies with clinical population can add further knowledge into the way hands are represented. Here, we report a single case study of a patient (AM) who was an expert bodybuilder and underwent a surgery to remove a glioblastoma in the left posterior prefrontal and precentral cortex at the level of the hand's motor region. Pre- (20 days) and post- (4 months) surgery assessment did not show any motor or cognitive impairments. A hand localization task was used, before and after surgery (12 months), to measure possible changes of the metric representation of his right hand. Results showed a post-surgery modulation of the typically distorted hand representation, with an overall accuracy improvement, especially on width dimension. These findings support the direct involvement of sensorimotor areas in the implicit representation of the body size and its relevance on defining specific size representation dimensions.","DictElement({'Year': '2022', 'Month': '10', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2022,Experimental brain research,10.1007/s00221-022-06475-8,PMC9678987,Body representation; Brain tumor; Hand size; Localization task; Metric representation; Sensorimotor areas,Case Reports; Journal Article,Germany,eng
