pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34334283,Sporadic Creutzfeldt-Jakob disease.,"Salehi, Parnia; Clark, Mark; Pinzon, Jeffer; Patil, Abhijit",Salehi,"Being considered among the most fatal neurological conditions, Creutzfeldt-Jakob disease is a transmissible spongiform encephalopathy characterized by its unknown etiology and rapidly progressive neurodegenerative symptoms that often lead to a mean survival of 6 to 12 months. The accumulation of the prionic protein causes brain matter degeneration, which leads to a set of clinical findings that include rapidly progressive dementia, myoclonus, tremors, cerebellar ataxia, and extrapyramidal signs. This clinical presentation is non-specific, which makes CJD a very difficult condition to diagnose, due to the low level of clinical suspicion. However, combining this clinical presentation with neuroimaging, a lumbar puncture and an encephalogram will help us make the correct diagnosis. We present the case of a 57-year-old male presenting to the Emergency department with complaint of personality change and intermittent memory loss. The patient's physical exam was significant for resting pill roll tremor, bilateral cogwheel rigidity, dysmetria, and shuffling gait. Magnetic resonance imaging of his brain showed symmetric bilateral diffusion signal abnormality involving the cortex, bilateral caudate heads and putamina. Continuous electroencephalogram revealed multiple bifrontal delta discharges with triphasic morphology. Lumbar puncture was significant for presence of 14-3-3 protein in cerebrospinal fluid. The multiple examinations performed in conjunction with the previous findings supported the diagnosis of acute encephalopathy secondary to sporadic CJD.","DictElement({'Year': '2021', 'Month': '07', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2021,The American journal of emergency medicine,10.1016/j.ajem.2021.07.038,,Creutzfeldt-jakob disease; Neurology; Parkinsonism,Case Reports; Journal Article,United States,eng
24398867,Extrapyramidal syndrome.,"Panda, Akhila Kumar; Bala, Kiran; Bhirud, Lomesh",Panda,"Organophosphate (OP) poisoning is a common occurrence in the rural areas of developing countries like India. Acute cholinergic crisis is one of the important causes of mortality related to OP poisoning. Delayed peripheral neuropathy, extrapyramidal syndromes and neuropsychiatric manifestations are the major consequences of secondary neuronal damage. This case illustrates a 14-year-old girl who ingested 50 mL of OP pesticide and developed extrapyramidal symptoms in the form of parkinsonism and hand dystonia in spite of immediate medical attention. MRI of the brain with T2, fluid attenuated inversion recovery and diffusion-weighted sequences revealed bilateral symmetrical basal ganglia hyperintensities. Further follow-up revealed a significant clinical improvement with marked resolutions of the brain lesions. The reversible extrapyramidal symptoms with disappearance of neuroimaging findings without neuropathy or neuropsychiatric manifestations are unusual in OP poisoning.","DictElement({'Year': '2014', 'Month': '01', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2014,BMJ case reports,10.1136/bcr-2013-009752,PMC3903097,,Journal Article; Case Reports,England,eng
26064861,Intracranial Meningioma-induced Parkinsonism.,"Kim, Ji-In; Choi, Jin Kyo; Lee, Jin-Woo; Hong, Jin Yong",Kim,"An intracranial tumor is a rare cause of secondary parkinsonism. Our patient presented to our clinic for recently-developed asymmetric parkinsonism without pyramidal signs. However, a meningioma located in the sphenoidal ridge was identified upon imaging studies. This case suggests that additional causes should be considered when approaching patients with parkinsonism and that imaging studies can provide useful information to make accurate diagnoses.","DictElement({'Year': '2014', 'Month': '09', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2014,Journal of lifestyle medicine,10.15280/jlm.2014.4.2.101,PMC4391021,Meningioma; PET; Parkinsonism,Case Reports,Korea (South),eng
34703448,Brain Tumor Presenting with Parkinsonism.,"Saleh, Christian; Akhalbedashvili, Nino; Hund-Georgiadis, Margret",Saleh,"Movement disorders caused by brain tumors are rare. The diagnosis of idiopathic Parkinson's disease (PD) is based foremost on clinical findings. However, not performing imaging already within the initial diagnostic workup in patients presenting with symptoms of PD can delay or miss a serious diagnosis and consequently proper treatment. We describe and discuss a 59-year-old female patient who presented for several months of increasing tremor in her left hand, which was caused by a large meningioma located in the right frontal area, pressing on the right frontal lobe and nucleus lenticularis.","DictElement({'Year': '2021', 'Month': '09', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2021,Case reports in neurology,10.1159/000518198,PMC8460956,Brain tumor; Diagnostic workup; Neuroimaging; Parkinsonism,Case Reports,Switzerland,eng
1481645,Vascular pseudoparkinsonism.,"Chang, C M; Yu, Y L; Ng, H K; Leung, S Y; Fong, K Y",Chang,"Vascular pseudoparkinsonism may be confused with idiopathic Parkinson's disease. Patients may be unnecessarily treated with anti-parkinsonian drugs while their underlying vascular disease is ignored. We investigated 250 parkinsonian patients seen in our Movement Disorders Clinic for a possible vascular etiology. After excluding those with a known secondary cause such as drug-induced parkinsonism, progressive supranuclear palsy, multiple system atrophy and hyperparathyroidism, brain computed tomography and/or magnetic resonance imaging were performed on those who showed poor or no response to levodopa. In those with an ischemic lesion demonstrated on neuroimaging, anti-parkinsonian drugs were stopped and the patients were reassessed. Eleven patients (4.4%) had ischemic brain lesions accounting for their parkinsonism. All were initially diagnosed as Parkinson's disease because of the prominence of bradykinesia and rigidity. Gait disturbance was also common, but resting tremor was distinctly absent. Three anatomical patterns with different prognosis were identified. Three patients with basal ganglia lacunar infarct recovered spontaneously, three with frontal lobe infarcts remained static and five with periventricular and deep subcortical white matter lesions had progressive deterioration. Autopsy in one patient confirmed bilateral frontal lobe watershed infarcts and the absence of brain stem Lewy bodies. Parkinsonian patients with poor or no response to levodopa therapy should be investigated for a vascular etiology.",{},,Acta neurologica Scandinavica,10.1111/j.1600-0404.1992.tb05492.x,,,Case Reports; Journal Article,Denmark,eng
39034585,Parkinsonism Associated with Snakebite.,"Verma, Rajesh; Prabhu, Vikas; Bal, K P Arjun",Verma,"Snakebites are a major cause of morbidity and mortality worldwide. Snake envenomation can cause acute local and systemic effects leading to severe complications, even death. Neurological complications such as intracranial hemorrhage, subarachnoid bleed, ischemic strokes, acute disseminated encephalomyelitis, and leukoencephalopathy have been reported. Anti-snake venom which forms the mainstay of therapy also has its own set of early and delayed complications. This report describes a rare case of snakebite resulting in leukoencephalopathy and parkinsonian features.","DictElement({'Year': '2024', 'Month': '07', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2024,Annals of African medicine,10.4103/aam.aam_151_23,PMC11364314,,Case Reports; Journal Article,India,fre; eng
19224314,Acquired hepatocerebral degeneration.,"Ferrara, Joseph; Jankovic, Joseph",Ferrara,"Cirrhosis and its co-morbidities may cause a variety of neurological complications, the most common being bouts of toxic metabolic encephalopathy. A proportion of patients with chronic liver disease develop acquired hepatocerebral degeneration (AHD), a chronic progressive neurological syndrome characterized by parkinsonism, ataxia and other movement disorders. This article reviews the clinical spectrum, pathophysiology, neuroimaging features and differential diagnosis of AHD along with emerging treatment options.","DictElement({'Year': '2009', 'Month': '02', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2009,Journal of neurology,10.1007/s00415-009-0144-7,,,Case Reports; Journal Article; Review,Germany,eng
37822438,An Interesting Case of Dengue Encephalitis With Parkinsonism Sequela.,"Kuraning, Kiran; Gupta Kv, Venkatesha; Murthy, Pooja; Kumar Ak, Ajith; N, Nikhil; H, Ganaraja V",Kuraning,"Expanded dengue syndrome has been associated with various neurological manifestations. In this report, we present a rare and interesting case of parkinsonism secondary to dengue encephalitis in a young female. A 25-year-old female was admitted to the ICU with high-grade fever, generalized weakness, and altered sensorium for two days. Meningoencephalitis workup was negative but she tested positive for dengue non-structural 1 (NS1) antigen. MRI brain showed a ""double doughnut sign"" consistent with viral encephalitis. She was managed with neuroprotective measures, a short course of steroids, and invasive mechanical ventilation via tracheostomy. During the course of her treatment, she developed left upper limb rigidity, involuntary movements, and gait abnormalities with generalized bradykinesia suggestive of dengue-associated parkinsonism. She responded well to trihexyphenidyl and levodopa with significant neurological recovery and was discharged from the hospital in a condition where she could independently walk with significant improvement in dystonia. Central nervous system involvement has been well documented in arboviral illnesses caused by neurotropic viruses. Dengue encephalitis with sequelae like parkinsonism is potentially treatable when identified appropriately and in a timely manner.","DictElement({'Year': '2023', 'Month': '09', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.44970,PMC10562877,arboviral illness; dengue; double doughnut sign; encephalitis; parkinsonism,Case Reports,United States,eng
37502226,Dural Arteriovenous Fistula-Derived Parkinsonism Symptoms: A Case Report with Literature Review.,"Tominaga, Atsushi; Kiura, Yoshinori; Kondo, Hiroshi; Takeshita, Shinichiro; Magaki, Takuro; Sakoguchi, Tetsuhiko; Maeda, Yuyo; Takeishi, Yusuke; Tsuyuguchi, Sayuru; Shiota, Daijo",Tominaga,"Parkinsonism caused by dural arteriovenous fistula (DAVF) is very rare, however, it is reversible by endovascular treatment. We herein report a case of parkinsonism caused by DAVF with review of previous literature. An 87-year-old woman with parkinsonism and dementia was admitted to our hospital with disturbance of consciousness and aggravated parkinsonism symptoms. Plain CT revealed low-density areas in the brainstem and left cerebellar peduncle. Magnetic resonance images revealed hyperintense lesions on FLAIR, which had elevated apparent diffusion coefficient (ADC) values, in the same lesion of plain CT. However, no edematous change was detected. CT angiograms revealed obstruction of the left transverse and sigmoid sinuses. Dilations of the left superior petrosal sinus, left petrosal vein, and pontine veins were also noted. A low-density area on plain CT had a contrast effect. Cerebral angiography revealed a DAVF involving the left transverse sinus and fed by the left occipital and left middle meningeal arteries. Transarterial embolization (TAE) with Onyx obliterated the DAVF, and parkinsonism symptoms gradually improved. We reviewed 21 DAVF-derived parkinsonism cases, most of which were treated by TAE. Recent cases were treated with Onyx. In many cases, parkinsonism improved after endovascular treatment. DAVF-derived parkinsonism is rare but treatable by endovascular therapy. DAVF should be one of the differential diagnosis of the parkinsonisms.","DictElement({'Year': '2021', 'Month': '08', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2021,Journal of neuroendovascular therapy,10.5797/jnet.cr.2021-0069,PMC10370557,Onyx; dementia; dural arteriovenous fistula; parkinsonism; transarterial endovascular treatment,Case Reports,Japan,eng
38249236,Recurrent Meningothelial Meningioma With Multiple Extensions: A Complex Case Study.,"Toader, Corneliu; Covache-Busuioc, Razvan-Adrian; Bratu, Bogdan-Gabriel; Glavan, Luca-Andrei; Serban, Matei; Ciurea, Alexandru Vladimir",Toader,"This case report presents a comprehensive analysis of a 67-year-old patient diagnosed in 2017 with meningothelial meningioma, focusing on the challenges of managing such tumors and their neurological implications. Meningiomas, being the most common benign intracranial neoplasms, have a notable research gap regarding their association with seizures and motor deficits. This patient, who had a history of depressive disorder, persistent cephalalgia syndrome, and ataxic gait, initially presented with symptoms including ataxic gait, confusion, and headache. Imaging revealed a large, hyperdense right frontal meningioma with a significant mass effect. Following surgical resection, the patient experienced notable neurological improvement. However, in 2023, the patient re-presented with bradypsychia, bradykinesia, and memory disorders, indicating a recurrent meningioma. This case exemplifies the recurrence and complex management of meningiomas, particularly in elderly patients, and highlights the importance of individualized treatment strategies. Surgical resection remains the primary treatment approach, supplemented by radiotherapy in cases of recurrence or incomplete resection. The case underscores the need for advancements in therapeutic approaches to mitigate recurrence risks and enhance patient outcomes in meningioma management. This is especially pertinent given the tumor's predilection for older females and its varied neurological manifestations, such as ataxic gait and seizures.","DictElement({'Year': '2023', 'Month': '12', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.50826,PMC10797656,ataxic gait; intracranial neoplasms; meningothelial meningioma; neurological complications; radiotherapy; seizure management; surgical resection; tumor recurrence,Case Reports,United States,eng
