pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33171423,A Rare Case of Capgras Syndrome in Moyamoya Disease.,"Koda, Kazuma; Otsuka, Yoshihisa; Yoneda, Yukihiro; Tsukamoto, Ryo; Kageyama, Yasufumi",Koda,"Moyamoya disease is a rare cerebrovascular disorder with unknown etiology and psychiatric symptoms occasionally manifest initially. Capgras syndrome is a unique neuropsychiatric symptom that is a delusional misidentification of a familiar person replaced by an identical imposter. We report the case of a 51-year-old woman with frontal lobe ischemic stroke caused by moyamoya disease, presenting with Capgras syndrome. Dysfunction of frontal areas may be attributable to development of Capgras syndrome.","DictElement({'Year': '2020', 'Month': '11', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2020,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2020.105432,,Capgras syndrome; Ischemic; Moyamoya diseasel; Stroke,Case Reports,United States,eng
25300957,"""Crossed"" somatoparaphrenia: an unusual new case and a review of the literature.","Perren, Fabienne; Heydrich, Lukas; Blanke, Olaf; Landis, Theodor",Perren,"Somatoparaphrenia is a delusional misidentification and confabulation of body parts, usually arm or hand, opposite to a cerebral lesion, generally of the ""minor"" right hemisphere. There is some controversy concerning lesion site (fronto-parietal; parieto-temporal; posterior insula, additional subcortical nuclei) or necessary associated symptoms (hemiparesis/plegia, anosognosia, neglect, position sense deficit). We here present a patient who is unusual in many respects, that is: (1) he is a right-hander with somatoparaphrenia after a ""dominant"" left-hemisphere lesion associated with aphasia and ideo-motor apraxia, but also with right hemineglect. He thus has ""crossed"" somatoparaphrenia; (2) his delusional misidentification concerned the right leg and not the arm or hand; (3) he has no anosognosia; (4) his proprioception is disturbed for the leg only; and (5) the lesion site is very posterior, a left occipito-parietal haemorrhage without involvement of the frontal lobe or the posterior insula. We present this case together with the seven other cases of ""crossed somatoparaphrenia"" with and without aphasia we found since 1935 in the literature and discuss their relevance in relation to the above controversies.","DictElement({'Year': '2014', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2014,Experimental brain research,10.1007/s00221-014-4101-z,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",Germany,eng
25724237,Cotard and Capgras syndrome after ischemic stroke.,"Sottile, Fabrizio; Bonanno, Lilla; Finzi, Giuseppina; Ascenti, Giorgio; Marino, Silvia; Bramanti, Placido; Corallo, Francesco",Sottile,"Capgras and Cotard are delusional misidentification syndromes characterized by delusions about oneself, others, places, and objects. To date, there are few cases of comorbidity of both syndromes. We describe a case of aphasic stroke patient affected by cerebral ischemia localized in right temporoparietal region. The patient showed a typical clinical picture of delusional disorder attributable, through psychological assessment, to comorbidity of both Capgras and Cotard syndromes.","DictElement({'Year': '2015', 'Month': '02', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2015,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2015.01.001,,Aphasia; Capgras syndrome; Cotard syndrome; misidentification diseases; stroke,Case Reports; Journal Article,United States,eng
28114093,[Cotard's syndrome: Case report and a brief review of literature].,"Moschopoulos, N P; Kaprinis, S; Nimatoudis, J",Moschopoulos,"The term ""Cotard's syndrome"" is used to describe a number of clinical features, mostly hypochondriac and nihilistic delusions, the most characteristic of which are the ideas ""I am dead"" and ""my internal organs do not exist"". Besides, anxious and depressed mood, delusions of damnation, possession and immortality, suicidal and self-mutilating behavior are included. The first description of the syndrome was made in 1880 by Cotard, who presented the case of a female patient in a lecture. He originally named it ""hypochondriac delusion"", and some years later ""delusion of negations"", while it was named ""Cotard delusion"" after his death. In international literature, the terms ""nihilistic delusion"" and ""Cotard's syndrome"" prevailed over ""delusion of negations"" and ""Cotard delusion"". In the present study we report the case of a 59 year-old woman, who was admitted to our department after a suicide attempt, and who showed symptoms of Cotard's syndrome for about two years, namely depressed mood, hypochondriac and nihilistic delusions, delusions of immortality and damnation, suicidal ideation, severe psychomotor retardation, diminished motivation and tendency to stay in bed. She never took the medication she was prescribed, and at times she refused to eat. During her hospitalization, there was performed a full blood panel and medical imaging, that showed chronic ischemic infarctions, periventricular leukoencephalopathy and diffuse cerebral atrophy in MRI. All the other test results were normal. She was administered treatment with haloperidol, mirtazapine and venlafaxine. Gradually, her psychomotor ability, motivation and mood improved, she didn't express suicidal ideation, her delusions were less intense and she was able to question them, but they weren't eliminated. She was discharged in improved condition, after 44 days. Cotard's syndrome isn't mentioned in the current classification systems (ICD-10, DSM-5). In literature though, it has been divided into three types, according to the clinical symptoms: psychotic depression, Cotard type I, and Cotard type II, and three stages have been proposed: germination stage, blooming stage and chronic stage. It has been associated with various medical conditions, such as cerebral infractions, frontotemporal atrophy, epilepsy, encephalitis, brain tumors, traumatic brain injury. Furthermore, it has been associated with psychiatric conditions, such as mental retardation, postpartum depression, depersonalization disorder, catatonia, Capgras syndrome, Fregoli syndrome, Odysseus syndrome, koro syndrome. Several reports about successful pharmacological treatments have been published, both monotherapies with antidepressants, antipsychotics or lithium, and by antidepressant and antipsychotic combination treatments. The most reported successful treatment strategy for Cotard's syndrome is electroconvulsive therapy (ECT), administration of which should follow current treatment guidelines of the underlying conditions.",{},,Psychiatrike = Psychiatriki,10.22365/jpsych.2016.274.296,,,Case Reports; Journal Article; Review,Greece,gre
34177534,Epileptic Capgras-Like Delusions in a Patient with Right Frontal Meningioma: Case Report.,"Colombo, Eleonora; Messina, Stefano; Verde, Federico; Locatelli, Marco; Poletti, Barbara; Silani, Vincenzo; Ticozzi, Nicola",Colombo,"Capgras syndrome is a condition characterized by the belief that a relative has been replaced by an almost identical imposter. The disorder has been reported in several neurological diseases. We describe the uncommon case of a transient Capgras syndrome manifesting as focal temporal seizures in a woman with a right frontal meningioma. Our patient represents an exceptional case of Capgras syndrome for several reasons, namely, the association with meningioma, very rarely reported before, the transient manifestation of symptoms, and, most importantly, the epileptic etiology of reduplicative paramnesias. Lastly, our report also confirms the importance of frontal and right hemisphere dysfunction in generating Capgras syndrome-like delusions.","DictElement({'Year': '2021', 'Month': '05', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2021,Case reports in neurology,10.1159/000513675,PMC8215999,Capgras syndrome; Epilepsy; Meningioma; Seizure,Case Reports,Switzerland,eng
31977238,The behavioral presentation of an individual with a disordered sense of self.,"Johnstone, Brick; Kvandal, Aimee; Winslow, Robin; Kilgore, Jocelyn; Guerra, Melissa",Johnstone,"There is increased recognition that the brain processes a ""sense of self"" (best understood as a sense of ""mineness"") in the right hemisphere association area and which can be distorted due to neurologic injury. Although there are numerous descriptions of types of disorders of the self (e.g., asomatognosia, anosognosia, mirror misidentification disorder, Capgras syndrome, schizophrenia), there are few descriptions of the subjective experiences of individuals with traumatic brain injury (TBI) who experience a reduced sense of self. This article presents a longitudinal case study of a woman in her early 40s with a primarily right hemisphere TBI and disorder of the self who had difficulties relating her experiences from the perspective of the self. Subjective interviews, neuropsychological test scores, and objective personality testing illustrate how she reported her experiences of a diminished sense of self, and how this sense of self improved over the normal course of recovery following the TBI. This case demonstrates clinically relevant information regarding how individuals with a reduced ""sense of self"" (i.e., ""mineness"") associated with a right hemisphere TBI may report their subjective experiences and perform on objective testing.","DictElement({'Year': '2020', 'Month': '01', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2020,Brain injury,10.1080/02699052.2020.1717622,,Traumatic brain injury; disorder of the self; right hemisphere parietal lobe; sense of self,Case Reports; Journal Article,England,eng
33754087,A Rare Report of Clinical Lycanthropy in Obsessive-Compulsive and Related Disorders.,"Mudgal, Varchasvi; Alam, Mohd R; Niranjan, Vijay; Jain, Priyash; Pal, Virendra S",Mudgal,"Lycanthropy is a rare variant of a delusional misidentification syndrome specifically reverse inter-metamorphosis where patients believe that they are experiencing transformation or have transformed into an animal. A case report of this phenomenon is discussed. We report the lycanthropy phenomenon of a 25-year-old male who believed himself to be transformed into a buffalo after bestiality along with developing obsessive-compulsive features. A case report along with a literature review forms the basis of discussion. Clinical lycanthropy has been reported with various neuropsychiatric conditions including primary psychotic and affective conditions, drug intoxication and withdrawal, cerebrovascular disease, traumatic brain injury, dementia, delirium, and seizures, but its association in the context of obsessive-compulsive and related disorders (OCRDs) is a very rare finding. A differential of OCRD should be given due importance and managed accordingly when dealing with lycanthropy, which may help in early identification and management.","DictElement({'Year': '2021', 'Month': '02', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.13346,PMC7971710,clinical case report; lycanthropy; obsessive compulsive disorders; obsessive-compulsive symptoms,Case Reports,United States,eng
38259370,An Unusual Presentation of Delusional Companion Syndrome: A Case Report and Review of the Literature.,"Goldstein, Sabina; Jooryabi, David; Ammon, Katherine; Delaney, Joshua; Rodulfo, Alejandro",Goldstein,"Delusional companion syndrome, an uncommon subtype of delusional misidentification syndrome, has no prior reported cases in patients with primary psychotic disorders. We report a case of delusional companion syndrome in the absence of any organic brain disease, stroke, or severe brain injury, in a young female with schizophrenia. The patient is a 29-year-old G3P3 female, with a history of schizophrenia and major depressive disorder, who, after recently losing custody of her children, presented to the pediatric emergency department for evaluation of her baby doll, which she believed to be her child because the doll wasn't eating or moving well. She became acutely agitated when providers declined to insert an IV line to hydrate the doll and required emergency treatment orders to de-escalate. The patient was admitted to the inpatient psychiatric unit and treated with oral aripiprazole 10 mg, before transitioning to her previous treatment of aripiprazole lauroxil at an increased dose of 882 mg monthly. By the end of admission, the patient grasped that the doll was a toy that had never been alive. This case demonstrates how delusional companion syndrome can occur in young patients with primary psychotic disorders, without a causative neurological insult, and can be treated with antipsychotics. More studies are necessary to further explore the relationship between primary psychotic disorders and delusional companion syndrome.","DictElement({'Year': '2023', 'Month': '12', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.51007,PMC10803181,antipsychotics; delusional-companion-syndrome; delusional-misidentification-syndrome; reproductive-psychiatry; schizophrenia,Case Reports,United States,eng
29927800,Transient Capgras Syndrome Secondary to Bilateral Ischemic Stroke: A Case Report.,"Garcha, Manveer; Sivakumar, Keithan; Leary, Megan; Yacoub, Hussam A",Garcha,"Capgras syndrome is one of a variety of delusional misidentification syndromes that can be associated with acute ischemic stroke, neurodegenerative disease, or metabolic conditions. Most cases reported in the literature are associated with frontal and/or parietal lobe involvement. Transient Capgras syndrome is rare but has been reported. We present a case of transient Capgras syndrome following bilateral cerebral ischemic infarcts in the frontal, parietal, and temporal regions, and involving the right prefrontal cortex. To our knowledge, transient Capgras syndrome with rapid resolution over a period of days is rare.",{},,Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology,10.1097/WNN.0000000000000152,,,Case Reports; Journal Article,United States,eng
7846242,The Capgras and Cotard delusions.,"Young, A W; Leafhead, K M; Szulecka, T K",Young,"We explore the relation between the Capgras delusion (the belief that your relatives have been replaced by impostors) and the Cotard delusion (the delusional belief that you have died). At first sight, these delusions would seem to have little to do with each other, except that they both involve bizarre claims about existence (for self or others). On closer examination, however, there are other parallels. Here, we summarise similarities in associated impairments of face perception, and argue that both delusions reflect an interaction of impairments at two levels. One set of contributory factors involves perceptual impairment, or anomalous perceptual experience. The other factors lead to an incorrect interpretation of this, for which we offer an explanation in terms of attribution theory. Although the Capgras and Cotard delusions are phenomenally distinct, they may therefore represent attempts to make sense of fundamentally similar experiences.",{},,Psychopathology,10.1159/000284874,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Switzerland,eng
2084656,Capgras' syndrome with organic disorders.,"Collins, M N; Hawthorne, M E; Gribbin, N; Jacobson, R",Collins,"Capgras' syndrome, one form of the delusional misidentification syndromes, is described. Three patients with the syndrome are reported. The first had a right cerebral infarction, the second had nephrotic syndrome secondary to severe pre-eclampsia in the puerperium, and the third had uncontrolled diabetes mellitus with dementia. Evidence is reviewed regarding an organic aetiology for Capgras' syndrome. We conclude that, when the syndrome is present, a thorough search for organic disorder should be made.",{},,Postgraduate medical journal,10.1136/pgmj.66.782.1064,PMC2429773,,Case Reports; Journal Article,England,eng
