pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
36760190,[Not Available].,"Isenberg, Asher Lou; Haugbøl, Steven",Isenberg,"Sudden pain of the eye, nose or face can be a symptom of stroke located to the pons. This case report is about a 73-year-old women with acute debut of right-sided hemiparesis, ataxia, gait disturbance, dysarthria, hemisensory defects and contralateral burning eye pain. MRI showed acute ischaemia of the left pons. The case adds to the growing literature of this rare presentation of posterior circulation stroke.",{},,Ugeskrift for laeger,,,,Case Reports; English Abstract; Journal Article,Denmark,dan
24210074,Thalamic cramplike pain.,"Sposato, Luciano A; Sharma, Harish A; Khan, Ali R; Bartha, Robert; Hachinski, Vladimir",Sposato,"We describe a case of cramplike pain after a left thalamic ischemic stroke, a neglected type of central post-stroke pain and we describe its neuroanatomical correlates. A 68-year-old right-handed man presented with right arm, leg, and flank cramplike pain noted upon awakening. Neurological examination was normal, with no evidence of objective sensory abnormalities. Because of the nature of the pain and the preserved sensory function, we first did not consider stroke as a potential cause, and suspected that pain was related to the combined effect of intense physical exercising on the right side and the use of statins. Diffusion-weighted magnetic resonance imaging showed an acute ischemic infarction within the left thalamus. By registering high-resolution 3 T T1-weighted and T2-weighted magnetic resonance images to the Talairach atlas, we showed the infarction is within the border between the pulvinar and the ventral posterior medial nuclei. Brodmann's areas 3, 1, 2, 4 and 6 were identified as the cortical correlates of the ischemic lesion by diffusion tensor tractography. Thalamic cramplike pain should be recognized as a type of central post-stroke pain, probably produced by lesions localized to the border between the ventral posterior and pulvinar nuclei and connected to the ipsilateral primary somatosensory cortex and primary and secondary motor cortices.","DictElement({'Year': '2013', 'Month': '10', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2013,Journal of the neurological sciences,10.1016/j.jns.2013.10.026,,Cerebrovascular; Cramps; Neuroanatomy; Pain; Stroke; Thalamus; Topography; Tractography,Case Reports; Journal Article,Netherlands,eng
31773142,Left atrial appendage aneurysm.,"Jiang, Bo; Wang, Xi; Liu, Feng; Song, Long",Jiang,"Left atrial appendage aneurysm is an infrequent abnormality presenting as atrial tachyarrhythmias, progressive dyspnoea, atypical chest pain and systemic thromboembolism. Surgical excision is considered to prevent fatal complications, even in asymptomatic cases. We describe the case of a 44-year-old woman with a history of acute cerebral infarction caused by emboli from a giant left atrial appendage aneurysm, which is the largest one reported to date. Histopathology and Masson staining confirmed the final diagnosis.",{},,Interactive cardiovascular and thoracic surgery,10.1093/icvts/ivz283,,Cerebral infarction; Complication; Left atrial appendage aneurysm; Surgical technique,Case Reports; Journal Article,England,eng
33944857,Spinal cord infarction. A case report and narrative review.,"Pigna, Federica; Lana, Silvia; Bellini, Carlotta; Bonfanti, Laura; Creta, Michele; Cervellin, Gianfranco",Pigna,"Spinal cord infarction is a rare but severe disorder, consistently less frequent than ischemic brain injury. It constitutes only 1-2% of all neurological vascular emergencies. Here we describe a case of spinal cord infarction in a 68-year-old Caucasian man without any neurological problem in his clinical history. The patient presented to the Emergency Department complaining for sudden onset of lower limbs weakness, as well as pain and mild loss of sensitivity in both legs. These symptoms suddenly arose after a 10 minutes bicycle race. He underwent a CT angiography, which confirmed the presence of a fusiform aneurysm of infra-renal abdominal aorta with thrombotic apposition on right lateral side and some ulcerated thrombi. As such, the patient underwent a spinal cord Magnetic Resonance Imaging, that showed images compatible with an acute ischemic injury (infarction) from D11 to medullary cone. He was then treated with low molecular weight heparin, aspirin, and methylprednisolone, and was then admitted to the Stroke Unit. He gradually regained lower limbs sensitivity totally, but the strength was only partially restored. Although a rare entity, Emergency Physicians should always keep in mind this possibility when evaluating patients with sudden loss of sensitivity and/or strength in their lower limbs.","DictElement({'Year': '2021', 'Month': '04', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2021,Acta bio-medica : Atenei Parmensis,10.23750/abm.v92iS1.8395,PMC8142748,,Case Reports; Journal Article; Review,Italy,eng
34941037,Management of pancreatic arteriovenous malformation: Case report and literature review.,"Wu, Wei; An, Feng-Duo; Piao, Cheng-Lin; Tan, Ming-Kun; Si, Zhen-Duo; Xin, Lan; Zhao, Na; Leng, Jian-Jun",Wu,"Pancreatic arteriovenous malformation (P-AVM) is a rare vascular malformation. Fewer than 200 cases have been reported. The clinical manifestations lack specificity. Common symptoms include abdominal pain, gastrointestinal hemorrhage, and jaundice, which is easily confused with other disorders. A 42-year-old man received TAE due to abdominal pain caused by P-AVM in a local hospital, melena and abdominal pain occurred in a short time after TAE. The patient was diagnosed as P-AVM which was confirmed by computed tomography and digital subtraction angiography. A pylorus-preserving pancreatoduodenectomy was successfully performed after diagnosis was made. The patient recovered with no complications two weeks after surgery, and no sign of recurrence was found during the 4-mo follow-up period. In our experience, TAE may have limitations in the treatment of P-AVM and surgical resection should be considered as the treatment of choice.",{},,Medicine,10.1097/MD.0000000000027983,PMC8702121,,Case Reports; Journal Article; Review,United States,eng
19290482,Primary leptomeningeal oligodendrogliomatosis.,"Mathews, Marlon S; Paré, Laura S; Kuo, Jeffery V; Kim, Ronald C",Mathews,"Primary leptomeningeal oligodendrogliomas (PLOs) are rare intracranial malignancies where tumors grow in the subarachnoid space without an obvious connection to the brain or spinal cord parenchyma. Adding to the three previously reported cases of PLO with no parenchymal involvement we report a fourth case of the same in this paper in a 50-year-old woman presenting with unrelenting headaches. CT scan of her head revealed hydrocephalus and MRI revealed diffuse enhancement of her leptomeninges throughout her brain and spine, prominent over the basilar region. Biopsy obtained using a frameless stereotactic biopsy showed sharply defined cell borders, clear cytoplasm, and rounded nuclei consistent with an oligodendroglioma. Our case suggests that PLO can mimic diffuse forms of granulomatous meningitis and should be suspected in patients that clinically and radiographically present like granulomatous meningitis but without blood or CSF markers for the same.","DictElement({'Year': '2009', 'Month': '03', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2009,Journal of neuro-oncology,10.1007/s11060-009-9821-8,PMC2724631,,Case Reports; Journal Article,United States,eng
35137349,Challenging the diagnosis of a posterior circulation dissecting aneurysm.,"Duloquin, Gauthier; Henon, Hilde; Pasi, Marco; Dequatre, Nelly; Della Schiava, Lucie; Kuchcinski, Gregory; Leclerc, Xavier; Cordonnier, Charlotte; Casolla, Barbara",Duloquin,"I ntracranial vertebral dissections have polymorphs clinical presentations and can lead to haemorrhagic complications if they are intracranial. We here describe a case of a thrombosed dissecting aneurysm of postero-inferior cerebellar artery (PICA) revealed by a Wallenberg syndrome preceded by headaches. A 23-year-old patient, without neurological or vascular past medical history, was admitted for dizziness preceded by headache. The clinical examination on admission revealed an incomplete Wallenberg syndrome, associating hemiface sensitive deficit, Horner's syndrome, dysmetria and nystagmus. The brain MRI showed a latero-medullary infarct with a homolateral PICA thrombosed dissecting aneurysm. The diagnosis of intracranial dissecting aneurysms needs particular caution because aneurysm sac thrombosis can give false reassurance on angiographic MR sequences. Moreover, the anatomic features of intracranial artery walls make them prone to sub-adventitial dissection and subsequent subarachnoid haemorrhages. Therefore, antithrombotic therapy should be used with caution, due to the risk of bleeding in these intracranial dissections.","DictElement({'Year': '2022', 'Month': '02', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2022,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-022-05923-1,,Aneurysm sac thrombosis; Arterial intracranial dissection; Dissection aneurysm; Ischemic stroke,Case Reports; Journal Article,Italy,eng
23611852,Central poststroke pain: current diagnosis and treatment.,"Flaster, Murray; Meresh, Edwin; Rao, Murali; Biller, José",Flaster,"Central post-stroke pain syndrome (CPSP) is a debilitating sequel that can follow thalamic sensory stroke. Less well recognized, CPSP follows lateral medullary stroke and parietal cortical stroke and may develop anywhere along the spinothalamic or trigemino-thalamic pathways. Patients describe sharp, stabbing, or burning pain and experience hyperpathia and especially allodynia. Although CPSP was first described over 100 years ago, CPSP is too frequently underrecognized. It is treatable disorder. Pharmacological therapy, magnetic stimulation, and invasive electrical stimulation are reviewed and recommendations made.",{},,Topics in stroke rehabilitation,10.1310/tsr2002-116,,,Case Reports; Journal Article; Review,England,eng
38206682,Homonymous hemianopia due to cerebral venous thrombosis: A case report.,"Choi, Woo Seok; Yoon, Sook Hyun; Lee, Donghun",Choi,"Diagnosing cerebral venous thrombosis (CVT) can be difficult because of nonspecific symptoms, such as headache and homonymous hemianopia (HH). Herein, we present a case of delayed CVT diagnosis due to nonspecific neurological symptoms and nonprominent lesions in a patient with HH. A 65-year-old woman presented with a sudden onset headache accompanied by right HH that lasted for 1 day. Brain computed tomography and magnetic resonance imaging were initially performed due to suspicion of ischemic lesions or hemorrhage in the left postchiasmal visual pathway; however, no remarkable acute brain lesions were detected. Ophthalmological examinations revealed no notable findings, except for a definite field defect in the Humphrey visual field test. The headaches then waxed and waned but recurred 3 days after the initial symptom.A repeat brain magnetic resonance imaging was performed, which revealed left sectoral gyral swelling and vascular enhancement in the occipital lobe. To further evaluate venous drainage, additional 3-dimensional cerebral computed tomography angiography and 4-vessel angiography were conducted, revealing a partial filling defect in the left transverse sinus and superior venous drainage impairment. These findings suggested the presence of venous thrombosis in the left transverse sinus. The patient was diagnosed with thrombosis of the left transverse sinus, which subsequently caused the right HH. Anticoagulation therapy with parenteral heparin was started as soon as the diagnosis of CVT was confirmed. Eventually, the patient was solely managed with oral warfarin administration. Following 3 days of treatment, her headache resolved, and a subsequent visual field testing conducted 2 weeks later revealed a definite improvement in the field defect. Despite its favorable prognosis, CVT can be challenging to diagnose. CVT should be considered as a differential diagnosis when diagnosing patients who present with headaches accompanied by HH without prominent brain lesions.",{},,Medicine,10.1097/MD.0000000000036204,PMC10754574,,Case Reports; Journal Article,United States,eng
15261496,Linear accelerator thalamotomy.,"Frighetto, Leonardo; De Salles, Antonio; Wallace, Robert; Ford, Judith; Selch, Michael; Cabatan-Awang, Cynthia; Solberg, Timothy",Frighetto,"The capability of performing functional radiosurgery lesions in the brain using a dedicated linear accelerator (LINAC) have not yet been demonstrated. This study evaluates modern LINAC technology for the creation of a sharp, small and functionally eloquent lesion in the thalamus. Three patients underwent thalamotomy using a dedicated linear accelerator to radiosurgery, 2 females and 1 male, ages were 52, 53, and 73 years. Two patients presented with unilateral poststroke central pain and 1 with unilateral upper extremity pain secondary to metastatic infiltration of the brachial plexus. Maximal doses varied from 150 to 200 Gy, delivered by a 5-mm diameter collimator and 5 to 8 noncoplanar arcs evenly distributed. All patients gained substantial relief of their pain. They were able to reduce their medications and improve their activity levels. The patient with end-stage metastatic disease died of his malignancy 2 weeks after the treatment. One patient presented with recurrence of the pain 4 months after the treatment. No clinical complications were noticed. A dedicated linear accelerator is able to perform a precise and circumscribed lesion in the thalamus for pain control. Moreover, it proved to be safe, because no complications were observed. For patients using chronic anticoagulant therapy or with severe disabilities caused by cardiac, pulmonary or malignant diseases, this technique represents an alternative of treatment to radiofrequency thalamotomy.",{},,Surgical neurology,10.1016/j.surneu.2003.08.033,,,Case Reports; Journal Article,United States,eng
