pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
29426369,Cervico-shoulder dystonia following lateral medullary infarction: a case report and review of the literature.,"Ogawa, Takashi; Shojima, Yuri; Kuroki, Takuma; Eguchi, Hiroto; Hattori, Nobutaka; Miwa, Hideto",Ogawa,"Secondary cervical dystonia is induced by organic brain lesions involving the basal ganglia, thalamus, cerebellum, and brain stem. It is extremely rare to see cervical dystonia induced by a medullary lesion. We report a case of an 86-year-old Japanese woman who developed cervical dystonia following lateral medullary infarction. She developed sudden-onset left upper and lower extremity weakness, right-side numbness, and dysarthria. Brain magnetic resonance imaging revealed an acute ischemic lesion involving the left lateral and dorsal medullae. A few days after her stroke, she complained of a taut sensation in her left neck and body, and cervico-shoulder dystonia toward the contralateral side subsequently appeared. Within a few weeks, it disappeared spontaneously, but her hemiplegia remained residual. To date, to the best of our knowledge, there has been only one reported case of cervical dystonia associated with a single medullary lesion. It is interesting to note the similarities in the clinical characteristics of the previously reported case and our patient: the involvement of the dorsal and caudal parts of the medullary and associated ipsilateral hemiplegia. The present case may support the speculation that the lateral and caudal regions of the medulla may be the anatomical sites responsible for inducing cervical dystonia.","DictElement({'Year': '2018', 'Month': '02', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2018,Journal of medical case reports,10.1186/s13256-018-1561-y,PMC5807857,Case report; Cervical dystonia; Lateral medullary infarction; Literature review; Opalski’s syndrome,Case Reports; Journal Article; Review,England,eng
15390063,Natural history of posttraumatic cervical dystonia.,"Frei, Karen P; Pathak, Mayank; Jenkins, Stephen; Truong, Daniel D",Frei,"We studied a case series of 9 patients with posttraumatic cervical dystonia, in whom involuntary muscle spasms and abnormal head postures occurred within 7 days after cervical injury. Patients were examined, treated with botulinum toxin as necessary, and were followed up to 5 years. Based on our observations of these cases, we propose that complex regional pain syndrome (CRPS) could represent a variant of posttraumatic cervical dystonia that may develop over time after the initiation of dystonia.",{},,Movement disorders : official journal of the Movement Disorder Society,10.1002/mds.20239,,,Case Reports; Journal Article; Review,United States,eng
12518301,Secondary cervical dystonia associated with structural lesions of the central nervous system.,"LeDoux, Mark S; Brady, Kimberly A",LeDoux,"We tested the hypothesis that structural lesions of the central nervous system (CNS) associated with cervical dystonia more commonly involve the cerebellum and its primary afferent pathways than basal ganglia structures. Cervical dystonia is the most common focal dystonia, the majority of cases are idiopathic, and only a small percentage of patients have a family history of dystonia or other movement disorders. Pathophysiological mechanisms operative in solely or predominantly appendicular dystonias such as writer's cramp and Oppenheim's dystonia, respectively, may not be directly applicable to axial dystonias. The localization of structural lesions of the CNS associated with secondary cervical dystonia may provide some insight into the neural structures potentially involved in primary cervical dystonia. The National Library of Medicine Gateway (from 1960) and a clinical database maintained by the senior author (from 1999) were searched for cases of secondary cervical dystonia associated with structural lesions of the CNS. Search terms included one or more of the following: dystonia, torticollis, cervical, secondary, and symptomatic. Lesion localization and type, patient age, patient gender, head position, occurrence of sensory tricks, and associated neurological findings were tabulated for each case. Structural lesions associated with cervical dystonia were most commonly localized to the brainstem and cerebellum. The remaining cases were equally divided between the cervical spinal cord and basal ganglia. Although inconsistent, head rotation tended to be contralateral to lesion localization. Additional neurological abnormalities were present in the majority of patients with secondary cervical dystonia. The relative paucity of basal ganglia pathology and concentration of lesions in the brainstem, cerebellum, and cervical spinal cord in patients with secondary cervical dystonia suggests that dysfunction of cerebellar afferent pathways may be important to the pathophysiology of primary cervical dystonia.",{},,Movement disorders : official journal of the Movement Disorder Society,10.1002/mds.10301,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review",United States,eng
29213484,Percheron thalamopeduncular syndrome with cervical dystonia: A case report.,"Vasconcellos, Luiz Felipe; Tiel, Chan; Sudo, Felipe Kenji; Moreira, Denise Madeira; Engelhardt, Eliasz",Vasconcellos,"Bilateral thalamic infarctions are usually caused by occlusion of the ""Artery of Percheron"" (AoP). Thalamopeduncular syndrome is among the most common presentations of AoP occlusion. A 59-year-old male presented abrupt decreased level of consciousness. After several weeks, on regaining consciousness, he exhibited oculomotor abnormalities, ataxic gait, cervical dystonia, and cognitive and behavioral changes. Magnetic resonance imaging disclosed thalamic, subthalamic, mammillary and midbrain infarction. Clinical features suggestive of bilateral thalamopeduncular syndrome were identified. Besides the presence of cognitive impairment and behavioral symptoms, cervical dystonia was evident, possibly resulting from interruption of the interconnections among basal ganglia, thalamus, subthalamus, midbrain and cerebellum.",{},,Dementia & neuropsychologia,10.1590/s1980-5764-2016dn1004019,PMC5619280,artery of Percheron; cervical dystonia; thalamopeduncular syndrome; torticollis; vascular dementia,Case Reports,Brazil,eng
30701298,Microvascular decompression with partial occipital condylectomy in a case of pediatric spasmodic torticollis.,"Graupman, Patrick; Feyma, Timothy; Sorenson, Thomas; Nussbaum, Eric S",Graupman,"Spasmodic torticollis is a rare, neurologic disorder that is caused by abnormal nerve compression of the 11th cranial nerve by blood vessels or bony protrusions. It is typically treated pharmacologically and, if necessary, with surgical intervention. We report a unique case of spasmodic torticollis in a 15-year-old female that involved abnormal compression of the left 11th cranial nerve (CN) by the left vertebral artery, displaced by a hypertrophic left occipital condyle. After treatment with Botox was unsuccessful, the patient was treated with microvascular decompression and occipital condylectomy that adequately relieved the abnormal compression of CN XI. Mild symptoms persisted, and the patient underwent a partial section of the sternocleidomastoid muscle 1 year later, after which torticollis symptoms resolved.","DictElement({'Year': '2019', 'Month': '01', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2019,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,10.1007/s00381-019-04065-8,,Accessory nerve; Microvascular decompression; Spasmodic torticollis; Torticollis,Case Reports; Journal Article,Germany,eng
9159745,Cervical dystonia associated with tumors of the posterior fossa.,"Krauss, J K; Seeger, W; Jankovic, J",Krauss,"Cervical dystonia was associated with posterior fossa tumors in three patients. The onset of dystonia paralleled the appearance of other focal neurologic signs. All patients had extraaxial tumors located in the cerebellopontine angle that were removed via suboccipital approaches. The tumors were identified as schwannomas arising from the glossopharyngeal nerve and from the vagus/accessory nerves; and a meningioma. Postoperatively, the cervical dystonia improved markedly during a period of 8 years in one patient, and it remitted completely within 1 year in another patient. In the third patient, cervical dystonia persisted. The combination of the clinical findings and the temporal relationship of their appearance suggest a causal association between the posterior fossa tumors and cervical dystonia in three cases. Possible pathogenic mechanisms are reviewed.",{},,Movement disorders : official journal of the Movement Disorder Society,10.1002/mds.870120329,,,Case Reports; Journal Article,United States,eng
18361471,Cervical dystonia due to cerebellar stroke.,"Zadro, Ivana; Brinar, Vesna V; Barun, Barbara; Ozretić, David; Habek, Mario",Zadro,,{},,Movement disorders : official journal of the Movement Disorder Society,10.1002/mds.21981,,,Case Reports; Letter,United States,eng
8474493,Basal ganglia infarction as a possible cause of cervical dystonia.,"Molho, E S; Factor, S A",Molho,"Cervical dystonia (CD) is usually an idiopathic disorder that results in abnormal movements and painful postures of the neck. Although symptomatic CD caused by focal CNS lesions has been described in the literature, it is an exceedingly rare phenomenon. We report two women who had an abrupt onset of CD at the ages of 39 and 68 years. Each patient had rotation of the head to the right and was found to have a lacunar infarction in the left putamen on magnetic resonance imaging scan. The abrupt onset of symptoms and appropriate location and laterality of the cerebral lesions suggest an etiologic link between the infarctions and the patients' CD. These cases are the first reports of CD possibly caused by basal ganglia infarction.",{},,Movement disorders : official journal of the Movement Disorder Society,10.1002/mds.870080219,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
28320157,Focal cervical dystonia presents in the setting of acute cerebellar hemorrhage.,"Wagle Shukla, Aparna; De Jesus, Sol; Meng, Fan-Gang; Hu, Wei",Wagle Shukla,,"DictElement({'Year': '2016', 'Month': '12', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2016,Journal of the neurological sciences,10.1016/j.jns.2016.12.037,,Cerebellum; Dystonia; Intracerebral hemorrhage; Stroke,"Case Reports; Letter; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Video-Audio Media",Netherlands,eng
18053867,Secondary cervical dystonia following stereotactic radiosurgery in a patient with thalamic glioma.,"Yamada, Kazumichi; Takeshima, Hideo; Sakurama, Tomotaka; Kuratsu, Jun-Ichi",Yamada,"Cervical dystonia associated with structural lesion is uncommon. We report the first patient with secondary CD after stereotactic radiosurgery for thalamic glioma. Possible network abnormalities relevant to manifestation of CD were discussed. A 27-year-old woman complaining of headache and left motor weakness was found to have a thalamic tumor on the right side. The lesion was totally removed using transventricular approach. Histopathologically, tumor samples manifested features of anaplastic astrocytoma. She underwent stereotactic radiosurgery in addition to the conventional radiation and chemotherapy. Afterward, she returned to her usual life without any neurological deficits. Sixteen months postoperatively, the patient developed forced head tilting to the left side combined with chin lift. On the TWSTRS, she registered 15 for torticollis severity. The abnormal head posturing was alleviated by the sensory trick of touching her face with her right hand. Irregular-shaped lesion involving the thalamus, lenticular nuclei, midbrain, pons, and cerebellum was presented on magnetic resonance images. Steroid therapy effectively diminished the lesion size, and her abnormal head posturing was gradually ameliorated (TWSTRS severity scale = 3). The clinical-neuroradiological course of the present case strongly suggested that the lesion detected long after the surgery was due to radiation necrosis. The present study may provide a critical information in understanding pathophysiological mechanisms of CD that may involve substantial interactions between olivocerebellar and basal ganglia-thalamocortical circuits.",{},,Surgical neurology,10.1016/j.surneu.2006.11.034,,,Case Reports; Journal Article,United States,eng
