pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
37828390,"Footloose (footloose), footloose.","Mumoli, Laura; Magro, Giuseppe; Bosco, Domenico",Mumoli,"A 78-year-old woman without past relevant medical history presented to the emergency department for acute transient dysarthria. NIHSS was 0/42. Neurological examination revealed chorea-like movements over the left limbs, especially the foot. No other neurological signs were present. CT perfusion showed right cortical hypoperfusion due to right M2 occlusion, basal-ganglia perfusion was normal. Brain MRI revealed a small focus of restricted diffusion in the right insula, sparing basal ganglia. Based on the neuroimaging features and clinical correlation, despite the NIHSS score, we decided to treat the patient with alteplase, after iv-thrombolysis hyperkinetic movements ceased completely. Brain-MRI performed 72 h after symptom onset confirmed a confined insular ischemic lesion without the involvement of deep gray matter structures. Hyperkinetic movement disorders, such as hemichorea hemiballismus, are rare presentations of stroke, basal ganglia are mainly involved even if the insular cortex has been described too. Clinical decision on whether to treat ischemic stroke does not include movement disorders. Our case underscores NIHSS limitations in clinical practice.","DictElement({'Year': '2023', 'Month': '10', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2023,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-023-07112-0,,Acute ischemic stroke; Hemichorea; Movement disorders; NIHSS limitations; Stroke,Case Reports; Journal Article,Italy,eng
24008760,Cortical hemichorea-hemiballism.,"Hwang, Kyoung Jin; Hong, Il Ki; Ahn, Tae-Beom; Yi, Sang Hun; Lee, Dokyung; Kim, Deog Yoon",Hwang,"Hemichorea-hemiballism (HCHB) was infrequently related to cortical lesions such as tumor or infarction. Although functional derangement of the basal ganglia (BG) or the thalamus (Th) was suggested, pathomechanism of HCHB secondary to cortical lesions remains uncertain. We recruited the patients with HCHB secondary to cerebrovascular diseases, excluding other causes such as hyperglycemia. All the patients were studied with brain magnetic resonance imaging/angiography (MRI/MRA) and single-photon emission computed tomography (SPECT). Those with only cortical abnormalities in neuroimaging studies were sorted out as the cases of cortical HCHB. Statistical parametric mapping (SPM) analysis of SPECT was performed to investigate the pathomechanism of cortical HCHB. Ten patients (three males and seven females) were included in our study. Six patients had acute BG lesions with SPECT abnormalities, and one had old BG lesions with abnormal SPECT. Three patients were classified as cortical HCHB with lesions only in the frontal and parietal cortices in MRI and SPECT. SPM analysis revealed additional hypoperfusion in frontal areas, leaving BG and Th free of any perfusion abnormalities. Although cortical HCHB was strictly defined by MRI and SPECT, cortical HCHB was not uncommon (30 %). Further analysis showed intertwined networks among the frontal and parietal lobes for cortical HCHB. Cortical dysfunction is important in the pathogenesis of cortical HCHB even without significant involvement of BG and Th.","DictElement({'Year': '2013', 'Month': '09', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2013,Journal of neurology,10.1007/s00415-013-7096-7,,,Case Reports; Journal Article,Germany,eng
30872840,[Hemichorea–hemiballismus].,"Alstadhaug, Karl Bjørnar; Karlberg, Merethe",Alstadhaug,,"DictElement({'Year': '2019', 'Month': '03', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2019,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",10.4045/tidsskr.18.0779,,,Case Reports; Video-Audio Media,Norway,nor
34507431,Uncommon Presentation of Rasmussen's Encephalitis.,"Vyas, Arvind; Ghunawat, Jaypalsing Ramdhan; Bagaria, Amit Kumar; Khandelwal, Dinesh",Vyas,"Rasmussen's encephalopathy (RE) is an uncommon neurological disease of inflammatory origin which is characterized by intractable focal epilepsy, progressive limb weakness, and cognitive deterioration. RE presenting as movement disorder like hemidystonia or hemichorea is a rare occurrence. The duration of prodromal stage of RE is usually in weeks or months. Prolonged prodromal stage like in years is rarely reported. Magnetic resonance imaging (MRI) is a good biomarker in RE and it also suggests the sequential progression of disease. Here we report two cases of RE, one presenting with hemidystonia and other case with unusually prolonged prodromal stage duration of 7 years. In spite of severe hemi-atrophy of brain in second case response to immunomodulators was dramatic.",{},,Neurology India,10.4103/0028-3886.325325,,Cerebellar diaschisis; Rasmussen's encephalopathy; hemi-dystonia; tacrolimus,Case Reports,India,eng
31351828,Pure Cortical Stroke Causing Hemichorea-Hemiballismus.,"Strauss, Sara; Rafie, Daniel; Nimma, Anitha; Romero, Raquel; Hanna, Philip A",Strauss,"Movement disorders including hemichorea-hemiballism as the initial presentation of an acute ischemic stroke are uncommon. Structures outside of the deep subcortical areas such as the subthalamic nucleus or basal ganglia are rarely involved. We report a case of a 72-year-old man with vascular risk factors who presented with acute onset right-sided hemichorea-hemiballism. Metabolic-, infectious-, and toxic-related conditions were ruled out, his EEG was without epileptiform changes. An MRI confirmed an acute ischemic stroke in the parieto-occipital region without any subcortical structures involved. Atrial Fibrillation was later discovered during his hospitalization and was treated appropriately. Although rare, strokes outside of the subthalamic nucleus can result in hemichorea-hemiballism.","DictElement({'Year': '2019', 'Month': '07', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2019,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2019.07.003,,Stroke—movement disorder—hemichorea—hemiballism,Case Reports; Journal Article,United States,eng
33708093,Hemichorea Neglect after Stroke.,"Aiba, Yosuke; Sakakibara, Ryuji; Ogata, Tsuyoshi; Tateno, Fuyuki",Aiba,"We report a case of a 74-year-old Japanese woman who, after left thalamic infarction, developed right hemichorea and its neglect. This rare finding was associated with ipsi- and contralateral brain perfusion changes, presumably reflecting de-afferentiation within the brain.","DictElement({'Year': '2021', 'Month': '01', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2021,Case reports in neurology,10.1159/000512266,PMC7923730,Hemichorea; Neglect; Striatum; Stroke,Case Reports,Switzerland,eng
25473878,Vascular hemichorea: case report and review.,"Martínez Alfonzo, Bárbara; Blanco, Andrés Enrique; Rojano, Jairo; Calleja, José Luis",Martínez Alfonzo,"Chorea rarely complicates ischemic or hemorrhagic cerebral vascular lesions. Clinical symptoms usually involve one side of the body while the injury is situated on the contralateral cerebral hemisphere. Spontaneous remission is the norm, but sometimes symptomatic treatment is required. A 58-year-old male patient who suffers from untreated high blood pressure, type II obesity, smokes 6 packs of cigarettes per year and has a moderate intake of alcohol is presented. The patient's recent history began three days before he appeared at the Emergency Department. His symptoms were ceaseless, involuntary movements in his left arm and foot during day and night with no restriction of voluntary movements. Physical examination and laboratory tests revealed no other findings. Magnetic resonance imaging of the brain showed hyperintensity in the right posterolateral thalamic region consistent with ischemic cerebrovascular disease. Symptomatic therapy was indicated and his underlying conditions were addressed. The importance of this case lies on the low prevalence as well as the scarcity of publications regarding vascular causes of hemichorea, including diagnosis, therapy and prognosis.","DictElement({'Year': '2014', 'Month': '04', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2014,Medwave,10.5867/medwave.2014.03.5936,,vascular hemichorea,Case Reports; Journal Article; Review,Chile,eng; spa
38050508,Acute Caudate Nucleus Stroke Presenting As Hemiballismus.,"Babici, Denis; Mohamed, Ali A; Mattner, Olivia; Demiraj, Francis; Hammond, Thomas",Babici,"Hemiballismus is defined as irregular, involuntary, large-amplitude flinging movements by the limbs, confined to one side of the body. Hemichorea refers to a state of excessive and irregularly timed, non-repetitive and randomly distributed, spontaneous, involuntary, and abrupt movements. It is widely believed that hemiballismus and chorea are suggestive of a lesion to the basal ganglia and subthalamic nucleus (STN). However, there are other etiologies that may influence the clinical presentation. Patients may present with certain common clinical features corresponding to the affected area of the brain. For example, infarctions of the motor cortex present with hemiplegia or paralysis of one side of the body. Similarly, infarctions involving the language areas of the brain present with aphasia and are detrimental to speech production or comprehension and the ability to read and write. Typically, acute-onset hemichorea is suggestive of a lesion in the STN. Herein, we present a rare case of acute hemiballismus and hemichorea following infarction of the left caudate nucleus, as determined by magnetic resonance imaging (MRI) and computerized tomography (CT) imaging modalities.","DictElement({'Year': '2023', 'Month': '11', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.48209,PMC10693717,basal ganglia infarction; basal ganglia stroke; chorea and hemiballismus; haloperidol; subthalamic nucleus,Case Reports,United States,eng
34430108,Cryptococcal Meningitis Causing Refractory Hemichorea-Hemiballismus Treated With Pallidotomy.,"Buell, Kevin G; Vickers, Brian P; Bloch, Karen C; Brown, Amy E; Hedera, Peter; Jermakowicz, Walter; Konrad, Peter E; Wesley Ely, E",Buell,"We report a case of a 31-year-old immunocompetent male who presented with altered mental status and agitation requiring intubation. As sedation was weaned, he demonstrated choreiform movements with associated hemiballismus of the right upper and lower extremities, and he was ultimately diagnosed with cryptococcal meningitis. The patient's chorea did not terminate after the completion of induction antifungal therapy and all pharmacologic options for the management of chorea were ineffective. He underwent a successful unilateral pallidotomy using standard stereotactic methodology targeting the posterior-ventral pallidum, and his choreiform movements dramatically improved post-operatively within 48 hours.","DictElement({'Year': '2021', 'Month': '07', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.16493,PMC8372680,cryptococcal meningitis; cryptococcus neoformans; hemiballismus; hemichorea; pallidotomy,Case Reports,United States,eng
38367007,Diabetic striatopathy: a case report.,"Guan, Yi; Yuan, Lu; Yuan, Lei",Guan,"Diabetic striatopathy, a rare condition also known as hyperglycemic nonketotic hemichorea, is characterized by chorea or hemiballismus and distinctive basal ganglia abnormalities visible on neuroimaging. We present the case of an 86-year-old woman with diabetic striatopathy exhibiting hemichorea. She had a history of poorly controlled type 2 diabetes and presented with involuntary movements of her left limb along with facial expressions suggestive of chorea. Laboratory tests confirmed hyperglycemia, with an elevated hemoglobin A1c level. Neuroimaging revealed T1-hyperintensity in the right basal ganglia. The patient was diagnosed with diabetic striatopathy and responded well to intensive insulin therapy with a rapid resolution of symptoms.","DictElement({'Year': '2024', 'Month': '02', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2024,Neurocase,10.1080/13554794.2024.2317788,,Diabetic striatopathy; chorea; hemichorea; hyperglycemic; neuroimaging,Case Reports; Journal Article,England,eng
