pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
29547203,Cerebral achromatopsia secondary to ischemic stroke.,"Zhou, Chenguang; He, Yuanhong; Li, Xiangying",Zhou,,{},,Neurology India,10.4103/0028-3886.227322,,,Case Reports; Journal Article; Review,India,eng
11557828,Localization of hemiachromatopsia.,"Short, R A; Graff-Radford, N R",Short,"Impaired color perception with relative preservation of form vision (achromatopsia) caused by cerebral lesions was first described over a century ago. However, for many years some researchers questioned the existence of an area of cerebral cortex apart from the primary visual cortex specialized in color processing. The development of sophisticated structural and functional neuroimaging techniques has allowed verification of the cortical structures important in color perception. We describe a case of a patient with impaired color perception in one hemifield of vision (hemiachromatopsia) and compare the localization of the lesion with previous cases described in the literature. These cases show that lesions of the ventromedial occipital cortex can impair color perception and leave form vision intact.",{},,Neurocase,10.1093/neucas/7.4.331,,,Case Reports; Journal Article,England,eng
14527501,Transient postoperative prosopagnosia.,"Mesad, Salah; Laff, Rachel; Devinsky, Orrin",Mesad,"A 23-year-old right-handed woman developed isolated transient prosopagnosia following surgical resection of a right posterior temporal seizure focus. At 18 years of age she had developed secondarily generalized tonic-clonic seizures. Preoperative neuropsychological evaluation was normal, and neurological examination revealed only a left superior quadrant achromatopsia. MRI revealed a circumscribed lesion in the right inferolateral temporo-occipital junction. Following surgery she was agitated for 36 hours, and afterward, when her attention and orientation improved, she was unable to recognize familiar faces. She could, however, recognize familiar voices. Her prosopagnosia resolved over the next 6-7 days. This case demonstrates that isolated prosopagnosia can occur in patients with lesions restricted to the right inferior posterior temporal-anterior occipital region. The temporary nature of the prosopagnosia may result from postsurgical tissue injury, including focal cerebral edema, with compensation by ipsilateral or contralateral areas.",{},,Epilepsy & behavior : E&B,10.1016/j.yebeh.2003.07.012,,,Case Reports; Journal Article,United States,eng
34098423,Neural bases of color-specific semantic loss: Two cases of object-color knowledge impairment.,"Oishi, Yuka; Nagasawa, Hikaru; Hirayama, Kazumi; Suzuki, Kyoko",Oishi,"Human color processing includes perception, naming, and knowledge of colors. These facets are dissociable from each other and appear to have discrete neuronal bases. Here, we present two cases with loss of object color knowledge but spared color perception and knowledge of object other than color. Case 1, a stroke patient with lesions in the left medial occipitotemporal lobe, is impaired in associating colors or color names with objects or object names. However, he demonstrated good color perception and well-preserved knowledge of object form, size, and functions. Case 2, another stroke patient with a lesion in the left fusiform and lingual gyri, showed anomia for colors and slight impairment in object color knowledge. Case 1 is the first subject to have complete loss of object color knowledge, including the verbal association between object and color names without impairment in object knowledge about perceptual properties other than color. These results indicate that color and object processing is comprised of numerous dissociable features with distinct neuronal bases. Further, they provide evidence supporting the critical role played by the left medial occipitotemporal region in color knowledge.","DictElement({'Year': '2021', 'Month': '05', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2021,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2021.04.014,,Case report; Color agnosia; Color anomia; Color knowledge; Fusiform gyrus,"Case Reports; Research Support, Non-U.S. Gov't",Italy,eng
30987454,Case of right hemispatial neglect and transcortical sensory aphasia following left occipitotemporoparietal glioblastoma resection.,"DeDios-Stern, Samantha; Durkin, Nicole M; Soble, Jason R",DeDios-Stern,"The neurobehavioral syndrome of hemispatial neglect, which can result from insults such as stroke, brain tumor, or head injury, has most frequently been described as occurring for the left-side of hemispace following lesions to the right hemisphere. While right hemispatial neglect/inattention may occur following left hemisphere lesions as well, it has received limited attention in the scientific literature. The present case describes an inpatient neuropsychological evaluation with a 67-year-old, African American man presenting with right hemispatial neglect following resection of a large glioblastoma in the left occipitotemporoparietal region. The evaluation included a clinical interview, neurobehavioral status examination, and a battery of neuropsychological tests. Results documented consistent evidence of right hemispatial neglect across the administered tests, which could not be attributed to an established right visual field cut. Neuropsychological testing also revealed nearly global deficits in complex visuoperception, posterior/receptive language, memory, and complex attention/executive functioning abilities, while basic attention remained intact. Further remarkable findings of this case included color anomia and transcortical sensory aphasia. Findings from the case are discussed in the context of the preexisting literature on hemispatial neglect and the theoretical specialization of the parietal lobe for spatial attention/awareness.","DictElement({'Year': '2019', 'Month': '04', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2019,Applied neuropsychology. Adult,10.1080/23279095.2019.1590357,,Assessment/diagnosis; aphasia; attention/perception; hemi-spatial neglect; neuropsychology,Case Reports; Journal Article,United States,eng
19944708,Anosognosia for cerebral achromatopsia--a longitudinal case study.,"von Arx, Sebastian W; Müri, René M; Heinemann, Doerthe; Hess, Christian W; Nyffeler, Thomas",von Arx,"Cerebral achromatopsia is a rare disorder of colour vision caused by bilateral damage to the occipito-temporal cortex. Patients with cerebral achromatopsia are commonly said to suffer due to their disturbed colour sense. Here, we report the case of a patient with cerebral achromatopsia who was initially unaware of his deficit, although three experiments with eye movement recordings demonstrated his severe inability to use colour information in everyday tasks. During two months, the evolution of his colour vision deficit was followed with repeated standardized colour vision tests and eye movement recordings. While his performance continuously improved, he became more and more aware of the deficit. Only after colour vision had almost normalized, his subjective colour sensation was inconspicuous again. The simultaneous occurrence of achromatopsia and the corresponding anosognosia and their parallel recovery suggest that both deficits were due to dysfunction of the same brain region. Consequently, the subjective experience of colour loss in achromatopsia may depend on the residual function of the damaged colour centre.","DictElement({'Year': '2009', 'Month': '11', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2009,Neuropsychologia,10.1016/j.neuropsychologia.2009.11.018,,,Case Reports; Journal Article,England,eng
28743415,Colour vision abnormality as the only manifestation of normal pressure hydrocephalus.,"Asensio-Sánchez, V M; Martín-Prieto, A",Asensio-Sánchez,The case is presented of a 73-year-old male patient who referred to having black and white vision. Computed tomography showed normal pressure hydrocephalus (NPH). Magnetic resonance imaging was not performed because the patient refused to undergo further examinations. Achromatopsia may be the first or only NPH symptom. It may be prudent to ask patients with NPH regarding colour vision.,"DictElement({'Year': '2017', 'Month': '07', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2017,Archivos de la Sociedad Espanola de Oftalmologia,10.1016/j.oftal.2017.06.011,,Acromatopsia cerebral; Brain damage; Cerebral achromatopsia; Corteza V4; Daño cerebral; Hidrocefalia; Hidrocefalia normotensiva; Hydrocephalus; Normal pressure hydrocephalus; V4 cortex,Case Reports; Journal Article,Spain,eng; spa
23687498,"The achromatic 'philosophical zombie', a syndrome of cerebral achromatopsia with color anopsognosia.","Carota, Antonio; Calabrese, Pasquale",Carota,"We describe a patient with persistent cerebral achromatopsia occurring after bilateral occipital strokes. Blinded color recognition was assessed with a computerized experimental paradigm and the patient reported the degree of confidence in the response exactness on a visual percent scale. Color recognition was accurate and above chance (Fisher's exact test, p < 0.002). The degree of confidence in the answers showed a significant correlation with recognition scores (Spearman rank order correlation, p < 0.0001). These findings constitute the exceptional condition of what we called color anopsognosia (not knowing of seeing colors) and recall the theoretic figure of the 'philosophical zombie'. However, the cognitive mechanisms of the dissociation between a subjective colorless vision and good performance for color naming still remain poorly understood.","DictElement({'Year': '2013', 'Month': '04', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2013,Case reports in neurology,10.1159/000351027,PMC3656676,Achromatopsia; Blindsight; Cerebral achromatopsia; Color agnosia; Color vision; Philosophical zombie,Case Reports,Switzerland,eng
23473619,The anatomy of cerebral achromatopsia: a reappraisal and comparison of two case reports.,"Bartolomeo, Paolo; Bachoud-Lévi, Anne-Catherine; Thiebaut de Schotten, Michel",Bartolomeo,"Brain damage can produce acquired deficits of color perception, or cerebral achromatopsia. In these patients, lesions tend to overlap on a restricted region in the ventral occipitotemporal cortex, close to the reported locations of the putative V4 complex and to foci of increased blood-oxygen-level-dependent (BOLD) activity related to color perception in normal participants. Unilateral lesions give rise to achromatopsia in the contralateral visual field (hemiachromatopsia). Here we present a partial English translation of the first case report of a hemiachromatopsic patient with detailed anatomical evidence (Madame R., Verrey, 1888), and discuss these results in relation to a more recent case report (Madame D., Bartolomeo et al., 1997) of a patient with two consecutive hemorrhagic lesions in the occipitotemporal regions of the two hemispheres. Strikingly, Madame D. developed full-field achromatopsia after the second lesion in the right hemisphere, without having shown any signs of hemiachromatopsia after the first lesion in the left hemisphere. Thanks to the comparison of the reconstructed lesion patterns between the two patients and with the putative location of color-related areas in the human brain, we offer a possible, if speculative, account of this puzzling pattern of anatomo-clinical correlations, based on intra- and inter-hemispheric connectivity.","DictElement({'Year': '2013', 'Month': '02', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2013,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2013.01.013,,Achromatopsia; Brain damage; Color processing; Occipital lobe; Temporal lobe,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Italy,eng
28109137,Color vision abnormality as the sole manifestation of posterior reversible encephalopathy due to post-partum HELLP syndrome.,"Takahashi, Hironori; Matsubara, Teppei; Makino, Shinji; Horie, Kenji; Matsubara, Shigeki",Takahashi,"Posterior reversible encephalopathy syndrome (PRES) is associated with several symptoms; of those, visual acuity loss, light oversensitivity (photophobia), and light flashes (photopsia) are known as PRES-related eye symptoms. We report a post-partum woman with PRES associated with hemolysis, elevated liver enzymes, and low platelets syndrome (HELLP), in whom color vision abnormality (achromatopsia) was the sole manifestation. Cesarean section was performed at 28 weeks due to headache, epigastralgia, and severe hypertension. HELLP became evident after delivery. On post-partum day 1, she complained of achromatopsia, stating: ""all things look brownish-gray"". Ophthalmologic examination was normal, but brain magnetic resonance imaging showed occipital lobe lesions, indicative of PRES, and, interestingly, also color vision center (area V4) lesions, suggesting that the achromatopsia had been caused by brain damage. It may be prudent to question HELLP patients concerning achromatopsia.","DictElement({'Year': '2017', 'Month': '01', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2017,The journal of obstetrics and gynaecology research,10.1111/jog.13241,,HELLP syndrome; achromatopsia; magnetic resonance imaging; posterior reversible encephalopathy syndrome; pre-eclampsia,Case Reports,Australia,eng
