pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
30516602,Coma and Brain Death.,"Rabinstein, Alejandro A",Rabinstein,"This article discusses the diagnostic and therapeutic approach to patients who are comatose and reviews the current knowledge on prognosis from various causes of coma. This article also provides an overview of the principles for determination of brain death as well as advice on how to avoid common pitfalls. Technologic advances have refined our understanding of the physiology of consciousness and the spectrum of disorders of consciousness; they also promise to improve our prognostic accuracy. Yet the clinical principles for the evaluation and treatment of coma remain unaltered. The clinical standards for determination of death by neurologic criteria (ie, brain death) are also well established, although variabilities in local protocols and legal requirements remain a problem to be resolved. Effective evaluation of coma demands a systematic approach relying on clinical information to ensure rational use of laboratory and imaging tests. When the cause of coma is deemed irreversible in the setting of a catastrophic brain injury and no clinical evidence exists for brain and brainstem function, patients should be evaluated for the possibility of brain death by following the clinical criteria specified in the American Academy of Neurology guidelines.",{},,"Continuum (Minneapolis, Minn.)",10.1212/CON.0000000000000666,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",United States,eng
16959998,Detecting awareness in the vegetative state.,"Owen, Adrian M; Coleman, Martin R; Boly, Melanie; Davis, Matthew H; Laureys, Steven; Pickard, John D",Owen,"We used functional magnetic resonance imaging to demonstrate preserved conscious awareness in a patient fulfilling the criteria for a diagnosis of vegetative state. When asked to imagine playing tennis or moving around her home, the patient activated predicted cortical areas in a manner indistinguishable from that of healthy volunteers.",{},,"Science (New York, N.Y.)",10.1126/science.1130197,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
25473741,Long-lasting coma.,"Bagnato, Sergio; Boccagni, Cristina; Sant'Angelo, Antonino; Fingelkurts, Alexander A; Fingelkurts, Andrew A; Gagliardo, Cesare; Galardi, Giuseppe",Bagnato,"In this report, we describe the case of a patient who has remained in a comatose state for more than one year after a traumatic and hypoxic brain injury. This state, which we refer to as long-lasting coma (LLC), may be a disorder of consciousness with significantly different features from those of conventional coma, the vegetative state, or brain death. On the basis of clinical, neurophysiological and neuroimaging data, we hypothesize that a multilevel involvement of the ascending reticular activating system is required in LLC. This description may be useful for the identification of other patients suffering from this severe disorder of consciousness, which raises important ethical issues.",{},,Functional neurology,,PMC4264788,,Case Reports; Journal Article,Italy,eng
3874012,Brainstem death.,"Rodin, E; Tahir, S; Austin, D; Andaya, L",Rodin,"A patient with the clinical picture of brain death resulting from brainstem hemorrhage and subsequent infarction is presented. The EEG showed activity similar to what has been described in the cerveau isolé animal preparations. Cortical evoked potentials were unobtainable from auditory or somatosensory stimulation, but of unusually high amplitude to flash stimuli. The point is made that a diagnosis of brain death cannot be made on clinical grounds alone when a patient is on life support systems, and the differences between cerebral death, brainstem death and brain death are discussed.",{},,Clinical EEG (electroencephalography),10.1177/155005948501600202,,,Case Reports; Journal Article,United States,eng
3783186,Alpha coma.,"Tomassen, W; Kamphuisen, H A",Tomassen,"Six personal cases of alpha coma are reported: 3 following a cerebrovascular accident and 3 resulting from cerebral concussion. Two patients survived. On the basis of differences in pathogenesis, EEG characteristics and prognosis, the following classification is proposed: alpha coma resulting from brain stem vascular accident; cerebral concussion; diffuse cerebral hypoxia; drug intoxication. The clinical course of each of the classes of alpha coma is outlined. The alpha coma state is not restricted to cases with structural brain stem lesions c.q. lesions of the pontomesencephalic region.",{},,Journal of the neurological sciences,10.1016/0022-510x(86)90137-1,,,Case Reports; Journal Article,Netherlands,eng
21863271,Fulminant multiple sclerosis (MS).,"Rohani, Mohammad; Ghourchian, Shadi",Rohani,"Fulminant multiple sclerosis (MS) is the most malignant form of MS which usually leads to death in few weeks. Although it can be accompanied by optic neuritis (ON), but long interval between ON and the grave onset has not been reported. Fulminant MS usually occurs as the first onset and previous ON is not common. We report a rare case of 30-year-old woman with a history of ON 1 year ago. The rapid deterioration to vegetative state followed by a seizure and previous ON differentiated this case from previous reported cases. The differential diagnosis of a rapidly progressive leucoencephalopathy in this patient includes inflammatory, vascular, infectious and toxic disorders. Regarding the previous history of optic neuritis with positive brain MRI (multiple T2 hyperintense lesions in white matter) in our patient, multiple sclerosis is the most probable diagnosis. More effective treatments, such as plasmapheresis and cyclophosphamide, that influenced on the prognosis of some previous patients could be useful, but should be performed before progressive brain atrophy emerges.","DictElement({'Year': '2011', 'Month': '08', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2011,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-011-0723-0,,,Case Reports; Journal Article,Italy,eng
33443134,Prolonged Unconsciousness Following Severe COVID-19.,"Abdo, Wilson F; Broerse, Catharina I; Grady, Bart P; Wertenbroek, Agnes A A C M; Vijlbrief, Onno; Buise, Marc P; Beukema, Menno; van der Kuil, Mark; Tuladhar, Anil M; Meijer, Frederick J A; van der Hoeven, Johannes G",Abdo,"We report a case series of patients with prolonged but reversible unconsciousness after coronavirus disease 2019 (COVID-19)-related severe respiratory failure. A case series of patients who were admitted to the intensive care unit due to COVID-19-related acute respiratory failure is described. After cessation of sedatives, the described cases all showed a prolonged comatose state. Diagnostic neurologic workup did not show signs of devastating brain injury. The clinical pattern of awakening started with early eye opening without obeying commands and persistent flaccid weakness in all cases. Time between cessation of sedatives to the first moment of being fully responsive with obeying commands ranged from 8 to 31 days. Prolonged unconsciousness in patients with severe respiratory failure due to COVID-19 can be fully reversible, warranting a cautious approach for prognostication based on a prolonged state of unconsciousness.","DictElement({'Year': '2020', 'Month': '12', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2020,Neurology,10.1212/WNL.0000000000011355,PMC8055315,,Case Reports; Journal Article; Multicenter Study,United States,eng
17485655,Persistent vegetative state.,"Manish, Modi; Veenu, Singla",Manish,,{},,Neurology,10.1212/01.wnl.0000262765.45828.d5,,,Case Reports; Journal Article,United States,eng
30516603,Management of Comatose Survivors of Cardiac Arrest.,"Seder, David B",Seder,"Because the whole-body ischemia-reperfusion insult associated with cardiac arrest often results in brain injury, neurologists perform an important role in postresuscitation cardiac arrest care. This article provides guidance for the assessment and management of brain injury following cardiac arrest. Neurologists have many roles in postresuscitation cardiac arrest care: (1) early assessment of brain injury severity to help inform triage for invasive circulatory support or revascularization; (2) advocacy for the maintenance of a neuroprotective thermal, hemodynamic, biochemical, and metabolic milieu; (3) detection and management of seizures; (4) development of an accurate, multimodal, and conservative approach to prognostication; (5) application of shared decision-making paradigms around the likely outcomes of therapy and the goals of care; and (6) facilitation of the neurocognitive assessment of survivors. Therefore, optimal management requires early neurologist involvement in patient care, a detailed knowledge of postresuscitation syndrome and its complex interactions with prognosis, expertise in bringing difficult cases to their optimal conclusions, and a support system for survivors with cognitive deficits. Neurologists have a critical role in postresuscitation cardiac arrest care and are key participants in the treatment team from the time of first restoration of a perfusing heart rhythm through the establishment of rehabilitation services for survivors.",{},,"Continuum (Minneapolis, Minn.)",10.1212/CON.0000000000000669,,,Case Reports; Journal Article; Review,United States,eng
36252201,Permanent central diabetes insipidus after traumatic brain injury. Case report and literature review.,"Astafyeva, L I; Sidneva, Yu G; Badmaeva, I N; Kalinin, P L; Latyshev, Ya A; Marshintsev, A V; Valiullina, S A",Astafyeva,"The authors report permanent central diabetes insipidus (CDI) in a patient after severe traumatic brain injury (TBI) in traffic accident. A 16-year-old boy entered to a medical facility in coma (GCS score 6) with the following diagnosis: acute TBI, severe cerebral contusion, subarachnoid hemorrhage, depressed comminuted cranial vault fracture, basilar skull fracture, visceral contusion. CDI was diagnosed in 3 days after injury considering polyuria and hypernatremia (155 mmol/l). Desmopressin therapy was initiated through a feeding tube. Thirst appeared when a patient came out of the coma after 21 days despite ongoing desmopressin therapy. Considering persistent thirst and polyuria, we continued desmopressin therapy in a spray form. Under this therapy, polyuria reduced to 3-3.5 liters per a day. Symptoms of CDI persisted in long-term period (2 years after TBI) while function of adenohypophysis was intact. This case demonstrates a rare development of permanent diabetes insipidus after TBI. CDI manifested only as polyuria and hypernatremia in coma. Thirst joined after recovery of consciousness. Probable causes of CDI were damage to neurohypophysis and partially injury of pituitary stalk because of extended basilar skull fracture and/or irreversible secondary lesion of hypothalamus following diffuse axonal damage after TBI.",{},,Zhurnal voprosy neirokhirurgii imeni N. N. Burdenko,10.17116/neiro202286051112,,central diabetes insipidus; desmopressin; hypernatremia; sodium; traumatic brain injury,Case Reports; Journal Article; Review,Russia (Federation),eng; rus
37635593,Severe Thrombocytopenia with Acute Cerebral Infarction: A Case Report and Literature Review.,"Li, C; Xu, B F; Zhang, M; Song, Y M; Liu, R",Li,"Common causes of thrombocytopenia include pseudo-thrombocytopenia, splenomegaly, decreased bone marrow production, and increased platelet destruction or depletion. The main clinical manifestation is bleeding, and thrombosis-related complications are rare. This article reports an 87-year-old woman with severe thrombocytopenia for more than 7 years. On day 6 in the hospital, the patient suddenly fell into a coma, and emergency head computed tomography (CT) displayed acute cerebral infarction of the left cerebellar hemisphere, brainstem, and left thalamus. Although thrombocytopenia is often associated with bleeding, there is still a need for vigilance against ischemic diseases. We analyzed the possible causes of acute cerebral infarction with thrombocytopenia and reviewed the literature. Our case is different from the causes of cerebral infarction reported in previous articles, so the relationship between thrombocytopenia and acute cerebral infarction needs further study. The patient, in this case, was not given anticoagulant or antiplatelet therapy but recovered well. It shows that individualized treatment is effective.",{},,Nigerian journal of clinical practice,10.4103/njcp.njcp_844_22,,Acute cerebral infarction; case report; thrombocytopenia; thromboembolism; thrombosis,Review; Case Reports,India,eng
