pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
35630076,Wernicke Encephalopathy Mimicking MELAS.,"Finsterer, Josef",Finsterer,"a stroke-like lesion, the morphological equivalent of a stroke-like episode and the hallmark of mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes (MELAS) syndrome, have not been reported as manifestations of thiamine deficiency. a 62-year-old man with a history of chronic alcoholism was admitted after a series of epileptic seizures. Upon waking up from the coma, he presented with disorientation, confusion, confabulation, psychomotor agitation, aggressiveness, right hemianopsia, aphasia, and right hemineglect over weeks. Electroencephalography showed a questionable focal status epilepticus over the left hemisphere, responsive to lorazepam and oxcarbazepine. Follow-up electroencephalographies no longer recorded epileptiform discharges. Cerebral magnetic resonance imaging (MRI) revealed T2-/diffusion weighted imaging (DWI) hyperintensity in the left occipito-temporal region that was not congruent to a vascular territory which persisted for at least nine weeks. Since a lactate-peak could be seen in this lesion by magnetic resonance-spectroscopy, this was interpreted as a stroke-like lesion. Since thiamine was reduced, the stroke-like lesion was attributed to thiamine deficiency after the exclusion of differential diseases, including MELAS and status epilepticus. The patient's behavioural and cognitive dysfunctions largely resolved upon vitamin-B1 substitution. the case suggests that thiamine deficiency presumably causes mitochondrial dysfunction with cerebrospinal fluid lactic acidosis and a stroke-like lesion mimicking MELAS syndrome. It should be further studied whether nutritional deficits, such as thiamine deficiency, could give rise to secondary stroke-like lesions.","DictElement({'Year': '2022', 'Month': '05', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2022,"Medicina (Kaunas, Lithuania)",10.3390/medicina58050660,PMC9144475,Wernicke encephalopathy; lactic acidosis; spectroscopy; stroke-like episode; stroke-like lesion; thiamine deficiency,Case Reports,Switzerland,eng
943070,Reduplicative paramnesia.,"Benson, D F; Gardner, H; Meadows, J C",Benson,"A striking behavioral abnormality is described in three individuals who had severe head trauma. At a point when general mnestic capabilities had returned to a near normal level, the patients persistently relocated the hospital at another geographical site, even in the face of compelling counter-evidence. The strong parallels in the etiology and course of the three cases justify the positing of a syndrome, here termed reduplicative paramnesia. A neuropsychologic analysis of the disorder stresses the cognitive operations entailed in geographical localization and confabulation. Clinical-pathologic considerations underline the role of right hemisphere and frontal lobe structures in the syndrome.",{},,Neurology,10.1212/wnl.26.2.147,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",United States,eng
29859732,"Anton-Babinski syndrome, case report.","Martín Juan, A; Madrigal, R; Porta Etessam, J; Sáenz-Francés San Baldomero, F; Santos Bueso, E",Martín Juan,"A 22 year-old woman complained about blurred vision after an episode of recovered cardiorespiratory arrest. She had bilateral low visual acuity («count fingers») and no ophthalmological or visual pathways changes. She also had an apparent lack of awareness of the deficit. The Magnetic Resonance Imaging (MRI) showed ischaemic changes in both occipital lobes. As a result, she was diagnosed with Anton-Babinski syndrome. This is a rare disease that should be suspected in strange or poorly congruent visual loss. It is usually due to an ischaemic injury in this region of brain, manifesting itself with low vision not perceived by the patient (visual confabulation). It can simulate a non-organic visual loss or psychiatric disease.","DictElement({'Year': '2018', 'Month': '05', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2018,Archivos de la Sociedad Espanola de Oftalmologia,10.1016/j.oftal.2018.04.004,,Agudeza visual; Blindness; Ceguera; Neurology; Neurología; Oftalmología; Ophthalmology; Visual acuity,Case Reports; Journal Article,Spain,eng; spa
10369091,Content-specific confabulation.,"Burgess, P W; McNeil, J E",Burgess,"This report describes a person who confabulated following an anterior communicating artery aneurysm. His confabulation was limited to one very circumscribed area of his life and remained stable for twelve weeks, eventually improving with rehabilitation. It is argued that a content-specific confabulation of this nature challenges current theories of confabulation, and an integrative explanation is given based on previous findings by Burgess and Shallice (1996b) of the mechanisms of autobiographical recollection in healthy people.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(08)70792-5,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Italy,eng
37860783,Anton syndrome with bilateral occipital infarct: A case report.,"Mankoo, Dylan",Mankoo,"Anton syndrome results from damage to the visual cortex of the occipital lobes, where the anterior visual pathways remain intact. This damage results in the characteristic triad of cortical blindness, visual anosognosia, and visual confabulation. This case describes an 80-year-old male with a background of renal transplant 7 years prior, admitted to hospital with worsening transplant function, and soon after developed sudden onset cortical blindness. On examination, the patient was found to be in denial of his blindness and showed signs of visual confabulation, both of which pointed toward a diagnosis of Anton syndrome. Radiological investigation with computed tomography (CT) and magnetic resonance imaging (MRI) revealed bilateral ischemic stroke of the occipital lobes, which was later theorized to have occurred due to sirolimus-induced thrombotic microangiopathy (TMA). To the author's knowledge, this is the first case report of sirolimus-induced TMA, bilateral ischemic occipital lobe stroke, and Anton's syndrome, within the same diagnosis. This case highlights that a diagnosis of bilateral occipital stroke with denial of blindness should suggest a diagnosis of Anton syndrome. This report also discusses the importance of differentiating bilateral occipital infarction on CT imaging, from posterior reversible encephalopathy syndrome (PRES), using MRI.","DictElement({'Year': '2023', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2023,Radiology case reports,10.1016/j.radcr.2023.09.036,PMC10582287,Anton syndrome; Neuroradiology; Stroke,Case Reports,Netherlands,eng
25300957,"""Crossed"" somatoparaphrenia: an unusual new case and a review of the literature.","Perren, Fabienne; Heydrich, Lukas; Blanke, Olaf; Landis, Theodor",Perren,"Somatoparaphrenia is a delusional misidentification and confabulation of body parts, usually arm or hand, opposite to a cerebral lesion, generally of the ""minor"" right hemisphere. There is some controversy concerning lesion site (fronto-parietal; parieto-temporal; posterior insula, additional subcortical nuclei) or necessary associated symptoms (hemiparesis/plegia, anosognosia, neglect, position sense deficit). We here present a patient who is unusual in many respects, that is: (1) he is a right-hander with somatoparaphrenia after a ""dominant"" left-hemisphere lesion associated with aphasia and ideo-motor apraxia, but also with right hemineglect. He thus has ""crossed"" somatoparaphrenia; (2) his delusional misidentification concerned the right leg and not the arm or hand; (3) he has no anosognosia; (4) his proprioception is disturbed for the leg only; and (5) the lesion site is very posterior, a left occipito-parietal haemorrhage without involvement of the frontal lobe or the posterior insula. We present this case together with the seven other cases of ""crossed somatoparaphrenia"" with and without aphasia we found since 1935 in the literature and discuss their relevance in relation to the above controversies.","DictElement({'Year': '2014', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2014,Experimental brain research,10.1007/s00221-014-4101-z,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",Germany,eng
36324705,Anton syndrome after subarachnoid hemorrhage and delayed cerebral ischemia: A case report.,"Ricardo, Barojas-Alvarez Manuel; Mariana, Longoria-Ibarrola Erika; Al, Sosa-Ortiz; Manuel, Calleja-Castillo Juan; Jesus, Ramirez-Bermudez",Ricardo,"We report the case of a patient with ruptured middle cerebral artery aneurysm, subarachnoid hemorrhage and frontal intracerebral hemorrhage, who secondarily presented with delayed cerebral ischemia and bilateral occipital infarcts, with complete vision loss, visual anosognosia, and confabulations as the main symptoms. Additionally, the patient had defined features of Cotard syndrome, as revealed by persistent nihilistic delusions. The brain imaging studies showed a bilateral occipital ischemic lesion, as well as frontal and parietal hemorrhagic lesions in the right hemisphere. We address the general theories of anosognosia, confabulation and the problem of why a bilateral occipital lesion is not enough for these metacognitive defects to exist. The presence of right frontal and or parietal hemisphere lesions could be necessary features in most cases.","DictElement({'Year': '2021', 'Month': '06', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2021,Cerebral circulation - cognition and behavior,10.1016/j.cccb.2021.100023,PMC9616440,Anton syndrome; Cotard syndrome; Metacognition; Right hemisphere; Stroke; Subarachnoid hemorrhage,Case Reports,Netherlands,eng
33022431,Delayed Brain Cyst Formation After Gamma Knife Anterior Capsulotomy.,"Kasabkojian, Stephanie Toscano; Dwan, Alexandre Jack; Maziero, Maria Paula; de Salles, Antonio; Gorgulho, Alessandra; Miguel, Eurípedes Constantino; Fillipo de Queiroz Vattimo, Edoardo; Lopes, Antonio Carlos",Kasabkojian,"Gamma Knife ventral anterior capsulotomy is an effective option to treat refractory obsessive-compulsive disorder. Although well tolerated, complications can develop years after radiosurgery. We describe a case in which abnormal complications induced by very high doses of radiation evolved. A 55-year-old man with refractory obsessive-compulsive disorder was treated with Gamma Knife ventral anterior capsulotomy using a dose of 180 Gy. His obsessive-compulsive symptoms improved, but his condition evolved with a manic episode, cognitive memory changes, visual hallucinations, confabulation, and frontal lobe symptoms. Magnetic resonance imaging showed brain edema in the left hemisphere and a 6-mm brain cyst in the right hemisphere at postoperative month 20. This case shows the consequences of affecting more fibers related to the anterior frontal region than intended with a radiosurgical procedure and illustrates the importance of careful clinical and imaging follow-up after Gamma Knife ventral anterior capsulotomy.","DictElement({'Year': '2020', 'Month': '10', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2020,World neurosurgery,10.1016/j.wneu.2020.07.199,,Brain edema; Case report; Cysts; Obsessive-compulsive disorder; Radiosurgery,Case Reports,United States,eng
7420099,Confabulation and frontal lobe dysfunction.,"Kapur, N; Coughlan, A K",Kapur,"A patient is reported who displayed marked confabulation after frontal lobe damage, and whose pattern of performance on memory tests was not typically amnesic. He initially displayed both ""fantastic"" and ""momentary"" confabulation, but several months later showed only ""momentary"" confabulation, which was apparent on direct questioning. This change in type of confabulation was paralleled by improved performance on frontal lobe tests, although his overall pattern of performance on memory tests was unchanged. It is suggested that severity of frontal lobe dysfunction determines the type of confabulation displayed.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.43.5.461,PMC490577,,Case Reports; Journal Article,England,eng
35578314,Bromisoval-induced bromism with status epilepticus mimicking Wernicke's encephalopathy: report of two cases.,"Biyajima, Masahiro; Satoh, Shunichi; Morikawa, Takahiro; Morita, Yuki; Watanabe, Rie; Matsui, Daisuke; Konno, Masataka; Morimoto, Nobutoshi; Yatsu, Yuichi; Hirasaki, Akihito; Yahikozawa, Hiroyuki",Biyajima,"Bromine compounds are used in several drugs, including over-the-counter drugs. They sometimes cause intoxication known as bromism. Although the acute neurological symptoms and sequelae of bromism vary, few reports have mentioned acute encephalopathy. We report two cases of bromisoval-induced bromism with status epilepticus. Presence of pseudohyperchloremia and history of over-the-counter medication use guided the diagnosis. In the acute phase, our patients showed bilateral medial thalamic lesions on magnetic resonance imaging. The imaging findings were similar to those of Wernicke's encephalopathy. Although these findings improved in the chronic phase, neuropsychiatric sequelae, such as confabulation and amnesia, occurred. Bromism can cause acute encephalopathy, and it is important to differentiate it from Wernicke-Korsakoff syndrome.","DictElement({'Year': '2022', 'Month': '05', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2022,BMC neurology,10.1186/s12883-022-02712-3,PMC9109394,Bromism; Bromisoval; Bromovalerylurea; Korsakoff’s syndrome; Status epilepticus; Wernicke’s encephalopathy,Case Reports; Journal Article,England,eng
