pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33126810,PRES SYNDROME.,"Horkovičová, K; Hájková, E; Krásnik, V",Horkovičová,"The aim of this review, as well as the case report, is to become familiar with the syndrome, although it is not very common, but may still be encountered by an ophthalmologist during clinical practice. It is also interesting to point out how the clinical unit can be independent and unchangeable in medicine and, on the other hand, in the context of the reversible posterior leukoencephalopathy syndrome (PRES syndrome), the name can be changed. As such, cortex blindness arises after complete destruction of the visual cortex of both occipital lobes, often as a result of vascular circulatory disorders. PRES syndrome is characterized by magnetic resonance imaging or computed tomography, where bilateral irregular hypodensive arteries are present in the occipital lobes that cause transient cortex blindness within the syndrome, which in its name carries the word reversible. Case report: A patient who was hospitalized at the Pneumology Department in which PRES syndrome and transient cortex blindness were diagnosed.",{},,Ceska a slovenska oftalmologie : casopis Ceske oftalmologicke spolecnosti a Slovenske oftalmologicke spolecnosti,10.31348/2020/23,,PRES syndrome; acute condition; cortex blindness,Case Reports; Journal Article; Review,Czech Republic,eng
35595077,Hepatic cortical blindness.,"Xu, Junrong; Hao, Jie; Gao, Yi; Shang, Lei; Qian, Lu; Zhao, Hengfang",Xu,"Hepatic cortical blindness is an unusual clinical complication of hepatic encephalopathy, and its epidemiology has not been studied in detail. Herein, we present a case report of a 37-year-old male with liver cirrhosis and immunoglobulin A nephropathy who noted visual impairment after eating high-protein food. In addition to the case report, all previously documented cases of hepatic cortical blindness occurring across the globe published from inception until August 2019 were reviewed. The incidence of hepatic cortical blindness is low, and diagnoses are easily missed. The diagnosis of hepatic cortical blindness is dependent on symptoms, and patients may experience several attacks of vision loss. Most patients experience complete blindness, but vision loss recovers within 10 min to one month. Early detection and therapy for hepatic encephalopathy may improve patient outcome.","DictElement({'Year': '2022', 'Month': '05', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2022,The American journal of the medical sciences,10.1016/j.amjms.2022.04.034,,Case reports; Chronic liver failure; Cortical blindness; Hepatic encephalopathy; Review literature,Case Reports; Journal Article; Review,United States,eng
29110092,Tracking posttraumatic hemianopia.,"Decramer, Thomas; Van Keer, Karel; Stalmans, Peter; Dupont, Patrick; Sunaert, Stefan; Theys, Tom",Decramer,"Hemianopia after traumatic brain injury is not infrequent and results from retro-chiasmatic lesions. Differentiating optic pathway lesions can be challenging with classic imaging. Advanced imaging techniques as an investigational tool for posttraumatic hemianopia are discussed and their pitfalls highlighted through an illustrative case study. In a patient with posttraumatic hemianopia, MRI at 8 weeks and 2 years after trauma were analyzed. Diffusion tensor imaging (DTI) and morphometric analysis of the primary visual cortex (V1) were performed. Optical coherence tomography (OCT) was performed 2 years after trauma. DTI at 8 weeks showed a decrease in fractional anisotropy (FA) of the left optic tract together with a decrease in FA in the right optic tract and optic radiation. At 2 years, an isolated decrease of the left optic tract FA values was noticed together with signs of Wallerian degeneration on classic MR imaging. OCT showed thinning of the retina congruent with the visual field deficit. While DTI abnormalities were also present in the early scan, they were more diffuse and also encompassed functionally intact structures. Results of advanced imaging techniques need to be interpreted with caution and can vary according to the timing of imaging due to Wallerian degeneration.","DictElement({'Year': '2017', 'Month': '11', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2017,Journal of neurology,10.1007/s00415-017-8661-2,,Diffusion tensor imaging; Hemianopia; Traumatic brain injury; Wallerian degeneration,Case Reports; Journal Article,Germany,eng
18955627,Acute blindness.,"Abboud, H; Sabbagh, C",Abboud,"A 15-year-old man presenting with cortical blindness as the initial symptom of mitochondrial encephalomyopathy, lactic acidosis and stroke-like episodes (MELAS) is reported. He showed fluctuating consciousness and severe occipital headache with nausea and vomiting. T2 and diffusion-weighted magnetic resonance imaging showed high signal intensity in the occipital lobes. Electroencephalography showed diffuse sharp waves with focal epileptic discharges over the posterior region. The nature of stroke-like episodes and seizure mechanisms is unexplained in MELAS. Consequently, the possible mechanisms of the cortical blindness in this case are discussed.",{},,Emergency medicine journal : EMJ,10.1136/emj.2008.055814,,,Case Reports; Journal Article,England,eng
35945888,Hepatic Encephalopathy Induced Transient Cortical Blindness.,"Pokhrel, Shweta; Shrestha, Pramesh Sunder; Pathak, Rahul; Bhattarai, Suju; Karki, Bipin; Paudel, Shachi",Pokhrel,"Hepatic encephalopathy describes a spectrum of potentially reversible neuropsychiatric abnormalities seen in a patient with severe liver dysfunction with porto-systemic shunting. Cortical blindness can be a rare presentation of hepatic encephalopathy and can even precede the onset of altered sensorium. We report a case of 57 years female with chronic liver disease who presented with bilateral loss of vision, with no focal neurological deficits. From clinical and laboratory examination, a diagnosis of hepatic encephalopathy with cortical blindness was proposed. Her visual disturbances gradually improved with the treatment of hepatic encephalopathy. Keywords: Cortical blindness; end stage liver disease; hepatic encephalopathy; papilledema.","DictElement({'Year': '2022', 'Month': '06', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2022,Journal of Nepal Health Research Council,10.33314/jnhrc.v20i01.3813,,,Case Reports; Journal Article,Nepal,eng
29878292,Reversible blindness and preeclampsia.,"Berdai, Mohamed Adnane; Labib, Smael; Harandou, Mustapha",Berdai,"Neurological manifestations of preeclampsia are serious and very variable. We report the case of a woman at 34 weeks gestation with preeclampsia who developed blindness within hours without alteration of consciousness. The imagery was in favor of posterior reversible encephalopathy. The therapeutic management consisted of emergency fetal extraction, the administration of antihypertensive drugs and magnesium sulfate. The outcome was favorable with complete recovery of visual function. This case reflects the heterogeneity of the clinical presentation of preeclampsia, as the only neurological manifestation was cortical blindness, with no associated consciousness disorder.",{},,La Tunisie medicale,,,,Case Reports; Journal Article,Tunisia,eng
36190083,A rare case of cortical blindness following vaccination against SARS-CoV-2.,"Mahajan, Asmita; Phuljhele, Swati",Mahajan,"A 61-year-old male presented with sudden loss of vision in both the eyes about 8 days after the first shot of coronavirus disease 2019 (COVID-19) vaccine (Covishield). On examination, the visual acuity was no perception of light in both the eyes. Contrast-enhanced magnetic resonance imaging (MRI) with diffusion-weighted imaging showed acute cerebral infarcts involving bilateral parieto-occipital region. Considering the temporal correlation with the vaccine shot and absence of any other precipitating factor, we hypothesized that this was probably an immunologic response to the vaccine.",{},,Indian journal of ophthalmology,10.4103/ijo.IJO_1619_22,PMC9789863,COVID-19; Cortical blindness; occipital infarct; vaccine,Case Reports,India,eng
29859732,"Anton-Babinski syndrome, case report.","Martín Juan, A; Madrigal, R; Porta Etessam, J; Sáenz-Francés San Baldomero, F; Santos Bueso, E",Martín Juan,"A 22 year-old woman complained about blurred vision after an episode of recovered cardiorespiratory arrest. She had bilateral low visual acuity («count fingers») and no ophthalmological or visual pathways changes. She also had an apparent lack of awareness of the deficit. The Magnetic Resonance Imaging (MRI) showed ischaemic changes in both occipital lobes. As a result, she was diagnosed with Anton-Babinski syndrome. This is a rare disease that should be suspected in strange or poorly congruent visual loss. It is usually due to an ischaemic injury in this region of brain, manifesting itself with low vision not perceived by the patient (visual confabulation). It can simulate a non-organic visual loss or psychiatric disease.","DictElement({'Year': '2018', 'Month': '05', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2018,Archivos de la Sociedad Espanola de Oftalmologia,10.1016/j.oftal.2018.04.004,,Agudeza visual; Blindness; Ceguera; Neurology; Neurología; Oftalmología; Ophthalmology; Visual acuity,Case Reports; Journal Article,Spain,eng; spa
9491307,Cortical blindness.,"Dalman, J E; Verhagen, W I; Huygen, P L",Dalman,"A 79-year-old woman with persistent cortical blindness caused by bilateral temporo-occipital infarctions was followed for 8 months. She had no light or visual motion perception. Our patient's visual imagery was intact, which was demonstrated when drawing elementary shapes; however, her drawing of objects was poor. Optokinetic nystagmus could not be elicited, but the vestibulo-ocular reflex (VOR) seemed intact. Although she was able to suppress her VOR by 'fixating' her outstretched hand which moved in phase with her head and body, she showed saccadic tracking eye movements in an attempt to visually 'follow' the self-generated movements of her outstretched hand, while her body and head were stationary. Such saccadic tracking seemed to be different from the previously described smooth tracking of self-moved targets by patients with acquired blindness caused by anterior visual pathway dysfunction.",{},,Clinical neurology and neurosurgery,10.1016/s0303-8467(97)00100-5,,,Case Reports; Journal Article,Netherlands,eng
28621151,Case report and literature review on contrast-induced encephalopathy.,"Hamra, Mardi; Bakhit, Yasir; Khan, Mahboob; Moore, Roger",Hamra,"Contrast-induced encephalopathy (CIE) is a rare neurological complication following the administration of injectable intravascular contrast media. Patients with CIE present a wide spectrum of symptoms such as headache, transient cortical blindness, seizure and focal neurological deficits. The diagnosis of CIE requires a high index of suspicion. Its early recognition is of paramount importance in instituting the appropriate supportive treatment in the form of intravenous fluids and also in avoiding unnecessary potentially harmful treatment such as intravenous thrombolysis for suspected ischemic stroke. Here, we report the case of a 62-year-old male patient with a typical presentation of CIE immediately following coronary angiography. We then continue to briefly review the relevant literature on CIE to date.","DictElement({'Year': '2017', 'Month': '06', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2017,Future cardiology,10.2217/fca-2016-0075,,cardiac catheterization; contrast neuropathy; contrast-induced encephalopathy; coronary angiography; stroke,Case Reports; Journal Article; Review,England,eng
30661390,Anton's Syndrome associated with autotopagnosia.,"Lo Buono, Viviana; De Salvo, Simona; Paladina, Giuseppe; Corallo, Francesco; Palmeri, Rosanna; Morabito, Rosa; Bramanti, Alessia; Marino, Silvia; Sessa, Edoardo",Lo Buono,"We describe an unusual case of a 68-year-old male affected by cerebral amyloid angiopathy and cortical blindness associated with Anton's syndrome. In addition, our patient presented with autotopagnosia, a form of agnosia characterized by loss of body spatial representation. Neuropsychological assessment evidenced cognitive impairment. Magnetic Resonance Imaging showed hemorrhagic foci in the left occipital and right occipito-parietal lobe, paratrigonal white matter, and post-ischemic parenchymal gliosis. The pattern-reversal of visual evoked potentials were indicative bilateral visual pathway of integrity of the. After a neurological damage, patients could show a denial of their own deficit; however, the association between anosognosia and autotopagnosia represents a rare neurological condition. The simultaneous onset of unusual neuropsychological syndromes could be related to involvement of a complex brain network.","DictElement({'Year': '2019', 'Month': '01', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2019,Applied neuropsychology. Adult,10.1080/23279095.2018.1538048,,Anosognosia; anton’s syndrome; autotopagnosia; cerebral amyloid angiopathy,Case Reports; Journal Article,United States,eng
32028451,Checkerboard Visual Field Defect in Occipital Stroke.,"Kamal, Sarah; Al Othman, Bayan A; Kini, Ashwini T; Lee, Andrew G",Kamal,A 74-year-old man with vasculopathic risk factors presented to the emergency room with a chief complaint of peripheral vision loss resulting from an intracranial hemorrhage in his right parietal and occipital lobes. Urgent craniotomy and ventriculostomy led to a stable clinical condition with subsequent development of a crossed quadrant homonymous hemianopsia (checkerboard visual field) due to a new right parieto-occipital infarct superimposed on a prior left occipital infarct. This uncommon visual field defect represents juxtaposed homonymous quadrantanopias that produce a striking checkerboard appearance that is almost pathognomonic for bilateral occipital lesions.,{},,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,10.1097/WNO.0000000000000892,,,Case Reports; Journal Article,United States,eng
38206682,Homonymous hemianopia due to cerebral venous thrombosis: A case report.,"Choi, Woo Seok; Yoon, Sook Hyun; Lee, Donghun",Choi,"Diagnosing cerebral venous thrombosis (CVT) can be difficult because of nonspecific symptoms, such as headache and homonymous hemianopia (HH). Herein, we present a case of delayed CVT diagnosis due to nonspecific neurological symptoms and nonprominent lesions in a patient with HH. A 65-year-old woman presented with a sudden onset headache accompanied by right HH that lasted for 1 day. Brain computed tomography and magnetic resonance imaging were initially performed due to suspicion of ischemic lesions or hemorrhage in the left postchiasmal visual pathway; however, no remarkable acute brain lesions were detected. Ophthalmological examinations revealed no notable findings, except for a definite field defect in the Humphrey visual field test. The headaches then waxed and waned but recurred 3 days after the initial symptom.A repeat brain magnetic resonance imaging was performed, which revealed left sectoral gyral swelling and vascular enhancement in the occipital lobe. To further evaluate venous drainage, additional 3-dimensional cerebral computed tomography angiography and 4-vessel angiography were conducted, revealing a partial filling defect in the left transverse sinus and superior venous drainage impairment. These findings suggested the presence of venous thrombosis in the left transverse sinus. The patient was diagnosed with thrombosis of the left transverse sinus, which subsequently caused the right HH. Anticoagulation therapy with parenteral heparin was started as soon as the diagnosis of CVT was confirmed. Eventually, the patient was solely managed with oral warfarin administration. Following 3 days of treatment, her headache resolved, and a subsequent visual field testing conducted 2 weeks later revealed a definite improvement in the field defect. Despite its favorable prognosis, CVT can be challenging to diagnose. CVT should be considered as a differential diagnosis when diagnosing patients who present with headaches accompanied by HH without prominent brain lesions.",{},,Medicine,10.1097/MD.0000000000036204,PMC10754574,,Case Reports; Journal Article,United States,eng
