pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34877739,Trimodal hallucination and delusion after right thalamomesencephalic infarction.,"Sakamoto, Kazutaka; Kobayashi, Ryota; Yokoi, Kayoko; Otaka, Miki; Okada, Oyuki; Hosokawa, Kazuki; Kimura, Masayuki; Kawakatsu, Shinobu; Otani, Koichi; Hirayama, Kazumi",Sakamoto,,"DictElement({'Year': '2021', 'Month': '12', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2021,Psychogeriatrics : the official journal of the Japanese Psychogeriatric Society,10.1111/psyg.12793,,infarction; midbrain; multimodal hallucination; thalamus,Case Reports,England,eng
37794715,The efficacy of vortioxetine for the delusional disorder of cenesthopathy.,"Sato, Shinji; Imai, Koubun",Sato,"Cenesthopathy is a rare syndrome characterized by strange bodily and oral sensations and is classified as a delusional disorder, somatic type, according to the fifth edition of the Diagnostic and Statistical Manual of Mental Disorders. Cenesthopathy has been considered difficult to treat. However, to improve cenesthopathy, many pharmacotherapeutic options are reported, including antidepressants and antipsychotics. In this case report, vortioxetine significantly alleviated the distress of oral cenesthopathy in a patient with cerebral ischemia and depression without any adverse effects. To the best of our knowledge, this is the first report on the efficacy of vortioxetine in treating cenesthopathy. Though it is unclear why vortioxetine was effective for cenesthopathy in our case, we stated two possibilities for improving his oral cenesthopathy. When treating oral cenesthopathy in elderly patients, clinicians consider to be one of the options to prescribe vortioxetine.","DictElement({'Year': '2023', 'Month': '10', 'Day': '04'}, attributes={'DateType': 'Electronic'})",2023,Neuropsychopharmacology reports,10.1002/npr2.12384,PMC10932763,cenesthopathy; delusional disorder; norepinephrine; serotonin; vortioxetine,Case Reports,United States,eng
29351402,Poststroke delusions: What about the neuroanatomical and neurofunctional basis?,"Torrisi, Michele; De Luca, Rosaria; Pollicino, Patrizia; Leonardi, Simona; Marino, Silvia; Maresca, Giuseppa; Maggio, Maria Grazia; Piccolo, Adriana; Bramanti, Placido; Calabrò, Rocco Salvatore",Torrisi,"Delusion is a belief about yourself, people, or events that has no accordance with reality. Although it is known that stroke could cause various psychiatric and psychological effects, including depression, anxiety, and aggressiveness, psychotic symptoms, especially delusions, are rather uncommon. The most investigated poststroke delusions are paranoid type, nihilistic, and Fregoli syndrome. We will describe two patients showing delusion symptoms (Cotard-like and erotomanic ones) that occurred after a stroke involving the right temporal lobe, the basal ganglia and insular region, persisting for a long period after the stroke onset. We have, therefore, supposed that the simultaneous involvement of these brain areas could be involved in the neuroanatomical basis of delusions, as also demonstrated by the neurofunctional evaluation.","DictElement({'Year': '2018', 'Month': '01', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2018,Applied neuropsychology. Adult,10.1080/23279095.2017.1421536,,Basal ganglia; Cotard syndrome; erotomanic delusions; functional magnetic imaging; insula,Case Reports; Journal Article,United States,eng
31331214,Fantastic Thinking and Frontal Cerebrovascular Disease.,"Parand, Leila; Niu, Kathy; Yerstein, Oleg; Mendez, Mario F",Parand,,"DictElement({'Year': '2019', 'Month': '07', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2019,The Journal of neuropsychiatry and clinical neurosciences,10.1176/appi.neuropsych.19040086,,Confabulations; Delusions; Fantastic Thinking; Stroke and Other Cerebral Vascular Disease (Neuropsychiatric Aspects),Case Reports; Journal Article,United States,eng
31564235,Delusions Without Hallucinations After Midbrain Infarction.,"Sakamoto, Kazutaka; Yokoi, Kayoko; Kawakatsu, Shinobu; Kobayashi, Ryota; Kunihiro, Kana; Okada, Oyuki; Sato, Yuichiro; Otani, Koichi; Hirayama, Kazumi",Sakamoto,,"DictElement({'Year': '2019', 'Month': '09', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2019,The Journal of neuropsychiatry and clinical neurosciences,10.1176/appi.neuropsych.19040097,,Delusions; Frontal-Executive Function Depersonalization; Geriatric Neuropsychiatry; Infarction; Midbrain; Substantia Nigra,Case Reports; Journal Article,United States,eng
22108813,The phantom and the supernumerary phantom limb: historical review and new case.,"Cipriani, Gabriele; Picchi, Lucia; Vedovello, Marcella; Nuti, Angelo; Fiorino, Mario Di",Cipriani,"The way we experience the world is determined by the way our brain works. The phantom limb phenomenon, which is a delusional belief of the presence of a non-existent limb, has a particular fascination in neurology. This positive phenomenon of the phantom limb raises theoretical questions about its nature. After a stroke, some patients experience the perception of an extra limb in addition to the regular set of two arms and two legs. This complex cognitive and perceptual distortion is called supernumerary phantom limb. Here, we review the pathogenesis and historical aspects, and report a new case.",{},,Neuroscience bulletin,10.1007/s12264-011-1737-6,PMC5560386,,Case Reports; Historical Article; Journal Article; Review,Singapore,eng
25300957,"""Crossed"" somatoparaphrenia: an unusual new case and a review of the literature.","Perren, Fabienne; Heydrich, Lukas; Blanke, Olaf; Landis, Theodor",Perren,"Somatoparaphrenia is a delusional misidentification and confabulation of body parts, usually arm or hand, opposite to a cerebral lesion, generally of the ""minor"" right hemisphere. There is some controversy concerning lesion site (fronto-parietal; parieto-temporal; posterior insula, additional subcortical nuclei) or necessary associated symptoms (hemiparesis/plegia, anosognosia, neglect, position sense deficit). We here present a patient who is unusual in many respects, that is: (1) he is a right-hander with somatoparaphrenia after a ""dominant"" left-hemisphere lesion associated with aphasia and ideo-motor apraxia, but also with right hemineglect. He thus has ""crossed"" somatoparaphrenia; (2) his delusional misidentification concerned the right leg and not the arm or hand; (3) he has no anosognosia; (4) his proprioception is disturbed for the leg only; and (5) the lesion site is very posterior, a left occipito-parietal haemorrhage without involvement of the frontal lobe or the posterior insula. We present this case together with the seven other cases of ""crossed somatoparaphrenia"" with and without aphasia we found since 1935 in the literature and discuss their relevance in relation to the above controversies.","DictElement({'Year': '2014', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2014,Experimental brain research,10.1007/s00221-014-4101-z,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",Germany,eng
28114093,[Cotard's syndrome: Case report and a brief review of literature].,"Moschopoulos, N P; Kaprinis, S; Nimatoudis, J",Moschopoulos,"The term ""Cotard's syndrome"" is used to describe a number of clinical features, mostly hypochondriac and nihilistic delusions, the most characteristic of which are the ideas ""I am dead"" and ""my internal organs do not exist"". Besides, anxious and depressed mood, delusions of damnation, possession and immortality, suicidal and self-mutilating behavior are included. The first description of the syndrome was made in 1880 by Cotard, who presented the case of a female patient in a lecture. He originally named it ""hypochondriac delusion"", and some years later ""delusion of negations"", while it was named ""Cotard delusion"" after his death. In international literature, the terms ""nihilistic delusion"" and ""Cotard's syndrome"" prevailed over ""delusion of negations"" and ""Cotard delusion"". In the present study we report the case of a 59 year-old woman, who was admitted to our department after a suicide attempt, and who showed symptoms of Cotard's syndrome for about two years, namely depressed mood, hypochondriac and nihilistic delusions, delusions of immortality and damnation, suicidal ideation, severe psychomotor retardation, diminished motivation and tendency to stay in bed. She never took the medication she was prescribed, and at times she refused to eat. During her hospitalization, there was performed a full blood panel and medical imaging, that showed chronic ischemic infarctions, periventricular leukoencephalopathy and diffuse cerebral atrophy in MRI. All the other test results were normal. She was administered treatment with haloperidol, mirtazapine and venlafaxine. Gradually, her psychomotor ability, motivation and mood improved, she didn't express suicidal ideation, her delusions were less intense and she was able to question them, but they weren't eliminated. She was discharged in improved condition, after 44 days. Cotard's syndrome isn't mentioned in the current classification systems (ICD-10, DSM-5). In literature though, it has been divided into three types, according to the clinical symptoms: psychotic depression, Cotard type I, and Cotard type II, and three stages have been proposed: germination stage, blooming stage and chronic stage. It has been associated with various medical conditions, such as cerebral infractions, frontotemporal atrophy, epilepsy, encephalitis, brain tumors, traumatic brain injury. Furthermore, it has been associated with psychiatric conditions, such as mental retardation, postpartum depression, depersonalization disorder, catatonia, Capgras syndrome, Fregoli syndrome, Odysseus syndrome, koro syndrome. Several reports about successful pharmacological treatments have been published, both monotherapies with antidepressants, antipsychotics or lithium, and by antidepressant and antipsychotic combination treatments. The most reported successful treatment strategy for Cotard's syndrome is electroconvulsive therapy (ECT), administration of which should follow current treatment guidelines of the underlying conditions.",{},,Psychiatrike = Psychiatriki,10.22365/jpsych.2016.274.296,,,Case Reports; Journal Article; Review,Greece,gre
31353160,Delusional parasitosis as presenting symptom of occipital lobe cerebrovascular accident.,"Haas, Nathan L; Nicholson, Adam; Haas, Mary R C",Haas,"Delusional parasitosis manifests as a fixed, false belief that an individual is infested by living organisms. Primary delusional parasitosis is a psychiatric disorder with the delusion as an isolated manifestation, whereas secondary delusional parasitosis is a delusion occurring secondary to a psychiatric disorder, substance use, or medical illness. A 62-year-old woman with no psychiatric history presented to the Emergency Department with two to three months of ""whole body itching"" and seeing small insects crawling on her skin and in her hair. Exam of her skin and scalp was notable for no appreciable lesions, rashes, excoriations, or insects. Her neurologic exam was notable for full visual fields, and no localizing deficits. A non-contrast head CT demonstrated a nonspecific heterogeneous low-attenuation lesion within the medial right occipital lobe, and a follow up MRI confirmed a right posterior cerebral artery distribution subacute infarction. She was admitted for two days, and ultimately was discharged on aspirin and atorvastatin for secondary prevention. An emergency physician should remain vigilant in his/her assessment of patients with seemingly psychiatric symptoms, in particular elderly patients with no known psychiatric illnesses. Neuroimaging should be amongst studies considered in the evaluation of elderly patients presenting with new onset psychiatric complaints.","DictElement({'Year': '2019', 'Month': '07', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2019,The American journal of emergency medicine,10.1016/j.ajem.2019.158368,,Cerebrovascular accident; Delusional parasitosis; Delusions; Psychosis,Case Reports; Journal Article,United States,eng
38288394,"Seizures, Psychosis, and Cerebral Vascular Malformation: A Rare Chain of Events.","Hanine, Ismail; Benallel, Khadija; Benjelloun, Roukaya; Kadiri, Mohamed",Hanine,"In psychiatry, anatomical abnormalities are sometimes forgotten, and this can mislead doctors into thinking that the diagnosis is purely psychiatric. A physical examination is important whenever it is possible. Even though cerebral arteriovenous malformations (cAVMs) are rare and can go unnoticed, in some cases they can cause clinical symptoms, which is a complication. <i>Case Presentation</i>. In this case, we describe a patient with no prior medical or psychiatric history having a cAVM diagnosed after showing psychotic symptoms (delusion and disorganized thoughts and behavior). The deep 4 × 5 cm cAVM was discovered after admitting the patient to psychiatric ward, the neurological cause has been considered after a recorded seizure, which brings the following question: Is the clinical presentation a direct result of the cAVM or is it postictal? An abnormality leading to another, here is how we could describe our patient's psychopathology leading to psychotic symptoms. The two hypotheses explaining this case report have a low rate of occurring making this a rare case. Either way, neurological cause cannot be overlooked even if the clinical presentation is typical.","DictElement({'Year': '2024', 'Month': '01', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2024,Case reports in psychiatry,10.1155/2024/8656715,PMC10824577,,Case Reports,United States,eng
