pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
16542786,Rapid recovery from major depression using magnesium treatment.,"Eby, George A; Eby, Karen L",Eby,"Major depression is a mood disorder characterized by a sense of inadequacy, despondency, decreased activity, pessimism, anhedonia and sadness where these symptoms severely disrupt and adversely affect the person's life, sometimes to such an extent that suicide is attempted or results. Antidepressant drugs are not always effective and some have been accused of causing an increased number of suicides particularly in young people. Magnesium deficiency is well known to produce neuropathologies. Only 16% of the magnesium found in whole wheat remains in refined flour, and magnesium has been removed from most drinking water supplies, setting a stage for human magnesium deficiency. Magnesium ions regulate calcium ion flow in neuronal calcium channels, helping to regulate neuronal nitric oxide production. In magnesium deficiency, neuronal requirements for magnesium may not be met, causing neuronal damage which could manifest as depression. Magnesium treatment is hypothesized to be effective in treating major depression resulting from intraneuronal magnesium deficits. These magnesium ion neuronal deficits may be induced by stress hormones, excessive dietary calcium as well as dietary deficiencies of magnesium. Case histories are presented showing rapid recovery (less than 7 days) from major depression using 125-300 mg of magnesium (as glycinate and taurinate) with each meal and at bedtime. Magnesium was found usually effective for treatment of depression in general use. Related and accompanying mental illnesses in these case histories including traumatic brain injury, headache, suicidal ideation, anxiety, irritability, insomnia, postpartum depression, cocaine, alcohol and tobacco abuse, hypersensitivity to calcium, short-term memory loss and IQ loss were also benefited. Dietary deficiencies of magnesium, coupled with excess calcium and stress may cause many cases of other related symptoms including agitation, anxiety, irritability, confusion, asthenia, sleeplessness, headache, delirium, hallucinations and hyperexcitability, with each of these having been previously documented. The possibility that magnesium deficiency is the cause of most major depression and related mental health problems including IQ loss and addiction is enormously important to public health and is recommended for immediate further study. Fortifying refined grain and drinking water with biologically available magnesium to pre-twentieth century levels is recommended.","DictElement({'Year': '2006', 'Month': '03', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2006,Medical hypotheses,10.1016/j.mehy.2006.01.047,,,Case Reports; Journal Article,United States,eng
24229653,What are the causes of late-life depression?,"Aziz, Rehan; Steffens, David C",Aziz,"Although depression in old age is less common than depression in younger populations, it still affects more than 1 million community-living older adults. Depression in late life has been associated with reduced quality of life and increased mortality from both suicide and illness. Its causes are multifactorial but are prominently related to both biologic and social factors. Psychological factors, although less studied in elders, are also important in understanding its cause. In this article, multiple facets of late-life depression are reviewed, including its clinical presentation, epidemiology, and biopsychosocial causes.","DictElement({'Year': '2013', 'Month': '10', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2013,The Psychiatric clinics of North America,10.1016/j.psc.2013.08.001,PMC4084923,Depression; Geriatric; Late life; Psychological; Social factors in late life,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Review",United States,eng
34698700,Poststroke Bipolar Disorder.,"Saraiva, Rodrigo; Proença, Filipa; Gonçalves, Maria; Sereijo, Carolina; Barandas, Rita; Coentre, Ricardo; Levy, Pedro",Saraiva,"Various diseases that impact different systems and organs in the body may trigger manic episodes. Strokes are often associated with psychiatric symptoms, particularly depressive and, more rarely, manic. We herein report a case of bipolar disorder secondary to cerebrovascular disease in a 67-year-old man with no personal or family history of psychiatric illness who, at the age of 64, had a bilateral ischemic stroke in the middle cerebral artery territory. About 20 days after this stroke, he experienced a manic episode. Three years later, he experienced a second manic episode, with another hospitalization in a psychiatric ward. With this case, we intend to emphasize that, although rare, the diagnosis of mania after stroke should not be forgotten, and most important, one should be aware of the recurrence of affective episodes just as in non-medical-caused bipolar disorder.",{},,The Journal of nervous and mental disease,10.1097/NMD.0000000000001410,,,Case Reports; Journal Article,United States,eng
23605832,Steroid-responsive depression.,"Normann, Claus; Frase, Lukas; Berger, Mathias; Nissen, Christoph",Normann,"A 48-year-old man presented with long-standing symptoms of major depression in the absence of markedly abnormal neurological findings or structural brain alterations. Antidepressive treatment, including medication and psychotherapy, had not led to significant improvement. The EEG, cerebrospinal fluid (CSF) analysis, fluorodeoxyglucose-positron emission tomography and neuropsychological testing showed pathological findings. An epileptic state provided further evidence for an organic encephalopathy. Extensively elevated thyroid-antibodies in the serum and CSF, as well as the rapid and sustained recovery after intravenous treatment with prednisolone, pointed to the diagnosis of a primarily psychiatric manifestation of a steroid responsive encephalopathy associated with autoimmune thyroiditis (SREAT).","DictElement({'Year': '2013', 'Month': '04', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2013,BMJ case reports,10.1136/bcr-2013-009101,PMC3645237,,Case Reports; Journal Article,England,eng
29128127,A crossbow suicide.,"Panata, Laura; Lancia, Massimo; Persichini, Alessandra; Scalise Pantuso, Sergio; Bacci, Mauro",Panata,"The crossbow is an ancient ranged weapon originally conceived for war and hunting. Although nowadays its use in warfare has been surpassed by firearms, it continues to be used in hunting, sports and recreation. The authors present the case of a 40-year-old man who suffered from severe depression. When his condition further deteriorated, doctors ordered a forced hospitalization but, just a few hours before the measure became effective, the man committed suicide using a crossbow. The autopsy and police investigation showed possession of the crossbow darts which the man used to shoot himself in the head. The forensic pathologist found the dart stuck in the skull: the entry wound was in the suprahyoid region while the arrow tip emerged in the left parietal region meaning the arrow crossed the tongue, the middle fossa, the brain and the cranial wall. All the wounds presented a three-pointed star shape consistent with the three sharp blades of the dart. An extensive blood infiltration affected the subdural and subarachnoid space, particularly where the dart had passed. The severe brain injury, extensive subdural and subarachnoid bleeding and brain swelling following the trauma caused the death. Even though the use of the crossbow is only permitted in sporting/hunting contexts, the reported case highlights the sharp contrast between its potential for harm and the easy access to this kind of weapon, even for those affected by mental illness.","DictElement({'Year': '2017', 'Month': '10', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2017,Forensic science international,10.1016/j.forsciint.2017.10.019,,Autopsy; Crossbow; Forensic pathology; Illegal dart; Intracranial injury; Suicide,Case Reports; Journal Article,Ireland,eng
8353678,Thalamo-frontal psychosis.,"McGilchrist, I; Goldstein, L H; Jadresic, D; Fenwick, P",McGilchrist,"A 43-year-old man presented with an 18-month history of acute-onset cyclical behavioural change affecting mood, appetite, sleep, and energy levels. This had followed an initial episode of transient drowsiness which lasted 24 hours. On examination, there was some evidence of visual memory and frontal lobe deficits. A brain CT scan showed bilateral thalamic infarcts and a brain SPECT scan showed bilateral hypoperfusion of the frontal lobes. To our knowledge, this is the first reported case of thalamic infarction associated with acute-onset cyclical affective psychosis with clinical and neurophysiological features of frontal lobe syndrome. The case also highlights the possible role of thalamo-frontal circuits in the pathogenesis of the Kleine-Levin syndrome.",{},,The British journal of psychiatry : the journal of mental science,10.1192/bjp.163.1.113,,,Case Reports; Journal Article,England,eng
29385828,Prolonged Postconcussive Symptoms.,"Quinn, Davin K; Mayer, Andrew R; Master, Christina L; Fann, Jesse R",Quinn,,{},,The American journal of psychiatry,10.1176/appi.ajp.2017.17020235,PMC6586466,Mild Traumatic Brain Injury; Postconcussive Symptoms,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.",United States,eng
38098127,Emotional dysmetria after cerebellar-pontine stroke: a case report.,"Long, Rebecca M; DuVal, Michèle; Mulvany-Robbins, Bridget; Wagner, Amanda N; Jickling, Glen C",Long,"Pseudobulbar affect, or emotional dysregulation, commonly occurs following stroke. However, it is frequently missed in cases involving the cerebellum, resulting in a lack of treatment, which can directly impact stroke rehabilitation. A 63-year-old Caucasian female with no history of mood disorders presented with gait instability, dysarthria, and right sided hemiplegia, secondary to cerebellar and pontine ischemic stroke from a basilar occlusion. She underwent endovascular therapy and her deficits gradually improved. However during recovery she began to develop uncontrollable tearfulness while retaining insight that her emotional expression was contextually inappropriate. She was treated with a selective serotonin reuptake inhibitor with reported improvements in her emotional regulation at one year follow up. This case highlights cerebellar injury as a potential cause of poorly regulated emotions, or an emotional dysmetria. The recognition of this disorder in patients with cerebellar or pontine strokes is critical, as untreated pseudobulbar affect can impact future stroke rehabilitation.","DictElement({'Year': '2023', 'Month': '12', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2023,Journal of medical case reports,10.1186/s13256-023-04294-1,PMC10722665,Case report; Cerebellum; Depression; Emotional lability; Ischemic stroke; Pseudobulbar affect,Case Reports; Journal Article,England,eng
19204849,The effects of epilepsy and its treatments on affect and emotion.,"Hixson, John D; Kirsch, Heidi E",Hixson,"Epilepsy creates significant morbidity, disability, and loss of productivity worldwide. Although unpredictable seizures define epilepsy, the cognitive and emotional difficulties encountered by people with epilepsy may have an even greater impact on everyday function. Epilepsy is associated with lower quality of life (QOL); while this is partially attributable to ongoing seizures, QOL is independently affected by comorbid affective disorders like depression and anxiety. These can accompany all types of epilepsy, but may be especially noteworthy in partial epilepsy syndromes with foci in the frontal or temporal lobes. There is growing evidence that epileptogenic lesions disrupt cortical networks that carry out emotional processing. In addition to epilepsy itself, treatment strategies also affect cognitive functioning and mood. Antiepileptic drugs, vagal nerve stimulation, and surgical resection have all been associated with changes in mood, emotional processing, and social cognition. Overall, the relationship between epilepsy and emotion is vastly complex; when assessing emotional difficulties in a person with epilepsy, we must consider the psychosocial impact of the disease on the patient, the underlying pathophysiology of the disease, and the effects of ongoing treatments.",{},,Neurocase,10.1080/13554790802632876,,,Case Reports; Journal Article; Review,England,eng
3239553,Suicide and Meningioma.,"Feigin, G",Feigin,"A 73-year-old man committed suicide by placing a plastic bag over his head. At autopsy, a large meningioma of the frontal lobe of the brain was found. It is believed that the tumor contributed to death by its direct effect on the brain, causing depression. This article illustrates a relationship between disease, depression, and suicide and offers a brief review of the literature concerning this relationship.",{},,The American journal of forensic medicine and pathology,10.1097/00000433-198812000-00013,,,Case Reports; Journal Article,United States,eng
