pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
37828390,"Footloose (footloose), footloose.","Mumoli, Laura; Magro, Giuseppe; Bosco, Domenico",Mumoli,"A 78-year-old woman without past relevant medical history presented to the emergency department for acute transient dysarthria. NIHSS was 0/42. Neurological examination revealed chorea-like movements over the left limbs, especially the foot. No other neurological signs were present. CT perfusion showed right cortical hypoperfusion due to right M2 occlusion, basal-ganglia perfusion was normal. Brain MRI revealed a small focus of restricted diffusion in the right insula, sparing basal ganglia. Based on the neuroimaging features and clinical correlation, despite the NIHSS score, we decided to treat the patient with alteplase, after iv-thrombolysis hyperkinetic movements ceased completely. Brain-MRI performed 72 h after symptom onset confirmed a confined insular ischemic lesion without the involvement of deep gray matter structures. Hyperkinetic movement disorders, such as hemichorea hemiballismus, are rare presentations of stroke, basal ganglia are mainly involved even if the insular cortex has been described too. Clinical decision on whether to treat ischemic stroke does not include movement disorders. Our case underscores NIHSS limitations in clinical practice.","DictElement({'Year': '2023', 'Month': '10', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2023,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-023-07112-0,,Acute ischemic stroke; Hemichorea; Movement disorders; NIHSS limitations; Stroke,Case Reports; Journal Article,Italy,eng
11197801,Parietal cheiro-oral syndrome.,"Yasuda, Y; Watanabe, T; Ogura, A",Yasuda,"Cheiro-oral syndrome due to a parietal lesion has been reported in conjuction with a brain tumor, infarction and migraine. Only six reports of cheiro-oral syndrome due to a parietal infarction have been reported to date. We treated a 45-year-old woman with cheiro-oral syndrome due to a parietal infarction. Her sensory disturbance was characterized by paresthesia in the lower face and hand on the left side, and severe involvement of stereognosis and graphesthesia in the left hand. The pathogenesis of parietal cheiro-oral syndrome is discussed.",{},,"Internal medicine (Tokyo, Japan)",10.2169/internalmedicine.39.1105,,,Case Reports; Journal Article; Review,Japan,eng
35431875,Dysarthria-Facial Paresis and Rostral Pontine Ischemic Stroke.,"Miyawaki, Edison K; Wilcox, Douglas R; Kraft, Andrew W; Guenette, Jeffrey P",Miyawaki,"We describe an acute, postoperative dysarthria-facial paresis. While the rare stroke syndrome has been described previously, we present an under-described clinical nuance to its presentation with a particularly clear imaging correlation. A 78-year-old, right-handed man with a past medical history of aortic stenosis presented after a transcatheter aortic valve replacement. Immediately postoperatively, no neurological deficits were noted. That evening, he described his speech as ""drunken."" He was later noted to have a right lower facial droop in addition to the speech change. His speech exhibited labial, lingual, and (to a lesser degree) guttural dysarthria. At the patient's request due to claustrophobia, he received 2 mg of oral lorazepam prior to cranial imaging. Afterwards, he was sleepy but arousable, yet was unable to put pen to paper when asked to write. Right lower facial paresis persisted, but he now demonstrated a right pronator drift, which resolved after 14 h without other evolution to his clinical examination. Brainstem lesions above the level of the pontine facial nucleus may present with central facial paresis contralateral to the lesion. An associated dysarthria may have both labial and lingual features in the absence of tongue or pharyngeal weakness. Our review of reported cases of dysarthria in isolation, dysarthria in combination with facial paresis, and facial paresis finds that all presentations may result from cortical, subcortical, or brainstem involvement. Stroke mechanisms are most commonly thromboembolic or small-vessel-ischemic in either the anterior or posterior circulations.","DictElement({'Year': '2022', 'Month': '03', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2022,Case reports in neurology,10.1159/000522283,PMC8958628,Dysarthria; Facial paresis; Ischemic stroke; Pons,Case Reports,Switzerland,eng
38098127,Emotional dysmetria after cerebellar-pontine stroke: a case report.,"Long, Rebecca M; DuVal, Michèle; Mulvany-Robbins, Bridget; Wagner, Amanda N; Jickling, Glen C",Long,"Pseudobulbar affect, or emotional dysregulation, commonly occurs following stroke. However, it is frequently missed in cases involving the cerebellum, resulting in a lack of treatment, which can directly impact stroke rehabilitation. A 63-year-old Caucasian female with no history of mood disorders presented with gait instability, dysarthria, and right sided hemiplegia, secondary to cerebellar and pontine ischemic stroke from a basilar occlusion. She underwent endovascular therapy and her deficits gradually improved. However during recovery she began to develop uncontrollable tearfulness while retaining insight that her emotional expression was contextually inappropriate. She was treated with a selective serotonin reuptake inhibitor with reported improvements in her emotional regulation at one year follow up. This case highlights cerebellar injury as a potential cause of poorly regulated emotions, or an emotional dysmetria. The recognition of this disorder in patients with cerebellar or pontine strokes is critical, as untreated pseudobulbar affect can impact future stroke rehabilitation.","DictElement({'Year': '2023', 'Month': '12', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2023,Journal of medical case reports,10.1186/s13256-023-04294-1,PMC10722665,Case report; Cerebellum; Depression; Emotional lability; Ischemic stroke; Pseudobulbar affect,Case Reports; Journal Article,England,eng
35903929,Capecitabine-related neurotoxicity presenting with agraphia.,"Iscan, Dilek; Tolay, Rumeysa; Bayram, Ertugrul; Demir, Turgay; Bicakci, Sebnem",Iscan,"Capecitabine is a pre-metabolite of 5-fluorouracil and is used as a chemotherapeutic agent. Among the common side effects of capecitabine, there are gastrointestinal side effects including nausea, vomiting, and diarrhea, and dermatological side effects including hand-foot syndrome and skin pigmentation change. However, neurological side effects of capecitabine are very rare. We describe herein a patient who developed neurological side effects in the form of agraphia and dysarthria on the 7th day of capecitabine treatment. A 34-year-old male patient, who was being followed up with the diagnosis of colon cancer, presented with speech and writing disorder that developed while under capecitabine treatment. Dysarthria and agraphia were detected in his neurological examination. Diffusion-weighted magnetic resonance imaging (MRI) revealed acute diffusion restriction in the splenium of the corpus callosum and at the level of the bilateral centrum semiovale. Brain MRI revealed symmetrical T2-weighted fluid-attenuated inversion recovery (T2-FLAIR) signal increases at the right temporoparietal medial, corpus callosum level, and bilateral white matter level. The capecitabine treatment was terminated, and methylprednisolone treatment was administered and plasmapheresis procedure was carried out. Subsequently, significant improvement was observed in the clinical findings and neuroimaging. Capecitabine is used as an oral agent; thus, it provides ease of use. Neurological side effects associated with the use of capecitabine reportedly occur very rarely. The findings of this case demonstrated that leukoencephalopathy can be seen during the use of capecitabine, imaging results are very important in the diagnosis of leukoencephalopathy, and improvement can be achieved with the termination of the capecitabine treatment.","DictElement({'Year': '2022', 'Month': '07', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2022,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,10.1177/10781552221116329,,Agraphia; capecitabine; neurotoxicity,Case Reports; Journal Article,England,eng
8898266,Treatment efficacy: dysarthria.,"Yorkston, K M",Yorkston,"The dysarthrias form a group of diverse, chronic motor speech disorders. The disorders of Parkinson's disease, stroke, traumatic brain injury, amyotrophic lateral sclerosis, and cerebral palsy are reviewed because they represent important clinical diagnoses in which dysarthria is a frequent and debilitating symptom. The roles played by speech-language pathologists include participation in differential diagnosis, provision of speech treatment, staging of treatment, and timely education so that clients and families can make informed decisions about communication alternatives. Both scientific and clinical evidence is presented that suggests that individuals with dysarthria benefit from the services of speech-language pathologists. Group-treatment studies, single-subject studies, and case reports illustrate the effectiveness of various types of speech treatment. Research into the effectiveness of augmentative and alternative communication systems for individuals with cerebral palsy is also presented.",{},,Journal of speech and hearing research,10.1044/jshr.3905.s46,,,Case Reports; Journal Article,United States,eng
36725032,Intracranial Myeloid Sarcoma Mimicking Hypertensive Intracerebral Hemorrhage.,"Ikeda, Shuhei; Tsutsumi, Masaomi; Fujita, Mai; Okamoto, Sho; Eriguchi, Makoto; Hara, Hideo",Ikeda,"We herein report a case of intracranial myeloid sarcoma mimicking hypertensive intracerebral hemorrhage. A 71-year-old man with a history of acute myeloid leukemia was admitted with acute-onset dysarthria. A hematoma-like lesion was found on computed tomography in the left putamen. Magnetic resonance imaging (MRI) and cerebrospinal fluid cytology confirmed the diagnosis of intracranial myeloid sarcoma. The patient showed a favorable response to chemotherapy, and follow-up MRI revealed shrinkage of the tumor. Since the computed tomography findings resemble those of intracerebral hemorrhage, it is important to suspect intracranial neoplasm, particularly in cases with a history of hematologic diseases.","DictElement({'Year': '2023', 'Month': '02', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2023,"Internal medicine (Tokyo, Japan)",10.2169/internalmedicine.9774-22,PMC10518558,cerebrospinal fluid examination; extramedullary malignancy; magnetic resonance imaging; myeloid sarcoma; stroke mimic,Case Reports; Journal Article,Japan,eng
25726795,[Moyamoya disease].,"Burkova, K I; Azhermacheva, M N; Alifirova, V M; Alekseeva, L N; Zautner, N A; Plotnikov, D M; Pugachenko, N V; Valikova, T A",Burkova,"Moyamoya syndrome is a rare chronic progressive disease of brain vessels in which certain arteries in the brain are constricted. During the disease a collateral circulation develops around the blocked vessels to compensate for the blockage, and on angiography these collateral vessels have the appearance of a ""puff of smoke"". Moyamoya syndrome is extremely rare disease, especially outside of Japan We describe a clinical case of a 27-year-old patient from Tomsk with Moyamoya disease. The clinical features are an acute stroke in the right middle cerebral artery with dysarthria and paralysis of VII and XII cranial nerves. The diagnosis of moyamoya is suggested by MRI-angiogram results in accordance to the diagnostic criteria.",{},,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,10.17116/jnevro2014114121143-147,,,Case Reports; English Abstract; Journal Article,Russia (Federation),rus
8624221,Delayed-onset cerebellar syndrome.,"Louis, E D; Lynch, T; Ford, B; Greene, P; Bressman, S B; Fahn, S",Louis,"Delayed-onset involuntary movements, including dystonia and myoclonus, have been reported after stroke or head trauma. Moreover, there have been reports of delayed-onset isolated intention tremor and, in several of these cases, gait ataxia. To further define the clinical features of a delayed-onset cerebellar syndrome. Subjects with cerebellar tremor and either head trauma or stroke were identified using a computerized database, providing detailed demographic and clinical information of 4002 patients with involuntary movements other than Parkinson's disease seen at our center between 1983 and 1995. Medical records and videotaped neurological examinations were retrospectively reviewed. The Center for Parkinson's Disease and Other Movement Disorders at Columbia-Presbyterian Medical Center, New York, NY. Five patients with delayed-onset cerebellar syndromes. Five patients with stroke or head trauma developed a cerebellar syndrome 3 weeks to 2 years after the initial insult. The syndrome, characterized by intention tremor, ataxic dysarthria, nystagmus, dysmetria, dysdiadochokinesis, and gait ataxia, was progressive in at least one patient. In four patients, lesions were present on neuroimaging in the thalamus or brain stem (especially in the midbrain). A delayed-onset cerebellar syndrome may follow head trauma or stroke. The syndrome is sometimes progressive and often disabling. The delayed onset implies that the syndrome is not caused by the initial lesion itself but may be caused by development of post-synaptic supersensitivity or secondary reorganization of involved pathways.",{},,Archives of neurology,10.1001/archneur.1996.00550050080027,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",United States,eng
10693814,Knowing no fear.,"Sprengelmeyer, R; Young, A W; Schroeder, U; Grossenbacher, P G; Federlein, J; Büttner, T; Przuntek, H",Sprengelmeyer,"People with brain injuries involving the amygdala are often poor at recognizing facial expressions of fear, but the extent to which this impairment compromises other signals of the emotion of fear has not been clearly established. We investigated N.M., a person with bilateral amygdala damage and a left thalamic lesion, who was impaired at recognizing fear from facial expressions. N.M. showed an equivalent deficit affecting fear recognition from body postures and emotional sounds. His deficit of fear recognition was not linked to evidence of any problem in recognizing anger (a common feature in other reports), but for his everyday experience of emotion N.M. reported reduced anger and fear compared with neurologically normal controls. These findings show a specific deficit compromising the recognition of the emotion of fear from a wide range of social signals, and suggest a possible relationship of this type of impairment with alterations of emotional experience.",{},,Proceedings. Biological sciences,10.1098/rspb.1999.0945,PMC1690477,,Case Reports; Journal Article,England,eng
