pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
37551251,Marchiafava-Bignami Disease: A Rare Association With Dysdiadochokinesia and Ataxic Gait.,"Abouibrahim, Mahmoud; Agarwal, Ansh; Ottih, Ugochinyere; Ravendran, Kapilraj; Bista, Galaxy; Zafar, Mansoor; Hovagim, Garabedyan; Hacikurt, Kadir",Abouibrahim,"Marchiafava-Bignami disease (MBD) is a rare neurological disorder characterized by demyelination and necrosis of the corpus callosum. The non-specific signs and symptoms associated with MBD including dysarthria, impaired walking, pyramidal signs, primitive reflexes, seizures, incontinence, sensory symptoms, gaze palsies, and altered mental state result in a challenging diagnosis. Here, we report the case of a 64-year-old female presenting with dizziness, gait ataxia, and a history of recurrent falls for several months. Initial blood tests indicated anaemia, hypokalemia, hypomagnesemia, and mildly elevated inflammatory markers. Her presentation was initially attributed to a multifactorial aetiology, including a urinary tract infection, orthostatic hypotension, and electrolyte imbalances; however, on correction of reversible causes, her symptoms persisted. Moreover, further examination revealed right-hand dysdiadochokinesia. Subsequent brain MRI revealed fluid-attenuated inversion recovery hyperintensity within the corpus callosum and a right-sided pericallosal white matter hyperintensity. Neuro-radiology multidisciplinary team reported these findings consistent with MBD. Management with vitamin B supplementation was promptly initiated alongside alcohol cessation advice. She was also reviewed by physiotherapy teams. This case adds to the paucity of literature on MBD.","DictElement({'Year': '2023', 'Month': '07', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.41492,PMC10404341,ataxic gait; corpus callosum; dysdiadochokinesia; magnetic resonance imaging; marchiafava-bignami disease,Case Reports,United States,eng
34926071,COVID-19 Associated Coagulopathy Resulting in Cerebral Venous Thrombosis and Pulmonary Embolism.,"Abbas, Zaira; Chaudhary, Ali",Abbas,"Venous stroke is an infrequent complication of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) disease. Coronavirus disease 2019 (COVID-19) acts as a causative factor for thromboembolic events such as pulmonary embolism (PE), deep vein thrombosis (DVT), stroke (ischemic or hemorrhagic), and myocardial infarction. We report a case of cerebral venous thrombosis (CVT) following severe COVID-19 infection, with co-incidence of pulmonary thromboembolism. A 39-year-old English lady presented with fever and cough; subsequently, she was diagnosed with COVID-19 and was managed in the high dependency unit (HDU) due to the severity of symptoms; she received dexamethasone and tocilizumab. Her condition improved and she was discharged, but presented again after 15 days due to headache and left-sided weakness. Her neurological examination confirmed nystagmus, past pointing, and dysdiadochokinesia positive on the left side. Initial blood investigations showed D-dimer being raised at 1875 ng/ml. Head CT venogram reported evidence of thrombus in the superior sagittal sinus, left transverse sinus, and inferior sagittal sinus consistent with venous sinus thrombosis. She also underwent CT pulmonary angiogram (CTPA) which revealed lingular acute segmental PE and patchy ground-glass shadowing throughout both lung fields, confirming recent infective COVID-19 changes. She was started on a therapeutic dose of dalteparin (low-molecular-weight heparin). Luckily she made a good recovery from her neurological symptoms. Like this case and many other reported cases, COVID-19 acts as an independent risk factor for increased coagulopathy. Clinicians should maintain a high index of suspicion for CVT to aid in timely diagnosis and prompt treatment to save lives.","DictElement({'Year': '2021', 'Month': '11', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.19602,PMC8674063,cerebral venous thrombosis cvt; coagulopathy; covid 19; d-dimer; pulmonary embolism (pe),Case Reports,United States,eng
32148353,Intracerebellar Hemorrhage in a Young Adult.,"Pannu, Ashok K; Saroch, Atul; Sharma, Navneet",Pannu,"A 28-year-old male was admitted with a history of sudden onset headache, multiple episodes of vomiting, gait disturbance with swaying toward right side, and blurring of vision for 2 days. The patient was conscious, cooperative, and oriented, and his vitals were normal. Bilateral gaze-evoked nystagmus was present. Motor and sensory examinations were within normal limit, and deep tendon reflexes were 2+ in all four limbs. Cerebellar examination reveals positive finger-nose test and dysdiadochokinesia on right side. A computed tomography of head showed acute intraparenchymal hemorrhage in right cerebellar hemisphere with effacement of fourth ventricle and mild hydrocephalus. Computed tomography angiography of cerebral vessels was normal. The coagulation profile (international normalized ratio: 1.02), renal function test, and liver function tests were within normal limit. Urine toxicology screen was positive for tetrahydrocannabinoid. The patient was diagnosed with right cerebellar bleed and cannabis abuse. The patient managed conservatively with intravenous mannitol and was discharged in hemodynamic stable condition. Pannu AK, Saroch A, Sharma N. Intracerebellar Hemorrhage in a Young Adult. Indian J Crit Care Med 2020;24(1):69-70.",{},,"Indian journal of critical care medicine : peer-reviewed, official publication of Indian Society of Critical Care Medicine",10.5005/jp-journals-10071-23330,PMC7050183,Cannabis; Intracerebellar hemorrhage; Young stroke,Case Reports,India,eng
32996116,Wernekink Commissure Syndrome: A Rare Cause of Bilateral Cerebellar Syndrome.,"Alhayek, Kefah; Aldabbour, Belal; Refa'I, Haneen Al Refa'I; Alanbar, Maram",Alhayek,"Focal signs are a big deal in neurology and are among the most important clues leading to diagnosis and localization. Wernekink commissure syndrome is due to lesions in the caudal paramedian midbrain involving the entire decussation of the superior cerebellar peduncles, resulting in the clinical hallmark of a bilateral cerebellar syndrome. A 79-year-old man presented with sudden, severe unsteadiness associated with slurring of speech, binocular double vision, and bilateral hand tremor. Examination showed right INO, moderately severe dysarthria, bilateral dysmetria and dysdiadochokinesia, with severe truncal ataxia and bilateral upper and lower limb ataxia. Also, bilateral coarse tremor was noted in both hands which was present at rest, action and on reaching for objects. Brain MRI revealed an acute infarction involving the Wernekinck decussation in the right caudal midbrain and mesencephalo-pontine junction. The differential of Wernekink Commissure Syndrome is complex, and localization and lateralization are extremely difficult owing to prominent bilateral cerebellar symptoms. The finding of an associated unilateral INO in some cases makes it possible to confidently narrow the list of differentials and localize the lesion to the paramedian tegmentum ipsilateral to the non-adducting eye.",{},,Acta neurologica Taiwanica,,,Stroke; Mesencephalon; Cerebellar Syndromes; Ocular Motility Disorders.,Case Reports; Journal Article,China (Republic : 1949- ),eng
24728890,"Delayed onset of rotatory self-motion perception, dysdiadochokinesia and disturbed eye pursuit caused by low-dose pregabalin.","Hounnou, Patrice; Nicoucar, Keyvan",Hounnou,"A 30-year-old woman with chronic foot pain after an orthopaedic surgery and chronic neck pain presented to the emergency department (ED) with a history of self-rotatory vertigo with unsteadiness. She had started low-dose pregabalin, 25 mg two times a day 9 months before experiencing symptoms with the dose gradually increased to 150 mg two times a day over this period. Clinical examination revealed difficulty performing eye pursuit with left eye and dysdiadochokinesia of the left arm. Owing to a suspicion of multiple sclerosis she underwent cerebral MRI, which was normal. Pregabalin was tapered over 2 months with a complete disappearance of the symptoms. We concluded that symptoms were due to pregabalin treatment.","DictElement({'Year': '2014', 'Month': '04', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2014,BMJ case reports,10.1136/bcr-2013-201282,PMC3987234,,Case Reports; Journal Article,England,eng
22178081,WEBINO and the return of the King's Speech.,"Beh, Shin C; Frohman, Elliot M",Beh,"We present a 69 year-old man with hypertension who developed the sudden onset of horizontal binocular diplopia and stuttering of speech. On examination, bilateral exotropia (i.e. 'wall-eyed') was observed in the primary position. Attempted horizontal saccades revealed bilateral internuclear ophthalmoplegia; all consistent with the wall-eyed bilateral internuclear ophthalmoplegia (WEBINO) syndrome. Convergence, vertical saccades and vestibular ocular reflexes were likewise impaired. Pupillary and levator palpebrae superioris functions were intact. Mild left-sided dysmetria, intention tremor and dysdiadochokinesia were elicited. Conspicuously, further characterization of the patient's history revealed that he had stuttered as a child, but it had resolved in adolescence. Brain MRI revealed an acute infarction of the mesencephalic and upper pontine tegmentum involving the periaqueductal gray region and the medial longitudinal fasciculus bilaterally with greater involvement of the left. Like the WEBINO syndrome, re-emergent developmental stuttering is a rare neurologic phenomenon. To our knowledge, this is the first case report of a mesencephalic and upper pontine infarction causing both syndromes. We discuss the pathobiological underpinnings of the WEBINO syndrome and neurogenic stuttering and in relationship to this unusual case.","DictElement({'Year': '2011', 'Month': '12', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2011,Journal of the neurological sciences,10.1016/j.jns.2011.11.035,,,Case Reports; Journal Article,Netherlands,eng
26396618,Infratentorial hemorrhagic cerebral proliferative angiopathy: A rare presentation of a rare disease.,"Kumar, Sunil; Sharma, Mukesh; Srivastava, Trilochan; Sinha, Virendra Deo",Kumar,"Cerebral proliferative angiopathy (CPA) is a unique and rare vascular malformation with distinct clinico-radiological features. CPA is associated with low risk of hemorrhage as compared to classical cerebral arteriovenous malformations (AVMs). Infratentorial location of diffuse nidus is also an uncommon presentation. Infratentorial hemorrhagic presentation of CPA is a rare co-occurrence. Herein, we report a case of an elderly old male, who presented with acute onset severe headache, recurrent vomiting, vertigo and swaying toward left side while walking. Cerebellar signs in the form of scanning speech, nystagmus, impaired finger-to-nose incoordination test, dysdiadochokinesia, and limb ataxia on the left side were present. Magnetic resonance imaging (MRI) brain revealed diffuse vascular network with intermingled normal brain parenchyma and hemorrhage in the left cerebellum. Digital subtraction angiography (DSA) revealed diffuse, ill-defined, nidus in left posterior fossa involving the left posterior inferior cerebellar, anterior inferior cerebellar and posterior cerebral arterial territories. There were no definite arterial feeders. DSA showed scattered ""puddling"" appearance of contrast material in the widespread nidus and drained into the multiple ill-defined posterior fossa veins. The MRI brain and DSA findings were consistent with the diagnosis of the CPA. Treatment in our case was limited to supportive medical therapy because selective embolization was not feasible due to nonidentifiable arterial feeders. He was asymptomatic at 1-year follow-up. This case highlights a rare entity called CPAs, which have different clinical presentations, angiographic features, treatment options and patient outcome as compared to classical cerebral AVMs.",{},,Asian journal of neurosurgery,10.4103/1793-5482.161185,PMC4553743,Cerebral proliferative angiopathy; arteriovenous malformations; infratentorial nidus; intracerebral hemorrhage,Case Reports,India,eng
38091596,Hyperbaric oxygen treatment in delayed post-hypoxic encephalopathy following inhalation of liquefied petroleum gas: a case report.,"Canarslan Demir, Kubra; Turgut, Burak; Ozgok Kangal, Kubra; Zaman, Taylan; Şimşek, Kemal",Canarslan Demir,"Delayed post-hypoxic encephalopathy can occur after an episode of anoxia or hypoxia. Symptoms include apathy, confusion, and neurological deficits. We describe a 47-year-old male patient who inhaled gas from a kitchen stove liquid petroleum gas cylinder. He was diagnosed with hypoxic ischaemic encephalopathy 12 hours after his emergency department admission. He received six sessions of hyperbaric oxygen treatment (HBOT) and was discharged in a healthy state after six days. Fifteen days later, he experienced weakness, loss of appetite, forgetfulness, depression, balance problems, and inability to perform self-care. One week later, he developed urinary and fecal incontinence and was diagnosed with post-hypoxic encephalopathy. After 45 days from the onset of symptoms, he was referred to the Underwater and Hyperbaric Medicine Department for HBOT. The patient exhibited poor self-care and slow speech rate, as well as ataxic gait and dysdiadochokinesia. Hyperbaric oxygen was administered for twenty-four sessions, which significantly improved the patient's neurological status with only hypoesthesia in the left hand remaining at the end of treatment. Hyperbaric oxygen has been reported as successful in treating some cases of delayed neurological sequelae following CO intoxication. It is possible that HBO therapy may also be effective in delayed post-hypoxic encephalopathy from other causes. This may be achieved through mechanisms such as transfer of functional mitochondria to the injury site, remyelination of damaged neurons, angiogenesis and neurogenesis, production of anti-inflammatory cytokines, and balancing of inflammatory and anti-inflammatory cytokines.",{},,Diving and hyperbaric medicine,10.28920/dhm53.4.351-355,PMC10944663,Brain; Dementia; Hyperbaric medicine; Neurology; Toxicity,Case Reports,Australia,eng
3271052,A case of aneurysm of the vein of Galen.,"Sung, K B; Chang, D I; Kim, J H; Kim, M H; Hahm, C K; Jeon, S C",Sung,"Aneurysm of the vein of Galen is a very rare disease. The authors present a case of secondary aneurysm of the vein of Galen which was confirmed by characteristic clinical symptoms, brain CT and angiographic findings. The patient was a 14-year-old right handed girl with intermittent headache, nausea, vomiting, dysphasia and gait disturbance. Neurologic examination revealed dysarthria, nasal voice, blurring of both margins of optic discs, truncal ataxia and dysdiadochokinesia. Sensory function was normal but right hemiparesis was seen. Roentgenogram of the skull revealed diffuse thinning of the calvarium, widening of sella turcica and erosion of clinoid processes. Computed tomogram of the brain showed dilatation of all ventricles and round hyperdense mass behind the third ventricle in the midline. The lesion was enhanced markedly and homogeneously. Left and right internal carotid angiograms showed arteriovenousmal-formation with drainage to the aneurysm of the vein of Galen.",{},,Journal of Korean medical science,10.3346/jkms.1987.2.2.117,PMC3053613,,Case Reports; Journal Article,Korea (South),eng
31246722,Dural Arteriovenous Fistula With Sinus Thrombosis and Venous Reflux Presenting as Parkinsonism: A Case Report.,"Chang, Chia-Wei; Hung, Hung-Chang; Tsai, Jiao-I; Lee, Po-Chang; Hung, Shih-Chang",Chang,"The occurrence of dural arteriovenous fistula (DAVF) is rare. The clinical manifestation varies and depends on the location and venous drainage pattern. We present a case of a 57-year-old man with a left transverse sinus DAVF along with sigmoid thrombosis, cortical venous reflux, and congestion, that initially presented as parkinsonism. The patient was alert and fully oriented; however, decreased facial expressions were noted. His left forearm showed rigidity and bradykinesia, and it was difficult for the patient to smoothly perform rapid alternating movement testing. His complaints about hearing a rhythmic bruit above the left ear, particularly when lying down, alerted the physician of the presence of vascular lesions. Magnetic resonance imaging and angiography confirmed the diagnosis of DAVF. The patient received a combined surgical and endovascular approach to permanently block the fistula blood flow. The motion and movement of his left upper limb improved after fistula embolization. Images at the 1-month follow-up showed a decrease in the volume of tortuous vessels, and the fistula was completely occluded.",{},,The neurologist,10.1097/NRL.0000000000000235,,,Case Reports; Journal Article,United States,eng
