pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
28490287,Cheiro-oral syndrome.,"Saeed, Mamoun; Abbker, Abdelrahman; Brenan, Paul; Abkur, Tarig Mohammed",Saeed,"We describe a 64-year-old man who presented to the emergency department with a two-day history of left perioral and hand numbness. Examination revealed impaired sensation of the left corner of the mouth and ipsilateral fingers. Neuroimaging showed an acute right thalamic lacunar infarct consistent with the diagnosis of cheiro-oral syndrome. In this report, we discuss the importance of recognising this syndrome and instituting appropriate management to prevent further cerebrovascular events.","DictElement({'Year': '2017', 'Month': '05', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2017,Scottish medical journal,10.1177/0036933017691692,,Stroke; radiology; thalamus; transient ischemic attack,Case Reports; Journal Article,Scotland,eng
30636764,Cheiro-Oral Syndrome.,"Thapa, L; Amatya, R; Maharjan, S; Gaurishankar, N; Shrestha, A M; Bhattarai, S; Singh, S N; Gongal, D N; Devkota, U P",Thapa,"Cheiro-Oral Syndrome (COS) is a very rare neurological syndrome associated with varied etiology. We report a 53-year-old man presented with left sided perioral and ipsilateral hand/fingers burning sensation for a one-month duration. On examination, he had hypesthesia over left perioral and distal palmar aspect of all five fingers. MRI revealed subacute infarct in the posterior limb of right internal capsule adjacent to and minimally involving thalamus. He was diagnosed as CheiroOral Syndrome as a result of ischemic stroke and managed.",{},,Kathmandu University medical journal (KUMJ),,,,Case Reports; Journal Article,Nepal,eng
1563459,Cheiro-oral-pedal syndrome.,"Yasuda, Y; Morita, T; Okada, T; Seko, S; Akiguchi, I; Kimura, J",Yasuda,"The cheiro-oral syndrome is a well-known peculiar sensory disturbance seen around the corner of the mouth and in the palm of the hand on the same side. However, sensory disturbance around the corner of the mouth, in the palm of the hand and in the foot on the same side (cheiro-oral-pedal syndrome) has not been reported until now. We examined 2 cases of cheiro-oral-pedal syndrome; the lesion responsible was confirmed by magnetic resonance imaging to be in the medial lemniscus and in the ventral ascending tract of the trigeminal nerve.",{},,European neurology,10.1159/000116803,,,Case Reports; Journal Article,Switzerland,eng
11197801,Parietal cheiro-oral syndrome.,"Yasuda, Y; Watanabe, T; Ogura, A",Yasuda,"Cheiro-oral syndrome due to a parietal lesion has been reported in conjuction with a brain tumor, infarction and migraine. Only six reports of cheiro-oral syndrome due to a parietal infarction have been reported to date. We treated a 45-year-old woman with cheiro-oral syndrome due to a parietal infarction. Her sensory disturbance was characterized by paresthesia in the lower face and hand on the left side, and severe involvement of stereognosis and graphesthesia in the left hand. The pathogenesis of parietal cheiro-oral syndrome is discussed.",{},,"Internal medicine (Tokyo, Japan)",10.2169/internalmedicine.39.1105,,,Case Reports; Journal Article; Review,Japan,eng
12416569,Bilateral thalamic glioma--case report.,"Uchino, Masafumi; Kitajima, Satoru; Miyazaki, Chikao; Shibata, Iekado; Miura, Myouta",Uchino,A 35-year-old woman presented with a bilateral thalamic glioma manifesting as dysesthesia over the left side of the body and mental deterioration. T1-weighted magnetic resonance imaging revealed enlarged bilateral thalami with homogeneous isointensity and no enhancement after gadolinium administration. Histological examination of a stereotactic biopsy specimen identified anaplastic astrocytoma. Radiotherapy and chemotherapy failed to arrest tumor growth. She subsequently died. Magnetic resonance imaging and clinical findings support the view that bilateral thalamic gliomas represent a distinct clinicopathologic entity among thalamic tumors.,{},,Neurologia medico-chirurgica,10.2176/nmc.42.443,,,Case Reports; Journal Article; Review,Japan,eng
36923779,Lateral medullary syndrome: uncommon form of brainstem stroke.,"Ahmed Ibrahim, Abdiwahid; Bakir, Ahmet; Osman Sidow, Nor; Mohamed Ali, Abdiladhif; Farah Osman, Mohamed; Ahmed, Abdulkadir; Sheikh Hassan, Mohamed",Ahmed Ibrahim,"Lateral medullary syndrome (LMS) is a less common form of a brainstem stroke. It is the result of occlusion of the posterior inferior cerebellar artery (PICA). It is caused by atherosclerosis, thrombosis, or emboli from another source. A 60-year-old male patient presented to the emergency department with vertigo, vomiting, slurred speech, hiccups, and left-side weakness associated with paresthesia for 1 day. He had a past medical history of uncontrolled hypertension and a smoking habit. The neurological examination revealed ataxia, and left hemiparesis associated with paresthesia. A cranial nerve examination revealed slight right-sided ptosis, mouth deviation, and loss of sensory sensation on the right side of the face. Brain MRI showed right medullary infarct consistent with LMS. Electrocardiogram, echocardiography, and vertebral artery color Doppler were normal. He was admitted to the neurology ward and was treated with low molecular weight heparin 60 mg subcutaneously, aspirin 300 mg, neuroprotective agents, and antihypertensive treatment. After 6 days of medical treatment, his condition has improved massively (dysarthria and dysphagia disappeared). He was discharged for physical rehabilitation. LMS (Wallenberg syndrome) is one of the brainstem stroke syndromes caused by occlusion of PICA. Vertigo, vomiting, dysphagia, dysarthria, ipsilateral ataxia, Horner's syndrome, and contralateral hemiparesis define this syndrome. Brain MRI is necessary for diagnosis alongside clinical syndrome. LMS is a rare form of brainstem stroke and carries a favorable prognosis if early hospitalization and treatment is applied. Brain MRI, including diffusion sequence, is the most useful diagnostic tool for detecting LMS.","DictElement({'Year': '2023', 'Month': '02', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2023,Annals of medicine and surgery (2012),10.1097/MS9.0000000000000260,PMC10010825,PICA; brainstem stroke; lateral medullary syndrome,Case Reports,England,eng
23853023,Capsular warning syndrome.,"Nadarajan, Vivek; Adesina, Tolu",Nadarajan,"We present a case of a 72-year-old man who presented with fluctuating right-sided weakness and numbness. This was characterised by episodic sudden onset weakness with resolution of symptoms in between. His symptoms and signs were becoming persistent despite the addition of dual antiplatelet therapy. The history we describe is classical of capsular warning syndrome. The patient went on to have further definitive neuroimaging which revealed a pontine infarct, rather than the expected capsular infarct. We discuss the importance of capsular warning syndrome, the proposed pathophysiological mechanisms and different locations of infarction in previous cases of capsular warning syndrome. We also discuss the lack of consensus (within the literature) in treatment options which are used to try and prevent a completed stroke occurring in cases of capsular warning syndrome.","DictElement({'Year': '2013', 'Month': '07', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2013,BMJ case reports,10.1136/bcr-2013-010503,PMC3736638,,Case Reports; Journal Article,England,eng
33213326,A Case of Neurosarcoidosis Mimicking Brain Tumor.,"Sari, Lutfullah; Peker, Abdusselim A; Cesme, Dilek H; Alkan, Alpay",Sari,"Neurosarcoidosis manifests symptomatically in 5% of patients with sarcoidosis and diagnosis can be challenging if not clinically suspected. Cerebral mass-like presentation of neurosarcoidosis rarely reported in the literature. We presented a woman with neurosarcoidosis who had a cerebral mass-like lesion which completely disappeared after medical treatment. A 37-year-old woman with history of pulmonary sarcoidosis referred to the emergency service of our hospital with a one-month history of progressive dizziness, nausea and seeing flashing lights. At neurologic examination, numbness and weakness on the left side of the body, deviation of uvula toward the right side was seen. Cranial MRI demonstrated a 2.5x2 cm in size mass lesion which hypointense on T1 WI, heterogeneous hyperintense on T2 and FLAIR sequence with peripheral vasogenic edema and heterogeneous, irregular contrast enhancement simulating brain tumor. Also, leptomeningeal and nodular contrast enhancement was seen on brainstem, cerebellar vermis, perimesencephalic cistern and left frontal, bilateral parietooccipital sulcus. In laboratory tests; The level of serum angiotensin-converting enzyme (ACE) was 53 IU/mL (N:8-52 IU/mL) and cerebrospinal fluid (CSF) ACE was 23 IU/mL (N:0-2.6 IU/mL). CSF cytology analysis was normal. Pattern 2 oligoclonal bands were present. With these clinical, laboratory and radiological findings, cerebral involvement of sarcoidosis was suspected. Biopsy was not performed due to the high risk of morbidity caused by the deep location of the lesion.Patient was treated with methylprednisolone and Azathioprine for a month.On post-treatment control imaging; lesion disappeared completely without residual leptomeningeal and nodular contrast enhancement.Also, neurologic symptoms were decreased remarkably. Multi-system inflammatory disorders like sarcoidosis, can present with mass-like lesion in the brain parenchyma. While early diagnosis is important to prevent unnecessary interventions like biopsy and surgery, it is crucial to initiate the necessary treatment with the aim of recovery without sequelae. Radiological and clinical follow-up are fundamental in differential diagnosis.",{},,Current medical imaging,10.2174/1573405616666201118114152,,MRI; Mimicking tumor; brain tumor; elderly patients; heterogeneous hyperintense; neurologic examination; neurosarcoidosis,Case Reports,United Arab Emirates,eng
34781261,Case Report: Dengue Hemorrhagic Fever with Ischemic Stroke.,"Basnayake, Basnayake Wasala Mudiyanselage Kumarini Eranthika; Somaratne, Kaluachchi Gamage Samanthi Kumari; Goonetilleke, Chathuri Udeshika; Tilakaratna, Pattiniya Markkala Yasoma Indrani; Ranawaka, Udaya Kumara",Basnayake,"Several neurological manifestations are recognized in dengue infection, but stroke is a rare complication. We report a case of ischemic stroke in a patient with dengue hemorrhagic fever. A 52-year-old previously healthy male presented with a history of fever for 2 days, and left-sided weakness and numbness of sudden onset. MRI scanning showed a right-sided thalamic lacunar infarct. Diagnosis of dengue fever was made based on leuco-thrombocytopenia, positive dengue nonstructural protein-1 (NS-1) antigen, and positive dengue IgM antibodies. Severity of limb weakness correlated with the critical phase of dengue hemorrhagic fever (DHF). He was discharged home with good recovery from neurological symptoms and disability. Strokes are rare in dengue, and are mainly hemorrhagic strokes related to thrombocytopenia. Ischemic stroke is even rarer. More evidence is needed for confirmation of dengue as a pathogenic mechanism of ischemic stroke.","DictElement({'Year': '2021', 'Month': '11', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2021,The American journal of tropical medicine and hygiene,10.4269/ajtmh.21-0618,PMC8832929,,Case Reports,United States,eng
35587312,SMART syndrome: a case report.,"Bozkurt, Saliha; Toprak, Berna; Yıldırım, Hasan Çağrı; Parlak, Şafak; Güven, Deniz Can; Kertmen, Neyran; Oğuz, Kader Karlı; Dizdar, Ömer",Bozkurt,"Stroke-like migraine attacks after radiation therapy (SMART) syndrome, is a late complication of brain radiotherapy (1). Symptoms are commonly subacute in onset and involve migraine type of headache, seizures, focal neurologic deficits (2). Magnetic resonance imaging (MRI) findings are usually unilateral and posterior predominant cortical-subcortical hyperintensity, swelling and prominent gyriform (cortical and leptomeningeal) gadolinium enhancement in the areas of the brain that underwent irradiation with or without diffusion restriction (1). There is no standard treatment protocol for SMART syndrome. Antiepileptics and corticosteroids are commonly used drugs. A 65 years old woman was diagnosed with breast cancer with brain metastases and treated with more than 50 Gy brain radiotherapy. The patient presented with acute right-sided weakness and numbness, episodic myoclonic jerking of the right arm and leg, and gait instability five months later. MRI and magnetic resonance angiography of the brain with gadolinium revealed left parietooccipital cortical diffusion restriction and accompanying dilatation of the left posterior cerebral artery as new findings. Computed tomography (CT) perfusion revealed increased perfusion in the affected area. The patient was diagnosed with SMART syndrome. The patient was treated with dexamethasone (16 mg/day) and anticonvulsant therapy. Myoclonic seizures had almost completely remitted. However, her cognitive impairment persisted, then the patient was arrested because of aspiration a month later. Besides confirming SMART syndrome, diagnostic investigations are also important to exclude other etiologies. Posterior reversible encephalopathy syndrome, post-ictal changes, meningoencephalitis, and cerebrovascular diseases are radiological differential diagnoses considered (3). Proper and early diagnosis of SMART syndrome is significant in preventing unnecessary aggressive approaches and appropriate treatment to avoid lesions of sequela.","DictElement({'Year': '2022', 'Month': '05', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2022,Acta neurologica Belgica,10.1007/s13760-022-01965-6,,Brain radiation; Stroke-like migraine attacks after radiation therapy,Case Reports; Journal Article,Italy,eng
