pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34922127,Stellate ganglion block reduces symptoms of Long COVID: A case series.,"Liu, Luke D; Duricka, Deborah L",Liu,"After recovering from COVID-19, a significant proportion of symptomatic and asymptomatic individuals develop Long COVID. Fatigue, orthostatic intolerance, brain fog, anosmia, and ageusia/dysgeusia in Long COVID resemble ""sickness behavior,"" the autonomic nervous system response to pro-inflammatory cytokines (Dantzer et al., 2008). Aberrant network adaptation to sympathetic/parasympathetic imbalance is expected to produce long-standing dysautonomia. Cervical sympathetic chain activity can be blocked with local anesthetic, allowing the regional autonomic nervous system to ""reboot."" In this case series, we successfully treated two Long COVID patients using stellate ganglion block, implicating dysautonomia in the pathophysiology of Long COVID and suggesting a novel treatment.","DictElement({'Year': '2021', 'Month': '12', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2021,Journal of neuroimmunology,10.1016/j.jneuroim.2021.577784,PMC8653406,Cerebral blood flow; Dysautonomia; Long COVID/PASC; Myalgic encephalitis/chronic fatigue syndrome (ME/CFS); Postural orthopedic tachycardia syndrome (POTS); Stellate ganglion block,Case Reports; Journal Article,Netherlands,eng
36966620,Persistent prosopagnosia following COVID-19.,"Kieseler, Marie-Luise; Duchaine, Brad",Kieseler,"COVID-19 can cause psychological problems including loss of smell and taste, long-lasting memory, speech, and language impairments, and psychosis. Here, we provide the first report of prosopagnosia following symptoms consistent with COVID-19. Annie is a 28-year-old woman who had normal face recognition prior to contracting COVID-19 in March 2020. Two months later, she noticed face recognition difficulties while experiencing symptom relapses and her deficits with faces have persisted. On two tests of familiar face recognition and two tests of unfamiliar face recognition, Annie showed clear impairments. In contrast, she scored normally on tests assessing face detection, face identity perception, object recognition, scene recognition, and non-visual memory. Navigational deficits frequently co-occur with prosopagnosia, and Annie reports that her navigational abilities are substantially worse than before she became ill. Self-report survey data from 54 respondents with long COVID showed that a majority reported reductions in visual recognition and navigation abilities. In summary, Annie's results indicate that COVID-19 can produce severe and selective neuropsychological impairments similar to deficits seen following brain damage, and it appears that high-level visual impairments are not uncommon in people with long COVID.","DictElement({'Year': '2023', 'Month': '03', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2023,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2023.01.012,PMC9995301,COVID-19; Case study; Face blindness; Post-acute sequelae of SARS-CoV-2 infection (PASC); Prosopagnosia,Case Reports,Italy,eng
34746494,Relapse of Psychosis Status Post Meningioma Resection.,"Mohammad-Amin, Hamza; Edinoff, Amber N; Akuly, Haseeb A; Doppalapudi, Prithvi; Horton, Rita; Sin, Anthony; Dwyer, Donard; Mohammad Amin, City; Shamim, Sana",Mohammad-Amin,"A 53-year-old Caucasian female with a previous psychiatric history of bipolar I disorder and attention deficit hyperactivity disorder presented to the emergency department after endorsing 10-11 months of auditory and visual hallucinations, persecutory delusions, depression, anosmia, weakness of lower extremities, and headache. The patient described her auditory hallucinations as non-commanding voices talking to her about her family, her visual hallucinations as seeing ""shadows and shapes,"" and her paranoid delusions as people coming after her. The patient had sustained a fall a week and a half earlier, requiring eight sutures to her posterior scalp. Her MRI of the brain showed a well-circumscribed 3.5 x 4.7 x 3.2 cm mass in the floor of the anterior cranial fossa. Computer tomography of the brain showed a 4.5 cm mass near the anterior interhemispheric fissure and edema in the right frontal cortex. Meningioma resection resulted in the cessation of hallucinations and delusions for one week. However, the patient was brought back to the emergency department because her auditory hallucinations and delusions returned. This case report demonstrates residual psychosis, even after frontal meningioma resection.","DictElement({'Year': '2021', 'Month': '08', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2021,Health psychology research,10.52965/001c.27359,PMC8567796,auditory hallucinations; meningiomas; psychosis; visual hallucinations,Case Reports,United States,eng
33912309,Encephalopathy and COVID-19: a case report.,"Lazraq, Mohamed; Benhamza, Sabah; Saadaoui, Soufiane; Hayar, Salah; Louardi, Mounir; Moujahid, Hind; Bensaid, Abdelhak; Miloudi, Youssef; Harrar, Najib El",Lazraq,"Case numbers reported in literature with neurological manifestations potentially linked to COVID-19 is constantly increasing. Most often it is sudden anosmia, headache, encephalopathy or stroke. Pathophysiology of this neurological involvement is still poorly understood. While viral genome is very rarely detected in cerebrospinal fluid, inflammatory involvement is often very significant. We report a case of SARS-CoV-2 encephalopathy without respiratory distress or cytokine storm.","DictElement({'Year': '2021', 'Month': '02', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2021,The Pan African medical journal,10.11604/pamj.2021.38.139.27845,PMC8052614,Encephalopathy; SARS-CoV-2; case report; without respiratory distress,Case Reports,Uganda,eng
35755017,Nasosinusal chondrosarcoma with orbito-cerebral extension.,"Bouhafs, Khalid; Lachkar, Azeddine; Bouamama, Tayeb; Miry, Achraf; Benfadil, Drissia; Ghailan, Mohammed Rachid",Bouhafs,"Chondrosarcoma is a highly aggressive malignant tumor originating from cartilaginous and mesenchymal tissues. The aim of this report is to describe a rare case of nasosinusal chondrosarcoma with orbito-cerebral extension. Our patient was a 55-year-old with a right cheek swelling evolving over a year, with unilateral right nasal obstruction gradually becoming bilateral associated with hyposmia, bilateral exophthalmos, reduced bilateral deep visual acuity and permanent headaches. The clinical examination found a tumor obstructing the two nasal cavities. Imaging showed a lobulated heterogeneous tissue process occupying the paranasal sinuses, with calcifications and enhancement at its periphery, extending to the orbito-cerebral area. The histopathological analysis was in favor of chondrosarcoma. The patient was first treated with an incomplete surgical resection by an endonasal route due to the extension to the orbit and the brain and received adjuvant radiotherapy. Surgical excision is a prognostic factor in this type of sarcomas and reduces recurrence rates.","DictElement({'Year': '2022', 'Month': '06', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2022,Journal of surgical case reports,10.1093/jscr/rjac286,PMC9216040,,Case Reports,England,eng
34631044,Ischemic stroke revealing COVID-19 infection: Case report.,"Rajae, Alkouh; Manal, Merbouh; Ghizlane, El Aidouni; Amine, Bouabdlaoui; Zaid, I; Houssam, Bkiyar; Yassine, Mabrouk; Brahim, Housni",Rajae,"SARS-COV-2 viral infection primarily targets the respiratory system with a clinical picture that varies from simple symptoms to respiratory distress syndrome requiring hospitalization in the intensive care unit; SARS-CoV-2 also has neuro-invasive capabilities and could spread from the respiratory system to the central nervous system. Recently, some patients with COVID-19 have been shown to have neurological symptoms such as headache, anosmia, dysgeusia, dizziness, impaired consciousness, and ischemic stroke. we describe a case of ischemic stroke as the main presentation of COVID-19 in a 68 years old man with no previous history, without any associated respiratory signs; clinical examination revealed left hemiparesis with dysarthria and left facial paralysis, NIHSS score was at 11, the brain CT scan performed 1h30min later, completed by a brain MRI that came back in favor of right frontal, temporal and parietal ischemic stroke. The decision of thrombolysis was indicated in urgency, and the patient benefited from thrombolysis, which proceeded without incidents; the outcome was favorable with regression of symptoms.Ischemic stroke has been widely described among the thromboembolic complications of COVID-19, but only a few papers have reported it as a primary manifestation of COVID-19. SARS-COV 2 infection can spread from the respiratory system to the central nervous system, resulting in an inflammatory response and excessive secretion of inflammatory markers, leading to ischemic stroke.","DictElement({'Year': '2021', 'Month': '10', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2021,Annals of medicine and surgery (2012),10.1016/j.amsu.2021.102912,PMC8492013,"COVI-19; Case report; Ischemic stroke; Thrombolysis; covid-19, 2019 coronavirus infection disease; ct, computed tomography; mri, magnetic resonance imaging; nihss, national institute of health stroke scale; sars-cov-2, severe acute respiratory syndrome coronavirus 2",Case Reports,England,eng
34734907,Wernicke Encephalopathy From Olfactory Dysfunction After COVID-19 Infection.,"Landzberg, David Ross; Bery, Ekta; Chico, Suhasini; Koh, Sookyong; Weissman, Barbara",Landzberg,"Coronavirus disease 2019 (COVID-19) has affected millions of people worldwide and is caused by infection from the severe acute respiratory syndrome coronavirus-2 pathogen. While COVID-19 most commonly affects the respiratory system, multiple neurological complications have been associated with this pathogen. We report a case of Wernicke encephalopathy in a young girl with poor oral intake secondary to anosmia and dysgeusia after a COVID-19 infection. After a recent infection of COVID-19, a 15-year-old girl developed an overwhelming noxious metallic tase resulting in a 30 lb weight loss from being unable to tolerate oral foods. She presented to the hospital 3 months later with bilateral horizontal conjugate gaze palsies, up beating vertical nystagmus, difficulty with limb coordination and gait ataxia. She was found to have a thiamine level of 51 nmol/L (reference range: 70 to 180 nmol/L) and her brain magnetic resonance imaging showed fluid-attenuated inversion recovery and diffusion-weighted imaging changes in the periaqueductal gray and dorsomedial thalami suggestive of Wernicke encephalopathy. She was started on parenteral thiamine replacement and had significant neurological improvement. As this pandemic continues to progress, more long-term neurological sequelae from COVID-19 such as Wernicke encephalopathy can be expected. Strong clinical suspicion for these complications is needed to allow for earlier diagnosis and faster treatment initiation.","DictElement({'Year': '2021', 'Month': '11', 'Day': '04'}, attributes={'DateType': 'Electronic'})",2021,The neurologist,10.1097/NRL.0000000000000359,PMC8575110,,Case Reports; Journal Article,United States,eng
37727678,Olfactory Hallucinations Following COVID-19 Vaccination.,"Barter, Kelsey; Bagnato, Francesca",Barter,"Vaccine-induced phantosmia is a rare adverse effect of vaccination and has not been previously reported related to the Johnson & Johnson (J&J) COVID-19 vaccine. Three weeks after receiving the J&J COVID-19 vaccine, a 39-year-old veteran started smelling a burning odor in the absence of an identifiable source. At presentation to the clinic, his general and neurological examinations, brain magnetic resonance imaging, and electroencephalogram were all unremarkable. The episodes persisted for nearly 2 years (21 months postvaccination). This is the only case of phantosmia reported after the use of the J&J COVID-19 vaccine and aligns with the literature that reports 1 case of phantosmia and 2 cases of hyposmia following the Pfizer-BioNTech COVID-19 mRNA vaccine. This information will help health care professionals understand the possible adverse effects of COVID-19 vaccination and be better equipped to counsel patients about the benign but potentially long-lasting adverse effects of the J&J COVID-19 vaccine.","DictElement({'Year': '2023', 'Month': '09', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2023,"Federal practitioner : for the health care professionals of the VA, DoD, and PHS",10.12788/fp.0410,PMC10506491,,Case Reports,United States,eng
37727779,Meningioma in the third trimester of pregnancy: A case report.,"Ettore, Carla; Zambrotta, Elisa; Gulino, Ferdinando Antonio; Incognito, Giosuè Giordano; Cannone, Francesco Giuseppe; Ettore, Giuseppe",Ettore,"Meningiomas are rare benign tumors during pregnancy. They can put both the mother and the fetus at risk because rapid changes in size may occur. The study reports a case of olfactory groove meningioma in a 34-year-old pregnant woman with visual impairment, anosmia, and dysgeusia that increased in severity during the 29th week of gestation. Magnetic resonance imaging showed an olfactory groove meningioma. The patient underwent a preterm cesarean section to avoid the worsening of the clinical condition due to intracranial compression phenomena. A computed tomography scan of the brain supported the diagnosis. The surgical intervention occurred on the third day after delivery. The clinical course was uneventful and the chiasmal syndrome improved in the following 2 months. Meningiomas in pregnancy may present unique challenges and have a wide array of clinical presentations. Management of maternal meningiomas can be complex and requires a multidisciplinary approach. The treatment decision largely depends on the size and location of the tumor, the presence of symptoms, gestational age, and fetal well-being. Further research is needed to enhance the understanding of the underlying mechanisms and improve management approaches for this rare condition.","DictElement({'Year': '2023', 'Month': '09', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2023,Case reports in women's health,10.1016/j.crwh.2023.e00541,PMC10506084,Case reports; Meningioma; Pregnancy,Case Reports,Netherlands,eng
37200640,Visual Loss As Primary Manifestation of Olfactory Groove Meningioma.,"Sulaiman, Farhana Nabila; Sultan Abdul Kader, Mohamed Iliyas; Sawri Rajan, Rajasudha; Wan Abdul Halim, Wan Haslina",Sulaiman,"Differential diagnosis of vision loss in a space-occupying lesion can be exhaustive. Olfactory groove meningioma (OGM) is a rare, benign, slow-growing tumour originating from the anterior cranial base. OGM is one of the differential diagnoses of intracranial tumours. We report a case of an OGM compressing the optic nerve and frontal lobe causing bilateral vision loss for six months. Multidisciplinary management by ophthalmologists, neurosurgeons, radiologists, and pathologists led to the diagnosis and tumour resection of OGM in the patient. Possible mechanisms of vision loss, imaging features, and treatment are discussed in this report.","DictElement({'Year': '2023', 'Month': '04', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.37632,PMC10186566,anosmia; intracranial tumours; meningoma; olfactory groove; optic disc swelling; visual loss,Case Reports,United States,eng
