pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
38289217,Case 325.,"Suthar, Pokhraj Prakashchandra; Nagarajan, Murali; Bhabad, Sudeep",Suthar,"A 76-year-old woman with a history of rheumatoid arthritis, Sjögren syndrome, and hypertension presented with a headache, fever, and dysphagia. The patient was taking prednisone and leflunomide to treat rheumatoid arthritis. Her headache was primarily left sided and occasionally radiated to the occipital region. The patient had a high-grade fever spike, with a temperature of 104°F (40°C). Results of a prior lumbar puncture and temporal artery biopsy from an outside hospital were negative. Findings of a neurologic examination were unremarkable. Oropharyngeal examination for dysphagia revealed minimal pharyngeal motility, with pooling of food in the pharynx, which was thought to be due to cranial nerve dysfunction. Laboratory analysis revealed that, except for anemia, complete blood count parameters were within normal limits. C-reactive protein level (49.7 mg/L; reference range, 0.0-8.0 mg/L), erythrocyte sedimentation rate (>140 mm/h with Westergren method; reference range, 0-27 mm/h), and brain-type natriuretic peptide level (145 pg/mL; reference range, 0-100 pg/mL) were elevated. Blood and urine cultures were negative. A lumbar puncture was performed, which revealed cloudy cerebrospinal fluid (CSF), with an elevated CSF protein level (78 mg/dL; reference range, 7.0-35.0 mg/dL) and a low CSF glucose level (37 mg/dL [2.05 mmol/L]; reference range, 45-70 mg/dL [2.50-3.89 mmol/L]); otherwise, CSF encephalopathy, an autoimmune panel, and cultures were negative. MRI and CT scans of the brain with paranasal sinus were performed (Figs 1-3). Nasal endoscopy-guided drainage of the preclival fluid collection was performed, and biopsy of nasopharyngeal tissue was performed. Fluid culture revealed the growth of <i>Candida albicans</i>, as well as <i>Pseudomonas</i> and <i>Enterobacter aerogenes</i>. The patient received fluconazole, ceftriaxone, vancomycin, and metronidazole. Follow-up MRI was performed after 2 weeks (Fig 4).",{},,Radiology,10.1148/radiol.223334,,,Case Reports; Journal Article,United States,eng
36498400,Swallowing Apraxia Post Ischemic Stroke.,"Alfaris, Abdullah Mohammed; Alghamdi, Atheer Saeed; Almowalad, Enas Saad; Al Harbi, Awad Aweid; Alghamdi, Khaled Abdulraheem; Saeedi, Jameelah; Al Awaji, Nisreen Naser",Alfaris,"A 55-year-old male patient with a known medical history of diabetes mellitus type 2 and treated lymphoma was first admitted with a sudden left-sided facial asymmetry and mouth deviation to the left side with no other neurological symptoms. A Computerized Tomography (CT) scan of the brain showed acute infarct and small left basal ganglia old lacunar infarction. He was discharged on a dual antiplatelet. One week later, the patient's condition had worsened and, therefore, was admitted with an impression of ischemic stroke. A bedside swallowing assessment, VFSS, and FEES study were conducted to diagnose this case. The bedside assessment did not reveal any sensory or motor deficits in his oral cavity and the FEES examination was also unable to rule out pharyngeal dysphagia. However, a videofluoroscopic swallowing study (VFSS) revealed a significant dysfunction of oral preparation and oral phases and presented difficulty initiating the pharyngeal phase. Given these features, we believe that this swallowing difficulty is caused by swallowing apraxia. This case provides additional information and understanding on management from the swallowing side.","DictElement({'Year': '2022', 'Month': '12', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2022,International journal of environmental research and public health,10.3390/ijerph192316329,PMC9737384,FEES; VFSS; ischemic stroke; swallowing apraxia,Case Reports,Switzerland,eng
36923779,Lateral medullary syndrome: uncommon form of brainstem stroke.,"Ahmed Ibrahim, Abdiwahid; Bakir, Ahmet; Osman Sidow, Nor; Mohamed Ali, Abdiladhif; Farah Osman, Mohamed; Ahmed, Abdulkadir; Sheikh Hassan, Mohamed",Ahmed Ibrahim,"Lateral medullary syndrome (LMS) is a less common form of a brainstem stroke. It is the result of occlusion of the posterior inferior cerebellar artery (PICA). It is caused by atherosclerosis, thrombosis, or emboli from another source. A 60-year-old male patient presented to the emergency department with vertigo, vomiting, slurred speech, hiccups, and left-side weakness associated with paresthesia for 1 day. He had a past medical history of uncontrolled hypertension and a smoking habit. The neurological examination revealed ataxia, and left hemiparesis associated with paresthesia. A cranial nerve examination revealed slight right-sided ptosis, mouth deviation, and loss of sensory sensation on the right side of the face. Brain MRI showed right medullary infarct consistent with LMS. Electrocardiogram, echocardiography, and vertebral artery color Doppler were normal. He was admitted to the neurology ward and was treated with low molecular weight heparin 60 mg subcutaneously, aspirin 300 mg, neuroprotective agents, and antihypertensive treatment. After 6 days of medical treatment, his condition has improved massively (dysarthria and dysphagia disappeared). He was discharged for physical rehabilitation. LMS (Wallenberg syndrome) is one of the brainstem stroke syndromes caused by occlusion of PICA. Vertigo, vomiting, dysphagia, dysarthria, ipsilateral ataxia, Horner's syndrome, and contralateral hemiparesis define this syndrome. Brain MRI is necessary for diagnosis alongside clinical syndrome. LMS is a rare form of brainstem stroke and carries a favorable prognosis if early hospitalization and treatment is applied. Brain MRI, including diffusion sequence, is the most useful diagnostic tool for detecting LMS.","DictElement({'Year': '2023', 'Month': '02', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2023,Annals of medicine and surgery (2012),10.1097/MS9.0000000000000260,PMC10010825,PICA; brainstem stroke; lateral medullary syndrome,Case Reports,England,eng
37101431,Tacrolimus Induced Leukoencephalopathy and Stroke-Like Symptoms: Case Report.,"Dopke, Kelly M; El Seblani, Nader; Mercer, Katherine; Naik, Sunil; Mainali, Gayatra; Paul, Dustin",Dopke,"A 17-year-old female with sickle cell disease status post a recent stem cell transplant and on tacrolimus developed an acute expressive aphasia, dysphagia, and drooling. Brain MRI revealed diffuse restricted diffusion involving the bilateral corona radiata and areas of white matter in the right cerebral hemisphere most consistent with toxic leukoencephalopathy. Tacrolimus serum concentration was high at 19.3 ng/ml (ref 9-12 ng/ml) for which tacrolimus was discontinued. She was neurologically back at baseline 2 days later with the tacrolimus level improving to 8.2 ng/mL. Following discontinuation and the declining trend of her tacrolimus levels the patient returned to her neurologic baseline and was subsequently switched to mycophenolate mofetil for GVHD immunosuppression.","DictElement({'Year': '2023', 'Month': '04', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2023,Child neurology open,10.1177/2329048X231171011,PMC10123878,magnetic resonance imaging; pediatric neurology; tacrolimus; tacrolimus-induced leukoencephalopathy; toxic leukoencephalopathy,Case Reports,United States,eng
24818556,Stroke: subacute/inpatient management of acute ischemic stroke.,"Silver, Brian; Wulf Silver, Rachel",Silver,"A stroke unit is a designated hospital area in which patients with stroke are evaluated and treated. Such units have been proven to reduce mortality and disability more than hospitalization in a general medical ward. Diagnostic testing for a patient with stroke includes complete blood count, urine toxicology screening, brain imaging, imaging of neck and cerebral arteries, and cardiac evaluation (including prolonged outpatient rhythm monitoring). Inpatient management should include dysphagia screening and prophylaxis for venous thromboembolism. Lower extremity compression stockings do not prevent venous thromboembolism in stroke patients, but intermittent pneumatic compression devices are of proven value. Patients who do not receive thrombolytic therapy should receive aspirin. A statin should be started if the patient's low-density lipoprotein cholesterol level is 100 mg/dL or higher. Delirium occurs commonly in patients with stroke and more commonly with increased age and stroke severity. Interventions, such as routine oxygen supplementation, prophylactic antibiotics, empiric antipyretic management, and early mobilization, are under investigation. Patients with arterial dissection and patent foramen ovale typically have good prognoses and can be treated medically.",{},,FP essentials,,,,Case Reports; Journal Article; Review,United States,eng
37539958,Wernicke's Encephalopathy in Type 2 Achalasia: Case Report and Literature Review.,"Rodriguez, Diana N; Gera, Kriti; Paudel, Bishal; Pham, Angela",Rodriguez,"Achalasia is primarily a smooth muscle motility disorder of the esophagus driven by aberrant peristalsis and failure of sphincter relaxation. Notably, achalasia is a heterogeneous disease with primarily 3 possible pattern subtypes. According to the review of current cases and literature regarding achalasia, patients primarily present with dysphagia, usually to solids and, if progressed, to solids and liquids. Rarely, untreated achalasia may result in thiamine deficiency and present as Wernicke-Korsakoff syndrome (WKS). This acute neurologic condition primarily affects the central and peripheral nervous system and is known by the triad of ataxia, ophthalmoplegia, and confusion. Individuals who present with WKS typically have a notable history of chronic alcohol abuse with decreased thiamine intake and metabolism. Although less common, individuals with WKS may have a pertinent history of starvation, anorexia nervosa, and malnutrition. This case highlights a unique presentation of Wernicke's encephalopathy (WE) in a 30-year-old woman with severe type II achalasia complicated by a 60-pound weight loss in a span of 2 months. According to our literature review, there have only been 2 previously reported cases of severe achalasia leading to the development of WE. Considering the limited number of case reports available, WE must be in the differentials in patients with underlying achalasia, and our case report highlights this unusual presentation with corresponding brain imaging and manometry testing.",{},,Journal of investigative medicine high impact case reports,10.1177/23247096231190628,PMC10403980,Wernicke’s encephalopathy; achalasia; ataxia; encephalopathy; gastroenterology; nutritional deficiencies; ophthalmoplegia; type II achalasia,Review; Case Reports; Journal Article,United States,eng
24887271,The role of the speech-language pathologist in home care.,"Giles, Melanie; Barker, Mary; Hayes, Amanda",Giles,"Speech language pathologists play an important role in the care of patients with speech, language, or swallowing difficulties that can result from a variety of medical conditions. This article describes how speech language pathologists assess and treat these conditions and the red flags that suggest a referral to a speech language pathologist is indicated.",{},,Home healthcare nurse,10.1097/NHH.0000000000000079,,,Case Reports; Journal Article; Review,United States,eng
33722909,Progressive bulbar symptomatology due to vascular brainstem compression.,"Younus, Osman; Hampton, Timothy; Silber, Eli; Dervenoulas, George",Younus,"Symptomatic brainstem compression from vertebral artery dolichoectasia is rare. There are no recognised diagnostic or treatment criteria to guide management of this disease. We report a case of medullary compression and cerebral ischaemia from an enlarged and tortuous vertebral artery. Our patient developed progressive dysphonia and dysphagia. Cerebral MRI revealed compression of the medulla oblongata by a right ectatic vertebral artery and a right occipital lobe infarct. Other causes of bulbar dysfunction were ruled out. He was treated with anticoagulation and underwent percutaneous endoscopic gastrostomy. We review selected literature on the presentation, diagnosis and management of this rare neurologic condition.","DictElement({'Year': '2021', 'Month': '03', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2021,BMJ case reports,10.1136/bcr-2020-238323,PMC7959231,brain stem / cerebellum; cranial nerves; neuroimaging; neurology; stroke,Case Reports; Journal Article; Review,England,eng
26979349,Incidental bronchography.,"Guirao-Arrabal, Emilio; García-Castro, José Miguel; Parra-García, Ginés David",Guirao-Arrabal,,"DictElement({'Year': '2016', 'Month': '03', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2016,Archivos de bronconeumologia,10.1016/j.arbres.2016.02.006,,,Case Reports; Journal Article,Spain,eng; spa
38022111,Malignant Middle Cerebral Artery Infarct Caused by Eagle's Syndrome.,"Sarwar, Mohammad Umair; Furrukh, Muhammad; Tabrez, Mohammad Ali; Kannar, Aqil; Sumbal, Muhammad Ali; Haseeb, Muhammad",Sarwar,"Eagle's syndrome is characterised by elongation of the styloid process. The elongated styloid process can cause symptoms like dysphagia, facial or neck pain, syncope, visual changes, etc. In severe cases, it may cause a rupture or dissection of the carotid artery, which can lead to intracranial thrombo-embolism and ischemic stroke. We report a case of a 57-year-old male presenting with dysarthria and mild left-sided body weakness. An initial non-contrast computed tomography (CT) scan showed a possible right internal carotid artery thrombus. He developed worsening left-sided weakness and gaze palsy one day after the admission. Repeated CT brain and intracranial angiography were arranged, which showed significant oedema with mass effect and right internal carotid artery dissection with thrombus. He underwent decompressive craniectomy. An enlarged styloid process measuring 4.53 cm in close proximity to the cervical vasculature was also noted. He was not deemed an appropriate candidate for styloidectomy. Due to residual left-sided weakness, he had to take early retirement. He underwent extensive rehabilitation and was able to mobilize with the help of a quad stick after a period of nine months. At the five-year follow-up, there were no characteristic symptoms of Eagle's syndrome and he was mobilizing without support.","DictElement({'Year': '2023', 'Month': '10', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.47205,PMC10653012,acute ischemic infarct; carotid arterial dissection; eagle's syndrome; elongated styloid syndrome; internal carotid artery (ica); internal carotid artery occlusion; ischemic cerebrovascular disease; non traumatic carotid artery dissection,Case Reports,United States,eng
