pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
31356289,Tremor.,"Louis, Elan D",Louis,"Tremor may be defined as an involuntary movement that is rhythmic (ie, regularly recurrent) and oscillatory (ie, rotating around a central plane) and may manifest in a variety of ways; accordingly, tremor has a rich clinical phenomenology. Consequently, the diagnosis of tremor disorders can be challenging, and misdiagnoses are common. The goal of this article is to provide the reader with straightforward approaches to the diagnosis and treatment of tremors. Focused ultrasound thalamotomy of the ventral intermediate nucleus of the thalamus is an emerging and promising therapy for the treatment of essential tremor. The evaluation should start with a detailed tremor history followed by a focused neurologic examination, which should attend to the many subtleties of tremor phenomenology. Among other things, the history and examination are used to establish whether the primary tremor is an action tremor (ie, postural, kinetic, or intention tremor) or a resting tremor. The clinician should then formulate two sets of diagnoses: disorders in which action tremor is the predominant tremor versus those in which resting tremor is the predominant tremor. Among the most common of the former type are essential tremor, enhanced physiologic tremor, drug-induced tremor, dystonic tremor, primary writing tremor, orthostatic tremor, and cerebellar tremor. Parkinson disease is the most common disorder of resting tremor. This article details the clinical features of each of these disorders, as well as those of additional tremor disorders.",{},,"Continuum (Minneapolis, Minn.)",10.1212/CON.0000000000000748,,,Case Reports; Journal Article; Review,United States,eng
24398867,Extrapyramidal syndrome.,"Panda, Akhila Kumar; Bala, Kiran; Bhirud, Lomesh",Panda,"Organophosphate (OP) poisoning is a common occurrence in the rural areas of developing countries like India. Acute cholinergic crisis is one of the important causes of mortality related to OP poisoning. Delayed peripheral neuropathy, extrapyramidal syndromes and neuropsychiatric manifestations are the major consequences of secondary neuronal damage. This case illustrates a 14-year-old girl who ingested 50 mL of OP pesticide and developed extrapyramidal symptoms in the form of parkinsonism and hand dystonia in spite of immediate medical attention. MRI of the brain with T2, fluid attenuated inversion recovery and diffusion-weighted sequences revealed bilateral symmetrical basal ganglia hyperintensities. Further follow-up revealed a significant clinical improvement with marked resolutions of the brain lesions. The reversible extrapyramidal symptoms with disappearance of neuroimaging findings without neuropathy or neuropsychiatric manifestations are unusual in OP poisoning.","DictElement({'Year': '2014', 'Month': '01', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2014,BMJ case reports,10.1136/bcr-2013-009752,PMC3903097,,Journal Article; Case Reports,England,eng
34507431,Uncommon Presentation of Rasmussen's Encephalitis.,"Vyas, Arvind; Ghunawat, Jaypalsing Ramdhan; Bagaria, Amit Kumar; Khandelwal, Dinesh",Vyas,"Rasmussen's encephalopathy (RE) is an uncommon neurological disease of inflammatory origin which is characterized by intractable focal epilepsy, progressive limb weakness, and cognitive deterioration. RE presenting as movement disorder like hemidystonia or hemichorea is a rare occurrence. The duration of prodromal stage of RE is usually in weeks or months. Prolonged prodromal stage like in years is rarely reported. Magnetic resonance imaging (MRI) is a good biomarker in RE and it also suggests the sequential progression of disease. Here we report two cases of RE, one presenting with hemidystonia and other case with unusually prolonged prodromal stage duration of 7 years. In spite of severe hemi-atrophy of brain in second case response to immunomodulators was dramatic.",{},,Neurology India,10.4103/0028-3886.325325,,Cerebellar diaschisis; Rasmussen's encephalopathy; hemi-dystonia; tacrolimus,Case Reports,India,eng
33145008,Case Report: Isolated Lingual Dystonia.,"Yousafzai, Zaland Ahmed; Qayyum, Wajeeha; Khan, Sohail; Iftikhar, Mawara; Amin, Qazi Kamran",Yousafzai,"Oromandibular dystonia is defined as a focal dystonia that manifests as forceful contractions of the face, jaw, and/or tongue. Lingual dystonia is a rare subtype of oromandibular dystonia that specifically affects the tongue. Multiple etiologies are thought to attribute to oromandibular dystonia, including brain damage, the use of neuroleptic medications, neurodegenerative disorders, metabolic disorders, neurodevelopmental disorders, and viral infections. Idiopathic cases of isolated lingual dystonia are rare and seldom reported in the literature. This report describes a 35-year-old female patient with lingual dystonia that was present at rest and aggravated during speech. Despite detailed history taking and a thorough examination, along with multiple imaging and laboratory studies, no cause could be established and her case was classified as being that of an idiopathic etiology.","DictElement({'Year': '2020', 'Month': '04', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2020,F1000Research,10.12688/f1000research.23237.2,PMC7592023,dystonia; focal dystonia; isolated dystonia; lingual dystonia; neurology; oromandibular dystonai,Case Reports; Journal Article,England,eng
33480615,Gabapentin-Induced Myokymia: A Case Report.,"Brown, Alexander; Esechie, Aimalohi; Gogia, Bhanu; Shanina, Elena",Brown,"Gabapentin is a commonly used medication for neuropathic pain and epilepsy that is prescribed by a wide range of medical specialties. Adverse effects including asterixis and myoclonus have been described in patients with chronic kidney disease, but myokymia has not been previously reported. A 69-year-old man with a history of traumatic brain injury, peripheral neuropathy, amnesia, and posttraumatic stress disorder presented to the hospital after multiple falls attributed to acute onset muscle spasms. He reported taking a total daily dose of 9600 mg of gabapentin, as prescribed. Physical examination demonstrated stimulus-sensitive myoclonus, painful muscle spasms in all extremities, and myokymia in his bilateral calves. Diffuse action tremors, as well as tongue tremors, were also observed.Initial workup, including basic laboratory investigations, brain imaging, and electroencephalogram, was unrevealing. Gabapentin toxicity was suspected, and a gabapentin holiday was initiated with the improvement of myokymia by hospital day 3. The patient was found to have a high gabapentin level (25.8 μg/mL; reference range, 2.0-20.0 μg/mL) measured the morning after hospital presentation. After restarting on a lower dose of gabapentin with multimodal pain control, the patient continued to improve with diminution of his myoclonus, tremor, and gait instability. Myokymia is a newly described motor symptom associated with gabapentin toxicity. The mechanism of gabapentin-associated myokymia is currently unknown. A brief medication holiday resulted in the resolution of motor symptoms without significant withdrawal symptoms. Knowledge of this newly reported adverse manifestation can aid physicians in the diagnosis of gabapentin toxicity and prompt treatment, as gabapentin levels are not widely or immediately available.",{},,Clinical neuropharmacology,10.1097/WNF.0000000000000434,,,Case Reports; Journal Article,United States,eng
27789118,Adverse Structural and Functional Effects of Marijuana on the Brain: Evidence Reviewed.,"Mandelbaum, David E; de la Monte, Suzanne M",Mandelbaum,"The growing use and legalization of cannabis are leading to increased exposures across all age groups, including in adolescence. The touting of its medicinal values stems from anecdotal reports related to treatment of a broad range of illnesses including epilepsy, multiple sclerosis, muscle spasms, arthritis, obesity, cancer, Alzheimer disease, Parkinson disease, post-traumatic stress, inflammatory bowel disease, and anxiety. However, anecdotal data and the high level of interest in this treatment must not obscure objective assessments of any potential and realized short- and long-term adverse effects of cannabis, particularly with respect to age of onset and chronicity of exposure. This critical review focuses on evidence-based research designed to assess both therapeutic benefits and harmful effects of cannabis exposure and is combined with an illustration of the neuropathologic findings in a fatal case of cannabis-induced psychosis. The literature and reported case provide strong evidence that chronic cannabis abuse causes cognitive impairment and damages the brain, particularly white matter, where cannabinoid 1 receptors abound. Contrary to popular perception, there are few objective data supporting preferential use of cannabis over conventional therapy for restoration of central nervous system structure and function in disease states such as multiple sclerosis, epilepsy, or schizophrenia. Additional research is needed to determine if subsets of individuals with various neurological and psychiatric diseases derive therapeutic benefits from cannabis.","DictElement({'Year': '2016', 'Month': '09', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2016,Pediatric neurology,10.1016/j.pediatrneurol.2016.09.004,PMC9954727,cannabis; epilepsy; human brain; marijuana; multiple sclerosis; psychosis; treatment; white matter,"Case Reports; Journal Article; Review; Research Support, N.I.H., Extramural",United States,eng
8624221,Delayed-onset cerebellar syndrome.,"Louis, E D; Lynch, T; Ford, B; Greene, P; Bressman, S B; Fahn, S",Louis,"Delayed-onset involuntary movements, including dystonia and myoclonus, have been reported after stroke or head trauma. Moreover, there have been reports of delayed-onset isolated intention tremor and, in several of these cases, gait ataxia. To further define the clinical features of a delayed-onset cerebellar syndrome. Subjects with cerebellar tremor and either head trauma or stroke were identified using a computerized database, providing detailed demographic and clinical information of 4002 patients with involuntary movements other than Parkinson's disease seen at our center between 1983 and 1995. Medical records and videotaped neurological examinations were retrospectively reviewed. The Center for Parkinson's Disease and Other Movement Disorders at Columbia-Presbyterian Medical Center, New York, NY. Five patients with delayed-onset cerebellar syndromes. Five patients with stroke or head trauma developed a cerebellar syndrome 3 weeks to 2 years after the initial insult. The syndrome, characterized by intention tremor, ataxic dysarthria, nystagmus, dysmetria, dysdiadochokinesis, and gait ataxia, was progressive in at least one patient. In four patients, lesions were present on neuroimaging in the thalamus or brain stem (especially in the midbrain). A delayed-onset cerebellar syndrome may follow head trauma or stroke. The syndrome is sometimes progressive and often disabling. The delayed onset implies that the syndrome is not caused by the initial lesion itself but may be caused by development of post-synaptic supersensitivity or secondary reorganization of involved pathways.",{},,Archives of neurology,10.1001/archneur.1996.00550050080027,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",United States,eng
35940198,Case Report: Dystonic Storm Following Japanese Encephalitis Virus Infection.,"Ghosh, Ritwik; Dubey, Souvik; Das, Shambaditya; Benito-León, Julián",Ghosh,"Dystonic storm (also called status dystonicus) is a neurological emergency characterized by sustained/intermittent involuntary generalized muscle contractions resulting in repetitive painful twisting movements and abnormal postures. It is commonly documented in patients with diagnosed primary dystonic syndromes or secondary dystonic states (i.e., patients with inborn errors of metabolism, dystonic cerebral palsy, Wilson's disease, pantothenate kinase-associated neurodegeneration, and exposure to drugs). However, viral-induced dystonic storm cases have rarely been reported. We describe the case of an 11-year-old girl from rural West Bengal (India) with a dystonic storm after Japanese encephalitis. Generalized dystonic spasms lasted for about 10-20 minutes and occurred 20-30 times/day. They were associated with extreme pain, fever, exhaustion, sweating, tachycardia, tachypnea, pupillary dilatation, arterial hypertension, and mutism and were precipitated by a full bladder and relieved somewhat during sleep. When dystonic spasms abated, she had high-grade generalized rigidity of all four limbs and fixed cervical and truncal dystonia. She was put on invasive ventilation and deep intravenous sedation with continuous midazolam infusion and other supportive measures and had a good clinical recovery. During the 12 months of follow-up, she did not have any other episode of a dystonic storm. However, axial rigidity and intermittent appendicular (upper limb) dystonic posturing were observed. The authors also have briefly discussed the differential diagnoses and treatment plans for such a neurological emergency.","DictElement({'Year': '2022', 'Month': '08', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2022,The American journal of tropical medicine and hygiene,10.4269/ajtmh.22-0020,PMC9490673,,Case Reports,United States,eng
37309111,Rapid-Onset Dystonia and Parkinsonism in a Patient With Gaucher Disease.,"Hertz, Ellen; Lopez, Grisel; Lichtenberg, Jens; Haubenberger, Dietrich; Tayebi, Nahid; Hallett, Mark; Sidransky, Ellen",Hertz,"Biallelic mutations in GBA1 cause the lysosomal storage disorder Gaucher disease, and carriers of GBA1 variants have an increased risk of Parkinson's disease (PD). It is still unknown whether GBA1 variants are also associated with other movement disorders. We present the case of a woman with type 1 Gaucher disease who developed acute dystonia and parkinsonism at 35 years of age during a recombinant enzyme infusion treatment. She developed severe dystonia in all extremities and a bilateral pill-rolling tremor that did not respond to levodopa treatment. Despite the abrupt onset of symptoms, neither Sanger nor whole genome sequencing revealed pathogenic variants in ATP1A3 associated with rapid-onset dystonia-parkinsonism (RDP). Further examination showed hyposmia and presynaptic dopaminergic deficits in [18F]-DOPA PET, which are commonly seen in PD but not in RDP. This case extends the spectrum of movement disorders reported in patients with GBA1 mutations, suggesting an intertwined phenotype.","DictElement({'Year': '2023', 'Month': '06', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2023,Journal of movement disorders,10.14802/jmd.23074,PMC10548083,Dystonia; GBA1; Gaucher disease; Parkinson disease; Rapid-onset dystonia-parkinsonism,Case Reports,Korea (South),eng
10467903,Cerebral arteriovenous malformations and movement disorders.,"Krauss, J K; Kiriyanthan, G D; Borremans, J J",Krauss,"A series of six patients with movement disorders associated with cerebral arteriovenous malformations (AVM) is reported. The AVMs were classified according to the Spetzler-Martin classification as grade V (one patient), grade IV (four patients), and as grade III (one patient). One patient had action-induced hemidystonia caused by a contralateral frontoparietal AVM which compressed the putamen and was supplied partially by enlarged lenticulostriate arteries. Two patients presented with unilateral cortical tremor associated with contralateral high-frontal cortical/subcortical AVMs sparing the basal ganglia. Another patient developed hemidystonia and hemichorea-hemiballism after bleeding of a contralateral temporooccipital AVM and subsequent ischemia. Two patients had focal dystonia after thalamic and basal ganglia hemorrhage from AVMs. Five patients were operated on. The movement disorder was abolished in one patient postoperatively. Different mechanisms were identified that are relevant for the development of AVM-related movement disorders: mass effect, diaschisis, local parenchymal altered cerebral blood flow, and hemorrhagic or ischemic structural lesions.",{},,Clinical neurology and neurosurgery,10.1016/s0303-8467(99)00020-7,,,Case Reports; Journal Article; Review,Netherlands,eng
