pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
8353678,Thalamo-frontal psychosis.,"McGilchrist, I; Goldstein, L H; Jadresic, D; Fenwick, P",McGilchrist,"A 43-year-old man presented with an 18-month history of acute-onset cyclical behavioural change affecting mood, appetite, sleep, and energy levels. This had followed an initial episode of transient drowsiness which lasted 24 hours. On examination, there was some evidence of visual memory and frontal lobe deficits. A brain CT scan showed bilateral thalamic infarcts and a brain SPECT scan showed bilateral hypoperfusion of the frontal lobes. To our knowledge, this is the first reported case of thalamic infarction associated with acute-onset cyclical affective psychosis with clinical and neurophysiological features of frontal lobe syndrome. The case also highlights the possible role of thalamo-frontal circuits in the pathogenesis of the Kleine-Levin syndrome.",{},,The British journal of psychiatry : the journal of mental science,10.1192/bjp.163.1.113,,,Case Reports; Journal Article,England,eng
11652497,Personal view:,"Cohen, John",Cohen,,{},,British medical journal (Clinical research ed.),10.1136/bmj.294.6574.767,PMC1245811,Death and Euthanasia; Professional Patient Relationship,Case Reports; Journal Article,England,eng
28645902,The cause of the stroke: a diagnostic uncertainty.,"Dattani, Abhishek; Jackson, Ava",Dattani,"A 39-year-old man with a history of sickle cell disease (SCD) presented with left leg weakness. He had a normal CT head and CT angiogram, but MRI head showed multiple acute bilateral cortical infarcts including in the right precentral gyrus. The MRI findings were more in keeping with an embolic source rather than stroke related to SCD, although it could not be ruled out. He also had an echocardiogram which revealed a patent foramen ovale. He was treated with antiplatelet therapy and also had red blood cell exchange transfusion. His symptoms improved significantly and he was discharged with follow-up as an outpatient and a cardiology review.","DictElement({'Year': '2017', 'Month': '06', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2017,BMJ case reports,10.1136/bcr-2016-218358,PMC5534698,Cardiovascular Medicine; Sickle Cell Disease; Stroke,Case Reports; Journal Article,England,eng
32484130,COVID-19 Associated Central Nervous System Vasculopathy.,"Matos, Ana R; Quintas-Neves, Miguel; Oliveira, Ana I; Dias, Luís; Marques, Sofia; Carvalho, Raquel; Alves, José N",Matos,,"DictElement({'Year': '2020', 'Month': '06', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2020,The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,10.1017/cjn.2020.109,PMC7487748,COVID-19; Ischemia; SARS-CoV-2; Vasculopathy,Case Reports; Letter,England,eng
19297375,Akinetic mutism--not coma.,"Shetty, Anita Chittaranjan; Morris, John; O'Mahony, Paul",Shetty,"We describe a case of akinetic mutism mistaken as coma. A 77-year old lady presented with apparent unresponsiveness. In fact she responded when stimulated. She subsequently developed movements typical of clonic perseveration, erroneously treated as seizures. She also had features of a frontal lobe syndrome. Initial CT scan showed no abnormality; it was only after an MRI scan that a diagnosis of bilateral paramedian thalamic infarction was made. MRI scanning should be considered early in the investigation of patients with atypical neurological presentation.","DictElement({'Year': '2009', 'Month': '03', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2009,Age and ageing,10.1093/ageing/afp005,,,Case Reports; Journal Article,England,eng
33620916,Nonalcoholic Wernicke-Korsakoff Syndrome Resulting From Psychosis.,"Alves Pereira de Carvalho Saraiva, Rodrigo; Gonçalves, Maria; Sereijo, Carolina; Mendes, Tiago; Kamyar, Rita Barandas; Abreu, Manuela; Coentre, Ricardo",Alves Pereira de Carvalho Saraiva,"Wernicke encephalopathy (WE) results from thiamine deficiency. If undiagnosed or inadequately treated, WE evolves into Korsakoff syndrome (KS). We herein report a case of nonalcoholic Wernicke-Korsakoff syndrome (WKS) that resulted from malnutrition due to psychosis in a 42-years-old male patient. Thiamine deficiency was secondary to severe malnourishment due to poisoning delusions and daily life disorganization in a patient with previously unrecognized schizophrenia. Besides the presence of WE's classic triad of signs, brain magnetic resonance imaging showed also typical thalamic lesions. Furthermore, the patient also presented anterograde and retrograde amnesia, executive dysfunction, and confabulations, compatible with KS being already present. Intravenous treatment with thiamine was given for 37 days. Improvement in cognitive functions and brain imaging alterations was evident. Nevertheless, persistent WKS deficits were present. This case highlights the multiplicity of etiologies of WKS, namely, psychiatric, and its debilitating consequences if not promptly recognized and treated.",{},,The Journal of nervous and mental disease,10.1097/NMD.0000000000001287,,,Case Reports; Journal Article,United States,eng
33823819,An autopsy-proven case of Corticobasal degeneration heralded by Pontine infarction.,"Yoo, Dallah; Park, Sung-Hye; Yu, Sungwook; Ahn, Tae-Beom",Yoo,"Neurodegenerative disorders are characterized by insidious progression with poorly-delineated long latent period. Antecedent clinical insult could rarely unmask latent neurodegenerative disorders. Here, we report an autopsy-proven case of corticobasal degeneration which was preceded by a lacunar infarction. A 58-year-old man presented with acute ataxia associated with a lacunar infarction in the right paramedian pons. His ataxia persisted with additional progressive gait difficulty and left arm clumsiness. Six months later, a follow-up neurological examination showed asymmetrical bradykinesia, apraxia, dystonic posturing, postural instability, and mild ataxia of the left limbs. Cognitive examination revealed frontal executive dysfunction and visuospatial difficulties. Dopamine transporter imaging scan demonstrated bilateral reduced uptakes in mid-to-posterior putamen, more prominent on the right side. Levodopa-unresponsive parkinsonism, asymmetric limb dystonia, and ideomotor apraxia became more conspicuous, while limb ataxia gradually vanished. The patient became unable to walk without assistance after 1 year, and died 4 years after the symptom onset. Autopsy findings showed frontoparietal cortical atrophy, ballooned neurons, and phosphorylated tau-positive astrocytic plaques and neuropil threads with gliosis and neuronal loss, confirming the corticobasal degeneration. The case illustrates that precedent clinical events such as stroke might tip a patient with subclinical CBS into overt clinical manifestations.","DictElement({'Year': '2021', 'Month': '04', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2021,BMC neurology,10.1186/s12883-021-02178-9,PMC8022434,Autopsy; Case report; Corticobasal degeneration; Stroke,Case Reports; Journal Article,England,eng
7591490,The neuropsychiatry of multiple sclerosis.,"Mendez, M F",Mendez,"This article examines the cognitive and psychiatric features of multiple sclerosis. MS can manifest as a neuropsychiatric disturbance even in the absence of physical disabilities. Two MS patients with predominant behavioral symptoms are described, and the literature is reviewed. The first patient had an interhemispheric disconnection syndrome, and the second patient had cognitive fatigue and depression. Other patients have slowed information processing speed, memory retrieval difficulty, frontal-executive dysfunction, and visuospatial difficulty. MS results in specific cognitive deficits and mood disorders. These two patients had organic mental disorders from cerebral demyelination particularly affecting the corpus callosum. Our patients have neuropsychiatric symptoms from extensive demyelination of prefrontal-subcortical circuits. Evaluation and management strategies are discussed.",{},,International journal of psychiatry in medicine,10.2190/NK8F-MTUW-QHH1-0531,,,Case Reports; Journal Article,United States,eng
26998574,Anti-N-Methyl-D-Aspartate Receptor Encephalitis: A Review and Neuropsychological Case Study.,"Loughan, Ashlee R; Allen, Aislyn; Perna, Robert; Malkin, Mark G",Loughan,"Anti-N-Methyl-d-Aspartate Receptor (NMDAR) Encephalitis is an autoimmune-mediated encephalitis, which may be associated with a tumor, which occurs when antibodies bind central NMDA receptors. Although typically diagnosed in women, approximately 20% of cases have been males. Due to the challenges with identification, imaging, and diverse symptom presentation, this syndrome is often misdiagnosed. Accurate diagnosis may provide an opportunity for introduction of disease-modifying therapies, which may alter disease trajectory. Moreover, neuropsychology has yet to fully clarify the pattern of impairments expected with this disorder. This manuscript reviews a single case study of a 42-year-old male diagnosed with NMDAR encephalitis. Neuropsychological evaluation was completed subsequent to diagnosis, treatment, and rehabilitation. Ongoing patient complaints, approximately six months post diagnosis, included reduced sustained attention, poor word retrieval, and daily forgetfulness. Adaptive skills were improved following rehabilitation. Direct testing revealed mildly impaired sustained attention, processing speed, oral word fluency, and executive functioning. All other cognitive domains were within estimated premorbid range, low average to average. Neuropsychological deficits were consistent with mild frontal brain dysfunction and continued recovery. This case illustrates the need for medical and psychological practitioners to understand NMDAR encephalitis, its symptom presentation, and related neuropsychological impact; particularly with the potential for misdiagnosis.","DictElement({'Year': '2016', 'Month': '01', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2016,The Clinical neuropsychologist,10.1080/13854046.2015.1132772,,Anti-N-Methyl-d-Aspartate Receptor Encephalitis; Autoimmune-mediated encephalitis.; Cognition; Executive dysfunction,Case Reports; Journal Article; Review,England,eng
24868121,Executive and language control in the multilingual brain.,"Kong, Anthony Pak-Hin; Abutalebi, Jubin; Lam, Karen Sze-Yan; Weekes, Brendan",Kong,"Neuroimaging studies suggest that the neural network involved in language control may not be specific to bi-/multilingualism but is part of a domain-general executive control system. We report a trilingual case of a Cantonese (L1), English (L2), and Mandarin (L3) speaker, Dr. T, who sustained a brain injury at the age of 77 causing lesions in the left frontal lobe and in the left temporo-parietal areas resulting in fluent aphasia. Dr. T's executive functions were impaired according to a modified version of the Stroop color-word test and the Wisconsin Card Sorting Test performance was characterized by frequent perseveration errors. Dr. T demonstrated pathological language switching and mixing across her three languages. Code switching in Cantonese was more prominent in discourse production than confrontation naming. Our case suggests that voluntary control of spoken word production in trilingual speakers shares neural substrata in the frontobasal ganglia system with domain-general executive control mechanisms. One prediction is that lesions to such a system would give rise to both pathological switching and impairments of executive functions in trilingual speakers.","DictElement({'Year': '2014', 'Month': '04', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2014,Behavioural neurology,10.1155/2014/527951,PMC4020527,,Case Reports; Journal Article,Netherlands,eng
