pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
32084623,Hypertrophic Olivary Degeneration and Holmes Tremor: Case Report and Review of the Literature.,"Dogan, Sebahat Nacar",Dogan,"Hypertrophic olivary degeneration (HOD) is very rare type of degeneration that causes hypertrophy rather than atrophy. The classical presentation of HOD is palatal myoclonus. However, HOD may rarely present with Holmes tremor (HT). HT is unusual symptomatic tremor characterized by combination of rest and intention tremor. It has been reported in small case series, so far. In this study, a man aged 62 years with HOD and HT spreading to the upper and lower extremities after pontine-midbrain hemorrhage due to cavernoma was presented. Although pontine-midbrain hemorrhage may cause HT in the late period, HOD can be revealed on magnetic resonance imaging. Tract anatomy, especially the Guillain-Mollaret triangle, should be considered to explain the relationship between HT and HOD.","DictElement({'Year': '2020', 'Month': '02', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2020,World neurosurgery,10.1016/j.wneu.2020.02.068,,Guillain-Mollaret triangle; Holmes tremor; Hypertrophic olivary degeneration; Midbrain hemorrhage; Pontine hemorrhage,Case Reports; Journal Article; Review,United States,eng
29226021,Holmes Tremor Secondary to a Stabbing Lesion in the Midbrain.,"Cury, Rubens Gisbert; Barbosa, Egberto Reis; Freitas, Christian; de Souza Godoy, Luis Filipe; Paiva, Wellingson Silva",Cury,"The development of Holmes tremor (HT) after a direct lesion of the midbrain has rarely been reported in the literature, although several etiologies have been linked with HT, such as stroke, brainstem tumors, multiple sclerosis, head trauma, or infections. A 31-year-old male, having been stabbed in the right eye, presented with a rest and action tremor in the left upper limb associated with left hemiparesis with corresponding post-contrast volumetric magnetic resonance imaging T1 with sagittal oblique reformation showing the knife trajectory reaching the right midbrain. Despite the rarity of the etiology of HT in the present case, clinicians working with persons with brain injuries should be aware of this type of situation.","DictElement({'Year': '2017', 'Month': '12', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2017,"Tremor and other hyperkinetic movements (New York, N.Y.)",10.7916/D8TF08ZT,PMC5721206,Midbrain; trauma; tremor,Case Reports; Journal Article,England,eng
35263896,Wernekinck Commissure Syndrome with Holmes Tremor: A Report of Two Cases and Review of Literature.,"Ling, Y T; Li, J M; Ling, Y; Wang, S G; Wang, J T; Zhang, X Y; Dong, L H",Ling,"Wernekinck commissure syndrome is a rare midbrain infarction, it consists of several symptoms including bilateral cerebellar ataxia, ophthalmoplegia, and palatal tremor. Holmes tremor is a rare clinical syndrome characterized by a combination of resting, postural, and action tremors. We describe two cases of Wernekinck commissure syndrome with Holmes tremor. To the best of our knowledge, it has been rarely reported in the literature to date. Both of the cases were presented with acute onset of bilateral cerebellar ataxia, dysarthria, and Holmes tremor. In the treatment, one patient was given ""clonazepam and benheisol,"" the other was received acupuncture therapy, both of them showed a marked improvement in ataxia and tremor.",{},,Neurology India,10.4103/0028-3886.338697,,Acupuncture therapy; Holmes tremor; Wernekinck commissure syndrome; ataxia; midbrain infarction,Case Reports; Journal Article; Review,India,eng
33616228,A rare case of Holmes tremor in a worker with occupational carbon monoxide poisoning.,"Rutchik, Jonathan; Bowler, Rosemarie M; Ratner, Marcia H",Rutchik,"Parkinsonism and encephalopathy are frequently seen in patients who survive carbon monoxide (CO) poisoning. Neurological findings associated with CO poisoning can emerge immediately after cessation of exposure or following a brief period of pseudo-recovery. When present, the tremor associated with CO poisoning is typical of the postural/intention type. Here, we report on a rare case of toxic encephalopathy with a dominant-hand Holmes-type tremor, characterized by resting, as well as postural and kinetic/intentional components, in a previously healthy 53-year-old man exposed to CO while actively engaged in the process of performing a physically demanding skilled labor task. The unique neuropathological and functional changes that give rise to Holmes-type tremor and how this relates to the selective vulnerability of the inhibitory indirect pathway of the basal ganglia to glutamatergic excitotoxicity mediated by tissue hypoxia are discussed.","DictElement({'Year': '2021', 'Month': '02', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2021,American journal of industrial medicine,10.1002/ajim.23235,,Holmes tremor; Parkinsonism; carbon monoxide; occupational,Case Reports,United States,eng
26778811,Holmes' tremor as a delayed complication of thalamic stroke.,"Martins, William Alves; Marrone, Luiz Carlos Porcello; Fussiger, Helena; Vedana, Viviane Maria; Cristovam, Rafael do Amaral; Taietti, Marjorye Z; Marrone, Antonio Carlos Huf",Martins,"Movement disorders are not commonly associated with stroke. Accordingly, thalamic strokes have rarely been associated with tremor, pseudo-athetosis and dystonic postures. We present a 75-year-old man who developed a disabling tremor 1 year after a posterolateral thalamic stroke. This tremor had low frequency (3-4 Hz), did not disappear on focus and was exacerbated by maintaining a static posture and on target pursuit, which made it very difficult to perform basic functions. MRI demonstrated an old ischemic lesion at the left posterolateral thalamus. Treatment with levodopa led to symptom control. Lesions in the midbrain, cerebellum and thalamus may cause Holmes' tremor. Delayed onset of symptoms is usually seen, sometimes appearing 2 years after the original injury. This may be due to maturation of a complex neuronal network, leading to slow dopaminergic denervation. Further studies are needed to improve our understanding of this unique disconnection syndrome.","DictElement({'Year': '2015', 'Month': '11', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2015,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,10.1016/j.jocn.2015.09.014,,Holmes’ tremor; Movement disorders; Symptomatic tremor; Thalamic stroke; Thalamic tremor; Ventral posterolateral nucleus,Case Reports; Journal Article,Scotland,eng
26723983,Isolated cerebellar-type hemiataxia in a thalamic infarction.,"Hokkoku, Keiichi; Matsukura, Kiyoshi; Yamamoto, Junpei; Kuwabara, Midori; Chiba, Takashi; Hatanaka, Yuki; Sonoo, Masahiro",Hokkoku,,"DictElement({'Year': '2015', 'Month': '11', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2015,Journal of the neurological sciences,10.1016/j.jns.2015.11.051,,Isolated hemiataxia; Rubral tremor; Thalamic infarction; Ventrolateral nucleus,Case Reports; Letter,Netherlands,eng
32676689,Vim stereotactic radiosurgical thalamotomy for drug-resistant idiopathic Holmes tremor: a case report.,"Tripathi, Manjul; Mehta, Sahil; Singla, Raghav; Ahuja, Chirag K; Tandalya, Naresh; Tuleasca, Constantin; Batish, Aman; Mohindra, Sandeep; Agrahari, Abhinav; Kaur, Rupinder",Tripathi,"We share our experience with stereotactic gamma knife thalamotomy (GKT) for medically refractory Holmes tremor (HT). A 22-year-old patient underwent gamma knife thalamotomy at ventrointermediate nucleus for disabling HT of the right upper limb. A single 4-mm isocenter was used to target the ventral intermediate nucleus with 130 Gy radiation. At 4 months follow up, we observed 84% improvement in his Fahn-Tolosa-Marin (FTM) rating scale with significant improvement in the right upper limb dystonic tremor. There was only subtle improvement in the ataxic component of the right lower limb. At 1 year after stereotactic GKT, there was sustained neurological improvement with no side effect, We present the stereotactic GKT as a treatment modality for drug-resistant HT. Moreover, it may be considered an alternate treatment modality especially in patients reluctant or contraindicated for any invasive surgical technique. CLINICAL TRIAL REGISTRATION NUMBER: Not required.","DictElement({'Year': '2020', 'Month': '07', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2020,Acta neurochirurgica,10.1007/s00701-020-04489-1,,Dystonia; Midbrain tremor; Rubral tremor; Thalamotomy,Case Reports; Journal Article,Austria,eng
25289172,Holmes tremor in a patient with progressive multifocal leukoencephalopathy.,"Gunness, Vimal Raj Nitish; Dooms, Georges; Wauschkuhn, Bernd; Feiden, Wolfgang; Hertel, Frank",Gunness,"Progressive multifocal leukencephalopathy (PML) is a rare, sometimes fatal viral disease in patients with primary or secondary immunosuppression. A 57-year-old immunocompetent female with intractable Holmes tremor and elongated unique brainstem lesion reported to our hospital. The cerebrospinal fluid (CSF) screening for John Cunningham virus was negative and the diagnosis was established by brain biopsy. The course was rapidly fatal. This atypical presentation of PML in an immunocompetent patient illustrates that diagnosis can be missed without brain biopsy.","DictElement({'Year': '2014', 'Month': '09', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2014,Surgical neurology international,10.4103/2152-7806.140205,PMC4173311,Brainstem; Holmes tremor; JC virus; immunocompetence; progressive multifocal leukencephalopathy,Case Reports,United States,eng
6568936,Rubral tremor: clinical features and treatment of three cases.,"Berkovic, S F; Bladin, P F",Berkovic,"Rubral tremor is characterized by a slow coarse tremor at rest that is exacerbated by postural adjustments and by guided voluntary movements. Some authorities have questioned whether it should be regarded as a distinct clinical entity. We observed three cases of rubral tremor following stroke and studied the movements by videotape recordings. The tremors were very similar in the three cases, and all showed plastic rigidity and dystonic posturing of the affected limbs. Rehabilitation difficulties out of proportion to the motor deficit were present, but all three patients responded favourably to treatment with levodopa-carbidopa. Lesions of the superior cerebellar peduncle, midbrain tegmentum or posterior part of the thalamus may cause this peculiar tremor, and it is probable that lesions of the red nucleus itself are not crucial for its production. The similarity of the clinical features and management problems of these cases suggests that it is valuable to regard rubral tremor as a specific clinical syndrome.",{},,Clinical and experimental neurology,,,,Case Reports; Journal Article,Australia,eng
37413873,Long-standing myoclonic hand tremor as an isolated symptom of hypertrophic olivary degeneration.,"Budrewicz, Sławomir; Koszewicz, Magdalena; Konieczna, Paulina; Zimny, Anna",Budrewicz,"Hypertrophic olivary degeneration (HOD) is a rare condition caused by lesions of the dentato-rubro-olivary pathway, usually bilateral. We presented a case of a 64-year old male with HOD caused by a unilateral, posterior pontine cavernoma. The patient has not developed the typical palate myoclonus until recently. Isolated hand myoclonus with coexisting asterixis was present for years. This case shows unique HOD symptomatology and emphasizes the important role of MRI in the differential diagnosis of monomelic myoclonus.","DictElement({'Year': '2023', 'Month': '07', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2023,Clinical neurology and neurosurgery,10.1016/j.clineuro.2023.107871,,Brainstem cavernoma; Holmes tremor; Hypertrophic olivary degeneration; Myoclonic tremor; Tractography,Case Reports,Netherlands,eng
