pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
26763039,Post-stroke hypersomnia.,"Jang, Sung Ho; Chang, Chul Hoon; Jung, Young Jin; Seo, Jeong Pyo",Jang,,{},,International journal of stroke : official journal of the International Stroke Society,10.1177/1747493015607502,,,"Case Reports; Letter; Research Support, Non-U.S. Gov't",United States,eng
31068089,Apatinib-induced hyperammonemic encephalopathy.,"Liu, Yan; Chen, Xiao; Gao, Xiang; Chen, Jing-Xiu; Chen, Jie",Liu,"Apatinib is an orally administered small-molecule vascular endothelial growth factor receptor-2 inhibitor that has demonstrated encouraging anticancer activity across a broad range of malignancies, including gastric cancer, non-small-cell lung cancer, breast cancer, and hepatocellular carcinoma. We report a case of probable apatinib-induced hyperammonemic encephalopathy in a 69-year-old male. The patient received apatinib as targeted therapy for hepatocellular carcinoma and presented with acute confusion and hypersomnolence after four days of medication initiation. He showed improvement on drug withdrawal; then he resumed apatinib with a half dose and had a recurrence. Possible underlying mechanisms that include direct neuronal effect and antiangiogenic properties are discussed. We would like to draw attention to the potential risk of vascular endothelial growth factor receptor-tyrosine kinase inhibitors induced hyperammonemic encephalopathy even with a low dosage. Clinicians should be aware of any unexplained neurological syndrome after the initiation of apatinib in patients with hepatocellular carcinoma.","DictElement({'Year': '2019', 'Month': '05', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2019,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,10.1177/1078155219846253,,Adverse drug reaction; apatinib; hepatic carcinoma; hyperammonemic encephalopathy,Case Reports; Journal Article,England,eng
864483,Symptomatic cataplexy.,"Anderson, M; Salmon, M V",Anderson,"The case is described of a man who developed attacks of cataplexy, narcolepsy, and sleep paralysis because of microglioma which infiltrated the walls and floor of the IIIrd ventricle and the upper brain stem. The mechanisms by which the pathology is related to the symptoms are discussed.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.40.2.186,PMC492636,,Case Reports; Journal Article,England,eng
36708258,Narcolepsy secondary to anti-Ma2 encephalitis: two case reports.,"Brunet de Courssou, Jean-Baptiste; Testard, Pauline; Sallansonnet-Froment, Magali; Brechemier, Marie-Laure; Ricard, Damien; Psimaras, Dimitri; Ferrand, Mickaël; Maillet, Thibault; Depierre, Patricia; Ohlmann, Charlotte; Capron, Jean; Arnulf, Isabelle; Gales, Ana",Brunet de Courssou,"Recent studies suggest that sleep disorders are present in two-thirds of patients with autoimmune encephalitis. In anti-Ma2 encephalitis, hypersomnia appears to be frequent. However, only few cases of type 1 narcolepsy have been reported to date with anti-Ma2 encephalitis. We report 2 new cases of patients with narcolepsy secondary to anti-Ma2 encephalitis. Patient 1, a 68-year-old man, had narcolepsy type 1, including sleep attacks, cataplexy, abnormal Multiple Sleep Latency Tests and hypocretin-1 deficiency (< 50 ng/L) in the cerebrospinal fluid (CSF), associated with a cerebellar syndrome. Anti-Ma2 antibodies were present in the serum and CSF and antivoltage-gated potassium channel antibodies in the serum. He benefited from a treatment with pitolisant. Patient 2, a 42-year-old man, had narcolepsy type 2, including hypersomnolence, no cataplexy, intermediate CSF levels of hypocretin-1 (138 ng/L), abnormal Multiple Sleep Latency Tests, and a limbic encephalitis presentation. Anti-Ma2 antibodies were present in the serum and CSF, and anti-Ma1 antibodies were in the CSF. For both, repeated polysomnographies were necessary to establish the precise diagnosis of central hypersomnia, emphasizing the importance of carrying out sleep investigations in a tertiary neurology center with sleep medicine expertise in patients with anti-Ma2 encephalitis. Brunet de Courssou J-B, Testard P, Sallansonnet-Froment M, et al. Narcolepsy secondary to anti-Ma2 encephalitis: two case reports. <i>J Clin Sleep Med</i>. 2023;19(4):837-841.",{},,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,10.5664/jcsm.10448,PMC10071386,Ma2; auto-immune encephalitis; hypersomnia; narcolepsy; paraneoplastic; sleep disease,Case Reports,United States,eng
35082024,Images: polysomnographic findings of nystagmus caused by a midbrain hemorrhagic stroke.,"Shoukat, Umer; Glick, Danielle R; Chaturvedi, Seemant; Diaz-Abad, Montserrat",Shoukat,"Brainstem strokes can present with an array of ophthalmologic findings depending on the location of the lesion. Eye movements are recorded on electrooculogram during polysomnography for sleep staging. We present the case of a patient with a dorsal midbrain hemorrhagic stroke and nystagmus with distinct findings on the electrooculogram during polysomnography. These eye movements from nystagmus differed in many aspects (frequency and amplitude) from the classic findings of other eye movements recorded during different stages of sleep. These polysomnography findings have not been reported in the setting of midbrain stroke. Future studies comparing nystagmus in multiple sleep stages in stroke patients would be of interest. Shoukat U, Glick DR, Chaturvedi S, Diaz-Abad M. Images: Polysomnographic findings of nystagmus caused by a midbrain hemorrhagic stroke. <i>J Clin Sleep Med</i>. 2022;18(5):1479-1482.",{},,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,10.5664/jcsm.9896,PMC9059607,dorsal midbrain syndrome; electrooculogram; hypersomnolence; narcolepsy; nystagmus; polysomnography; stroke,Case Reports; Journal Article,United States,eng
35360167,Case Report: Dysfunction of the Paraventricular Hypothalamic Nucleus Area Induces Hypersomnia in Patients.,"Wang, Zan; Zhong, Yu-Heng; Jiang, Shan; Qu, Wei-Min; Huang, Zhi-Li; Chen, Chang-Rui",Wang,"Hypersomnia is a common and highly impairing symptom marked by pathological excessive sleepiness, which induces suboptimal functioning and poor quality of life. Hypersomnia can be both a primary (e.g., hypersomnolence disorder) and secondary (e.g., tumors, and head trauma) symptom of disorders. However, its underlying mechanisms remain largely unknown. We report that three clinical cases with lesions around the paraventricular nucleus of the hypothalamus (PVH) area showed excessive daytime sleepiness and a prolonged nocturnal sleep lasting more than 20 h per day. Sleep architecture and subjective daytime sleepiness were examined by polysomnography. These cases were presented with stroke, myelin oligodendrocyte glycoprotein (MOG) antibody associated disorders and neuromyelitis optical spectrum disorder (NMOSD), respectively. Magnetic resonance imaging (MRI) showed lesions around the PVH area in all these three patients. After treatment of their primary disorders, their excessive sleep decreased as the PVH area recovered. Our findings suggest that the PVH may play an essential role in the occurrence of hypersomnia.","DictElement({'Year': '2022', 'Month': '03', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2022,Frontiers in neuroscience,10.3389/fnins.2022.830474,PMC8964012,case report; hypersomnia; lesion; magnetic resonance imaging; polysomnography; the paraventricular hypothalamic nucleus,Case Reports,Switzerland,eng
37960781,FLAIR-hyperintense lesions in anti-MOG-associated encephalitis with seizures overlaying anti-N-methyl-D-aspartate receptor encephalitis: A case report.,"Fu, Qingxi; Wang, Guangying; Che, Fengyuan; Li, Dong; Wang, Shougang",Fu,"FLAIR-hyperintense lesions in anti-myelin oligodendrocyte glycoprotein (MOG)-associated encephalitis with seizures (FLAMES) is a rare clinical phenotype of anti-MOG; immunoglobulin G-associated disease is often misdiagnosed as viral encephalitis in the early stages. Anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis is an autoimmune encephalitis caused by antibodies targeting the GluN1 subunit of the NMDAR. The coexistence of anti-NMDAR encephalitis and FLAMES is very rare. A 20-year-old female patient initially presented with seizures accompanied by daytime sleepiness. Magnetic resonance imaging revealed FLAIR-hyperintense lesions in unilateral cerebral cortex. NMDAR antibodies was positive in the cerebrospinal fluid and MOG antibodies in the serum. Steroid therapy was administrated. The symptoms completely relieved. At 6-month follow-up, the patient's condition remained stable. Magnetic resonance imaging showed no abnormalities in the unilateral cerebral cortex. When a patient with anti-NMDAR encephalitis or FLAMES is encountered in clinical practice, the coexistence of these diseases with double-positive anti-NMDAR and MOG antibodies should be considered and adopt appropriate evaluation and treatment.",{},,Medicine,10.1097/MD.0000000000035948,PMC10637516,,Case Reports; Journal Article,United States,eng
35915270,Symmetrical isolated globus pallidus infarction due to bilateral carotid artery dissection.,"Trandafir, Cassiana; Renard, Dimitri; Cagnazzo, Federico; Ion, Ioana Maria",Trandafir,"A 43-year-old woman presented 1 day after whiplash injury with behavior change, hypersomnia, and abulia. MRI showed symmetrical globus pallidus infarction and bilateral watershed hypoperfusion. Magnetic resonance angiography (MRA) showed bilateral carotid artery dissection. To our knowledge, isolated symmetrical globus pallidus infarction related to bilateral carotid dissection has never been reported earlier.","DictElement({'Year': '2022', 'Month': '08', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2022,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-022-06278-3,PMC9343219,Basal ganglia; Carotid artery dissection; Globus pallidus infarction,Case Reports; Journal Article,Italy,eng
34093014,Clinical Analysis of Bilateral Thalamic Infarction Caused by Percheron Artery Occlusion.,"Chen, Peng; Hao, Mei-Mei; Chen, Yong; Zhang, Hong; Wang, Zhe; Zhao, Bin; Xue, Yani; Chai, Yumei; Huang, Yong-Feng; Zhu, Jiang",Chen,"The Percheron artery (artery of Percheron, AOP) is a rare variant vessel. Its acute occlusion can cause a bilateral symmetrical thalamic stroke; typical symptoms of bilateral paramedian thalamic infarcts due to occlusion of AOP are vertical gaze palsy, memory impairment, confusion, drowsiness, hypersomnolence, or coma. We present the MR imaging findings in two cases with cerebral infarction caused by Percheron artery occlusion. Due to the difficulty in the diagnosis of acute Percheron arterial infarction, early conservative treatment is used. The prognosis of the disease is poor, with few patients completely rehabilitating. Therefore, clinicians must understand the characteristics of the disease, provide early diagnosis and administer timely and effective treatment to reduce the patient's disability rate and fatality rate and therefore improve the quality of life of patients. The patient's prognosis has extraordinary significance.","DictElement({'Year': '2021', 'Month': '05', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2021,Neuropsychiatric disease and treatment,10.2147/NDT.S296685,PMC8169551,MR imaging; artery of Percheron; thalamic infarcts,Case Reports,New Zealand,eng
7610317,Narcolepsy associated with arteriovenous malformation of the diencephalon.,"Clavelou, P; Tournilhac, M; Vidal, C; Georget, A M; Picard, L; Merienne, L",Clavelou,"Narcolepsy associated with localized brain lesions is rare, and few reports of well-documented cases have been published. We describe the case of a 20-year-old male (HLA DQw1 negative) who fulfilled clinical and polygraphic criteria of symptomatic narcolepsy. Narcolepsy in this patient was associated with an arteriovenous malformation involving the structures around the third ventricle. Clinical symptoms improved after embolization and radiosurgery. These findings support the hypothesis that lesions in the vicinity of the third ventricle can cause symptomatic narcolepsy.",{},,Sleep,10.1093/sleep/18.3.202,,,Case Reports; Journal Article; Review,United States,eng
