pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
32624028,Neuroimages and Neuropathology of a Stroke-Like Cerebral Lymphomatoid Granulomatosis.,"Marano, Massimo; Brunelli, Chiara; De Marco, Costanza; Martini, Maurizio; Quattrocchi, Carlo Cosimo; Lauriola, Libero; Di Lazzaro, Vincenzo",Marano,"A 70-year-old man presented to the Emergency Department reporting the acute onset of non-fluent aphasia, hyposthenia, and hemi-anesthesia of the right body. Brain computerized tomography revealed a subcortical hypodense lesion in the middle cerebral artery territory. Neck ultrasounds of internal and external carotid arteries and of the vertebral arteries showed a focal moderate stenosis of the left internal carotid artery due to a soft atheromasic plaque. These findings that were initially consistent with a diagnosis of an ischemic stroke were not confirmed by magnetic resonance (MR). The latter showed an hyperintense lesion on FLAIR and T2-weighted sequences located in the left centrum semiovale, corona radiata, and thalamus, with a well-defined regular rim and a mild compressive effect on the lateral ventricle, with diffusivity restriction but without ADC reduction and with a punctate and serpiginous gadolinium enhancement on T1 sequences (Figure 1). Within the first day of observation, the patient started complaining progressive mental deterioration, in absence of any other possible causes, and a total body CT scan excluded any other organ involvement. Patient was then referred to the neurosurgeon in order to perform a brain biopsy. The neuropathology was compatible with the diagnosis of cerebral lymphomatoid granulomatosis (LG) (Figure 1).","DictElement({'Year': '2020', 'Month': '07', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2020,The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,10.1017/cjn.2020.133,,Brain neoplasm; Brain stereotactic biopsy; Glioma; Lymphoma; Vasculitis; stroke mimic,Case Reports; Journal Article,England,eng
35027230,'Cortical Hand' in the Emergency Department: Two Case Reports.,"Davies, Matthew L; Harrison, Mark",Davies,"Cortical hand strokes affect the 'hand knob' of the motor cortex, resulting in isolated distal upper limb or hand weakness. They are rare and can be easily misdiagnosed for peripheral lesions. Case 1: A 59-year-old man presented to the Emergency Department (ED) after noticing left hand weakness while driving. There was no sensory deficit noted. A full neurological examination suggested an upper motor neurone rather than a peripheral nerve lesion. This was confirmed by a magnetic resonance imaging scan of his brain. Case 2: An 88-year-old man presented to the ED after developing sudden-onset left hand weakness while completing a newspaper puzzle. Power returned gradually over approximately 4 h, with no sensory symptoms being noted. A transient ischemic attack leading to cortical hand was diagnosed. WHY SHOULD AN EMERGENCY PHYSICIAN BE AWARE OF THIS?: Cortical hand strokes are a rare, but important, differential for wrist drop. They are often first strokes and embolic in nature. Therefore, correct diagnosis is vital to enable initiation of secondary prevention.","DictElement({'Year': '2022', 'Month': '01', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2022,The Journal of emergency medicine,10.1016/j.jemermed.2021.10.010,,cortical hand; stroke; wrist drop,Case Reports; Journal Article,United States,eng
33728181,Ischemic Stroke After Tumor Resection in a Patient With Glioblastoma Multiforme.,"Soliman, Sara; Ghaly, Medhat",Soliman,"Glioblastoma multiforme (GM) is the most common type of aggressive malignant glioma in the brain or spinal cord and represents 15% of all primary brain tumors among adults. Although ischemic strokes in the setting of an underlying glioma is a rare occurrence, its diagnosis is usually challenging due to the overlapping neurological manifestations with the underlying brain tumor. We report a case of a 58-year-old white male who presented with subacute worsening symptoms of expressive aphasia with focal neurological symptoms, including right-sided extremity motor weakness and intermittent vision spots. Magnetic resonance imaging (MRI) of brain revealed a large 9.5 cm infiltrating mass in the left frontal and temporal lobes, strongly indicative of a primary glioma. The patient underwent resection to confirm diagnosis and remove part of the tumor mass. Pathological examination revealed GM. Expressive aphasia was markedly improved following the surgery; however, on postoperative day 3, the patient developed acute onset of right-sided weakness and sensory deficit. MRI revealed acute left posterior, frontal, and parietal infarct. Unfortunately, recent brain surgery would not allow for intravenous thrombolysis, and, therefore, he was discharged with a plan for outpatient radiation treatment and oral temozolomide chemotherapy.","DictElement({'Year': '2021', 'Month': '02', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.13232,PMC7948307,glioblastoma multiforme; glioma; hemorrhagic stroke; thrombolysis,Case Reports,United States,eng
36034172,A Case Report of Herpes Zoster-Associated Bickerstaff Brainstem Encephalitis.,"Li, Man; Wang, Xingyu; Chen, Mojun; Chang, Yuan; Li, Linfeng; Zhong, Shan",Li,"Bickerstaff brainstem encephalitis (BBE) is a rare demyelinating disease of the central nervous system (CNS) that is caused by a direct viral infection or secondary autoimmune responses. BBE secondary to Herpes zoster has rarely been reported. A 68-year-old man developed a painful vesicular rash and drooping eyelid on the left side of his face for 20 days. Physical examination revealed left-sided blepharoptosis and crusted erythema on the left front side of his face, left upper eyelid, and left nasal tip. Neurological examination showed impaired sensation over the left side of his face and cheek. His left pupil was dilated (4mm compared to 2mm on the right side), and the Pupillary light reflection (PLR) was absent, with an ocular movement disorder (limited adduction) and diplopia. Brain imaging did not reveal abnormalities. Cerebrospinal fluid (CSF) examination showed leukocytosis and increased protein levels. He was treated with intravenous acyclovir for 7 days, but developed disturbance of consciousness and right limb weakness. Neurological examination revealed right lower limb hypoesthesia. The Heel-Knee-Shin test was positive on the left side, and Babinski's sign was present on the right side. He was diagnosed with Bickerstaff brainstem encephalitis caused by herpes zoster. After 2 days of intravenous acyclovir combined with intravenous immune globulin (IVIG), the patient developed acute kidney injury (AKI). Then, his treatment was changed to systemic steroids. At the 3-month follow-up, his pupils were bilaterally equal and reactive to light, and there was a significant improvement in ocular motility and ptosis. At the 6-month follow-up, his diplopia had completely resolved. BBE associated with herpes zoster is very rare and can be overlooked. Dermatologists should be aware of the expanding spectrum of neurological complications caused by varicella zoster virus (VZV) infections to aid early diagnosis and treatment.","DictElement({'Year': '2022', 'Month': '08', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2022,Infection and drug resistance,10.2147/IDR.S374981,PMC9417297,Bickerstaff brainstem encephalitis; acute kidney injury; herpes zoster; treatment,Case Reports,New Zealand,eng
2039391,Opercular cheiro-oral syndrome.,"Bogousslavsky, J; Dizerens, K; Regli, F; Despland, P A",Bogousslavsky,"Perioral and distal upper limb sensory dysfunction (cheiro-oral syndrome) has classically been attributed to cortical involvement. In previously reported cases of the syndrome, caused by stroke, however, the thalamus or brain stem has been the actual site of the lesion. We have studied two patients with infarct in the superficial middle cerebral artery territory involving the parietal operculum. Sensory involvement was purely subjective in the face, but severe hypoesthesia was present in the distal upper limb, involving mainly position sense, stereognosis, and graphesthesia. Temperature and pain sensation were involved in one patient. These findings correlated with involvement of the lower part of the postcentral gyrus, more caudal parts of the parietal operculum, and underlying white matter. This opercular cheiro-oral syndrome seems more uncommon than faciobrachiocrural hemihypesthesia associated with anterior parietal artery territory infarct. A double supply to the parietal opercular region through branches of the temporal arteries and anterior parietal artery may explain the rarity of cheiro-oral syndrome resulting from hemisphere stroke, because simultaneous and partial compromise to two different pial artery networks is uncommon.",{},,Archives of neurology,10.1001/archneur.1991.00530180116027,,,Case Reports; Journal Article,United States,eng
36694599,Lateral medullary infarction presenting only with dermatomal sensory disturbance: a case report.,"Aratake, Yuriko; Inoue, Manabu",Aratake,"The triad of Horner's syndrome, ataxia and sensory disturbances clinically identifies patients with lateral medullary infarct (LMI). However, dermatomal temperature and pain sensory loss have rarely been reported in patients with LMI. We describe the case of a patient with LMI presenting solely with temperature and pain sensory disorder below the C5 sensory level. Magnetic resonance imaging findings demonstrated a small superficial infarction in the right lateral medulla oblongata, indicating that the sensory deficit was caused by a restricted infarction of the lateral spinothalamic tract. We emphasize the importance of adding LMI to a differential diagnosis of acute dermatomal sensory disturbance without other major symptoms of LMI, such as cranial nerve abnormalities, ataxia and Horner's syndrome.","DictElement({'Year': '2023', 'Month': '01', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2023,Oxford medical case reports,10.1093/omcr/omac147,PMC9853935,,Case Reports,England,eng
25129386,A review of cavernous malformations with trigeminal neuralgia.,"Adachi, Kazuhide; Hasegawa, Mitsuhiro; Hayashi, Takuro; Nagahisa, Shinya; Hirose, Yuichi",Adachi,"Cavernous malformation with trigeminal neuralgia is relatively rare; only 10 cases have been reported. In deciding treatment strategies, it is helpful to classify cavernous malformation according to its origin, as follows: in the Gasserian ganglion (Type G); between the cisternal and intra-axial portions of the trigeminal nerve root (Type C); in the intra-axial trigeminal nerve root in the pons (Type P); or in the spinal tract of the trigeminal nerve root (Type S). A 62-year-old male presented with left trigeminal neuralgia (V2 area) and left facial hypoesthesia. Imaging studies revealed a cerebellopontine angle mass lesion with characteristics of a cavernous malformation and evidence of hemorrhage. The lesion was completely removed via a left anterior transpetrosal approach. The mass was attached to the trigeminal nerve root; it was located between the cisternal and intra-axial portions of the nerve root, and feeding off microvessels from the trigeminal nerve vascular plexus. Histological examination confirmed a cavernous malformation. In this case, the cavernous malformation was Type C. We review cases of cavernous malformation with trigeminal neuralgia and discuss therapeutic strategies according to the area of origin.","DictElement({'Year': '2014', 'Month': '07', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2014,Clinical neurology and neurosurgery,10.1016/j.clineuro.2014.07.025,,Anterior transpetrosal approach; Cavernous malformation; Operative approach; Pons; Trigeminal neuralgia,Case Reports; Journal Article; Review,Netherlands,eng
33725828,Pathogeny of cerebral venous thrombosis in SARS-Cov-2 infection: Case reports.,"Guendouz, Cécile; Quenardelle, Véronique; Riou-Comte, Nolwenn; Welfringer, Pascal; Wolff, Valérie; Zuily, Stéphane; Jager, Lavinia; Humbertjean Selton, Lisa; Mione, Gioia; Pop, Raoul; Gory, Benjamin; Richard, Sébastien",Guendouz,"Pathogeny of thrombosis in COVID-19 is related to interaction of SARS-Cov-2 with vascular wall through the angiotensin converting enzyme 2 (ACE2) receptor. This induces 2 pathways with immunothrombosis from activated endothelium (cytokine storm, leukocyte and platelet recruitment, and activation of coagulation extrinsic pathway), and rise of angiotensin II levels promoting inflammation. While thrombosis is widely described in COVID-19 patients admitted in intensive care unit, cerebrovascular diseases remains rare, in particular cerebral venous thrombosis (CVT). We describe 2 cases of women admitted during the spring of 2020 for intracranial hypertension signs, in stroke units in Great-east, a French area particularly affected by COVID-19 pandemia. Cerebral imaging revealed extended CVT in both cases. The first case described was more serious due to right supratentorial venous infarction with hemorrhagic transformation leading to herniation. Both patients presented typical pneumonia due to SARS-Cov-2 infection, confirmed by reverse transcription polymerase chain reaction on a nasopharyngeal swab in only one. The first patient had to undergo decompressive craniectomy, and both patients were treated with anticoagulation therapy. Favorable outcome was observed for 1 patient. Persistent coma, due to bi thalamic infarction, remained for the other with more serious presentation. CVT, as a serious complication of COVID-19, has to be searched in all patients with intracranial hypertension syndrome. Data about anticoagulation therapy to prevent such serious thrombosis in SARS-Cov-2 infection are lacking, in particular in patients with mild and moderate COVID-19.",{},,Medicine,10.1097/MD.0000000000024708,PMC7969213,,Case Reports; Journal Article,United States,eng
29101073,Malignant Cerebral Swelling After Cranioplasty: Case Report and Literature Review.,"Shen, Liang; Zhou, Yue; Xu, Jie; Su, Zhongzhou",Shen,"Cranioplasty is considered a low-risk operation in the field of neurosurgery following decompression craniectomy. Well-known complications after cranioplasty, such as infection, seizure, and titanium plate exposure, may not threaten the lives of patients. Unfortunately, there are many fatal complications that are underreported. In this study, we report a case and perform a literature review to introduce malignant cerebral swelling, which is regarded as a devastating complication. A 51-year-old man who was a victim of traumatic brain injury underwent emergency clot removal and decompression craniectomy. His neurologic condition improved with subsequent rehabilitation therapy, and he had left sinking skin flap syndrome where the skull was defective. Six months after the initial surgery, he underwent a cranioplasty; however, he did not recover from the uneventful anesthesia. A vacuum suction drain showed 300 mL of flow outflow had drained when his pupils dilated and fixed. An immediate computed tomography scan showed ipsilateral diffuse cerebral swelling with diffuse cerebral hemorrhage. Despite all approaches that were considered, the cerebral swelling continued to worsen until death. Cranioplasty is a high-risk procedure in some cases. Sinking skin flap syndrome and vacuum suction drain may be the main risks of a postoperative venous congestion and stasis, which may result in diffuse cerebral swelling. Once the computed tomography scan shows malignant cerebral swelling, the patient is expected to have a poor prognosis.","DictElement({'Year': '2017', 'Month': '10', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2017,World neurosurgery,10.1016/j.wneu.2017.10.102,,Cranioplasty; Malignant cerebral swelling; Sinking skin flap syndrome; Vacuum suction drainage,Case Reports; Journal Article; Review,United States,eng
29860021,Aphonogelia After Recovery From Severe Traumatic Brain Injury: A Case Report.,"McLeod, Scott A; Lam, Alva; Spencer, Adam; Wei, Xing-Chang; Gnanakumar, Vithya",McLeod,"During rehabilitation from a severe traumatic brain injury, a 16-year-old girl became aware that she had lost the ability to laugh out loud. This rare phenomenon previously has been described as ""aphonogelia."" A discussion of therapeutic avenues that were explored with this patient is presented in the first case, to our knowledge, of aphonogelia after a traumatic brain injury. LEVEL OF EVIDENCE: V.","DictElement({'Year': '2019', 'Month': '01', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2019,"PM & R : the journal of injury, function, and rehabilitation",10.1016/j.pmrj.2018.05.018,,,Case Reports; Journal Article; Review,United States,eng
