pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
16542786,Rapid recovery from major depression using magnesium treatment.,"Eby, George A; Eby, Karen L",Eby,"Major depression is a mood disorder characterized by a sense of inadequacy, despondency, decreased activity, pessimism, anhedonia and sadness where these symptoms severely disrupt and adversely affect the person's life, sometimes to such an extent that suicide is attempted or results. Antidepressant drugs are not always effective and some have been accused of causing an increased number of suicides particularly in young people. Magnesium deficiency is well known to produce neuropathologies. Only 16% of the magnesium found in whole wheat remains in refined flour, and magnesium has been removed from most drinking water supplies, setting a stage for human magnesium deficiency. Magnesium ions regulate calcium ion flow in neuronal calcium channels, helping to regulate neuronal nitric oxide production. In magnesium deficiency, neuronal requirements for magnesium may not be met, causing neuronal damage which could manifest as depression. Magnesium treatment is hypothesized to be effective in treating major depression resulting from intraneuronal magnesium deficits. These magnesium ion neuronal deficits may be induced by stress hormones, excessive dietary calcium as well as dietary deficiencies of magnesium. Case histories are presented showing rapid recovery (less than 7 days) from major depression using 125-300 mg of magnesium (as glycinate and taurinate) with each meal and at bedtime. Magnesium was found usually effective for treatment of depression in general use. Related and accompanying mental illnesses in these case histories including traumatic brain injury, headache, suicidal ideation, anxiety, irritability, insomnia, postpartum depression, cocaine, alcohol and tobacco abuse, hypersensitivity to calcium, short-term memory loss and IQ loss were also benefited. Dietary deficiencies of magnesium, coupled with excess calcium and stress may cause many cases of other related symptoms including agitation, anxiety, irritability, confusion, asthenia, sleeplessness, headache, delirium, hallucinations and hyperexcitability, with each of these having been previously documented. The possibility that magnesium deficiency is the cause of most major depression and related mental health problems including IQ loss and addiction is enormously important to public health and is recommended for immediate further study. Fortifying refined grain and drinking water with biologically available magnesium to pre-twentieth century levels is recommended.","DictElement({'Year': '2006', 'Month': '03', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2006,Medical hypotheses,10.1016/j.mehy.2006.01.047,,,Case Reports; Journal Article,United States,eng
26742784,Of grave concern.,"Fraser, Clare L; Taylor, Simon; Reid, Kate; Ahmad, Omar; Moster, Mark L",Fraser,"A 73-year-old woman presented with vision loss and recurrent proptosis with conjunctival chemosis 4 weeks after an uncomplicated fat-only orbital decompression for thyroid eye disease. Her Graves disease was biochemically ""burnt out,"" and she had diabetes mellitus. Initial neuro-imaging showed a straightened optic nerve and orbital apex fat streaking so a bilateral bony decompression of the orbital apex was performed for presumed compressive optic neuropathy. Vision failed to improve, and she experienced cognitive decline. She described metamorphopsia and insomnia. Examination showed a hemifield loss of red sensitivity, difficulties with higher visual processing, and memory problems. Occipital cortical ribboning was seen on diffusion weighted magnetic resonance imaging, cerebrospinal fluid was positive for 14-3-3, and her electroencephalogram showed periodic complexes. A diagnosis of the Heidenhain variant of Creutzfeldt-Jakob disease was made. She became akinetic and mute, dying a few months later.","DictElement({'Year': '2015', 'Month': '12', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2015,Survey of ophthalmology,10.1016/j.survophthal.2015.12.009,,Creutzfeldt-Jacob disease; Heidenhain variant; compressive optic neuropathy; higher visual processing; proptosis; spongiform encephalopathy; thyroid eye disease; visual fields,Case Reports; Journal Article; Review,United States,eng
19667003,Carbamazepine-induced hyperammonemia.,"Adams, Erin N; Marks, Alla; Lizer, Mitsi H",Adams,"A case of carbamazepine-induced hyperammonemia is presented. A 26-year-old man with bipolar disorder, seizures, and mild mental retardation secondary to a traumatic brain injury began treatment with carbamazepine for aggression and seizure control. After three weeks of carbamazepine therapy, the patient arrived at the emergency department (ED) with severe agitation and aggressive behavior. His oral medications included topiramate, carbamazepine, olanzapine, quetiapine, guanfacine, and desmopressin acetate. The patient's medications had been stable for at least six months except for the addition of carbamazepine one month before his arrival at the ED. Upon admission, the patient's vital signs were found to be within normal limits, as were his liver profile results, complete blood count, thyroid-stimulating-hormone level, and serum chemistry panel. His serum carbamazepine concentration was 3.9 microg/mL (reference range, 4-12 microg/mL), and his serum ammonia concentration was 127 microg/dL (reference range, 19-60 microg/dL). Carbamazepine was discontinued upon admission, and the patient was treated with oral lactulose. Since carbamazepine was discontinued and had been prescribed for bipolar disorder, his olanzapine dosage was increased, and trazodone was added at bedtime for insomnia. Of note, the patient had been on carbamazepine therapy one year earlier and had experienced the same adverse event. He had also developed elevated serum ammonia levels while on valproic acid. The patient's serum ammonia level returned to normal by hospital day 4, and he was discharged to his group home. A 26-year-old man with bipolar disorder developed hyperammonemia three weeks after initiating carbamazepine therapy.",{},,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,10.2146/ajhp080454,,,Case Reports; Journal Article,England,eng
37082226,ANTI-NMDA-R encephalitis: case report.,"Tosunoğlu, Bünyamin; Güneş, Hafize Nalan; Kına, Hatice Mediha; Çokal, Burcu Gökçe",Tosunoğlu,"Anti-N-methyl-D-aspartate receptor encephalitis (NMDA-R) is the most common among autoimmune encephalitis caused by antibodies developed against surface antigens. It was first identified in 2007 as presenting with seizures, autonomic dysfunction and movement disorders, in addition to acute or subacute onset of neuropsychiatric symptoms. Multifocal, nonspecific white matter lesions can be seen on cranial magnetic resonance imaging (MRI). Since paraneoplasia is usually found in the etiology, malignancy should be screened in patients with NMDA-R encephalitis. In our case, a 48-year-old patient is presented who has been diagnosed with anti-NMDA-R encephalitis during the examinations, complaining of numbness on the left side of his face, seizures, imbalance, excessive talkativeness and insomnia. Autoimmune encephalitis should be considered in patients with suspected autoimmune encephalitis, which takes severe clinical course and fails to respond to treatment adequately; NMDA receptor antibodies and other autoantibody tests should be requested, malignancy screening should be performed and treatment should be started in the early period.","DictElement({'Year': '2022', 'Month': '10', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2022,Postepy psychiatrii neurologii,10.5114/ppn.2022.120492,PMC9946364,encephalitis; paraneoplasia; seizure,Case Reports,Poland,eng
23385699,Sleep and comorbid neurologic disorders.,"Watson, Nathaniel F; Viola-Saltzman, Mari",Watson,"An understanding of the impact of sleep on neurologic disorders, and the impact of neurologic disorders on sleep, provides fresh opportunities for neurologists to improve the quality of life and functioning of their patients. Sleep-disordered breathing (SDB) is a risk factor for cerebrovascular disease and should be considered in all TIA and stroke patients. Sleep disorders can amplify nociception and worsen headache disorders; and some headaches, including those related to SDB and hypnic headache, are sleep specific. REM sleep behavior disorder may be an early sign of neurodegenerative disease. Focal lesions of almost any etiology (eg, multiple sclerosis and CNS malignancies) in the hypothalamus, basal forebrain, or brainstem may result in sleep disturbance, sleepiness, and insomnia. Sleep-related hypoventilation and fatigue are common in neuromuscular disease. SDB and epilepsy are mutually facilitatory, and poor sleep can exacerbate epilepsy. Continued surveillance for sleep disorders by neurologists is rewarded by new treatment avenues in their patients with the possibility of improved clinical outcomes.",{},,"Continuum (Minneapolis, Minn.)",10.1212/01.CON.0000427208.13553.8c,,,Case Reports; Journal Article; Review,United States,eng
1779254,Peduncular hallucinations.,"Kölmel, H W",Kölmel,Peduncular hallucinations usually present as visual disorders and are often genuine hallucinations associated with thalamic and/or mesencephalic lesions. In this case report we describe the clinical findings in a patient with hallucinations. Magnetic resonance imaging demonstrated bilateral ischaemic lesions in the thalamus and in the mesencephalon. The pathogenesis of hallucinations in these disorders is discussed in the light of the findings provided by imaging techniques.,{},,Journal of neurology,10.1007/BF00314654,,,Case Reports; Journal Article,Germany,eng
26763039,Post-stroke hypersomnia.,"Jang, Sung Ho; Chang, Chul Hoon; Jung, Young Jin; Seo, Jeong Pyo",Jang,,{},,International journal of stroke : official journal of the International Stroke Society,10.1177/1747493015607502,,,"Case Reports; Letter; Research Support, Non-U.S. Gov't",United States,eng
21570037,Managing sleepiness after traumatic brain injury.,"Greenwald, Brian; Lombard, Lisa A; Watanabe, Thomas K",Greenwald,,{},,"PM & R : the journal of injury, function, and rehabilitation",10.1016/j.pmrj.2011.04.010,,,Case Reports; Editorial,United States,eng
29429785,Spinal primary central nervous system lymphoma: Case report and literature review.,"Feng, Li; Chen, Dingbang; Zhou, Hongyan; Shen, Cunzhou; Wang, Haiyan; Sun, Xunsha; Liang, Xiulin; Chen, Ling",Feng,"Primary central nervous system lymphoma (PCNSL) is a very rare tumor of increasing incidence. It is often misdiagnosed due to the unspecific presentation or unavailable biopsy, and results in poor prognosis. PCNSL involved the spinal cord is extremely sparse. Here we report a gentleman presented with one-year history of progressive tremor in the left limbs and slight dysarthria as well as three-month history of paraparesis, tinnitus and insomnia. MR images disclosed the swollen cerebellum and cauda equine, with contrast enhancement in both meninges and nerve roots. The cerebrospinal fluid (CSF) revealed extremely high protein level. Tubercular meningitis was considered and anti-tuberculosis therapy was given for weeks but without relief. With progressive deterioration, the PCNSL was eventually presumed according to positive CSF cytology and exclusion of systemic involvement. However, the patient passed away within days. We then reviewed the current diagnostic methods of PCNSL. The biopsy, as the gold standard for PCNSL diagnosis, is not eligible for all patients suspected PCNSL. The presurgical diagnostic algorithm of PCNSL has been fixed by clinicians and we suggest the early and repeated CSF cytology should be included for definitive diagnosis.","DictElement({'Year': '2018', 'Month': '02', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2018,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,10.1016/j.jocn.2018.01.034,,CSF cytology; PCNSL; Spinal cord,Case Reports; Journal Article; Review,Scotland,eng
37724203,A Rare Case of Late-Onset Ertapenem-Induced Encephalopathy.,"Teague, Alexander J; Gupta, Sushan; Paul, Vishesh",Teague,"Encephalopathy is a rare side effect associated with carbapenem antibiotics, typically presenting within one week of initiating treatment. It is almost exclusively seen in patients with poor renal function. We present a case of a middle-aged male with a history of cerebral vascular accident and normal renal function admitted for agitation, delirium, and insomnia more than two weeks after starting ertapenem to treat osteomyelitis. He was empirically treated for meningitis on admission, and ertapenem was discontinued. After an extensive negative workup for infectious and neurological etiologies of encephalopathy, a presumptive diagnosis of ertapenem-induced encephalopathy was made. The patient returned to his baseline mental status five days after discontinuing ertapenem. The nature of his neurological symptoms and timely resolution after stopping ertapenem is consistent with ertapenem-induced encephalopathy and represents a notably delayed symptom onset compared to previously described cases.","DictElement({'Year': '2023', 'Month': '08', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.43713,PMC10505488,drug-induced encephalopathy; drug-reaction; ertapenem; ertapenem induced encephelopathy; ertapenem side-effect,Case Reports,United States,eng
