pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
30516602,Coma and Brain Death.,"Rabinstein, Alejandro A",Rabinstein,"This article discusses the diagnostic and therapeutic approach to patients who are comatose and reviews the current knowledge on prognosis from various causes of coma. This article also provides an overview of the principles for determination of brain death as well as advice on how to avoid common pitfalls. Technologic advances have refined our understanding of the physiology of consciousness and the spectrum of disorders of consciousness; they also promise to improve our prognostic accuracy. Yet the clinical principles for the evaluation and treatment of coma remain unaltered. The clinical standards for determination of death by neurologic criteria (ie, brain death) are also well established, although variabilities in local protocols and legal requirements remain a problem to be resolved. Effective evaluation of coma demands a systematic approach relying on clinical information to ensure rational use of laboratory and imaging tests. When the cause of coma is deemed irreversible in the setting of a catastrophic brain injury and no clinical evidence exists for brain and brainstem function, patients should be evaluated for the possibility of brain death by following the clinical criteria specified in the American Academy of Neurology guidelines.",{},,"Continuum (Minneapolis, Minn.)",10.1212/CON.0000000000000666,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",United States,eng
3783186,Alpha coma.,"Tomassen, W; Kamphuisen, H A",Tomassen,"Six personal cases of alpha coma are reported: 3 following a cerebrovascular accident and 3 resulting from cerebral concussion. Two patients survived. On the basis of differences in pathogenesis, EEG characteristics and prognosis, the following classification is proposed: alpha coma resulting from brain stem vascular accident; cerebral concussion; diffuse cerebral hypoxia; drug intoxication. The clinical course of each of the classes of alpha coma is outlined. The alpha coma state is not restricted to cases with structural brain stem lesions c.q. lesions of the pontomesencephalic region.",{},,Journal of the neurological sciences,10.1016/0022-510x(86)90137-1,,,Case Reports; Journal Article,Netherlands,eng
33766281,Man With Seizure.,"Canakci, Mustafa Emin; Erdem, Sevinc; Jafarova, Ulviyyat; Acar, Nurdan; Ozdemir, Atilla Ozcan",Canakci,,{},,Annals of emergency medicine,10.1016/j.annemergmed.2020.09.009,,,Case Reports; Journal Article; Video-Audio Media,United States,eng
35537772,Alprazolam and lorazepam overdose and the absence of brainstem reflexes.,"Thumtecho, Suthimon; Wainipitapong, Sorawit; Chunamchai, Sedthapong; Suteparuk, Suchai",Thumtecho,"Benzodiazepines (BZDs) rarely cause respiratory depression and death. On the other hand, high-dose BZDs may lead to profound sedation and diminished brainstem functions that mimic other structural brain lesions as described in our case: a 70-year-old unresponsive woman. She was hypothermic and had rapid shallow breathing. Her Glasgow Coma Scale score was E1V1M4, with pinpoint pupils and absent corneal, oculocephalic and oculovestibular reflexes. Other physical exams, laboratory testing and brain imaging were unremarkable. After two doses of 0.4 mg naloxone and intravenous thrombolytics were given, there were no significant responses, and the diagnosis remained a mystery. The cause of her unconsciousness was uncovered when her husband found empty bags of 80 tablets of alprazolam and lorazepam. Her consciousness and brainstem reflexes improved dramatically after 0.25 mg of intravenous flumazenil. The blood for BZDs concentration showed alprazolam 268 ng/mL (20-40 ng/mL), lorazepam 861 ng/mL (20-250 ng/mL) and their metabolites.","DictElement({'Year': '2022', 'Month': '05', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2022,BMJ case reports,10.1136/bcr-2022-248796,PMC9092135,Drug misuse (including addiction); Medical management; Neurology (drugs and medicines); Psychiatry (drugs and medicines); Toxicology,Case Reports; Journal Article,England,eng
33443134,Prolonged Unconsciousness Following Severe COVID-19.,"Abdo, Wilson F; Broerse, Catharina I; Grady, Bart P; Wertenbroek, Agnes A A C M; Vijlbrief, Onno; Buise, Marc P; Beukema, Menno; van der Kuil, Mark; Tuladhar, Anil M; Meijer, Frederick J A; van der Hoeven, Johannes G",Abdo,"We report a case series of patients with prolonged but reversible unconsciousness after coronavirus disease 2019 (COVID-19)-related severe respiratory failure. A case series of patients who were admitted to the intensive care unit due to COVID-19-related acute respiratory failure is described. After cessation of sedatives, the described cases all showed a prolonged comatose state. Diagnostic neurologic workup did not show signs of devastating brain injury. The clinical pattern of awakening started with early eye opening without obeying commands and persistent flaccid weakness in all cases. Time between cessation of sedatives to the first moment of being fully responsive with obeying commands ranged from 8 to 31 days. Prolonged unconsciousness in patients with severe respiratory failure due to COVID-19 can be fully reversible, warranting a cautious approach for prognostication based on a prolonged state of unconsciousness.","DictElement({'Year': '2020', 'Month': '12', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2020,Neurology,10.1212/WNL.0000000000011355,PMC8055315,,Case Reports; Journal Article; Multicenter Study,United States,eng
31340940,Cerebral arteriovenous malformation rupture in pregnancy.,"Sappenfield, Elisabeth Christine; Jha, R Tushar; Agazzi, Siviero; Ros, Stephanie",Sappenfield,"A 30-year-old nulliparous woman at 38 5/7 weeks of gestation developed a sudden, severe headache at work and subsequent loss of consciousness. She underwent evaluation in the emergency department. CT and CT angiogram head revealed a large intraparenchymal haematoma with intraventricular extension secondary to ruptured cerebral arteriovenous malformation (cAVM). She was intubated and transferred to a tertiary care centre. The patient underwent caesarean section followed by partial embolisation of the cAVM with planned second embolisation and resection 1 week later. Due to drowsiness and headache, the planned repeat embolisation and cAVM resection were performed 3 days earlier. The patient had a full recovery. Emergency medicine physicians and obstetrician-gynaecologists should be familiar with differential diagnosis of sudden headache in pregnancy and signs of a ruptured cAVM to facilitate early diagnosis, multidisciplinary team approach and timely treatment. Early diagnosis and management of ruptured cAVM are important due to associated morbidity and mortality.","DictElement({'Year': '2019', 'Month': '07', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2019,BMJ case reports,10.1136/bcr-2018-225811,PMC6663161,headache (including migraines); neurosurgery; obstetrics and gynaecology,Case Reports; Journal Article,England,eng
26213287,Surgical treatment of pituitary apoplexy in association with hemispheric infarction.,"Zou, Zhangyu; Liu, Changyun; Sun, Bin; Chen, Chunmei; Xiong, Wentin; Che, Chunhui; Huang, Huapin",Zou,"We report a patient with pituitary apoplexy in whom cerebral infarction developed, possibly secondary to vasospasm. Pituitary apoplexy is a clinical syndrome caused by acute hemorrhage or infarction of the pituitary gland. Our patient's clinical symptoms and radiographic findings greatly improved after surgical resection of the apoplectic pituitary gland. An extensive literature review was performed, including all previously reported cases of pituitary apoplexy leading to cerebral infarction. The clinical features, pathophysiological mechanisms, management and outcome of cerebral infarction following pituitary apoplexy are discussed. We show that cerebral infarction following pituitary apoplexy is associated with much poor prognosis. Early surgical decompression of the tumor and hemisphere should be performed in patients with severe or progressive neurological deficits, however, those with less severe presentations may be treated conservatively or with delayed elective surgery.","DictElement({'Year': '2015', 'Month': '07', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2015,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,10.1016/j.jocn.2015.03.049,,Cerebral infarction; Compression; Pituitary apoplexy; Surgery; Vasospasm,Case Reports; Journal Article; Review,Scotland,eng
37855654,[When the Brain Dictates the Rhythm].,"Burri, Andrea; Graf, Nina; Studhalter, Michael",Burri,"In rare cases, an HSV-Encephalitis can lead to sinus node dysfunction, as was the case in this 70-year old woman who suffered from recurrent syncopes. Diagnostic work-up showed sinus bradycardias and short-lasting sinus arrests, primarily consider-ed to be of cardiac etiology. After development of fever and neurological alteration, an HSV1 encephalitis was diagnosed. As our research of the current literature showed, the connection between the two is not completely clear. The HSVtypical infestation of the insular cortex, which influences the autonomic nervous system, should be discussed by all means. However, due to cessation of arrhythmia after seizure-suppressing therapy, we suspected an epileptic cause in this case. This shows the importance of a thorough differential diagnostic evaluation.",{},,Praxis,,,HSV encephalitis; asystole; sinus arrhythmia; sinus node dysfunction; syncope,Case Reports; English Abstract; Journal Article,Switzerland,ger
37635593,Severe Thrombocytopenia with Acute Cerebral Infarction: A Case Report and Literature Review.,"Li, C; Xu, B F; Zhang, M; Song, Y M; Liu, R",Li,"Common causes of thrombocytopenia include pseudo-thrombocytopenia, splenomegaly, decreased bone marrow production, and increased platelet destruction or depletion. The main clinical manifestation is bleeding, and thrombosis-related complications are rare. This article reports an 87-year-old woman with severe thrombocytopenia for more than 7 years. On day 6 in the hospital, the patient suddenly fell into a coma, and emergency head computed tomography (CT) displayed acute cerebral infarction of the left cerebellar hemisphere, brainstem, and left thalamus. Although thrombocytopenia is often associated with bleeding, there is still a need for vigilance against ischemic diseases. We analyzed the possible causes of acute cerebral infarction with thrombocytopenia and reviewed the literature. Our case is different from the causes of cerebral infarction reported in previous articles, so the relationship between thrombocytopenia and acute cerebral infarction needs further study. The patient, in this case, was not given anticoagulant or antiplatelet therapy but recovered well. It shows that individualized treatment is effective.",{},,Nigerian journal of clinical practice,10.4103/njcp.njcp_844_22,,Acute cerebral infarction; case report; thrombocytopenia; thromboembolism; thrombosis,Review; Case Reports,India,eng
450221,Cerebellar infarction.,"Feely, M P",Feely,"Cerebellar infarction has been inadequately recognized by clinicians. A review of 75 cases showed that in 55 of them the infarct acted as an expanding mass lesion and compressed the brain stem. Once this occurred, the mortality without operation was very high. With surgical treatment, the mortality was reduced considerably. The computerized tomographic scan is the diagnostic test of choice.",{},,Neurosurgery,10.1227/00006123-197901000-00003,,,Case Reports; Journal Article,United States,eng
