pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
31996626,Autonomic Hyperactivity.,"Rabinstein, Alejandro A",Rabinstein,"Autonomic hyperactivity is a relatively common consequence of severe acute brain injury and can also be seen with spinal cord and peripheral nerve disorders. This article reviews basic pathophysiologic concepts regarding autonomic hyperactivity, its various forms of clinical presentation, and practical management considerations. Paroxysmal sympathetic hyperactivity is most common after traumatic brain injury but can also occur after other forms of severe acute diffuse or multifocal brain injury. Formal criteria for the diagnosis and severity grading of paroxysmal sympathetic hyperactivity have now been proposed. A growing body of literature is beginning to elucidate the mechanisms underlying this disorder, but treatment remains based on observational data. Our mechanistic understanding of other distinct forms of autonomic hyperactivity, such as autonomic dysreflexia after traumatic spinal cord injury and dysautonomia after Guillain-Barré syndrome, remains rudimentary, yet clinical experience shows that their appropriate management can minimize the risk of serious complications. Syndromes of autonomic hyperactivity can result from injury at all levels of the neuraxis. Much more research is needed to refine our understanding of these disorders and guide optimal management decisions.",{},,"Continuum (Minneapolis, Minn.)",10.1212/CON.0000000000000811,,,Case Reports; Journal Article; Review,United States,eng
34698700,Poststroke Bipolar Disorder.,"Saraiva, Rodrigo; Proença, Filipa; Gonçalves, Maria; Sereijo, Carolina; Barandas, Rita; Coentre, Ricardo; Levy, Pedro",Saraiva,"Various diseases that impact different systems and organs in the body may trigger manic episodes. Strokes are often associated with psychiatric symptoms, particularly depressive and, more rarely, manic. We herein report a case of bipolar disorder secondary to cerebrovascular disease in a 67-year-old man with no personal or family history of psychiatric illness who, at the age of 64, had a bilateral ischemic stroke in the middle cerebral artery territory. About 20 days after this stroke, he experienced a manic episode. Three years later, he experienced a second manic episode, with another hospitalization in a psychiatric ward. With this case, we intend to emphasize that, although rare, the diagnosis of mania after stroke should not be forgotten, and most important, one should be aware of the recurrence of affective episodes just as in non-medical-caused bipolar disorder.",{},,The Journal of nervous and mental disease,10.1097/NMD.0000000000001410,,,Case Reports; Journal Article,United States,eng
28932982,"Cerebral Fat Embolism: Recognition, Complications, and Prognosis.","Godoy, Daniel Agustín; Di Napoli, Mario; Rabinstein, Alejandro A",Godoy,"Fat embolism syndrome (FES) is a rare syndrome caused by embolization of fat particles into multiple organs including the brain. It typically manifests with petechial rash, deteriorating mental status, and progressive respiratory insufficiency, usually occurring within 24-48 h of trauma with long-bone fractures or an orthopedic surgery. The diagnosis of FES is based on clinical and imaging findings, but requires exclusion of alternative diagnoses. Although there is no specific treatment for FES, prompt recognition is important because it can avoid unnecessary interventions and clarify prognosis. Patients with severe FES can become critically ill, but even comatose patients with respiratory failure may recover favorably. Prophylactic measures, such as early stabilization of fractures and certain intraoperative techniques, may help decrease the incidence and severity of FES.",{},,Neurocritical care,10.1007/s12028-017-0463-y,,Cerebral fat embolism; Coma; Fat embolism syndrome; Magnetic resonance imaging; Paroxysmal sympathetic hyperactivity,Case Reports; Journal Article; Review,United States,eng
34746494,Relapse of Psychosis Status Post Meningioma Resection.,"Mohammad-Amin, Hamza; Edinoff, Amber N; Akuly, Haseeb A; Doppalapudi, Prithvi; Horton, Rita; Sin, Anthony; Dwyer, Donard; Mohammad Amin, City; Shamim, Sana",Mohammad-Amin,"A 53-year-old Caucasian female with a previous psychiatric history of bipolar I disorder and attention deficit hyperactivity disorder presented to the emergency department after endorsing 10-11 months of auditory and visual hallucinations, persecutory delusions, depression, anosmia, weakness of lower extremities, and headache. The patient described her auditory hallucinations as non-commanding voices talking to her about her family, her visual hallucinations as seeing ""shadows and shapes,"" and her paranoid delusions as people coming after her. The patient had sustained a fall a week and a half earlier, requiring eight sutures to her posterior scalp. Her MRI of the brain showed a well-circumscribed 3.5 x 4.7 x 3.2 cm mass in the floor of the anterior cranial fossa. Computer tomography of the brain showed a 4.5 cm mass near the anterior interhemispheric fissure and edema in the right frontal cortex. Meningioma resection resulted in the cessation of hallucinations and delusions for one week. However, the patient was brought back to the emergency department because her auditory hallucinations and delusions returned. This case report demonstrates residual psychosis, even after frontal meningioma resection.","DictElement({'Year': '2021', 'Month': '08', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2021,Health psychology research,10.52965/001c.27359,PMC8567796,auditory hallucinations; meningiomas; psychosis; visual hallucinations,Case Reports,United States,eng
34824950,Refractory Paroxysmal Sympathetic Hyperactivity Following Traumatic Intracerebral Hemorrhage.,"Malinovic, Matea; Kallenberger, Kristine; Sandall, Justin",Malinovic,"Paroxysmal sympathetic hyperactivity (PSH) is a complex and underrecognized phenomenon involving increased sympathetic activity leading to tachycardia, tachypnea, and hypertension. The frequency of nonrecognition is due to a lack of diagnostic criteria. In addition, the lack of evidence-based treatments has further complicated approaches to management. This case describes a patient who presented with a new-onset seizure and intracerebral hemorrhage requiring burst suppression and decompressive craniotomy to attenuate intracranial hypertension (ICH). The patient continued to display paroxysmal dysautonomia requiring a multimodal regimen for control of episodes. He demonstrated neurological improvement and complete resolution of dysautonomic activity prior to being discharged to a rehabilitation facility. A delayed diagnosis, ICH, and refractory PSH status postdecompressive craniotomy presented unique challenges. Given that the number of episodes of paroxysmal ""storms"" directly correlates with morbidity and mortality, early detection is critical, and lack of recognition makes this a difficult disorder to diagnose and manage.","DictElement({'Year': '2021', 'Month': '10', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.19086,PMC8610432,autonomic nervous system diseases; brain injury; dysautonomia; intracerebral hemorrhage; paroxysmal sympathetic hyperactivity; traumatic brain injury,Case Reports,United States,eng
31786559,3D ultrasound-guided resection of low-grade gliomas: principles and clinical examples.,"Unsgård, Geirmund; Lindseth, Frank",Unsgård,"3D ultrasound (US) is a convenient tool for guiding the resection of low-grade gliomas, seemingly without deterioration in patients' quality of life. This article offers an update of the intraoperative workflow and the general principles behind the 3D US acquisition of high-quality images.The authors also provide case examples illustrating the technique in two small mesial temporal lobe lesions and in one insular glioma. Due to the ease of acquiring new images for navigation, the operations can be guided by updated image volumes throughout the entire course of surgery. The high accuracy offered by 3D US systems, based on nearly real-time images, allows for precise and safe resections. This is especially useful when an operation is performed through very narrow transcortical corridors.",{},,Neurosurgical focus,10.3171/2019.9.FOCUS19605,,3D ultrasound; CUSA = Cavitron US aspirator; LGG; LGG = low-grade glioma; US = ultrasound; navigated ultrasound; surgical setup,Case Reports; Journal Article; Review,United States,eng
34408953,Zonisamide-Induced Hallucinations: An Anticonvulsant's Psychosis.,"Al Armashi, Abdul Rahman; Balozian, Patil; Somoza-Cano, Francisco J; Patell, Kanchi; Ravakhah, Keyvan",Al Armashi,"Zonisamide is a new-generation anticonvulsant that works by altering the sodium and T-type calcium channels in the brain. It is currently approved for partial seizures, and trials are ongoing to evaluate the effectiveness against mania and chronic pain in adults. Psychosis is a rare side effect with an incidence of 2%. Our patient, a 52-year-old female with a past medical history of osteoarthritis and chronic pain only relieved by zonisamide is brought to the emergency department (ED) after a two-day history of altered mental status, agitation and visual hallucinations. One month prior, she had undergone total knee arthroplasty complicated with right knee cellulitis managed by IV (intravenous) long-term antibiotics of vancomycin and ertapenem. Physical examination was remarkable for disorientation to person, place, and time with intact remainder of the neurological exam. Initial laboratory work was unremarkable and a computerized tomography (CT) scan of the brain showed no acute intracranial abnormalities. The patient was treated as ertapenem-induced with altered mental status and the antibiotic was switched to meropenem upon discharge. Two weeks later, the patient presented to the ED with similar non-resolving complaints. As the patient's symptoms didn't improve after ertapenem discontinuation, the decision was made to stop zonisamide and carefully monitor for possible withdrawal symptoms. Progressively, our patient had a timely resolution of symptoms with a full return to baseline within a week. This case demonstrates the potential severity of zonisamide-induced psychosis. Additional studies are warranted to analyze the mechanism explaining its neurological side effect profile.","DictElement({'Year': '2021', 'Month': '07', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.16400,PMC8363161,altered mental status; anti-epileptic drug; anticonvulsant; encephalopathy; hallucinations; neurological complication; neurological manifestations; partial seizure; psychosis; zonisamide,Case Reports,United States,eng
25035567,Cerebellar Stroke-manifesting as Mania.,"Jagadesan, Venkatesan; Thiruvengadam, Kannapiran R; Muralidharan, Rengarajalu",Jagadesan,Secondary mania resulting from cerebral Cortex are described commonly. But secondary mania produced by cerebellar lesions are relatively uncommon. This case report describes a patient who developed cerebellar stoke and manic features simultaneously. 28 years old male developed giddiness and projectile vomiting. Then he would lie down for about an hour only to find that he could not walk. He became quarrelsome. His Psycho motor activities and speech were increased. He was euphoric and was expressing grandiose ideas. Bender Gestalt Test showed signs of organicity. Score in Young mania relating scale was 32; productivity was low in Rorschach. Neurological examination revealed left cerebellar signs like ataxia and slurring of speech. Computed tomography of brain showed left cerebellar infarct. Relationship between Psychiatric manifestations and cerebellar lesion are discussed.,{},,Indian journal of psychological medicine,10.4103/0253-7176.135396,PMC4100429,Cerebellar lesions; cerebellar stroke; mania,Case Reports,United States,eng
27536109,Post-stroke emotional incontinence or bipolar disorder?,"Mnif, Leila; Sellami, Rim; Masmoudi, Jawaher",Mnif,"Post-stroke emotional incontinence and bipolar disorder are two disorders that involve the dysfunction of brain structures responsible for emotional regulation. The objective of this work is to study the links between these disorders through a clinical case. We present the case of a 43-year-old man without previous psychiatric history who experienced emotional incontinence after cerebrovascular events. He reacted promptly to selective serotonin reuptake inhibitor treatment. However, he experienced his first episode of hypomania after 6 months of antidepressant therapy. Adjunctive therapy with valproic acid and low-dose paroxetine was eventually added, resulting in complete improvement of both emotional incontinence and hypomania after 4 additional months of treatment. The clinician should carefully explore any history of premorbid bipolar disorder, personality disorder characterized by mood instability, and family history of bipolar disorder.","DictElement({'Year': '2016', 'Month': '07', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2016,Neuropsychiatric disease and treatment,10.2147/NDT.S102273,PMC4973722,bipolar disorder; emotional incontinence; stroke,Case Reports,New Zealand,eng
38990989,A Case of Klebsiella pneumoniae infection.,"Liu, Xuefang; Yu, Ning; Lu, Huaihai; Zhao, Yinlong; Zhu, Junyu; Liu, Ya",Liu,"In recent years, hypervirulent Klebsiella pneumoniae (hvKp) has attracted increasing attention. It usually causes liver abscesses, which spread through the bloodstream to other parts such as the eyes, brain, lungs. 5.5% of all paroxysmal sympathetic hyperactivity syndrome are associated with infection, hydrocephalus, brain tumors, and some unknown causes. Younger patients with focal lesions of the brain parenchyma are at higher risk of paroxysmal sympathetic hyperactivity (PSH). This case report details the clinical features of Klebsiella pneumoniae diagnosed in a healthy individual. In addition to liver abscesses, bacteremia, and hyperglycemia, there are also brain abscesses, hernias, and postoperative paroxysmal sympathetic hyperactivity, an unexpected association between diseases or symptoms. The patient stabilized after comprehensive treatment, including early drainage of abscesses, rapid pathogen diagnosis, and timely and appropriate antibiotics. At a two-month follow-up, no signs of infection recurrence were noted, and the patient regained neurological function and could participate in regular physical activity. Symptoms of Klebsiella pneumoniae infection usually appear gradually, and misdiagnosis is common. When young patients suddenly develop high fever and abscess at a particular site, Klebsiella pneumoniae infection should be considered routine. Paroxysmal sympathetic hyperactivity syndrome caused by infection is rare, but a clinical score (PSH assessment measure, PSH-AM score) should be performed when clinical features appear. Early diagnosis and treatment can improve the prognosis.","DictElement({'Year': '2024', 'Month': '06', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2024,Journal of infection in developing countries,10.3855/jidc.18686,,Klebsiella pneumoniae; central nervous system infection; invasive liver abscess syndrome; paroxysmal sympathetic hyperactivity,Case Reports; Journal Article,Italy,eng
