pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
12556583,Thalamic acalculia.,"Mendez, Mario F; Papasian, Nora C; Lim, Gerald T H",Mendez,,{},,The Journal of neuropsychiatry and clinical neurosciences,10.1176/jnp.15.1.115,,,Case Reports; Letter,United States,eng
30340181,Tactile enumeration: A case study of acalculia.,"Cohen, Zahira Z; Arend, Isabel; Yuen, Kenneth; Naparstek, Sharon; Gliksman, Yarden; Veksler, Ronel; Henik, Avishai",Cohen,"Enumeration is one of the building blocks of arithmetic and fingers are used as a counting tool in early steps. Subitizing-fast and accurate enumeration of small quantities-has been vastly studied in the visual modality, but less in the tactile modality. We explored tactile enumeration using fingers, and gray matter (GM) changes using voxel-based morphometry (VBM), in acalculia. We examined JD, a 22-year-old female with acalculia following a stroke to the left inferior parietal cortex. JD and a neurologically healthy normal comparison (NC) group reported how many fingers were stimulated. JD was tested at several time points, including at acute and chronic phases. Using the sensory intact hand for tactile enumeration, JD showed deficit in the acute phase, compared to the NC group, and improvement in the chronic phase of (1) the RT slope of enumerating up to four stimuli, (2) enumerating neighboring fingers, and (3) arithmetic fluency performance. Moreover, VBM analysis showed a larger GM volume for JD relative to the NC group in the right middle occipital cortex, most profoundly in the chronic phase. JD's performance serves as a first glance of tactile enumeration in acalculia. Pattern-recognition-based results support the suggestion of subitizing being the enumeration process when using one hand. Moreover, the increase in GM in the occipital cortex lays the groundwork for studying the innate and primitive ability to perceive and evaluate sizes or amounts-""sense of magnitude""- as a multisensory magnitude area and as part of a recovery path for deficits in basic numerical abilities.","DictElement({'Year': '2018', 'Month': '10', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2018,Brain and cognition,10.1016/j.bandc.2018.10.001,,Acalculia; Embodied numerosity; Sense of magnitude; Subitizing; Tactile enumeration; VBM analysis,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
37478549,White matter tract disconnection in Gerstmann's syndrome: Insights from a single case study.,"Ranzini, Mariagrazia; Ferrazzi, Giulio; D'Imperio, Daniela; Giustiniani, Andreina; Danesin, Laura; D'Antonio, Valentina; Rigon, Elena; Cacciante, Luisa; Rigon, Jessica; Meneghello, Francesca; Turolla, Andrea; Vallesi, Antonino; Semenza, Carlo; Burgio, Francesca",Ranzini,"It has been suggested that Gerstmann's syndrome is the result of subcortical disconnection rather than emerging from damage of a multifunctional brain region within the parietal lobe. However, patterns of white matter tract disconnection following parietal damage have been barely investigated. This single case study allows characterising Gerstmann's syndrome in terms of disconnected networks. We report the case of a left parietal patient affected by Gerstmann's tetrad: agraphia, acalculia, left/right orientation problems, and finger agnosia. Lesion mapping, atlas-based estimation of probability of disconnection, and DTI-based tractography revealed that the lesion was mainly located in the superior parietal lobule, and it caused disruption of both intraparietal tracts passing through the inferior parietal lobule (e.g., tracts connecting the angular, supramarginal, postcentral gyri, and the superior parietal lobule) and fronto-parietal long tracts (e.g., the superior longitudinal fasciculus). The lesion site appears to be located more superiorly as compared to the cerebral regions shown active by other studies during tasks impaired in the syndrome, and it reached the subcortical area potentially critical in the emergence of the syndrome, as hypothesised in previous studies. Importantly, the reconstruction of tracts connecting regions within the parietal lobe indicates that this critical subcortical area is mainly crossed by white matter tracts connecting the angular gyrus and the superior parietal lobule. Taken together, these findings suggest that this case study might be considered as empirical evidence of Gerstmann's tetrad caused by disconnection of intraparietal white matter tracts.","DictElement({'Year': '2023', 'Month': '06', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2023,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2023.05.016,,Gerstmann's syndrome; Lesion Mapping; Optic ataxia; White matter tract disconnection; stroke,"Case Reports; Research Support, Non-U.S. Gov't",Italy,eng
33175666,A case of inferior frontal gyrus infarction manifesting Gerstmann syndrome.,"Tanabe, Nobuhiko; Komuro, Taro; Mochida, Atsushi; Fujita, Yuko; Nakagawa, Madoka; Hyuga, Junko; Horiguchi, Satoshi; Satow, Takeshi",Tanabe,"A 48-year-old female suffered from cerebral infarction involving the left inferior frontal gyrus. This was due to ischemic complications of endovascular treatment for subarachnoid hemorrhage. She exhibited severe acalculia, agraphia, finger agnosia, and right-left disorientation (the four features of Gerstmann syndrome), but aphasia was scarcely noticeable. Single-photon emission tomography revealed hypoperfusion in the left inferior frontal area and also in the left parietal area. It is possible that Gerstmann syndrome was caused in the present case by disruption of the association fiber connecting the inferior frontal area with the inferior parietal area.","DictElement({'Year': '2020', 'Month': '11', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2020,Neurocase,10.1080/13554794.2020.1846059,,Cerebral infarction; Gerstmann syndrome; SPECT; disconnection syndrome; inferior frontal gyrus,Case Reports; Journal Article,England,eng
32912538,A Rare Clinical Antity; Pure Gerstmann Syndrome.,"Tekgol Uzuner, Gulnur; Ubur, Ahmet; Erten, Murat; Uzuner, Nevzat",Tekgol Uzuner,"Gerstmann syndrome is defined as a tetrad including agraphia, acalculia, finger agnosia, and right-left disorientation. In the case studies presented in the literature, it has been reported that Gerstmann syndrome usually appears as an incomplete tetrad of symptoms or accompanied by cognitive deficits including aphasia, alexia, apraxia and some perceptual disorders. Here, we present of the patient with left angular and supramarginal gyrus infarction affecting the parietal lobe. In addition to the symptoms mentioned above, the patient had alexia and anomic aphasia as well. We discussed the clinic appearance and reviewed the current literature.","DictElement({'Year': '2020', 'Month': '07', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2020,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2020.105161,,Acalculia; Finger agnosia; Gerstmann syndrome; Right-left disorientation; agraphia,Case Reports; Journal Article; Review,United States,eng
3741217,Acalculia following a dominant-hemisphere subcortical infarct.,"Corbett, A J; McCusker, E A; Davidson, O R",Corbett,"A 60-year-old, right-handed woman experienced persistent impairment of calculating ability following a subcortical infarct involving the head of the left caudate nucleus, the anterior superior putamen, and the anterior limb of the internal capsule extending superiorly into the periventricular white matter. Acalculia resulted from defects of numerical syntax, the loss of ability to manipulate mathematical concepts, and impaired working memory.",{},,Archives of neurology,10.1001/archneur.1986.00520090088026,,,Case Reports; Journal Article,United States,eng
25791367,Cortical relapses in multiple sclerosis.,"Puthenparampil, Marco; Poggiali, Davide; Causin, Francesco; Rolma, Giuseppe; Rinaldi, Francesca; Perini, Paola; Gallo, Paolo",Puthenparampil,"Multiple sclerosis (MS) is a white and grey matter disease of the central nervous system (CNS). It is recognized that cortical damage (i.e. focal lesions and atrophy) plays a role in determining the accumulation of physical and cognitive disability that is observed in patients with progressive MS. To date, an association of cortical lesions with clinical relapses has not been described. We report clinical and magnetic resonance imaging (MRI) findings of five relapsing-remitting MS (RRMS) patients who had clinical relapses characterized by the acute appearance of cortical symptoms, due to the development of large, snake-like, cortical inflammatory lesions. Symptoms were: acute Wernicke's aphasia mimicking stroke; agraphia with acalculia, not associated to a motor deficit nor linguistic disturbance; hyposthenia of the left arm, followed by muscle twitching of the hand, spreading to arm and face; acute onset of left lower limb paroxysmal hypertonia; and temporal lobe status epilepticus, with psychotic symptoms. Cortical relapses may occur in MS. MRI examination in MS should include sequences, such as double inversion recovery (DIR) or phase sensitive inversion recovery (PSIR), that are aimed at visualizing cortical lesions, especially in the presence of symptoms of cortical dysfunction. Our observation further stresses and extends the clinical relevance of cortical pathology in MS.","DictElement({'Year': '2015', 'Month': '03', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2015,"Multiple sclerosis (Houndmills, Basingstoke, England)",10.1177/1352458514564483,,Case study; cortical lesions; grey matter; inversion recovery; magnetic resonance imaging; multiple sclerosis; relapse; relapse symptoms; relapsing–remitting multiple sclerosis,Case Reports; Journal Article,England,eng
29936013,Acute stroke presenting with isolated acalculia.,"Grimaldi, Michael; Jeanmonod, Rebecca",Grimaldi,"Acalculia is defined as the inability to mentally manipulate numbers for simple calculations. It may occur in dementia, central nervous system (CNS) neoplasm, and stroke (Bermejo-Velasco and Castillo-Moreno, 2006). Lesions of the left parietal cortex are the principal cause. When acalculia occurs in stroke, it is generally associated with other deficits in speech, sensation, or motor function. We report the case of a 63-year-old male with a 1 day history of isolated acalculia that was found to have a left parietal lobe infarct with several smaller infarcts in the left occipital lobe. The diagnosis of stroke should be considered in all patients experiencing acute difficulty with mathematics, reading, or writing, even in the absence of other deficits.","DictElement({'Year': '2018', 'Month': '06', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2018,The American journal of emergency medicine,10.1016/j.ajem.2018.06.038,,Acalculia; Stroke,Case Reports; Journal Article,United States,eng
29681826,Frontal Phonological Agraphia and Acalculia with Impaired Verbal Short-Term Memory due to Left Inferior Precentral Gyrus Lesion.,"Sakurai, Yasuhisa; Furukawa, Emi; Kurihara, Masanori; Sugimoto, Izumi",Sakurai,"We report a patient with phonological agraphia (selective impairment of kana [Japanese phonetic writing] nonwords) and acalculia (mental arithmetic difficulties) with impaired verbal short-term memory after a cerebral hemorrhage in the opercular part of the left precentral gyrus (Brodmann area 6) and the adjacent postcentral gyrus. The patient showed phonemic paragraphia in five-character kana nonword writing, minimal acalculia, and reduced digit and letter span. Mental arithmetic normalized after 8 months and agraphia recovered to the normal range at 1 year after onset, in parallel with an improvement of the auditory letter span score from 4 to 6 over a period of 14 months and in the digit span score from 6 to 7 over 24 months. These results suggest a close relationship between the recovery of agraphia and acalculia and the improvement of verbal short-term memory. The present case also suggests that the opercular part of the precentral gyrus constitutes the phonological route in writing that conveys phonological information of syllable sequences, and its damage causes phonological agraphia and acalculia with reduced verbal short-term memory.","DictElement({'Year': '2018', 'Month': '03', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2018,Case reports in neurology,10.1159/000487849,PMC5903121,Acalculia; Frontal pure agraphia; Phonological agraphia; Verbal short-term memory; Working memory,Case Reports,Switzerland,eng
33892313,Dystypia Associated with Diaschisis of the Middle Frontal Gyri after Left Angular Infarction.,"Maeda, Kengo; Yamamoto, Yutaka; Shiraishi, Tomoyuki; Fujioka, Eriko",Maeda,"Dystypia without aphasia, agraphia, or apraxia is a rare symptom and has been suggested to result from a lesion in the left middle frontal cortex. We herein describe a man with dystypia with agraphia due to infarction of the left angular gyrus. His dystypia seemed to result from the convergence failure of the kana into the alphabetical spellings. During dystypia, hypoperfusion of the bilateral middle frontal cortices was discovered. However, after his symptoms improved, blood flow in the middle frontal cortices returned to normal. This case suggests that the middle frontal cortex is downstream of the angular gyrus in the dictating pathway and a lesion in the left middle frontal cortex could cause pure dystypia.","DictElement({'Year': '2021', 'Month': '04', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2021,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2021.105803,,Angular gyrus; Diaschisis; Dystypia; Middle frontal gyrus,Case Reports,United States,eng
