pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
26742784,Of grave concern.,"Fraser, Clare L; Taylor, Simon; Reid, Kate; Ahmad, Omar; Moster, Mark L",Fraser,"A 73-year-old woman presented with vision loss and recurrent proptosis with conjunctival chemosis 4 weeks after an uncomplicated fat-only orbital decompression for thyroid eye disease. Her Graves disease was biochemically ""burnt out,"" and she had diabetes mellitus. Initial neuro-imaging showed a straightened optic nerve and orbital apex fat streaking so a bilateral bony decompression of the orbital apex was performed for presumed compressive optic neuropathy. Vision failed to improve, and she experienced cognitive decline. She described metamorphopsia and insomnia. Examination showed a hemifield loss of red sensitivity, difficulties with higher visual processing, and memory problems. Occipital cortical ribboning was seen on diffusion weighted magnetic resonance imaging, cerebrospinal fluid was positive for 14-3-3, and her electroencephalogram showed periodic complexes. A diagnosis of the Heidenhain variant of Creutzfeldt-Jakob disease was made. She became akinetic and mute, dying a few months later.","DictElement({'Year': '2015', 'Month': '12', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2015,Survey of ophthalmology,10.1016/j.survophthal.2015.12.009,,Creutzfeldt-Jacob disease; Heidenhain variant; compressive optic neuropathy; higher visual processing; proptosis; spongiform encephalopathy; thyroid eye disease; visual fields,Case Reports; Journal Article; Review,United States,eng
38164515,"Neurosarcoidosis, Coccidioidomycosis, or Both!","Akhavanrezayat, Amir; Matsumiya, Wataru; Ongpalakorn, Prapatsorn; Ghoraba, Hashem H; Or, Chris; Khojasteh Jafari, Hassan; Kirimli, Gunay Uludag; Yasar, Cigdem; Than, Ngoc Trong Tuong; Karaca, Irmak; Zaidi, Moosa; Mobasserian, Azadeh; Yavari, Negin; Bazojoo, Vahid; Shin, Yong Un; Bromeo, Albert John; Nguyen, Quan Dong",Akhavanrezayat,"To report a case of neurosarcoidosis (NS) who was initially diagnosed as <i>Coccidioidomycosis immitis</i> (CI) infection. A 57-year-old diabetic man presented with sudden painless diminution of vision, metamorphopsia, and color vision deficits in the left eye (OS) for one month. His vision was 20/20 in the right eye (OD) and 20/40 OS. Ophthalmic examination revealed left relative afferent pupillary defect, blurred optic nerve margin, creamy chorioretinal infiltration around the optic disc, and mild macular edema. OD examination was non-revealing. Chest CT scan with contrast showed calcified mediastinal lymph nodes, but biopsy of the lymph nodes was normal. Brain and orbit MRI demonstrated soft tissue abnormality with enhancement in left orbital apex with involvement of the extraocular muscles. CSF culture was negative, but complement fixation had positive titer of 1:2 for CI. The patient was diagnosed with CI meningitis, and antifungal therapy was initiated. Slight visual and symptomatic improvement was observed, which was not completely satisfactory. Biopsy of extraocular orbital muscle five months later revealed non-caseating granulomatous inflammation, leading to initiation of prednisone trial therapy. Nine months later, the patient was referred to a tertiary center owing to persistence of optic disc edema OS. PET CT was consistent with a diagnosis of sarcoidosis. Antifungal treatment was discontinued, and oral prednisone with methotrexate was initiated. Subsequently, methotrexate was replaced by infliximab to further manage ocular inflammation and neurologic symptoms which was effective. Vision was 20/20 OD and 20/30 OS at the most recent visit. Signs and symptoms of neurosarcoidosis and coccidioidomycosis can be similar and deceiving. The index case underscores importance of considering appropriate differential diagnoses in patients with similar symptoms and signs who may respond to preliminary designated treatment but not to the optimal extent. Considering such possibility could assist clinicians in managing the patients timely and efficiently.","DictElement({'Year': '2023', 'Month': '12', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2023,International medical case reports journal,10.2147/IMCRJ.S434632,PMC10758176,coccidioidomycosis; neurosarcoidosis; ocular involvement; sarcoidosis,Case Reports,New Zealand,eng
31462163,A shrunken world - micropsia after a right occipito-parietal ischemic stroke.,"Van Den Berg, Nils S; Huitema, Rients B; Spikman, Jacoba M; Van Laar, Peter Jan; De Haan, Edward H F",Van Den Berg,"Micropsia is a rare condition in which patients perceive the outside world smaller in size than it actually is. We examined a patient who, after a right occipito-parietal stroke, subjectively reported perceiving everything at seventy percent of the actual size. Using experimental tasks, we confirmed the extent of his micropsia at 70%. Visual half-field tests showed an impaired perception of shape, location and motion in the left visual field. As his micropsia concerns the complete visual field, we suggest that it is caused by a higher-order compensation process in order to reconcile the conflicting information from the two hemifields.","DictElement({'Year': '2019', 'Month': '08', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2019,Neurocase,10.1080/13554794.2019.1656751,,Micropsia; metamorphopsia; neuropsychology; occipito-parietal infarction; visual perceptual impairment,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
19334315,The role of Funktionswandel in metamorphopsia.,"Nijboer, Tanja C W; Ruis, Carla; van der Worp, H Bart; De Haan, Edward H F",Nijboer,"Patients with metamorphopsia perceive objects or faces as being distorted and/or different in size. In most cases, recognition is not impaired. The stimulus specificity, particularly in the case of face perception, has led to the suggestion that metamorphopsia is a deficit at the entry level of category-specific recognition systems; in this case, the face processing system. An explanation in terms of a visuosensory deficit (i.e., Funktionswandel) that affects the perception of specific stimulus categories has not been systematically evaluated. In this study, we report two patients (MZ and CM) who experienced hemi-metamorphopsia for faces after a stroke in the posterior part of the brain. Despite the distortions, they could still match and recognize faces. We carried out a detailed evaluation of their visual-sensory status and found that both MZ and CM had specific problems with discriminating and estimating sizes and shapes, especially in the contralesional visual field. It was concluded that these cases, metamorphopsia was not due to a higher-order perception impairment specific for faces, but rather of a specific impairment in shape perception in the contralesional visual field that proportionally affects the perception of faces.",{},,Journal of neuropsychology,10.1348/174866407x256563,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
22723575,Acute exacerbation of multiple sclerosis presenting with facial metamorphopsia and palinopsia.,"Anbarasan, Deepti; Howard, Jonathan",Anbarasan,"We discuss the case of a patient with a known history of relapsing-remitting multiple sclerosis (MS) who presented with the isolated complaint of altered visual perception in the absence of abnormalities on ophthalmological examination. To the best of the authors' knowledge, this is the first documented case of both facial metamorphopsia and palinopsia occurring as the symptoms of demyelinating brain lesions consistent with an acute MS exacerbation. These symptoms appear to be related to active demyelination that either involved the optic radiations in the visual pathway or the visual association area in the temporo-occipital region of the left hemisphere.","DictElement({'Year': '2012', 'Month': '06', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2012,"Multiple sclerosis (Houndmills, Basingstoke, England)",10.1177/1352458512451511,,,Case Reports; Journal Article,England,eng
17804619,Human adult cortical reorganization and consequent visual distortion.,"Dilks, Daniel D; Serences, John T; Rosenau, Benjamin J; Yantis, Steven; McCloskey, Michael",Dilks,"Neural and behavioral evidence for cortical reorganization in the adult somatosensory system after loss of sensory input (e.g., amputation) has been well documented. In contrast, evidence for reorganization in the adult visual system is far less clear: neural evidence is the subject of controversy, behavioral evidence is sparse, and studies combining neural and behavioral evidence have not previously been reported. Here, we report converging behavioral and neuroimaging evidence from a stroke patient (B.L.) in support of cortical reorganization in the adult human visual system. B.L.'s stroke spared the primary visual cortex (V1), but destroyed fibers that normally provide input to V1 from the upper left visual field (LVF). As a consequence, B.L. is blind in the upper LVF, and exhibits distorted perception in the lower LVF: stimuli appear vertically elongated, toward and into the blind upper LVF. For example, a square presented in the lower LVF is perceived as a rectangle extending upward. We hypothesized that the perceptual distortion was a consequence of cortical reorganization in V1. Extensive behavioral testing supported our hypothesis, and functional magnetic resonance imaging (fMRI) confirmed V1 reorganization. Together, the behavioral and fMRI data show that loss of input to V1 after a stroke leads to cortical reorganization in the adult human visual system, and provide the first evidence that reorganization of the adult visual system affects visual perception. These findings contribute to our understanding of the human adult brain's capacity to change and has implications for topics ranging from learning to recovery from brain damage.",{},,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.2650-07.2007,PMC2695877,,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",United States,eng
32516303,Cerebellar Parieto-occipital Posterior Reversible Encephalopathy Syndrome and Cerebral Metamorphopsia Associated with Asymptomatic Atrial Septum Vegetation and Renal Disease: Case Report.,"Ghaffari-Rafi, Arash; Netzel, Anthony C; Prat, Madeline; Miles, Daniel T",Ghaffari-Rafi,"BACKGROUND Posterior reversible encephalopathy syndrome (PRES) is a poorly characterized and enigmatic syndrome. Despite consistently presenting with nervous system vasogenic edema, this malady has been associated with variable triggers, neurological symptoms, and natural history. CASE REPORT The report presents a 25-year old African American female who presented with altered mental status and bilateral cortical blindness. Neuroimaging identified vasogenic edema in the cerebellum, parietal lobe, and occipital lobe. Her PRES was associated with a hypertensive emergency, renal failure, and an atrial septum vegetation (culture-negative endocarditis). All 3 contributing etiologies were addressed, upon which the patient began to recover. During recovery, the patient experienced cerebral metamorphopsia, visualizing her entire environment in the form of a cartoon. After 2 weeks of treatment she recovered to baseline state of heath, with vasogenic edema resolved on follow-up neuroimaging. CONCLUSIONS This case presents a rarely catalogued phenomena during PRES recovery, cerebral metamorphopsia, along with a new potential association (culture negative atrial septum endocarditis). The report also highlights how PRES recovery patients (with cortical blindness) should be explicitly assessed for cerebral metamorphopsia and Charles Bonnet syndrome - which may distress patients. Lastly, the atypical presentation of cerebellar vasogenic edema in our patient validates existing literature that PRES does not have a uniform picture and is not well served by its current name or proposed diagnostic criteria. Therefore, renaming the disorder to reversible vasogenic edema syndrome and derestricting the diagnostic criteria, may prevent clinicians from being discouraged when faced with diagnosing PRES in the face of atypical findings.","DictElement({'Year': '2020', 'Month': '06', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2020,The American journal of case reports,10.12659/AJCR.923441,PMC7304656,,Case Reports; Journal Article,United States,eng
21225523,Reversal of vision metamorphopsia caused by pons and cerebellum infarction.,"Nowaczewska, Magdalena; Książkiewicz, Barbara",Nowaczewska,"Metamorphopsia is a visual illusion related to the perception of an object's shape, size, colour or angle. Reversal of vision metamorphopsia is a rare, transient form of metamorphopsia described as an inversion of the field of vision, usually a 180-degree reversion within the frontal plane. We describe the case of a 64-year-old male patient who first experienced a 90-degree rotation of the field of vision and then had the impression of his body rotating in space. The symptoms were preceded by disequilibrium, astigmatism and vomiting. Magnetic resonance imaging of the head showed focuses of vasogenic lesions in the pons and left cerebellar hemisphere. Magnetic resonance angiography of cerebral vessels did not reveal the left vertebral artery. This is the first described case of reversal of vision metamorphopsia with 90-degree rotation of the field of vision with accompanying disorder of the spatial position of the body.",{},,Neurologia i neurochirurgia polska,10.1016/s0028-3843(14)60158-4,,,Case Reports; Journal Article,Poland,eng
9779666,Reversal of vision metamorphopsia: clinical and anatomical characteristics.,"River, Y; Ben Hur, T; Steiner, I",River,"Metamorphopsia is a visual illusion that distorts the size, shape, or inclination of objects. Reversal of vision metamorphopsia (RVM) is a rare transient form of metamorphopsia described as an upside-down, 180 degrees rotation of the visual field in the coronal plane. The pathophysiological characteristics of RVM remain unclear. Patients with RVM had a complete neurologic examination during or shortly after an episode of metamorphopsia, with particular emphasis on gaze disorders, visual fields, visually guided hand movements, and perceptual or cognitive deficits. Workup included imaging studies, visual field examinations, and brainstem auditory and visual evoked response. Department of Neurology, Hadassah University Hospital, Hebrew University-Hadassah Medical School, Jerusalem, Israel. Six consecutive patients were evaluated from 1991 to 1996. Five patients had parieto-occipital brain insult sparing the primary visual cortex, and 3 also had evidence of a concomitant brainstem or cerebellar syndrome. One patient had pure brainstem syndrome underlying the RVM. Three patients had complete RVM as well as oblique RVM of less than 180 degrees. These cases imply a possible anatomical localization of the central integrator of visual extrapersonal orientation. Our observations suggest that a separate central mechanism of visual orientation might exist in each cerebral hemisphere and that occipital and parietal lesions that spare the optic radiations may account for the oblique and complete RVM. We postulate that failure to perceive space in an allocentric coordinate frame, particularly in the coronal roll plane, is potentially the critical event underlying RVM.",{},,Archives of neurology,10.1001/archneur.55.10.1362,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
25746070,[A case of left hemifacial metamorphopsia by a right retrosplenial infarction].,"Hishizawa, Miki; Tachibana, Naoko; Hamano, Toshiaki",Hishizawa,"We report a 70-year-old women with left hemifacial metamorphopsia due to an infarction in the right retrosplenial region. She firstly noticed that the left half of her face reflected in the mirror was distorted. She complained of the same kind of distortion when she looked at the face of humans. Neurological examination on admission showed no other symptoms. Her visual acuity and visual field were normal. Diffusion weighted images of the brain revealed a high intense lesion in the right retrosplenial region, which was considered to account for her symptom. This case contributes to clarify the pathogenesis of hemifacial metamorphopsia.",{},,Rinsho shinkeigaku = Clinical neurology,10.5692/clinicalneurol.55.87,,,Case Reports; English Abstract; Journal Article,Japan,jpn
