pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
7891192,Post-traumatic mutism.,"Bramanti, P; Sessa, E; Saltuari, L",Bramanti,"We report on the infrequent verbalisation disorder called ""post-traumatic mutism"" observed in 12 subjects with severe traumatic head injuries. These patients during the recovery of their conditions showed for a certain period a speechlessness even though some of them could communicate through gestures and writing. The nature and the possible mechanism of the disorder are discussed.",{},,Journal of neurosurgical sciences,,,,Case Reports; Journal Article,Italy,eng
19297375,Akinetic mutism--not coma.,"Shetty, Anita Chittaranjan; Morris, John; O'Mahony, Paul",Shetty,"We describe a case of akinetic mutism mistaken as coma. A 77-year old lady presented with apparent unresponsiveness. In fact she responded when stimulated. She subsequently developed movements typical of clonic perseveration, erroneously treated as seizures. She also had features of a frontal lobe syndrome. Initial CT scan showed no abnormality; it was only after an MRI scan that a diagnosis of bilateral paramedian thalamic infarction was made. MRI scanning should be considered early in the investigation of patients with atypical neurological presentation.","DictElement({'Year': '2009', 'Month': '03', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2009,Age and ageing,10.1093/ageing/afp005,,,Case Reports; Journal Article,England,eng
28150524,Akinetic mutism and the story of David.,"Sinden, Rebecca; Wilson, Barbara A; Rose, Anita; Mistry, Nimisha",Sinden,"Following a description about the characteristics of akinetic mutism (AM) and how it differs from locked-in syndrome (LIS) and a disorder of consciousness (DOC), we present the case of David, a 71-year-old man with AM. David sustained a stroke following a middle cerebral artery (MCA) thrombus. A CT scan at the time detected old ischaemic infarcts affecting the right frontal lobe, the left occipital lobe and the left parietal lobe so David had bilateral brain damage. Initially thought to have a DOC, further neuropsychological assessments administered when David had improved a little, resulted in the diagnosis of AM. Although David spoke little, when he did speak, his words and phrases were well articulated, grammatical and with appropriate intonation. He was alert and visually aware and he was not paralysed. We discuss whether the diagnosis was correct and address the difficulties in assessing such patients.","DictElement({'Year': '2017', 'Month': '02', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2017,Neuropsychological rehabilitation,10.1080/09602011.2017.1281147,,Akinetic mutism; differential diagnosis; neuropsychological assessments,Case Reports; Journal Article,England,eng
38102824,Ischemic Stroke During Dengue Infection: A Report of 2 Cases.,"Restrepo, Berta Nelly; Marin Velasquez, Katerine; Herrera Marín, Natalia; Arango-Jaramillo, Esteban; Aristizábal Gómez, Andrés Santiago",Restrepo,"BACKGROUND Involvement of the central nervous system during infection with dengue virus (DENV) is recognized. However, ischemic stroke is rarely reported. Herein are described 2 cases of patients with ischemic stroke in which DENV infection was demonstrated. CASE REPORT The first patient was a 51-year-old woman that presented altered consciousness, monoparesis, facial palsy, dysarthria, Babinski sign, and syncope 7 days from the onset of fever. She had a history of carotid artery atherothrombosis and previous stroke. Magnetic resonance imaging (MRI) showed an acute infarction of the right middle cerebral artery. DENV was confirmed by the presence of NS1 and IgM in serum. The patient was treated with intravenous fluids and recovered well, with only right facial paresis still present at discharge. The second patient was a 50-year-old man who presented with headache, altered consciousness, and mutism after a febrile episode 1 week prior. This patient had a previous history of stroke, glioblastoma resection, epilepsy, hypothyroidism, and diabetes. MRI demonstrated a subacute ischemic event. The diagnosis of dengue was confirmed by serum NS1 and IgM and by RT-PCR in serum and cerebrospinal fluid. DENV-1 serotype was observed in serum and cerebrospinal fluid. The patient was treated with intravenous fluids and was discharged in good condition. In both patients, thrombocytopenia and leukopenia was demonstrated, and hemoconcentration was demonstrated in the second patient. CONCLUSIONS In tropical and subtropical countries, DENV infection can represent a potential cause of ischemic stroke in patients with a history of comorbidities, including stroke.","DictElement({'Year': '2023', 'Month': '12', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2023,The American journal of case reports,10.12659/AJCR.941426,PMC10740333,,Case Reports; Journal Article,United States,eng
24761599,Recovery of consciousness: process-oriented approach.,"Gusarova, S B",Gusarova,"Traditionally psychological neurorehabilitation of neurosurgical patients is provided subject to availability of clear consciousness and minimal potential to communicate verbally. Cognitive and emotional disorders, problems in social adaptation, neurotic syndromes are normally targets in such cases. We work with patients having survived severe brain damage being in different states of consciousness: vegetative state, minimal state of consciousness, mutism, confusion, posttraumatic Korsaroff syndrom. Psychologist considers recovery of consciousness as the target besides traditional tasks. Construction of communication with patient is central part of such job, where the patient remains unable to contact verbally, yet it is impossible to consider potential aphasia. This is a non-verbal ""dialogue"" with patient created by psychologist with gradual development and involving other people and objects of environment. Inline with modern neuroscientific achievements demonstrating ability to recognize by patients with severe brain injury (A. Owen, S. Laureys, M. Monti, M. Coleman, A. Soddu, M. Boly and others) we base upon psychological science, on psychotherapeutic approaches containing instruments inevitable to work with patients in altered states of consciousness and creation of non-verbal communication with patient (Jung, Reich, Alexander, Lowen, Keleman, Arnold and Amy Mindell, S. Tomandl, D. Boadella, A. Längle, P. Levin etc). This article will include 15 years of experience to apply Process-oriented approach by A. Mindell to recovery of consciousness of neurosurgical patients based on work with ""minimal signals"" (micro moves, breath, mimic reactions etc.), principle of feedback, psychosomatic resonance, empathy.",{},,Zhurnal voprosy neirokhirurgii imeni N. N. Burdenko,,,,Case Reports; English Abstract; Journal Article; Review,Russia (Federation),eng; rus
31897635,Cerebellar mutism after embolization of vermian arteriovenous malformation.,"Demartini, Zeferino; Schmitz, Fernando; Chula, Ana Caroline Dariva; Ribas, Leandro M; Koppe, Gelson Luis; Gatto, Luana A M",Demartini,"Cerebellar mutism is usually associated with posterior fossa tumor surgery. We report a case of a 17-year-old female, presented with headache and tremor after hemorrhage from a vermian arteriovenous malformation. She was successfully treated by embolization; however, on immediate postoperative, she developed persistent mutism. To the best authors' knowledge, this is the first case of cerebellar mutism after endovascular treatment reported in the medical literature. The endovascular approach may have the same potential of complication of conventional surgery; therefore, more study is necessary to clarify the role and limits of this technique to treat cerebellar arteriovenous malformation.","DictElement({'Year': '2020', 'Month': '01', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2020,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,10.1007/s00381-019-04483-8,,Endovascular procedures; Intracranial arteriovenous malformations; Intracranial hemorrhage; Mutism; Postoperative complication; Therapeutic embolization,Case Reports; Journal Article,Germany,eng
34540210,Hyperleukocytosis-induced stroke and tonsillar herniation: Case report.,"Hashem, Hasan; Muhsen, Baha'eddin A",Hashem,"and Importance: Acute ischemic stroke is a rare event in children with leukemia, yet with long-term morbidity, substantial health, and economic cost. Central nervous system (CNS) leukemic involvement and chemotherapy-related stroke are the most common causes. Hyperleukocytosis induced stroke is very rarely reported. A 2-year-old male child presented with hyperleukocytosis (leukocyte count was 320x10<sup>9</sup>/L). Bone marrow evaluation revealed T-cell acute lymphoblastic leukemia. He was treated with dexamethasone, vincristine and daunorubicin, and on day 4 of chemotherapy, he developed abnormal movements, altered mental status, limb weakness and mutism. Magnetic resonance imaging of the brain showed multifocal infarctions involving left pons and both cerebellar hemispheres causing tonsillar herniation with restricted diffusion and mild hydrocephalus but no leptomeningeal enhancement or leukemic infiltrates. Magnetic resonance angiography did not show any arterial stenosis. He was intubated, sedated and managed conservatively with dexamethasone. Cytologic analysis of cerebrospinal fluid showed no blasts. Thrombophilia work up was negative. Five weeks later, the patient had significant improvement in overall neurologic status. He is free of leukemia. MRI showed interval resolution of previous infarcts. Hyperviscosity secondary to hyperleukocytosis was considered to be the most likely explanation for this patient stroke after excluding thrombophilia and leukemic infiltration. Prompt management with hydration and careful chemotherapy resulted in good outcome in our patient. This case demonstrate the value of early recognition and prompt management of posterior circulation ischemic stroke in children with leukemia and hyperleukocytosis at presentation.","DictElement({'Year': '2021', 'Month': '09', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2021,Annals of medicine and surgery (2012),10.1016/j.amsu.2021.102776,PMC8441068,Hyperleukocytosis; Hyperviscosity; Ischemic stroke; Leukemia; Tonsillar herniation,Case Reports,England,eng
34621561,Cerebellar mutism following head trauma: A case report and literature review.,"Lahirish, Issa Ali Muftah; Alhdad, Faraj Ibrahim; Al-Sharshahi, Zahraa F; Al-Tles, Alhadi Milad; Shmila, Mohammed Mustafa; Hoz, Samer S; Neto, Mateus Reghin",Lahirish,"Cerebellar mutism (CM) is defined as the lack of speech production, despite an intact state of consciousness and cognitive function, that happens secondary to a cerebellar insult. To the best of our knowledge, only five cases have thus far been described in the English literature. In this paper, we report the sixth incidence overall, which is also the first case of a CM associated with penetrating head injury. The relevant literature is reviewed and analyzed, our current knowledge of the neuroanatomical and functional relations is summarized, and potential future research endeavors are indicated. An 8-year-old girl was transferred to our hospital having had fallen on a rod that penetrated her neck behind the ear. An urgent computed tomography scan of the head revealed a right cerebellar contusion with surrounding edema. Three days later, she became mute but was still obeying commands. Repeat imaging showed a resolving cerebellar contusion with increased edema and mass effect. By day 9, she had uttered a few words. At 1-month follow-up, the child had regained normal speech. Posttraumatic CM is a rare and probably underreported condition with only six documented cases to date. Although it may well be on the same spectrum as postoperative CM, further understanding of the exact mechanism, clinical course, and prognosis of this entity is bound to significantly improve the recovery and quality of life of head trauma patients.","DictElement({'Year': '2021', 'Month': '09', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2021,Surgical neurology international,10.25259/SNI_307_2021,PMC8492424,Cerebellar mutism; Head trauma; Penetrating traumatic brain injuries,Case Reports,United States,eng
38423754,Encephalitis associated with anti-mGluR5 antibodies.,"Pedrosa, Denison Alves; Ferreira, João Henrique Fregadolli; Gleizer, Rene; Carra, Rafael Bernhart; de Carvalho, Rachel Marin; Endmayr, Verena; Hoftberger, Romana; Dutra, Lívia Almeida",Pedrosa,"A 30-year-old woman had 5 days of visual hallucinations, nystagmus, memory impairment and mutism. On examination, she was disorientated with reduced attention span, gaze-evoked nystagmus, paratonia and abnormal frontal reflexes. Cerebrospinal fluid (CSF) showed 80 cells, protein 0.41 g/L and glucose 3.2 mmol/L (plasma glucose 5.0 mmol/L). MR scan of the brain showed involvement of limbic and extra-limbic regions and brainstem. Commercial cell-based assays were negative, but tissue-based assays showed neuropil staining, and cell-based assays for anti-metabotropic glutamate receptor 5 (mGluR5) antibodies were positive in serum and CSF. Six months later, she was diagnosed with Hodgkin's lymphoma. This case emphasises the broader clinical spectrum of anti-mGluR5 encephalitis, challenging its initial characterisation as Ophelia syndrome. It underscores the significance of interpreting commercial cell-based assays and advocates for tissue-based assay testing followed by cell-based assay testing in serum and CSF for diagnosing rare autoimmune encephalitis.","DictElement({'Year': '2024', 'Month': '07', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2024,Practical neurology,10.1136/pn-2024-004089,,HALLUCINATIONS; IMAGE ANALYSIS; NEUROIMMUNOLOGY; PARANEOPLASTIC SYNDROME,Journal Article; Case Reports,England,eng
1271046,"Adult ""failure-to-thrive"" syndrome.","Messert, B; Kurlanzik, A E; Thorning, D R",Messert,"The analogy between the ""failure-to-thrive"" syndrome of childhood and a symptom complex seen in adult neurology is described. Adults presenting with a variety of central nervous system diseases occasionally seem to follow an unusual stereotyped course resulting in intractable weight loss, wide variations in temperature, and a tendency to intractable decubitus ulcerations in a setting of decreased levels of consciousness. Sudden death occurs unexpectedly. This syndrome can be observed following cerebral thrombosis, traumatic encephalopathy, degenerative central nervous system disorders, and encephalitis. The pathophysiology is thought to result from the random aggregate of lesions rather than a verifiable discrete hypothalamic deficit.",{},,The Journal of nervous and mental disease,10.1097/00005053-197606000-00006,,,Case Reports; Journal Article,United States,eng
