pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
36708258,Narcolepsy secondary to anti-Ma2 encephalitis: two case reports.,"Brunet de Courssou, Jean-Baptiste; Testard, Pauline; Sallansonnet-Froment, Magali; Brechemier, Marie-Laure; Ricard, Damien; Psimaras, Dimitri; Ferrand, Mickaël; Maillet, Thibault; Depierre, Patricia; Ohlmann, Charlotte; Capron, Jean; Arnulf, Isabelle; Gales, Ana",Brunet de Courssou,"Recent studies suggest that sleep disorders are present in two-thirds of patients with autoimmune encephalitis. In anti-Ma2 encephalitis, hypersomnia appears to be frequent. However, only few cases of type 1 narcolepsy have been reported to date with anti-Ma2 encephalitis. We report 2 new cases of patients with narcolepsy secondary to anti-Ma2 encephalitis. Patient 1, a 68-year-old man, had narcolepsy type 1, including sleep attacks, cataplexy, abnormal Multiple Sleep Latency Tests and hypocretin-1 deficiency (< 50 ng/L) in the cerebrospinal fluid (CSF), associated with a cerebellar syndrome. Anti-Ma2 antibodies were present in the serum and CSF and antivoltage-gated potassium channel antibodies in the serum. He benefited from a treatment with pitolisant. Patient 2, a 42-year-old man, had narcolepsy type 2, including hypersomnolence, no cataplexy, intermediate CSF levels of hypocretin-1 (138 ng/L), abnormal Multiple Sleep Latency Tests, and a limbic encephalitis presentation. Anti-Ma2 antibodies were present in the serum and CSF, and anti-Ma1 antibodies were in the CSF. For both, repeated polysomnographies were necessary to establish the precise diagnosis of central hypersomnia, emphasizing the importance of carrying out sleep investigations in a tertiary neurology center with sleep medicine expertise in patients with anti-Ma2 encephalitis. Brunet de Courssou J-B, Testard P, Sallansonnet-Froment M, et al. Narcolepsy secondary to anti-Ma2 encephalitis: two case reports. <i>J Clin Sleep Med</i>. 2023;19(4):837-841.",{},,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,10.5664/jcsm.10448,PMC10071386,Ma2; auto-immune encephalitis; hypersomnia; narcolepsy; paraneoplastic; sleep disease,Case Reports,United States,eng
864483,Symptomatic cataplexy.,"Anderson, M; Salmon, M V",Anderson,"The case is described of a man who developed attacks of cataplexy, narcolepsy, and sleep paralysis because of microglioma which infiltrated the walls and floor of the IIIrd ventricle and the upper brain stem. The mechanisms by which the pathology is related to the symptoms are discussed.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.40.2.186,PMC492636,,Case Reports; Journal Article,England,eng
32664104,Case report: narcolepsy type 2 due to temporal lobe glioma.,"Liao, Yuangao; He, Yan; Yang, You; Li, Xiaojie; Huang, Fengzhen",Liao,"The orexin projection system includes the lateral hypothalamus, reticular activating structure, and ventrolateral preoptic nucleus, and this system is related to the pathogenesis of narcolepsy. Here, we report a case of narcolepsy type 2 caused by hippocampal glioma of the right temporal lobe. A 44-year-old male farmer complained of excessive daytime sleepiness (EDS) over the past 3 months and more. The lesion of the right anteromedial temporal lobe was removed and its pathological examination was carried out. General examination showed no abnormalities of his heart, lungs, or abdomen. Neurological examination showed no positive sign. The blood routine and biochemical examination were normal. He scored 7 on the Pittsburg sleep quality index, 16 on the Epworth sleepiness scale, 52 on the self-rating anxiety scale, and 48 on the self-rating depression scale. The multiple sleep latency test data showed 2 periods of sleep-onset rapid eyes movement period across 4 successive tests; the average sleep latency was under 8 minutes, and the rapid eyes movement latency was under 7 minutes. Lesion of glioma in hippocampus area of the right anteromedial temporal lobe was confirmed through magnetic resonance imaging, magnetic resonance spectroscopy, and histological examination. After surgical removal of the glioma from the hippocampus area of the right anteromedial temporal lobe, the patient's EDS symptoms disappeared immediately. He scored 3 on the Epworth sleepiness scale. During our follow-up three months later, he remained well with no complications. We diagnosed the patient with narcolepsy type 2 according to the 3rd Edition of International Classification of Sleep Disorders (ICSD-3). The patient suffered from EDS and was diagnosed with narcolepsy type 2. The narcolepsy type 2 was linked to glioma of the hippocampus area. The hippocampus might be another part of regulating the sleep-arousal pathway, and the glioma secretion might interact with the orexin projection system.",{},,Medicine,10.1097/MD.0000000000021002,PMC7360319,,Case Reports; Journal Article,United States,eng
35082024,Images: polysomnographic findings of nystagmus caused by a midbrain hemorrhagic stroke.,"Shoukat, Umer; Glick, Danielle R; Chaturvedi, Seemant; Diaz-Abad, Montserrat",Shoukat,"Brainstem strokes can present with an array of ophthalmologic findings depending on the location of the lesion. Eye movements are recorded on electrooculogram during polysomnography for sleep staging. We present the case of a patient with a dorsal midbrain hemorrhagic stroke and nystagmus with distinct findings on the electrooculogram during polysomnography. These eye movements from nystagmus differed in many aspects (frequency and amplitude) from the classic findings of other eye movements recorded during different stages of sleep. These polysomnography findings have not been reported in the setting of midbrain stroke. Future studies comparing nystagmus in multiple sleep stages in stroke patients would be of interest. Shoukat U, Glick DR, Chaturvedi S, Diaz-Abad M. Images: Polysomnographic findings of nystagmus caused by a midbrain hemorrhagic stroke. <i>J Clin Sleep Med</i>. 2022;18(5):1479-1482.",{},,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,10.5664/jcsm.9896,PMC9059607,dorsal midbrain syndrome; electrooculogram; hypersomnolence; narcolepsy; nystagmus; polysomnography; stroke,Case Reports; Journal Article,United States,eng
7610317,Narcolepsy associated with arteriovenous malformation of the diencephalon.,"Clavelou, P; Tournilhac, M; Vidal, C; Georget, A M; Picard, L; Merienne, L",Clavelou,"Narcolepsy associated with localized brain lesions is rare, and few reports of well-documented cases have been published. We describe the case of a 20-year-old male (HLA DQw1 negative) who fulfilled clinical and polygraphic criteria of symptomatic narcolepsy. Narcolepsy in this patient was associated with an arteriovenous malformation involving the structures around the third ventricle. Clinical symptoms improved after embolization and radiosurgery. These findings support the hypothesis that lesions in the vicinity of the third ventricle can cause symptomatic narcolepsy.",{},,Sleep,10.1093/sleep/18.3.202,,,Case Reports; Journal Article; Review,United States,eng
31961221,Symptomatic Narcolepsy/Cataplexy in a Dog with Brainstem Meningoencephalitis of Unknown Origin.,"Mari, Lorenzo; Shea, Anita",Mari,"<b>A 4 yr old, intact female cocker spaniel was presented for investigation of acute, progressive lethargy/hypersomnia; vestibular signs; and cataplexy. A narcolepsy-cataplexy episode with associated hypertension and bradycardia was triggered during examination. There was no evidence of arrhythmia on electrocardiography during the episode. Hematology, serum biochemistry, and thoracic and abdominal imaging were unremarkable. MRI of the brain and cerebrospinal fluid analysis were compatible with meningoencephalitis of unknown origin affecting the mesencephalon, pons and rostral medulla oblongata. The dog was started on immunosuppressive treatment with prednisolone and cytosine arabinoside, which was subsequently switched to cyclosporine. Narcolepsy-cataplexy episodes could initially still be triggered by offering food; however, they gradually became shorter and less frequent until they completely subsided along with all other clinical signs after 3 wk. No relapse occurred over a 32 mo follow-up period from the diagnosis. Repeated MRI revealed marked reduction in the lesion size; cerebrospinal fluid analysis revealed no abnormalities. Although very rare, symptomatic narcolepsy/cataplexy can occur in dogs and can be secondary to brainstem encephalitis. Cardiovascular changes can occur in association with narcolepsy/cataplexy and should be considered when dealing with patients presenting with these specific clinical signs.</b>","DictElement({'Year': '2020', 'Month': '01', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2020,Journal of the American Animal Hospital Association,10.5326/JAAHA-MS-6892,,CSF (cerebrospinal fluid); MUO (meningoencephalitis of unknown origin); REM (rapid eye movement),Case Reports; Journal Article,United States,eng
22136879,[Hypothalamic involvement in multiple sclerosis].,"Darlix, A; Mathey, G; Monin, M-L; Sauvée, M; Braun, M; Schaff, J-L; Debouverie, M",Darlix,"Hypothalamic involvement is a rare condition in patients with multiple sclerosis (MS). We report two patients with a long history of MS who presented with severe acute hypothermia with associated thrombocytopenia and elevated transaminase levels. Several cases of hypothermia or hyperthermia in patients with MS have been reported in the literature. They could be linked with hypothalamic lesions, in particular in the pre-optic area. However, other anatomical locations seem to be involved in thermoregulation and can be affected by MS. Besides, some cases of syndrome of inappropriate antidiuretic hormone secretion have been reported in patients with MS. Finally, some sleep disorders, particularly hypersomnia or narcolepsy, could be related to hypothalamic lesions, through the fall in hypocretin-1 in the cerebrospinal fluid. Hypocretin-1 is a neuropeptide that is secreted by some hypothalamic cells. It plays a role in the sleep-awake rhythm. We report one patient with narcolepsy and cataplexy before the first symptoms of MS appeared. Hypothalamic signs are rare in MS. However, several series of autopsies have shown a high frequency of demyelinating lesions in the hypothalamic area. Among these lesions, the proportion of active lesions seems elevated. Yet only few of them have a clinical or biological translation such as thermoregulation dysfunction, sleep disorders or natremia abnormalities. Thus, it seems unlikely that inflammatory hypothalamic lesions alone, even when bilateral, could be the explanation of these signs. A sufficient number of inflammatory demyelinating lesions, which we can observe in patients with a long history of MS and an already severe disability, is probably necessary to develop such a rare symptomatology. Hypothalamic signs might be a factor of poor prognosis for the disease course and progression of the disability.","DictElement({'Year': '2011', 'Month': '12', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2011,Revue neurologique,10.1016/j.neurol.2011.09.004,,,Case Reports; English Abstract; Journal Article; Review,France,fre
25902819,Dramatic Cataplexy Improvement Following Right Parietal Surgery.,"Fam, David J; Shammi, Prathiba; Mainprize, Todd G; Murray, Brian J",Fam,"This is the case of a 34-year-old woman with severe narcolepsy with cataplexy who experienced a dramatic reduction in cataplexy symptoms after resection of a right parietal astrocytoma. The patient underwent detailed neurological exam, neuropsychological testing, polysomnography and multiple sleep latency testing following surgery.","DictElement({'Year': '2015', 'Month': '07', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2015,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,10.5664/jcsm.4860,PMC4481063,astrocytoma; cataplexy; narcolepsy; parietal lobe,Case Reports; Journal Article,United States,eng
24691457,Pure subdural haematoma caused by rupture of middle cerebral artery aneurysm: Case report and literature review.,"Gong, Jie; Sun, Hu; Shi, Xiao-Yong; Liu, Wei-Xian; Shen, Zheng",Gong,"Pure subdural haematoma (occurring without detectable subarachnoid haemorrhage) caused by intracranial aneurysm rupture is uncommon and is usually associated with delayed diagnosis and treatment. We describe the case of a 43-year-old man who presented with ongoing headache. Computed tomography and magnetic resonance imaging of the brain revealed subdural haematoma in the left fronto-temporo-parietal region, without subarachnoid haemorrhage. Digital subtraction angiography showed an aneurysm measuring ≤ 5 mm in diameter, arising from the distal region of the left middle cerebral artery. During hospitalization, an acute change in mental status accompanied by slurred speech and narcolepsy prompted an emergency CT scan. This revealed an enlargement of the subdural haematoma. The patient underwent an emergency craniotomy, during which a large amount of bloody fluid was evacuated, and the aneurysm was coagulated and resected. The patient had a good outcome without neurological deficit. The incidence, mechanisms and treatment of this condition are discussed.","DictElement({'Year': '2014', 'Month': '04', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2014,The Journal of international medical research,10.1177/0300060514524929,,Subdural haematoma; intracranial aneurysm; middle cerebral artery,Case Reports; Journal Article; Review,England,eng
3717910,Narcolepsy following cerebral hypoxic ischemia.,"Rivera, V M; Meyer, J S; Hata, T; Ishikawa, Y; Imai, A",Rivera,"A 51-year-old man with non-HLA-DR2 histocompatibility developed classic signs and symptoms of the narcoleptic tetrad soon after recovering from an episode of cardiopulmonary insufficiency, which occurred during induction of surgical anesthesia. Symptoms included excessive daytime sleepiness, hypnagogic hallucinations, sleep paralysis, and cataplexy. The diagnosis was confirmed by repeated polysomnographic examinations in the sleep laboratory. Cerebral hemodynamic changes during the onset of sleep showed remarkable increases of cerebral blood flow during the onset of rapid-eye-movement sleep similar to those reported previously in patients with narcolepsy. Magnetic resonance imaging showed focal regions of abnormal spin-echo signals in the ventral pons.",{},,Annals of neurology,10.1002/ana.410190516,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",United States,eng
21509338,Isolated cataplexy and REM sleep behavior disorder after pontine stroke.,"Reynolds, Thomas Q; Roy, Asim",Reynolds,Cataplexy is a complex neurologic phenomenon during wakefulness probably resulting from impairment of pontine and hypothalamic control over muscle tone. REM sleep behavior disorder (RSBD) is characterized by the presence of REM sleep without atonia manifesting clinically as disruptive or injurious behaviors. We present here a patient with both cataplexy and RSBD following pontine encephalomalacia. The clinical presentation provides insight into the possible pathobiology of both waking and sleeping disorders of REM sleep regulation.,{},,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,,PMC3077351,Cataplexy; REM sleep behavior disorder; pons; stroke,Case Reports; Journal Article,United States,eng
3112639,Post-traumatic narcolepsy.,"Maccario, M; Ruggles, K H; Meriwether, M W",Maccario,,{},,Military medicine,,,,Case Reports; Journal Article,England,eng
30687216,Temporal Course of Cerebral Autoregulation in Patients With Narcolepsy Type 1: Two Case Reports.,"Guo, Zhen-Ni; Sun, Xin; Zhao, Yingkai; Yan, Xiuli; Zhang, Ran; Wang, Zan; Yang, Yi",Guo,"Cerebral autoregulation is the mechanism by which constant cerebral blood flow is maintained despite changes in arterial blood pressure. In the two presented cases, cerebral autoregulation was impaired in patients with narcolepsy type 1, and both venlafaxine and fluoxetine may have the potential to improve the impaired cerebral autoregulation. A relationship may exist between impaired cerebral autoregulation and neurological symptoms in patients with narcolepsy type 1.","DictElement({'Year': '2019', 'Month': '01', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2019,Frontiers in neurology,10.3389/fneur.2018.01155,PMC6337715,cerebral autoregulation; fluoxetine; hypocretin; narcolepsy; venlafaxine,Case Reports,Switzerland,eng
9351130,MRI findings in narcolepsy.,"Bassetti, C; Aldrich, M S; Quint, D J",Bassetti,"The neuropathology of narcolepsy is unknown. Recently, Plazzi et al. (1) reported magnetic resonance imaging (MRI) abnormalities in the pontine tegmentum of three patients with long-standing idiopathic narcolepsy. Considering the localization of the neuroradiological findings in the pontine reticular formation, where rapid eye movement (REM) sleep is generated, the authors suggested a causal relationship between narcolepsy and MRI abnormalities. Frey and Heiserman, however, found pontine MRI abnormalities in only two of 12 patients with narcolepsy both of whom had long-standing hypertension (2). Pullicino et al. noted similar pontine MRI abnormalities in patients with subcortical arteriosclerotic encephalopathy-like ischemic rarefaction of the pons (3). Thus, the changes noted by Plazzi et al. may have been caused by small-vessel disease rather than narcolepsy. To assess whether altered pontine MRI signals are a regular feature of idiopathic narcolepsy, we selected randomly from our database seven patients with narcolepsy with cataplexy. Of these seven, three agreed to have brain MRIs; their cases are described below. None had pontine MRI abnormalities.",{},,Sleep,10.1093/sleep/20.8.630,,,Case Reports; Journal Article,United States,eng
27242658,Neuromyelitis Optica Spectrum Disorder with Tumefactive Demyelination mimicking Multiple Sclerosis: A Rare Case.,"Roy, Ujjawal; Saini, Dinesh Satyanarayan; Pan, Koushik; Pandit, Alak; Ganguly, Goutam; Panwar, Ajay",Roy,"Neuromyelitis optica spectrum disorder (NMOSD) is a diverse condition which not only encompasses isolated longitudinally extensive transverse myelitis (LETM) and optic neuritis but also includes area postrema syndrome, acute brainstem syndrome, symptomatic narcolepsy or acute diencephalic clinical syndrome, and symptomatic cerebral syndrome. Imaging may reveal periependymal lesions surrounding the ventricular system or involvement of corticospinal tracts, area postrema, diencephalon, and corpus callosum. Rarely, there may be hemispheric tumefactive lesions that enhance in a ""Cloud-like"" fashion on gadolinium injection unlike in tumefactive multiple sclerosis where there is incomplete ring enhancement. Here, we present a case of aquaporin-4 positive relapsing NMOSD who presented to us with recurrent episodes of paraparesis with LETM and tumefactive lesions of brain on imaging, which enhanced in an incomplete ring like pattern resembling multiple sclerosis.","DictElement({'Year': '2016', 'Month': '05', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2016,Frontiers in neurology,10.3389/fneur.2016.00073,PMC4862986,aquaporin-4; longitudinally extensive transverse myelitis; neuromyelitis optica spectrum disorder; therapeutic plasma exchange; tumefactive multiple sclerosis,Case Reports,Switzerland,eng
25665696,Hypothalamic-amygdalar-brainstem volume reduction in a patient with narcolepsy secondary to diffuse axonal injury.,"Yassin, Walid; Sugihara, Genichi; Oishi, Naoya; Kubota, Manabu; Ubukata, Shiho; Murai, Toshiya; Ueda, Keita",Yassin,"A 17-year-old male with diffuse axonal injury (DAI) was referred to our psychiatric clinic with a diagnosis of depression. However, further investigation indicated that he had narcolepsy without cataplexy secondary to DAI. We assessed regional volume alterations in the patient; MRI analysis showed a significant decrease in the volume of the hypothalamus, left amygdala, and brainstem. Our findings add to further understanding of the structural basis of secondary narcolepsy, and may provide basis for future neuroimaging studies on sleep disturbances in traumatic brain injury (TBI).","DictElement({'Year': '2015', 'Month': '04', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2015,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,10.5664/jcsm.4710,PMC4410933,MRI; amygdala; diffuse axonal injury; hypothalamus; narcolepsy,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
26847985,Post-traumatic narcolepsy and injury of the ascending reticular activating system.,"Jang, Sung Ho; Seo, Wan Seok; Kwon, Hyeok Gyu",Jang,,"DictElement({'Year': '2015', 'Month': '10', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2015,Sleep medicine,10.1016/j.sleep.2015.09.020,,,"Case Reports; Letter; Research Support, Non-U.S. Gov't",Netherlands,eng
18550429,Narcolepsy-like syndrome in multiple sclerosis.,"Vetrugno, Roberto; Stecchi, Sergio; Plazzi, Giuseppe; Lodi, Raffaele; D'Angelo, Roberto; Alessandria, Maria; Cortelli, Pietro; Montagna, Pasquale",Vetrugno,,"DictElement({'Year': '2008', 'Month': '06', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2008,Sleep medicine,10.1016/j.sleep.2008.03.009,,,Case Reports; Journal Article,Netherlands,eng
17580598,REM sleep behavior disorder and narcoleptic features in anti-Ma2-associated encephalitis.,"Compta, Yaroslau; Iranzo, Alex; Santamaría, Joan; Casamitjana, Roser; Graus, Francesc",Compta,"A 69-year-old man with anti-Ma2 paraneoplastic encephalitis presented with subacute onset of severe hypersomnia, memory loss, parkinsonism, and gaze palsy. A brain magnetic resonance imaging study showed bilateral damage in the dorsolateral midbrain, amygdala, and paramedian thalami. Videopolysomnography disclosed rapid eye movement (REM) sleep behavior disorder, and a Multiple Sleep Latency Test showed a mean sleep latency of 7 minutes and 4 sleep-onset REM periods. The level of hypocretin-1 in the cerebrospinal fluid was low (49 pg/mL). This observation illustrates that REM sleep behavior disorder and narcoleptic features are 2 REM-sleep abnormalities that (1) may share the same autoimmune-mediated origin affecting the brainstem, limbic, and diencephalic structures and (2) may occur in the setting of the paraneoplastic anti-Ma2-associated encephalitis.",{},,Sleep,10.1093/sleep/30.6.767,PMC1978347,,Case Reports; Journal Article,United States,eng
