pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33229488,Unilateral spatial neglect.,"Shimizu, Taro; Abe, Tomoya; Akasaki, Yasutoshi; Kamiishi, Hideaki",Shimizu,,"DictElement({'Year': '2020', 'Month': '11', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2020,BMJ case reports,10.1136/bcr-2020-239770,PMC7684669,neuroimaging; neurology,Case Reports; Journal Article,England,eng
35630076,Wernicke Encephalopathy Mimicking MELAS.,"Finsterer, Josef",Finsterer,"a stroke-like lesion, the morphological equivalent of a stroke-like episode and the hallmark of mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes (MELAS) syndrome, have not been reported as manifestations of thiamine deficiency. a 62-year-old man with a history of chronic alcoholism was admitted after a series of epileptic seizures. Upon waking up from the coma, he presented with disorientation, confusion, confabulation, psychomotor agitation, aggressiveness, right hemianopsia, aphasia, and right hemineglect over weeks. Electroencephalography showed a questionable focal status epilepticus over the left hemisphere, responsive to lorazepam and oxcarbazepine. Follow-up electroencephalographies no longer recorded epileptiform discharges. Cerebral magnetic resonance imaging (MRI) revealed T2-/diffusion weighted imaging (DWI) hyperintensity in the left occipito-temporal region that was not congruent to a vascular territory which persisted for at least nine weeks. Since a lactate-peak could be seen in this lesion by magnetic resonance-spectroscopy, this was interpreted as a stroke-like lesion. Since thiamine was reduced, the stroke-like lesion was attributed to thiamine deficiency after the exclusion of differential diseases, including MELAS and status epilepticus. The patient's behavioural and cognitive dysfunctions largely resolved upon vitamin-B1 substitution. the case suggests that thiamine deficiency presumably causes mitochondrial dysfunction with cerebrospinal fluid lactic acidosis and a stroke-like lesion mimicking MELAS syndrome. It should be further studied whether nutritional deficits, such as thiamine deficiency, could give rise to secondary stroke-like lesions.","DictElement({'Year': '2022', 'Month': '05', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2022,"Medicina (Kaunas, Lithuania)",10.3390/medicina58050660,PMC9144475,Wernicke encephalopathy; lactic acidosis; spectroscopy; stroke-like episode; stroke-like lesion; thiamine deficiency,Case Reports,Switzerland,eng
3340293,Altitudinal neglect.,"Rapcsak, S Z; Cimino, C R; Heilman, K M",Rapcsak,"Previous clinical observations on patients with hemispatial neglect from unilateral hemispheric lesions suggest the brain's attentional mechanisms are organized along the horizontal dimensions of extrapersonal space. We now report a patient with Balint's syndrome caused by bilateral parieto-occipital infarctions, who demonstrated altitudinal neglect. On visual and tactile bisection of vertical rods, the patient consistently placed her mark well above the true midpoint, and this performance remained unchanged when the stimuli were simultaneously explored visually and tactually. She also showed altitudinal inattention in the visual modality by extinguishing the stimulus presented in the lower quadrants during double simultaneous stimulation across the horizontal meridian. These findings suggest that bilateral damage to the parietal lobes can lead to multimodal attentional and exploratory deficits along the vertical dimensions of extrapersonal space.",{},,Neurology,10.1212/wnl.38.2.277,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",United States,eng
571567,Thalamic neglect.,"Watson, R T; Heilman, K M",Watson,"Three patients with right thalamic hemorrhage showed contralateral neglect and limb akinesia. They also had anosognosia, visuospatial disorders, and emotional flattening. In animals, neglect can be induced by lesions along a cortico-limbic-reticular loop including the intralaminar thalamic nuclei. We propose that an activation defect is responsible not only for the neglect and akinesia, but also for the visuospatial and emotional defects usually associated with right-hemisphere cortical dysfunction.",{},,Neurology,10.1212/wnl.29.5.690,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",United States,eng
9178535,Mirror agnosia.,"Ramachandran, V S; Altschuler, E L; Hillyer, S",Ramachandran,"Normal people rarely confuse the mirror image of an object with a real object so long as they realize they are looking into a mirror. We report a new neurological sign, 'mirror agnosia', following right parietal lesions in which this ability is severely compromised. We studied four right hemisphere stroke patients who had left visual field 'neglect'. i.e. they were indifferent to objects in their left visual field even though they were not blind. We then placed a vertical parasagittal mirror on each patients' right so that they could clearly see the reflection of objects placed in the (neglected) visual field. When shown a candy or pen on their left, the patients kept banging their hand into the mirror or groped behind it attempting to grab the reflection; they did not reach for the real object on the left, even though they were mentally quite lucid and knew they were looking into a mirror. Remarkably, all four patients kept complaining that the object was 'in the mirror', 'outside my reach' or 'behind the mirror'. Thus, even the patients' ability to make simple logical inferences about mirrors has been selectively warped to accommodate the strange new sensory world that they now inhabit. The finding may have implications for understanding how the brain creates representations of mirror reflections.",{},,Proceedings. Biological sciences,10.1098/rspb.1997.0091,PMC1688417,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",England,eng
36698773,Hypoglycemic hemineglect a stroke mimic.,"Rodriguez-Hernandez, Adrian; Babici, Denis; Campbell, Maryellen; Carranza-Reneteria, Octavio; Hammond, Thomas",Rodriguez-Hernandez,"Acute hypoglycemia may mimic acute ischemic stroke, but to our knowledge this has never been reported as transient hemineglect syndrome. We present a 60-year-old male with known diabetes mellitus who was brought to the hospital as a stroke alert. The patient had undetectable glucose levels upon arrival of emergency medical services (EMS), therefore hypertonic glucose was given. On our assessment in the emergency department (ED)he turned his head to the right side, looking to the right to answer questions when addressed on his left side. The extinction and neglect assessment revealed left-sided extinction on double tactile and visual stimulation. CT perfusion of the brain showed a decreased perfusion in the right cortical area. Given the unclear last known normal, urgent brain magnetic resonance imaging (MRI) was performed; stroke was excluded. The patient was admitted to the Intensive Care Unit where glucose was closely monitored. Electroencephalogram showed absence of seizure or postictal activity. The following morning, the patient returned to baseline and was able to recall the event. The episode was attributed to the severe hypoglycemia because of a recent medication change.","DictElement({'Year': '2023', 'Month': '01', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2023,eNeurologicalSci,10.1016/j.ensci.2023.100444,PMC9869408,Hemineglect; Hypoglycemia; Stroke mimic,Case Reports,Netherlands,eng
25520023,"Hemispatial neglect: clinic, pathogenesis, and treatment.","Corbetta, Maurizio",Corbetta,"Hemispatial neglect is characterized by a failure of awareness on the side of space and body opposite the site of injury, has been extensively studied for its theoretical interest in revealing brain mechanisms of awareness and attention. More recently, it has become apparent that hemispatial neglect reflects not only damage of specific anatomical regions, but also the large-scale dysfunction of networks of brain regions specialized in attention, motor, and multimodal sensory processing. Finally, although previous studies showed that the symptoms of hemispatial neglect could be effectively, albeit transiently, improved by a variety of behavioral, pharmacological, and physical interventions, only recently have treatment studies begun to show long-lasting therapeutic effects. Future advances will require the integration of advanced brain imaging methods to identify abnormal brain circuitries and-in combination with sensory, cognitive, and neural stimulation-methods to modulate activity in those circuitries.","DictElement({'Year': '2014', 'Month': '12', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2014,Seminars in neurology,10.1055/s-0034-1396005,,,Case Reports; Journal Article; Review,United States,eng
35204053,Visual Neglect after PICA Stroke-A Case Study.,"Geiser, Nora; Kaufmann, Brigitte Charlotte; Rühe, Henrik; Maaijwee, Noortje; Nef, Tobias; Cazzoli, Dario; Nyffeler, Thomas",Geiser,"After cerebellar stroke, cognition can be impaired, as described within the framework of the so-called Cerebellar Cognitive Affective Syndrome (CCAS). However, it remains unclear whether visual neglect can also be part of CCAS. We describe the case of a patient with a subacute cerebellar stroke after thrombosis of the left posterior inferior cerebellar artery (PICA), who showed a left-sided visual neglect, indicating that the cerebellum also has a modulatory function on visual attention. The neglect, however, was mild and only detectable when using the sensitive neuro-psychological Five-Point Test as well as video-oculography assessment, yet remained unnoticed when evaluated with common neglect-specific paper-pencil tests. Three weeks later, follow-up assessments revealed an amelioration of neglect symptoms. Therefore, these findings suggest that visual neglect may be a part of CCAS, but that the choice of neglect assessments and the time delay since stroke onset may be crucial. Although the exact underlying pathophysiological mechanisms remain unclear, we propose cerebellar-cerebral diaschisis as a possible explanation of why neglect can occur on the ipsilateral side. Further research applying sensitive assessment tools at different post-stroke stages is needed to investigate the incidence, lesion correlates, and pathophysiology of neglect after cerebellar lesions.","DictElement({'Year': '2022', 'Month': '02', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2022,Brain sciences,10.3390/brainsci12020290,PMC8869876,PICA; free visual exploration; neglect; stroke; video-oculography,Case Reports,Switzerland,eng
36475108,The unilateral hemispatial neglect phenomenon in right hemiplegia.,"Gümrük Aslan, Sefa; Tezel, Kutay; Yıldız, Ebru; Kutay Ordu-Gökkaya, Nilüfer",Gümrük Aslan,"One of the most important perceptual function disorders following a cerebrovascular accident (CVA) is the unilateral hemispatial neglect phenomenon (UHNP). In this case report, we present a 73-year-old male patient with UHNP accompanying right hemiplegia, which was identified with detailed examination. Clinical picture was characterized by right-sided hemiparesis in the upper right shoulder and relative weakness in the right leg. Patient was tested on hemineglect (HN) with star cancellation test and detailed neuropsychological evaluation. This article highlight the latest findings regarding the cognitive-behavioral syndrome of neglect for hemiplegia that occur following left hemisphere stroke.","DictElement({'Year': '2022', 'Month': '08', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2022,Turkish journal of physical medicine and rehabilitation,10.5606/tftrd.2022.6618,PMC9706792,Cerebrovascular accident; cognitive dysfunction; hemiplegia; neglect.,Case Reports,Turkey,eng
36340934,Right Unilateral Spatial Neglect Improves with Intrinsic Motivation.,"Saito, Hirotaka; Kobayashi, Haruka; Yatsu, Junichi; Obayashi, Shigeru",Saito,"<i>Background</i>. In the acute phase of stroke, it is well known that the incidence and severity of unilateral spatial neglect (USN) are more significant in the right hemisphere injuries. Still, the detection of USN in left hemisphere injuries has been increasing in recent years. This trend is because behavioral assessments have prevented the exclusion of patients who are difficult to assess for USN or apathy using conventional paper-and-pencil tests (e.g., aphasia). Right USN and post-stroke apathy share many common lesions. Therefore, clinical symptoms may overlap, but little validation considers this. <i>Case Study</i>. A man (62 years old) determined to have the right USN and apathy was treated for six weeks in 3 terms. In the first term (weeks 1 to 2), the patient was treated for the right USN by conventional therapy. In the second term (3-4 weeks), treatment for right USN and apathy by goal-directed therapy based on affinity behavior was implemented. In the third term (5-6 weeks), goal-directed therapy based on affinity behavior was discontinued, and treatment was returned to conventional therapy only. In the second term (goal-directed therapy based on affinity behavior), the improvement in patients' apathy (clinical assessment for spontaneity) was more significant than the effect size in the third term (conventional therapy). There were no significant differences in USN (catherine bergego scale) and intrinsic motivation (pittsburgh rehabilitation participation scale). However, the effect size in the second term tended to be larger than in the third term (conventional therapy). <i>Clinical Rehabilitation Impact</i>. This report aims to demonstrate the limitations of current treatment for cases determined to have both right USN and apathy. Second, to assess the extent to which this new intervention can complement the limitations of current treatment.","DictElement({'Year': '2022', 'Month': '10', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2022,Case reports in neurological medicine,10.1155/2022/4828549,PMC9633176,,Case Reports,United States,eng
