pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
38289491,Obsessive-compulsive symptoms and brain lesions compatible with multiple sclerosis.,"von Zedtwitz, Katharina; Tebartz van Elst, Ludger; Urbach, Horst; Groppa, Sergiu; Schiele, Miriam A; Prüss, Harald; Domschke, Katharina; Stich, Oliver; Hannibal, Luciana; Endres, Dominique",von Zedtwitz,"Autoimmune-mediated obsessive-compulsive disorder (OCD) can occur in multiple sclerosis (MS). Here, a well-studied case study of a patient with OCD and MS-compatible diagnostic findings is presented. The 42-year-old female patient had displayed OCD symptoms for 6 years. Magnetic resonance imaging (MRI) identified several periventricular and one brainstem lesion suggestive of demyelination. Cerebrospinal fluid (CSF) analyses detected an increased white blood cell count, intrathecal immunoglobulin (Ig) G and IgM synthesis, CSF-specific oligoclonal bands, and a positive MRZ reaction. Neopterin was increased, but sarcoidosis was excluded. In the absence of neurological attacks and clues for MRI-based dissemination in time, a radiologically isolated syndrome, the pre-disease stage of MS, was diagnosed. Neurotransmitter measurements of CSF detected reduced serotonin levels. In the absence of visible strategic demyelinating lesions within the cortico-striato-thalamo-cortical circuits, OCD symptoms may relate to reduced intrathecal serotonin levels and mild neuroinflammatory processes. Serotonin abnormalities in MS should be studied further, as they could potentially explain the association between neuroinflammation and mental illnesses.","DictElement({'Year': '2024', 'Month': '01', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2024,"Journal of neural transmission (Vienna, Austria : 1996)",10.1007/s00702-023-02737-z,PMC10874305,Autoimmune; CSF; Inflammation; Multiple sclerosis; OCD; RIS,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Austria,eng
30638936,Obsessive-Compulsive Disorder Following Cerebrovascular Accident: A Case Report and Literature Review.,"Akaho, Rie; Deguchi, Ichiro; Kigawa, Hiroshi; Nishimura, Katsuji",Akaho,"Cases of obsessive-compulsive disorder (OCD) following cerebrovascular accident (CVA) have rarely been reported. Case report and literature review. We describe the case of a 58-year-old, right-handed man developed OCD 17 months after stroke resulting from lesion of the right middle cerebral artery infarction. The patient was successfully treated with sertraline up to 50 mg per day. His OCD behaviors largely reduced in 6 weeks, and the Yale-Brown Obsessive Compulsive Scale score was reduced from 29 to 12 in 1 year. A literature review revealed 21 previous cases of OCD following CVA. Among these, consistent with our case, the basal ganglia was the most common site of the lesion responsible for the development of this rare disorder. We discuss the patient's treatment and outcomes. Our present case and a literature review suggest that OCD can manifest following CVA, although further studies are necessary. Selective serotonin reuptake inhibitors appear to be effective in treating this rare disorder.","DictElement({'Year': '2019', 'Month': '01', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2019,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2018.12.034,,Obsessive-compulsive disorder; basal ganglia; cerebrovascular accident; sertraline; stroke,Case Reports; Journal Article; Review,United States,eng
29145184,Addictive (Non-Drug) and Obsessive-Compulsive Symptoms after Focal Brain Lesions.,"Müri, René M; Cazzoli, Dario",Müri,"This chapter presents an overview of different addictive and obsessive-compulsive symptoms and their constellations due to focal brain lesions. In general, such symptoms are not systematically reported in the literature, and the knowledge about the networks involved is sometimes sparse. Finally, we present an original case with an unusual combination of kleptomania and hyper-religiosity.","DictElement({'Year': '2017', 'Month': '11', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2017,Frontiers of neurology and neuroscience,10.1159/000475697,,,Case Reports; Journal Article; Review,Switzerland,eng
35263927,Refractory obsessive-compulsive disorder with symptoms regressing after thalamic infarction: A case report.,"Erbay, Lale G; Erbay, Mehmet Fatih; Kamışlı, Suat; Demirbay, Sümeyye; Ünal, Süheyla",Erbay,"Obsessive compulsive disorder (OCD) is a common neuropsychiatric disorder involving predominantly the cortico-striato-thalamo-cortical loop. Although it is usually associated with various disorders of basal ganglia and thalamus, it is difficult to say what kind of impairment causes this situation exactly. Structural brain lesions may be one of the rare causes of refractory psychiatric symptoms. Analysis of such type of cases gives an idea about the neurobiology of psychiatric diseases. In this manuscript, we presented a case of refractory OCD with symptoms regressing after thalamic infarction and discussed with relevant literature.",{},,Neurology India,10.4103/0028-3886.338703,,Cerebral infarction; obsessive compulsive disorder; thalamus,Case Reports,India,eng
38199653,Obsessive-compulsive disorder following severe traumatic brain injury.,"Wilson, Alison Janelle; King, Regan; Debert, Chantel",Wilson,"Obsessive-compulsive disorder (OCD) as a consequence of severe traumatic brain injury (TBI) has been reported in a limited number of case studies. Informed by CARE guidelines, we present the case of a boy in his late adolescence who sustained a severe TBI from a motor vehicle crash. His injuries required a prolonged stay in the hospital, including 3 weeks in the intensive care unit and a craniotomy to evacuate a large subdural haematoma. Obsessive-compulsive behaviours were first observed on discharge from the hospital and became worse over time. Compulsive behaviours were considered in light of a neuropsychological examination, and a diagnosis of OCD was attained. Sertraline was prescribed and effectively reduced the severity of OCD symptoms. Given the challenges comorbid conditions can pose to neurorehabilitation, a better understanding of patterns in OCD symptoms and brain lesions among reported cases will help guide the diagnosis of OCD among individuals with severe TBI.","DictElement({'Year': '2024', 'Month': '01', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2024,BMJ case reports,10.1136/bcr-2023-256834,PMC10806976,Anxiety disorders (including OCD and PTSD); Neurological injury; Neurology; Trauma CNS /PNS,Case Reports; Journal Article,England,eng
28656117,Obsessive-Compulsive Disorder Associated with Posterior Cranial Fossa Meningioma.,"Takeuchi, Nobuyuki; Kato, Etushi; Kanemoto, Kousuke",Takeuchi,"We report here a patient in whom the effects of a cerebellum mass may have led to development of obsessive-compulsive disorder (OCD). A 33-year-old woman showed symptoms of OCD, including obsessive worry about infection from tainted blood and repetitive confirmation, which worsened during pregnancy. She had comprehension in regard to her illness and no evidence of cognitive dysfunction and did not meet other DSM-5 criteria such as depression. One month after giving childbirth, the symptoms worsened, while headache and dizziness also developed. The Yale-Brown Obsessive-Compulsive Scale (Y-BOCS) score was 34. The patient was examined for a headache and a posterior cranial fossa meningioma was found. Following resection of the meningioma, the OCD symptoms were remarkably reduced (Y-BOCS score 10). There is only one previous report of pure OCD associated with a cerebellar mass and the present findings should help to elucidate the mechanism.","DictElement({'Year': '2017', 'Month': '06', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2017,Case reports in psychiatry,10.1155/2017/8164537,PMC5471570,,Case Reports,United States,eng
33652467,Posttraumatic Stress Disorder Subsequent to Apparent Mild Traumatic Brain Injury.,"Rieke, Jake D; Lamb, Damon G; Lewis, Gregory F; Davila, Maria I; Schmalfuss, Ilona M; Murphy, Aidan J; Tran, Amy B; Bottari, Sarah A; Williamson, John B",Rieke,"Posttraumatic stress disorder (PTSD) is prevalent among veterans with a history of traumatic brain injury (TBI); however, the relationship between TBI and PTSD is not well understood. We present the case of a 31-year-old male veteran with PTSD who reported TBI before entering the military. The reported injury appeared to be mild: He was struck on the head by a baseball, losing consciousness for ∼10 seconds. Years later, he developed severe PTSD after combat exposure. He was not receiving clinical services for these issues but was encountered in the context of a research study. We conducted cognitive, autonomic, and MRI assessments to assess brain function, structure, and neurophysiology. Next, we compared amygdala volume, uncinate fasciculus diffusion, functional connectivity, facial affect recognition, and baroreceptor coherence with those of a control group of combat veterans (n = 23). Our veteran's MRI revealed a large right medial-orbital prefrontal lesion with surrounding atrophy, which the study neuroradiologist interpreted as likely caused by traumatic injury. Comparison with controls indicated disrupted structural and functional connectivity of prefrontal-limbic structures and impaired emotional, cognitive, and autonomic responses. Detection of this injury before combat would have been unlikely in a clinical context because our veteran had reported a phenomenologically mild injury, and PTSD is a simple explanation for substance abuse, sleep impairment, and psychosocial distress. However, it may be that right prefrontal-limbic disruption imparted vulnerability for the development of PTSD and exacerbated our veteran's emotional response to, and recovery from, PTSD.","DictElement({'Year': '2021', 'Month': '03', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2021,Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology,10.1097/WNN.0000000000000264,,,Case Reports; Journal Article,United States,eng
36945781,qEEG in the Diagnosis and Prognosis of a Case with Delusional Infestation.,"Arıkan, Mehmet Kemal; İlhan, Reyhan; Ozulucan, Mahmut Taha; Aşık, Murat",Arıkan,"Stroke can have neuropsychological consequences, such as poststroke psychosis. One aspect of poststroke psychosis is delusional infestation (DI), also known as delusional parasitosis. Patients with DI have fixed sensations that they get infested by lice. Some explanations of DI indicate that striatal and fronto-cortical structural and functional abnormalities are related to DI symptomatology. In this case report, we present a patient with DI due to right intracarotid artery occlusion, which is detected radiologically. Before treatment with escitalopram and risperidone, the case had a frontal slowing in quantitative electroencephalography activity, which was normalized after 2 weeks of treatment. At the end of treatment, psychotic symptoms and OCD symptoms evaluated by the Yale-Brown Obsessive Compulsive Scale, the Scale for the Assessment of Positive Symptoms, were remarkably reduced. These results revealed the role of brain imaging studies in the diagnosis and prognosis of DI.","DictElement({'Year': '2023', 'Month': '03', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2023,Clinical EEG and neuroscience,10.1177/15500594231163383,,MRI; cerebrovascular attack; delusional infestation; qEEG; secondary psychosis; stroke,Case Reports; Journal Article,United States,eng
33022431,Delayed Brain Cyst Formation After Gamma Knife Anterior Capsulotomy.,"Kasabkojian, Stephanie Toscano; Dwan, Alexandre Jack; Maziero, Maria Paula; de Salles, Antonio; Gorgulho, Alessandra; Miguel, Eurípedes Constantino; Fillipo de Queiroz Vattimo, Edoardo; Lopes, Antonio Carlos",Kasabkojian,"Gamma Knife ventral anterior capsulotomy is an effective option to treat refractory obsessive-compulsive disorder. Although well tolerated, complications can develop years after radiosurgery. We describe a case in which abnormal complications induced by very high doses of radiation evolved. A 55-year-old man with refractory obsessive-compulsive disorder was treated with Gamma Knife ventral anterior capsulotomy using a dose of 180 Gy. His obsessive-compulsive symptoms improved, but his condition evolved with a manic episode, cognitive memory changes, visual hallucinations, confabulation, and frontal lobe symptoms. Magnetic resonance imaging showed brain edema in the left hemisphere and a 6-mm brain cyst in the right hemisphere at postoperative month 20. This case shows the consequences of affecting more fibers related to the anterior frontal region than intended with a radiosurgical procedure and illustrates the importance of careful clinical and imaging follow-up after Gamma Knife ventral anterior capsulotomy.","DictElement({'Year': '2020', 'Month': '10', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2020,World neurosurgery,10.1016/j.wneu.2020.07.199,,Brain edema; Case report; Cysts; Obsessive-compulsive disorder; Radiosurgery,Case Reports,United States,eng
30345063,The role of cerebellar impairment in emotion processing: a case study.,"Gold, Alexandra K; Toomey, Rosemary",Gold,"Though the cerebellum's role in visuospatial and fine motor functioning has been well-established over the last several years, the role of the cerebellum in emotion has more recently been a focus of scientific inquiry. Cerebellar impairment has been associated with deficits in emotional processing and is linked to a wide range of clinical behaviors including social withdrawal, blunted emotional expression, and impulsivity. In addition, cerebellar impairments have been associated with the onset of psychiatric disorders including major depressive disorder and, more recently, obsessive-compulsive disorder. We describe a 32-year-old patient who presented to our clinic for a neuropsychological evaluation with a childhood history of a cerebellar brain tumor and detail-oriented, perfectionistic tendencies. Neuropsychological assessment data revealed impairments in visuospatial processing and in fine motor skills, likely stemming from the cerebellar tumor. Clinical assessment led to a diagnosis of obsessive-compulsive personality disorder and also suggested impairments in socio-emotional processing. Our findings lend support to recent data which has suggested the impact of cerebellar impairment on emotional processing and related domains. Unlike many previous studies, however, our report focuses on an individual who, despite having marked impairments in certain domains, demonstrates a high level of functioning. We believe that this report holds important clinical relevance for proper diagnosis of cerebellar-related impairment and for the necessity of early intervention.","DictElement({'Year': '2018', 'Month': '10', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2018,Cerebellum & ataxias,10.1186/s40673-018-0090-1,PMC6186118,Cerebellum; Emotion; Obsessive-compulsive personality disorder,Case Reports,England,eng
