pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
35261469,Phantosmia and dysgeusia as the first presentation of glioblastoma.,"Kokash, Atef; Carlson, John Emil",Kokash,"Glioblastoma is the most common and aggressive primary brain tumor in adults and has an extremely poor prognosis. It is rare for a high-grade glioma, or any brain tumor, to have an initial presentation of gastrointestinal symptoms. We present a rare case of a healthy 70-year-old woman who presented with symptoms of phantosmia and dysgeusia with magnetic resonance imaging findings of a brain mass confirmed via brain biopsy to be glioblastoma. Through a rare presentation, we aim to elucidate the importance of recognizing the association of phantosmia and dysgeusia to seizure auras and the critical need for diagnostic imaging to rule out organic causes such as infection and neoplasms.","DictElement({'Year': '2021', 'Month': '10', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2021,Proceedings (Baylor University. Medical Center),10.1080/08998280.2021.1990703,PMC8865230,Dysgeusia; glioblastoma; glioma; grade IV glioma; phantosmia; seizure,Case Reports,United States,eng
37727678,Olfactory Hallucinations Following COVID-19 Vaccination.,"Barter, Kelsey; Bagnato, Francesca",Barter,"Vaccine-induced phantosmia is a rare adverse effect of vaccination and has not been previously reported related to the Johnson & Johnson (J&J) COVID-19 vaccine. Three weeks after receiving the J&J COVID-19 vaccine, a 39-year-old veteran started smelling a burning odor in the absence of an identifiable source. At presentation to the clinic, his general and neurological examinations, brain magnetic resonance imaging, and electroencephalogram were all unremarkable. The episodes persisted for nearly 2 years (21 months postvaccination). This is the only case of phantosmia reported after the use of the J&J COVID-19 vaccine and aligns with the literature that reports 1 case of phantosmia and 2 cases of hyposmia following the Pfizer-BioNTech COVID-19 mRNA vaccine. This information will help health care professionals understand the possible adverse effects of COVID-19 vaccination and be better equipped to counsel patients about the benign but potentially long-lasting adverse effects of the J&J COVID-19 vaccine.","DictElement({'Year': '2023', 'Month': '09', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2023,"Federal practitioner : for the health care professionals of the VA, DoD, and PHS",10.12788/fp.0410,PMC10506491,,Case Reports,United States,eng
31151979,"Hemidysgeusia, phantosmia and respiratory arrest: a case of CLIPPERS.","Nguyen, Peter Baoviet; Prentice, David; Brazel, Robert; Leong, Wai Kuen",Nguyen,A 56-year-old man presented with a relapse of likely chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids (CLIPPERS) after a reduction of steroid dose. MRI demonstrated new perivascular FLuid-Attenuated Inversion Recovery (FLAIR) signal hyperintensity involving the dorsal pontomedullary junction and progressing inferiorly into the dorsal medulla oblongata. His admission to hospital was complicated by a respiratory arrest.,"DictElement({'Year': '2019', 'Month': '05', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2019,BMJ case reports,10.1136/bcr-2019-230094,PMC6557413,brain stem/cerebellum; immunology; mechanical ventilation; sleep disorders (respiratory medicine),Case Reports; Journal Article,England,eng
25997068,Dysphasia and phantosmia as first presentation of multifocal cerebral anaplastic astrocytomas: case report and review of the literatures.,"Kong, Xiangyi; Wang, Yu; Liu, Shuai; Lu, Zhaohui; Wu, Huanwen; Mao, Xinxin; Cheng, Xin; Gao, Jun; Guan, Jian; Yang, Yi; Li, Yongning; Xing, Bing; Ma, Wenbin; Wang, Renzhi",Kong,"Multifocal cerebral gliomas (MCGs) represent approximately 10% of gliomas and are frequently mistaken as metastases of an unknown primary cancer site. Most MCGs are glioblastomas with <4 lesions supratentorially, and are lack of typical symptoms and special detections.Through a rare MCG case, we aim to present this rarity and emphasize the need to correctly diagnose multiple intracranial lesions using a variety of diagnostic modalities to ensure that the patient receives proper treatment.We present a case of multifocal cerebral anaplastic astrocytomas with a total of 8 lesions located in the left frontal lobe and invading the lateral ventricle, presenting with dysphasia and phantosmia. The disease course, including diagnosis and treatment, is presented and analyzed in detail. The pertinent literature is reviewed regarding this uncommon entity.After an initial impression of brain metastasis from lung cancer because of the magnetic resonance imaging (MRI) resemblance and history of chronic bronchitis, we were able to use positron emission tomography (PET) and excisional biopsy to get the final diagnosis. After 10 months, the patient's overall condition deteriorated and succumbed to his disease.MCGs are easy to be misdiagnosed as metastatic diseases. In addition to MRI, PET adds more biochemical and molecular information and is helpful in the differentiation. Although uncommon, if multiple lesions are present in various locations in the hemispheres, MCG should be kept in mind.",{},,Medicine,10.1097/MD.0000000000000877,PMC4602886,,Case Reports; Journal Article; Review,United States,eng
12534490,Intracerebral haemorrhage presenting as olfactory hallucinations.,"Nye, Elizabeth; Arendts, Glenn",Nye,"Isolated olfactory hallucinations are a rare event and have been associated with a number of aetiologies including seizures, migraines and psychiatric illnesses. This case report describes a 58-year-old woman with an unusual haemorrhagic lesion as the cause of her olfactory symptoms. A review of the literature concerning the causes and management recommendations for olfactory hallucinations is presented.",{},,"Emergency medicine (Fremantle, W.A.)",10.1046/j.1442-2026.2002.00385.x,,,Case Reports; Journal Article; Review,Australia,eng
15176561,Langerhans' cell histiocytosis of the temporal lobe and pons.,"Cagli, S; Oktar, N; Demirtas, E",Cagli,"Intracerebral Langerhans' cell histiocytosis (LCH) is rare and tends to involve the hypothalamus. The authors report a rare case of LCH in the temporal lobe that subsequently was followed by a brainstem lesion. This appears to be the first case of temporal lobe and brainstem LCH that has been treated successfully and published. A 24-year-old man complained of cacosmia and nausea with a slight headache. He had a left temporal LCH, which was removed completely, but developed a brainstem lesion a year later. The pontine LCH was treated with radiosurgery. The follow-up period was 4 years without any neurological or radiological symptoms or signs. The 12 cases of solitary intracranial non-hypothalamic LCH reported previously are reviewed. Gamma knife radiosurgery effectively controlled the local growth of the pontine LCH without adverse effect.",{},,British journal of neurosurgery,10.1080/02688690410001681055,,,Case Reports; Journal Article; Review,England,eng
19364944,Parkinsonism: the hyposmia and phantosmia connection.,"Hirsch, Alan R",Hirsch,,{},,Archives of neurology,10.1001/archneurol.2009.38,,,Case Reports; Comment; Letter,United States,eng
37881386,High-Grade Temporal Ganglioglioma in an Older Adult Woman.,"Lozano Guzmán, Isauro; Sandoval-Bonilla, Bayron A; Falcon Molina, Jesús E; Garcia Iturbide, Ricardo; Castillejo Adalid, Luis A; Valverde García, Yelitza A; Amaya Morante, Luis A",Lozano Guzmán,"Ganglioglioma (GG) is a WHO-grade 1 glioneuronal neoplasm. It is well differentiated with a slow-growing pattern and is composed of a combination of neoplastic ganglion and glial cells. Anaplastic ganglioglioma (AGG) is an extremely rare malignant variant of ganglioglioma, which is not included in the new WHO classification; however, the term is used to talk about gangliogliomas with data of malignancy. AGGs usually occur in children and young adults and are associated with high recurrence and mortality. The authors describe the case of a 62-year-old woman with AGG. She presented with cacosmia, vertigo, nausea, and focal-onset seizures with secondary generalization. Magnetic resonance imaging (MRI) revealed an intra-axial lesion in the left temporal lobe. She underwent microsurgical resection guided by electrocorticography (ECoG), and a diagnosis of AGG based on microscopic morphology and immunohistochemical analysis was obtained. She was discharged a few days after surgery with subtotal resection of the lesion, no additional neurological deficit, and adequate seizure control. AGG is a very rare and poorly studied entity. It is currently a controversial term used to refer to gangliogliomas with signs of malignancy. It occurs mainly in children and young adults with temporal lobe epilepsy. Total resection is the best prognostic factor, given the unknown efficacy of radiotherapy and chemotherapy. In our case, the patient was an adult woman with a subtotal resection followed by concomitant radiotherapy and chemotherapy, obtaining a mean survival similar to that reported in the literature, so it can be thought that there is a benefit obtained with chemotherapy and radiotherapy despite having performed a subtotal resection of the lesion. Further studies are needed to establish clear diagnostic criteria for AGG, and a multicenter database of AGGs is necessary for a better understanding of the pathology and to offer the best treatment and prognosis.","DictElement({'Year': '2023', 'Month': '09', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.45862,PMC10597542,anaplastic ganglioglioma; aphasia; focal-onset seizures; ganglioglioma; glio-neural tumor,Case Reports,United States,eng
28904824,A case of unruptured aneurysm of the internal carotid artery presenting as olfactory hallucinations.,"Akimoto, Jiro; Ichimasu, Norio; Haraoka, Rei; Fukami, Shinjiro; Kohno, Michihiro",Akimoto,"Olfactory hallucination, a symptom of medial temporal lobe epilepsy, is rarely associated with unruptured intracranial aneurysms. We encountered this situation in a 70-year-old woman with an unruptured aneurysm at the bifurcation of the internal carotid and posterior communicating artery. We were able to achieve epileptic control by craniotomy clipping and medial temporal lesionectomy. According to our knowledge, previous reports are limited to cases of large middle cerebral artery aneurysms compressing the lateral orbitofrontal cortex, and this is apparently the first report of a case where olfactory hallucinations occurred from direct stimulation of the entorhinal cortex by an internal carotid and posterior communicating artery bifurcation aneurysm. We examined the pathophysiology underlying the development of olfactory hallucinations. We found craniotomy clipping and focal resection to be useful from the standpoint of seizure control. Whether seizure control can also be obtained with intracranial aneurysm coiling should be investigated in the future.","DictElement({'Year': '2017', 'Month': '08', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2017,Surgical neurology international,10.4103/sni.sni_134_17,PMC5590341,Neck clipping; olfactory hallucination; resection of epileptogenic foci; surgery; unruptured aneurysm,Case Reports,United States,eng
37151441,Olfactory hallucinations caused by an unruptured posterior communicating artery aneurysm improved by clipping: A case report with literature review.,"Tsuboki, Shimpei; Todaka, Tatemi; Hasegawa, Shu; Kaku, Yasuyuki; Ohmori, Yuki; Mukasa, Akitake",Tsuboki,"Unruptured cerebral aneurysms that lead to epilepsy are rare and olfactory hallucinations caused by such an aneurysm are extremely rare. Various treatments have been proposed, including wrapping, clipping with or without cortical resection, and coil embolization, but there is no consensus on the best approach. We present a case of a 69-year-old female who experienced olfactory hallucinations caused by a posterior communicating artery aneurysm and was treated with clipping without cortical resection, with a positive outcome. According to our knowledge, there has been only one report of a posterior communicating artery aneurysm presenting with olfactory hallucinations has been reported, where clipping and cortical resection were performed. This is the first report of a posterior communicating artery aneurysm with olfactory hallucinations that was effectively treated with clipping alone. There have been a few similar reports of large middle cerebral artery aneurysms, most of which are believed to be caused by entorhinal cortex compression. Although a definitive treatment protocol for this condition remains elusive, we suggest that elimination of the pulsatile compressive stress exerted on the cerebral cortex through surgical clipping or coil embolization is crucial for achieving efficacious seizure management.","DictElement({'Year': '2023', 'Month': '04', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2023,Surgical neurology international,10.25259/SNI_173_2023,PMC10159313,Clipping; Epilepsy; IC PC aneurysm; Olfactory hallucination; Unraptured aneurysm,Case Reports,United States,eng
