pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
22551695,Paroxysmal alternating nystagmus.,"Lee, Seong-Joon; Sohn, Sung-Yeon; Kim, Ji Soo; Moon, So Young",Lee,"Paroxysmal reversal of spontaneous nystagmus has rarely been described. Herein, we report recurrent bouts of vertigo and oscillopsia in association with reversed spontaneous nystagmus in a patient with prior surgical resection of the cerebellar vermis due to medulloblastoma and subsequent labyrinthine damage. The symptoms almost completely resolved with carbamazepine. The episodes may be ascribed to paroxysmal reversal of the vestibular asymmetry due to intermittent decompensation by the deficient cerebellum.","DictElement({'Year': '2012', 'Month': '05', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2012,Journal of the neurological sciences,10.1016/j.jns.2012.03.010,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",Netherlands,eng
29927799,Central Visual Oscillopsia: Case Report and Review of the Literature.,"Jones, Wallace; Silkworth, William; Dusto, Nathaniel; Pelak, Victoria S; Berliner, Jean; Buard, Isabelle; Kluger, Benzi",Jones,"Here we present a patient with persistent central visual oscillopsia, review the literature on this condition, and report results from an experimental intervention using repetitive transcranial magnetic stimulation. A 57-year-old man reported persistent visual oscillopsia after a traumatic brain injury suffered 20 years earlier. Symptoms were presumed to be of cortical origin given his normal eye movements, eye stability, and peripheral vestibular function. Furthermore, he reported oscillopsia with visual imagery during eye closure. Occipital lesions damaging white matter connections identified on magnetic resonance imaging were suspected to be the cause of his symptoms. Repetitive transcranial magnetic stimulation was applied to the left extrastriate visual motion area V5/MT, to bilateral V5/MT, and to bilateral striate visual area V1. The primary outcome measure was dynamic visual acuity. Secondary outcome measures were gaze stabilization testing and subjective improvement as noted by interviews of the patient. Gaze stabilization and dynamic visual acuity testing revealed no difference between pre- and post-intervention with repetitive transcranial magnetic stimulation. The patient reported symptomatic improvement in large-amplitude oscillations that persisted for at least 12 months, but stated that smaller-amplitude oscillations were unchanged. Pathologies associated with central oscillopsia in the literature include neuromyelitis optica spectrum disorder, stroke, migraine without infarction, and psychological trauma. The patient's reported improvement in large- but not small-amplitude oscillopsia suggests that these symptoms may result from different neurophysiological mechanisms. Repetitive transcranial magnetic stimulation did not result in clinically significant improvement, suggesting a need for other strategies to treat this condition.",{},,Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology,10.1097/WNN.0000000000000151,,,Case Reports; Journal Article; Review,United States,eng
34621574,Oscillopsia following orbitotomy for intracranial tumor resection.,"Goethe, Eric A; Hartford, Juliet; Foroozan, Rod; Patel, Akash J",Goethe,"Oscillopsia is a visual phenomenon in which an individual perceives that their environment is moving when it is in fact stationary. In this report, we describe two patients with pulsatile oscillopsia following orbitocranial approaches for skull base meningioma resection. Two patients, both 42-year-old women, underwent orbitocranial approaches for resection of a right sphenoid wing (Patient 1) and left cavernous sinus (Patient 2) meningioma. Patient 1 underwent uncomplicated resection and was discharged home without neurologic or visual complaints; she presented 8 days later with pulsatile oscillopsia. This was managed expectantly, and MRA revealed no evidence of vascular pathology. She has not required intervention as of most recent follow-up. Patient 2 developed trochlear and trigeminal nerve palsies following resection and developed pulsatile oscillopsia 4 months postoperatively. After patching and corrective lens application, the patient's symptoms had improved by 26 months postoperatively. Oscillopsia is a potential complication following skull base tumor resection about which patients should be aware. Patients may improve with conservative management alone, although the literature describes repair of orbital defects for ocular pulsations in traumatic and with some developmental conditions.","DictElement({'Year': '2021', 'Month': '09', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2021,Surgical neurology international,10.25259/SNI_498_2021,PMC8492429,Meningioma; Orbital osteotomy; Orbitocranial; Orbitopterional; Oscillopsia; Skull base tumors,Case Reports,United States,eng
34974486,New-onset Oscillopsia in a Patient With a History of Pontine Stroke.,"Kabanovski, Anna; Donaldson, Laura; Margolin, Edward",Kabanovski,"A 69-year-old man with a history of pontine hemorrhage 2 years ago noticed binocular vertical diplopia after the stroke. On examination, there was a small-angle incomitant left hyperdeviation that did not fit the 3-step test for fourth nerve palsy and incyclotorsion of the higher eye. On motility testing, there was an obvious pendular nystagmus. Resting tremor of the right hand was noticed on neurological examination. Examination of the oropharynx revealed rhythmic oscillations of the soft palate synchronous with the eye oscillations and hand tremor. These findings established a diagnosis of oculopalatal myoclonus (OPM). Although OPM is a well-described entity, this case is unique because the patient was completely asymptomatic from OPM and did not complain of oscillopsia but was very bothered by vertical diplopia because of skew deviation. It also demonstrates that OPM may coexist with skew deviation because anatomically vestibulo-ocular pathway is close to the triangle of Guillain-Mollaret and patients with lesions in one pathway should be examined for abnormalities in the other. Finally, it reminds us about the importance of monitoring patients with a history of brainstem insults for emergence of synchronous tremors years later and that simple maneuver-like ex/amining oropharynx may provide a clear diagnosis.","DictElement({'Year': '2021', 'Month': '12', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2021,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,10.1097/WNO.0000000000001461,,,Case Reports; Journal Article,United States,eng
37889471,Monocular Torsional Oscillopsia in Dentato-olivary Disconnection.,"Anagnostou, Evangelos; Gerakoulis, Stathis; Armenis, Georgios; Zachou, Athena; Velonakis, Georgios",Anagnostou,"Monocular torsional eye oscillations are a rare form of disconjugate nystagmus and the underlying pathophysiology is not well understood. Here, we present and discuss a case with disabling torsional oscillopsia in one eye only. The patient exhibited (i) spontaneous pendular torsional nystagmus of the left eye and (ii) rhythmic involuntary movements of the soft palate and uvula, consistent with the syndrome of oculopalatal tremor with monocular nystagmus. Brain MRI revealed an infarct of the left dentate nucleus in the cerebellum and, more caudally, a secondary hypertrophic degeneration of the right inferior olivary nucleus. To account for the presence of torsional nystagmus on the eye contralateral to the side of inferior olivary hypertrophy and ipsilateral to the lesioned dentate nucleus, we discuss the hypothesis of a (inferior olivary nucleus-mediated) malfunctioning adaptation of the anterior canal vestibulo-ocular reflex.","DictElement({'Year': '2023', 'Month': '10', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2023,"Cerebellum (London, England)",10.1007/s12311-023-01626-1,,Dentate nucleus; Guillain-Mollaret triangle; Inferior olivary nucleus; Nystagmus; Oscillopsia,Case Reports; Journal Article,United States,eng
27182467,Treatment of Nystagmus in Brainstem Cavernous Malformation with Botulinum Toxin.,"Chen, Yi-Ren; Fredrick, Douglas; Steinberg, Gary K; Liao, Yaping J",Chen,"We report a long-term eye movement study of a 68-year-old female with pontomedullary junction cavernous malformation whose dysconjugate nystagmus was treated with retrobulbar botulinum toxin A injections. Sequential, bilateral retrobulbar injections of botulinum toxin A were performed. Injections immediately decreased oscillopsia and nystagmus, and improved visual acuities. One to three months following injection, three-dimensional infrared oculography measured a significant 39-100% (P = 0.001) decrease in nystagmus amplitudes at multiple dimensions. This improvement diminished by six months in the right eye but sustained for about one year in the left eye. Over two years, botulinum toxin A injections were performed twice in the left eye and five times in the right eye. Our study supported the safe and effective use of repetitive retrobulbar botulinum toxin A injections in symptomatic nystagmus that failed medical therapy.","DictElement({'Year': '2016', 'Month': '04', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2016,Cureus,10.7759/cureus.553,PMC4852187,botulinum toxin; cavernous malformation; nystagmus; oscillopsia; vascular malformation,Case Reports,United States,eng
22028093,Anti-Ri-associated paraneoplastic cerebellar degeneration. Report of a case and revision of the literature.,"Mancuso, Michelangelo; Orsucci, Daniele; Bacci, Andrea; Caldarazzo Ienco, Elena; Siciliano, Gabriele",Mancuso,"Paraneoplastic cerebellar degeneration associated with anti-Ri antibodies mainly presents with opsoclonus-myoclonus-ataxia. We report here the case of a patient with anti-Ri-antibody paraneoplastic syndrome, who presented four years after treatment for small-cell lung cancer (SCLC) with oscillopsia and gait disorder. On neurological examination vertical nystagmus, ataxic gait and postural tremor of all four limbs was detected. He died one year after the onset of the symptoms because of a acute exacerbation of his severe chronic obstructive pulmonary disease. No SCLC relapse or new cancer has been detected during the one-year follow-up period.To our knowledge, our patient is the first case of anti-Ri associated disorder with oscillopsia and vertical nystagmus as the initially prominent clinical features. The findings of this case study support the variability of anti-Ri-antibody-associated paraneoplastic syndrome. Further studies must be directed to better characterize the mechanisms underlying this syndrome. Finally, paraneoplastic neurological syndromes should be kept in mind also when a neoplastic disease is not demonstrated.",{},,Archives italiennes de biologie,10.4449/aib.v149i3.1232,,,Case Reports; Journal Article; Review,Italy,eng
32753070,Superior Oblique Myokymia Presumed Due to Large Posterior Fossa Arteriovenous Malformation.,"Donaldson, Laura; van Adel, Brian; Rodriguez, Amadeo R",Donaldson,"A 26-year-old female presented with a complaint of intermittent oscillopsia and binocular vertical diplopia for the past 5 years. Over the past several months, she had noticed intermittent pulsatile tinnitus. She was otherwise healthy with no previous history of trauma and had no other visual or neurologic complaints. In Neuro-ophthalmology clinic, she was found to have 20/15 vision in both eyes with full ocular motility. There was a small exophoria in primary position and small esophoria in downgaze. Her slit lamp and fundus examinations were normal. During the assessment, the left eye was noted to undergo high-frequency, small amplitude incyclotorsional oscillations for a few seconds at a time (Video 1 in the supplementary material), which she was able to provoke by looking down. The diagnosis of superior oblique myokymia was made, and an MRI/MRA of the brain was requested.","DictElement({'Year': '2020', 'Month': '08', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2020,The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,10.1017/cjn.2020.125,,Arteriovenous malformation; Diplopia; Superior oblique myokymia,Case Reports; Journal Article,England,eng
31790839,A Case of Infratentorial Meningioma Causing Spontaneous Downbeat Nystagmus: Case Report and Review of the Literature.,"Kuwano, Atsushi; Arai, Koji; Aihara, Yasuo; Kawamata, Takakazu",Kuwano,"Spontaneous downbeat nystagmus is a finding that raises suspicions of a central nervous system disorder. Vermis and lower brainstem lesions are considered to be responsible, but the exact mechanism is still controversial. We observed a rare case of spontaneous downbeat nystagmus caused by an infratentorial meningioma. A 50-year-old woman was incidentally diagnosed with infratentorial tumor. Later, she suffered from oscillopsia and the symptom disturbed her daily life especially while driving. Magnetic resonance imaging showed a tumor of approximately 30 mm in diameter at the dorsal midline of the posterior fossa. The tumor was compressing the cerebellar vermis and was apparently responsible for the symptoms that affected her daily life; therefore, we decided to perform tumor removal. The postoperative course was uneventful, and the spontaneous downbeat nystagmus completely disappeared. Vertical nystagmus is a finding that raises suspicion of a central nervous system disorder, and requires detailed examination. In addition, in case of vertical nystagmus because of tumor compression of the vermis, removal of the tumor can be an effective treatment.","DictElement({'Year': '2019', 'Month': '11', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2019,World neurosurgery,10.1016/j.wneu.2019.11.140,,Downbeat nystagmus; Infratentorial meningioma; Vermian compression,Case Reports; Journal Article; Review,United States,eng
18198796,One-and-a-half syndrome--two cases.,"Ilniczky, Sándor; Kamondi, Anita; Várallyay, György; Gaal, Barbara; Palásti, Agnes; Gulyás, Szilvia; Szirmai, Imre",Ilniczky,"One-and-a-half syndrome is characterized by combination of the clinical features of unilateral horizontal gaze palsy and internuclear ophthalmoplegia. The common symptoms are double vision and oscillopsia. The lesion is located in the paramedian pontine reticular formation, involving the centre of horizontal gaze and medial longitudinal fasciculus. More extensive brainstem damage may result in additional neurological signs. The most frequent underlying diseases are vascular insults, multiple sclerosis, and brainstem tumor. We present two cases of one-and-a-half syndrome. Both patients had lacunar infarction in the paramedian pontine tegmentum, revealed by MRI. The first patient had isolated eye movement disorder, while the second had additional nuclear-type facial paresis. In the first case brainstem evoked potentials indicated brainstem damage, in the second patient it was normal. Ocular symptoms improved within some days in both patients.",{},,Ideggyogyaszati szemle,,,,Case Reports; Journal Article,Hungary,eng
37486916,Unilateral Pendular Nystagmus in Multiple Sclerosis: A Case Series.,"Vosoughi, Amir R; Barbosa, Natalie Brossard; Micieli, Jonathan; Margolin, Edward",Vosoughi,"Acquired pendular nystagmus is most often seen in patients with demyelinating disease. Although it is often bilateral, rare cases may be monocular. There is paucity of data on the spectrum of clinical presentation, underlying mechanism, and response to treatment in patients with monocular pendular nystagmus. Retrospective case series of patients with monocular pendular nystagmus seen in 2 tertiary neuro-ophthalmology clinics between January 2019 and June 2022. All patients underwent a complete neuro-ophthalmological assessment and MRI. We describe 5 patients (3 women) aged 31-49 with monocular pendular nystagmus. All had a diagnosis of multiple sclerosis. Three patients had horizontal and 2 had vertical pendular nystagmus. The Snellen visual acuity in the eye with pendular nystagmus varied from 20/20 to 20/200. Two patients were asymptomatic and 3 suffered visually debilitating oscillopsia. Treatment response was available for 2 patients, both of which responded well to treatment with memantine. The pendular nystagmus was observed in the eye with worse visual acuity in 4 of 5 cases (80%). Three patients had bilateral pontine lesions, and 2 had unilateral pontine lesion ipsilateral to the side of nystagmus. Monocular pendular nystagmus in adults is seen most often in patients with multiple sclerosis. Asymmetry in brainstem lesions and afferent visual input may be the culprit. Treatment with memantine may result in significant improvement in symptomatic patients.","DictElement({'Year': '2023', 'Month': '08', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2023,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,10.1097/WNO.0000000000001944,,,Journal Article; Case Reports,United States,eng
36380886,Downbeat Nystagmus Is Abolished by Alcohol in Nonalcoholic Wernicke Encephalopathy.,"Helmchen, Christoph; Machner, Björn; von der Gablentz, Janina; Sprenger, Andreas; Zee, David S",Helmchen,"Lesions of the cerebellar flocculus cause enduring downbeat nystagmus (DBN) with unrelenting oscillopsia. Unlike most patients with DBN, the flocculus is structurally spared in nonalcoholic Wernicke encephalopathy (nWE) with chronic DBN. The objective was to study the effects of alcohol in nWE. We recorded eye movements of a unique patient with nWE under controlled alcohol consumption who said his oscillopsia disappeared with a few drinks of alcohol. His DBN was markedly diminished by alcohol (by 77.4%), although he remained alert with normal saccades. This striking observation may be caused by the differential effect of alcohol on the perihypoglossal complex and the paramedian tract neurons, which control the level of activity in the flocculus, with opposite (inhibition and excitation, respectively) effects. The finding suggests new ideas about the treatment and pathophysiology of DBN with a structurally intact cerebellum.",{},,Neurology. Clinical practice,10.1212/CPJ.0000000000001138,PMC9647809,,Case Reports,United States,eng
