pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
9533994,Effortful echolalia.,"Hadano, K; Nakamura, H; Hamanaka, T",Hadano,"We report three cases of effortful echolalia in patients with cerebral infarction. The clinical picture of speech disturbance is associated with Type 1 Transcortical Motor Aphasia (TCMA, Goldstein, 1915). The patients always spoke nonfluently with loss of speech initiative, dysarthria, dysprosody, agrammatism, and increased effort and were unable to repeat sentences longer than those containing four or six words. In conversation, they first repeated a few words spoken to them, and then produced self initiated speech. The initial repetition as well as the subsequent self initiated speech, which were realized equally laboriously, can be regarded as mitigated echolalia (Pick, 1924). They were always aware of their own echolalia and tried to control it without effect. These cases demonstrate that neither the ability to repeat nor fluent speech are always necessary for echolalia. The possibility that a lesion in the left medial frontal lobe, including the supplementary motor area, plays an important role in effortful echolalia is discussed.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(08)70737-8,,,Case Reports; Clinical Trial; Journal Article,Italy,eng
22776676,Complex epileptic palilalia: a case report.,"Landi, Doriana; Benvenga, Antonella; Quattrocchi, Carlo C; Vollero, Luca; Assenza, Giovanni; Pellegrino, Giovanni; Campana, Chiara; Tombini, Mario",Landi,"Palilalia is a kind of motor perseveration involving speech, consisting in the continuous repetition of words or phrases, or both. Rarely it occurs in seizure disorders as ictal or post-ictal manifestation. We report a case of epileptic palilalia in a 71-year-old patient with a previous history of intracerebral haemorrhage in the left frontal region, characterized by the continuous repetition of the same speech sequence for few minutes. EEG recordings during NREM sleep and wakefulness showed recurrent and prolonged focal subclinical epileptiform paroxysms in the left mesial frontal region. Our case confirms the role of the left frontal lobe, reliably of the supplementary motor area (SMA), as neuroanatomic origin of ictal palilalia.","DictElement({'Year': '2012', 'Month': '07', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2012,Seizure,10.1016/j.seizure.2012.06.009,,,Case Reports; Journal Article,England,eng
31771952,Catatonia with GABA<sub>A</sub> receptor antibodies.,"Samra, Kiran; Rogers, Jonathan; Mahdi-Rogers, Mohamed; Stanton, Biba",Samra,"A 22-year-old African woman developed acute behavioural change, against a background of sickle cell disease with strokes requiring a ventriculoperitoneal shunt. She alternated between mutism with prolonged staring and posturing, and a state of agitation with elation and echolalia. Cerebrospinal fluid (CSF) protein was elevated and electroencephalogram showed mild slowing with bitemporal slow and sharp waves. We suspected catatonia secondary to possible autoimmune encephalitis but her condition persisted despite intravenous methylprednisolone. After identifying a positive serum anti-gamma-aminobutyric acid-A (GABA<sub>A</sub>) antibody, treatment with intravenous immunoglobulin, oral corticosteroids and rituximab led to gradual improvement. Patients with catatonia may show reduced GABA<sub>A</sub> receptor density and there are two other reports of catatonia with anti-GABA<sub>A</sub> antibodies. This patient's treatment response supports the antibody's causative role.","DictElement({'Year': '2019', 'Month': '11', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2019,Practical neurology,10.1136/practneurol-2019-002388,,clinical neurology; cognitive neuropsychology; neuroimmunology; neuropsychiatry,Case Reports; Journal Article,England,eng
39022123,Case report: Gait-induced palilalia in a patient with hemiplegia due to cerebral infarction.,"Kaneko, Yoshiyuki; Suzuki, Takahiro; Nakajima, Hideto; Kanamori, Tadashi; Suzuki, Masahiro",Kaneko,"Palilalia is a type of speech characterized by compulsive repetition of words, phrases, or syllables. Several reports have noted that palilalia can occur in response to external verbal stimuli. Here, we report, for the first time, a patient with palilalia induced by gait, which we call ""movement-related palilalia."" Eleven months after the onset of cerebral infarction sparing the right precentral gyrus and its adjacent subcortical regions, a 63-year-old, left-handed Japanese man was referred for psychiatric consultation because of a complaint of irritability caused by the stress of compulsive repetition of a single meaningless word, ""wai."" The repetition of a word, palilalia, in this case, was characterized by its predominant occurrence during walking and by its melodic tones. The palilalia during walking disappeared almost completely after 5 months of treatment with carbamazepine 600 mg. Palilalia induced by gait can occur in patients with a history of cerebral infarction. This palilalia during walking may be due to the reorganization of networks in areas nearby or surrounding cerebral infarcts.","DictElement({'Year': '2024', 'Month': '07', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2024,Frontiers in human neuroscience,10.3389/fnhum.2024.1361585,PMC11252822,carbamazepine; cerebral infarction; hemiplegia; network reorganization; palilalia,Case Reports; Journal Article,Switzerland,eng
1490313,[Palilalia and acquired stuttering in a case of Parkinson's disease].,"Sakai, T; Miyamura, M; Kuzuhara, S",Sakai,"We report palilalia and acquired stuttering in a 60-year-old Japanese male with Parkinson's disease. At the age of 54, he presented with resting tremor in the hand and foot on the left, and gradual slowness in voluntary movements. Two years later, resting tremor involved the right foot, and an expressionless face and frozen gait occurred. A diagnosis of Parkinson's disease was made and treatment with L-dopa and carbidopa resulted in conspicuous improvement. At the age of 57, he developed compulsive repetitions of syllables, words and phrases, and sentences infrequently when he spoke. They have been persisting for four years. Repetitions increased in spontaneous speech while they decreased in oral reading and repetition of sentences. These repetitions in speech were symptomatologically diagnosed as palilalia and acquired stuttering. Brain CT showed slight brain atrophy, and brain MRI disclosed a few lesions indicating lacunae in the left substantia nigra, left putamen, and right internal capsule. SPECT showed a slight decrease in blood flow in the frontal lobes and basal ganglia bilaterally. Full IQ on WAIS was 105, and neither agnosia nor apraxia was detected. Palilalia and acquired stuttering, though the pathomechanism has not been clarified, have been reported to occur usually secondary to cerebral vascucular lesions and very rarely in Parkinson's disease. In the present case, they may have been produced by the parkinsonian nigro-striatal lesions. Alternatively, they may have been induced by the small vascular lesions demonstrated by MRI.",{},,Rinsho shinkeigaku = Clinical neurology,,,,Case Reports; English Abstract; Journal Article; Review,Japan,jpn
29237665,Intermittent catatonia and complex automatisms caused by frontal lobe epilepsy in dementia.,"George, Robynne; Langford, Alex",George,"An 82-year-old man was admitted to the emergency department following bizarre behaviour. Police had noticed him driving erratically through his village. He did not stop when instructed, drove slowly home and appeared 'vacant' on questioning. While in hospital, he had approximately 15 episodes of catatonia, involving rigidity, negativism, mutism except echolalia and perseveration, automatic obedience and utilisation phenomena, lasting 2-20 min each. Between episodes, he was amnestic but otherwise well. Electroencephalography demonstrated bifrontal slowing with left-sided emphasis, and captured two focal onset partial seizures with the clinical correlate of the syndrome described above. He improved rapidly on levetiracetam and lorazepam, was discharged and received a diagnosis of dementia by his community mental health team shortly afterwards, based on chronic short-term memory loss, functional decline and MRI changes. This case has implications for our understanding of the neural correlate of catatonia, specifically frontal lobe pathway dysfunction.","DictElement({'Year': '2017', 'Month': '12', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2017,BMJ case reports,10.1136/bcr-2017-222444,PMC5728206,epilepsy and seizures; psychotic disorders (incl schizophrenia),Case Reports; Journal Article,England,eng
36680921,Anti-Gad 65 encephalitis with rapidly progressive temporal atrophy reveals the involvement of the temporal lobe in the neuroanatomical basis of palilalia.,"Zilioli, Alessandro; Misirocchi, Francesco; Pancaldi, Beatrice; Mannini, Elisa; Mutti, Carlotta; Zinno, Lucia; Florindo, Irene; Spallazzi, Marco; Parrino, Liborio",Zilioli,"Palilalia is an acquired speech disorder characterized by the reiteration of words or sentences, historically divided in two main subtypes: ""palilalie heterolalique"" and ""palilalie homolalique"". In the former, the reiteration is characterized by rate increase and volume decrease, while in the latter these features remain unaltered. While the ""heterolalique"" subtype has been mainly observed in the context of basal ganglia diseases, the neuroanatomical basis of the ""homolalique"" subtype has never been completely clarified. Here we report the case of an 81 years-old woman who developed an extremely repetitive and perseverative language with ""homolalique"" subtype features and a rapidly progressive course with severe bitemporal atrophy, as a consequence of anti-glutamic acid decarboxylase 65 (GAD 65) antibodies encephalitis. To the best of our knowledge, this is the first report of palilalia in the context of anti-GAD 65 encephalitis. Through the support of voxel-based morphometry and hippocampal subfields analysis, this case study provides a fascinating way of understanding the networks responsible for palilalia, shedding some light on the critical role of temporal areas in the onset of this rare language disorder.","DictElement({'Year': '2022', 'Month': '12', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2022,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2022.12.010,,,Case Reports,Italy,eng
27842285,Posterior fossa syndrome with a large inflammatory ponto-mesencephalic lesion.,"Breit, S; Keserü, B; Nyffeler, T; Sturzenegger, M; Krestel, H",Breit,"Demonstration of a posterior fossa syndrome (PFS) in a 32-year-old male patient with clinically isolated syndrome which subsequently developed into relapsing-remitting Multiple Sclerosis. The patient suffered from double vision, coordination problems including unsteady gait and atactic dysarthria, concentration difficulties, as well as adynamia and impaired decision making. The patient clinically presented a cerebellar and dysexecutive syndrome. Cerebral magnetic resonance imaging (MRI) revealed a contrast enhancing ponto-mesencephalic lesion with a volume of 4.8cm<sup>3</sup>. Neuropsychological tests showed pronounced executive dysfunctions, reduced visuoconstructive skills, attentional deficits, echolalia, and non-fluent speech production. After cortisone and plasmapheresis, the cerebellar syndrome improved but manual fine motor skills and executive dysfunctions persisted. After three months, symptoms remitted except for a slight gait imbalance. After six months, neuropsychological tests were normal except for a moderate attention deficit. MRI revealed a clear regression of the ponto-mesencephalic lesion to a volume of 2.4cm<sup>3</sup> without contrast enhancement. This case report intends to provide an overview of the symptomatology and etiology of PFS and offers new insights into its pathomechanism demonstrating a pontine disconnection syndrome caused by a large demyelinating plaque.","DictElement({'Year': '2016', 'Month': '11', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2016,Brain and cognition,10.1016/j.bandc.2016.09.013,,Cerebellar cognitive affective syndrome; Clinically isolated syndrome; Contrast enhancing ponto-mesencephalic lesion; Disconnection syndrome; Posterior fossa syndrome,Case Reports; Journal Article,United States,eng
2246662,Paramedian thalamic and midbrain infarcts associated with palilalia.,"Yasuda, Y; Akiguchi, I; Ino, M; Nabatabe, H; Kameyama, M",Yasuda,A patient with paramedian thalamic and midbrain infarcts developed palilalia.,{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.53.9.797,PMC1014261,,Case Reports; Journal Article,England,eng
19010956,Hypokinetic dysarthria and palilalia in midbrain infarction.,"Kwon, M; Lee, J-H; Kim, J; Kim, J S",Kwon,,{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.2008.151530,,,"Case Reports; Letter; Research Support, Non-U.S. Gov't",England,eng
