pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
36892946,Palinopsia After Splenium Infarction.,"Kim, Ungsoo Samuel",Kim,,"DictElement({'Year': '2023', 'Month': '03', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2023,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,10.1097/WNO.0000000000001818,,,Case Reports; Letter,United States,eng
25178913,Palinopsia without visual field defect: case report and minireview.,"Praveen-Kumar, S; Rajesh, A",Praveen-Kumar,,"DictElement({'Year': '2014', 'Month': '08', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2014,Clinical neurology and neurosurgery,10.1016/j.clineuro.2014.07.037,,Non-dominant temporo-occipital region; Oligodendroglioma; Palinopsia; Visual after-images; Visual field defects,Case Reports; Journal Article; Review,Netherlands,eng
845607,Palinopsia.,"Meadows, J C; Munro, S S",Meadows,"Three cases of palinopsia (visual perseveration) are described. In case, evidence pointed to a lesion in the right occipitotemporal region. Pathological findings are reported in one of the three. Previous reports have stressed the importance of posteriorly placed cerebral lesions, more commonly right sided than left, but have not demonstrated more precise localisation within the hemisphere.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.40.1.5,PMC492596,,Case Reports; Journal Article,England,eng
35001065,Case Report: Visual Snow Syndrome after Repetitive Mild Traumatic Brain Injury.,"Werner, Rachel N; Gustafson, Jennifer A",Werner,"Visual snow syndrome is a recently recognized condition with its own diagnostic criteria, evolving pathophysiologic research, and potential treatment options. This report documents a rare but likely underdiagnosed condition called visual snow syndrome. A review of the current literature on pathophysiology and treatments is discussed. A 40-year-old Whiteman started experiencing symptoms of constant pulsating pixels throughout his entire visual field approximately 3 weeks after a series of mild concussions. In addition, he experienced a persistence of images and photosensitivity. The patient had normal eye examination results, visual fields, and retinal imaging result. Brain MRI, magnetic resonance angiography, electroencephalography, and cerebrospinal fluid analysis were unremarkable. A positron emission tomography scan demonstrated hypometabolism in the posterior parietal lobes and left posterior cingulate gyrus. Pharmacological treatment with antiepileptic and migraine medications was unsuccessful. Tinted lenses were essentially ineffective with a 10% reduction in symptoms reported with the use of a custom blue-tinted lens.Vision rehabilitation aids with optical character recognition were used for prolonged reading needs. Although rare, visual snow syndrome should be considered in all patients reporting continuous pixelations in their vision for more than 3 months, especially when accompanied by at least two of the following: photosensitivity, palinopsia, enhanced entopic phenomena, or nyctalopia. The pathophysiology is still unclear at this point, with evidence suggesting a link to the secondary visual cortex, specifically the lingual gyrus. More studies are needed to determine the exact cause, especially studies that separate visual snow syndrome patients with and without comorbid migraine. Because the pathophysiology is unclear, the treatment course is also unclear. Anecdotal evidence may suggest that tinted lenses may be of some value.",{},,Optometry and vision science : official publication of the American Academy of Optometry,10.1097/OPX.0000000000001862,,,Case Reports; Journal Article; Review,United States,eng
31741679,Palinopsia Accompanied with Migraine Attack After Having Occipital Brain Abscess.,"Takayama, Yutaro; Iwata, Junya; Kojima, Akio",Takayama,"Palinopsia is defined as persistence of recurrent visual images after the stimulus has been removed. A 55-year-old male patient with long-standing migraine history developed brain abscess in the right occipital lobe. The patient developed episodes of palinopsia accompanied with migraine attack after healing of occipital lesion. The phenomenon cannot be sufficiently explained with single risk factor, although occipital lesion and migraine are both known to cause palinopsia. We speculated that migrainous brain is not always symptomatic but may drive cortex sensitive for second insult, such as occipital brain lesion. The predisposition may contribute to appearance of palinopsia.","DictElement({'Year': '2018', 'Month': '09', 'Day': '19'}, attributes={'DateType': 'Electronic'})",2018,Neuro-ophthalmology (Aeolus Press),10.1080/01658107.2018.1519581,PMC6844513,Cortical irritability; migrainous brain; occipital lesion; recurrent visual images,Case Reports,England,eng
3596922,Palinopsia and visual allesthesia.,"Ardila, A; Botero, M; Gomez, J",Ardila,"Two cases of palinopsia are reported. The first patient had palinopsia and visual allesthesia secondary to an occipital calcified cysticercus. Symptoms were more prominent during treatment for his parasitic infection. The second case was a patient with long standing vascular headaches associated for many years with episodes of visual persistence; he had a right occipital lobe infarct; he reported deformation of images, illusion of movement and macropsia in his left homonymous hemianoptic visual field. Different hypotheses for explaining palinopsia have been proposed. An analysis of our cases does not prove or disprove any of the current hypotheses. However, the current hypotheses do not necessarily contradict each other. Implications of the two cases reported are analyzed.",{},,The International journal of neuroscience,10.3109/00207458709043332,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
22285276,Measuring palinopsia: characteristics of a persevering visual sensation from cerebral pathology.,"Van der Stigchel, S; Nijboer, T C W; Bergsma, D P; Barton, J J S; Paffen, C L E",Van der Stigchel,"Palinopsia is an abnormal perseverative visual phenomenon, whose relation to normal afterimages is unknown. We measured palinoptic positive visual afterimages in a patient with a cerebral lesion. Positive afterimages were confined to the left inferior quadrant, which allowed a comparison between afterimages in the intact and the affected part of his visual field. Results showed that negative afterimages in the affected quadrant were no different from those in the unaffected quadrant. The positive afterimage in his affected field, however, differed both qualitatively and quantitatively from normal afterimages, being weaker but much more persistent, and displaced from the location of the inducing stimulus. These findings reveal distinctions between pathological afterimages of cerebral origin and physiological afterimages of retinal origin.","DictElement({'Year': '2012', 'Month': '01', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2012,Journal of the neurological sciences,10.1016/j.jns.2012.01.006,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Netherlands,eng
33264154,Dyskinetopsic Palinopsia: Palinopsia Accompanied by Moving Afterimages.,"Lahiri, Durjoy; Ardila, Alfredo; Chatterjee, Subham; Dubey, Souvik; Ray, Biman Kanti",Lahiri,"Palinopsia refers to the abnormal persistence, or recurrence, of visual images after a visual stimulus has subsided. We describe here a case of palinopsia accompanied by a visual motion perception disorder as manifested by moving afterimages. A 71-year-old man presented to us after having experienced acute-onset, vivid, visual hallucinations for 1 week. A detailed history revealed that he was hallucinating multiple living and nonliving objects. He also complained of a persistence of afterimages, particularly in the left visual field. He reported that, on a few occasions, while sitting by the window in his room, he had seen a moving car on the road; immediately after the car had disappeared from his sight, he had then seen the same car moving backward at almost the same speed-as if the driver had applied the reverse gear. A neuropsychological assessment did not reveal any deficits in attention, language, or episodic memory. Visual field testing by confrontational perimetry suggested left hemianopia. An MRI of the brain revealed an arteriovenous malformation in the medial part of the right occipital lobe, affecting both the lingual gyrus and the inferior occipital gyrus. Palinopsia has generally been described in reference to static afterimages. In our case, not only was the afterimage that was perceived by the patient in motion, but the direction of the movement was also opposite to that of the actual object. We propose the term dyskinetopsic palinopsia, or simply motion-related palinopsia, for this particular condition.",{},,Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology,10.1097/WNN.0000000000000247,,,Case Reports; Journal Article,United States,eng
22723575,Acute exacerbation of multiple sclerosis presenting with facial metamorphopsia and palinopsia.,"Anbarasan, Deepti; Howard, Jonathan",Anbarasan,"We discuss the case of a patient with a known history of relapsing-remitting multiple sclerosis (MS) who presented with the isolated complaint of altered visual perception in the absence of abnormalities on ophthalmological examination. To the best of the authors' knowledge, this is the first documented case of both facial metamorphopsia and palinopsia occurring as the symptoms of demyelinating brain lesions consistent with an acute MS exacerbation. These symptoms appear to be related to active demyelination that either involved the optic radiations in the visual pathway or the visual association area in the temporo-occipital region of the left hemisphere.","DictElement({'Year': '2012', 'Month': '06', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2012,"Multiple sclerosis (Houndmills, Basingstoke, England)",10.1177/1352458512451511,,,Case Reports; Journal Article,England,eng
11886369,Palinopsia and perilesional hyperperfusion following subcortical hemorrhage.,"Hayashi, R; Shimizu, S; Watanabe, R; Katsumata, Y; Mimura, M",Hayashi,"We report a patient who exhibited transient palinopsia and visual hallucinations. Disturbances initially included an auditory component and increasingly were localized to the left visual field. These events occurred during recovery from a right subcortical hematoma with left homonymous hemianopia. Single-photon emission computed tomography (SPECT) demonstrated extensive perilesional hyperperfusion involving parts of the right parietal, temporal, and occipital cortex. Perilesional hyperperfusion disappeared as the visual abnormalities diminished. We believe that excitatory neuronal activation in perilesional cortex during recovery contributed importantly to the transient abnormal perceptions.",{},,Acta neurologica Scandinavica,10.1034/j.1600-0404.2002.1c217.x,,,Case Reports; Journal Article,Denmark,eng
