pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33762449,[Intracerebral Hemorrhage].,"Hiramatsu, Masafumi; Haruma, Jun; Hishikawa, Tomohito; Sugiu, Kenji; Date, Isao",Hiramatsu,"CT angiography(CTA)plays a crucial role in the diagnosis of intracerebral hemorrhage(ICH). An 85-year-old woman presented with a disturbance of consciousness and right hemiparesis. Non-contrast CT of the brain revealed intracerebral hemorrhage in the left thalamus spreading to the internal capsule, corona radiata, and midbrain and a ""swirl sign."" CTA revealed no vascular anomaly. The early and delayed CTA phases revealed the""spot sign"" and ""leakage sign,"" respectively. Non-contrast CT three hours after the initial CT showed the enlargement of the hematoma. After the detection of ICH by initial non-contrast CT, CTA should be performed to differentiate between the causes of secondary ICH and detect the imaging markers of hematoma expansion or rebleeding. Previous studies have demonstrated that the ""spot sign"" detected by CTA is a valid imaging marker for hematoma expansion. In this article, the differential diagnosis of ICH and the detection of the imaging markers of hematoma expansion using non-contrast CT and CTA have been discussed.",{},,No shinkei geka. Neurological surgery,10.11477/mf.1436204390,,,Case Reports; Journal Article,Japan,jpn
28406779,Classic Raymond Syndrome.,"Khan, Majid; Naveed, Sadaf; Haider, Iqbal; Humayun, Mohammad; Khan, Abidullah",Khan,"Classic Raymond syndrome presents with abducens nerve palsy on the ipsilateral side with contralateral hemiparesis and facial nerve paralysis. A 60-year gentleman presented with deviation of left angle of mouth and right sided weakness. Examination showed that he had left sided abducens nerve palsy, with contralateral central facial paralysis and paresis. MRI of brain confirmed left pontine infarct. These findings were consistent with classic Raymond syndrome. Till now, only a few cases have been reported worldwide, this being the first case reported in South Asia. This case confirms that classic Raymond syndrome is different from the common type of Raymond syndrome in terms of sparing of coritcofacial fibers in the latter type.",{},,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,,,,Case Reports; Journal Article,Pakistan,eng
25994363,Investigating intracerebral haemorrhage.,"Wilson, Duncan; Adams, Matthew E; Robertson, Fergus; Murphy, Mary; Werring, David J",Wilson,,"DictElement({'Year': '2015', 'Month': '05', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2015,BMJ (Clinical research ed.),10.1136/bmj.h2484,,,Case Reports; Journal Article; Review,England,eng
38073163,Cerebral Venous Thrombosis Presenting as Simultaneous Intracerebral Hemorrhage.,"Jiménez-Ruiz, Amado; Aguilar-Fuentes, Victor; Benavides-Gómez, Fernando; Ruiz-Sandoval, José Luis",Jiménez-Ruiz,"A 37-year-old pregnant woman presented to the emergency department with central facial palsy, ipsilateral right hemiparesis, and seizures. Brain Computed Tomogram (CT) showed intracerebral hemorrhage (ICH) and bilateral frontal edema. Magnetic resonance imaging (MRI) revealed multifocal hemorrhages consistent with a diagnosis of multiple simultaneous ICH (MSICH) (Figure 1). We suspected cerebral venous thrombosis (CVT) and performed a MR angiogram confirming this diagnosis (Figure 2). Upon admission, the patient was treated with low-molecular-weight heparin and transitioned to direct oral anticoagulation at discharge. Non traumatic MSICH is a rare imaging finding with high mortality, usually arterial in origin (1). However, since treatment options vary, cerebral venous thrombosis should always be considered in the differential diagnosis, especially in young female patients with known risk factors, such as pregnancy and puerperium (2-4). MRI modalities (Echo-GRE) are valuable tools in identifying ICH when CT is inconclusive (5).",{},,Acta neurologica Taiwanica,,,,Case Reports; Journal Article,China (Republic : 1949- ),eng
6504325,Caudate hemorrhage.,"Stein, R W; Kase, C S; Hier, D B; Caplan, L R; Mohr, J P; Hemmati, M; Henderson, K",Stein,"We studied 12 patients with intracerebral hemorrhage in the head of the caudate nucleus. These cases accounted for 7% of a consecutive series of intracerebral hemorrhage. The clinical findings differed from more common varieties of supratentorial hemorrhage. All patients had acute onset of vomiting, headache, stiff neck, decreased level of consciousness, and behavioral changes in a pattern that simulated subarachnoid hemorrhage. Seven patients had gaze paresis and hemiparesis, with or without sensory loss. Two of these seven patients had, in addition, elements of Horner's syndrome. The prognosis for recovery was good. No patient had recurrent hemorrhage or persistent hydrocephalus.",{},,Neurology,10.1212/wnl.34.12.1549,,,Case Reports; Journal Article,United States,eng
3046580,Lateral thalamic infarcts.,"Caplan, L R; DeWitt, L D; Pessin, M S; Gorelick, P B; Adelman, L S",Caplan,"A patient with occlusion of the proximal posterior cerebral artery (PCA), a lateral thalamic infarct, and hemisensory loss later developed hemianopia and hemiparesis and had extensive PCA territory infarction in the midbrain, the lateral portion of the thalamus, and the occipital lobe noted at necropsy. Two other patients had lateral thalamic infarcts on computed tomography, normal angiographic findings, and presumed thalamogeniculate artery branch occlusion. There are three clinical syndromes associated with lateral thalamic infarction: (1) hemisensory loss, hemiataxia, and involuntary movements; (2) pure sensory stroke; and (3) sensory-motor stroke. Ataxia, adventitious movements, and sensory loss are due to infarction of the lateral, posterolateral, and posteromedial ventral nuclei caused by occlusion of the PCA proximal to the thalamogeniculate artery branches or by occlusion of large thalamogeniculate arteries. Pure sensory and sensory-motor strokes are due to smaller infarcts in the posterolateral-posteromedial ventral complex and adjacent internal capsule caused by occlusion of penetrating artery branches of the thalamogeniculate arteries.",{},,Archives of neurology,10.1001/archneur.1988.00520330037008,,,Case Reports; Journal Article; Review,United States,eng
33455561,Delayed cerebral thrombosis complicating bacterial meningitis.,"Depoortere, Sofie; Toeback, Jonas; Lunskens, Sophie; Van Buggenhout, Erwig; Oedit, Regilio; Hemelsoet, Dimitri",Depoortere,"Delayed cerebral thrombosis has been described as a potential cause of cerebrovascular complications in patients with bacterial meningitis. We report a case of delayed cerebral thrombosis in a 63-year-old woman admitted for pneumococcal meningitis. Initially, there was a good clinical evolution under treatment with steroids and antibiotics. On day 8 after admission, she was found with a decreased level of consciousness. Her neurological condition gradually worsened. Repeated brain imaging showed extensive ischemic lesions. Despite treatment with high-dose corticosteroids, the patient died. A literature search was conducted. Data on patient characteristics, diagnosis, treatment and outcome were collected. To date, 28 cases with delayed cerebral thrombosis following bacterial meningitis have been reported. Streptococcus pneumoniae was the pathogen in 89% of cases. Clinical deterioration occurred in all patients, with a duration varying from 5 to 40 days between admission and deterioration. Most common symptom was altered consciousness (83%), followed by hemiparesis (52%). Brain imaging typically shows new infarctions (96%). Fifty-six percent of patients were treated with corticosteroids after deterioration. Outcome was poor with mortality rate of 46%. Delayed cerebral thrombosis presents as a clinical deterioration, typically a sudden decline in consciousness, more than 5 days after meningitis onset. Brain imaging shows new widespread ischemic lesions. Diagnosis should be made carefully, based on clinical findings and brain imaging, after excluding endocarditis. The underlying etiology remains unknown. When delayed cerebral thrombosis is suspected, high-dose corticosteroids should be started empirically. The prognosis remains poor with high mortality rates.","DictElement({'Year': '2021', 'Month': '01', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2021,Acta clinica Belgica,10.1080/17843286.2021.1873583,,Bacterial meningitis; cerebrovascular complication; corticosteroids; delayed cerebral thrombosis,Case Reports; Journal Article,England,eng
35431875,Dysarthria-Facial Paresis and Rostral Pontine Ischemic Stroke.,"Miyawaki, Edison K; Wilcox, Douglas R; Kraft, Andrew W; Guenette, Jeffrey P",Miyawaki,"We describe an acute, postoperative dysarthria-facial paresis. While the rare stroke syndrome has been described previously, we present an under-described clinical nuance to its presentation with a particularly clear imaging correlation. A 78-year-old, right-handed man with a past medical history of aortic stenosis presented after a transcatheter aortic valve replacement. Immediately postoperatively, no neurological deficits were noted. That evening, he described his speech as ""drunken."" He was later noted to have a right lower facial droop in addition to the speech change. His speech exhibited labial, lingual, and (to a lesser degree) guttural dysarthria. At the patient's request due to claustrophobia, he received 2 mg of oral lorazepam prior to cranial imaging. Afterwards, he was sleepy but arousable, yet was unable to put pen to paper when asked to write. Right lower facial paresis persisted, but he now demonstrated a right pronator drift, which resolved after 14 h without other evolution to his clinical examination. Brainstem lesions above the level of the pontine facial nucleus may present with central facial paresis contralateral to the lesion. An associated dysarthria may have both labial and lingual features in the absence of tongue or pharyngeal weakness. Our review of reported cases of dysarthria in isolation, dysarthria in combination with facial paresis, and facial paresis finds that all presentations may result from cortical, subcortical, or brainstem involvement. Stroke mechanisms are most commonly thromboembolic or small-vessel-ischemic in either the anterior or posterior circulations.","DictElement({'Year': '2022', 'Month': '03', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2022,Case reports in neurology,10.1159/000522283,PMC8958628,Dysarthria; Facial paresis; Ischemic stroke; Pons,Case Reports,Switzerland,eng
36895123,Coexistence of large meningioma and arteriovenous malformation:A case report and literature review.,"Wang, Xue; Liu, Yang; Tang, Rong-Wu; Zhu, Ye-Tao",Wang,"The simultaneous presence of a giant intracranial meningioma and an arteriovenous malformation(AVM)in the same cerebral hemisphere is extremely rare. The treatment should be individualized depending on the case. A 49-year-old man presented with hemiparesis. Preoperative neuroimaging revealed a giant lesion and an AVM on the left hemisphere of the brain. Craniotomy and tumour resection were performed. The AVM was not treated and needed to be followed up. The histological diagnosis was meningioma (World Health Organization grade I). The patient was in good neurological condition postoperatively. This case adds to the growing literature suggesting that the association between the two lesions is complex. Besides, treatment depends on the risk of neurologic function damage and hemorrhagic stroke of meningiomas and AVMs.","DictElement({'Year': '2023', 'Month': '03', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2023,Current medical imaging,10.2174/1573405619666230310091939,,Arteriovenous Malformation; Case report; Cerebral; Coexistence; Craniotomy; Meningioma,Case Reports,United Arab Emirates,eng
38098127,Emotional dysmetria after cerebellar-pontine stroke: a case report.,"Long, Rebecca M; DuVal, Michèle; Mulvany-Robbins, Bridget; Wagner, Amanda N; Jickling, Glen C",Long,"Pseudobulbar affect, or emotional dysregulation, commonly occurs following stroke. However, it is frequently missed in cases involving the cerebellum, resulting in a lack of treatment, which can directly impact stroke rehabilitation. A 63-year-old Caucasian female with no history of mood disorders presented with gait instability, dysarthria, and right sided hemiplegia, secondary to cerebellar and pontine ischemic stroke from a basilar occlusion. She underwent endovascular therapy and her deficits gradually improved. However during recovery she began to develop uncontrollable tearfulness while retaining insight that her emotional expression was contextually inappropriate. She was treated with a selective serotonin reuptake inhibitor with reported improvements in her emotional regulation at one year follow up. This case highlights cerebellar injury as a potential cause of poorly regulated emotions, or an emotional dysmetria. The recognition of this disorder in patients with cerebellar or pontine strokes is critical, as untreated pseudobulbar affect can impact future stroke rehabilitation.","DictElement({'Year': '2023', 'Month': '12', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2023,Journal of medical case reports,10.1186/s13256-023-04294-1,PMC10722665,Case report; Cerebellum; Depression; Emotional lability; Ischemic stroke; Pseudobulbar affect,Case Reports; Journal Article,England,eng
