pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
28157747,Cardioembolic Stroke.,"O'Carroll, Cumara B; Barrett, Kevin M",O'Carroll,"Cardioembolic stroke is common and disproportionately more disabling than nonembolic mechanisms of stroke. Its incidence is expected to rise because of the age-related incidence of atrial fibrillation and an aging population. This article summarizes the different causes of cardioembolism and outlines current management guidelines. Since cardioembolic stroke is not a single disease entity, its diagnosis requires initial clinical suspicion and a comprehensive evaluation, including ECG, echocardiography, brain imaging, and cardiac monitoring. Atrial fibrillation is the most common cause of cardioembolic stroke, and anticoagulation is usually recommended. This article reviews risk stratification models to assist in the decision-making process and highlights the increased use of novel oral anticoagulants for stroke prevention in atrial fibrillation. New data support the importance of prolonged cardiac monitoring for diagnosing occult atrial fibrillation. Current data on other mechanisms of cardioembolic stroke, such as prosthetic heart valves and aortic arch atherosclerosis, are also presented, and the available evidence regarding patent foramen ovale closure in cryptogenic stroke is summarized. Cardioembolism is an important cause of ischemic stroke, with diverse underlying mechanisms requiring a tailored approach to diagnosis, management, and prevention.",{},,"Continuum (Minneapolis, Minn.)",10.1212/CON.0000000000000419,,,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Review",United States,eng
29419420,Diaphragmatic flutter.,"Walton, Dean; Bonello, Michael; Steiger, Malcolm",Walton,"A 78-year-old woman presented with involuntary movements of her abdomen, which started after a right hemispheric stroke. She had irregular, variable, hyperkinetic predominantly right-sided abdominal wall movements. MR scan of brain confirmed a recent infarct in the right occipitotemporal lobe and the right cerebellum. Diaphragmatic fluoroscopy confirmed high-frequency flutter as the cause of her abdominal movements and confirmed the diagnosis of van Leeuwenhoek's disease. Anthonie van Leeuwenhoek first described this condition in 1723 and had the condition himself. He was a Dutch businessman who is often acknowledged as the first microscopist and microbiologist. He disagreed with his physician who attributed his ailment as being of cardiac origin. Diaphragmatic flutter is a rare disorder that requires a high index of suspicion with symptoms including abnormal abdominal wall movements, dyspnoea and respiratory distress. Despite medical treatment, the patient was still highly symptomatic, so she is currently being considered for a phrenic nerve crush.","DictElement({'Year': '2018', 'Month': '02', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2018,Practical neurology,10.1136/practneurol-2017-001830,,diaphragmatic flutter; diaphragmatic myoclonus; movement disorders,Case Reports; Historical Article; Journal Article; Portrait,England,eng
35145781,Hypocalcemia-Induced Reversible Psychosis.,"Hall, Andrea; Bin Farooq, Talha; Alcaraz, Renato",Hall,"Hypocalcemia can manifest as a variety of presentations, ranging from neuromuscular irritability to seizures, and psychiatric manifestations such as emotional instability, anxiety, and depression. Here, we present a unique case of hypocalcemia-induced acute psychosis. A 24-year-old woman presented to the emergency department (ED) with confusion and agitation for four to five days. The patient was noted by the family to have decreased oral intake and sleep. Auditory and visual hallucinations prompted the family to bring the patient to the ED. The patient was mildly tachycardic. Initially, the patient was agitated, impulsive, and aggressive, exhibiting psychotic features including visual hallucinations, paranoid delusions, thought broadcasting, tangential and perseverative thought processes, and erotomanic delusions. She had mild leukocytosis and elevated procalcitonin on admission. A thorough workup ruled out infectious/inflammatory processes. Cerebrospinal fluid was negative for acute meningitis/encephalitis, autoimmune encephalitis antibodies, and paraneoplastic etiology. Thyroid-stimulating hormone was normal and thyroid antibodies were negative. The CT brain and MRI brain were unremarkable. The patient was severely hypocalcemic (6.7) with low parathyroid hormone (<6) on admission. To note, the patient has multiple endocrine neoplasia, type 2B (MEN2B). She underwent total thyroidectomy five months prior for metastatic medullary thyroid carcinoma complicated by postsurgical hypoparathyroidism. The patient had been non-compliant with calcium and calcitriol supplementation postoperatively. The patient was started on IV calcium gluconate and transitioned to calcitriol with calcium level improvement over the next three days. She experienced marked improvement, with the resolution of her psychosis. The patient's subacute onset psychosis with no personal or family psychiatric history and a rapid response to calcium correction supports hypocalcemia etiology. This case illustrates new-onset acute psychosis in a patient with calcium regulation imbalance. The development of hypocalcemia secondary to thyroidectomy with postsurgical hypoparathyroidism and calcium supplement non-compliance precipitated psychosis. A few similar cases have been reported, and here, we note that treatment of hypocalcemia promptly resolves symptoms. As per our review, this will be the first case of neuropsychiatric symptoms without associated cortical calcifications seen on imaging. It is important to recognize hypocalcemia as a rare cause of psychosis so as to not mistakenly categorize such presentations as primary psychotic disorders and miss a medically treatable illness.","DictElement({'Year': '2022', 'Month': '01', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.20874,PMC8805771,delusions; hypoparathyroidism; metabolic psychosis; reversible; s: hypocalcemia,Case Reports,United States,eng
37968851,Stroke in Tuberculous Meningitis.,"Becerra-Aguiar, Naomi Nazareth; Jiménez-Ruiz, Amado; Gutierrez-Baeza, Daniel Mateo; Aguilar-Fuentes, Victor; Ruiz-Sandoval, José Luis",Becerra-Aguiar,"A 17-year-old male presented with a 20-day history of vomiting, abdominal pain, weight loss, headache and fever progressing to dysarthria, somnolence, urinary incontinence, slurred speech, weakness, and inability to walk. Neurological examination revealed diminished visual acuity and diplopia. A head computed tomography (CT) showed acute hydrocephalus (Figure 1). Cerebrospinal fluid (CSF) analysis revealed pleocytosis (lymphocyte predominant), hypoglycorrhachia (8 mg/dL), and hyperproteinorrachia (156 mg/dL). The brain magnetic resonance imaging (MRI) revealed leptomeningitis, basal ganglia infarcts and basal meningeal enhancement highly suggestive of tuberculous meningitis (TBM) (Figure 2). We calculated a positive Thwaites score (-5) for TBM. The patient responded well to antituberculous treatment and dexamethasone. At 2 year follow-up the patient remains symptom-free. Stroke is a frequent complication of TBM and might contribute to long-term disability. Brain imaging findings, such as basal meningeal enhancement and basal exudates, hydrocephalus, and infarctions (TBM triad) are useful tools to rapidly identify probable TBM(3,4). Brain infarcts in TBM are located mostly in the arterial territory of distal branching arterires(5). Other less frequent imaging findings are tuberculomas and vasospasm. Key message: Hydrocephalus, basal meningeal enhancement, and basal ganglia infarcts should raise suspicion of tuberculosis, especially in endemic regions.",{},,Acta neurologica Taiwanica,,,,Case Reports; Journal Article,China (Republic : 1949- ),eng
38046734,Neuromyelitis Optica Spectrum Disorder.,"Cazzaniga, Juliana; Jara Silva, Cesar E; Quinonez, Jonathan; Ruxmohan, Samir; Leyva, Melissa M; Fahs, Abrahim",Cazzaniga,"Neuromyelitis optica spectrum disorder (NMOSD) is an autoimmune condition characterized by recurrent episodes of optic neuritis (ON) and transverse myelitis. This case report aims to highlight the importance of considering atypical presentations of NMOSD when confronted with MRI-detected Wernicke's encephalopathy. The primary target in NMOSD is the aquaporin-4 (AQP4) protein, predominantly located on astrocyte surfaces. Antibodies binding to AQP4 can lead to astrocyte dysfunction and damage, contributing to NMOSD's distinctive pathology. The associated immune response and inflammation can cause secondary harm to various components of the central nervous system, including oligodendrocytes and neuronal axons. This inflammatory process results in perivascular demyelination and axonal injury, further aggravating neurological deficits in NMOSD. In this case, we present a 39-year-old female with no prior medical or surgical history who sought medical attention due to a three-week history of progressive eyelid heaviness and somnolence. NMOSD is an autoimmune condition primarily targeting the AQP4 protein, resulting in recurrent ON and transverse myelitis. The patient was initially misdiagnosed with myasthenia gravis due to somnolence and ptosis. Due to concerns about myasthenia gravis due to diffuse fatigue and bilateral ptosis, the patient was initially treated with intravenous immunoglobulin (IVIG) and admitted to the neurology service. On the first day of her hospitalization, MRI with and without contrast revealed extensive, non-enhancing T2-weighted-fluid-attenuated inversion recovery (T2-FLAIR) hyperintensities surrounding the third ventricle and affecting the periaqueductal grey, medial thalami, and mammillary bodies. There was also an interval increase in T2-FLAIR hyperintensity within the right medial temporal lobe, extending more posteriorly and inferiorly, abutting the temporal horn. Subsequent CSF encephalitis panel results showed positive West Nile virus (WNV) IgG but negative WNV IgM, and AQP4 antibodies were positive. Given the high specificity of AQP4 antibodies, the patient was diagnosed with neuromyelitis optica (NMO) encephalitis. This case underscores the importance of considering atypical presentations of NMO when confronted with MRI-detected Wernicke's encephalopathy. Since our patient primarily displayed somnolence and eye-related symptoms, neither NMO nor Wernicke's encephalopathy were initially considered in the differential diagnosis. Furthermore, despite MRI findings suggestive of Wernicke's encephalopathy, it was considered less likely due to the absence of thiamine deficiency and consistent denials by family members regarding alcohol use, gastrointestinal issues, or inadequate oral intake. This case underscores the importance of considering NMOSD in patients with atypical symptoms, even when initial presentations suggest other conditions. Timely diagnosis is crucial to prevent mismanagement and improve patient outcomes. Clinicians should maintain a high level of suspicion for NMOSD, especially when MRI findings do not align with the initial diagnosis, as early recognition and treatment can significantly impact patient care and prognosis.","DictElement({'Year': '2023', 'Month': '11', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.48168,PMC10693445,autoimmune neurological disease; brain anatomy; neurology and critical care; neuromyelitis optica spectrum disorder; wernicke's encephalopathy,Case Reports,United States,eng
35432674,Traumatic carotid-cavernous fistula: A case report.,"Hamedani, Hooman; Hellmann, Daniel; Boyce, William; Alesio, Nicholas D'",Hamedani,"Direct carotid-cavernous fistulas are a rare complication of craniofacial trauma that often presents with proptosis, chemosis, and other visual symptoms. Disruption of blood flow from a carotid-cavernous fistula can cause cortical and cranial nerve ischemia which requires emergent intervention. Upon clinical suspicion of a carotid-cavernous fistula, patients should undergo computed tomography angiography (CTA) or magnetic resonance angiography (MRA), and digital subtraction angiography (DSA) if no other etiology is suspected. We present a case of a middle-aged patient with a gunshot wound in the posterior pharynx that resulted in a direct carotid-cavernous fistula of the left internal carotid artery.","DictElement({'Year': '2022', 'Month': '04', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2022,Radiology case reports,10.1016/j.radcr.2022.02.065,PMC9010516,Carotid-cavernous fistula; Craniofacial trauma; Endovascular coiling; Neurovascular angiography,Case Reports,Netherlands,eng
31732541,Case of non-alcoholic Wernicke's encephalopathy.,"Theodoreson, Mark D; Zykaite, Ausrine; Haley, Michael; Meena, Saroj",Theodoreson,"A 61-year-old obese man presented with 8-week history of nausea and occasional vomiting. He reported poor appetite and unintentional weight loss of more than 20 kg of his body mass. A week after admission, he developed double vision and unsteady gait. Neurological examination revealed isolated sixth cranial nerve palsy on the left side with horizontal nystagmus that progressed to bilateral lateral gaze palsy with normal vertical gaze. Brain MR revealed T2/fluid attenuation inversion recovery (FLAIR) high signal in mammillary bodies, tectum of the midbrain and the periaqueductal grey matter. He was diagnosed with Wernicke's encephalopathy (WE). WE is a medical emergency that carries high mortality yet can be often under-diagnosed in the non-alcoholic patient. Varied presentation and absence of alcohol dependence lowers the degree of suspicion and this was true in this case. The patient was given intravenous thiamine and made a rapid and dramatic recovery.","DictElement({'Year': '2019', 'Month': '11', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2019,BMJ case reports,10.1136/bcr-2019-230763,PMC6887470,brain stem/cerebellum; gastroenterology; neurology; nutrition and metabolism; radiology,Case Reports; Journal Article,England,eng
9090024,Tanycytic ependymoma.,"Langford, L A; Barré, G M",Langford,"Tanycytic ependymoma is an uncommon fibrillar variant of ependymoma characterized by streams of piloid, or hair-like, cells having ""ependymal"" nuclei. True ependymal rosettes are absent, and perivascular rosettes are inconspicuous. Misinterpretation as schwannoma or astrocytoma is a diagnostic problem and well-documented cases are scarce. The purpose of this report is to document the ependymal features of the neoplasm and to increase awareness of the entity's existence. Biopsy tissues from three patients with tanycytic ependymoma were examined. All tumors consisted of sheets of spindle cells that were positive for glial fibrillary acidic and S-100 proteins. Ultrastructural examination showed characteristic ependymal features, including intracytoplasmic intermediate filaments, prominent intercellular junctions, numerous slender surface microvilli, and microvilli-lined lumina. Accurate recognition of the ependymal nature of this spindle neoplasm requires a high index of suspicion. Because the spindle cells are immunoreactive with antibodies to both glial fibrillary acidic and S-100 proteins, ultrastructural confirmation of ependymal features is necessary.",{},,Ultrastructural pathology,10.3109/01913129709021312,,,Case Reports; Journal Article,England,eng
12376918,Demyelinating pseudotumor.,"Erana-Rojas, Irma E; Barboza-Quintana, Alvaro; Ayala, Alberto G; Fuller, Gregory N",Erana-Rojas,"Demyelinating disease presenting as a solitary contrast-enhancing mass poses a diagnostic challenge for both radiologists and surgical pathologists. We report the cases of two female patients, aged 23 and 37 years, who exhibited the clinical and radiologic features of a space-occupying mass strongly suggestive of neoplasia. In both patients, magnetic resonance imaging showed a ring-enhancing parietal lesion. Intraoperative frozen sections in both patients displayed histologic features strongly suggestive of a glial neoplasm, including marked hypercellularity, a prominent astrocytic component, and easily identifiable mitotic figures. However, permanent sections showed additional and helpful histologic findings that included Creutzfeldt astrocytes and granular mitoses. Subsequent immunostaining showed that the hypercellularity was principally caused by macrophage infiltration (HAM-56 and CD68) and an associated reactive astrocytosis (glial fibrillary acidic protein). Additional confirmatory tests included special stains for myelin (Luxol-fast-blue), which demonstrated focal, sharply marginated loss of myelin, and for axons (silver stain for axons and neurofilament protein immunohistochemistry), which showed relative preservation of axons in areas of myelin loss. Together, the special stains confirmed the demyelinating nature of the lesions. The keys to avoiding misdiagnosing a demyelinating pseudotumor as a diffuse glioma include a general awareness of this potential pitfall, including the radiologic appearance of demyelinating pseudotumors as contrast-enhancing solitary masses that mimic tumor; knowledge of the characteristic histologic features, including Creutzfeldt astrocytes and granular mitoses; and a high index of suspicion for macrophage infiltration combined with a willingness to use appropriate confirmatory immunohistochemical studies in suspicious or uncertain cases. This approach will minimize the chance of misdiagnosis and subsequent use of inappropriate and deleterious therapies.",{},,Annals of diagnostic pathology,10.1053/adpa.2002.35737,,,Case Reports; Journal Article,United States,eng
26566040,Bilateral Paramedian Thalamic Infarction.,"Hawkes, Maximiliano A; Arena, Julieta E; Rollán, Cecilia; Pujol-Lereis, Virginia A; Romero, Carlos; Ameriso, Sebastián F",Hawkes,"Rarely, both paramedian thalami receive arterial blood flow from a single unilateral vessel arising from the first segment of 1 posterior cerebral artery. This artery has received the name of artery of Percheron (AP). There is no consensus regarding the true prevalence of this anatomical variant. Bilateral paramedian thalamic infarcts are uncommon (0.1% to 2% of ischemic strokes). The main cause is the occlusion of the AP due to cardioembolism. Diffusion-weighted magnetic resonance imaging demonstrates the lesion in the acute setting. From September 2004 to October 2011, we identified 5 patients who had bilateral paramedian thalamic infarcts. We describe clinical findings and diagnostic imaging patterns observed in these cases and review the literature. Three men and 2 women with bilateral paramedian thalamic infarction probably due to occlusion of AP are described. Mean age at presentation was 58±24 years. Magnetic resonance imaging showed the lesion in all patients. Four patients presented loss of consciousness as initial symptom. Only 1 patient evidenced mesencephalic extension of the infarct on magnetic resonance imaging, although 4 presented abnormal ocular signs. No patients received intravenous thrombolisis because of delayed diagnosis. All patients were discharged home. A 90-year-old woman recovered completely and the other 4 subjects persisted with cognitive symptoms and gaze abnormalities. Clinical presentation and imaging patterns described in this group of patients were similar to published data. High level of suspicion based on clinical and imaging findings is essential for early diagnosis of this rare condition. None of our patients had an early diagnosis of acute ischemic stroke and received proper thrombolytic treatment.",{},,The neurologist,10.1097/NRL.0000000000000047,,,Case Reports; Journal Article; Review,United States,eng
