pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
23385699,Sleep and comorbid neurologic disorders.,"Watson, Nathaniel F; Viola-Saltzman, Mari",Watson,"An understanding of the impact of sleep on neurologic disorders, and the impact of neurologic disorders on sleep, provides fresh opportunities for neurologists to improve the quality of life and functioning of their patients. Sleep-disordered breathing (SDB) is a risk factor for cerebrovascular disease and should be considered in all TIA and stroke patients. Sleep disorders can amplify nociception and worsen headache disorders; and some headaches, including those related to SDB and hypnic headache, are sleep specific. REM sleep behavior disorder may be an early sign of neurodegenerative disease. Focal lesions of almost any etiology (eg, multiple sclerosis and CNS malignancies) in the hypothalamus, basal forebrain, or brainstem may result in sleep disturbance, sleepiness, and insomnia. Sleep-related hypoventilation and fatigue are common in neuromuscular disease. SDB and epilepsy are mutually facilitatory, and poor sleep can exacerbate epilepsy. Continued surveillance for sleep disorders by neurologists is rewarded by new treatment avenues in their patients with the possibility of improved clinical outcomes.",{},,"Continuum (Minneapolis, Minn.)",10.1212/01.CON.0000427208.13553.8c,,,Case Reports; Journal Article; Review,United States,eng
8353678,Thalamo-frontal psychosis.,"McGilchrist, I; Goldstein, L H; Jadresic, D; Fenwick, P",McGilchrist,"A 43-year-old man presented with an 18-month history of acute-onset cyclical behavioural change affecting mood, appetite, sleep, and energy levels. This had followed an initial episode of transient drowsiness which lasted 24 hours. On examination, there was some evidence of visual memory and frontal lobe deficits. A brain CT scan showed bilateral thalamic infarcts and a brain SPECT scan showed bilateral hypoperfusion of the frontal lobes. To our knowledge, this is the first reported case of thalamic infarction associated with acute-onset cyclical affective psychosis with clinical and neurophysiological features of frontal lobe syndrome. The case also highlights the possible role of thalamo-frontal circuits in the pathogenesis of the Kleine-Levin syndrome.",{},,The British journal of psychiatry : the journal of mental science,10.1192/bjp.163.1.113,,,Case Reports; Journal Article,England,eng
1779254,Peduncular hallucinations.,"Kölmel, H W",Kölmel,Peduncular hallucinations usually present as visual disorders and are often genuine hallucinations associated with thalamic and/or mesencephalic lesions. In this case report we describe the clinical findings in a patient with hallucinations. Magnetic resonance imaging demonstrated bilateral ischaemic lesions in the thalamus and in the mesencephalon. The pathogenesis of hallucinations in these disorders is discussed in the light of the findings provided by imaging techniques.,{},,Journal of neurology,10.1007/BF00314654,,,Case Reports; Journal Article,Germany,eng
21570037,Managing sleepiness after traumatic brain injury.,"Greenwald, Brian; Lombard, Lisa A; Watanabe, Thomas K",Greenwald,,{},,"PM & R : the journal of injury, function, and rehabilitation",10.1016/j.pmrj.2011.04.010,,,Case Reports; Editorial,United States,eng
34861213,Fatal Wernicke's Encephalopathy with Cardiovascular Involvement in a Young Psychiatric Patient.,"Ahmad, Soban; Ikram, Sundus; Dunn, Bryan K",Ahmad,"Wernicke's encephalopathy (WE) is an acute neurological disorder caused by thiamine deficiency that is frequently missed in non-alcoholic patients. Coma and cardiomyopathy are uncommon presentations of WE that have been rarely reported in the literature. We report the case of a 36-year-old male with a known history of schizophrenia who presented with coma and vasopressor refractory hypotension. Initial computed tomography (CT) of the head at admission was unremarkable. Transthoracic echocardiogram showed diffuse myocardial hypokinesia with a left ventricular ejection fraction of 40-45%. Due to persistent encephalopathy, a repeat non-enhanced CT head was obtained on the second day of hospital admission followed by magnetic resonance imaging (MRI) of brain that showed findings suggestive of WE. The patient was immediately started on high-dose intravenous (IV) thiamine therapy. Although his hemodynamic parameters significantly improved following thiamine replacement, he did not show signs of neurological recovery and resulted in a dismal outcome. This case illustrates the importance of early recognition of thiamine deficiency in critically ill patients to prevent fatal outcomes. Immediate parenteral thiamine administration should be considered in all patients presenting with coma, cardiomyopathy, and refractory hypotension regardless of their body mass index, and alcohol use status.","DictElement({'Year': '2021', 'Month': '12', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2021,The American journal of the medical sciences,10.1016/j.amjms.2021.10.015,,Cardiomyopathy; Coma; Schizophrenia; Wernicke's encephalopathy,Case Reports; Journal Article; Review,United States,eng
864483,Symptomatic cataplexy.,"Anderson, M; Salmon, M V",Anderson,"The case is described of a man who developed attacks of cataplexy, narcolepsy, and sleep paralysis because of microglioma which infiltrated the walls and floor of the IIIrd ventricle and the upper brain stem. The mechanisms by which the pathology is related to the symptoms are discussed.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.40.2.186,PMC492636,,Case Reports; Journal Article,England,eng
38701719,Anti-IgLON5 disease as a differential diagnosis of multiple system atrophy.,"Ono, Yoya; Tadokoro, Koh; Yunoki, Taijun; Yamashita, Toru; Sato, Daisuke; Sato, Hiroyasu; Akamatsu, Shintaro; Mizukami, Heisuke; Ohta, Yasuyuki; Yamano, Yoshihisa; Kimura, Akio; Shimohata, Takayoshi",Ono,"Anti-immunoglobulin-like cell adhesion molecule 5 (IgLON5) disease is a rare autoimmune encephalitis that can mimic progressive supranuclear palsy or corticobasal syndrome. Moreover, anti-IgLON5 disease can present with symptoms characteristic of multiple system atrophy (MSA), such as cerebellar ataxia and autonomic dysfunction. However, the clinical features of anti-IgLON5 disease resembling MSA have not been well established. We enrolled 35 patients with suspected MSA for whom anti-IgLON5 antibody tests were requested. We evaluated immunoglobulin G (IgG) against IgLON5 using cell-based assays. We also summarized the clinical characteristics of patients who were positive for anti-IgLON5 antibodies. We identified serum and cerebrospinal fluid anti-IgLON5 antibodies in three patients. These patients had many clinical features characteristic of MSA, including parkinsonism, cerebellar ataxia, severe orthostatic hypotension, acute respiratory failure, sleep parasomnia, vocal cord paralysis, and pyramidal tract signs. Clinical features atypical for MSA were myorhythmia, horizontal eye movement restriction, fasciculations, and painful muscle cramps. Anti-IgLON5 disease may be an important differential diagnosis of MSA. A comprehensive physical examination, including assessments of eye movement, lower motor neuron signs, and atypical involuntary movements, is important to avoid misdiagnosis.","DictElement({'Year': '2024', 'Month': '04', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2024,Parkinsonism & related disorders,10.1016/j.parkreldis.2024.106992,,Anti-IgLON5 disease; Multiple system atrophy; Orthostatic hypotension; Vocal cord paralysis,Journal Article; Case Reports,England,eng
34997739,A case of reversible aphasia-type speech disorders after treatment with quetiapine.,"Szczygieł-Pilut, Elżbieta; Pilut, Daniel",Szczygieł-Pilut,"The study presents a case of a 64-year-old patient with diagnosed Parkinson's disease and coexisting REM sleep disorders (RBD) confirmed in a polysomnographic examination. In this patient, the use of supplementary therapy - quetiapine (50mg/daily) - due to psychotic disorders, resulted in speech disorders with sensory-motor mixed aphasia type. Aphasia occurred on the fourth day after beginning the treatment with atypical neuroleptic. In MRI examination of the head, no ""fresh"" cerebral ischemia was found. No focal status epilepticus was reported in the video EEG trial. Results. Complete cure occurred after discontinuation of quetiapine administration. Conclusions. Due to the above, the side-effects of quetiapine treatment were assumed as the cause of focal neurological disorders.","DictElement({'Year': '2021', 'Month': '10', 'Day': '31'}, attributes={'DateType': 'Electronic'})",2021,Psychiatria polska,10.12740/PP/OnlineFirst/115218,,aphasia; quetiapine; side-effects,Case Reports,Poland,eng; pol
9633748,Cefuroxime-induced encephalopathy.,"Herishanu, Y O; Zlotnik, M; Mostoslavsky, M; Podgaietski, M; Frisher, S; Wirguin, I",Herishanu,"We describe four patients who developed an encephalopathic syndrome characterized by obtundation or stupor, myoclonic jerks, and asterixis in association with cefuroxime therapy. Three patients had renal failure. These cases suggest that cefuroxime in overdose or in conventional doses in patients with renal failure can cause a reversible encephalopathy. This syndrome may have been unrecognized because it usually occurs in severely ill patients with additional causes for encephalopathy.",{},,Neurology,10.1212/wnl.50.6.1873,,,Case Reports; Journal Article,United States,eng
33380716,Isolated Pulvinar/Hockey Stick Sign in Nonalcoholic Wernicke's Encephalopathy.,"Khan, Faisal; Sharma, Neha; Ud Din, Moin; Bansal, Vivek",Khan,"BACKGROUND Wernicke's encephalopathy (WE), a commonly misdiagnosed and underdiagnosed pathology, presents with altered mental status, ataxia, and ophthalmoplegia. WE is most commonly caused by excessive alcohol use, but also has diverse nonalcoholic etiologies. Here we describe 2 cases of nonalcoholic WE with different etiologies that were initially misdiagnosed due to lack of correlation of magnetic resonance imaging (MRI) findings with clinical information. CASE REPORT Patient A, a 50-year-old woman with recent gastric sleeve surgery, presented with horizontal gaze-evoked nystagmus, ataxia, and altered mental status. MRI fluid-attenuated inversion recovery (FLAIR) revealed isolated bilateral, symmetrical, thalamic hyperintensities, initially diagnosed as variant Creutzfeldt-Jakob disease. A review of imaging and clinical presentation provided an alternate diagnosis of nonalcoholic WE secondary to nutritional deficiency. Intravenous (IV) thiamine improved symptoms with resolution of MRI findings 6 months later. Patient B, a 64-year-old woman, presented with nausea, vomiting, dizziness, altered mental status, and weight loss. MRI FLAIR revealed isolated bilateral, symmetrical, thalamic hyperintensities, initially determined to be ischemia, prompting stroke management. A diagnosis of nonalcoholic WE was suggested, given the patient's low thiamine levels and history of malnutrition, and was confirmed by her excellent therapeutic response to IV thiamine. CONCLUSIONS Nonalcoholic WE remains a challenging diagnosis because of the variable clinical presentation, myriad of underlying etiologies, and lack of standardized diagnostic laboratory tests. A multidisciplinary approach with close collaboration between the radiologist and clinical care team is critical to narrow down the differential and initiate correct management. WE is a reversible disease with catastrophic consequences if it is not recognized and treated promptly.","DictElement({'Year': '2020', 'Month': '12', 'Day': '31'}, attributes={'DateType': 'Electronic'})",2020,The American journal of case reports,10.12659/AJCR.928272,PMC7784713,,Case Reports; Journal Article; Review,United States,eng
