pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34334283,Sporadic Creutzfeldt-Jakob disease.,"Salehi, Parnia; Clark, Mark; Pinzon, Jeffer; Patil, Abhijit",Salehi,"Being considered among the most fatal neurological conditions, Creutzfeldt-Jakob disease is a transmissible spongiform encephalopathy characterized by its unknown etiology and rapidly progressive neurodegenerative symptoms that often lead to a mean survival of 6 to 12 months. The accumulation of the prionic protein causes brain matter degeneration, which leads to a set of clinical findings that include rapidly progressive dementia, myoclonus, tremors, cerebellar ataxia, and extrapyramidal signs. This clinical presentation is non-specific, which makes CJD a very difficult condition to diagnose, due to the low level of clinical suspicion. However, combining this clinical presentation with neuroimaging, a lumbar puncture and an encephalogram will help us make the correct diagnosis. We present the case of a 57-year-old male presenting to the Emergency department with complaint of personality change and intermittent memory loss. The patient's physical exam was significant for resting pill roll tremor, bilateral cogwheel rigidity, dysmetria, and shuffling gait. Magnetic resonance imaging of his brain showed symmetric bilateral diffusion signal abnormality involving the cortex, bilateral caudate heads and putamina. Continuous electroencephalogram revealed multiple bifrontal delta discharges with triphasic morphology. Lumbar puncture was significant for presence of 14-3-3 protein in cerebrospinal fluid. The multiple examinations performed in conjunction with the previous findings supported the diagnosis of acute encephalopathy secondary to sporadic CJD.","DictElement({'Year': '2021', 'Month': '07', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2021,The American journal of emergency medicine,10.1016/j.ajem.2021.07.038,,Creutzfeldt-jakob disease; Neurology; Parkinsonism,Case Reports; Journal Article,United States,eng
35711403,Neurosyphilis: A Monkey Among Men.,"Rowe, Cameron; Buckley, Nathan; Chhetri, Bhaskar; Paudel, Suresh",Rowe,"Neurosyphilis is the progression of the untreated sexually transmitted infection caused by <i>Treponema pallidum</i>. When the initial infection is not adequately treated, progression of primary syphilis can lead to a wide variety of serious health sequelae. While neurosyphilis can appear up to 10-30 years after the initial infection, syphilis can invade the nervous systemat any stage of infection and can imitate symptoms of many other diseases. This variety of symptoms is why syphilis has been called ""The Great Pretender"" or ""Themonkey among diseases""(Krämer et al., 2018).12 This is a case report of an 83-year-old female with a history of multiple TIAs, dementia, and breast cancer who presented to the emergency department with complaints of her head ""not feeling right"" and intermittent ataxia (episodes of imbalance and difficulty ambulating) reported by patient and patients' son. Physical exam only pertinent for chronic shuffling gait, but no ataxia. The patient underwent further work-up, demonstrating negative brain imaging for cerebral vascular accident and laboratory findings negative initially, for acute infection. An RPR was drawn as part of an broadened altered mental status workup as the patient and family stated she was not back to baseline mental status and was positive with a quantitative titer of 1:8. Fluorescent treponemal antibody absorption (FTA-ab) was found to be positive as well. The patient was started on three million units intravenous Penicillin G every 4 h and was discharged with a peripherally inserted central catheter in order to receive two weeks of Rocephin at two grams daily. Patient returned to prior baseline following completion of treatment. Through this case, we hope to provide information on neurosyphilis and its differentiation from other disease processes and when neurosyphilis should be suspected during an evaluation of altered mental status.","DictElement({'Year': '2022', 'Month': '05', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2022,Journal of community hospital internal medicine perspectives,10.55729/2000-9666.1055,PMC9195079,FTA-ab; Neurology; Neurosyphilis; Primary syphilis; Secondary syphilis; Syphilis; Tertiary syphilis; Treponema; Treponema pallidum,Case Reports,United States,eng
26675758,Cerebral hemorrhage due to tuberculosis meningitis: a rare case report and literature review.,"Zou, Hai; Pan, Ke-Hua; Pan, Hong-Ying; Huang, Dong-Sheng; Zheng, Ming-Hua",Zou,"Tuberculosis (TB) is a common disease to threaten human health. TB of the central nervous system (CNS) is rare but the most serious type of systemic TB because of its high mortality rate, serious neurological complications and sequelae. In this case report, we describe a woman who presented with walking instability, intracerebral hemorrhage and leptomeningeal enhancement due to tuberculosis meningitis. The patient had no significant medical history and the initial clinical symptoms were walking instability. On analysis, the cerebrospinal fluid was colorless and transparent, the pressure was more than 400 mm H2O, there was lymphocytic pleocytosis, increased protein, and decreased glucose levels present. No tuberculosis or other bacteria were detected. The patient's brain computed tomography image showed intra-cerebral hemorrhage (ICH) and contrast magnetic resonance imaging showed ICH in the right frontal lob, and leptomeningeal enhancement. CNS TB is rare but has a high mortality rate. As this disease has no unique characteristics at first presentation such as epidemiology and obvious clinical manifestation, a diagnosis of CNS TB remains difficult.",{},,Oncotarget,10.18632/oncotarget.6528,PMC4792608,central nervous system; intracerebral hemorrhage; leptomeningeal enhancement; tuberculosis meningitis,Case Reports; Journal Article; Review,United States,eng
36631966,A neglected symptom? Parietal gait lateropulsion as primary manifestation of acute is-chemic stroke.,"Castillo-Torres, S A; Soto-Rincón, C A; Gil-Valadez, A H; Chávez-Luévanos, B E; Góngora-Rivera, F",Castillo-Torres,"Gait disorders are commonly overlooked as a presenting manifestation of stroke and underrepresented in case series. We describe four cases of sudden-onset gait lateropulsion as primary manifestation of parietal lobe stroke. Four patients presented after sudden-onset gait lateropulsion. On neurological examination, all patients had at least one cortical sensory deficit and wide-based gait with lateropulsion towards the side of the cortical deficit. Neuroimaging revealed a subacute parietal lobe stroke contralateral to the side of gait lateropulsion. In two patients we found bilateral lateropulsion with predominance towards the side of cortical deficit and increase of unsteadiness with eye closure (an apparent Romberg sign), with neuroimaging revealing bilateral parietal strokes (subacute contralateral and chronic ipsilateral to gait lateropulsion). We report gait lateropulsion as a novel primary manifestation of acute stroke of the parietal lobe (parietal gait lateropulsion). Given its role as the destination of proprioceptive pathways, parietal strokes can result in gait lateropulsion, with bilateral lesions even mimicking sensory ataxia with bilateral lateropulsion and unsteadiness upon eye closure.",{},,Revista de neurologia,10.33588/rn.7602.2021349,PMC10364037,,Case Reports,Spain,eng; spa
15658108,Cerebellopontomandibular vascular malformation: a rare type of cerebrofacial arteriovenous metameric syndrome. Case report.,"Kang, Hyun-Seung; Han, Moon Hee; Kwon, Bae Ju; Yoon, Byung-Woo; Chang, Kee-Hyun",Kang,"The concept of a cerebrofacial arteriovenous metameric syndrome (CAMS) recently has been posited. A 22-year-old woman presented with gait ataxia. She had unilateral angiomatous lesions involving the lower face, the auricle, and the retromastoid area, as well as the tongue on the right side. Angiography revealed the presence of extensive arteriovenous malformations (AVMs) in the ipsilateral cerebellum and pons, in addition to those located in the facial region. The authors report a case of multiple AVMs of the face, cerebellum, and pons, corresponding to CAMS Type 3, and include a review of the literature.",{},,Journal of neurosurgery,10.3171/jns.2005.102.1.0156,,,Case Reports; Journal Article; Review,United States,eng
33203280,Body lateropulsion as the primary manifestation of medulla oblongata infarction: a case report.,"Li, Hui; Wei, Na; Zhang, Lu; Liu, Xiuli; Han, Jingzhe",Li,"Isolated body lateropulsion is a possible predominant manifestation of medulla oblongata infarction, and can occur without vestibular and cerebellar symptoms. However, it is relatively rare and challenging to diagnose. A 67-year-old woman was admitted to the Harris International Peace Hospital complaining mainly of instability when standing and walking for the previous 8 hours. Based on the neural localization and multiple head magnetic resonance imaging (MRI) examinations, a diagnosis of cerebral infarction (vertebrobasilar system) was made. Consequently, the patient was managed using therapy aimed at preventing platelet aggregation, lowering plasma lipids, stabilizing plaques, protecting mitochondria, and improving circulation and brain function. The patient's gait improved and she was discharged after 14 days because she was able to walk unaided. The patient was followed up for 6 months and had no noticeable undesirable side effects or signs of neurological deficits. The possibility of lateral medulla oblongata infarction should be considered when patients present with isolated body lateropulsion, without other signs or symptoms of brainstem damage.",{},,The Journal of international medical research,10.1177/0300060520970773,PMC7682223,Infarction; body lateropulsion; diffusion-weighted imaging; instability; localization analysis; medulla oblongata; vestibular system,Case Reports; Journal Article,England,eng
35027380,Structural disconnectome analysis of acute freezing of gait due to parietal stroke: implications for FOG pathogenesis.,"Ferreira, Axel; Coelho, Paulo Simões; Alves, Pedro Nascimento; Carvalho, Vanessa",Ferreira,"Acute onset isolated freezing of gait (FOG) is a rare and defying diagnosis. Its pathophysiology is not yet totally understood and several brain regions seem to be involved. Postlesional FOG can help to shed light on the networks involved.We report a case of an 80-year-old woman who presented to the emergency department with acute onset impairment of gait. Her medical history was unremarkable. On neurological examination she was presented with difficulties in gait initiation, turning and progressing through narrow spaces. Her remaining neurological examination was unremarkable. Brain CT showed a subacute cortico-subcortical right parieto-occipital infarction. Acute isolated FOG due to parieto-occipital stroke was diagnosed. A structural disconnectome analysis showed that the lesion disrupted structural connections with the ipsilateral ventral striatum. This case highlights that acute onset FOG might be a consequence of a parietal cortical lesion.","DictElement({'Year': '2022', 'Month': '01', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2022,BMJ case reports,10.1136/bcr-2021-245972,PMC8762131,movement disorders (other than parkinsons); stroke,Case Reports; Journal Article,England,eng
36059295,Urothelial Carcinoma of the Bladder With Primary Metastasis to the Brain: A Case Report and Literature Review.,"Sankhyan, Madhav; Anderson, Evan M; Urquiaga, Jorge F; Hockman, Jakob T; Aggarwal, Ruchy; El Tecle, Najib E; Mercier, Philippe J",Sankhyan,"Brain metastases are the most common type of brain tumor in adults, commonly arising from primary tumor sites of the lung, breast, skin (melanoma), colon, and kidney. Isolated central nervous system (CNS) metastasis arising from urothelial carcinoma (UC) is a rare presentation yielding a poor prognosis. A 71-year-old male patient with a history of urothelial carcinoma, treated one year prior with partial cystectomy and adjuvant gemcitabine and cisplatin (GC) therapy, presented with worsening neurological symptoms, including progressively worsening dizziness, shuffling gait, drifting, expressive aphasia, and confusion. MRI revealed a left frontal 4.0 x 3.6 cm brightly contrast-enhancing tumor with possible hemorrhage, extensive vasogenic edema, and moderate mass effect. An additional smaller right cerebellar lesion was also noted. Outpatient CT of his chest, abdomen, and pelvis revealed no evidence of other malignant sites. He ultimately underwent a left craniotomy with a total resection of his left frontal mass. Pathological examination revealed a urothelial primary. Post-operative MRI revealed complete resection of the left frontal mass and the patient was discharged with no neurologic deficits on exam. In many cases, brain metastases may present years later following initial therapy of UC as the CNS may act as a sanctuary site during systemic chemotherapy. Chemotherapeutics such as gemcitabine with better penetration of the blood-brain barrier may be beneficial in delaying the onset of these metastases.","DictElement({'Year': '2022', 'Month': '08', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.27587,PMC9433789,cerebral metastasis; isolated brain metastasis; metastatic brain tumors; neurosurgery oncology; transitional cell carcinoma; urothelial malignancy,Case Reports,United States,eng
28659126,Paroxysmal freezing of gait in a patient with mesial frontal transient ischemic attacks.,"Hwang, Hee Won; Lee, Seung Ha; Lyoo, Chul Hyoung; Lee, Myung Sik",Hwang,"Rare patients have been reported who developed a mixture of gait disturbances following a focal lesion in the frontal lobe. Thus, the exact location of frontal lesion responsible for a specific gait disturbance is not well defined. We describe a 47-year-old man who experienced two episodes of paroxysmal freezing of gait of the right leg. During the attacks, he had no motor weakness, sensory change, or disequilibrium. He had past history of panic attacks. Recently, he had been under severe emotional stress. T2 and diffusion brain magnetic resonance imaging scans were normal. So far, the most likely clinical diagnosis might be functional freezing of gait. However, magnetic resonance angiography showed atherosclerosis in the proximal left anterior cerebral artery. Perfusion scans showed a delayed mean transit time in the left mesial frontal lobe. He developed two more attacks during the four months of follow up. The presented case illustrates that the mesial frontal lobe may be important in the pathophysiology of freezing of gait. We speculate that the supplementary motor area may generate a neuronal command for the initiation of locomotion that in our case may have been inhibited by a transient ischemia.","DictElement({'Year': '2017', 'Month': '06', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2017,BMC neurology,10.1186/s12883-017-0901-7,PMC5490189,Freezingof gait; Locomotor block; Mesial frontal lobe; Transient ischemic attack,Case Reports; Journal Article,England,eng
22434422,Delayed recovery of gait function in a patient with intracerebral haemorrhage.,"Kwon, Hyeok; Jang, Sung Ho",Kwon,"We report here on a patient with intracerebral haemorrhage (ICH), who showed unusually delayed motor recovery of the leg, which started at 6 months after ICH onset. A 53-year-old man underwent craniotomy and drainage for a right putaminal ICH. The patient presented with complete paralysis of the left extremities at ICH onset. Despite having undergone rehabilitation starting at 7 weeks after onset, the patient did not show significant motor recovery of the left extremities until 6 months after onset, when the affected left leg began to show motor recovery to the point that he was able to extend his hip and knee without gravity 7 months after onset. As a result, he was able to walk independently on an even floor 9 months after onset. On 6-month diffusion tensor tractography, the right corticospinal tract showed disruption with Wallerian degeneration to the pontomedullary junction. This case study highlights the extensive potential for the human brain to aid in the recovery of walking after injury. In conclusion, clinicians should attempt to determine the causes of difficulty walking when examining patients with ICH and then perform intensive rehabilitation for the recovery of walking.",{},,Journal of rehabilitation medicine,10.2340/16501977-0962,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Sweden,eng
