pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33647851,Auditory agnosia with anosognosia.,"Klarendić, Maja; Gorišek, Veronika R; Granda, Gal; Avsenik, Jernej; Zgonc, Vid; Kojović, Maja",Klarendić,"A 66-year-old right-handed female medical doctor suffered two consecutive cardioembolic strokes, initially affecting the right frontal lobe and the right insula, followed by a lesion in the left temporal lobe. The patient presented with distinctive phenomenology of general auditory agnosia with anosognosia for the deficit. She did not understand verbal requests and her answers to oral questions were fluent but unrelated to the topic. However, she was able to correctly answer written questions, name objects, and fluently describe their purpose, which is characteristic for verbal auditory agnosia. She was also unable to recognise environmental sounds or to recognise and repeat any melody. These inabilities represent environmental sound agnosia and amusia, respectively. Surprisingly, she was not aware of the problem, not asking any questions regarding her symptoms, and avoiding discussing her inability to understand spoken language, which is indicative of anosognosia. The deficits in our patient followed a distinct pattern of recovery. The verbal auditory agnosia was the first to resolve, followed by environmental sound agnosia. Amusia persisted the longest. The patient was clinically assessed from the first day of symptom onset and the evolution of symptoms was video documented. We give a detailed account of the patient's behaviour and provide results of audiological and neuropsychological evaluations. We discuss the anatomy of auditory agnosia and anosognosia relevant to the case. This case study may serve to better understand auditory agnosia in clinical settings. It is important to distinguish auditory agnosia from Wernicke's aphasia, because use of written language may enable normal communication.","DictElement({'Year': '2021', 'Month': '02', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2021,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2020.12.025,,Amusia; Anosognosia; Auditory agnosia; Environmental sound agnosia; Verbal auditory agnosia,Case Reports,Italy,eng
2375977,Subcortical auditory agnosia.,"Kazui, S; Naritomi, H; Sawada, T; Inoue, N; Okuda, J",Kazui,"A case of generalized auditory agnosia without aphasia secondary to cardiogenic cerebral embolism is reported. The infarcts in this patient were localized within the bitemporal subcortices as confirmed by computerized axial tomography and magnetic resonance imaging. The findings suggested that interruption of both auditory radiations by bilateral subcortical lesions may play an important role in the occurrence of ""cerebral auditory disorders.""",{},,Brain and language,10.1016/0093-934x(90)90132-z,,,Case Reports; Journal Article,Netherlands,eng
28506806,Selective associative phonagnosia after right anterior temporal stroke.,"Luzzi, Simona; Coccia, Michela; Polonara, Gabriele; Reverberi, Carlo; Ceravolo, Gabriella; Silvestrini, Mauro; Fringuelli, Fabio; Baldinelli, Sara; Provinciali, Leandro; Gainotti, Guido",Luzzi,"We report the case of a 48 year old men who developed a selective impairment in famous voice recognition after ischemic stroke in right subcortical structures (lenticular nucleus and head of the caudate) and right anterior temporal lobe. He underwent fibrinolytic treatment. During the following days he progressively recovered and was discharged without neurological focal sign. Patent foramen ovale was found. When he got back to his house he noticed that he was unable to recognize the voice of his favoured singers and needed to ask who was the singer to his relatives. Neuropsychological examination revealed a selective impairment in famous voice recognition in the absence of alteration of voice perception, face perception and famous face recognition. All other neuropsychological domains were spared. In particular language, memory and executive functions were intact. Neuroimaging carried out by means of PET and MRI revealed two small ischemic lesions in the right subcortical region, involving lenticular and caudate nuclei and in the right temporal pole. To our knowledge, this is the first case described in literature of a patient showing a selective associative phonagnosia after right anterior temporal stroke. The present case helps to clarify the brain circuits underlying famous voice recognition and adds evidence in favour of a right hemisphere involvement in processing knowledge of familiar voices. These findings are discussed in relation to current models of brain organization of person-specific and general semantic knowledge.","DictElement({'Year': '2017', 'Month': '05', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2017,Neuropsychologia,10.1016/j.neuropsychologia.2017.05.016,,Associative phonagnosia; Famous voice recognition; Right temporal pole,Case Reports; Journal Article,England,eng
32386850,Cortical deafness of following bilateral temporal lobe stroke.,"Silva, Júlia; Sousa, Marisa; Mestre, Susana; Nzwalo, Isa; Nzwalo, Hipólito",Silva,"Cortical deafness is an extremely rare clinical manifestation that originates mainly from bilateral cortical lesions in the primary auditory cortex. Its main clinical manifestation is the bilateral sudden loss of hearing. Diagnosis is difficulty due to its rarity and similarity with other language and communication disorders, such as Wernicke's aphasia, auditory agnosia or verbal deafness. Herein, we present a case report of a young woman with a sudden bilateral loss of auditory comprehension. Initially, a psychiatric nature of the disorder was considered, but the persistence of the symptoms, lead to the diagnosis of cortical deafness secondary to bilateral ischemic lesions in both temporal lobes. Progressive improvement occurred and three months after the initial manifestations she manifested pure verbal deafness. Cortical deafness usually has a poor functional prognosis, with limited therapeutic options. Rehabilitation and speech therapy is recommended to improve the chance of patients achieving communication skills.","DictElement({'Year': '2020', 'Month': '05', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2020,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,10.1016/j.jstrokecerebrovasdis.2020.104827,,Auditory agnosia; Auditory cortex; Cortical deafness; Stroke; Verbal deafness,Case Reports,United States,eng
18765243,Developmental phonagnosia: a selective deficit of vocal identity recognition.,"Garrido, Lúcia; Eisner, Frank; McGettigan, Carolyn; Stewart, Lauren; Sauter, Disa; Hanley, J Richard; Schweinberger, Stefan R; Warren, Jason D; Duchaine, Brad",Garrido,"Phonagnosia, the inability to recognize familiar voices, has been studied in brain-damaged patients but no cases due to developmental problems have been reported. Here we describe the case of KH, a 60-year-old active professional woman who reports that she has always experienced severe voice recognition difficulties. Her hearing abilities are normal, and an MRI scan showed no evidence of brain damage in regions associated with voice or auditory perception. To better understand her condition and to assess models of voice and high-level auditory processing, we tested KH on behavioural tasks measuring voice recognition, recognition of vocal emotions, face recognition, speech perception, and processing of environmental sounds and music. KH was impaired on tasks requiring the recognition of famous voices and the learning and recognition of new voices. In contrast, she performed well on nearly all other tasks. Her case is the first report of developmental phonagnosia, and the results suggest that the recognition of a speaker's vocal identity depends on separable mechanisms from those used to recognize other information from the voice or non-vocal auditory stimuli.","DictElement({'Year': '2008', 'Month': '08', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2008,Neuropsychologia,10.1016/j.neuropsychologia.2008.08.003,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
35051711,False recognition/misidentification of unfamiliar person after cerebral infarction: A case report.,"Sugahara, Yumiko; Iizuka, Chiaki; Doi, Kazuya; Matsuzaki, Kenichiro; Nagaoka, Masanori",Sugahara,"An 84-year-old man manifested false recognition/misidentification of unfamiliar person after cardiogenic cerebral infarction. He had good visual and hearing acuity, no hemianopsia, unilateral spatial neglect and visual object agnosia. However, he was unable to remember faces of his rehabilitation therapists, and repeatedly misidentified other patients' visitors and therapists as his family members and friends, without recognizing his mistakes. General cognitive function was preserved with Hasegawa dementia score-revised (HDS-R) 25/30 (cut-off score 20). In terms of recognition of faces, tasks not requiring recognition of facial identity, such as interpreting facial emotions, and gender and age assessment, were relatively preserved, but recognition of family members and celebrities was severely impaired, and matching unfamiliar faces was slightly impaired. Semantic information of family and friends was retained. Although his symptoms resembled associative prosopagnosia, they differed from general associative prosopagnosia in having phonagnosia. MRI lesions were localized in the frontal and temporal lobes including the right anterior temporal lobe, and not in the right occipital and temporal lobes considered to the lesion site of multimodal people recognition disorders manifesting inability of utilization of visual (face) and auditory (voice) cues for person identification. In addition to the facial cognitive impairment, impaired exploratory (monitoring) function of the frontal lobe on the temporal lobe may also contribute to the false recognition/misidentification of this case.","DictElement({'Year': '2021', 'Month': '12', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2021,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2021.12.005,,Associative prosopagnosia; Cerebral infarction; False recognition/misidentification; Frégoli syndrome; Multimodal people recognition disorders; Right fronto-temporal lesion,Case Reports; Journal Article,Italy,eng
29269367,Auditory agnosia caused by bilateral putamen haemorrhage.,"Sugiura, Tomohito; Torii, Tsuyoshi",Sugiura,"A 55-year-old right-handed man with a history of hypertension suddenly fell and developed right hemiparesis. Neurological examination revealed that he was alert, but did not appropriately respond to verbal questions and commands. Detailed examination revealed that he could correctly respond to written commands. His speech was almost fluent, showing no paraphasia and normal articulation. His written sentences were legible. Pure tone audiometry showed that his auditory acuity was relatively preserved. His brainstem auditory evoked potential components from I to V were recorded bilaterally with normal latency. Cerebral CT demonstrated fresh bleeding in the left putamen and an old haemorrhage on the opposite side. He was treated by antihypertensive therapy and rehabilitation. Although there remained mild sensory deficit on his right extremities and he felt a slight noise during conversation, he had little difficulty with verbal communication when he was transferred to another hospital on day 38.","DictElement({'Year': '2017', 'Month': '12', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2017,BMJ case reports,10.1136/bcr-2017-222535,PMC5743879,neurootology; primary care; stroke,Case Reports; Journal Article,England,eng
35785359,Case Report: Semantic Variant Primary Progressive Aphasia With Impaired Verbal Word Discrimination.,"Kawakami, Nobuko; Morita, Ayumi; Kanno, Shigenori; Ogawa, Nanayo; Kakinuma, Kazuo; Saito, Yumiko; Kobayashi, Erena; Narita, Wataru; Suzuki, Kyoko",Kawakami,"Some patients with primary progressive aphasia (PPA) present with various types of hearing deficits. Research on the auditory function and speech sounds in PPA, including temporal, phonemic, and prosodic processing, revealed impairment in some of these auditory processes. Many patients with PPA who present with impaired word recognition subsequently developed non-fluent variant PPA. Herein, we present a patient with semantic variant PPA (svPPA) who demonstrated impaired verbal word discrimination. Audiological examinations revealed normal auditory brainstem responses and slightly impaired pure-tone perception. By contrast, verbal word discrimination and monosyllable identification were impaired, and temporal auditory acuity deteriorated. Analyses of brain magnetic resonance images revealed a significant decrease in the gray matter volume in bilateral superior temporal areas, predominantly on the left, compared with those of patients with typical svPPA, which appeared to be associated with impaired word recognition in our patient.","DictElement({'Year': '2022', 'Month': '06', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2022,Frontiers in neurology,10.3389/fneur.2022.873735,PMC9243420,auditory agnosia; nonverbal sound discrimination; primary progressive aphasia; semantic variant; verbal word discrimination; verbal word recognition; word discrimination,Case Reports,Switzerland,eng
30878181,Prominent auditory deficits in primary progressive aphasia: A case study.,"Utianski, Rene L; Duffy, Joseph R; Clark, Heather M; Machulda, Mary M; Dickson, Dennis W; Whitwell, Jennifer L; Josephs, Keith A",Utianski,"Aphasia typically is associated with comparable difficulties in written and spoken modalities of language expression and comprehension. In contrast, auditory verbal agnosia is the disproportionate difficulty comprehending spoken compared to written language, also typically greater than difficulties with spoken and written language expression, in the absence of a primary sensory deficit. The terms pure word deafness and auditory verbal agnosia are often used synonymously. However, the broader term of auditory agnosia more accurately reflects difficulty processing both speech and non-speech sounds whereas individuals with auditory verbal agnosia (pure word deafness) have preserved processing of environmental sounds. Auditory agnosia is reported in the stroke literature, but rarely reported in progressive neurologic disorders. Here, we report a case of a woman who presented with what is best described as a prominent auditory deficit in the context of an initially unclassifiable, or mixed, primary progressive aphasia (PPA) with accompanying apraxia of speech. Her clinical presentation shared features with auditory agnosia, although sensory functioning was not formally assessed. We report clinical and neuroimaging data spanning 6 years and subsequent autopsy results. She presented at 65 years of age, 5 years post onset of symptoms that included insidious and progressive difficulties thinking of words, constructing sentences, pronouncing words, and understanding instructions. She had disproportionate difficulty with comprehension of spoken compared to written language. She eventually developed features of the nonfluent/agrammatic variant of PPA, as well as an apraxia of speech. Imaging with [18F]-fluorodeoxyglucose (FDG)-PET revealed progression of bilateral (left greater than right) hypometabolism involving the frontal, temporal (predominantly the lateral superior gyrus), and parietal lobes, that eventually included the supplementary motor area, anterior cingulate, and caudate. Autopsy revealed pathological lesions consistent with corticobasal degeneration.","DictElement({'Year': '2019', 'Month': '02', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2019,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2019.01.021,PMC6650352,Auditory agnosia; Corticobasal degeneration; Frontotemporal dementia; PET; Primary progressive aphasia,"Case Reports; Journal Article; Research Support, N.I.H., Extramural",Italy,eng
14681117,Music agnosia and auditory agnosia. Dissociations in stroke patients.,"Vignolo, Luigi A",Vignolo,"A review and an experimental study were carried out in search of dissociations between the recognition of music (music agnosia) and that of environmental sounds (auditory agnosia) in stroke patients. The review focused on 45 adequately studied cases published since 1883. The experimental study consisted of administering standard tests of music and environmental sound recognition to 40 unselected patients with unilateral stroke. Among case reports, music was selectively impaired more frequently than environmental sounds, whereas the reverse occurred in the experimental study. In this, right hemisphere lesions tended either to disrupt the apperception of environmental sounds, sparing music entirely, or to disrupt both environmental sounds and melody, sparing rhythm, whereas left hemisphere lesions tended to spare melody and to disrupt rhythm, either selectively or in association with the semantic identification of environmental sounds.",{},,Annals of the New York Academy of Sciences,10.1196/annals.1284.005,,,Case Reports; Journal Article; Review,United States,eng
