pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
36966620,Persistent prosopagnosia following COVID-19.,"Kieseler, Marie-Luise; Duchaine, Brad",Kieseler,"COVID-19 can cause psychological problems including loss of smell and taste, long-lasting memory, speech, and language impairments, and psychosis. Here, we provide the first report of prosopagnosia following symptoms consistent with COVID-19. Annie is a 28-year-old woman who had normal face recognition prior to contracting COVID-19 in March 2020. Two months later, she noticed face recognition difficulties while experiencing symptom relapses and her deficits with faces have persisted. On two tests of familiar face recognition and two tests of unfamiliar face recognition, Annie showed clear impairments. In contrast, she scored normally on tests assessing face detection, face identity perception, object recognition, scene recognition, and non-visual memory. Navigational deficits frequently co-occur with prosopagnosia, and Annie reports that her navigational abilities are substantially worse than before she became ill. Self-report survey data from 54 respondents with long COVID showed that a majority reported reductions in visual recognition and navigation abilities. In summary, Annie's results indicate that COVID-19 can produce severe and selective neuropsychological impairments similar to deficits seen following brain damage, and it appears that high-level visual impairments are not uncommon in people with long COVID.","DictElement({'Year': '2023', 'Month': '03', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2023,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2023.01.012,PMC9995301,COVID-19; Case study; Face blindness; Post-acute sequelae of SARS-CoV-2 infection (PASC); Prosopagnosia,Case Reports,Italy,eng
38795358,Neural computations in prosopagnosia.,"Faghel-Soubeyrand, Simon; Richoz, Anne-Raphaelle; Waeber, Delphine; Woodhams, Jessica; Caldara, Roberto; Gosselin, Frédéric; Charest, Ian",Faghel-Soubeyrand,"We report an investigation of the neural processes involved in the processing of faces and objects of brain-lesioned patient PS, a well-documented case of pure acquired prosopagnosia. We gathered a substantial dataset of high-density electrophysiological recordings from both PS and neurotypicals. Using representational similarity analysis, we produced time-resolved brain representations in a format that facilitates direct comparisons across time points, different individuals, and computational models. To understand how the lesions in PS's ventral stream affect the temporal evolution of her brain representations, we computed the temporal generalization of her brain representations. We uncovered that PS's early brain representations exhibit an unusual similarity to later representations, implying an excessive generalization of early visual patterns. To reveal the underlying computational deficits, we correlated PS' brain representations with those of deep neural networks (DNN). We found that the computations underlying PS' brain activity bore a closer resemblance to early layers of a visual DNN than those of controls. However, the brain representations in neurotypicals became more akin to those of the later layers of the model compared to PS. We confirmed PS's deficits in high-level brain representations by demonstrating that her brain representations exhibited less similarity with those of a DNN of semantics.",{},,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhae211,PMC11127037,EEG; RSA; artificial neural networks; prosopagnosia; semantic representations,Journal Article; Case Reports,United States,eng
22764352,[Neurological disease and facial recognition].,"Kawamura, Mitsuru; Sugimoto, Azusa; Kobayakawa, Mutsutaka; Tsuruya, Natsuko",Kawamura,"To discuss the neurological basis of facial recognition, we present our case reports of impaired recognition and a review of previous literature. First, we present a case of infarction and discuss prosopagnosia, which has had a large impact on face recognition research. From a study of patient symptoms, we assume that prosopagnosia may be caused by unilateral right occipitotemporal lesion and right cerebral dominance of facial recognition. Further, circumscribed lesion and degenerative disease may also cause progressive prosopagnosia. Apperceptive prosopagnosia is observed in patients with posterior cortical atrophy (PCA), pathologically considered as Alzheimer's disease, and associative prosopagnosia in frontotemporal lobar degeneration (FTLD). Second, we discuss face recognition as part of communication. Patients with Parkinson disease show social cognitive impairments, such as difficulty in facial expression recognition and deficits in theory of mind as detected by the reading the mind in the eyes test. Pathological and functional imaging studies indicate that social cognitive impairment in Parkinson disease is possibly related to damages in the amygdalae and surrounding limbic system. The social cognitive deficits can be observed in the early stages of Parkinson disease, and even in the prodromal stage, for example, patients with rapid eye movement (REM) sleep behavior disorder (RBD) show impairment in facial expression recognition. Further, patients with myotonic dystrophy type 1 (DM 1), which is a multisystem disease that mainly affects the muscles, show social cognitive impairment similar to that of Parkinson disease. Our previous study showed that facial expression recognition impairment of DM 1 patients is associated with lesion in the amygdalae and insulae. Our study results indicate that behaviors and personality traits in DM 1 patients, which are revealed by social cognitive impairment, are attributable to dysfunction of the limbic system.",{},,Brain and nerve = Shinkei kenkyu no shinpo,,,,Case Reports; Journal Article; Review,Japan,jpn
35051711,False recognition/misidentification of unfamiliar person after cerebral infarction: A case report.,"Sugahara, Yumiko; Iizuka, Chiaki; Doi, Kazuya; Matsuzaki, Kenichiro; Nagaoka, Masanori",Sugahara,"An 84-year-old man manifested false recognition/misidentification of unfamiliar person after cardiogenic cerebral infarction. He had good visual and hearing acuity, no hemianopsia, unilateral spatial neglect and visual object agnosia. However, he was unable to remember faces of his rehabilitation therapists, and repeatedly misidentified other patients' visitors and therapists as his family members and friends, without recognizing his mistakes. General cognitive function was preserved with Hasegawa dementia score-revised (HDS-R) 25/30 (cut-off score 20). In terms of recognition of faces, tasks not requiring recognition of facial identity, such as interpreting facial emotions, and gender and age assessment, were relatively preserved, but recognition of family members and celebrities was severely impaired, and matching unfamiliar faces was slightly impaired. Semantic information of family and friends was retained. Although his symptoms resembled associative prosopagnosia, they differed from general associative prosopagnosia in having phonagnosia. MRI lesions were localized in the frontal and temporal lobes including the right anterior temporal lobe, and not in the right occipital and temporal lobes considered to the lesion site of multimodal people recognition disorders manifesting inability of utilization of visual (face) and auditory (voice) cues for person identification. In addition to the facial cognitive impairment, impaired exploratory (monitoring) function of the frontal lobe on the temporal lobe may also contribute to the false recognition/misidentification of this case.","DictElement({'Year': '2021', 'Month': '12', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2021,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2021.12.005,,Associative prosopagnosia; Cerebral infarction; False recognition/misidentification; Frégoli syndrome; Multimodal people recognition disorders; Right fronto-temporal lesion,Case Reports; Journal Article,Italy,eng
14527501,Transient postoperative prosopagnosia.,"Mesad, Salah; Laff, Rachel; Devinsky, Orrin",Mesad,"A 23-year-old right-handed woman developed isolated transient prosopagnosia following surgical resection of a right posterior temporal seizure focus. At 18 years of age she had developed secondarily generalized tonic-clonic seizures. Preoperative neuropsychological evaluation was normal, and neurological examination revealed only a left superior quadrant achromatopsia. MRI revealed a circumscribed lesion in the right inferolateral temporo-occipital junction. Following surgery she was agitated for 36 hours, and afterward, when her attention and orientation improved, she was unable to recognize familiar faces. She could, however, recognize familiar voices. Her prosopagnosia resolved over the next 6-7 days. This case demonstrates that isolated prosopagnosia can occur in patients with lesions restricted to the right inferior posterior temporal-anterior occipital region. The temporary nature of the prosopagnosia may result from postsurgical tissue injury, including focal cerebral edema, with compensation by ipsilateral or contralateral areas.",{},,Epilepsy & behavior : E&B,10.1016/j.yebeh.2003.07.012,,,Case Reports; Journal Article,United States,eng
30670082,The hidden identity of faces: a case of lifelong prosopagnosia.,"Wegrzyn, Martin; Garlichs, Annika; Heß, Richard W K; Woermann, Friedrich G; Labudda, Kirsten",Wegrzyn,"Not being able to recognize a person's face is a highly debilitating condition from which people with developmental prosopagnosia (DP) suffer their entire life. Here we describe the case of J, a 30 year old woman who reports being unable to recognize her parents, her husband, or herself in the mirror. We set out to assess the severity of J's prosopagnosia using tests with unfamiliar as well as familiar faces and investigated whether impaired configural processing explains her deficit. To assess the specificity of the impairment, we tested J's performance when evaluating emotions, intentions, and the attractiveness and likability of faces. Detailed testing revealed typical brain activity patterns for faces and normal object recognition skills, and no evidence of any brain injury. However, compared to a group of matched controls, J showed severe deficits in learning new faces, and in recognizing familiar faces when only inner features were available. Her recognition of uncropped faces with blurred features was within the normal range, indicating preserved configural processing when peripheral features are available. J was also unimpaired when evaluating intentions and emotions in faces. In line with healthy controls, J rated more average faces as more attractive. However, she was the only one to rate them as less likable, indicating a preference for more distinctive and easier to recognize faces. Taken together, the results illustrate both the severity and the specificity of DP in a single case. While DP is a heterogeneous disorder, an inability to integrate the inner features of the face into a whole might be the best explanation for the difficulties many individuals with prosopagnosia experience.","DictElement({'Year': '2019', 'Month': '01', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2019,BMC psychology,10.1186/s40359-019-0278-z,PMC6343346,Configural processing; Developmental prosopagnosia; Face perception; Object recognition; fMRI,Case Reports; Journal Article,England,eng
38559526,Prosopagnosia Due to Metastatic Brain Tumor: A Case-Based Review.,"Ivanova, Nora I; Kyuchukova, Dayana M; Tsalta-Mladenov, Mihael E; Georgieva, Darina K; Andonova, Silva P",Ivanova,"Prosopagnosia, also referred to as ""face blindness,"" is a type of visual agnosia characterized by a decreased capacity to recognize familiar faces with a preserved ability to identify individuals based on non-facial visual traits or voice. Prosopagnosia can be categorized as developmental (DP) or acquired (AP) owing to a variety of underlying conditions, including trauma, neurodegenerative diseases, stroke, neuroinfections, and, less frequently, malignancies. Facial recognition is a complex process in which different neuronal networks are involved. The infrequent but notable higher visual-processing abnormalities can be caused by lesions of the inferior longitudinal fasciculus (ILF) in the non-dominant temporal lobe. We report a rare case of AP in a 69-year-old patient who is right-hand dominant with rectal carcinoma cerebral metastases. The patient complained of dizziness, vertigo, falls, and trouble recognizing her family members' faces. The CT scan of the head with contrast revealed two metastatic brain lesions with vasogenic edema, as one of them was in the right cerebellar hemisphere, causing dislocation and compression of the ILF. Corticosteroids and osmotherapy were utilized as a conservative treatment approach, which resulted in the prosopagnosia being completely withdrawn. In conclusion, patients with primary brain tumors or metastatic disease rarely present with an isolated cognitive deficit such as prosopagnosia. Based on the anatomical features and the personalized approach, a conservative or surgical approach may be useful to improve higher cortical functioning.","DictElement({'Year': '2024', 'Month': '03', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2024,Cureus,10.7759/cureus.55349,PMC10981948,acquired prosopagnosia; brain tumor; cerebral tumor; cognitive; face blindness; higher cortical functions; language disorder; metastatic; prosopagnosia; tumor,Case Reports,United States,eng
7091286,Prosopagnosia.,"Kay, M C; Levin, H S",Kay,"Three patients with prosopagnosia, and acquired inability to recognize familiar faces usually resulting from cerebrovascular insufficiency, had left-sided visual field defects and color vision abnormalities of central origin. Prosopagnosia, although clinically associated with posterior right hemispheric disease in most cases, represents a disconnection of both occipital poles from the final processing center for facial recognition in the right temporal lobe. This problem can profoundly affect everyday activities requiring visual recognition.",{},,American journal of ophthalmology,10.1016/0002-9394(82)90194-5,,,Case Reports; Journal Article,United States,eng
35151128,Voice-specific proper name anomia ('phonoanomia') after bilateral temporal hemorrhagic brain lesions.,"Moretta, Pasquale; Trojano, Luigi",Moretta,"We describe a patient who developed bilateral temporal lesions due to a haemorrhagic stroke. One year after onset, he showed marked apperceptive prosopagnosia and could not name people from their voices, although he had spared semantic knowledge about people he could not name and could access this knowledge from people's voice. Importantly, the patient was able to retrieve proper name of persons after their description and was able to name sounds and songs; he could also retrieve proper names of monuments, towns and cartoon characters upon visual presentation. No further relevant cognitive impairment was present. This clinical picture represents the auditory counterpart of prosopanomia and could be defined 'phonoanomia'. This case report suggests that naming people from their voice implies specific retrieval processes, and pose specific constraints to theoretical models of person recognition.","DictElement({'Year': '2022', 'Month': '01', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2022,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2021.12.011,,Hemorrhagic stroke; Naming; People recognition; Rehabilitation; Temporal lobe; Voice,Case Reports; Journal Article,Italy,eng
3715715,Seeing but not recognizing.,"Trobe, J R; Bauer, R M",Trobe,"Visual recognition disturbances are caused by lesions that affect visual cortex as well as white matter connections between visual cortex and temporal and parietal cortex. Homonymous visual field defects are often present but do not explain the recognition difficulty. In ""alexia without agraphia"" (pure alexia), the intact right visual cortex is disconnected from the left parietal language center by a lesion in the splenium. In ""prosopagnosia,"" visual cortex is disconnected bilaterally from temporal cortex. In simultanagnosia, visual association cortex is damaged. The first condition is most commonly caused by left posterior cerebral artery occlusion, the second by bilateral posterior cerebral artery occlusion or head trauma, and the third by watershed infarction, tumors, abscesses, head trauma, leukoencephalopathies and Alzheimer's disease. When such disorders are suspected, the examiner should supplement the routine visual examination with suggested screening maneuvers.",{},,Survey of ophthalmology,10.1016/0039-6257(86)90065-2,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
