pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
28862103,View-Dependent Prosopometamorphopsia after Stroke.,"Jiang, Yue; Sasikumar, Sanskriti; Jin, Albert Y",Jiang,,{},,The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,10.1017/cjn.2017.38,,Stroke; corpus callosum; prosopometamorphopsia; splenium,Case Reports; Journal Article,England,eng
29260005,Prosopometamorphopsia and alexia following left splenial corpus callosum infarction: Case report and literature review.,"McCarty, Connor W; Gordon, Gabriel M; Walker, Aimee; Delio, Philip; Kolarczyk, Robert A; Pieramici, Dante J",McCarty,"Lesions to the posterior section of the corpus callosum, called the splenium, and the immediate area have been separately associated with perceived visual distortions of the face (prosopometamorphopsia) or difficulty reading (alexia). This case report describes a right-handed patient who complained of prosopometamorphopsia associated with the lower part of the face and alexia following infarction of the left splenium in the corpus callosum. The splenium and adjacent retrosplenial cortex facilitate the transfer of visual information and memory function between the two hemispheres of the brain and along the Papez circuit, respectively. We believe that damage to this singular area of the brain could bring about several concurrent yet disparate symptoms, such as the reported prosopometamorphopsia and alexia with this patient.","DictElement({'Year': '2016', 'Month': '08', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2016,eNeurologicalSci,10.1016/j.ensci.2016.08.002,PMC5721556,Alexia; Prosopometamorphopsia; Retrosplenial cortex; Splenium; Transient global amnesia,Case Reports,Netherlands,eng
32715920,A case of prosopometamorphopsia caused by infarction of the splenium of the corpus callosum and major forceps.,"Ogawa, Katsuhiko; Akimoto, Takayoshi; Takahashi, Keiko; Hara, Makoto; Morita, Akihiko; Kamei, Satoshi; Nakajima, Hideto; Fujishiro, Midori; Suzuki, Yutaka; Soma, Masayoshi; Shikata, Elisa; Futamura, Akinori; Kawamura, Mitsuru",Ogawa,"An adult female complained of enlargement of right eyes in other people. Diffusion-weighted imaging detected an abnormal high-intensity area in the region from the splenium of the corpus callosum to the major forceps on the right side. The patient reported that right eyes appeared larger in size, which suggested prosopometamorphopsia. Adichotic listening test identified left-ear deficit. Acombination of prosopometamorphopsia and left-ear deficit was not identified in the reported patients. Prosopometamorphopsia in most of the reported patients included the eye as did that in our patient. This result suggested the importance of information on the eye in recognizing faces.","DictElement({'Year': '2020', 'Month': '07', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2020,Neurocase,10.1080/13554794.2020.1797819,,Prosopometamorphopsia; infarction; left-ear deficit; the major forceps; the splenium of the corpus callosum,Case Reports; Journal Article,England,eng
28506806,Selective associative phonagnosia after right anterior temporal stroke.,"Luzzi, Simona; Coccia, Michela; Polonara, Gabriele; Reverberi, Carlo; Ceravolo, Gabriella; Silvestrini, Mauro; Fringuelli, Fabio; Baldinelli, Sara; Provinciali, Leandro; Gainotti, Guido",Luzzi,"We report the case of a 48 year old men who developed a selective impairment in famous voice recognition after ischemic stroke in right subcortical structures (lenticular nucleus and head of the caudate) and right anterior temporal lobe. He underwent fibrinolytic treatment. During the following days he progressively recovered and was discharged without neurological focal sign. Patent foramen ovale was found. When he got back to his house he noticed that he was unable to recognize the voice of his favoured singers and needed to ask who was the singer to his relatives. Neuropsychological examination revealed a selective impairment in famous voice recognition in the absence of alteration of voice perception, face perception and famous face recognition. All other neuropsychological domains were spared. In particular language, memory and executive functions were intact. Neuroimaging carried out by means of PET and MRI revealed two small ischemic lesions in the right subcortical region, involving lenticular and caudate nuclei and in the right temporal pole. To our knowledge, this is the first case described in literature of a patient showing a selective associative phonagnosia after right anterior temporal stroke. The present case helps to clarify the brain circuits underlying famous voice recognition and adds evidence in favour of a right hemisphere involvement in processing knowledge of familiar voices. These findings are discussed in relation to current models of brain organization of person-specific and general semantic knowledge.","DictElement({'Year': '2017', 'Month': '05', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2017,Neuropsychologia,10.1016/j.neuropsychologia.2017.05.016,,Associative phonagnosia; Famous voice recognition; Right temporal pole,Case Reports; Journal Article,England,eng
30670082,The hidden identity of faces: a case of lifelong prosopagnosia.,"Wegrzyn, Martin; Garlichs, Annika; Heß, Richard W K; Woermann, Friedrich G; Labudda, Kirsten",Wegrzyn,"Not being able to recognize a person's face is a highly debilitating condition from which people with developmental prosopagnosia (DP) suffer their entire life. Here we describe the case of J, a 30 year old woman who reports being unable to recognize her parents, her husband, or herself in the mirror. We set out to assess the severity of J's prosopagnosia using tests with unfamiliar as well as familiar faces and investigated whether impaired configural processing explains her deficit. To assess the specificity of the impairment, we tested J's performance when evaluating emotions, intentions, and the attractiveness and likability of faces. Detailed testing revealed typical brain activity patterns for faces and normal object recognition skills, and no evidence of any brain injury. However, compared to a group of matched controls, J showed severe deficits in learning new faces, and in recognizing familiar faces when only inner features were available. Her recognition of uncropped faces with blurred features was within the normal range, indicating preserved configural processing when peripheral features are available. J was also unimpaired when evaluating intentions and emotions in faces. In line with healthy controls, J rated more average faces as more attractive. However, she was the only one to rate them as less likable, indicating a preference for more distinctive and easier to recognize faces. Taken together, the results illustrate both the severity and the specificity of DP in a single case. While DP is a heterogeneous disorder, an inability to integrate the inner features of the face into a whole might be the best explanation for the difficulties many individuals with prosopagnosia experience.","DictElement({'Year': '2019', 'Month': '01', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2019,BMC psychology,10.1186/s40359-019-0278-z,PMC6343346,Configural processing; Developmental prosopagnosia; Face perception; Object recognition; fMRI,Case Reports; Journal Article,England,eng
29764831,Prosopometamorphopsia secondary to a left splenium of the corpus callosum infarct.,"Barghouthi, Tamara; El Husseini, Nada",Barghouthi,,"DictElement({'Year': '2018', 'Month': '05', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2018,BMJ case reports,10.1136/bcr-2018-224735,PMC5961540,stroke; visual pathway,Case Reports; Journal Article,England,eng
24592926,"Visual disorders, the prosopometamorphopsia and prosopagnosia type in the early days after the onset of brain hemorrhagic stroke--a case report.","Bala, Aleksandra; Iwański, Szczepan; Żyłkowski, Jarosław; Jaworski, Maciej; Seniów, Joanna; Marchel, Andrzej",Bala,"Presented case report illustrates symptoms of prosopometamorphopsia (PM) and prosopagnosia, observed in the early days after the onset of a hemorrhagic stroke resulting from a complication of endovascular treatment of intracranial aneurysms and the use of anticoagulation therapy. PM is a visual disorder in which faces are perceived as distorted. The female patient described in the present study reported that faces she looked at seemed younger or older than in reality or as if they were dirty, swollen, or with a grimace. She also experienced symptoms of prosopagnosia, which is difficulty of recognizing familiar faces of people (e.g., of her husband and daughter). In the interview 6 months after the first examination, the patient reported spontaneous withdrawal of the visual disturbances.","DictElement({'Year': '2014', 'Month': '03', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2014,Neurocase,10.1080/13554794.2014.892999,,aneurysm; metamorphopsia; prosopagnosia; prosopometamorphopsia; stroke,Case Reports; Journal Article,England,eng
32795446,Face-Specific Perceptual Distortions Reveal A View- and Orientation-Independent Face Template.,"Almeida, Jorge; Freixo, Andreia; Tábuas-Pereira, Miguel; Herald, Sarah B; Valério, Daniela; Schu, Guilherme; Duro, Diana; Cunha, Gil; Bukhari, Qasim; Duchaine, Brad; Santana, Isabel",Almeida,"The spatial coordinate system in which a stimulus representation is embedded is known as its reference frame. Every visual representation has a reference frame [1], and the visual system uses a variety of reference frames to efficiently code visual information [e.g., 1-5]. The representation of faces in early stages of visual processing depends on retino-centered reference frames, but little is known about the reference frames that code the high-level representations used to make judgements about faces. Here, we focus on a rare and striking disorder of face perception-hemi-prosopometamorphopsia (hemi-PMO)-to investigate these reference frames. After a left splenium lesion, Patient A.D. perceives features on the right side of faces as if they had melted. The same features were distorted when faces were presented in either visual field, at different in-depth rotations, and at different picture-plane orientations including upside-down. A.D.'s results indicate faces are aligned to a view- and orientation-independent face template encoded in a face-centered reference frame, that these face-centered representations are present in both the left and right hemisphere, and that the representations of the left and right halves of a face are dissociable.","DictElement({'Year': '2020', 'Month': '08', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2020,Current biology : CB,10.1016/j.cub.2020.07.067,,face processing; hemi-prosopometamorphopsia; splenium; view-independent face representation,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
16505799,Facial nerve paralysis after impacted lower third molar surgery: a literature review and case report.,"Vasconcelos, Belmiro Cavalcanti do Egito; Bessa-Nogueira, Ricardo Viana; Maurette, Paul Edward; Carneiro, Suzana Célia Soares de Aguiar",Vasconcelos,"Facial nerve paralysis (FNP) is the most common cranial nerve disorders and it results in a characteristic facial distortion that is determined in part by the nerves branches involved. With multiples etiologies, these included trauma, tumor formation, idiopathic conditions, cerebral infarct, pseudobulbar palsy and viruses. FNP during dental treatment is very rare and can be associated with the injection of local anesthetic, prolonged attempt to remove a mandibular third molar and subsequent infection. We report a case of a 21 years-old black woman who developed a Bell's palsy after an impacted third molar surgery under local anaesthesia, present a FNP classified like a grade IV by the House-Brackmann's grading system. The treatment was based of prescription of a cytidine and uridine complex (NUCLEO CMP tm) one tablet twice per day and a close follow up. Three months later that had beginning the treatment, the patient recovery her normal facial muscle activity.","DictElement({'Year': '2006', 'Month': '03', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2006,"Medicina oral, patologia oral y cirugia bucal",,,,Case Reports; Journal Article; Review,Spain,eng
31983272,Atypical holistic processing of facial identity and expression in a case of acquired prosopagnosia.,"Monti, Cecilia; Sozzi, Matteo; Bossi, Francesco; Corbo, Massimo; Rivolta, Davide",Monti,"Typical face perception is mediated by holistic processing (i.e., the simultaneous integration of face parts into a whole representation). People with Acquired Prosopagnosia (AP), who have lost the ability to recognise faces after a brain lesion, should thus show atypical holistic coding. Our aim is to use the composite-face effect (CFE) as a measure of holistic processing in ST, a 48-year-old woman with AP but normal recognition of facial expressions of emotions, and matched healthy control participants. Two experiments examining the CFE for identity (Experiment 1) and for expression of emotions (Experiment 2) were conducted. Contrary to controls, in both experiments, ST showed an atypical (i.e., reversed) CFE, thus suggesting altered holistic mechanisms affecting both components of perceptual judgement. Results also suggest that normal facial expression recognition is achievable even with holistic processing difficulties, possibly through compensatory, part-based, mechanisms.","DictElement({'Year': '2020', 'Month': '01', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2020,Cognitive neuropsychology,10.1080/02643294.2020.1718071,,Face; emotions; expression; holistic; identity; prosopagnosia,Case Reports; Journal Article,England,eng
