pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
25080547,Bickerstaff's encephalitis.,"Horton, Emma; Krishnamoorthy, Sanjay; Reynolds, Lucy",Horton,"Bickerstaff's brainstem encephalitis is a rare syndrome defined by the triad of ophthalmoplegia, ataxia and decreased consciousness. It is considered to be a variant of Miller Fisher syndrome and Guillain-Barré syndrome but is differentiated from the two by the presence of central nervous system involvement, commonly in the form of impaired consciousness. We present an unusual case of Bickerstaff's encephalitis, where the patient presented with pseudobulbar affect.","DictElement({'Year': '2014', 'Month': '07', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2014,BMJ case reports,10.1136/bcr-2014-205336,PMC4120029,,Case Reports; Journal Article,England,eng
34142117,Pathological laughter and crying: insights from lesion network-symptom-mapping.,"Klingbeil, Julian; Wawrzyniak, Max; Stockert, Anika; Brandt, Max-Lennart; Schneider, Hans-Ralf; Metelmann, Moritz; Saur, Dorothee",Klingbeil,"The study of pathological laughter and crying (PLC) allows insights into the neural basis of laughter and crying, two hallmarks of human nature. PLC is defined by brief, intense and frequent episodes of uncontrollable laughter or crying provoked by trivial stimuli. It occurs secondary to CNS disorders such as stroke, tumours or neurodegenerative diseases. Based on case studies reporting various lesions locations, PLC has been conceptualized as dysfunction in a cortico-limbic-subcortico-thalamo-ponto-cerebellar network. To test whether the heterogeneous lesion locations are indeed linked in a common network, we applied 'lesion network-symptom-mapping' to 70 focal lesions identified in a systematic literature search for case reports of PLC. In lesion network-symptom-mapping normative connectome data (resting state functional MRI, n = 100) is used to identify the brain regions that are likely affected by diaschisis based on the lesion locations. With lesion network-symptom-mapping we were able to identify a common network specific for PLC when compared with a control cohort (n = 270). This bilateral network is characterized by positive connectivity to the cingulate and temporomesial cortices, striatum, hypothalamus, mesencephalon and pons, and negative connectivity to the primary motor and sensory cortices. In the most influential pathophysiological model of PLC, a centre for the control and coordination of facial expressions, respiration and vocalization in the periaqueductal grey is assumed, which is controlled via two pathways: an emotional system that exerts excitatory control of the periaqueductal grey descending from the temporal and frontal lobes, basal ganglia and hypothalamus; and a volitional system descending from the lateral premotor cortices that can suppress laughter or crying. To test whether the positive and negative PLC subnetworks identified in our analyses can indeed be related to an emotional system and a volitional system, we identified lesions causing emotional (n = 15) or volitional facial paresis (n = 46) in a second literature search. Patients with emotional facial paresis show preserved volitional movements but cannot trigger emotional movements in the affected hemiface, while the reverse is true for volitional facial paresis. Importantly, these lesions map differentially onto the PLC subnetworks: the 'positive PLC subnetwork' is part of the emotional system and the 'negative PLC subnetwork' overlaps with the volitional system for the control of facial movements. Based on this network analysis we propose a two-hit model of PLC: a combination of direct lesion and indirect diaschisis effects cause PLC through the loss of inhibitory cortical control of a dysfunctional emotional system.",{},,Brain : a journal of neurology,10.1093/brain/awab224,,diaschisis; pseudobulbar affect; resting-state functional connectivity,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",England,eng
33735011,Involuntary Emotional Expression Disorder in a Patient With Toluene Leukoencephalopathy.,"Ramirez-Bermudez, Jesús; Perez-Esparza, Rodrigo; Flores, Jose; Leon-Ortiz, Pablo; Corona, Teresa; Restrepo-Martínez, Miguel",Ramirez-Bermudez,"Inhalant users may develop toluene leukoencephalopathy, a devastating neuropsychiatric disorder. We present a case of toluene-induced damage to the corticospinal and the corticonuclear tracts, which presented with involuntary emotional expression disorder. Case study of a 20-year-old man with a 3-year history of frequent solvent abuse was admitted to the Neuropsychiatry Unit of the National Institute of Neurology and Neurosurgery because ""he could not speak or walk"" but would keep ""laughing and crying without reason"". Neuropsychiatric examination revealed pathological laughter and crying, facial and speech apraxia, a bilateral pyramidal syndrome, and lack of control of urinary sphincter. Magnetic resonance imaging revealed a highly selective bilateral damage to the pyramidal system and the somatosensory pathway. SPECT imaging showed left fronto-parietal hypoperfusion. This document provides support for the understanding of involuntary emotional expression disorders as a differential diagnosis in the clinical practice of psychiatrists, as well as the functional anatomy of these conditions.","DictElement({'Year': '2020', 'Month': '12', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2020,Revista Colombiana de psiquiatria (English ed.),10.1016/j.rcp.2020.10.001,,Involuntary emotional expression disorder; Leucoencefalopatía; Leukoencephalopathy; Parálisis seudobulbar; Pathological laughing and crying; Pseudobulbar palsy; Risa y llanto patológicos; Toluene; Tolueno; Trastorno de la expresión emocional involuntaria,Case Reports,Spain,eng; spa
27780330,Enhancing Approaches to the Identification and Management of Pseudobulbar Affect.,"Crumpacker, David W",Crumpacker,"Pseudobulbar affect (PBA) is a socially debilitating condition that primarily affects people with neurologic diseases, such as Alzheimer's disease or multiple sclerosis. This condition is characterized by uncontrolled, exaggerated expressions of laughing or crying-often when the situation does not warrant this behavior. Although the true prevalence of PBA is surprisingly high, this condition remains widely misdiagnosed and underdiagnosed. While its exact etiology is unknown, PBA likely results from disruptions in the brain structures and/or neurotransmitters that regulate emotions. Differential diagnosis of PBA includes ruling out depression or other psychiatric conditions. Treatment of PBA has traditionally centered on antidepressant therapies, but newer therapeutic options include combination agents employing multiple modalities. Therapy should include patient counseling to reassure patients and families that PBA is not the fault of the individual. Counseling should also emphasize safety precautions to minimize adverse events and maximize appropriate adherence to the selected therapies.",{},,The Journal of clinical psychiatry,10.4088/JCP.15136tx1cj,,,Case Reports; Journal Article; Review,United States,eng
38098127,Emotional dysmetria after cerebellar-pontine stroke: a case report.,"Long, Rebecca M; DuVal, Michèle; Mulvany-Robbins, Bridget; Wagner, Amanda N; Jickling, Glen C",Long,"Pseudobulbar affect, or emotional dysregulation, commonly occurs following stroke. However, it is frequently missed in cases involving the cerebellum, resulting in a lack of treatment, which can directly impact stroke rehabilitation. A 63-year-old Caucasian female with no history of mood disorders presented with gait instability, dysarthria, and right sided hemiplegia, secondary to cerebellar and pontine ischemic stroke from a basilar occlusion. She underwent endovascular therapy and her deficits gradually improved. However during recovery she began to develop uncontrollable tearfulness while retaining insight that her emotional expression was contextually inappropriate. She was treated with a selective serotonin reuptake inhibitor with reported improvements in her emotional regulation at one year follow up. This case highlights cerebellar injury as a potential cause of poorly regulated emotions, or an emotional dysmetria. The recognition of this disorder in patients with cerebellar or pontine strokes is critical, as untreated pseudobulbar affect can impact future stroke rehabilitation.","DictElement({'Year': '2023', 'Month': '12', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2023,Journal of medical case reports,10.1186/s13256-023-04294-1,PMC10722665,Case report; Cerebellum; Depression; Emotional lability; Ischemic stroke; Pseudobulbar affect,Case Reports; Journal Article,England,eng
35282555,Pseudobulbar Affect Presenting as Aggressive Behavior.,"Kazi, Sana Elham; Anwar, Adeel",Kazi,"Pseudobulbar affect (PBA) is an affective disorder of emotional expression characterized by frequent uncontrollable outbursts of laughing or crying. It is usually associated with stroke, traumatic brain injury, and other neurological conditions. This disorder can present a challenge to clinicians to distinguish this from mood disorders or to diagnose this disorder in the context of underlying mood disorders. In addition, the delay in the diagnosis can impact patients' quality of life. We describe a 48-year-old man who presented with frequent episodes of sudden, frequent, uncontrollable laughing two years after his recurrent stroke. The patient initially had his first stroke about three years ago and had a recurrent stroke eight months after his first stroke. A few days after getting discharged after his second stroke, the patient was admitted to the psychiatric unit after his family members reported aggressive behavior. The patient also reported symptoms of depression and was discharged on escitalopram for mood and divalproex for his aggressive behavior. Unfortunately, the patient was not compliant with these medications with no resolution of his symptoms. The patient was then treated with dextromethorphan-quinidine, escitalopram, and divalproex, resulting in significant improvement in his mood and aggressive behavior with a resolution of uncontrollable laughing spells.  Clinicians are encouraged to inquire about symptoms of pseudobulbar affect in the context of stroke or other neurological disorders. Appropriate management of this condition can help improve patients' symptoms and positively affect their wellbeing.","DictElement({'Year': '2022', 'Month': '02', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.21978,PMC8906197,aggressive behavior; aphasia; cannabis use; dextromethorphan-quinidine; pseudobular afffect; stroke,Case Reports,United States,eng
26459199,Pathological laughter as prodromal manifestation of transient ischemic attacks--case report and brief review.,"Dulamea, Adriana O; Matei, Costel; Mindruta, Ioana; Ionescu, Virgil",Dulamea,"Based on a case report, the authors reviewed the data about involuntary emotional expression disorder (IEED). IEED includes the syndromes of pathological laughing and crying (PLC) and emotional lability (EL). PLC is a rare disorder of emotional expression characterized by relatively uncontrollable episodes of laughter and crying or both that do not have an apparent motivating stimulus. Authors report the case of a 59-year-old man who presented with recurrent episodes of PLC of approximately 2 min duration, consisting of accelerated breathing, emission of guttural, snoring sounds, frowning of the eyebrows, followed by laughter accompanied by motor restlessness of all four limbs. PLC episodes preceded left carotid transient ischemic attacks (TIA's) manifested by reversible aphasia and right hemiparesis. Electroencephalography performed during PLC episodes revealed no spike-wave activity. Brain magnetic resonance imaging showed lacunar infarcts in the left lenticulo-capsulo-thalamic area and multiple round lesions in the cortical-subcortical and in the deep white matter of frontal-parietal-occipital lobes bilaterally, with T2 hyperintensity, T1 isointensity and no diffusion changes. The episodes were interpreted as transient ischemic attacks although gelastic seizures could not be excluded. The etiological investigations revealed unstable plaques on the left carotid artery bulb and the aortic arch and a degenerative mitral valve stenosis. The patient was treated first with antiplatelet therapy and antiepileptic drugs but PLC stopped only after anticoagulation was started. During follow-up the patient continued to have left carotid and vertebrobasilar TIA's being on oral anticoagulation. The patient became asymptomatic only after mitral valve replacement was performed. This case illustrates the difficulty distinguishing between gelastic epilepsy and TIA's in cases of PLC episodes and discuss the neuroanatomic bases and pathophysiology of this rare condition.","DictElement({'Year': '2015', 'Month': '10', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2015,BMC neurology,10.1186/s12883-015-0457-3,PMC4603769,,Case Reports; Journal Article; Review,England,eng
35911367,Pseudobulbar Affect Mimicking Depression: A Case Report.,"Kekere, Victor; Qureshi, Danish; Thanju, Amod; Fouron, Patrice; Olupona, Tolulope",Kekere,"Pseudobulbar affect (PBA) is a neurological condition that is associated with short periods of involuntary, sudden, and inappropriate emotions such as crying or laughing, which are mood incongruent. An accurate estimate of the prevalence of PBA is hard to obtain due to varying diagnostic criteria and variable patient populations. The cause of PBA is not known, but current evidence suggests dual etiology. A neural circuit dysfunction and an abnormality of neurotransmitters that regulate motor expression of emotions. PBA can easily be mistaken for a depressive disorder due to the overlap of symptoms. Moreover, patients with PBA may have a major depressive disorder (MDD) or other depressive disorders. Therefore, it is essential to recognize and treat PBA as well as possible psychiatric comorbidities. We present a case report of a 59-year-old man with no past psychiatric history who presents with paroxysms of episodes of crying for the past one year. He endorsed feelings of hopelessness and poor concentration. MRI of the brain revealed bilateral basal ganglia and a thalamic infarct. The patient was treated with citalopram. This case describes a unique presentation of pseudobulbar affect mimicking depression.","DictElement({'Year': '2022', 'Month': '06', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.26235,PMC9312808,antidepressant; depression; nuedexta; pseudobulbar affect; psychiatric comorbidities,Case Reports,United States,eng
35803687,Involuntary Emotional Expression Disorder in a Patient With Toluene Leukoencephalopathy.,"Ramirez-Bermudez, Jesús; Perez-Esparza, Rodrigo; Flores, Jose; Leon-Ortiz, Pablo; Corona, Teresa; Restrepo-Martínez, Miguel",Ramirez-Bermudez,"Inhalant users may develop toluene leukoencephalopathy, a devastating neuropsychiatric disorder. We present a case of toluene-induced damage to the corticospinal and the corticonuclear tracts, which presented with involuntary emotional expression disorder. Case study of a 20-year-old man with a 3-year history of frequent solvent abuse was admitted to the Neuropsychiatry Unit of the National Institute of Neurology and Neurosurgery because ""he could not speak or walk"" but would keep ""laughing and crying without reason"". Neuropsychiatric examination revealed pathological laughter and crying, facial and speech apraxia, a bilateral pyramidal syndrome, and lack of control of urinary sphincter. Magnetic resonance imaging revealed a highly selective bilateral damage to the pyramidal system and the somatosensory pathway. SPECT imaging showed left fronto-parietal hypoperfusion. This document provides support for the understanding of involuntary emotional expression disorders as a differential diagnosis in the clinical practice of psychiatrists, as well as the functional anatomy of these conditions.",{},,Revista Colombiana de psiquiatria (English ed.),10.1016/j.rcpeng.2020.10.006,,Involuntary emotional expression disorder; Leucoencefalopatía; Leukoencephalopathy; Parálisis seudobulbar; Pathological laughing and crying; Pseudobulbar palsy; Risa y llanto patológicos; Toluene; Tolueno; Trastorno de la expresión emocional involuntaria,Case Reports,Spain,eng; spa
36800742,Use of Escitalopram for pseudobulbar affect following severe traumatic.,"Amir Malik, Muhammad Faisal; Jafri, Mahmood Ali Khan; Nizami, Asad Tamizuddin",Amir Malik,"Those who have suffered from traumatic brain injury (TBI) often develop behavioural, affective, and cognitive complications. Some might experience episodes of involuntary and/or exaggerated laughter and crying. This condition is commonly known as 'pseudobulbar affect'(PBA) and leads to anger, frustration, and social disability. This case report presents the use of low-dose Escitalopram in an individual suffering from agitation and PBA following severe TBI (sTBI). It emphasises the importance of adopting a holistic approach in the treatment of such individuals with appropriate attention paid to factors such as cognitive and behavioural impairment, and caregiver distress.",{},,JPMA. The Journal of the Pakistan Medical Association,10.47391/JPMA.5528,,"Traumatic brain injury, antidepressants, agitation, pseudobulbar affect, involuntary emotional expression disorder.",Case Reports,Pakistan,eng
